
					Hê-bơ-rơ 1				|
Đức Chúa Trời cũng dùng những dấu kỳ sự lạ và đủ thứ phép mầu, lại dùng sự ban cho của Đức Thánh Linh mà Ngài đã theo ý muốn mình phát ra, để làm chứng với các kẻ đó.|　 神 又 按 自 己 的 旨 意 、 用 神 蹟 奇 事 、 和 百 般 的 異 能 、 並 聖 靈 的 恩 賜 、 同 們 作 見 證 。
Vả, thế gian hầu đến mà chúng ta nói đó, Đức Chúa Trời chẳng từng khiến nó phục dưới quyền các thiên sứ.|我 們 所 說 將 來 的 世 界 、 　 神 原 沒 有 交 給 天 使 管 轄 。
Nhưng có kẻ đã làm chứng rằng: Loài người là gì mà Chúa nhớ đến? Con người là ai, mà Chúa săn sóc đến?|但 有 人 在 經 上 某 處 證 明 說 、 『 人 算 甚 麼 、 你 竟 顧 念 他 、 世 人 算 甚 麼 、 你 竟 眷 顧 他 ．
Chúa đã đặt Người ở dưới thiên sứ một chút; Cho Người đội mão triều vinh hiển tôn trọng;|你 叫 他 比 天 使 微 小 一 點 、 〔 或 作 你 叫 他 暫 時 比 天 使 小 〕 賜 他 榮 耀 尊 貴 為 冠 冕 、 並 將 你 手 所 造 的 都 派 他 管 理 ．
Và đặt mọi vật dưới chơn người. Đức Chúa Trời đã khiến mọi vật phục Đức Chúa Jêsus như vậy; thì chẳng để cho một vật nào chẳng phục Ngài; song hiện nay chúng ta chưa thấy mọi vật phục Ngài.|叫 萬 物 都 服 在 他 的 腳 下 。 』 既 叫 萬 物 都 服 他 、 就 沒 有 剩 下 一 樣 不 服 他 的 。 只 是 如 今 我 們 還 不 見 萬 物 都 服 他 。
Nhưng Đức Chúa Jêsus nầy, mà đã ở dưới các thiên sứ một chút, chúng ta thấy Ngài, vì sự chết Ngài đã chịu được đội mão triều vinh hiển tôn trọng. Ay vậy, bởi ân điển của Đức Chúa Trời, Đức Chúa Jêsus đã vì mọi người nếm sự chết.|惟 獨 見 那 成 為 比 天 使 小 一 點 的 耶 穌 、 〔 或 作 惟 獨 見 耶 穌 暫 時 比 天 使 小 〕 因 為 受 死 的 苦 、 就 得 了 尊 貴 榮 耀 為 冠 冕 、 叫 他 因 著 　 神 的 恩 、 為 人 人 嘗 了 死 味 。
Thật, Đấng mà muôn vật hướng về Ngài và bởi Ngài, vì muốn đem nhiều con đến sự vinh hiển, thì đã khiến Đấng làm cội rễ sự cứu rỗi của những con ấy, nhờ sự đau đớn mà nên trọn lành, là phải lắm.|原 來 那 為 萬 物 所 屬 、 為 萬 物 所 本 的 、 要 領 許 多 的 兒 子 進 榮 耀 裡 去 、 使 救 他 們 的 元 帥 、 因 受 苦 難 得 以 完 全 、 本 是 合 宜 的 。
Vì Đấng làm nên thánh và kẻ được nên thánh, đều bởi một Cha mà ra. Cho nên Ngài không thẹn mà gọi những kẻ đó là anh em,|因 那 使 人 成 聖 的 、 和 那 些 得 以 成 聖 的 、 都 是 出 於 一 ． 所 以 他 稱 他 們 為 弟 兄 、 也 不 以 為 恥 、
khi Ngài có phán: Tôi sẽ truyền danh Chúa cho anh em tôi; Và ngợi khen Chúa ở giữa hội.|說 、 『 我 要 將 你 的 名 傳 與 我 的 弟 兄 、 在 會 中 我 要 頌 揚 你 。 』
Ngài lại phán: Ta sẽ phó thác ta cho Chúa. Lại phán: Ta đây, ta với các con cái mà Đức Chúa Trời đã ban cho ta.|又 說 、 『 我 要 倚 賴 他 。 』 又 說 、 『 看 哪 、 我 與 　 神 所 給 我 的 兒 女 。 』
Vậy thì, vì con cái có phần về huyết và thịt, nên chính Đức Chúa Jêsus cũng có phần vào đó, hầu cho Ngài bởi sự chết mình mà phá diệt kẻ cầm quyền sự chết, là ma quỉ,|兒 女 既 同 有 血 肉 之 體 、 他 也 照 樣 親 自 成 了 血 肉 之 體 ． 特 要 藉 著 死 、 敗 壞 那 掌 死 權 的 就 是 魔 鬼 ．
lại cho giải thoát mọi người vì sợ sự chết, bị cầm trong vòng tôi mọi trọn đời.|並 要 釋 放 那 些 一 生 因 怕 死 而 為 奴 僕 的 人 。
Vì quả thật không phải Ngài đến vùa giúp các thiên sứ, bèn là vùa giúp dòng dõi của Ap-ra-ham.|他 並 不 救 拔 天 使 、 乃 是 救 拔 亞 伯 拉 罕 的 後 裔 。
Nhơn đó, Ngài phải chịu làm giống như anh em mình trong mọi sự, hầu cho đối với Đức Chúa Trời, trở nên thầy tế lễ thượng phẩm, hay thương xót và trung tín, đặng đền tội cho chúng dân.|所 以 他 凡 事 該 與 他 的 弟 兄 相 同 、 為 要 在 　 神 的 事 上 、 成 為 慈 悲 忠 信 的 大 祭 司 、 為 百 姓 的 罪 獻 上 挽 回 祭 。
Vả, vì chính mình Ngài chịu khổ trong khi bị cám dỗ, nên có thể cứu những kẻ bị cám dỗ vậy.|他 自 己 既 然 被 試 探 而 受 苦 、 就 能 搭 救 被 試 探 的 人 。

					Hê-bơ-rơ 3				|
						希伯來書 3					
Bởi cớ đó, hỡi anh em thánh, là kẻ dự phần ơn trên trời gọi, hãy suy kỹ đến sứ giả và thầy tế lễ thượng phẩm mà chúng ta tin theo, tức là Đức Chúa Jêsus,|同 蒙 天 召 的 聖 潔 弟 兄 阿 、 你 們 應 當 思 想 我 們 所 認 為 使 者 、 為 大 祭 司 的 耶 穌 ．
Ngài đã trung tín với Đấng đã lập Ngài, cũng như Môi-se trung tín với cả nhà Chúa vậy.|他 為 那 設 立 他 的 盡 忠 、 如 同 摩 西 在 　 神 的 全 家 盡 忠 一 樣 。
Vì Ngài đã được xưng là đáng vinh hiển cao trọng hơn Môi-se, chẳng khác nào thợ cất nhà được tôn trọng hơn chính cái nhà.|他 比 摩 西 算 是 更 配 多 得 榮 耀 、 好 像 建 造 房 屋 的 比 房 屋 更 尊 榮 。
Vả, chẳng có một cái nhà nào không phải bởi có người dựng nên; mà Đấng đã dựng nên muôn vật ấy là Đức Chúa Trời.|因 為 房 屋 都 必 有 人 建 造 ． 但 建 造 萬 物 的 就 是 　 神 。
Còn về Môi-se, người đã trung tín trong cả nhà Chúa, như một kẻ tôi tớ, gọi đến làm chứng về điều ngày sau sẽ được rao giảng.|摩 西 為 僕 人 、 在 　 神 的 全 家 誠 然 盡 忠 、 為 要 證 明 將 來 必 傳 說 的 事 ．
Nhưng Đấng Christ thì trung tín như con trai quản trị nhà Chúa; mà nhà Chúa tức là chúng ta, miễn là chúng ta giữ vững vàng cho đến cuối cùng lòng tin chắc và trông cậy, là sự chúng ta lấy làm vinh hiển.|但 基 督 為 兒 子 、 治 理 　 神 的 家 ． 我 們 若 將 可 誇 的 盼 望 和 膽 量 、 堅 持 到 底 、 便 是 他 的 家 了 。
Cho nên, như Đức Thánh Linh phán rằng: Ngày nay nếu các ngươi nghe tiếng Ngài.|聖 靈 有 話 說 、 『 你 們 今 日 若 聽 他 的 話 、
Thì chớ cứng lòng, như lúc nổi loạn, Là ngày thử Chúa trong đồng vắng,|就 不 可 硬 著 心 、 像 在 曠 野 惹 他 發 怒 、 試 探 他 的 時 候 一 樣 ．
Là nơi tổ phụ các ngươi thấy công việc ta làm trong bốn mươi năm, Mà còn thử để dò xét ta!|在 那 裡 、 你 們 的 祖 宗 試 我 探 我 、 並 且 觀 看 我 的 作 為 、 有 四 十 年 之 久 。
Nhơn đó, ta giận dòng dõi nầy, Và phán rằng: lòng chúng nó lầm lạc luôn, Chẳng từng biết đường lối ta.|所 以 我 厭 煩 那 世 代 的 人 、 說 、 他 們 心 裡 常 常 迷 糊 、 竟 不 曉 得 我 的 作 為 ．
Nầy là lời thề mà ta lập trong cơn thạnh nộ, rằng: Chúng nó sẽ chẳng hề vào sự yên nghỉ của ta.|我 就 在 怒 中 起 誓 說 、 他 們 斷 不 可 進 入 我 的 安 息 。 』
Hỡi anh em, hãy giữ lấy, kẻo ai trong anh em có lòng dữ và chẳng tin mà trái bỏ Đức Chúa Trời hằng sống chăng.|弟 兄 們 、 你 們 要 謹 慎 、 免 得 你 們 中 間 、 或 有 人 存 著 不 信 的 惡 心 、 把 永 生 　 神 離 棄 了 ．
Nhưng hằng ngày anh em hãy khuyên bảo lẫn nhau, đang khi còn gọi là "Ngày nay," hầu cho trong anh em không ai bị tội lỗi dỗ dành mà cứng lòng.|總 要 趁 著 還 有 今 日 、 天 天 彼 此 相 勸 、 免 得 你 們 中 間 、 有 人 被 罪 迷 惑 、 心 裡 就 剛 硬 了 。
Vì chúng ta đã được dự phần với Đấng Christ, miễn là giữ lòng tin ban đầu của chúng ta cho vững bền đến cuối cùng,|我 們 若 將 起 初 確 實 的 信 心 、 堅 持 到 底 、 就 在 基 督 裡 有 分 了 。
trong khi còn nói rằng: Ngày nay nếu các ngươi nghe tiếng Ngài, Thì chớ cứng lòng, như lúc nổi loạn.|經 上 說 、 『 你 們 今 日 若 聽 他 的 話 、 就 不 可 硬 著 心 、 像 惹 他 發 怒 的 日 子 一 樣 。 』
Vả, ai là kẻ nghe tiếng Ngài rồi nổi loạn, há chẳng phải những người nhờ Môi-se dẫn ra khỏi xứ Ê-díp-tô sao?|那 時 聽 見 他 話 惹 他 發 怒 的 是 誰 呢 ． 豈 不 是 跟 著 摩 西 從 埃 及 出 來 的 眾 人 麼 。
Đức Chúa Trời đã giận ai trong bốn mươi năm? Há chẳng phải giận nhiều kẻ phạm tội, mà thây họ ngã trong đồng vắng sao?|　 神 四 十 年 之 久 、 又 厭 煩 誰 呢 ． 豈 不 是 那 些 犯 罪 屍 首 倒 在 曠 野 的 人 麼 。
Ngài lại thề với ai rằng không được vào sự yên nghỉ của Ngài? Há chẳng phải với những người không vâng lời sao?|又 向 誰 起 誓 、 不 容 他 們 進 入 他 的 安 息 呢 ． 豈 不 是 向 那 些 不 信 從 的 人 麼 。
Vả, chúng ta thấy những người ấy không thể vào đó được vì cớ không tin.|這 樣 看 來 、 他 們 不 能 進 入 安 息 、 是 因 為 不 信 的 緣 故 了 。

					Hê-bơ-rơ 4				|
						希伯來書 4					
Vậy, đang khi còn có lời hứa cho vào sự yên nghỉ Chúa, hãy lo sợ, kẻo trong chúng ta có ai bị trừ ra chăng.|我 們 既 蒙 留 下 有 進 入 他 安 息 的 應 許 、 就 當 畏 懼 、 免 得 我 們 中 間 、 〔 我 們 原 文 作 你 們 〕 或 有 人 似 乎 是 趕 不 上 了 。
Vì tin Lành nầy đã rao truyền cho chúng ta cũng như cho họ; những lời họ đã nghe không ích chi hết, vì trong khi nghe, chẳng lấy đức tin nhận lời đó thuộc về mình.|因 為 有 福 音 傳 給 我 們 、 像 傳 給 他 們 一 樣 ． 只 是 所 聽 見 的 道 與 他 們 無 益 、 因 為 他 們 沒 有 信 心 與 所 聽 見 的 道 調 和 。
Về phần chúng ta là kẻ đã tin, thì vào sự yên nghỉ, như Đức Chúa Trời đã phán rằng: Nầy là lời thề ta đã lập trong cơn thạnh nộ: Chúng nó sẽ chẳng hề vào sự yên nghỉ ta! Dầu vậy, công việc của Ngài đã xong rồi từ buổi sáng thế.|但 我 們 已 經 相 信 的 人 、 得 以 進 入 那 安 息 、 正 如 　 神 所 說 、 『 我 在 怒 中 起 誓 說 、 他 們 斷 不 可 進 入 我 的 安 息 。 』 其 實 造 物 之 工 、 從 創 世 以 來 已 經 成 全 了 。
Vì luận về ngày thứ bảy, có chép rằng: Ngày thứ bảy Đức Chúa Trời nghỉ cả các công việc Ngài.|論 到 第 七 日 、 有 一 處 說 、 『 到 第 七 日 　 神 就 歇 了 他 一 切 的 工 。 』
Lại một chỗ khác có chép rằng: Chúng nó sẽ chẳng hề vào sự yên nghỉ ta.|又 有 一 處 說 、 『 他 們 斷 不 可 進 入 我 的 安 息 。 』
Như vậy, vì đã dành cho mấy người phải vào đó, và vì những kẻ nghe Tin Lành ấy trước nhứt đã không vào đó bởi chẳng tin,|既 有 必 進 安 息 的 人 、 那 先 前 聽 見 福 音 的 、 因 為 不 信 從 、 不 得 進 去 ．
nên về sau lâu lắm, trong một thơ của Đa-vít, Chúa lại định một ngày nữa gọi là "Ngày nay," như trên kia đã dẫn rằng: Ngày nay nếu các ngươi nghe tiếng Ngài, Thì chớ cứng lòng.|所 以 過 了 多 年 、 就 在 大 衛 的 書 上 、 又 限 定 一 日 、 如 以 上 所 引 的 說 、 『 你 們 今 日 若 聽 他 的 話 、 就 不 可 硬 著 心 。 』
Vả, nếu Giô-suê đã cho họ yên nghỉ, thì chắc sau không còn nói về một ngày khác nữa.|若 是 約 書 亞 已 叫 他 們 享 了 安 息 、 後 來 　 神 就 不 再 題 別 的 日 子 了 。
Vậy thì còn lại một ngày yên nghỉ cho dân Đức Chúa Trời.|這 樣 看 來 、 必 另 有 一 安 息 日 的 安 息 、 為 　 神 的 子 民 存 留 。
Vì ai vào sự yên nghỉ của Đức Chúa Trời, thì nghỉ công việc mình, cũng như Đức Chúa Trời đã nghỉ công việc của Ngài vậy.|因 為 那 進 入 安 息 的 、 乃 是 歇 了 自 己 的 工 、 正 如 　 神 歇 了 他 的 工 一 樣 。
Vậy, chúng ta phải gắng sức vào sự yên nghỉ đó, hầu cho không có một người nào trong chúng ta theo gương kẻ chẳng tin kia mà vấp ngã.|所 以 我 們 務 必 竭 力 進 入 那 安 息 、 免 得 有 人 學 那 不 信 從 的 樣 子 跌 倒 了 。
Vì lời của Đức Chúa Trời là lời sống và linh nghiệm, sắc hơn gươm hai lưỡi, thấu vào đến đỗi chia hồn, linh, cốt, tủy, xem xét tư tưởng và ý định trong lòng.|　 神 的 道 是 活 潑 的 、 是 有 功 效 的 、 比 一 切 兩 刃 的 劍 更 快 、 甚 至 魂 與 靈 、 骨 節 與 骨 髓 、 都 能 刺 入 剖 開 、 連 心 中 的 思 念 和 主 意 、 都 能 辨 明 。
Chẳng có vật nào được giấu kín trước mặt Chúa, nhưng hết thảy đều trần trụi và lộ ra trước mắt Đấng mà chúng ta phải thưa lại,|並 且 被 造 的 、 沒 有 一 樣 在 他 面 前 不 顯 然 的 ． 原 來 萬 物 、 在 那 與 我 們 有 關 係 的 主 眼 前 、 都 是 赤 露 敞 開 的 。
Ay vậy, vì chúng ta có thầy tế lễ thượng phẩm lớn đã trải qua các từng trời, tức là Đức Chúa Jêsus, Con Đức Chúa Trời, thì hãy bền giữ đạo chúng ta đã nhận tin.|我 們 既 然 有 一 位 己 經 升 入 高 天 尊 榮 的 大 祭 司 、 就 是 　 神 的 兒 子 耶 穌 、 便 當 持 定 所 承 認 的 道 。
Vì chúng ta không có thầy tế lễ thượng phẩm chẳng có thể cảm thương sự yếu đuối chúng ta, bèn có một thầy tế lễ bị thử thách trong mọi việc cũng như chúng ta, song chẳng phạm tội.|因 我 們 的 大 祭 司 、 並 非 不 能 體 恤 我 們 的 軟 弱 ． 他 也 曾 凡 事 受 過 試 探 、 與 我 們 一 樣 ． 只 是 他 沒 有 犯 罪 。
Vậy, chúng ta hãy vững lòng đến gần ngôi ơn phước, hầu cho được thương xót và tìm được ơn để giúp chúng ta trong thì giờ có cần dùng.|所 以 我 們 只 管 坦 然 無 懼 的 、 來 到 施 恩 的 寶 座 前 、 為 要 得 憐 恤 、 蒙 恩 惠 作 隨 時 的 幫 助 。

					Hê-bơ-rơ 5				|
						希伯來書 5					
Phàm thầy tế lễ thượng phẩm, từ trong loài người chọn ra, thì vì loài người lập nên hầu việc Đức Chúa Trời, để dâng lễ vật và hi sinh vì tội lỗi.|凡 從 人 間 挑 選 的 大 祭 司 、 是 奉 派 替 人 辦 理 屬 　 神 的 事 、 為 要 獻 上 禮 物 、 和 贖 罪 祭 ． 〔 或 作 要 為 罪 獻 上 禮 物 和 祭 物 〕
Người đã bị vây trong sự yếu đuối, nên có thể thương xót những kẻ ngu dốt sai lầm.|他 能 體 諒 那 愚 蒙 的 、 和 失 迷 的 人 、 因 為 他 自 己 也 是 被 軟 弱 所 困 ．
Ay bởi sự yếu đuối đó mà người buộc phải vì tội lỗi mình dâng của tế lễ, cũng như vì tội lỗi của dân chúng.|故 此 他 理 當 為 百 姓 和 自 己 獻 祭 贖 罪 。
Vả, lại không ai chiếm lấy chức trọng đó cho mình; phải được Đức Chúa Trời kêu gọi như A-rôn ngày xưa.|這 大 祭 司 的 尊 榮 、 沒 有 人 自 取 、 惟 要 蒙 　 神 所 召 、 像 亞 倫 一 樣 。
Cũng một thể ấy, Đấng Christ không tự tôn mình làm thầy tế lễ thượng phẩm; như tại Đấng đã phán cùng Ngài rằng: Ngươi là Con ta, Ta đã sanh ngươi ngày nay.|如 此 、 基 督 也 不 是 自 取 榮 耀 作 大 祭 司 、 乃 是 在 乎 向 他 說 『 你 是 我 的 兒 子 、 我 今 日 生 你 。 』 的 那 一 位 ．
Lại nơi khác có phán cùng Ngài rằng: Ngươi làm thầy tế lễ đời đời Theo ban Mên-chi-xê-đéc.|就 如 經 上 又 有 一 處 說 、 『 你 是 照 著 麥 基 洗 德 的 等 次 永 遠 為 祭 司 。 』
Khi Đấng Christ còn trong xác thịt, thì đã kêu lớn tiếng khóc lóc mà dâng những lời cầu nguyện nài xin cho Đấng có quyền cứu mình khỏi chết, và vì lòng nhân đức Ngài, nên được nhậm lời.|基 督 在 肉 體 的 時 候 、 既 大 聲 哀 哭 、 流 淚 禱 告 懇 求 那 能 救 他 免 死 的 主 、 就 因 他 的 虔 誠 、 蒙 了 應 允 。
Dầu Ngài là Con, cũng đã học tập vâng lời bởi những sự khốn khổ mình đã chịu,|他 雖 然 為 兒 子 、 還 是 因 所 受 的 苦 難 學 了 順 從 ．
và sau khi đã được làm nên trọn vẹn rồi, thì trở nên cội rễ của sự cứu rỗi đời đời cho kẻ vâng lời Ngài,|他 既 得 以 完 全 、 就 為 凡 順 從 他 的 人 、 成 了 永 遠 得 救 的 根 源 ．
lại có Đức Chúa Trời xưng Ngài là thầy tế lễ thượng phẩm theo ban Mên-chi-xê-đéc.|並 蒙 　 神 照 著 麥 基 洗 德 的 等 次 稱 他 為 大 祭 司 。
Về sự đó, chúng ta có nhiều điều nên nói, và khó cắt nghĩa, vì anh em đã trở nên chậm hiểu.|論 到 麥 基 洗 德 、 我 們 有 好 些 話 、 並 且 難 以 解 明 、 因 為 你 們 聽 不 進 去 。
Đáng lẽ anh em đã làm thầy từ lâu rồi, nay còn cần người ta lấy những điều sơ học của lời Đức Chúa Trời mà dạy anh em; anh em cần ăn sữa thay vì đồ ăn đặc.|看 你 們 學 習 的 工 夫 、 本 該 作 師 傅 、 誰 知 還 得 有 人 將 　 神 聖 言 小 學 的 開 端 、 另 教 導 你 們 ． 並 且 成 了 那 必 須 喫 奶 、 不 能 喫 乾 糧 的 人 。
Vả, kẻ nào chỉ ăn sữa thôi, thì không hiểu đạo công bình; vì còn là thơ ấu.|凡 只 能 喫 奶 的 、 都 不 熟 練 仁 義 的 道 理 ． 因 為 他 是 嬰 孩 。
Nhưng đồ ăn đặc là để cho kẻ thành nhơn, cho kẻ hay dụng tâm tư luyện tập mà phân biệt điều lành và dữ.|惟 獨 長 大 成 人 的 、 纔 能 喫 乾 糧 、 他 們 的 心 竅 、 習 練 得 通 達 、 就 能 分 辨 好 歹 了 。

					Hê-bơ-rơ 6				|
						希伯來書 6					
Ay vậy, chúng ta phải bỏ qua các điều sơ học về Tin Lành của Đấng Christ, mà tấn tới sự trọn lành, chớ nên lập lại nền nữa, tức là: từ bỏ các việc chết, tin Đức Chúa Trời,|所 以 我 們 應 當 離 開 基 督 道 理 的 開 端 、 竭 力 進 到 完 全 的 地 步 ． 不 必 再 立 根 基 、 就 如 那 懊 悔 死 行 、 信 靠 　 神 、
sự dạy về phép báp tem, phép đặt tay, sự kẻ chết sống lại, sự phán xét đời đời.|各 樣 洗 禮 、 按 手 之 禮 、 死 人 復 活 、 以 及 永 遠 審 判 、 各 等 教 訓 。
Ví bằng Đức Chúa Trời cho phép, thì chúng ta sẽ làm điều đó.|神 若 許 我 們 、 我 們 必 如 此 行 。
Vì chưng những kẻ đã được soi sáng một lần, đã nếm sự ban cho từ trên trời, dự phần về Đức Thánh Linh,|論 到 那 些 已 經 蒙 了 光 照 、 嘗 過 天 恩 的 滋 味 、 又 於 聖 靈 有 分 、
nếm đạo lành Đức Chúa Trời, và quyền phép của đời sau,|並 嘗 過 　 神 善 道 的 滋 味 、 覺 悟 來 世 權 能 的 人 、
nếu lại vấp ngã, thì không thể khiến họ lại ăn năn nữa, vì họ đóng đinh Con Đức Chúa Trời trên thập tự giá cho mình một lần nữa, làm cho Ngài sỉ nhục tỏ tường.|若 是 離 棄 道 理 、 就 不 能 叫 他 們 從 新 懊 悔 了 ． 因 為 他 們 把 　 神 的 兒 子 重 釘 十 字 架 、 明 明 的 羞 辱 他 。
Vả, một đám đất nhờ mưa đượm nhuần mà sanh cây cỏ có ích cho người cày cấy, thì đất đó hưởng phần phước lành của Đức Chúa Trời.|就 如 一 塊 田 地 、 喫 過 屢 次 下 的 雨 水 、 生 長 菜 蔬 合 乎 耕 種 的 人 用 、 就 從 　 神 得 福 ．
Nhưng đất nào chỉ sanh ra những cỏ rạ, gai gốc, thì bị bỏ, và hầu bị rủa, cuối cùng phải bị đốt.|若 長 荊 棘 和 蒺 藜 、 必 被 廢 棄 、 近 於 咒 詛 、 結 局 就 是 焚 燒 。
Hỡi những kẻ rất yêu dấu, dẫu chúng ta nói vậy, vẫn còn đương trông đợi những việc tốt hơn từ nơi anh em, là những việc đưa đến sự cứu rỗi.|親 愛 的 弟 兄 們 、 我 們 雖 是 這 樣 說 、 卻 深 信 你 們 的 行 為 強 過 這 些 、 而 且 近 乎 得 救 。
Đức Chúa Trời không phải là không công bình mà bỏ quên công việc và lòng yêu thương của anh em đã tỏ ra vì danh Ngài, trong khi hầu việc các thánh đồ và hiện nay đương còn hầu việc nữa.|因 為 　 神 並 非 不 公 義 、 竟 忘 記 你 們 所 作 的 工 、 和 你 們 為 他 名 所 顯 的 愛 心 、 就 是 先 前 伺 候 聖 徒 、 如 今 還 是 伺 候 。
Nhưng chúng ta mong rằng mỗi người trong anh em tỏ lòng sốt sắng như vậy, đặng giữ lòng đầy dẫy sự trông cậy cho đến cuối cùng;|我 們 願 你 們 各 人 都 顯 出 這 樣 的 殷 勤 、 使 你 們 有 滿 足 的 指 望 、 一 直 到 底 。
đến nỗi anh em không trễ nải, nhưng cứ học đòi những kẻ bởi đức tin và lòng nhịn nhục mà được hưởng lời hứa.|並 且 不 懈 怠 ． 總 要 效 法 那 些 憑 信 心 和 忍 耐 承 受 應 許 的 人 。
