
					Ga-la-ti 1				|
Dầu vậy, đã biết rằng người ta được xưng công bình, chẳng phải bởi các việc luật pháp đâu, bèn là cậy đức tin trong Đức Chúa Jêsus Christ, nên chính chúng tôi đã tin Đức Chúa Jêsus Christ, để được xưng công bình bởi đức tin trong Đấng Christ, chớ chẳng bởi các việc luật pháp; vì chẳng có ai được xưng công bình bởi các việc luật pháp.|既 知 道 人 稱 義 、 不 是 因 行 律 法 、 乃 是 因 信 耶 穌 基 督 、 連 我 們 也 信 了 基 督 耶 穌 、 使 我 們 因 信 基 督 稱 義 、 不 因 行 律 稱 義 ． 因 為 凡 有 血 氣 的 、 沒 有 一 人 因 行 律 法 稱 義 。
Nhưng nếu đang khi chúng tôi tìm cách được xưng công bình trong Đấng Christ, mà chính chúng tôi bị nhận là kẻ có tội, vậy thì Đấng Christ chẳng là làm tôi của tội lỗi sao? Chẳng hề như vậy!|我 們 若 求 在 基 督 裡 稱 義 、 卻 仍 舊 是 罪 人 、 難 道 基 督 是 叫 人 犯 罪 的 麼 ． 斷 乎 不 是 。
Thật thế, nếu tôi lập lại điều tôi đã phá hủy, thì tôi sẽ tỏ ra chính tôi là người phạm phép.|我 素 來 所 拆 毀 的 、 若 重 新 建 造 、 這 就 證 明 自 己 是 犯 罪 的 人 。
Vả, bởi luật pháp, tôi đã chết cho luật pháp, để sống cho Đức Chúa Trời.|我 因 律 法 、 就 向 律 法 死 了 、 叫 我 可 以 向 　 神 活 著 。
Tôi đã bị đóng đinh vào thập tự giá với Đấng Christ, mà tôi sống, không phải là tôi sống nữa, nhưng Đấng Christ sống trong tôi; nay tôi còn sống trong xác thịt, ấy là tôi sống trong đức tin của Con Đức Chúa Trời, là Đấng đã yêu tôi, và đã phó chính mình Ngài vì tôi.|我 已 經 與 基 督 同 釘 十 架 ． 現 在 活 著 的 、 不 再 是 我 、 乃 是 基 督 在 我 裡 面 活 著 ． 並 且 我 如 今 在 肉 身 活 著 、 是 因 信 　 神 的 兒 子 而 活 、 他 是 愛 我 、 為 我 捨 己 。
Tôi không muốn làm cho ân điển Đức Chúa Trời ra vô ích; vì nếu bởi luật pháp mà được sự công bình, thì Đấng Christ chịu chết là vô ích.|我 不 廢 掉 　 神 的 恩 ． 義 若 是 藉 著 律 法 得 的 、 基 督 就 是 徒 然 死 了 。

					Ga-la-ti 3				|
						加拉太書 3					
Hỡi người Ga-la-ti ngu muội kia, ai bùa ếm anh em là người Đức Chúa Jêsus Christ bị đóng đinh trên thập tự giá?|無 知 的 加 拉 太 人 哪 、 耶 穌 基 督 釘 十 字 架 、 已 經 活 畫 在 你 們 眼 前 、 誰 又 迷 惑 了 你 們 呢 。
Tôi chỉ hỏi anh em một câu nầy: Ay là cậy các việc luật pháp hay là bởi nghe và tin mà anh em đã nhận được Đức Thánh Linh?|我 只 要 問 你 們 這 一 件 、 你 們 受 了 聖 靈 、 是 因 行 律 法 呢 、 是 因 聽 信 福 音 呢 。
Sao anh em ngu muội dường ấy? Sau khi đã khởi sự nhờ Đức Thánh Linh, nay sao lại cậy xác thịt mà làm cho trọn?|你 們 既 靠 聖 靈 入 門 、 如 今 還 靠 肉 身 成 全 麼 ． 你 們 是 這 樣 的 無 知 麼 。
Anh em há luống công mà chịu sự khốn khổ dường ấy sao? nếu quả là luống công!|你 們 受 若 如 此 之 多 、 都 是 徒 然 的 麼 ． 難 道 果 真 是 徒 然 的 麼 。
Đấng ban Đức Thánh Linh cho anh em và làm các phép lạ trong anh em, thì làm bởi các việc luật pháp, hay là bởi đã nghe mà tin?|那 賜 給 你 們 聖 靈 、 又 在 你 們 中 間 行 異 能 的 、 是 因 你 們 行 律 法 呢 、 是 因 你 們 聽 信 福 音 呢 。
Như Ap-ra-ham tin Đức Chúa Trời, thì đã kể là công bình cho người,|正 如 『 亞 伯 拉 罕 信 　 神 這 就 算 為 他 的 義 。 』
vậy anh em hãy nhận biết rằng những kẻ có đức tin là con cháu thật của Ap-ra-ham.|所 以 你 們 要 知 道 那 以 信 為 本 的 人 、 就 是 亞 伯 拉 罕 的 子 孫 。
Kinh Thánh cũng biết trước rằng Đức Chúa Trời sẽ xưng dân ngoại là công bình bởi đức tin, nên đã rao truyền trước cho Ap-ra-ham tin lành nầy: Các dân sẽ nhờ ngươi mà được phước.|並 且 聖 經 既 然 豫 先 看 明 、 　 神 要 叫 外 邦 人 因 信 稱 義 、 就 早 已 傳 福 音 給 亞 伯 拉 罕 、 說 、 『 萬 國 都 必 因 你 得 福 。 』
Ay vậy, ai tin thì nấy được phước với Ap-ra-ham, là người có lòng tin.|可 見 那 以 信 為 本 的 人 、 和 有 信 心 的 亞 伯 拉 罕 一 同 得 福 。
Vì mọi kẻ cậy các việc luật pháp, thì bị rủa sả, bởi có chép rằng: Đáng rủa thay là kẻ không bền đỗ trong mọi sự đã chép ở sách luật, đặng làm theo những sự ấy!|凡 以 行 律 法 為 本 的 、 都 是 被 咒 詛 的 ． 因 為 經 上 說 著 、 『 凡 不 常 照 律 法 書 上 所 記 一 切 之 事 去 行 的 、 就 被 咒 詛 。 』
Vả lại chẳng hề có ai cậy luật pháp mà được xưng công bình trước mặt Đức Chúa Trời, điều đó là rõ ràng lắm, vì người công bình sẽ sống bởi đức tin.|沒 有 一 個 人 靠 著 律 法 在 　 神 面 前 稱 義 、 這 是 明 顯 的 ． 因 為 經 上 說 、 『 義 人 必 因 信 得 生 。 』
Vả, luật pháp vốn không phải đồng một thứ với đức tin, nhưng luật pháp có chép rằng: Người nào vâng giữ các điều răn thì sẽ nhờ đó mà sống.|律 法 原 不 本 乎 信 、 只 說 、 『 行 這 些 事 的 、 就 必 因 此 活 著 。 』
Đấng Christ đã chuộc chúng ta khỏi sự rủa sả của luật pháp, bởi Ngài đã nên sự rủa sả vì chúng ta, vì có lời chép: Đáng rủa thay là kẻ bị treo trên cây gỗ,|基 督 既 為 我 們 受 了 咒 詛 、 〔 受 原 文 作 成 〕 就 贖 出 我 們 脫 離 律 法 的 咒 詛 ． 因 為 經 上 記 著 、 『 凡 掛 在 木 頭 上 都 是 被 咒 詛 的 。 』
hầu cho phước lành ban cho Ap-ra-ham nhờ Đức Chúa Jêsus Christ mà được rải khắp trên dân ngoại, lại hầu cho chúng ta cậy đức tin mà nhận lãnh Đức Thánh Linh đã hứa cho.|這 便 叫 亞 伯 拉 罕 的 福 、 因 基 督 耶 穌 可 以 臨 到 外 邦 人 、 使 我 們 因 信 得 著 所 應 許 的 聖 靈 。
Hỡi Anh em, tôi nói theo thói quen người ta rằng: Khi một người đã làm tờ giao ước thành rồi, thì không ai có phép được xóa đi hay thêm vào sự gì.|弟 兄 們 、 我 且 照 著 人 的 常 話 說 、 雖 然 是 人 的 文 約 、 若 已 經 立 定 了 、 就 沒 有 能 廢 棄 或 加 增 的 。
Vả, các lời hứa đã được phán cho Ap-ra-ham và cho dòng dõi người. không nói: Và cho các dòng dõi người, như chỉ về nhiều người; nhưng nói: Và cho dòng dõi ngươi, như chỉ về một người mà thôi, tức là Đấng Christ.|所 應 許 的 原 是 向 亞 伯 拉 罕 和 他 子 孫 說 的 ． 　 神 並 不 是 說 眾 子 孫 、 指 著 許 多 人 、 乃 是 說 你 那 一 個 子 孫 、 指 著 一 個 人 、 就 是 基 督 。
Vậy thì tôi nói rằng: Lời giao ước mà Đức Chúa Trời trước kia đã kết lập thành rồi, thì không có thể bị hủy đi, và lời hứa cũng không có thể bị bỏ đi bởi luật pháp, là sự cách sau bốn trăm ba mươi năm mới có.|我 是 這 麼 說 、 　 神 豫 先 所 立 的 約 、 不 能 被 那 四 百 三 十 年 以 後 的 律 法 廢 掉 、 叫 應 許 歸 於 虛 空 。
Vì, nếu cơ nghiệp được ban cho bởi luật pháp, thì không bởi lời hứa nữa. Nhưng Đức Chúa Trời đã dùng lời hứa mà ban cơ nghiệp cho Ap-ra-ham.|因 為 承 受 產 業 、 若 本 乎 律 法 、 就 不 本 乎 應 許 ． 但 　 神 是 憑 著 應 許 、 把 產 業 賜 給 亞 伯 拉 罕 。
Vậy thì làm sao có luật pháp? luật pháp đã đặt thêm, vì cớ những sự phạm phép, cho tới chừng nào người dòng dõi đến, là người mà lời hứa đã hứa cho; luật pháp được ban ra bởi mấy thiên sứ và truyền ra bởi một người trung bảo.|這 樣 說 來 、 律 法 是 為 甚 麼 有 的 呢 ． 原 是 為 過 犯 添 上 的 、 等 候 那 蒙 應 許 的 子 孫 來 到 ． 並 且 是 藉 天 使 經 中 保 之 手 設 立 的 。
Vả, người trung bảo chẳng phải là người trung bảo về một bề mà thôi, nhưng Đức Chúa Trời chỉ có một.|但 中 保 本 不 是 為 一 面 作 的 ． 　 神 卻 是 一 位 。
Vậy thì luật pháp nghịch cùng lời hứa của Đức Chúa Trời hay sao? chẳng hề như vậy; vì nếu đã ban cho một luật pháp có thể làm cho sống, thì sự công bình chắc bởi luật pháp mà đến.|這 樣 、 律 法 是 與 　 神 的 應 許 反 對 麼 ． 斷 乎 不 是 ． 若 曾 傳 一 個 能 叫 人 得 生 的 律 法 、 義 就 誠 然 本 乎 律 法 了 。
Nhưng Kinh Thánh đã nhốt hết thảy mọi sự dưới tội lỗi, hầu cho điều chi đã hứa, bởi đức tin trong Đức Chúa Jêsus Christ mà được ban cho những kẻ tin.|但 聖 經 把 眾 人 都 圈 在 罪 裡 、 使 所 應 許 的 福 因 信 耶 穌 基 督 、 歸 給 那 信 的 人 。
Trước khi đức tin chưa đến, chúng ta bị nhốt dưới sự canh giữ của luật pháp mà chờ đức tin phải bày ra.|但 這 因 信 徥 救 的 理 、 還 未 來 以 先 、 我 們 被 看 守 在 律 法 之 下 、 直 圈 到 那 將 來 的 真 道 顯 明 出 來 。
Ay vậy, luật pháp đã như thầy giáo đặng dẫn chúng ta đến Đấng Christ, hầu cho chúng ta bởi đức tin mà được xưng công bình.|這 樣 、 律 法 是 們 訓 蒙 的 師 傅 、 引 我 們 到 基 督 那 裡 、 使 我 們 因 信 稱 義 。
Song khi đức tin đã đến, chúng ta không còn phục dưới thầy giáo ấy nữa.|但 這 因 信 得 救 的 理 、 既 然 來 到 、 我 們 從 上 就 不 在 師 傅 的 手 下 了 。
Vì chưng anh em bởi tin Đức Chúa Jêsus Christ, nên hết thảy đều là con trai của Đức Chúa Trời.|所 以 你 們 因 信 基 督 耶 穌 、 都 是 　 神 的 兒 子 。
Vả, anh em thảy đều chịu phép báp tem trong Đấng Christ, đều mặc lấy Đấng Christ vậy.|你 們 受 洗 歸 入 基 督 的 、 都 是 披 戴 基 督 了 。
Tại đây không còn chia ra người Giu-đa hoặc người Gờ-réc; không còn người tôi mọi hoặc người tự chủ; không còn đờn ông hoặc đờn bà; vì trong Đức Chúa Jêsus Christ, anh em thảy đều làm một.|並 不 分 猶 太 人 、 希 利 尼 人 、 自 主 的 、 為 奴 的 、 或 男 或 女 ． 因 為 你 們 在 基 督 耶 穌 、 裡 都 成 為 一 了 。
Lại nếu anh em thuộc về Đấng Christ, thì anh em là dòng dõi của Ap-ra-ham, tức là kẻ kế tự theo lời hứa.|你 們 既 屬 乎 基 督 、 就 是 亞 伯 拉 罕 的 後 裔 、 是 照 著 應 許 承 受 產 業 的 了 。

					Ga-la-ti 4				|
						加拉太書 4					
Vả, tôi nói rằng người kế tự dầu là chủ của mọi vật, mà đương còn thơ ấu, thì chẳng khác chi kẻ tôi mọi;|我 說 那 承 受 產 業 的 、 雖 然 是 全 業 的 主 人 、 但 為 孩 童 的 時 候 、 卻 與 奴 僕 毫 無 分 別 ．
phải ở dưới quyền kẻ bảo hộ và kẻ coi giữ, cho đến kỳ người cha đã định.|乃 在 師 傅 和 管 家 的 手 下 、 直 等 他 父 親 豫 定 的 時 候 來 到 。
Chúng ta cũng như vậy, khi còn thơ ấu, phải phục dưới các lề thói của thế gian.|我 們 為 孩 童 的 時 候 、 受 管 於 世 俗 小 學 之 下 、 也 是 如 此 。
Nhưng khi kỳ hạn đã được trọn, Đức Chúa Trời bèn sai Con Ngài bởi một người nữ sanh ra, sanh ra dưới luật pháp,|及 至 時 候 滿 足 、 　 神 就 差 遣 他 的 兒 子 、 為 女 子 所 生 、 且 生 在 律 法 以 下 、
để chuộc những kẻ ở dưới luật pháp, và cho chúng ta được làm con nuôi Ngài.|要 把 律 法 以 下 的 人 贖 出 來 、 叫 我 們 得 著 兒 子 的 名 分 。
Lại vì anh em là con, nên Đức Chúa Trời đã sai Thánh Linh của Con Ngài vào lòng chúng ta, kêu rằng: A-ba! Cha!|你 們 既 為 兒 子 、 　 神 就 差 他 兒 子 的 靈 、 進 入 你 們 〔 原 文 作 我 們 〕 的 心 、 呼 叫 阿 爸 、 父 。
Dường ấy, người không phải là tôi mọi nữa, bèn là con; và nếu ngươi là con, thì cũng là kẻ kế tự bởi ơn của Đức Chúa Trời.|可 見 、 從 此 以 後 、 你 不 是 奴 僕 、 乃 是 兒 子 了 ． 既 是 兒 子 、 就 靠 著 　 神 為 後 嗣 。
Xưa kia, anh em chẳng biết Đức Chúa Trời chi hết, thì làm tôi các thần vốn không phải là thần.|但 從 前 你 們 不 認 識 　 神 的 時 候 、 是 給 那 些 本 來 不 是 　 神 的 作 奴 僕 。
Nhưng hiện nay anh em biết Đức Chúa Trời lại được Đức Chúa Trời biết đến nữa, sao còn trở hướng về lề thói hèn yếu nghèo nàn đó mà suy phục nữa ư?|現 在 你 們 既 然 認 識 　 神 、 更 可 說 是 被 　 神 所 認 識 的 、 怎 麼 還 要 歸 回 那 懦 弱 無 用 的 小 學 、 情 願 再 給 他 作 奴 僕 呢 。
anh em hãy còn giữ ngày tháng, mùa, năm ư!|你 們 謹 守 日 子 、 月 分 、 節 期 、 年 分 。
Tôi lo cho anh em, e tôi đã làm việc luống công giữa anh em.|我 為 你 們 害 怕 ． 惟 恐 我 在 你 們 身 上 是 枉 費 了 工 夫 。
Hỡi anh em, tôi xin anh em hãy giống như tôi; vì tôi cũng như anh em. Anh em không làm hại gì cho tôi.|弟 兄 們 、 我 勸 你 們 要 像 我 一 樣 、 因 我 也 像 你 們 一 樣 ． 你 們 一 點 沒 有 虧 負 我 。
Anh em biết rằng ấy là đương lúc xác thịt yếu đuối mà tôi truyền Tin Lành cho anh em lần thứ nhứt,|你 們 知 道 我 頭 一 次 傳 福 音 給 你 們 、 是 因 為 身 體 有 疾 病 。
vì xác thịt tôi yếu đuối sanh ra sự rèn thử cho anh em mặc dầu, anh em cũng chẳng khinh tôi, chẳng chối tôi, mà lại tiếp rước tôi như một vị thiên sứ của Đức Chúa Trời, thật như chính mình Đức Chúa Jêsus Christ.|你 們 為 我 身 體 的 緣 故 受 試 煉 、 沒 有 輕 看 我 、 也 沒 有 厭 棄 我 ． 反 倒 接 待 我 、 如 同 　 神 的 使 者 、 如 同 基 督 耶 穌 。
Vậy thì sự vui mừng của anh em đã trở nên thể nào? Vì tôi làm chứng cho anh em rằng, lúc bấy giờ, nếu có thể được thì anh em cũng móc con mắt mà cho tôi.|你 們 當 日 所 誇 的 福 氣 在 那 裡 呢 ． 那 時 你 們 若 能 行 、 就 是 把 自 己 的 眼 睛 剜 出 來 給 我 、 也 都 情 願 ． 這 是 我 可 以 給 你 們 作 見 證 的 。
Tôi lấy lẽ thật bảo anh em, lại trở nên kẻ thù nghịch của anh em sao?|如 今 我 將 真 理 告 訴 你 們 、 就 成 了 你 們 的 仇 敵 麼 。
Những người đó vì anh em mà sốt sắng, thì không phải là ý tốt; nhưng họ muốn anh em lìa bỏ chúng tôi, hầu cho anh em sốt sắng vì họ.|那 些 人 熱 心 待 你 們 、 卻 不 是 好 意 、 是 要 離 間 〔 原 文 作 把 你 們 關 在 外 面 〕 你 們 、 叫 你 們 熱 心 待 他 們 。
Có lòng sốt sắng vì điều thiện thì tốt lắm, lúc nào cũng thế, không những khi tôi có mặt giữa anh em.|在 善 事 上 、 常 用 熱 心 待 人 、 原 是 好 的 、 卻 不 單 我 與 你 們 同 在 的 時 候 纔 這 樣 。
