
					Các Thủ Lãnh 1				|
Khi nàng đã đến nhà Ot-ni-ên, nàng giục người xin cha mình một miếng ruộng. Nàng xuống khỏi lừa, thì Ca-lép hỏi rằng: Con muốn chi?|押 撒 過 門 的 時 候 、 勸 丈 夫 向 他 父 親 求 一 塊 田 ． 押 撒 一 下 驢 、 迦 勒 問 他 說 、 你 要 甚 麼 ．
Nàng thưa rằng: Xin cha cho con một của phước. Vì cha đã định cho con ở đất miền nam, xin hãy cho con những nguồn nước! Ca-lép bèn ban cho nàng các nguồn trên và các nguồn dưới.|他 說 、 求 你 賜 福 給 我 ． 你 既 將 我 安 置 在 南 地 、 求 你 也 給 我 水 泉 ． 迦 勒 就 把 上 泉 下 泉 賜 給 他 。
Vả, con cháu của Kê-nít, là anh em bên vợ của Môi-se, từ thành Cây Chà là đi lên với con cháu Giu-đa, đến trong đồng vắng Giu-đa, ở về phía nam A-rát, và lập chỗ ở tại giữa dân sự.|摩 西 的 內 兄 〔 或 作 岳 父 〕 是 基 尼 人 、 他 的 子 孫 與 猶 大 人 一 同 離 了 棕 樹 城 、 往 亞 拉 得 以 南 的 猶 大 曠 野 去 、 就 住 在 民 中 。
Kế ấy, người Giu-đa đi cùng anh em mình, là người Si-mê-ôn, đánh dân Ca-na-an ỏ tại Xê-phát, tận diệt nơi ấy, rồi gọi tên nó là Họt-ma.|猶 大 和 他 哥 哥 西 緬 同 去 、 擊 殺 了 住 洗 法 的 迦 南 人 、 將 城 盡 行 毀 滅 。 那 城 的 名 便 叫 何 珥 瑪 。
Người Giu-đa cũng chiếm lấy Ga-xa cùng địa phận nó, Ach-ca-lôn cùng địa phận nó, và Ec-rôn cùng địa phận nó.|猶 大 又 取 了 迦 薩 和 迦 薩 的 四 境 、 亞 實 基 倫 和 亞 實 基 倫 的 四 境 、 以 革 倫 和 以 革 倫 的 四 境 。
Đức Giê-hô-va ở cùng người Giu-đa; người Giu-đa hãm lấy núi, còn dân sự ở trũng, thì họ đuổi đi không đặng, vì chúng nó có những xe bằng sắt.|耶 和 華 與 猶 大 同 在 、 猶 大 就 趕 出 山 地 的 居 民 ． 只 是 不 能 趕 出 平 原 的 居 民 、 因 為 他 們 有 鐵 車 。
Kế sau, theo lịnh của Môi-se, người ta ban Hếp-rôn cho Ca-lép! Ca-lép bèn đuổi ba con trai của A-nác khỏi thành ấy.|以 色 列 人 照 摩 西 所 說 的 、 將 希 伯 崙 給 了 迦 勒 ． 迦 勒 就 從 那 裡 趕 出 亞 衲 族 的 三 個 族 長 。
Nhưng con cháu Bên-gia-min không đuổi được dân Giê-bu-sít ở tại Giê-ru-sa-lem, nên dân Giê-bu-sít hãy còn ở chung cùng con cháu Bên-gia-min cho đến ngày nay.|便 雅 憫 人 沒 有 趕 出 住 耶 路 撒 冷 的 耶 布 斯 人 ． 耶 布 斯 人 仍 在 耶 路 撒 冷 與 便 雅 憫 人 同 住 、 直 到 今 日 。
Còn nhà Giô-sép cũng lên đánh Bê-tên, và Đức Giê-hô-va ở cùng họ.|約 瑟 家 也 上 去 攻 打 伯 特 利 、 耶 和 華 與 他 們 同 在 。
Vậy, nhà Giô-sép sai do thám Bê-tên; tên thành nầy lúc trước là Lu-xơ.|約 瑟 家 打 發 人 去 窺 探 伯 特 利 。 那 城 起 先 名 叫 路 斯 。
Những kẻ do thám thấy một người ở thành đi ra, bèn nói cùng người rằng; Xin chỉ cho chúng ta ngõ nào đi vào thành được, thì chúng ta sẽ làm ơn cho ngươi.|窺 探 的 人 看 見 一 個 人 從 城 裡 出 來 、 就 對 他 說 、 求 你 將 進 城 的 路 指 示 我 們 、 我 們 必 恩 待 你 。
Người bèn chỉ cho họ ngõ người ta đi vào thành được; chúng bèn lấy gươm đánh giết thành; nhưng để cho người đó và cả nhà người đi.|那 人 將 進 城 的 路 指 示 他 們 、 他 們 就 用 刀 擊 殺 了 城 中 的 居 民 、 但 將 那 人 和 他 全 家 放 去 。
Đoạn, người ấy đi vào xứ dân Hê-tít, xây một cái thành tại đó, và đặt tên là Lu-xơ, hãy còn gọi vậy cho đến ngày nay.|那 人 往 赫 人 之 地 去 、 築 了 一 座 城 、 起 名 叫 路 斯 、 那 城 到 如 今 還 叫 這 名 。
Người Ma-na-se không đuổi được dân cư của Bết-Sê-an và của các thành địa hạt nó, cũng chẳng đuổi dân cư của Tha -a-nác và của các thành địa hạt nó, hoặc dân ở Đô-rơ và dân ở các thành địa hạt nó, hoặc dân ở Gíp-lê-am và dân ở trong các thành địa hạt nó, hoặc dân ở Mê-ghi-đô và dân ở các thành địa hạt nó, thì cũng chẳng đuổi đi, vì dân Ca-na-an quyết định ở trong xứ ấy.|瑪 拿 西 沒 有 趕 出 伯 善 和 屬 伯 善 鄉 村 的 居 民 、 他 納 和 屬 他 納 鄉 村 的 居 民 、 多 珥 和 屬 多 珥 鄉 村 的 居 民 、 以 伯 蓮 和 屬 以 伯 蓮 鄉 村 的 居 民 、 米 吉 多 和 屬 米 吉 多 鄉 村 的 居 民 ． 迦 南 人 卻 執 意 住 在 那 些 地 方 。
Xảy khi Y-sơ-ra-ên trở nên cường thạnh, thì bắt dân Ca-na-an phục dịch; nhưng không có đuổi chúng nó đi hết.|及 至 以 色 列 強 盛 了 、 就 使 迦 南 人 作 苦 工 、 沒 有 把 他 們 全 然 趕 出 。
Người Ep-ra-im cũng chẳng đuổi dân Ca-na-an ở tại Ghê-xe; nhưng dân Ca-na-an cứ ở cùng họ tại Ghê-xe.|以 法 蓮 沒 有 趕 出 住 基 色 的 迦 南 人 ． 於 是 迦 南 人 仍 住 在 基 色 、 在 以 法 蓮 中 間 。
Người Sa-bu-lôn cũng chẳng đuổi dân Kít-rôn, hoặc dân ở Na-ha-lô; và người Ca-na-an ở chung cùng người Sa-bu-lôn, song phải phục dịch họ.|西 布 倫 沒 有 趕 出 基 倫 的 居 民 、 和 拿 哈 拉 的 居 民 ． 於 是 迦 南 人 仍 住 在 西 布 倫 中 間 、 成 了 服 苦 的 人 。
Người A-se cũng chẳng đuổi dân ở A-cô, hoặc dân ở Si-đôn, dân ở Ach-láp, dân ơ Ac-xíp, dân ở Hên-ba, dân ở A-phéc hay là dân ở Rê-hốp.|亞 設 沒 有 趕 出 亞 柯 和 西 頓 的 居 民 、 亞 黑 拉 和 亞 革 悉 的 居 民 、 黑 巴 、 亞 弗 革 與 利 合 的 居 民 ．
Người A-se lập sản nghiệp ở giữa dân Ca-na-an, là dân bổn xứ; vì người A-se không đuổi chúng nó đi.|於 是 亞 設 因 為 沒 有 趕 出 那 地 的 迦 南 人 、 就 住 在 他 們 中 間 。
Người Nép-ta-li không đuổi dân ở Bết-Sê-mết và Bết -A-nát; nhưng lập sản nghiệp ở giữa dân Ca-na-an, là dân bổn xứ; còn dân Bết-Sê-mết và dân Bết -A-nát phải phục dịch người Nép-ta-li.|拿 弗 他 利 沒 有 趕 出 伯 示 麥 和 伯 亞 納 的 居 民 ． 於 是 拿 弗 他 利 就 住 在 那 地 的 迦 南 人 中 間 ． 然 而 伯 示 麥 和 伯 亞 納 的 居 民 、 成 了 服 苦 的 人 。
Dân A-mô-rít dồn người Đan ở trên núi, không cho họ xuống trũng.|亞 摩 利 人 強 逼 但 人 住 在 山 地 、 不 容 他 們 下 到 平 原 ．
Dân A-mô-rít định ở tại núi Hê-re, A-gia-lôn, và Sa-an-bim; nhưng tay của nhà Giô-sép thắng chúng nó, nên chúng nó phải phục dịch.|亞 摩 利 人 卻 執 意 住 在 希 烈 山 和 亞 雅 倫 、 並 沙 賓 、 然 而 約 瑟 家 勝 了 他 們 、 使 他 們 成 了 服 苦 的 人 。
Địa phận dân A-mô-rít chạy từ dốc Ac-ráp-bim, từ Sê-la trở lên.|亞 摩 利 人 的 境 界 、 是 從 亞 克 拉 濱 坡 、 從 西 拉 而 上 。

					Các Thủ Lãnh 2				|
						士師記 2					
Vả, thiên sứ của Đức Giê-hô-va đi lên từ Ghinh-ganh đến Bô-kim, và nói rằng: Ta đã đem các ngươi đi lên khỏi xứ Ê-díp-tô, dẫn vào xứ ta đã thề ban cho tổ phụ các ngươi. Ta đã phán: Ta sẽ chẳng hề hủy giao ước ta đã lập cùng các ngươi;|耶 和 華 的 使 者 從 吉 甲 上 到 波 金 、 對 以 色 列 人 說 、 我 使 你 們 從 埃 及 上 來 、 領 你 們 到 我 向 你 們 列 祖 起 誓 應 許 之 地 ． 我 又 說 、 我 永 不 廢 棄 與 你 們 所 立 的 約 。
còn các ngươi, chớ lập giao ước cùng dân xứ nầy; hãy phá hủy bàn thờ của chúng nó. Song các ngươi không có vâng theo lời phán của ta. Tại sao các ngươi đã làm điều đó?|你 們 也 不 可 與 這 地 的 居 民 立 約 ． 要 拆 毀 他 們 的 祭 壇 ． 你 們 竟 沒 有 聽 從 我 的 話 ． 為 何 這 樣 行 呢 。
Ta cũng có phán: Ta sẽ chẳng đuổi dân ấy khỏi trước mặt các ngươi, song chúng nó sẽ ở bên các ngươi, và các thần chúng nó sẽ thành một cái bẫy cho các ngươi.|因 此 我 又 說 、 我 必 不 將 他 們 從 你 們 面 前 趕 出 ． 他 們 必 作 你 們 肋 下 的 荊 棘 ． 他 們 的 神 、 必 作 你 們 的 網 羅 。
Thiên sứ của Đức Giê-hô-va vừa nói dứt lời nầy cho cả dân Y-sơ-ra-ên, thì cả dân sự bèn cất tiếng lên khóc.|耶 和 華 的 使 者 、 向 以 色 列 眾 人 說 這 話 的 時 候 、 百 姓 就 放 聲 而 哭 。
Chúng gọi tên chỗ đó là Bô-kim, và dâng tế lễ cho Đức Giê-hô-va tại đó.|於 是 給 那 地 方 起 名 叫 波 金 〔 就 是 哭 的 意 思 〕 ． 眾 人 在 那 裡 向 耶 和 華 獻 祭 。
Khi Giô-suê đã cho dân sự về, thì mọi người Y-sơ-ra-ên, ai nấy đều đi vào sản nghiệp mình, đặng nhận lấy xứ.|從 前 約 書 亞 打 發 以 色 列 百 姓 去 的 時 候 、 他 們 各 歸 自 己 的 地 業 、 佔 據 地 土 。
Dân sự phục sự Đức Giê-hô-va trong trọn đời Giô-suê và trọn đời các trưởng lão còn sống lâu hơn Giô-suê, là những kẻ đã thấy các công việc lớn lao mà Đức Giê-hô-va đã làm ra vì Y-sơ-ra-ên.|約 書 亞 在 世 和 約 書 亞 死 後 、 那 些 見 耶 和 華 為 以 色 列 人 所 行 大 事 的 長 老 還 在 的 時 候 、 百 姓 都 事 奉 耶 和 華 。
Đoạn, Giô-suê, con trai của Nun, tôi tớ của Đức Giê-hô-va, qua đời, tuổi được một trăm mười;|耶 和 華 的 僕 人 、 嫩 的 兒 子 約 書 亞 、 正 一 百 一 十 歲 就 死 了 。
người ta chôn người trong địa phận về sản nghiệp người, tại Thim-nát-Hê-re trên núi Ep-ra-im, về phía bắc núi Ga-ách.|以 色 列 人 將 他 葬 在 他 地 業 的 境 內 、 就 是 在 以 法 蓮 山 地 的 亭 拿 希 烈 、 在 迦 實 山 的 北 邊 。
Hết thảy người đời ấy cũng được tiếp về tổ phụ mình; rồi một đời khác nổi lên, chẳng biết Đức Giê-hô-va, cũng chẳng biết các điều Ngài đã làm nhơn vì Y-sơ-ra-ên.|那 世 代 的 人 、 也 都 歸 了 自 己 的 列 祖 ． 後 來 有 別 的 世 代 興 起 、 不 知 道 耶 和 華 、 也 不 知 道 耶 和 華 為 以 色 列 人 所 行 的 事 。
Bấy giờ dân Y-sơ-ra-ên làm ác trước mặt Đức Giê-hô-va, hầu việc các thần tượng của Ba-anh,|以 色 列 人 行 耶 和 華 眼 中 看 為 惡 的 事 、 去 事 奉 諸 巴 力 ．
bỏ Giê-hô-va Đức Chúa Trời của tổ phụ mình, là Đấng đã đem họ ra khỏi xứ Ê-díp-tô; họ tin theo các thần khác của những dân tộc xung quanh, quì lạy các thần đó và chọc giận Đức Giê-hô-va.|離 棄 了 領 他 們 出 埃 及 地 的 耶 和 華 、 他 們 列 祖 的 　 神 、 去 叩 拜 別 神 、 就 是 四 圍 列 國 的 神 、 惹 耶 和 華 發 怒 。
Vậy, chúng nó bỏ Đức Giê-hô-va, hầu việc Ba-anh và At-tạt-tê.|並 離 棄 耶 和 華 、 去 事 奉 巴 力 和 亞 斯 他 錄 。
Cơn thạnh nộ của Đức Giê-hô-va nổi phừng lên cùng Y-sơ-ra-ên, Ngài phó chúng vào tay của kẻ cướp bóc, và chúng nó bóc lột họ; Ngài bán Y-sơ-ra-ên cho các kẻ thù nghịch chung quanh, và Y-sơ-ra-ên không còn thế chống cự nổi được trước kẻ thù nghịch mình.|耶 和 華 的 怒 氣 向 以 色 列 人 發 作 、 就 把 他 們 交 在 搶 奪 他 們 的 人 手 中 ． 又 將 他 們 付 與 四 圍 仇 敵 的 手 中 、 甚 至 他 們 在 仇 敵 面 前 再 不 能 站 立 得 住 。
Bất luận chúng đi đến đâu, tay của Đức Giê-hô-va vẫn nghịch cùng chúng đặng giáng họa cho, y như Đức Giê-hô-va đã phán và đã thề cùng chúng. Chúng bị cơn hoạn nạn lớn lao thay.|他 們 無 論 往 何 處 去 、 耶 和 華 都 以 災 禍 攻 擊 他 們 、 正 如 耶 和 華 所 說 的 話 、 又 如 耶 和 華 向 他 們 所 起 的 誓 ． 他 們 便 極 其 困 苦 。
Song Đức Giê-hô-va dấy lên những quan xét giải cứu chúng khỏi tay kẻ cướp bóc.|耶 和 華 興 起 士 師 、 士 師 就 拯 救 他 們 脫 離 搶 奪 他 們 人 的 手 。
Nhưng chúng cũng không nghe các quan xét vì chúng hành dâm cùng các thần khác, và quì lạy trước mặt các thần ấy. Chúng vội xây bỏ con đường mà tổ phụ mình đã đi, chẳng bắt chước theo tổ phụ vâng giữ các điều răn của Đức Giê-hô-va.|他 們 卻 不 聽 從 士 師 、 竟 隨 從 叩 拜 別 神 、 行 了 邪 淫 、 速 速 的 偏 離 他 們 列 祖 所 行 的 道 、 不 如 他 們 列 祖 順 從 耶 和 華 的 命 令 。
Vả, khi Đức Giê-hô-va dấy lên các quan xét cho Y-sơ-ra-ên, thì Đức Giê-hô-va ở cùng quan xét đó, và trọn đời quan xét, Ngài giải cứu Y-sơ-ra-ên khỏi tay kẻ thù nghịch mình; vì Đức Giê-hô-va lấy lòng thương xót họ tại cớ những tiếng rên siếc mà họ thở ra trước mặt những kẻ hà hiếp và làm tức tối mình.|耶 和 華 為 他 們 興 起 士 師 、 就 與 那 士 師 同 在 ． 士 師 在 世 的 一 切 日 子 、 耶 和 華 拯 救 他 們 脫 離 仇 敵 的 手 ． 他 們 因 受 欺 壓 擾 害 、 就 哀 聲 歎 氣 、 所 以 耶 和 華 後 悔 了 。
Kế sau, khi quan xét qua đời rồi, Y-sơ-ra-ên lại làm ác hơn các tổ phụ mình, tin theo các thần khác, hầu việc và thờ lạy trước mặt các thần ấy: Y-sơ-ra-ên không khứng chừa bỏ việc làm ác hay là lối cố chấp của họ.|及 至 士 師 死 後 、 他 們 就 轉 去 行 惡 、 比 他 們 列 祖 更 甚 、 去 事 奉 叩 拜 別 神 ． 總 不 斷 絕 頑 梗 的 惡 行 。
Bởi cớ đó, cơn thạnh nộ của Đức Giê-hô-va nổi phừng lên cùng Y-sơ-ra-ên, và Ngài phán rằng: Vì dân tộc nầy có bội nghịch giao ước của ta đã truyền cho tổ phụ chúng nó, và vì chúng nó không có nghe lời phán ta,|於 是 耶 和 華 的 怒 氣 向 以 色 列 人 發 作 ． 他 說 、 因 這 民 違 背 我 吩 咐 他 們 列 祖 所 守 的 約 、 不 聽 從 我 的 話 、
nên về phần ta, ta cũng chẳng đuổi khỏi trước mặt chúng nó một dân nào mà Giô-suê để lại khi người qua đời.|所 以 約 書 亞 死 的 時 候 所 剩 下 的 各 族 、 我 必 不 再 從 他 們 面 前 趕 出 ．
Ta sẽ dùng các dân tộc đó thử thách Y-sơ-ra-ên, để xem thử chúng nó có giữ và đi theo đường của Đức Giê-hô-va, như tổ phụ chúng nó chăng.|為 要 藉 此 試 驗 以 色 列 人 、 看 他 們 肯 照 他 們 列 祖 謹 守 遵 行 我 的 道 不 肯 。
Ay vậy, Đức Giê-hô-va để cho các dân tộc nầy ở lại trong xứ, không vội đuổi chúng nó đi, và cũng không phó chúng nó vào tay Giô-suê.|這 樣 耶 和 華 留 下 各 族 、 不 將 他 們 速 速 趕 出 、 也 沒 有 交 付 約 書 亞 的 手 。

					Các Thủ Lãnh 3				|
						士師記 3					
Nầy là các dân tộc mà Đức Giê-hô-va để còn lại, đặng dùng chúng nó thử thách người Y-sơ-ra-ên nào chưa từng thấy những chiến trận Ca-na-an.|耶 和 華 留 下 這 幾 族 、 為 要 試 驗 那 不 曾 知 道 與 迦 南 爭 戰 之 事 的 以 色 列 人 ．
Ngài chỉ muốn thử thách các dòng dõi mới của dân Y-sơ-ra-ên, tập cho chúng nó việc chiến trận, nhứt là những kẻ chưa từng thấy chiến trận khi trước.|好 叫 以 色 列 的 後 代 、 又 知 道 又 學 習 未 曾 曉 得 的 戰 事 。
Các dân tộc nầy là dân Phi-li-tin cùng năm vua chúng nó, hết thảy dân Ca-na-an, dân Si-đôn, và dân Hê-vít ở tại núi Li-ban, từ núi Ba-anh-Hẹt-môn cho đến cửa Ha-mát.|所 留 下 的 、 就 是 非 利 士 的 五 個 首 領 、 和 一 切 迦 南 人 、 西 頓 人 、 並 住 利 巴 嫩 山 的 希 未 人 、 從 巴 力 黑 們 山 、 直 到 哈 馬 口 。
Đức Giê-hô-va dùng các dân tộc nầy để thử thách Y-sơ-ra-ên, đặng xem thử chúng nó có ý vâng theo các điều răn mà Ngài cậy Môi-se truyền cho tổ phụ chúng nó chăng.|留 下 這 幾 族 、 為 要 試 驗 以 色 列 人 、 知 道 他 們 肯 聽 從 耶 和 華 藉 摩 西 吩 咐 他 們 列 祖 的 誡 命 不 肯 。
Như vậy, dân Y-sơ-ra-ên ở chung cùng dân Ca-na-an, dân Hê-tít, dân A-mô-rít, dân Phê-rê-sít, dân Hê-vít, dân Giê-bu-sít,|以 色 列 人 竟 住 在 迦 南 人 、 赫 人 、 亞 摩 利 人 、 比 利 洗 人 、 希 未 人 、 耶 布 斯 人 中 間 、
cưới con gái của chúng nó làm vợ, gả con gái mình cho con trai chúng nó, và hầu việc các thần chúng nó.|娶 他 們 的 女 兒 為 妻 、 將 自 己 的 女 兒 嫁 給 他 們 的 兒 子 、 並 事 奉 他 們 的 神 。
Dân Y-sơ-ra-ên còn làm điều ác trước mặt Đức Giê-hô-va, quên Giê-hô-va Đức Chúa Trời mình, cúng thờ các hình tượng Ba-anh và A-sê-ra.|以 色 列 人 行 耶 和 華 眼 中 看 為 惡 的 事 、 忘 記 耶 和 華 他 們 的 　 神 、 去 事 奉 諸 巴 力 和 亞 舍 拉 。
Vì vậy, cơn thạnh nộ của Đức Giê-hô-va nổi phừng cùng Y-sơ-ra-ên, Ngài phó chúng vào tay Cu-san-Ri-sa-tha-im, vua nước Mê-sô-bô-ta-mi. Dân Y-sơ-ra-ên bị tám năm phục dịch vua Cu-san-Ri-sa-tha-im.|所 以 耶 和 華 的 怒 氣 向 以 色 列 人 發 作 、 就 把 他 們 交 在 米 所 波 大 米 王 古 珊 利 薩 田 的 手 中 ． 以 色 列 人 服 事 古 珊 利 薩 田 八 年 。
Kế ấy, dân Y-sơ-ra-ên kêu la cùng Đức Giê-hô-va; Đức Giê-hô-va bèn dấy lên cho chúng nó một người giải cứu, là Ot-ni-ên, con trai của Kê-na, em thứ của Ca-lép, và người ấy giải cứu họ.|以 色 列 人 呼 求 耶 和 華 的 時 候 、 耶 和 華 就 為 他 們 興 起 一 位 拯 救 者 救 他 們 、 就 是 迦 勒 兄 弟 、 基 納 斯 的 兒 子 俄 陀 聶 。
Thần của Đức Giê-hô-va cảm động người, người đoán xét Y-sơ-ra-ên, và đi ra chiến trận. Đức Giê-hô-va phó Cu-san-Ri-sa-tha-im, vua A-ram, vào tay người, khiến cho người thắng Cu-san-Ri-sa-tha-im.|耶 和 華 的 靈 降 在 他 身 上 、 他 就 作 了 以 色 列 的 士 師 、 出 去 爭 戰 ． 耶 和 華 將 米 所 波 大 米 王 古 珊 利 薩 田 交 在 他 手 中 、 他 便 勝 了 古 珊 利 薩 田 。
Xứ được hòa bình trong bốn mươi năm; kế đó, Ot-ni-ên, con trai Kê-na, qua đời.|於 是 國 中 太 平 四 十 年 。 基 納 斯 的 兒 子 俄 陀 聶 死 了 。
Dân Y-sơ-ra-ên lại làm điều ác trước mặt Đức Giê-hô-va; nên Đức Giê-hô-va khiến Ec-lôn, vua Mô-áp trở nên cường thạnh để hãm đánh Y-sơ-ra-ên.|以 色 列 人 又 行 耶 和 華 眼 中 看 為 惡 的 事 、 耶 和 華 就 使 摩 押 王 伊 磯 倫 強 盛 、 攻 擊 以 色 列 人 。
Vậy, Ec-lôn nhóm hiệp chung quanh mình dân Am-môn và dân A-ma-léc, kéo đi đánh Y-sơ-ra-ên và chiếm lấy thành Cây chà là.|伊 磯 倫 招 聚 亞 捫 人 和 亞 瑪 力 人 、 去 攻 打 以 色 列 人 、 佔 據 棕 樹 城 。
Dân Y-sơ-ra-ên bị phục dịch Ec-lôn, vua Mô-áp, trong mười tám năm.|於 是 以 色 列 人 服 事 摩 押 王 伊 磯 倫 十 八 年 。
Đoạn, dân Y-sơ-ra-ên kêu la cùng Đức Giê-hô-va, Đức Giê-hô-va dấy lên cho chúng một đấng giải cứu, là Ê-hút, con trai Ghê-ra, thuộc về chi phái Bên-gia-min, là người có tật thuận tay tả. Dân Y-sơ-ra-ên sai người đem lễ cống cho Ec-lôn, vua Mô-áp.|以 色 列 人 呼 求 耶 和 華 的 時 候 、 耶 和 華 就 為 他 們 興 起 一 位 拯 救 者 、 就 是 便 雅 憫 人 基 拉 的 兒 子 以 笏 、 他 是 左 手 便 利 的 ． 以 色 列 人 託 他 送 禮 物 給 摩 押 王 伊 磯 倫 。
Ê-hút tự làm lấy một cây gươm hai lưỡi, dài một thước, và đeo theo trong mình áo nơi háng hữu.|以 笏 打 了 一 把 兩 刃 的 劍 、 長 一 肘 、 帶 在 右 腿 上 衣 服 裡 面 。
Vậy, người đem dâng lễ cống cho Ec-lôn, vua Mô-áp, là một người rất mập.|他 將 禮 物 獻 給 摩 押 王 伊 磯 倫 、 原 來 伊 磯 倫 極 其 肥 胖 。
Khi dâng lễ cống rồi, bèn cho những kẻ đã đem lễ vật đến đi về.|以 笏 獻 完 禮 物 、 便 將 抬 禮 物 的 人 打 發 走 了 。
Nhưng chánh người đến hầm lấy đá ở gần Ghinh-ganh, thì trở lại, nói rằng: Hỡi vua, tôi có một lời tâu kín cùng vua. Vua truyền: Hãy nín! Hết thảy những kẻ hầu cận vua bèn đi ra.|自 己 卻 從 靠 近 吉 甲 鑿 石 之 地 回 來 、 說 、 王 阿 、 我 有 一 件 機 密 事 奏 告 你 ． 王 說 、 迴 避 罷 ． 於 是 左 右 侍 立 的 人 都 退 去 了 。
Bấy giờ, vua đương ngồi một mình nơi lầu mát; Ê-hút đến gần mà nói rằng: Tôi có một lời của Đức Chúa Trời tâu lại với vua. Ec-lôn vừa đứng dậy khỏi ngai;|以 笏 來 到 王 面 前 ． 王 獨 自 一 人 坐 在 涼 樓 上 。 以 笏 說 、 我 奉 　 神 的 命 報 告 你 一 件 事 ． 王 就 從 座 位 上 站 起 來 。
Ê-hút bèn giơ tay tả ra rút gươm đeo ở phía hữu, mà đâm người nơi bụng.|以 笏 便 伸 左 手 、 從 右 腿 上 拔 出 劍 來 、 刺 入 王 的 肚 腹 ．
