
					Xuất Hành 1				|
Vậy, người Ê-díp-tô bèn đặt các kẻ đầu xâu để bắt dân Y-sơ-ra-ên làm xâu khó nhọc; họ xây thành Phi-thom và Ram-se dùng làm kho tàng cho Pha-ra-ôn.|於 是 埃 及 人 派 督 工 的 轄 制 他 們 、 加 重 擔 苦 害 他 們 ． 他 們 為 法 老 建 造 兩 座 積 貨 城 、 就 是 比 東 、 和 蘭 塞 。
Nhưng người Ê-díp-tô càng bắt làm khó nhọc chừng nào, dân Y-sơ-ra-ên càng thêm nhiều lên, và tràn ra chừng nấy. Người Ê-díp-tô bèn đem lòng ghen ghét dân Y-sơ-ra-ên,|只 是 越 發 苦 害 他 們 、 他 們 越 發 多 起 來 、 越 發 蔓 延 ． 埃 及 人 就 因 以 色 列 人 愁 煩 。
bắt làm công việc nhọc nhằn,|埃 及 人 嚴 嚴 的 使 以 色 列 人 作 工 。
gây cho đời dân ấy nên cay đắng, vì nỗi khổ sở nhồi đất, làm gạch và mọi việc khác ở ngoài đồng. Các công việc nầy người Ê-díp-tô bắt dân Y-sơ-ra-ên làm nhọc nhằn lắm.|使 他 們 因 作 苦 工 覺 得 命 苦 、 無 論 是 和 泥 、 是 做 磚 、 是 作 田 間 各 樣 的 工 、 在 一 切 的 工 上 都 嚴 嚴 的 待 他 們 。
Vua xứ Ê-díp-tô cũng phán cùng các bà mụ của dân Hê-bơ-rơ, một người tên Siếp-ra và một người tên Phu -a,|有 希 伯 來 的 兩 個 收 生 婆 、 一 名 施 弗 拉 、 一 名 普 阿 ． 埃 及 王 對 他 們 說 、
mà rằng: Khi các ngươi đi rước thai cho người đàn bà Hê-bơ-rơ, hễ thấy sanh con trai, thì hãy làm cho chết đi; còn con gái, thì hãy để cho sống.|你 們 為 希 伯 來 婦 人 收 生 、 看 他 們 臨 盆 的 時 候 、 若 是 男 孩 、 就 把 他 殺 了 、 若 是 女 孩 、 就 留 他 存 活 。
Nhưng các bà mụ kính sợ Đức Chúa Trời, chẳng làm theo lời vua Ê-díp-tô phán dặn, đều để cho các con trai sống hết.|但 是 收 生 婆 敬 畏 　 神 、 不 照 埃 及 王 的 吩 咐 行 、 竟 存 留 男 孩 的 性 命 。
Vua xứ Ê-díp-tô bèn đòi những bà mụ mà phán rằng: Sao các ngươi làm như vậy, để cho những con trai sống?|埃 及 王 召 了 收 生 婆 來 、 說 、 你 們 為 甚 麼 作 這 事 、 存 留 男 孩 的 性 命 呢 。
Các bà mụ tâu rằng: Ay tại người đàn bà Hê-bơ-rơ chẳng phải như người đàn bà Ê-díp-tô; vì họ mạnh khỏe hơn, đã sanh nở trước khi mụ đến.|收 生 婆 對 法 老 說 、 因 為 希 伯 來 婦 人 與 埃 及 婦 人 不 同 、 希 伯 來 婦 人 本 是 健 壯 的 、 〔 原 文 作 活 潑 的 〕 收 生 婆 還 沒 有 到 、 他 們 已 經 生 產 了 。
Đức Chúa Trời ban ơn cho những bà mụ; dân sự gia thêm và trở nên đông đúc.|　 神 厚 待 收 生 婆 ． 以 色 列 人 多 起 來 、 極 其 強 盛 。
Ay vậy, vì bà mụ có lòng kính sợ Đức Chúa Trời, nên Ngài làm cho nhà họ được thạnh vượng.|收 生 婆 因 為 敬 畏 　 神 、 　 神 便 叫 他 們 成 立 家 室 。
Pha-ra-ôn bèn truyền lịnh cho cả dân mình rằng: Phàm con trai của dân Hê-bơ-rơ mới sanh, hãy liệng xuống sông; còn con gái, thì để cho sống.|法 老 吩 咐 他 的 眾 民 說 、 以 色 列 人 所 生 的 男 孩 、 你 們 都 要 丟 在 河 裡 、 一 切 的 女 孩 、 你 們 要 存 留 他 的 性 命 。

					Xuất Hành 2				|
						出埃及記 2					
Vả, có một người trong họ Lê-vi đi cưới con gái Lê-vi làm vợ.|有 一 個 利 未 家 的 人 、 娶 了 一 個 利 未 女 子 為 妻 。
Nàng thọ thai, và sanh một con trai; thấy con ngộ, nên đem đi giấu trong ba tháng.|那 女 人 懷 孕 、 生 一 個 兒 子 、 見 他 俊 美 就 藏 了 他 三 個 月 。
Nhưng giấu lâu hơn nữa không được, nàng bèn lấy một cái rương mây, trét chai và nhựa thông, rồi để đứa trẻ vào, đem thả trong đám sậy dựa mé sông.|後 來 不 能 再 藏 、 就 取 了 一 個 蒲 草 箱 、 抹 上 石 漆 和 石 油 、 將 孩 子 放 在 裡 頭 、 把 箱 子 擱 在 河 邊 的 蘆 荻 中 。
Người chị đứa trẻ đứng xa nơi đó đặng cho biết nó sẽ ra sao.|孩 子 的 姐 姐 遠 遠 站 著 、 要 知 道 他 究 竟 怎 麼 樣 。
Vả, bấy giờ, con gái Pha-ra-ôn xuống sông tắm, còn các con đòi đi dạo chơi trên mé sông; công chúa thấy cái rương mây đó giữa đám sậy, bèn sai con đòi mình đi vớt lên.|法 老 的 女 兒 來 到 河 邊 洗 澡 、 他 的 使 女 們 在 河 邊 行 走 ． 他 看 見 箱 子 在 蘆 荻 中 、 就 打 發 一 個 婢 女 拿 來 。
Công chúa mở rương ra, thấy đứa trẻ, là một đứa con trai nhỏ đương khóc, bèn động lòng thương xót mà rằng: Ay là một đứa con của người Hê-bơ-rơ.|他 打 開 箱 子 看 見 那 孩 子 、 孩 子 哭 了 、 他 就 可 憐 他 、 說 、 這 是 希 伯 來 人 的 一 個 孩 子 。
Người chị đứa trẻ bèn nói cùng công chúa rằng: Tôi phải đi kêu một người vú trong bọn đàn bà Hê-bơ-rơ đặng cho dứa trẻ bú chớ?|孩 子 的 姐 姐 對 法 老 的 女 兒 說 、 我 去 在 希 伯 來 婦 人 中 叫 一 個 奶 媽 來 、 為 你 奶 這 孩 子 、 可 以 不 可 以 。
Công chúa đáp rằng: Hãy đi đi. Người gái trẻ đó kêu mẹ của đứa trẻ.|法 老 的 女 兒 說 、 可 以 ． 童 女 就 去 叫 了 孩 子 的 母 親 來 。
Công chúa nói rằng: Hãy đem đứa trẻ nầy về nuôi bú cho ta; ta sẽ trả tiền công cho. Người đàn bà ẵm đứa trẻ mà cho bú.|法 老 的 女 兒 對 他 說 、 你 把 這 孩 子 抱 去 、 為 我 奶 他 、 我 必 給 你 工 價 ． 婦 人 就 抱 了 孩 子 去 奶 他 。
Khi lớn khôn rồi, người bèn dẫn nó vào cho công chúa, nàng nhận làm con, và đặt tên là Môi-se, vì nàng nói rằng: Ta đã vớt nó khỏi nước.|孩 子 漸 長 、 婦 人 把 他 帶 到 法 老 的 女 兒 那 裡 、 就 作 了 他 的 兒 子 ． 他 給 孩 子 起 名 叫 摩 西 、 意 思 說 、 因 我 把 他 從 水 裡 拉 出 來 。
Vả, đang lúc đó, Môi-se đã lớn khôn rồi, ra đi đến cùng anh em mình, xem thấy công việc nhọc nhằn của họ; cũng thấy một người Ê-díp-tô đánh một người Hê-bơ-rơ trong vòng anh em mình;|後 來 摩 西 長 大 、 他 出 去 到 他 弟 兄 那 裡 、 看 他 們 的 重 擔 、 見 一 個 埃 及 人 打 希 伯 來 人 的 一 個 弟 兄 ．
ngó quanh quất chẳng thấy ai, bèn giết người Ê-díp-tô đem vùi trong cát.|他 左 右 觀 看 、 見 沒 有 人 、 就 把 埃 及 人 打 死 了 、 藏 在 沙 土 裡 。
Qua ngày sau, Môi-se đi ra nữa, thấy hai người Hê-bơ-rơ đánh lộn, bèn nói cùng người có lỗi rằng: Sao ngươi đánh người đồng loại mình?|第 二 天 他 出 去 見 有 兩 個 希 伯 來 人 爭 鬥 、 就 對 那 欺 負 人 的 說 、 你 為 甚 麼 打 你 同 族 的 人 呢 。
Nhưng người đó đáp rằng: Ai đặt ngươi làm vua, làm quan án cho chúng ta? Có phải muốn giết ta như đã giết người Ê-díp-tô kia chăng? Môi-se sợ, nói rằng: Chắc thật, việc nầy phải lậu rồi.|那 人 說 、 誰 立 你 作 我 們 的 首 領 和 審 判 官 呢 、 難 道 你 要 殺 我 、 像 殺 那 埃 及 人 麼 。 摩 西 便 懼 怕 、 說 、 這 事 必 是 被 人 知 道 了 。
Pha-ra-ôn hay việc đó, thì tìm giết Môi-se; nhưng người trốn đi khỏi mặt Pha-ra-ôn, dừng chân tại xứ Ma-đi-an, và ngồi gần bên một cái giếng.|法 老 聽 見 這 事 、 就 想 殺 摩 西 、 但 摩 西 躲 避 法 老 逃 往 米 甸 地 居 住 。
Vả, thầy tế lễ xứ Ma-đi-an có bảy con gái; các nàng đó đến giếng xách nước đổ đầy máng đặng cho bầy chiên cha mình uống.|一 日 他 在 井 旁 坐 下 、 米 甸 的 祭 司 有 七 個 女 兒 、 他 們 來 打 水 、 打 滿 了 槽 、 要 飲 父 親 的 群 羊 。
Nhưng các kẻ chăn chiên đến đuổi đi; Môi-se bèn đứng dậy, binh vực các nàng đó và cho những bầy chiên uống nước.|有 牧 羊 的 人 來 把 他 們 趕 走 了 、 摩 西 卻 起 來 幫 助 他 們 、 又 飲 了 他 們 的 群 羊 。
Khi mấy nàng trở về nhà Rê -u-ên, cha mình, thì người hỏi rằng: Sao bữa nay các con về sớm vậy?|他 們 來 到 父 親 流 珥 那 裡 、 他 說 、 今 日 你 們 為 何 來 得 這 麼 快 呢 。
Thưa rằng: Một người Ê-díp-tô cứu chúng tôi ra khỏi tay bọn chăn chiên, và cũng có xách nước nhiều quá cho bầy chiên uống nữa.|他 們 說 、 有 一 個 埃 及 人 救 我 們 脫 離 牧 羊 人 的 手 、 並 且 為 我 們 打 水 飲 了 群 羊 。
Cha lại hỏi rằng: Người đó bây giờ ở đâu? Sao các con bỏ người đi? Hãy mời đến đặng ăn bánh.|他 對 女 兒 們 說 、 那 個 人 在 那 裡 、 你 們 為 甚 麼 撇 下 他 呢 、 你 們 去 請 他 來 喫 飯 。
Môi-se ưng ở cùng người nầy, người bèn gả Sê-phô-ra, con gái mình, cho Môi-se.|摩 西 甘 心 和 那 人 同 住 ． 那 人 把 他 的 女 兒 西 坡 拉 給 摩 西 為 妻 。
Nàng sanh một con trai; Môi-se đặt tên là Ghẹt-sôn vì nói rằng: Tôi kiều ngụ nơi ngoại bang.|西 坡 拉 生 了 一 個 兒 子 、 摩 西 給 他 起 名 叫 革 舜 、 意 思 說 、 因 我 在 外 邦 作 了 寄 居 的 。
Sau cách lâu, vua xứ Ê-díp-tô băng; dân Y-sơ-ra-ên than thở kêu van vì phải phục dịch khổ sở; tiếng kêu van lên thấu Đức Chúa Trời.|過 了 多 年 、 埃 及 王 死 了 ． 以 色 列 人 因 作 苦 工 、 就 歎 息 哀 求 、 他 們 的 哀 聲 達 於 　 神 。
Ngài nghe tiếng than thở chúng, nhớ đến sự giao ước mình kết lập cùng Ap-ra-ham, Y-sác và Gia-cốp.|　 神 聽 見 他 們 的 哀 聲 、 就 記 念 他 與 亞 伯 拉 罕 、 以 撒 、 雅 各 所 立 的 約 。
Đức Chúa Trời đoái lại dân Y-sơ-ra-ên, nhận biết cảnh ngộ của chúng.|　 神 看 顧 以 色 列 人 、 也 知 道 他 們 的 苦 情 。

					Xuất Hành 3				|
						出埃及記 3					
Vả, Môi-se chăn bầy chiên cho Giê-trô, ông gia mình, là thầy tế lễ tại xứ Ma-đi-an; dẫn bầy chiên qua phía bên kia đồng vắng, đến núi của Đức Chúa Trời, là núi Hô-rếp.|摩 西 牧 養 他 岳 父 米 甸 祭 司 葉 忒 羅 的 羊 群 、 一 日 領 羊 群 往 野 外 去 、 到 了 　 神 的 山 、 就 是 何 烈 山 。
Thiên sứ của Đức Giê-hô-va hiện ra cùng người trong ngọn lửa, giữa bụi gai kia. Người nhìn thấy cả bụi gai đang cháy, nhưng không hề tàn.|耶 和 華 的 使 者 從 荊 棘 裡 火 焰 中 向 摩 西 顯 現 ． 摩 西 觀 看 、 不 料 、 荊 棘 被 火 燒 著 、 卻 沒 有 燒 燬 。
Môi-se bèn nói rằng: Ta hãy tẻ bước lại đặng xem sự lạ lớn nầy, vì cớ sao bụi gai chẳng tàn chút nào.|摩 西 說 、 我 要 過 去 看 這 大 異 象 、 這 荊 棘 為 何 沒 有 燒 壞 呢 。
Đức Giê-hô-va thấy người tẻ bước lại xem, Đức Chúa Trời bèn ở giữa bụi gai gọi rằng: Hỡi Môi-se, hỡi Môi-se! Người thưa rằng: Có tôi đây!|耶 和 華 　 神 見 他 過 去 要 看 、 就 從 荊 棘 裡 呼 叫 說 、 摩 西 、 摩 西 ． 他 說 、 我 在 這 裡 。
Đức Chúa Trời phán rằng: Chớ lại gần chốn nầy, Hãy cổi giầy ngươi ra, vì chỗ ngươi đang đứng là đất thánh.|　 神 說 、 不 要 近 前 來 、 當 把 你 腳 上 的 鞋 脫 下 來 、 因 為 你 所 站 之 地 是 聖 地 ．
Rồi Ngài lại nói: Ta là Đức Chúa Trời của tổ phụ ngươi, Đức Chúa Trời của Ap-ra-ham, Đức Chúa Trời của Y-sác, và Đức Chúa Trời của Gia-cốp. Môi-se liền che mặt, vì sợ nhìn đến Đức Chúa Trời.|又 說 、 我 是 你 父 親 的 　 神 、 是 亞 伯 拉 罕 的 　 神 、 以 撒 的 　 神 、 雅 各 的 　 神 。 摩 西 蒙 上 臉 、 因 為 怕 看 　 神 。
Đức Giê-hô-va phán rằng: Ta đã thấy rõ ràng sự cực khổ của dân ta tại xứ Ê-díp-tô, và có nghe thấu tiếng kêu rêu vì cớ người đốc công của nó; phải, ta biết được nỗi đau đớn của nó.|耶 和 華 說 、 我 的 百 姓 在 埃 及 所 受 的 困 苦 、 我 實 在 看 見 了 ． 他 們 因 受 督 工 的 轄 制 所 發 的 哀 聲 、 我 也 聽 見 了 ． 我 原 知 道 他 們 的 痛 苦 。
Ta ngự xuống đặng cứu dân nầy khỏi tay người Ê-díp-tô, dẫn từ xứ ấy lên đến một xứ kia đẹp đẽ và rộng rãi, đượm sữa và mật, tức là nơi dân Ca-na-an, dân Hê-tít, dân A-mô-rít, dân Phê-rê-sít, dân Hê-vít và dân Giê-bu-sít ở.|我 下 來 是 要 救 他 們 脫 離 埃 及 人 的 手 、 領 他 們 出 了 那 地 、 到 美 好 寬 闊 流 奶 與 蜜 之 地 、 就 是 到 迦 南 人 、 赫 人 、 亞 摩 利 人 、 比 利 洗 人 、 希 未 人 、 耶 布 斯 人 之 地 。
Nầy, tiếng kêu rêu của dân Y-sơ-ra-ên thấu đến ta, và ta đã thấy dân Ê-díp-tô hà hiếp chúng nó thể nào;|現 在 以 色 列 人 的 哀 聲 達 到 我 耳 中 、 我 也 看 見 埃 及 人 怎 樣 欺 壓 他 們 。
vậy bây giờ, hãy lại đây, đặng ta sai ngươi đi đến Pha-ra-ôn, để dắt dân ta, là dân Y-sơ-ra-ên, ra khỏi xứ Ê-díp-tô.|故 此 我 要 打 發 你 去 見 法 老 、 使 你 可 以 將 我 的 百 姓 以 色 列 人 從 埃 及 領 出 來 。
Môi-se bèn thưa rằng: Tôi là ai, dám đi đến Pha-ra-ôn, đặng dắt dân Y-sơ-ra-ên ra khỏi xứ Ê-díp-tô?|摩 西 對 　 神 說 、 我 是 甚 麼 人 、 竟 能 去 見 法 老 、 將 以 色 列 人 從 埃 及 領 出 來 呢 。
Đức Chúa Trời phán rằng: Ta sẽ ở cùng ngươi; nầy là điều làm dấu cho ngươi biết rằng ta đã sai ngươi đi: Khi ngươi dắt dân sự ra khỏi xứ Ê-díp-tô rồi, thì các ngươi sẽ phụng sự Đức Chúa Trời tại trên núi nầy.|　 神 說 、 我 必 與 你 同 在 、 你 將 百 姓 從 埃 及 領 出 來 之 後 、 你 們 必 在 這 山 上 事 奉 我 、 這 就 是 我 打 發 你 去 的 證 據 。
Môi-se thưa cùng Đức Chúa Trời rằng: Nầy, tôi sẽ đi đến dân Y-sơ-ra-ên, nói cùng họ rằng: Đức Chúa Trời của tổ phụ các ngươi sai ta đến cùng các ngươi; nhưng nếu họ hỏi: Tên Ngài là chi? thì tôi nói với họ làm sao?|摩 西 對 　 神 說 、 我 到 以 色 列 人 那 裡 、 對 他 們 說 、 你 們 祖 宗 的 　 神 打 發 我 到 你 們 這 裡 來 ． 他 們 若 問 我 說 、 他 叫 甚 麼 名 字 、 我 要 對 他 們 說 甚 麼 呢 。
Đức Chúa Trời phán rằng: Ta là Đấng Tự Hữu Hằng Hữu; rồi Ngài lại rằng: Hãy nói cho dân Y-sơ-ra-ên như vầy: Đấng Tự Hữu đã sai ta đến cùng các ngươi.|　 神 對 摩 西 說 、 我 是 自 有 永 有 的 ． 又 說 、 你 要 對 以 色 列 人 這 樣 說 、 那 自 有 的 打 發 我 到 你 們 這 裡 來 。
Đức Chúa Trời lại phán cùng Môi-se rằng: Ngươi sẽ nói cho dân Y-sơ-ra-ên như vầy: Giê-hô-va, Đức Chúa Trời của tổ phụ các ngươi, Đức Chúa Trời của Ap-ra-ham, Đức Chúa Trời của Y-sác, Đức Chúa Trời của Gia-cốp, sai ta đến cùng các ngươi. Ay đó là danh đời đời của ta, ấy sẽ là kỷ niệm của ta trải qua các đời.|　 神 又 對 摩 西 說 、 你 要 對 以 色 列 人 這 樣 說 、 耶 和 華 你 們 祖 宗 的 　 神 、 就 是 亞 伯 拉 罕 的 　 神 、 以 撒 的 　 神 、 雅 各 的 　 神 、 打 發 我 到 你 們 這 裡 來 ． 耶 和 華 是 我 的 名 、 直 到 永 遠 、 這 也 是 我 的 紀 念 、 直 到 萬 代 。
Hãy đi, hội hiệp các trưởng lão Y-sơ-ra-ên, mà nói cùng họ rằng: Giê-hô-va, Đức Chúa Trời của tổ phụ các ngươi, Đức Chúa Trời của Ap-ra-ham, Đức Chúa Trời của Y-sác, Đức Chúa Trời của Gia-cốp, đã hiện ra cùng ta mà phán rằng: Thật vậy, ta đã thăm viếng các ngươi, thấy điều họ đãi các ngươi tại xứ Ê-díp-tô,|你 去 招 聚 以 色 列 的 長 老 、 對 他 們 說 、 耶 和 華 你 們 祖 宗 的 　 神 、 就 是 亞 伯 拉 罕 的 　 神 、 以 撒 的 　 神 、 雅 各 的 　 神 、 向 我 顯 現 、 說 、 我 實 在 眷 顧 了 你 們 、 我 也 看 見 埃 及 人 怎 樣 待 你 們 。
nên ta đã phán rằng: Ta sẽ rút các ngươi ra khỏi cảnh khổ tại xứ Ê-díp-tô, đặng đem lên xứ của dân Ca-na-an, dân Hê-tít, dân A-mô-rít, dân Phê-rê-sít, dân Hê-vít, và dân Giê-bu-sít, tức là một xứ đượm sữa và mật.|我 也 說 、 要 將 你 們 從 埃 及 的 困 苦 中 領 出 來 、 往 迦 南 人 、 赫 人 、 亞 摩 利 人 、 比 利 洗 人 、 希 未 人 、 耶 布 斯 人 的 地 去 、 就 是 到 流 奶 與 蜜 之 地 。
Dân sự sẽ vâng theo lời ngươi; vậy, ngươi và các trưởng lão Y-sơ-ra-ên hãy đi yết-kiến vua xứ Ê-díp-tô mà tâu rằng: Giê-hô-va, Đức Chúa Trời của dân Hê-bơ-rơ, đã hiện ra cùng chúng tôi. Vây bây giờ, xin để cho chúng tôi đi đến nơi đồng vắng, cách chừng ba ngày đường đặng dâng của lễ cho Giê-hô-va Đức Chúa Trời chúng tôi.|他 們 必 聽 你 的 話 ． 你 和 以 色 列 的 長 老 要 去 見 埃 及 王 、 對 他 說 、 耶 和 華 希 伯 來 人 的 　 神 、 遇 見 了 我 們 ． 現 在 求 你 容 我 們 往 曠 野 去 、 走 三 天 的 路 程 、 為 要 祭 祀 耶 和 華 我 們 的 　 神 。
Vả, ta biết rằng dẫu lấy quyền lực ép buộc vua Ê-díp-tô, thì người cũng chẳng bao giờ cho các ngươi đi!|我 知 道 雖 用 大 能 的 手 、 埃 及 王 也 不 容 你 們 去 。
Nhưng ta sẽ giơ tay ra hành xứ Ê-díp-tô bằng các phép lạ ta làm giữa xứ đó, sau rồi họ sẽ cho các ngươi đi.|我 必 伸 手 、 在 埃 及 中 間 施 行 我 一 切 的 奇 事 、 攻 擊 那 地 ． 然 後 他 纔 容 你 們 去 。
Ta sẽ làm cho dân nầy được ơn trước mắt người Ê-díp-tô; vậy, khi nào các ngươi ra đi, thì sẽ chẳng ra đi tay không;|我 必 叫 你 們 在 埃 及 人 眼 前 蒙 恩 、 你 們 去 的 時 候 、 就 不 至 於 空 手 而 去 ．
nhưng mỗi người đàn bà sẽ hỏi xin người nữ lân cận, cùng kẻ ở tạm nhà mình những đồ bằng vàng, bằng bạc và quần áo, mặc lấy cho con trai con gái mình. Các ngươi sẽ lột trần dân Ê-díp-tô là như vậy.|但 各 婦 女 必 向 他 的 鄰 舍 、 並 居 住 在 他 家 裡 的 女 人 、 要 金 器 、 銀 器 、 和 衣 裳 、 好 給 你 們 的 兒 女 穿 戴 ． 這 樣 你 們 就 把 埃 及 人 的 財 物 奪 去 了 。

					Xuất Hành 4				|
						出埃及記 4					
Môi-se thưa rằng: Nhưng dân đó sẽ chẳng tin và chẳng vâng lời tôi, vì sẽ nói rằng: Đức Giê-hô-va chẳng có hiện ra cùng ngươi đâu.|摩 西 回 答 說 、 他 們 必 不 信 我 、 也 不 聽 我 的 話 、 必 說 、 耶 和 華 並 沒 有 向 你 顯 現 。
Đức Giê-hô-va phán rằng: Trong tay ngươi cầm vật chi? Thưa rằng: Một cây gậy.|耶 和 華 對 摩 西 說 、 你 手 裡 是 甚 麼 ． 他 說 、 是 杖 。
Phán rằng: Hãy ném xuống đất đi. Người bèn ném xuống đất, gậy hóa ra một con rắn; Môi-se chạy trốn nó.|耶 和 華 說 、 丟 在 地 上 、 他 一 丟 下 去 、 就 變 作 蛇 、 摩 西 便 跑 開 。
Đức Giê-hô-va bèn phán cùng Môi-se rằng: Hãy giơ tay ngươi ra nắm đuôi nó. Người giơ tay ra nắm, thì nó hườn lại cây gậy trong tay.|耶 和 華 對 摩 西 說 、 伸 出 手 來 、 拿 住 他 的 尾 巴 、 他 必 在 你 手 中 仍 變 為 杖 。
Đức Giê-hô-va phán rằng: Ay để cho chúng nó tin rằng Giê-hô-va, Đức Chúa Trời của tổ phụ mình, là Đức Chúa Trời của Ap-ra-ham, Đức Chúa Trời của Y-sác, Đức Chúa Trời của Gia-cốp, đã hiện ra cùng ngươi.|如 此 好 叫 他 們 信 耶 和 華 他 們 祖 宗 的 　 神 、 就 是 亞 伯 拉 罕 的 　 神 、 以 撒 的 　 神 、 雅 各 的 　 神 、 是 向 你 顯 現 了 。
Đức Giê-hô-va lại phán rằng: Hãy đặt tay ngươi vào lòng. Người liền đặt vào, rồi lấy ra. Nầy, tay người nổi phung trắng như tuyết.|耶 和 華 又 對 他 說 、 把 手 放 在 懷 裡 、 他 就 把 手 放 在 懷 裡 、 及 至 抽 出 來 、 不 料 、 手 長 了 大 痲 瘋 、 有 雪 那 樣 白 。
Đoạn, Ngài phán rằng: Hãy đặt tay ngươi vào lòng lại; người bèn đặt vào, rồi lấy ra. Kìa, tay trở lại như thịt mình.|耶 和 華 說 、 再 把 手 放 在 懷 裡 、 他 就 再 把 手 放 在 懷 裡 、 及 至 從 懷 裡 抽 出 來 、 不 料 、 手 已 經 復 原 、 與 周 身 的 肉 一 樣 。
Lại phán: Nếu khi nào dân đó chẳng tin ngươi và chẳng vâng theo tiếng của dấu thứ nhất, thì sẽ tin theo tiếng của dấu thứ nhì.|又 說 、 倘 或 他 們 不 聽 你 的 話 、 也 不 信 頭 一 個 神 蹟 、 他 們 必 信 第 二 個 神 蹟 。
Vả lại, nếu dân chẳng tin cả hai dấu nầy, và không vâng theo lời ngươi, thì hãy lấy nước dưới sông mà làm tràn ngập trên mặt đất; nước mà ngươi đã lấy dưới sông lên đó, sẽ thành máu trên mặt đất vậy.|這 兩 個 神 蹟 若 都 不 信 、 也 不 聽 你 的 話 、 你 就 從 河 裡 取 些 水 、 倒 在 旱 地 上 、 你 從 河 裡 取 的 水 必 在 旱 地 上 變 作 血 。
Môi-se thưa cùng Đức Giê-hô-va rằng: Oi! lạy Chúa, từ hôm qua, hôm kia, hay là từ lúc Chúa phán dạy kẻ tôi tớ Chúa, tôi vẫn chẳng phải một tay nói giỏi, vì miệng và lưỡi tôi hay ngập ngừng.|摩 西 對 耶 和 華 說 、 主 阿 、 我 素 日 不 是 能 言 的 人 、 就 是 從 你 對 僕 人 說 話 以 後 、 也 是 這 樣 、 我 本 是 拙 口 笨 舌 的 。
Đức Giê-hô-va bèn phán rằng: Ai tạo miệng loài người ra? hay là ai đã làm câm, làm điếc, làm sáng, làm mờ? Có phải ta là Đức Giê-hô-va chăng?|耶 和 華 對 他 說 、 誰 造 人 的 口 呢 、 誰 使 人 口 啞 、 耳 聾 、 目 明 、 眼 瞎 呢 、 豈 不 是 我 耶 和 華 麼 ．
Vậy bây giờ, hãy đi; ta sẽ ở cùng miệng ngươi và dạy ngươi những lời phải nói.|現 在 去 罷 、 我 必 賜 你 口 才 、 指 教 你 所 當 說 的 話 。
Môi-se thưa rằng: Oi! lạy Chúa, Chúa muốn sai ai đi, thì sai.|摩 西 說 、 主 阿 、 你 願 意 打 發 誰 、 就 打 發 誰 去 罷 。
Đức Giê-hô-va bèn nổi giận cùng Môi-se mà phán rằng: Có phải A-rôn, người Lê-vi, là anh ngươi chăng? Ta biết người đó có tài nói giỏi, và kìa, người đang đi đến đón ngươi kìa; khi thấy ngươi, chắc sẽ vui mừng trong lòng.|耶 和 華 向 摩 西 發 怒 說 、 不 是 有 你 的 哥 哥 利 未 人 亞 倫 麼 、 我 知 道 他 是 能 言 的 、 現 在 他 出 來 迎 接 你 、 他 一 見 你 心 裡 就 歡 喜 。
