
					Rô-ma 1				|
họ đã đổi vinh hiển của Đức Chúa Trời không hề hư nát lấy hình tượng của loài người hay hư nát, hoặc của điểu, thú, côn trùng.|將 不 能 朽 壞 之 　 神 的 榮 耀 、 變 為 偶 像 、 彷 彿 必 朽 壞 的 人 、 和 飛 禽 走 獸 昆 蟲 的 樣 式 。
Cho nên Đức Chúa Trời đã phó họ sa vào sự ô uế theo lòng ham muốn mình, đến nỗi tự làm nhục thân thể mình nữa,|所 以 　 神 任 憑 他 們 、 逞 著 心 裡 的 情 慾 行 污 穢 的 事 、 以 致 彼 此 玷 辱 自 己 的 身 體 。
vì họ đã đổi lẽ thật Đức Chúa Trời lấy sự dối trá, kính thờ và hầu việc loài chịu dựng nên thế cho Đấng dựng nên, là Đấng đáng khen ngợi đời đời! A-men.|他 們 將 　 神 的 真 實 變 為 虛 謊 、 去 敬 拜 事 奉 受 造 之 物 、 不 敬 奉 那 造 物 的 主 ． 主 乃 是 可 稱 頌 的 、 直 到 永 遠 。 阿 們 。
Ay vì cớ đó mà Đức Chúa Trời đã phó họ cho sự tình dục xấu hổ; vì trong vòng họ, những người đờn bà đã đổi cách dùng tự nhiên ra cách khác nghịch với tánh tự nhiên.|因 此 　 神 任 憑 他 們 放 縱 可 羞 恥 的 情 慾 ． 他 們 的 女 人 、 把 順 性 的 用 處 、 變 為 逆 性 的 用 處 ．
Những người đờn ông cũng vậy, bỏ cách dùng tự nhiên của người đờn bà mà un đốt tình dục người nầy với kẻ kia, đờn ông cùng đờn ông phạm sự xấu hổ, và chính mình họ phải chịu báo ứng xứng với điều lầm lỗi của mình.|男 人 也 是 如 此 、 棄 了 女 人 順 性 的 用 處 、 慾 火 攻 心 、 彼 此 貪 戀 、 男 和 男 行 可 羞 恥 的 事 、 就 在 自 己 身 上 受 這 妄 為 當 得 的 報 應 。
Tại họ không lo nhìn biết Đức Chúa Trời, nên Đức Chúa Trời đã phó họ theo lòng hư xấu, đặng phạm những sự chẳng xứng đáng.|他 們 既 然 故 意 不 認 識 　 神 、 　 神 就 任 憑 他 們 存 邪 僻 的 心 、 行 那 些 不 合 理 的 事 ．
Họ đầy dẫy mọi sự không công bình, độc ác, tham lam, hung dữ; chan chứa những điều ghen ghét, giết người, cãi lẫy, dối trá, giận dữ;|裝 滿 了 各 樣 不 義 、 邪 惡 、 貪 婪 、 惡 毒 ． 〔 或 作 陰 毒 〕 滿 心 是 嫉 妒 、 兇 殺 、 爭 競 、 詭 詐 、 毒 恨 ．
hay mách, gièm chê, chẳng tin kính, xấc xược, kiêu ngạo, khoe khoang, khôn khéo về sự làm dữ, không vâng lời cha mẹ;|又 是 讒 毀 的 、 背 後 說 人 的 、 怨 恨 　 神 的 、 〔 或 作 被 　 神 所 憎 惡 的 〕 侮 慢 人 的 、 狂 傲 的 、 自 誇 的 、 捏 造 惡 事 的 、 違 背 父 母 的 、
dại dột, trái lời giao ước, không có tình nghĩa tự nhiên, không có lòng thương xót.|無 知 的 、 背 約 的 、 無 親 情 的 、 不 憐 憫 人 的 ．
Dầu họ biết mạng lịnh Đức Chúa Trời tỏ ra những người phạm các tội dường ấy là đáng chết, thế mà chẳng những họ tự làm thôi đâu, lại còn ưng thuận cho kẻ khác phạm các điều ấy nữa.|他 們 雖 知 道 　 神 判 定 、 行 這 樣 事 的 人 是 當 死 的 、 然 而 他 們 不 但 自 己 去 行 、 還 喜 歡 別 人 去 行 。

					Rô-ma 2				|
						羅馬書 2					
Vậy hỡi người kia, ngươi là ai mặc lòng, hễ đoán xét kẻ khác thì không thể chữa mình được; vì trong khi đoán xét họ, ngươi cũng lên án cho chính mình ngươi nữa, bởi ngươi đoán xét họ, mà cũng làm các việc như họ.|你 這 論 斷 人 的 、 無 論 你 是 誰 、 也 無 可 推 諉 、 你 在 甚 麼 事 上 論 斷 人 、 就 在 甚 麼 事 上 定 自 己 的 罪 ． 因 你 這 論 斷 人 的 、 自 己 所 行 卻 和 別 人 一 樣 。
Vả, Chúng ta biết rằng sự phán xét của Đức Chúa Trời đối với kẻ làm những việc như thế, là hiệp với lẽ thật.|我 們 知 道 這 樣 行 的 人 、 　 神 必 照 真 理 審 判 他 。
Hỡi người đoán xét kẻ phạm những việc dường ấy mà mình cũng phạm kia, vậy ngươi tưởng rằng chính mình ngươi sẽ tránh khỏi sự phán xét của Đức Chúa Trời sao?|你 這 人 哪 、 你 論 斷 行 這 樣 事 的 人 、 自 己 所 行 的 卻 和 別 人 一 樣 、 你 以 為 能 逃 脫 　 神 的 審 判 麼 。
Hay là ngươi khinh dể sự dư dật của lòng nhơn từ, nhịn nhục, khoan dung Ngài, mà không nhận biết lòng nhơn từ của Đức Chúa Trời đem ngươi đến sự ăn năn sao?|還 是 你 藐 視 他 豐 富 的 恩 慈 、 寬 容 、 忍 耐 、 不 曉 得 他 的 的 恩 慈 是 領 你 悔 改 呢 ．
Bởi lòng ngươi cứng cỏi, không ăn năn, thì tự chấp chứa cho mình sự giận về ngày thạnh nộ, khi sẽ hiện ra sự phán xét công bình của Đức Chúa Trời,|你 竟 任 著 你 剛 硬 不 悔 改 的 心 、 為 自 己 積 蓄 忿 怒 、 以 致 　 神 震 怒 、 顯 他 公 義 審 判 的 日 子 來 到 。
là Đấng sẽ trả lại cho mỗi người tùy theo công việc họ làm:|他 必 照 各 人 的 行 為 報 應 各 人 ．
ai bền lòng làm lành, tìm sự vinh hiển, sự tôn trọng và sự chẳng hề chết, thì báo cho sự sống đời đời;|凡 恆 心 行 善 、 尋 求 榮 耀 尊 貴 、 和 不 能 朽 壞 之 福 的 、 就 以 永 生 報 應 他 們 ．
còn ai có lòng chống trả không vâng phục lẽ thật, mà vâng phục sự không công bình, thì báo cho họ sự giận và cơn thạnh nộ.|惟 有 結 黨 不 順 從 真 理 、 反 順 從 不 義 的 、 就 以 忿 怒 惱 恨 報 應 他 們 ．
Sự hoạn nạn khốn khó giáng cho mọi người làm ác, trước cho người Giu-đa, sau cho người Gờ-réc;|將 患 難 、 困 苦 、 加 給 一 切 作 惡 的 人 、 先 是 猶 太 人 、 後 是 希 利 尼 人 ．
nhưng vinh hiển, tôn trọng, cùng sự bình an cho mọi người làm lành, trước cho người Giu-đa, sau cho người Gờ-réc.|卻 將 榮 耀 、 尊 貴 、 平 安 、 加 給 一 切 行 善 的 人 、 先 是 猶 太 人 、 後 是 希 利 尼 人 ．
Vì trước mặt Đức Chúa Trời, chẳng vị nể ai đâu.|因 為 　 神 不 偏 待 人 。
Phàm những kẻ không luật pháp mà phạm tội, cũng sẽ không luật pháp mà hư mất; còn những kẻ có luật pháp mà phạm tội, thì sẽ bị luật pháp đoán xét;|凡 沒 有 律 法 犯 了 罪 的 、 也 必 不 按 律 法 滅 亡 ． 凡 在 律 法 以 下 犯 了 罪 的 、 也 必 按 律 法 受 審 判 、
Vì chẳng phải kẻ nghe đọc luật pháp là người công bình trước mặt Đức Chúa Trời, bèn là kẻ làm theo luật pháp được xưng công bình vậy.|（ 原 來 在 　 神 面 前 、 不 是 聽 律 法 的 為 義 、 乃 是 行 律 法 的 稱 義 ．
Vả, dân ngoại vốn không có luật pháp, khi họ tự nhiên làm những việc luật pháp dạy biểu, thì những người ấy dầu không có luật pháp, cũng tự nên luật pháp cho mình.|沒 有 律 法 的 外 邦 人 、 若 順 著 本 性 行 律 法 上 的 事 、 他 們 雖 然 沒 有 律 法 、 自 己 就 是 自 己 的 律 法 ．
Họ tỏ ra rằng việc mà luật pháp dạy biểu đã ghi trong lòng họ: chính lương tâm mình làm chứng cho luật pháp, còn ý tưởng mình khi thì cáo giác mình, khi thì binh vực mình.|這 是 顯 出 律 法 的 功 用 刻 在 們 心 裡 、 他 們 是 非 之 心 同 作 見 證 、 並 且 他 們 的 思 念 互 相 較 量 、 或 以 為 是 、 或 以 為 非 ）
Ay là điều sẽ hiện ra trong ngày Đức Chúa Trời bởi Đức Chúa Jêsus Christ mà xét đoán những việc kín nhiệm của loài người, y theo Tin Lành tôi.|就 在 　 神 藉 耶 穌 基 督 審 判 人 隱 秘 事 的 日 子 、 照 著 我 的 福 音 所 言 。
Còn ngươi, mang lấy danh người Giu-đa, yên nghỉ trên luật pháp, khoe mình về Đức Chúa Trời ngươi,|你 稱 為 猶 太 人 、 又 倚 靠 律 法 、 且 指 著 　 神 誇 口 ．
hiểu ý muốn Ngài và biết phân biệt phải trái, vì ngươi đã được luật pháp dạy;|既 從 律 法 中 受 了 教 訓 、 就 曉 得 　 神 的 旨 意 、 也 能 分 別 是 非 、 〔 或 作 也 喜 愛 那 美 好 的 事 〕
khoe mình làm người dẫn đường cho kẻ mù, làm sự sáng cho kẻ ở nơi tối tăm,|又 深 信 自 己 是 給 瞎 子 領 路 的 、 是 黑 暗 中 人 的 光 、
làm thầy kẻ ngu, làm người dạy kẻ tầm thường, trong luật pháp có mẫu mực của sự thông biết và của lẽ thật,|是 蠢 笨 人 的 師 傅 、 是 小 孩 子 的 先 生 、 在 律 法 上 有 知 識 和 真 理 的 模 範 。
vậy ngươi dạy dỗ kẻ khác mà không dạy dỗ chính mình ngươi sao! Ngươi giảng rằng chớ nên ăn cắp, mà ngươi ăn cắp!|你 既 是 教 導 別 人 、 還 不 教 導 自 己 麼 ． 你 講 說 人 不 可 偷 竊 、 自 己 還 偷 竊 麼 ．
Ngươi nói rằng chớ nên phạm tội tà dâm, mà ngươi phạm tội tà dâm! Ngươi gớm ghét hình tượng mà cướp lấy đồ vật của hình tượng!|你 說 人 不 可 姦 淫 、 自 己 還 姦 淫 麼 ． 你 厭 惡 偶 像 、 自 己 還 偷 竊 廟 中 之 物 麼 ．
Ngươi khoe mình về luật pháp mà bởi luật pháp làm nhục đến Đức Chúa Trời!|你 指 著 律 法 誇 口 、 自 己 倒 犯 律 法 、 玷 辱 　 神 麼 。
Vì bởi cớ các ngươi nên danh Đức Chúa Trời bị nói phạm trong vòng người ngoại, như lời đã chép.|　 神 的 名 在 外 邦 人 中 、 因 你 們 受 了 褻 瀆 、 正 如 經 上 所 記 的 。
Thật thế, nếu ngươi làm theo luật pháp, thì phép cắt bì có ích; còn nếu ngươi phạm luật pháp, thì dầu chịu cắt bì cũng như không.|你 若 是 行 律 法 的 、 割 禮 固 然 於 你 有 益 ． 若 是 犯 律 法 的 、 你 的 割 禮 就 算 不 得 割 禮 。
Vậy nếu kẻ chưa chịu cắt bì giữ các điều răn của luật pháp thì sự chưa chịu cắt bì đó há chẳng cầm như đã chịu sao?|所 以 那 未 受 割 禮 的 、 若 遵 守 律 法 的 條 例 、 他 雖 然 未 受 割 禮 、 豈 不 算 是 有 割 禮 麼 。
Kẻ vốn không chịu cắt bì, mà làm trọn luật pháp sẽ đoán xét ngươi, là kẻ dẫu có chữ của luật pháp và phép cắt bì, lại phạm luật pháp.|而 且 那 本 來 未 受 割 禮 的 、 若 能 全 守 律 法 、 豈 不 是 要 審 判 你 這 有 儀 文 和 割 禮 竟 犯 律 法 的 人 麼 。
Vì người nào chỉ bề ngoài là người Giu-đa, thì không phải là người Giu-đa, còn phép cắt bì làm về xác thịt ở ngoài, thì không phải là phép cắt bì;|因 為 外 面 作 猶 太 人 的 、 不 是 真 猶 太 人 、 外 面 肉 身 的 割 禮 、 也 不 是 真 割 禮 ．
nhưng bề trong là người Giu-đa mới là người Giu-đa, phép cắt bì bởi trong lòng, làm theo cách thiêng liêng, không theo chữ nghĩa, mới là phép cắt bì thật. Một người Giu-đa như vậy được khen ngợi, chẳng phải bởi loài người, bèn là bởi Đức Chúa Trời.|惟 有 裡 面 作 的 、 纔 是 真 猶 太 人 ． 真 割 禮 也 是 心 裡 的 、 在 乎 靈 不 在 乎 儀 文 ． 這 人 的 稱 讚 、 不 是 從 人 來 的 、 乃 是 從 　 神 來 的 。

					Rô-ma 3				|
						羅馬書 3					
Vậy thì, sự trổi hơn của người Giu-đa là thể nào, hay là phép cắt bì có ích gì chăng?|這 樣 說 來 、 猶 太 人 有 甚 麼 長 處 、 割 禮 有 甚 麼 益 處 呢 ．
Ích lớn đủ mọi đàng. Trước hết là điều nầy: ấy là lời phán của Đức Chúa Trời đã phó cho dân Giu-đa.|凡 事 大 有 好 處 ． 第 一 是 　 神 的 聖 言 交 託 他 們 。
Mà làm sao! nếu một vài người trong bọn họ không thành tín, thì sự không thành tín của họ có làm cho sự thành tín của Đức Chúa Trời ra hư không sao?|即 便 有 不 信 的 、 這 有 何 妨 呢 ． 難 道 他 們 的 不 信 、 就 廢 掉 　 神 的 信 麼 。
chẳng hề như vậy! Thà xưng Đức Chúa Trời là thật và loài người là giả dối, như có chép rằng: Ay vậy Chúa sẽ được xưng công bình trong lời phán của Ngài, Và sẽ được thắng khi chịu xét đoán.|斷 乎 不 能 ． 不 如 說 、 　 神 是 真 實 的 、 人 都 是 虛 謊 的 ． 如 經 上 所 記 、 『 你 責 備 人 的 時 候 、 顯 為 公 義 ． 被 人 議 論 的 時 候 、 可 以 得 勝 。 』
Song nếu sự không công bình của chúng ta tỏ ra sự công bình của Đức Chúa Trời, thì sẽ nói làm sao? Khi Đức Chúa Trời giáng cơn giận thì Ngài không công bình sao? .|我 且 照 著 人 的 常 話 說 、 我 們 的 不 義 、 若 顯 出 　 神 的 義 來 、 我 們 可 以 怎 麼 說 呢 ． 　 神 降 怒 、 是 他 不 義 麼 ．
Chẳng hề như vậy! Nếu vậy thì Đức Chúa Trời đoán xét thế gian thể nào?|斷 乎 不 是 ． 若 是 這 樣 、 　 神 怎 能 審 判 世 界 呢 。
Nhưng, nếu lẽ thật Đức Chúa Trời bởi sự nói dối của tôi mà được sự vinh hiển lớn hơn, thì sao tôi còn bị đoán xét như kẻ có tội?|若 　 神 的 真 實 、 因 我 的 虛 謊 、 越 發 顯 出 他 的 榮 耀 、 為 甚 麼 我 還 受 審 判 、 好 像 罪 人 呢 。
vậy thì, sao chúng ta không làm sự dữ cho được sự lành, như kẻ gièm pha đã cáo và quyết rằng chúng ta dạy điều ấy? Sự đoán phạt những người đó là công bình.|為 甚 麼 不 說 、 我 們 可 以 作 惡 以 成 善 呢 、 這 是 毀 謗 我 們 的 人 、 說 我 們 有 這 話 ． 這 等 人 定 罪 、 是 該 當 的 。
Thế nào! Chúng ta có điều gì hơn chăng? Chẳng có, vì chúng ta đã tỏ ra rằng người Giu-đa và người Gờ-réc thảy đều phục dưới quyền tội lỗi,|這 卻 怎 麼 樣 呢 ． 我 們 比 他 們 強 麼 ． 決 不 是 的 ． 因 我 們 已 經 證 明 、 猶 太 人 和 希 利 尼 人 都 在 罪 惡 之 下 ．
như có chép rằng: Chẳng có một người công bình nào hết, dẫu một người cũng không.|就 如 經 上 所 記 、 『 沒 有 義 人 、 連 一 個 也 沒 有 ．
Chẳng có một người nào hiểu biết, Chẳng có một người nào tìm kiếm Đức Chúa Trời.|沒 有 明 白 的 、 沒 有 尋 求 　 神 的 ．
Chúng nó đều sai lạc cả, thảy cùng nhau ra vô ích; Chẳng có một người làm điều lành, dẫu một người cũng không.|都 是 偏 離 正 路 、 一 同 變 為 無 用 ． 沒 有 行 善 的 、 連 一 個 也 沒 有 。
Họng chúng nó như huyệt mả mở ra; Dùng lưỡi mình để phỉnh gạt; Dưới môi chúng nó có nọc rắn hổ mang.|他 們 的 喉 嚨 是 敝 開 的 墳 墓 ． 他 們 用 舌 頭 弄 詭 詐 ． 嘴 唇 裡 有 虺 蛇 的 毒 氣 ．
Miệng chúng nó đầy những lời nguyền rủa và cay đắng.|滿 口 是 咒 罵 苦 毒 ．
Chúng nó có chơn nhẹ nhàng đặng làm cho đổ máu.|殺 人 流 血 他 們 的 腳 飛 跑 ．
Trên đường lối chúng nó rặc những sự tàn hại và khổ nạn,|所 經 過 的 路 、 便 行 殘 害 暴 虐 的 事 ．
Chúng nó chẳng hề biết con đường bình an.|平 安 的 路 、 他 們 未 曾 知 道 ．
Chẳng có sự kính sợ Đức Chúa Trời ở trước mặt chúng nó.|他 們 眼 中 不 怕 　 神 。 』
Vả, chúng ta biết rằng những điều mà luật pháp nói, là nói cho mọi kẻ ở dưới luật pháp, hầu cho miệng nào cũng phải ngậm lại, cả thiên hạ đều nhận tội trước mặt Đức Chúa Trời;|我 們 曉 得 律 法 上 的 話 、 都 是 對 律 法 以 下 之 人 說 的 、 好 塞 住 各 人 的 口 、 叫 普 世 的 人 都 伏 在 　 神 審 判 之 下 ．
vì chẳng có một người nào bởi việc làm theo luật pháp mà sẽ được xưng công bình trước mặt Ngài, vì luật pháp cho người ta biết tội lỗi.|所 以 凡 有 血 氣 的 沒 有 一 個 、 因 行 律 法 、 能 在 　 神 面 前 稱 義 ． 因 為 律 法 本 是 叫 人 知 罪 。
Nhưng hiện bây giờ, sự công bình của Đức Chúa Trời, mà luật pháp và các đấng tiên tri đều làm chứng cho, đã bày tỏ ra ngoài luật pháp;|但 如 今 　 神 的 義 在 律 法 以 外 已 經 顯 明 出 來 、 有 律 法 和 先 知 為 證 ．
tức là sự công bình của Đức Chúa Trời, bởi sự tin đến Đức Chúa Jêsus Christ, cho mọi người nào tin, chẳng có phân biệt chi hết,|就 是 　 神 的 義 、 因 信 耶 穌 基 督 、 加 給 一 切 相 信 的 人 、 並 沒 有 分 別 ．
vì mọi người đều đã phạm tội, thiếu mất sự vinh hiển của Đức Chúa Trời,|因 為 世 人 都 犯 了 罪 、 虧 缺 了 　 神 的 榮 耀 。
và họ nhờ ân điển Ngài mà được xưng công bình nhưng không, bởi sự chuộc tội đã làm trọn trong Đức Chúa Jêsus Christ,|如 今 卻 蒙 　 神 的 恩 典 、 因 基 督 耶 穌 的 救 贖 、 就 白 白 的 稱 義 。
là Đấng Đức Chúa Trời đã lập làm của lễ chuộc tội, bởi đức tin trong huyết Đấng ấy. Ngài đã bày tỏ sự công bình mình như vậy, vì đã bỏ qua các tội phạm trước kia,|　 神 設 立 耶 穌 作 挽 回 祭 、 是 憑 著 耶 穌 的 血 、 藉 著 人 的 信 、 要 顯 明 　 神 的 義 ． 因 為 他 用 忍 耐 的 心 、 寬 容 人 先 時 所 犯 的 罪 ．
trong buổi Ngài nhịn nhục; tức là Ngài đã tỏ ra sự công bình Ngài trong thời hiện tại, tỏ ra mình là công bình và xưng công bình kẻ nào tin đến Đức Chúa Jêsus.|好 在 今 時 顯 明 他 的 義 、 使 人 知 道 他 自 己 為 義 、 也 稱 信 耶 穌 的 人 為 義 。
Vậy thì sự khoe mình ở đâu? Đã bị trừ bỏ rồi. Bởi luật pháp nào? Luật pháp của việc làm chăng? Không phải, nhưng bởi luật pháp của đức tin;|既 是 這 樣 、 那 裡 能 誇 口 呢 ． 沒 有 可 誇 的 了 。 用 何 法 沒 有 的 呢 、 是 用 立 功 之 法 麼 ． 不 是 、 乃 用 信 主 之 法 。
vì chúng ta kể rằng người ta được xưng công bình bởi đức tin, chớ không bởi việc làm theo luật pháp.|所 以 〔 有 古 卷 作 因 為 〕 我 們 看 定 了 、 人 稱 義 是 因 著 信 、 不 在 乎 遵 行 律 法 。
Hay là, Đức Chúa Trời chỉ là Đức Chúa Trời của dân Giu-đa sao? Há chẳng phải cũng là Đức Chúa Trời của dân ngoại ư? Phải, Ngài cũng là của dân ngoại nữa;|難 道 　 神 只 作 猶 太 人 的 　 神 麼 ． 不 也 是 作 外 邦 人 的 　 神 麼 ． 是 的 、 也 作 外 邦 人 的 　 神 。
Vì chỉ có một Đức Chúa Trời, là Đấng làm cho kẻ chịu cắt bì được xưng công bình bởi đức tin, cũng làm cho kẻ không chịu cắt bì được xưng công bình bởi đức tin nữa.|　 神 既 是 一 位 、 他 就 要 因 信 稱 那 受 割 禮 的 為 義 、 也 要 因 信 稱 那 未 受 割 禮 的 為 義 。
Vậy, chúng ta nhơn đức tin mà bỏ luật pháp hay sao? Chẳng hề như vậy! Trái lại, chúng ta làm vững bền luật pháp.|這 樣 、 我 們 因 信 廢 了 律 法 麼 ． 斷 乎 不 是 、 更 是 堅 固 律 法 。

					Rô-ma 4				|
						羅馬書 4					
Vậy, chúng ta sẽ nói Ap-ra-ham, tổ phụ chúng ta, theo xác thịt đã được ích gì?|如 此 說 來 、 我 們 的 祖 宗 亞 伯 拉 罕 、 憑 著 肉 體 得 了 甚 麼 呢 。
Thật thế nếu Ap-ra-ham đã được xưng công bình bởi việc làm, thì có cớ khoe mình; nhưng trước mặt Đức Chúa Trời không có như vậy.|倘 若 亞 伯 拉 罕 是 因 行 為 稱 義 、 就 有 可 誇 的 ． 只 是 在 　 神 面 前 並 無 可 誇 。
Vì Kinh Thánh có dạy chi? Ap-ra-ham tin Đức Chúa Trời, và điều đó kể là công bình cho người.|經 上 說 甚 麼 呢 ． 說 、 『 亞 伯 拉 罕 信 　 神 、 這 就 算 為 他 的 義 。 』
Vả, đối với kẻ nào làm việc, thì tiền công không kể là ơn, nhưng kể như là nợ,|作 工 的 得 工 價 、 不 算 恩 典 、 乃 是 該 得 的 、
còn kẻ chẳng làm việc chi hết, nhưng tin Đấng xưng người có tội là công bình, thì đức tin của kẻ ấy kể là công bình cho mình.|惟 有 不 作 工 的 、 只 信 稱 罪 人 為 義 的 　 神 、 他 的 信 就 算 為 義 。
