
					Nhã Ca 1				|
Hỡi các con gái Giê-ru-sa-lem, ta ép nài các ngươi bởi những hoàng dương hay là con nai đồng nội, Chớ kinh động, chớ làm tỉnh thức ái tình ta Cho đến khi nó muốn.|耶 路 撒 冷 的 眾 女 子 阿 、 我 指 著 羚 羊 、 或 田 野 的 母 鹿 、 囑 咐 你 們 、 不 要 驚 動 、 不 要 叫 醒 我 所 親 愛 的 、 等 他 自 己 情 願 。 〔 不 要 叫 醒 云 云 或 作 不 要 激 動 愛 情 等 他 自 發 〕
người kia là ai, ở từ đồng vắng đi lên, Giống như trụ khói, xông một dược và nhũ hương, với đủ thứ hương của con buôn?|那 從 曠 野 上 來 、 形 狀 如 煙 柱 、 以 沒 藥 和 乳 香 、 並 商 人 各 樣 香 粉 薰 的 、 是 誰 呢 。
Kìa, kiệu của Sa-lô-môn, Có sáu mươi dõng sĩ trong bọn dõng sĩ Y-sơ-ra-ên Vây chung quanh nó;|看 哪 、 是 所 羅 門 的 轎 ． 四 圍 有 六 十 個 勇 士 、 都 是 以 色 列 中 的 勇 士 ．
Thảy đều cầm gươm và thạo đánh giặc; Ai nấy đều có gươm ở nơi đùi mình, Vì sợ hãi ban đêm.|手 都 持 刀 、 善 於 爭 戰 ． 腰 間 佩 刀 、 防 備 夜 間 有 驚 慌 。
Vua Sa-lô-môn làm cho mình một cái kiệu bằng gỗ Li-ban.|所 羅 門 王 用 利 巴 嫩 木 、 為 自 己 製 造 一 乘 華 轎 。
Người làm các trụ nó bằng bạc, Nơi dựa lưng bằng vàng, Chỗ ngồi bằng vật màu điều, Còn ở giữa lót bằng ái tình của các con gái Giê-ru-sa-lem.|轎 柱 是 用 銀 作 的 、 轎 底 是 用 金 作 的 、 坐 墊 是 紫 色 的 、 其 中 所 鋪 的 乃 耶 路 撒 冷 眾 女 子 的 愛 情 。
Hỡi các con gái Si-ôn, hãy ra xem vua Sa-lô-môn Đội mão triều thiên mà mẹ người đã đội trên đầu người Trong ngày định thân, trong ngày lòng người vui vẻ.|錫 安 的 眾 女 子 阿 、 你 們 出 去 、 觀 看 所 羅 門 王 、 頭 戴 冠 冕 、 就 是 在 他 婚 筵 的 日 子 、 心 中 喜 樂 的 時 候 、 他 母 親 給 他 戴 上 的 。

					Nhã Ca 4				|
						雅歌 4					
Hỡi bạn tình ta, nầy mình đẹp đẽ thay, mình đẹp đẽ thay! Mắt mình trong lúp giống như mắt bò câu; Tóc mình khác nào bầy dê nằm nơi triền núi Ga-la-át.|我 的 佳 偶 、 你 甚 美 麗 、 你 甚 美 麗 ． 你 的 眼 在 帕 子 內 好 像 鴿 子 眼 。 你 的 頭 髮 如 同 山 羊 群 、 臥 在 基 列 山 旁 。
Răng mình như thể bầy chiên mới hớt lông, Từ ao tắm rửa đi lên, Thảy đều sanh đôi, không một con nào son sẻ.|你 的 牙 齒 如 新 剪 毛 的 一 群 母 羊 、 洗 淨 上 來 、 個 個 都 有 雙 生 、 沒 有 一 隻 喪 掉 子 的 。
Môi mình tợ sợi chỉ hồng, Miệng mình có duyên thay; Má mình trong lúp tợ như nửa quả lựu.|你 的 唇 好 像 一 條 朱 紅 線 、 你 的 嘴 也 秀 美 。 你 的 兩 太 陽 、 在 帕 子 內 如 同 一 塊 石 榴 。
Cổ mình như tháp Đa-vít, xây cất để treo binh khí; Ngàn cái khiên của tay anh hùng.|你 的 頸 項 好 像 大 衛 建 造 收 藏 軍 器 的 高 臺 、 其 上 懸 掛 一 千 盾 牌 、 都 是 勇 士 的 籐 牌 。
Hai nương long mình như cặp con sanh đôi của hoàng dương, Thả ăn giữa đám hoa huệ.|你 的 兩 乳 、 好 像 百 合 花 中 喫 草 的 一 對 小 鹿 、 就 是 母 鹿 雙 生 的 。
Ta sẽ đi lên núi một dược, Đến đồi nhũ hương, Ở cho đến khi hừng đông lố ra, Và bóng tối tan đi.|我 要 往 沒 藥 山 、 和 乳 香 岡 去 、 直 等 到 天 起 涼 風 、 日 影 飛 去 的 時 候 回 來 。
Hỡi bạn ta, mình vốn xinh đẹp mọi bề, Nơi mình chẳng có tì vít gì cả.|我 的 佳 偶 、 你 全 然 美 麗 、 毫 無 瑕 疵 。
Hỡi tân phụ ta, hãy cùng ta đến từ Li-ban, Hãy cùng ta đến từ Li-ban; Khá nhìn xem từ chót A-ma-na, Từ đỉnh Sa-nia và Hẹt-môn, Từ hang sư tử, Từ núi con beo.|我 的 新 婦 、 求 你 與 我 一 同 離 開 利 巴 嫩 、 與 我 一 同 離 開 利 巴 嫩 ． 從 亞 瑪 拿 頂 、 從 示 尼 珥 與 黑 門 頂 、 從 有 獅 子 的 洞 、 從 有 豹 子 的 山 、 往 下 觀 看 。
Hỡi em gái ta, tân phụ ta ơi, mình đã cướp lấy lòng ta, Vì một cái liếc mắt, vì một vòng trân châu nơi cổ mình, mình đã cướp lấy lòng ta.|我 妹 子 、 我 新 婦 、 你 奪 了 我 的 心 ． 你 用 眼 一 看 、 用 你 項 上 的 一 條 金 鍊 、 奪 了 我 的 心 。
Hỡi em gái ta, tân phụ ta ơi, ái tình mình đẹp là dường nào! ái tình mình ngon hơn rượu, Và mùi thơm của dầu mình tốt hơn các thức hương!|我 妹 子 、 我 新 婦 、 你 的 愛 情 何 其 美 ． 你 的 愛 情 比 酒 更 美 ． 你 膏 油 的 香 氣 勝 過 一 切 香 品 。
Hỡi tân phụ ta, môi mình nhỏ mật ong xuống, Dưới lưỡi mình có mật ong và sữa; Hơi thơm của quần áo mình như hơi thơm của Li-ban.|我 新 婦 、 你 的 嘴 唇 滴 蜜 、 好 像 蜂 房 滴 蜜 ． 你 的 舌 下 有 蜜 有 奶 ． 你 衣 服 的 香 氣 如 利 巴 嫩 的 香 氣 。
Em gái ta, tân phụ ta là vườn đóng kín, Là nguồn nước khóa lại, là suối niêm phong.|我 妹 子 、 我 新 婦 、 乃 是 關 鎖 的 園 、 禁 閉 的 井 、 封 閉 的 泉 源 。
Đám cây mình là vườn địa đàng, Có thạch lựu và trái ngon, Hoa phụng tiên và cây Cam tòng.|你 園 內 所 種 的 結 了 石 榴 、 有 佳 美 的 果 子 、 並 鳳 仙 花 、 與 哪 噠 樹 。
Cam tòng và hồng hoa, xương bồ và nhục quế, Cùng mọi thức cây có mùi thơm, Một dược, lư hội với các hương liệu có danh.|有 哪 噠 和 番 紅 花 、 菖 蒲 、 和 桂 樹 、 並 各 樣 乳 香 木 、 沒 藥 、 沉 香 與 一 切 上 等 的 果 品 。
Mình là mạch nước trong vườn, Là giếng nước sống, là dòng nước chảy từ Li-ban!|你 是 園 中 的 泉 、 活 水 的 井 、 從 利 巴 嫩 流 下 來 的 溪 水 。
Hỡi gió bắc, hãy nổi dậy, hỡi gió nam, hãy thổi đến; Hãy thổi trong vườn tôi, hầu cho các mùi thơm nó bay ra! Nguyện lương nhơn tôi vào trong vườn người, Và ăn trái ngon ngọt của người!|北 風 阿 、 興 起 ． 南 風 阿 、 吹 來 ． 吹 在 我 的 園 內 、 使 其 中 的 香 氣 發 出 來 。 願 我 的 良 人 進 入 自 己 園 裡 、 喫 他 佳 美 的 果 子 。

					Nhã Ca 5				|
						雅歌 5					
Hỡi em gái ta, tân phụ ta ơi, ta đã vào trong vườn ta rồi! Ta có hái một dược và hương liệu ta, An tàng mật ong với mật ong ta, Uống rượu với sữa ta. Hỡi các bạn, hãy ăn: hỡi các ái hữu, khá uống cho nhiều!|我 妹 子 、 我 新 婦 、 我 進 了 我 的 園 中 、 採 了 我 的 沒 藥 和 香 料 、 喫 了 我 的 蜜 房 和 蜂 蜜 ． 喝 了 我 的 酒 和 奶 ． 我 的 朋 友 們 、 請 喫 、 我 所 親 愛 的 、 請 喝 、 且 多 多 的 喝 。
Tôi ngủ, nhưng lòng tôi tỉnh thức. Ay là tiếng của lương nhơn tôi gõ cửa, mà rằng: Hỡi em gái ta, bạn tình ta, chim bò câu ta, kẻ toàn hảo của ta ơi, hãy mở cửa cho ta! Vì đầu ta đầy sương móc, Lọn tóc ta thấm giọt ban đêm.|我 身 睡 臥 、 我 心 卻 醒 ． 這 是 我 良 人 的 聲 音 ． 他 敲 門 、 說 、 我 的 妹 子 、 我 的 佳 偶 、 我 的 鴿 子 、 我 的 完 全 人 、 求 你 給 我 開 門 、 因 我 的 頭 滿 了 露 水 、 我 的 頭 髮 被 夜 露 滴 濕 。
Tôi đã cổi áo ngoài rồi, làm sao mặc nó lại? Tôi đã rửa chơn rồi, lẽ nào làm lấm lại?|我 回 答 說 、 我 脫 了 衣 裳 、 怎 能 再 穿 上 呢 ． 我 洗 了 腳 、 怎 能 再 玷 污 呢 。
Lương nhơn tôi thò tay vào lỗ cửa, Lòng dạ tôi cảm động vì cớ người.|我 的 良 人 從 門 孔 裡 伸 進 手 來 、 我 便 因 他 動 了 心 。
Tôi bèn chổi dậy đặng mở cửa cho lương nhơn tôi; Tay tôi nhỏ giọt một dược, Và ngón tay tôi chảy một dược ròng trên nạm chốt cửa.|我 起 來 、 要 給 我 良 人 開 門 ． 我 的 兩 手 滴 下 沒 藥 、 我 的 指 頭 有 沒 藥 汁 滴 在 門 閂 上 。
Tôi mở cửa cho lương nhơn tôi, Nhưng người đã lánh đi khỏi rồi. Đương khi người nói lòng tôi mất vía. Tôi tìm kiếm người, nhưng không có gặp; Tôi gọi người, song người chẳng đáp.|我 給 我 的 良 人 開 了 門 ． 我 的 良 人 卻 已 轉 身 走 了 。 他 說 話 的 時 候 、 我 神 不 守 舍 ． 我 尋 找 他 、 竟 尋 不 見 ． 我 呼 叫 他 、 他 卻 不 回 答 。
Kẻ canh tuần quanh thành gặp tôi, Đánh tôi, và làm tôi bị thương; Các kẻ canh giữ vách thành cất lấy lúp khỏi tôi.|城 中 巡 邏 看 守 的 人 遇 見 我 、 打 了 我 、 傷 了 我 ． 看 守 城 牆 的 人 奪 去 我 的 披 肩 。
Hỡi các con gái Giê-ru-sa-lem, ta ép nài các ngươi, Nếu gặp lương nhơn ta, khá nói với người rằng Ta có bịnh vì ái tình.|耶 路 撒 冷 的 眾 女 子 阿 、 我 囑 咐 你 們 、 若 遇 見 我 的 良 人 、 要 告 訴 他 、 我 因 思 愛 成 病 。
Hỡi người xinh đẹp hơn hết trong các người nữ, lương nhơn của chị có gì hơn lương nhơn khác? Lương nhơn của chị có gì hơn lương nhơn khác? Mà chị ép nài chúng tôi dường ấy?|你 這 女 子 中 極 美 麗 的 、 你 的 良 人 、 比 別 人 的 良 人 有 何 強 處 ． 你 的 良 人 、 比 別 人 的 良 人 有 何 強 處 、 你 就 這 樣 囑 咐 我 們 。
Lương nhơn tôi trắng và đỏ, Đệ nhứt trong muôn người.|我 的 良 人 、 白 而 且 紅 、 超 乎 萬 人 之 上 。
Đầu người bằng vàng thật ròng; Lọn tóc người quăn, và đen như quạ.|他 的 頭 像 至 精 的 金 子 ． 他 的 頭 髮 厚 密 纍 垂 、 黑 如 烏 鴉 。
Mắt người như chim bò câu gần suối nước, Tắm sạch trong sửa, được nhận khảm kỹ càng.|他 的 眼 如 溪 水 旁 的 鴿 子 眼 、 用 奶 洗 淨 、 安 得 合 式 。
Gò má người như vuông đất hương hoa, Tợ khóm cỏ thơm ngát; Môi người tỉ như hoa huệ ướm chảy một dược ròng.|他 的 兩 腮 如 香 花 畦 、 如 香 草 臺 ． 他 的 嘴 唇 像 百 合 花 、 且 滴 下 沒 藥 汁 。
Tay người như ống tròn vàng có nhận huỳnh ngọc: Thân mình người khác nào ngà bóng láng cẩn ngọc xanh.|他 的 兩 手 好 像 金 管 、 鑲 嵌 水 蒼 玉 ． 他 的 身 體 如 同 雕 刻 的 象 牙 、 周 圍 鑲 嵌 藍 寶 石 。
Hai chơn người giống trụ cẩm thạch trắng, Để trên tánh vàng ròng; Tướng mạo người tợ như nói Li-ban, xinh tốt như cây hương nam,|他 的 腿 好 像 白 玉 石 柱 、 安 在 精 金 座 上 ． 他 的 形 狀 如 利 巴 嫩 、 且 佳 美 如 香 柏 樹 。
Miệng người rất êm dịu; Thật, toàn thể cách người đáng yêu đương. Hỡi các con gái Giê-ru-sa-lem, lương nhơn tôi như vậy, Bạn tình tôi dường ấy!|他 的 口 極 其 甘 甜 ． 他 全 然 可 愛 。 耶 路 撒 冷 的 眾 女 子 阿 、 這 是 我 的 良 人 、 這 是 我 的 朋 友 。

					Nhã Ca 6				|
						雅歌 6					
Hỡi người xinh đẹp hơn hết trong các người nữ, lương nhơn của chị đi đâu? Lương nhơn của chị xây về hướng nào? Chúng tôi sẽ cùng đi tìm người với chị.|你 這 女 子 中 極 美 麗 的 、 你 的 良 人 往 何 處 去 了 ． 你 的 良 人 轉 向 何 處 去 了 、 我 們 好 與 你 同 去 尋 找 他 。
Lương nhơn tôi đi xuống vườn người, Nơi vuông đất hương hoa, Đặng chăn trong vườn, Và bẻ hoa huệ.|我 的 良 人 下 入 自 己 園 中 、 到 香 花 畦 、 在 園 內 牧 放 群 羊 、 採 百 合 花 。
Tôi thuộc về lương nhơn tôi, Và lương nhơn tôi thuộc về tôi; Người chăn bầy mình giữa đám hoa huệ.|我 屬 我 的 良 人 、 我 的 良 人 也 屬 我 ． 他 在 百 合 花 中 牧 放 群 羊 。
Hỡi bạn tình ta, mình xinh đẹp thư Thiệt sa, Có duyên như Giê-ru-sa-lem, Đáng sợ khác nào đạo quân giương cờ xí.|我 的 佳 偶 阿 、 你 美 麗 如 得 撒 、 秀 美 如 耶 路 撒 冷 、 威 武 如 展 開 旌 旗 的 軍 隊 。
Hãy xây mắt mình khỏi ta, Vì nó làm cho ta bối rối. Tóc mình khác nào đoàn dê trên triền núi Ga-la-át;|求 你 掉 轉 眼 目 不 看 我 、 因 你 的 眼 目 使 我 驚 亂 。 你 的 頭 髮 如 同 山 羊 群 、 臥 在 基 列 山 旁 。
Răng mình như bầy chiên cái, Từ nơi tắm rửa mới lên; Thảy đều sanh đôi, Không một con nào son sẻ.|你 的 牙 齒 如 一 群 母 羊 、 洗 淨 上 來 ． 個 個 都 有 雙 生 、 沒 有 一 隻 喪 掉 子 的 。
Má mình trong lúp tợ một nửa quả lựu.|你 的 兩 太 陽 在 帕 子 內 如 同 一 塊 石 榴 。
Có sáu mươi hoàng hậu, tám mươi cung phi, Và nhiều vô số con đòi:|有 六 十 王 后 八 十 妃 嬪 、 並 有 無 數 的 童 女 。
Chim bò câu ta, người toàn hảo ta Vốn là có một, con một của mẹ mình. Kẻ kén chọn của người đã sanh đẻ mình. Các con gái đều thấy nàng, và xưng nàng có phước. Đến đỗi những hoàng hậu và cung phi cũng đều khen ngợi nàng.|我 的 鴿 子 、 我 的 完 全 人 、 只 有 這 一 個 、 是 他 母 親 獨 生 的 ． 是 生 養 他 者 所 寶 愛 的 。 眾 女 子 見 了 、 就 稱 他 有 福 ． 王 后 妃 嬪 見 了 、 也 讚 美 他 。
Người nữ nầy là ai, hiện ra như rạng đông, Đẹp như mặt trăng, tinh sạch như mặt trời, Đáng sợ khác nào đạo quân giương cờ xí?|那 向 外 觀 看 如 晨 光 發 現 、 美 麗 如 月 亮 、 皎 潔 如 日 頭 、 威 武 如 展 開 旌 旗 軍 隊 的 是 誰 呢 。
Tôi đi xuống vườn hạch đào, Đặng xem cây cỏ xanh tươi của trũng, Đặng thử coi vườn nho đã nứt đọt, thạch lựu vã nở hoa chưa.|我 下 入 核 桃 園 、 要 看 谷 中 青 綠 的 植 物 、 要 看 葡 萄 發 芽 沒 有 、 石 榴 開 花 沒 有 ．
Không ngờ, lòng tôi dẫn dắt tôi Trên các xe của dân sự tôi có tình nguyện.|不 知 不 覺 、 我 的 心 將 我 安 置 在 我 尊 長 的 車 中 。
Hỡi Su-la-mít, hãy trở về, hãy trở về! Khá trở về, trở về, hầu cho chúng tôi xem thấy người. Vì sao các ngươi muốn thấy người Su-la-mít, Như thấy sự nhảy múa của Ma-ha-na-im?|回 來 、 回 來 ． 書 拉 密 女 、 你 回 來 、 你 回 來 、 使 我 們 得 觀 看 你 。 你 們 為 何 要 觀 看 書 拉 密 女 、 像 觀 看 瑪 哈 念 跳 舞 的 呢 。

					Nhã Ca 7				|
						雅歌 7					
Hỡi công chúa, chơn nàng mang giày, xinh đẹp biết bao! Vòng vế nàng khác nào một trân châu, Công việc của tay thợ khéo làm.|王 女 阿 、 你 的 腳 在 鞋 中 何 其 美 好 ． 你 的 大 腿 圓 潤 好 像 美 玉 、 是 巧 匠 的 手 作 成 的 。
Rún nàng giống như cái ly tròn, Rượu thơm không có thiếu. Bụng nàng dường một đống lúa mạch, Có hoa huệ sắp đặt tứ vi.|你 的 肚 臍 如 圓 杯 不 缺 調 和 的 酒 ． 你 的 腰 如 一 堆 麥 子 、 周 圍 有 百 合 花 。
Hai nương long nàng như hai con Sanh đôi của con hoàng dương.|你 的 兩 乳 好 像 一 對 小 鹿 、 就 是 母 鹿 雙 生 的 。
Cổ nàng như một cái tháp ngà. Mắt nàng khác nào các ao tại Hết-bôn Ở bên cửa Bát-Ra-bim; Mũi nàng như ngọn tháp Li-ban Ngó về hướng Đa-mách.|你 的 頸 項 如 象 牙 臺 ． 你 的 眼 目 像 希 實 本 巴 特 拉 併 門 旁 的 水 池 ． 你 的 鼻 子 彷 彿 朝 大 馬 色 的 利 巴 嫩 塔 。
