
					II Các Vua 1				|
Nhưng Ê-li đáp với người rằng: Nếu ta là người của Đức Chúa Trời, nguyện lửa từ trên trời giáng xuống thiêu đốt ngươi với năm mươi lính của ngươi. Lửa của Đức Chúa Trời liền từ trời giáng xuống thiêu đốt quan cai với năm mươi lính của người.|以 利 亞 回 答 說 、 我 若 是 神 人 、 願 火 從 天 上 降 下 來 、 燒 滅 你 和 你 那 五 十 人 。 於 是 　 神 的 火 從 天 上 降 下 來 、 燒 滅 五 十 夫 長 、 和 他 那 五 十 人 。
A-cha-xia lại sai một quan cai năm mươi lính đi với năm mươi lính mình. Quan cai này lên đến, quì gối xuống trước mặt Ê-li, cầu xin người rằng: Hỡi người của Đức Chúa Trời, xin ông xem quí trọng mạng sống của tôi và mạng sống của năm mươi người này, là kẻ tôi tớ ông.|王 第 三 次 差 遣 一 個 五 十 夫 長 、 帶 領 五 十 人 去 。 這 五 十 夫 長 上 去 雙 膝 跪 在 以 利 亞 面 前 、 哀 求 他 、 說 、 神 人 哪 、 願 我 的 性 命 、 和 你 這 五 十 個 僕 人 的 性 命 、 在 你 眼 前 看 為 寶 貴 。
Kìa, lửa đã giáng từ trời, thiêu nuốt hai quan cai năm mươi lính trước, và năm mươi lính của họ; nhưng bây giờ, xin xem mạng sống tôi là quí trọng trước mặt ông.|已 經 有 火 從 天 上 降 下 來 、 燒 滅 前 兩 次 來 的 五 十 夫 長 、 和 他 們 各 自 帶 的 五 十 人 ． 現 在 願 我 的 性 命 在 你 眼 前 看 為 寶 貴 。
Thiên sứ của Đức Giê-hô-va nói cùng Ê-li rằng: Hãy đi xuống với người, chớ sợ chi. Vậy, Ê-li chổi dậy đi xuống với quan cai đến cùng vua.|耶 和 華 的 使 者 對 以 利 亞 說 、 你 同 著 他 下 去 、 不 要 怕 他 ． 以 利 亞 就 起 來 、 同 著 他 下 去 見 王 。
Người nói với vua rằng: Đức Giê-hô-va phán như vầy: Bởi vì ngươi có sai sứ giả đến cầu vấn Ba-anh-Xê-bụt, thần của Ec-rôn,  nên ngươi sẽ không xuống khỏi giường ngươi đã trèo lên, vì ngươi chắc sẽ quả chết.|對 王 說 、 耶 和 華 如 此 說 、 你 差 人 去 問 以 革 倫 神 巴 力 西 卜 、 豈 因 以 色 列 中 沒 有 　 神 可 以 求 問 麼 ． 所 以 你 必 不 下 所 上 的 床 、 必 定 要 死 。
Vậy, A-cha-xia thác, theo như lời Đức Giê-hô-va đã cậy Ê-li mà phán ra. Giô-ram kế vị người, nhằm năm thứ nhì của Giô-ram, con trai Giô-sa-phát, vua Giu-đa; bởi vì A-cha-xia không có con trai.|亞 哈 謝 果 然 死 了 、 正 如 耶 和 華 藉 以 利 亞 所 說 的 話 ． 因 他 沒 有 兒 子 、 他 兄 弟 約 蘭 接 續 他 作 王 、 正 在 猶 大 王 約 沙 法 的 兒 子 約 蘭 第 二 年 。
Các công việc khác của A-cha-xia đã làm đều chép trong sách sử ký về các vua Y-sơ-ra-ên. Ê-li được cất lên trời|亞 哈 謝 其 餘 所 行 的 事 、 都 寫 在 以 色 列 諸 王 記 上 。

					II Các Vua 2				|
						列王紀下 2					
Khi Đức Giê-hô-va muốn đem Ê-li lên trời trong một cơn gió lốc, Ê-li và Ê-li-sê ở Ghinh ganh đi ra.|耶 和 華 要 用 旋 風 接 以 利 亞 昇 天 的 時 候 、 以 利 亞 與 以 利 沙 從 吉 甲 前 往 。
Ê-li nói với Ê-li-sê rằng: Ta xin ngươi hãy ở đây; vì Đức Giê-hô-va sai ta đi đến Bê-tên. Ê-li-sê thưa với người rằng: Tôi chỉ Đức Giê-hô-va hằng sống và chỉ mạng sống thầy mà thề rằng, tôi chẳng hề lìa khỏi thầy. Như vậy, hai người đi xuống Bê-tên.|以 利 亞 對 以 利 沙 說 、 耶 和 華 差 我 往 伯 特 利 去 、 你 可 以 在 這 裡 等 候 ． 以 利 沙 說 、 我 指 著 永 生 的 耶 和 華 、 又 敢 在 你 面 前 起 誓 、 我 必 不 離 開 你 。 於 是 二 人 下 到 伯 特 利 。
Các môn đồ của những tiên tri ở tại Bê-tên đến nói với Ê-li-sê rằng: Anh có biết rằng ngày nay Đức Giê-hô-va sẽ cất thầy của anh lên khỏi anh chăng? Người đáp: Phải, ta biết; các ngươi hãy làm thinh đi!|住 伯 特 利 的 先 知 門 徒 出 來 見 以 利 沙 、 對 他 說 、 耶 和 華 今 日 要 接 你 的 師 傅 離 開 你 、 你 知 道 不 知 道 。 他 說 、 我 知 道 ． 你 們 不 要 作 聲 。
Ê-li nói với Ê-li-sê rằng: Ta xin ngươi hãy ở đây, vì Đức Giê-hô-va sai ta đi đến Giê-ri-cô. Ê-li-sê lại thưa rằng: Tôi chỉ Đức Giê-hô-va mà thề rằng, tôi chẳng hề lìa khỏi thầy. Như vậy, hai người đi đến Giê-ri-cô.|以 利 亞 對 以 利 沙 說 、 耶 和 華 差 遣 我 往 耶 利 哥 去 、 你 可 以 在 這 裡 等 候 ． 以 利 沙 說 、 我 指 著 永 生 的 耶 和 華 、 又 敢 在 你 面 前 起 誓 、 我 必 不 離 開 你 。 於 是 二 人 到 了 耶 利 哥 。
Các môn đồ của những tiên tri ở tại Giê-ri-cô đến gần Ê-li-sê, nói với người rằng: Anh có biết rằng ngày nay Đức Giê-hô-va sẽ cất thầy của anh lên khỏi anh chăng? Người đáp: Phải, ta biết; các ngươi hãy làm thinh đi!|住 耶 利 哥 的 先 知 門 徒 就 近 以 利 沙 、 對 他 說 、 耶 和 華 今 日 要 接 你 的 師 傅 離 開 你 、 你 知 道 不 知 道 。 他 說 、 我 知 道 ． 你 們 不 要 作 聲 。
Ê-li nói với người rằng Ta xin ngươi hãy ở đây, vì Đức Giê-hô-va sai ta đi đến Giô-đanh. Ê-li-sê thưa rằng: Tôi chỉ Đức Giê-hô-va hằng sống và chỉ mạng sống thầy mà thề rằng, tôi chẳng hề lìa khỏi thầy. Như vậy, hai người cứ đi với nhau.|以 利 亞 對 以 利 沙 說 、 耶 和 華 差 遣 我 往 約 但 河 去 、 你 可 以 在 這 裡 等 候 ． 以 利 沙 說 、 我 指 著 永 生 的 耶 和 華 、 又 敢 在 你 面 前 起 誓 、 我 必 不 離 開 你 。 於 是 二 人 一 同 前 往 。
Có năm mươi người trong các môn đồ của những tiên tri đi theo, đứng cách xa đối ngang Giô-đanh; còn Ê-li và Ê-li-sê đứng lại tại mé sông.|有 先 知 門 徒 去 了 五 十 人 、 遠 遠 的 站 在 他 們 對 面 ． 二 人 在 約 但 河 邊 站 住 。
Ê-li bèn lấy áo tơi mình, cuốn lại, đập trên nước; nước bèn rẽ ra hai bên, và hai người đều đi ngang qua trên đất khô.|以 利 亞 將 自 己 的 外 衣 捲 起 來 、 用 以 打 水 、 水 就 左 右 分 開 、 二 人 走 乾 地 而 過 。
Khi đi qua rồi, Ê-li nói với Ê-li-sê rằng: Hãy xin điều ngươi muốn ta làm cho ngươi, trước khi ta được cất lên khỏi ngươi. Ê-li-sê thưa rằng: Nguyền xin thần của thầy cảm động tôi được bội phần.|過 去 之 後 、 以 利 亞 對 以 利 沙 說 、 我 未 曾 被 接 去 離 開 你 、 你 要 我 為 你 作 甚 麼 只 管 求 我 。 以 利 沙 說 、 願 感 動 你 的 靈 加 倍 的 感 動 我 。
Ê-li nói với người rằng: Ngươi cầu xin một sự khó. Song nếu ngươi thấy ta lúc ta được cất lên khỏi ngươi, ắt sẽ được như lời bằng chẳng, thì không được.|以 利 亞 說 、 你 所 求 的 難 得 、 雖 然 如 此 、 我 被 接 去 離 開 你 的 時 候 、 你 若 看 見 我 、 就 必 得 著 ． 不 然 、 必 得 不 著 了 。
Hai người cứ vừa đi vừa nói với nhau, kìa, có một cái xe lửa và ngựa lửa phân rẽ hai người; Ê-li lên trời trong một cơn gió lốc.|他 們 正 走 著 說 話 、 忽 有 火 車 火 馬 、 將 二 人 隔 開 、 以 利 亞 就 乘 旋 風 昇 天 去 了 。
Ê-li-sê nhìn thấy, bèn la lên rằng: Cha tôi ôi! cha tôi ôi! là xe và lính kỵ của Y-sơ-ra-ên! Đoạn, Ê-li-sê không còn thấy người nữa; rồi người nắm áo mình xé ra làm hai mảnh.|以 利 沙 看 見 、 就 呼 叫 說 、 我 父 阿 、 我 父 阿 、 以 色 列 的 戰 車 馬 兵 阿 。 以 後 不 再 見 他 了 ． 於 是 以 利 沙 把 自 己 的 衣 服 撕 為 兩 片 。
Ê-li-sê bèn lấy cái áo tơi đã ở nơi mình Ê-li rơi xuống, trở về, đứng tại trên mé Giô-đanh.|他 拾 起 以 利 亞 身 上 掉 下 來 的 外 衣 、 回 去 站 在 約 但 河 邊 。
Người lấy cái áo tơi đã ở nơi mình Ê-li rơi xuống, đập nước, và nói rằng: Giê-hô-va Đức Chúa Trời của Ê-li ở đâu? Khi người đã đập nước rồi, nước bèn rẽ ra hai bên, và Ê-li-sê đi ngang qua.|他 用 以 利 亞 身 上 掉 下 來 的 外 衣 、 打 水 、 說 、 耶 和 華 、 以 利 亞 的 　 神 在 那 裡 呢 。 打 水 之 後 、 水 也 左 右 分 開 、 以 利 沙 就 過 來 了 。
Khi các môn đồ của những tiên tri ở Giê-ri-cô đối ngang Giô-đanh, thấy Ê-li-sê, thì nói rằng: Thần Ê-li đổ trên Ê-li-sê. Họ đến đón người, sấp mình xuống đất trước mặt người,|住 耶 利 哥 的 先 知 門 徒 從 對 面 看 見 他 、 就 說 、 感 動 以 利 亞 的 靈 感 動 以 利 沙 了 。 他 們 就 來 迎 接 他 、 在 他 面 前 俯 伏 於 地 、
và nói với người rằng: Tại đây, giữa các tôi tớ thầy, có năm mươi người mạnh dạn; hãy cho phép họ đi tìm chủ thầy; có lẽ Thần của Đức Giê-hô-va đem người đi, ném trên núi nào hay là trong trũng nào chăng? Ê-li-sê đáp: Chớ sai họ đi.|對 他 說 、 僕 人 們 這 裡 有 五 十 個 壯 士 ． 求 你 容 他 們 去 尋 找 你 師 傅 、 或 者 耶 和 華 的 靈 將 他 提 起 來 、 投 在 某 山 某 谷 。 以 利 沙 說 、 你 們 不 必 打 發 人 去 。
Nhưng chúng nài ép người, đến đỗi người xấu hổ, bèn nói rằng: Hãy sai họ đi đi. Chúng liền sai năm mươi người đi tìm Ê-li trong ba ngày, mà tìm chẳng đặng.|他 們 再 三 催 促 他 、 他 難 以 推 辭 、 就 說 、 你 們 打 發 人 去 罷 。 他 們 便 打 發 五 十 人 去 、 尋 找 了 三 天 、 也 沒 有 找 著 。
Chúng trở về, Ê-li-sê vẫn ở tại Giê-ri-cô; người bèn nói với họ rằng: Ta há chẳng bảo các ngươi chớ có đi sao?|以 利 沙 仍 然 在 耶 利 哥 、 等 候 他 們 回 到 他 那 裡 ． 他 對 他 們 說 、 我 豈 沒 有 告 訴 你 們 、 不 必 去 麼 。
Dân cư của Giê-ri-cô nói cùng Ê-li-sê rằng: Chỗ xây cất thành này tốt lắm y như chúa tôi thấy; nhưng nước thì độc và đất thì chai.|耶 利 哥 城 的 人 對 以 利 沙 說 、 這 城 的 地 勢 美 好 、 我 主 看 見 了 ． 只 是 水 惡 劣 、 土 產 不 熟 而 落 。
Người đáp: Hãy đem cho ta một cái bình mới, và đựng muối ở trong. Chúng đem bình đến cho người.|以 利 沙 說 、 你 們 拿 一 個 新 瓶 來 裝 鹽 給 我 、 他 們 就 拿 來 給 他 。
Người bèn đi đến nguồn nước, đổ muối xuống nước, mà nói rằng: Đức Giê-hô-va phán như vầy: Ta đã chữa lành cho nước này, tự nó sẽ chẳng còn gây ra sự chết, hoặc sự nân nữa.|他 出 到 水 源 、 將 鹽 倒 在 水 中 、 說 、 耶 和 華 如 此 說 、 我 治 好 了 這 水 、 從 此 必 不 再 使 人 死 、 也 不 再 使 地 土 不 生 產 。
Vậy, theo lời của Ê-li-sê phán ra, nước được chữa lành còn đến ngày nay.|於 是 那 水 治 好 了 、 直 到 今 日 、 正 如 以 利 沙 所 說 的 。
Từ đó, Ê-li-sê đi lên Bê-tên. Đang đi dọc đường, có những trẻ con trai ở thành ra nhạo báng người, mà rằng: Ớ lão trọc, hãy lên! Ớ lão trọc, hãy lên!|以 利 沙 從 那 裡 上 伯 特 利 去 ． 正 上 去 的 時 候 、 有 些 童 子 從 城 裡 出 來 、 戲 笑 他 、 說 、 禿 頭 的 上 去 罷 、 禿 頭 的 上 去 罷 。
Người xây lại ngó chúng nó, và nhơn danh Đức Giê-hô-va mà rủa sả chúng nó. Liền có hai con gấu ra cái ra khỏi rừng, cấu xé bốn mươi hai đứa trong bọn chúng nó.|他 回 頭 看 見 、 就 奉 耶 和 華 的 名 咒 詛 他 們 。 於 是 有 兩 個 母 熊 從 林 中 出 來 、 撕 裂 他 們 中 間 四 十 二 個 童 子 。
Từ đó Ê-li-sê đi đến núi Cạt-mên; đoạn từ nơi ấy người trở về Sa-ma-ri.|以 利 沙 從 伯 特 利 上 迦 密 山 、 又 從 迦 密 山 回 到 撒 瑪 利 亞 。

					II Các Vua 3				|
						列王紀下 3					
Giô-ram, con trai A-háp, lên ngôi làm vua Y-sơ-ra-ên tại Sa-ma-ri, năm thứ mười tám đời vua Giô-sa-phát vua Giu-đa, và cai trị mười hai năm.|猶 大 王 約 沙 法 十 八 年 、 亞 哈 的 兒 子 約 蘭 在 撒 瑪 利 亞 登 基 、 作 了 以 色 列 王 十 二 年 。
Người làm điều ác trước mặt Đức Giê-hô-va, song không giống như cha và mẹ người; bởi vì người có trừ bỏ tượng thần Ba-anh mà cha người đã dựng lên.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 但 不 至 像 他 父 母 所 行 的 、 因 為 除 掉 他 父 所 造 巴 力 的 柱 像 。
Dầu vậy, người cũng ham theo tội lỗi của Giê-rô-bô-am, con trai Nê-bát, tức là tội đã gây cho Y-sơ-ra-ên can phạm. Người chẳng hề chịu bỏ đi.|然 而 他 貼 近 尼 八 的 兒 子 耶 羅 波 安 使 以 色 列 人 陷 在 罪 裡 的 那 罪 、 總 不 離 開 。
Vả, Mê-sa, vua dân Mô-áp, nuôi nhiều bầy chiên, hằng năm người tiến cống cho vua Y-sơ-ra-ên một trăm ngàn chiên con, và trăm ngàn chiên đực chưa hớt lông.|摩 押 王 米 沙 牧 養 許 多 羊 ． 每 年 將 十 萬 羊 羔 的 毛 、 和 十 萬 公 綿 羊 的 毛 、 給 以 色 列 王 進 貢 。
Nhưng xảy ra khi A-háp băng hà, vua Mô-áp dấy nghịch cùng vua Y-sơ-ra-ên.|亞 哈 死 後 、 摩 押 王 背 叛 以 色 列 王 。
Bấy giờ, vua Giô-ram đi ra khỏi Sa-ma-ri kiểm điểm cả Y-sơ-ra-ên.|那 時 約 蘭 王 出 撒 瑪 利 亞 、 數 點 以 色 列 眾 人 。
Người sai báo với Giô-sa-phát, vua Giu-đa, rằng: Dân Mô-áp đã phản nghịch cùng tôi. Vua có muốn đến cùng tôi giao chiến với Mô-áp chăng? Giô-sa-phát đáp rằng: Tôi sẽ đi; tôi như ông, dân sự tôi như dân sự ông, ngựa tôi như ngựa của ông.|前 行 的 時 候 、 差 人 去 見 猶 大 王 約 沙 法 、 說 、 摩 押 王 背 叛 我 ． 你 肯 同 我 去 攻 打 摩 押 麼 。 他 說 、 我 肯 上 去 ． 你 我 不 分 彼 此 、 我 的 民 與 你 的 民 一 樣 、 我 的 馬 與 你 的 馬 一 樣 。
Người lại tiếp: Chúng ta sẽ đi lên đường nào? Giô-ram đáp: Bởi con đường của đồng vắng Ê-đôm.|約 蘭 說 、 我 們 從 那 條 路 上 去 呢 。 回 答 說 、 從 以 東 曠 野 的 路 上 去 。
Ay vậy, vua Y-sơ-ra-ên, vua Giu-đa và vua Ê-đôm đồng kéo ra, đi vòng bảy ngày đường, đoạn họ không có nước cho đạo binh và súc vật theo.|於 是 以 色 列 王 、 和 猶 大 王 、 並 以 東 王 、 都 一 同 去 繞 行 七 日 的 路 程 ． 軍 隊 和 所 帶 的 牲 畜 沒 有 水 喝 。
Vua Y-sơ-ra-ên bèn nói rằng: Than ôi! Đức Giê-hô-va đã gọi ba vua này đến đặng nộp vào tay Mô-áp.|以 色 列 王 說 、 哀 哉 、 耶 和 華 招 聚 我 們 這 三 王 、 乃 要 交 在 摩 押 人 的 手 裡 。
Nhưng Giô-sa-phát hỏi: Ở đây há chẳng có tiên tri nào của Đức Giê-hô-va để chúng ta nhờ người mà cầu vấn Đức Giê-hô-va chăng? Một đầy tớ của vua Y-sơ-ra-ên thưa rằng: Ở đây có Ê-li-sê, con trai của Sa-phát, là kẻ đã hầu việc Ê-li.|約 沙 法 說 、 這 裡 不 是 有 耶 和 華 的 先 知 麼 ． 我 們 可 以 託 他 求 問 耶 和 華 。 以 色 列 王 的 一 個 臣 子 回 答 說 、 這 裡 有 沙 法 的 兒 子 以 利 沙 、 就 是 從 前 服 事 以 利 亞 的 。 〔 原 文 作 倒 水 在 以 利 亞 手 上 的 〕 　 　 　
Giô-sa-phát tiếp: Lời phán của Đức Giê-hô-va vốn ở nơi người. Vậy, vua Y-sơ-ra-ên, Giô-sa-phát, và vua Ê-đôm, bèn đi đến người.|約 沙 法 說 、 他 必 有 耶 和 華 的 話 。 於 是 以 色 列 王 、 和 約 沙 法 、 並 以 東 王 、 都 下 去 見 他 。
Ê-li-sê nói với vua Y-sơ-ra-ên rằng: Vua và tôi có can hệ gì chăng? Khá đi cầu vấn các tiên tri của cha và mẹ vua. Vua Y-sơ-ra-ên đáp rằng: Chẳng vậy đâu; vì Đức Giê-hô-va đã gọi ba vua này đến, đặng nộp vào tay Mô-áp.|以 利 沙 對 以 色 列 王 說 、 我 與 你 何 干 ． 去 問 你 父 親 的 先 知 、 和 你 母 親 的 先 知 罷 。 以 色 列 王 對 他 說 、 不 要 這 樣 說 、 耶 和 華 招 聚 我 們 這 三 王 、 乃 要 交 在 摩 押 人 的 手 裡 。
Ê-li-sê bèn nói: Đức Giê-hô-va vạn quân hằng sống, tôi đứng trước mặt Ngài, mà thề rằng, nếu tôi không kính nể Giô-sa-phát, vua Giu-đa, thì tôi chẳng xem vua ra sao, và cũng không thấy đến nữa.|以 利 沙 說 、 我 指 著 所 事 奉 永 生 的 萬 軍 耶 和 華 起 誓 、 我 若 不 看 猶 大 王 約 沙 法 的 情 面 、 必 不 理 你 、 不 顧 你 。
Nhưng bây giờ, hãy đem đến cho tôi một người khảy đờn. Trong lúc người ấy khảy đờn, thì tay của Đức Giê-hô-va ở trên Ê-li-sê.|現 在 你 們 給 我 找 一 個 彈 琴 的 來 。 彈 琴 的 時 候 、 耶 和 華 的 靈 〔 原 文 作 手 〕 就 降 在 以 利 沙 身 上 。
Người nói: Đức Giê-hô-va phán như vầy: Hãy đào cho nhiều hầm hố khắp trong trũng này.|他 便 說 、 耶 和 華 如 此 說 、 你 們 要 在 這 谷 中 滿 處 挖 溝 。
Vì Đức Giê-hô-va phán rằng: Các ngươi sẽ không thấy gió, cũng chẳng thấy mưa, thế mà trũng này sẽ đầy dẫy nước, và các ngươi, đều sẽ uống nước được.|因 為 耶 和 華 如 此 說 、 你 們 雖 不 見 風 、 不 見 雨 、 這 谷 必 滿 了 水 、 使 你 們 、 和 牲 畜 有 水 喝 。
Nhưng Đức Giê-hô-va coi sự này là nhỏ mọn quá: Ngài lại sẽ phó luôn dân Mô-áp vào tay các ngươi.|在 耶 和 華 眼 中 這 還 算 為 小 事 ． 他 也 必 將 摩 押 人 交 在 你 們 手 中 。
Các ngươi sẽ phá hủy hết thảy những thành kiên cố, những thành thị tứ, đốn những cây tốt, bít mọi suối nước, và lấy đá làm hư hại đồng ruộng màu mỡ.|你 們 必 攻 破 一 切 堅 城 美 邑 、 砍 伐 各 種 佳 樹 、 塞 住 一 切 水 泉 、 用 石 頭 糟 踏 一 切 美 田 。
Vậy, buổi sáng, nhằm giờ người ta dâng của lễ chay, thấy nước bởi đường Ê-đôm đến, và xứ bèn đầy những nước.|次 日 早 晨 、 約 在 獻 祭 的 時 候 、 有 水 從 以 東 而 來 、 遍 地 就 滿 了 水 。
Khi dân Mô-áp hay rằng các vua ấy đi lên đánh mình, thì nhóm hết thảy những người có thể nai nịch binh khí được trở lên, và đứng tại bờ cõi xứ.|摩 押 眾 人 聽 見 這 三 王 上 來 、 要 與 他 們 爭 戰 、 凡 能 頂 盔 貫 甲 的 、 無 論 老 少 、 盡 都 聚 集 、 站 在 邊 界 上 。
Ngày sau dân Mô-áp chổi dậy thật sớm; khi mặt trời mọc soi trên nước, dân Mô-áp thấy trước mặt mình nước đỏ như máu,|次 日 早 晨 、 日 光 照 在 水 上 、 摩 押 人 起 來 、 看 見 對 面 水 紅 如 血 ．
thì la lên rằng: Ay là máu! Chắc ba vua ấy đã tranh chiến nhau, đánh giết lẫn nhau. Bây giờ, hỡi dân Mô-áp! hãy đi cướp của.|就 說 、 這 是 血 阿 ． 必 是 三 王 互 相 擊 殺 、 俱 都 滅 亡 ． 摩 押 人 哪 、 我 們 現 在 去 搶 奪 財 物 罷 。
Vậy, chúng đi đến trại quân Y-sơ-ra-ên; nhưng dân Y-sơ-ra-ên chổi dậy, hãm đánh dân Mô-áp.|摩 押 人 到 了 以 色 列 營 、 以 色 列 人 就 起 來 攻 打 他 們 、 以 致 他 們 在 以 色 列 人 面 前 逃 跑 ． 以 色 列 人 往 前 追 殺 摩 押 人 、 直 殺 入 摩 押 的 境 內 ．
Họ phá hủy các thành, ai nấy lấy đá liệng vào lấp các đồng ruộng màu mỡ, bít các nguồn nước, và đốn những cây tốt. tại Kiệt-Ha-rê-sết chỉ còn lại những vách thành: Những quân ném đá cũng vây xông phá các vách đó nữa.|拆 毀 摩 押 的 城 邑 ． 各 人 拋 石 填 滿 一 切 美 田 、 塞 住 一 切 水 泉 、 砍 伐 各 種 佳 樹 、 只 剩 下 吉 珥 哈 列 設 的 石 牆 ． 甩 石 的 兵 在 四 圍 攻 打 那 城 。
Vua Mô-áp thấy mình không thế chống nổi, bèn đem theo mình bảy trăm người cầm gươm, toan xông đến nơi vua Ê-đôm; nhưng không thế nào được.|摩 押 王 見 陣 勢 甚 大 、 難 以 對 敵 、 就 率 領 七 百 拿 刀 的 兵 、 要 衝 過 陣 去 到 以 東 王 那 裡 、 卻 是 不 能 ．
Người bèn bắt thái tử, là kẻ phải kế vị mình, dâng làm của lễ thiêu tại trên vách thành. Bèn có cơn thạnh nộ nổi phừng cùng Y-sơ-ra-ên; thì họ lìa khỏi vua Mô-áp, và trở về xứ mình.|便 將 那 應 當 接 續 他 作 王 的 長 子 、 在 城 上 獻 為 燔 祭 。 以 色 列 人 遭 遇 耶 和 華 的 大 怒 。 〔 或 作 招 人 痛 恨 〕 於 是 三 王 離 開 摩 押 王 、 各 回 本 國 去 了 。

					II Các Vua 4				|
						列王紀下 4					
