
					II Phi-rơ 1				|
Vậy, hỡi anh em, hãy chú ý cho chắc chắn về sự Chúa kêu gọi và chọn lựa mình. Làm điều đó anh em sẽ không hề vấp ngã;|所 以 弟 兄 們 、 應 當 更 加 殷 勤 、 使 你 們 所 蒙 的 恩 召 和 揀 選 堅 定 不 移 ． 你 們 若 行 這 幾 樣 、 就 永 不 失 腳 。
dường ấy, anh em sẽ được cho vào cách rộng rãi trong nước đời đời của Đức Chúa Jêsus Christ, là Chúa và Cứu Chúa của chúng ta.|這 樣 、 必 叫 你 們 豐 豐 富 富 的 、 得 以 進 入 我 們 主 救 主 耶 穌 基 督 永 遠 的 國 。
Bởi vậy cho nên, dầu anh em biết rõ ràng và chắc chắn trong lẽ thật hiện đây, tôi cũng sẽ nhắc lại những điều đó cho anh em chẳng thôi.|你 們 雖 然 曉 得 這 些 事 、 並 且 在 你 們 已 有 的 真 道 上 堅 固 、 我 卻 要 將 這 些 事 常 常 題 醒 你 們 。
Nhưng tôi còn ở trong nhà tạm nầy bao lâu, thì coi sự lấy lời rao bảo mà tỉnh thức anh em, là bổn phận của tôi vậy;|我 以 為 應 當 趁 我 還 在 這 帳 棚 的 時 候 題 醒 你 們 、 激 發 你 們 ．
vì tôi biết tôi phải vội lìa nhà tạm nầy, như Đức Chúa Jêsus Christ chúng ta đã bảo cho tôi.|因 為 知 道 我 脫 離 這 帳 棚 的 時 候 快 到 了 、 正 如 我 們 主 耶 穌 基 督 所 指 示 我 的 。
Nhưng tôi ân cần rằng sau khi tôi đi, anh em có thể hằng nhớ điều tôi đã nói.|並 且 我 要 盡 心 竭 力 、 使 你 們 在 我 去 世 以 後 、 時 常 記 念 這 些 事 。
Vả, khi chúng tôi đã làm cho anh em biết quyền phép và sự đến của Đức Chúa Jêsus Christ chúng ta, thì chẳng phải là theo những chuyện khéo đặt để, bèn là chính mắt chúng tôi đã ngó thấy sự oai nghiêm Ngài.|我 們 從 前 、 將 我 們 主 耶 穌 基 督 的 大 能 、 和 他 降 臨 的 事 、 告 訴 你 們 、 並 不 是 隨 從 乖 巧 捏 造 的 虛 言 、 乃 是 親 眼 見 過 他 的 威 榮 。
Vì Ngài đã nhận lãnh sự tôn trọng vinh hiển từ nơi Đức Chúa Trời, Cha Ngài, khi Đấng tôn nghiêm rất cao phán cùng Ngài rằng: "Nầy là Con yêu dấu của ta, đẹp lòng ta mọi đường."|他 從 父 　 神 得 尊 貴 榮 耀 的 時 候 、 從 極 大 榮 光 之 中 、 有 聲 音 出 來 向 他 說 、 這 是 我 的 愛 子 、 我 所 喜 悅 的 ．
Chính chúng tôi cũng từng nghe tiếng ấy đến từ trời, lúc chúng tôi ở với Ngài trên hòn núi thánh.|我 們 同 他 在 聖 山 的 時 候 、 親 自 聽 見 這 聲 音 從 天 上 出 來 。
Nhơn đó, chúng tôi cùng tin lời các đấng tiên tri chắc chắn hơn, anh em nên chú ý lời đó, như cái đèn soi sáng trong nơi tối tăm, cho đến chừng nào ban ngày lộ ra, và sao mai mọc trong lòng anh em.|我 們 並 有 先 知 更 確 的 豫 言 、 如 同 燈 照 在 暗 處 ． 你 們 在 這 豫 言 上 留 意 、 直 等 到 天 發 亮 晨 星 在 你 們 心 裡 出 現 的 時 候 、 纔 是 好 的 。
Trước hết, phải biết rõ rằng chẳng có lời tiên tri nào trong Kinh Thánh lấy ý riêng giải nghĩa được.|第 一 要 緊 的 、 該 知 道 經 上 所 有 的 豫 言 、 沒 有 可 隨 私 意 解 說 的 ．
Vì chẳng hề có lời tiên tri nào là bởi ý một người nào mà ra, nhưng ấy là Ngài Đức Thánh Linh cảm động mà người ta đã nói bởi Đức Chúa Trời.|因 為 豫 言 從 來 沒 有 出 於 人 意 的 、 乃 是 人 被 聖 靈 感 動 說 出 　 神 的 話 來 。

					II Phi-rơ 2				|
						彼得後書 2					
Dầu vậy, trong dân chúng cũng đã có tiên tri giả, và cũng sẽ có giáo sư giả trong anh em; họ sẽ truyền những đạo dối làm hại, chối Chúa đã chuộc mình, tự mình chuốc lấy sự hủy phá thình lình.|從 前 在 百 姓 中 有 假 先 知 起 來 、 將 來 在 你 們 中 間 、 也 必 有 假 師 傅 、 私 自 引 進 陷 害 人 的 異 端 、 連 買 他 們 的 主 他 們 也 不 承 認 、 自 取 速 速 的 滅 亡 。
Có nhiều kẻ sẽ theo họ trong những sự buông tuồng, và đạo thật vì cứ họ sẽ bị gièm pha.|將 有 許 多 人 隨 從 他 們 邪 淫 的 行 為 、 便 叫 真 道 、 因 他 們 的 緣 故 被 毀 謗 。
Họ sẽ bởi lòng tham mình, lấy lời dối trá khoét anh em; nhưng sự kêu án nghịch cùng họ đã nghị định từ lâu nay, và sự hư mất của họ chẳng ngủ.|他 們 因 有 貪 心 、 要 用 捏 造 的 言 語 、 在 你 們 身 上 取 利 ． 他 們 的 刑 罰 、 自 古 以 來 並 不 遲 延 、 他 們 的 滅 亡 也 必 速 速 來 到 。 〔 原 文 作 也 不 打 盹 〕
Vả, nếu Đức Chúa Trời chẳng tiếc các thiên sứ đã phạm tội, nhưng quăng vào trong vực sâu, tại đó họ bị trói buộc bằng xiềng nơi tối tăm để chờ sự phán xét;|就 是 天 使 犯 了 罪 、 　 神 也 沒 有 寬 容 、 曾 把 他 們 丟 在 地 獄 、 交 在 黑 暗 坑 中 、 等 候 審 判 ．
nếu Ngài chẳng tiếc thế gian xưa, trong khi sai nước lụt phạt đời gian ác nầy, chỉ gìn giữ Nô-ê là thầy giảng đạo công bình, với bảy người khác mà thôi;|　 神 也 沒 有 寬 容 上 古 的 世 代 、 曾 叫 洪 水 臨 到 那 不 敬 虔 的 世 代 、 卻 保 護 了 傳 義 道 的 挪 亞 一 家 八 口 ．
nếu Ngài đã đoán phạt thành Sô-đôm và Gô-mô-rơ, hủy phá đi khiến hóa ra tro, để làm gương cho người gian ác về sau;|又 判 定 所 多 瑪 、 蛾 摩 拉 、 將 二 城 傾 覆 、 焚 燒 成 灰 、 作 為 後 世 不 敬 虔 人 的 鑑 戒 ．
nếu Ngài đã giải cứu người công bình là Lót, tức là kẻ quá lo vì cách ăn ở luông tuồng của bọn gian tà kia,|只 搭 救 了 那 常 為 惡 人 淫 行 憂 傷 的 義 人 羅 得 ．
,|因 為 那 義 人 住 在 他 們 中 間 、 看 見 聽 見 他 們 不 法 的 事 、 他 的 義 心 就 天 天 傷 痛 。
thì Chúa biết cứu chữa những người tôn kính khỏi cơn cám dỗ, và hành phạt kẻ không công bình, cầm chúng nó lại để chờ ngày phán xét,|主 知 道 搭 救 敬 虔 的 人 脫 離 試 探 、 把 不 義 的 人 留 在 刑 罰 之 下 、 等 候 審 判 的 日 子 ．
nhứt là những kẻ theo lòng tư dục ô uế mình mà ham mê sự sung sướng xác thịt, khinh dể quyền phép rất cao. Bọn đó cả gan, tự đắc, nói hỗn đến các bậc tôn trọng mà không sợ,|那 些 隨 肉 身 、 縱 污 穢 的 情 慾 、 輕 慢 主 治 之 人 的 、 更 是 如 此 ． 他 們 膽 大 任 性 、 毀 謗 在 尊 位 的 也 不 知 懼 怕 ．
dẫu các thiên sứ, là đấng có sức mạnh quyền phép hơn chúng nó, còn không hề lấy lời nguyền rủa mà xử đoán các bậc đó trước mặt Chúa.|就 是 天 使 、 雖 然 力 量 權 能 更 大 、 還 不 用 毀 謗 的 話 在 主 面 前 告 他 們 。
Nhưng chúng nó cũng như con vật không biết chi, sanh ra chỉ làm thú vật để bị bắt mà làm thịt, hay chê bai điều mình không biết, rồi chết đi như con vật, dường ấy chúng nó lãnh lấy tiền công về tội ác mình.|但 這 些 人 好 像 沒 有 靈 性 、 生 來 就 是 畜 類 、 以 備 捉 拿 宰 殺 的 ． 他 們 毀 謗 所 不 曉 得 的 事 、 正 在 敗 壞 人 的 時 候 、 自 己 必 遭 遇 敗 壞 ．
Chúng nó lấy sự chơi bời giữa ban ngày làm sung sướng, là người xấu xa ô uế, ưa thích sự dối trá mình đang khi ăn tiệc với anh em;|行 的 不 義 、 就 得 了 不 義 的 工 價 ． 這 些 人 喜 愛 白 晝 宴 樂 、 他 們 已 被 玷 污 、 又 有 瑕 疵 、 正 與 你 們 一 同 坐 席 、 就 以 自 己 的 詭 詐 為 快 樂 ．
cặp mắt chúng nó đầy sự gian dâm, chúng nó phạm tội không bao giờ chán, dỗ dành những người không vững lòng, chúng nó có lòng quen thói tham dục: ấy là những con cái đáng rủa sả.|他 們 滿 眼 是 淫 色 、 〔 淫 色 原 文 作 淫 婦 〕 止 不 住 犯 罪 ． 引 誘 那 心 不 堅 固 的 人 、 心 中 習 慣 了 貪 婪 、 正 是 被 咒 詛 的 種 類 ．
chúng nó đã bỏ đường thẳng mà đi sai lạc theo đường của Ba-la-am, con trai Bô-sô, là kẻ tham tiền công của tội ác; nhưng người bị trách về sự phạm tội của mình,|他 們 離 棄 正 路 、 就 走 差 了 、 隨 從 比 珥 之 子 巴 蘭 的 路 、 巴 蘭 就 是 那 貪 愛 不 義 之 工 價 的 先 知 ．
bởi có một con vật câm nói tiếng người ta, mà ngăn cấm sự điên cuồng của người tiên tri đó.|他 卻 為 自 己 的 過 犯 受 了 責 備 ． 那 不 能 說 話 的 驢 、 以 人 言 攔 阻 先 知 的 狂 妄 。
Ay là những suối nước, những đám mây bị luồng gió mạnh đưa đi và sự tối tăm mờ mịt đã để dành cho chúng nó.|這 些 人 是 無 水 的 井 、 是 狂 風 催 逼 的 霧 氣 、 有 墨 黑 的 幽 暗 為 他 們 存 留 。
Chúng nó dùng những lời văn hoa hư đản, đem những điều ham muốn của xác thịt và điều gian dâm mà dỗ dành những kẻ mới vừa tránh khỏi các người theo đường lầm lạc;|他 們 說 虛 妄 矜 誇 的 大 話 、 用 肉 身 的 情 慾 、 和 邪 淫 的 事 、 引 誘 那 些 剛 纔 脫 離 妄 行 的 人 ．
chúng nó hứa sự tự do cho người, mà chính mình thì làm tôi mọi sự hư nát; vì có sự chi đã thắng hơn người, thì người là tôi mọi sự đó.|他 們 應 許 人 得 以 自 由 、 自 己 卻 作 敗 壞 的 奴 僕 ． 因 為 人 被 誰 制 伏 就 是 誰 的 奴 僕 。
Vả, chúng nó bởi sự nhận biết Chúa và Cứu Chúa chúng ta là Đức Chúa Jêsus Christ, mà đã thoát khỏi sự ô uế của thế gian, rồi lại mắc phải và suy phục những sự đó, thì số phận sau cùng của chúng nó trở xấu hơn lúc đầu.|倘 若 他 們 因 認 識 主 救 主 耶 穌 基 督 、 得 以 脫 離 世 上 的 污 穢 、 後 來 又 在 其 中 被 纏 住 制 伏 、 他 們 末 後 的 景 況 、 就 比 先 前 更 不 好 了 。
chúng nó đã biết đường công bình, rồi lại lui đi về lời răn thánh đã truyền cho mình, thế thì thà rằng không biết là hơn.|他 們 曉 得 義 路 、 竟 背 棄 了 傳 給 他 們 的 聖 命 、 倒 不 如 不 曉 得 為 妙 。
Đã xảy đến cho chúng nó như lời tục ngữ rằng: Chó liếm lại đồ nó đã mửa, heo đã rửa sách rồi, lại liên lạc trong vũng bùn.|俗 語 說 得 真 不 錯 、 狗 所 吐 的 他 轉 過 來 又 喫 ． 豬 洗 淨 了 又 回 到 泥 裡 去 輥 ． 這 話 在 他 們 身 上 正 合 式 。

					II Phi-rơ 3				|
						彼得後書 3					
Hỡi kẻ rất yêu dấu, nầy là thơ thứ hai tôi viết cho anh em. trong thơ nầy và thơ kia, tôi tìm cách làm cho nhớ lại để giục lòng lành trong anh em,|親 愛 的 弟 兄 阿 、 我 現 在 寫 給 你 們 的 是 第 二 封 信 ． 這 兩 封 都 是 題 醒 你 們 、 激 發 你 們 誠 實 的 心 ．
hầu cho ghi lấy lời nói trước của Chúa và Cứu Chúa chúng ta, đã cậy các sứ đồ của anh em mà truyền lại.|叫 你 們 記 念 聖 先 知 豫 先 所 說 的 話 、 和 主 救 主 的 命 令 、 就 是 使 徒 所 傳 給 你 們 的 。
Trước hết phải biết rằng, trong những ngày sau rốt, sẽ có mấy kẻ hay gièm chê, dùng lời giễu cợt, ở theo tình dục riêng của mình,|第 一 要 緊 的 、 該 知 道 在 末 世 必 有 好 譏 誚 的 人 、 隨 從 自 己 的 私 慾 出 來 譏 誚 說 、
đến mà nói rằng: Chớ nào lời hứa về sự Chúa đến ở đâu? Vì từ khi tổ phụ chúng ta qua đời rồi, muôn vật vẫn còn nguyên như lúc bắt đầu sáng thế.|主 要 降 臨 的 應 許 在 那 裡 呢 ． 因 為 從 列 祖 睡 了 以 來 、 萬 物 與 起 初 創 造 的 時 候 仍 是 一 樣 。
Chúng nó có ý quên lững đi rằng buổi xưa bởi lời Đức Chúa Trời có các từng trời và trái đất, đất ra từ Nước và làm nên ở giữa nước,|他 們 故 意 忘 記 、 從 太 古 憑 　 神 的 命 有 了 天 、 並 從 水 而 出 藉 水 而 成 的 地 ．
thế gian bấy giờ cũng bị hủy phá như vậy, là bị chìm đắm bởi nước lụt.|故 此 、 當 時 的 世 界 被 水 淹 沒 就 消 滅 了 ．
Nhưng trời đất thời bây giờ cũng là bởi lời ấy mà còn lại, và để dành cho lửa; lửa sẽ đốt nó đi trong ngày phán xét và hủy phá kẻ ác.|但 現 在 的 天 地 、 還 是 憑 著 那 命 存 留 、 直 留 到 不 敬 虔 之 人 受 審 判 遭 沉 淪 的 日 子 、 用 火 焚 燒 。
Hỡi kẻ rất yêu dấu, chớ nên quên rằng ở trước mặt Chúa một ngày như ngàn năm, ngàn năm như một ngày.|親 愛 的 弟 兄 阿 、 有 一 件 事 你 們 不 可 忘 記 、 就 是 主 看 一 日 如 千 年 、 千 年 如 一 日 。
Chúa không chậm trễ về lời hứa của Ngài như mấy người kia tưởng đâu, nhưng Ngài lấy lòng nhịn nhục đối với anh em, không muốn cho một người nào chết mất, song muốn cho mọi người đều ăn năn.|主 所 應 許 的 尚 未 成 就 、 有 人 以 為 他 是 耽 延 ． 其 實 不 是 耽 延 、 乃 是 寬 容 你 們 、 不 願 有 一 人 沉 淪 、 乃 願 人 人 都 悔 改 。
Song le, ngày của Chúa sẽ đến như kẻ trộm. Bấy giờ các từng trời sẽ có tiếng vang rầm mà qua đi, các thể chết bị đốt mà tiêu tán, đất cùng mọi công trình trên nó đều sẽ bị đốt cháy cả.|但 主 的 日 子 要 像 賊 來 到 一 樣 ． 那 日 天 必 大 有 響 聲 廢 去 、 有 形 質 的 都 要 被 烈 火 銷 化 、 地 和 其 上 的 物 都 要 燒 盡 了 。
Vì mọi vật đó phải tiêu tán thì anh em đáng nên thánh và tôn kính trong mọi sự ăn ở của mình là dường nào,|這 一 切 既 然 都 要 如 此 銷 化 、 你 們 為 人 該 當 怎 樣 聖 潔 、 怎 樣 敬 虔 、
trong khi chờ đợi trông mong cho ngày Đức Chúa Trời mau đến, là ngày các từng trời sẽ bị đốt mà tiêu tán, các thể chất sẽ bị thiêu mà tan chảy đi!|切 切 仰 望 　 神 的 日 子 來 到 ． 在 那 日 天 被 火 燒 就 銷 化 了 、 有 形 質 的 都 要 被 烈 火 鎔 化 。
Vả, theo lời hứa của Chúa, chúng ta chờ đợi trời mới đất mới, là nơi sự công bình ăn ở.|但 我 們 照 他 的 應 許 、 盼 望 新 天 新 地 、 有 義 居 在 其 中 。
Vậy nên, hỡi kẻ rất yêu dấu, vì anh em trông đợi những sự đó, thì phải làm hết sức mình, hầu cho Chúa thấy anh em ở bình an, không dấu vít, chẳng chỗ trách được.|親 愛 的 弟 兄 阿 、 你 們 既 盼 望 這 些 事 、 就 當 殷 勤 、 使 自 己 沒 有 玷 污 、 無 可 指 摘 、 安 然 見 主 。
Lại phải nhìn biết rằng sự nhịn nhục lâu dài của Chúa chúng ta cốt vì cứu chuộc anh em, cũng như Phao lô, anh rất yêu dấu của chúng ta, đã đem sự khôn ngoan được ban cho mình mà viết thơ cho anh em vậy.|並 且 要 以 我 主 長 久 忍 耐 為 得 救 的 因 由 、 就 如 我 們 所 親 愛 的 兄 弟 保 羅 、 照 著 所 賜 給 他 的 智 慧 、 寫 了 信 給 你 們 ．
Ay là điều người đã viết trong mọi bức thơ, nói về những sự đó, ở trong có mấy khúc khó hiểu, mà những kẻ dốt nát và tin không quyết đem giải sai ý nghĩa, cũng như họ giải sai về các phần Kinh Thánh khác, chuốc lấy sự hư mất riêng về mình.|他 一 切 的 信 上 、 也 都 是 講 論 這 些 事 ． 信 中 有 些 難 明 白 的 、 那 無 學 問 不 堅 固 的 人 強 解 、 如 強 解 別 的 經 書 一 樣 、 就 自 取 沉 淪 。
Hỡi kẻ rất yêu dấu, vì anh em đã được biết trước, vậy hãy giữ cho cẩn thận, e anh em cũng bị sự mê hoặc của những người ác ấy dẫn dụ, mất sự vững vàng của mình chăng.|親 愛 的 弟 兄 阿 、 你 們 既 然 豫 先 知 道 這 事 、 就 當 防 備 、 恐 怕 被 惡 人 的 錯 謬 誘 惑 、 就 從 自 己 堅 固 的 地 步 上 墜 落 。
Hãy tấn tới trong ân điển và trong sự thông biết Chúa và Cứu Chúa chúng ta là Đức Chúa Jêsus Christ. Nguyền xin vinh hiển về nơi Ngài, từ rày đến đời đời! A-men.|你 們 卻 要 在 我 們 主 救 主 耶 穌 基 督 的 恩 典 和 知 識 上 有 長 進 。 願 榮 耀 歸 給 他 、 從 今 直 到 永 遠 。 阿 們 。
