
					Ma-la-ki 1				|
Ước gì trong các ngươi có một người đóng các cửa, hầu cho các ngươi không nhen lửa vô ích nơi bàn thờ ta. Đức Giê-hô-va vạn quân phán: Ta chẳng lấy làm vui lòng nơi các ngươi, và ta chẳng nhận nơi tay các ngươi một của dâng nào hết.|甚 願 你 們 中 間 有 一 人 關 上 殿 門 、 免 得 你 們 徒 然 在 我 壇 上 燒 火 。 萬 軍 之 耶 和 華 說 、 我 不 喜 悅 你 們 、 也 不 從 你 們 手 中 收 納 供 物 。
Vì từ nơi mặt trời mọc cho đến nơi mặt trời lặn, danh ta sẽ là lớn giữa các dân ngoại. Trong khắp mọi nơi, người ta sẽ dâng hương và của lễ thanh sạch cho danh ta; vì danh ta sẽ là lớn giữa các dân ngoại, Đức Giê-hô-va vạn quân phán vậy.|萬 軍 之 耶 和 華 說 、 從 日 出 之 地 到 日 落 之 處 、 我 的 名 在 外 邦 中 必 尊 為 大 ． 在 各 處 、 人 必 奉 我 的 名 燒 香 、 獻 潔 淨 的 供 物 ． 因 為 我 的 名 在 外 邦 中 必 尊 為 大 。
Song các ngươi đã làm uế tục danh ta mà rằng: Bàn của Đức Giê-hô-va là ô uế, đồ ăn đến từ trên nó là đáng khinh dể.|你 們 卻 褻 瀆 我 的 名 、 說 、 耶 和 華 的 桌 子 是 污 穢 的 、 其 上 的 食 物 是 可 藐 視 的 。
Các ngươi lại nói rằng: Oi! việc khó nhọc là dường nào! rồi các ngươi khinh dể nó, Đức Giê-hô-va vạn quân phán vậy! Các ngươi đem đến vật bị cướp, vật què và đang, đó là của các ngươi đem dâng cho ta. Ta há có thể nhận vật nầy nơi tay các ngươi sao? Đức Giê-hô-va phán vậy.|你 們 又 說 、 這 些 事 何 等 煩 瑣 ． 並 嗤 之 以 鼻 ． 這 是 萬 軍 之 耶 和 華 說 的 。 你 們 把 搶 奪 的 、 瘸 腿 的 、 有 病 的 、 拿 來 獻 上 為 祭 ． 我 豈 能 從 你 們 手 中 收 納 呢 ． 這 是 耶 和 華 說 的 。
Đáng rủa thay là kẻ hay lừa dối, trong bầy nó có con đực, mà nó hứa nguyện và dâng con tàn tật làm của lễ cho Chúa! Đức Giê-hô-va vạn quân phán: Vì ta là Vua lớn, danh ta là đáng sợ giữa các dân ngoại.|行 詭 詐 的 在 群 中 有 公 羊 、 他 許 願 卻 用 有 殘 疾 的 獻 給 主 、 這 人 是 可 咒 詛 的 ． 因 為 我 是 大 君 王 、 我 的 名 在 外 邦 中 是 可 畏 的 ． 這 是 萬 軍 之 耶 和 華 說 的 。

					Ma-la-ki 2				|
						瑪拉基書 2					
Hỡi các thầy tế lễ, bây giờ ta truyền lịnh nầy về các ngươi.|眾 祭 司 阿 、 這 誡 命 是 傳 給 你 們 的 。
Nếu các ngươi chẳng nghe, và không để lòng dâng sự vinh hiển cho danh ta, thì, Đức Giê-hô-va vạn quân phán, ta sẽ giáng sự rủa sả trên các ngươi, và sẽ rủa sả những phước lành của các ngươi; và ta đã rủa sả rồi, vì các ngươi không để điều đó vào lòng.|萬 軍 之 耶 和 華 說 、 你 們 若 不 聽 從 、 也 不 放 在 心 上 、 將 榮 耀 歸 與 我 的 名 、 我 就 使 咒 詛 臨 到 你 們 、 使 你 們 的 福 分 變 為 咒 詛 ． 因 你 們 不 把 誡 命 放 在 心 上 、 我 已 經 咒 詛 你 們 了 。
Nầy, ta sẽ quở trách giống gieo của các ngươi, rải phân của những lễ các ngươi; các ngươi sẽ bị đem đi với phân ấy.|我 必 斥 責 你 們 的 種 子 、 又 把 你 們 犧 牲 的 糞 、 抹 在 你 們 的 臉 上 ． 你 們 要 與 糞 一 同 除 掉 。
Các ngươi sẽ biết rằng ta đã truyền lịnh nầy cho các ngươi, để đã làm giao ước của ta với Lê-vi, Đức Giê-hô-va vạn quân phán vậy.|你 們 就 知 道 我 傳 這 誡 命 給 你 們 、 使 我 與 利 未 〔 或 作 利 未 人 〕 所 立 的 約 、 可 以 常 存 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Giao ước của ta với Lê-vi vốn là sự sống và sự bình an mà ta đã ban cho nó, hầu cho nó kính sợ ta; thì nó đã kính sợ ta, và run rẩy trước danh ta.|我 曾 與 他 立 生 命 和 平 安 的 約 ． 我 將 這 兩 樣 賜 給 他 、 使 他 存 敬 畏 的 心 、 他 就 敬 畏 我 、 懼 怕 我 的 名 。
Luật pháp của sự chơn thật đã ở trong miệng nó, trong môi miếng nó chẳng có một sự không công bình nào; nó đã bước đi với ta trong sự bình an và ngay thẳng, làm cho nhiều người xây bỏ khỏi sự gian ác.|真 實 的 律 法 在 他 口 中 、 他 嘴 裡 沒 有 不 義 的 話 ． 他 以 平 安 和 正 直 與 我 同 行 、 使 多 人 回 頭 離 開 罪 孽 。
Vì môi miếng của thầy tế lễ nên giữ sự thông biết, người ta tìm luật pháp trong miệng nó, vì nó là sứ giả của Đức Giê-hô-va vạn quân.|祭 司 的 嘴 裡 當 存 知 識 、 人 也 當 由 他 口 中 尋 求 律 法 、 因 為 他 是 萬 軍 之 耶 和 華 的 使 者 。
Nhưng, trái lại, các ngươi đã xây khỏi đường lối, làm cho nhiều người vấp ngã trong luật pháp, và đã làm sai giao ước của Lê-vi, Đức Giê-hô-va vạn quân phán vậy.|你 們 卻 偏 離 正 道 、 使 許 多 人 在 律 法 上 跌 倒 ． 你 們 廢 棄 我 與 利 未 所 立 的 約 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Vậy nên ta cũng đã làm cho các ngươi ra khinh bỉ hèn hạ trước mặt cả dân, vì các ngươi chẳng giữ đường lối ta, hay vị nể người ta trong luật pháp.|所 以 我 使 你 們 被 眾 人 藐 視 、 看 為 下 賤 、 因 你 們 不 守 我 的 道 、 竟 在 律 法 上 瞻 徇 情 面 。
Hết thảy chúng ta chẳng phải là có chung một cha sao? Chẳng phải chỉ có một Đức Chúa Trời đã dựng nên chúng ta sao? Vậy sao ai nấy đãi anh em mình cách gian dối, phạm giao ước của tổ phụ chúng ta?|我 們 豈 不 都 是 一 位 父 麼 ． 豈 不 是 一 位 　 神 所 造 的 麼 ． 我 們 各 人 怎 麼 以 詭 詐 待 弟 兄 、 背 棄 了 　 神 與 我 們 列 祖 所 立 的 約 呢 。
Giu-đa đã ăn ở cách lừa phỉnh, và đã phạm một sự gớm ghiếc trong Y-sơ-ra-ên và trong Giê-ru-sa-lem; vì Giu-đa đã làm uế sự thánh khiết của Đức Giê-hô-va, là sự Ngài ưa, mà cưới con gái của thần ngoại.|猶 大 人 行 事 詭 詐 、 並 且 在 以 色 列 和 耶 路 撒 冷 中 、 行 一 件 可 憎 的 事 ． 因 為 猶 大 人 褻 瀆 耶 和 華 所 喜 愛 的 聖 潔 、 〔 或 作 聖 地 〕 娶 事 奉 外 邦 神 的 女 子 為 妻 。
Phàm ai làm sự đó, hoặc kẻ thức, hoặc kẻ trả lời, hoặc kẻ dân của lễ cho Đức Giê-hô-va vạn quân, Đức Giê-hô-va sẽ trừ họ khỏi các trại của Gia-cốp.|凡 行 這 事 的 、 無 論 何 人 、 〔 何 人 原 文 作 叫 醒 的 答 應 的 〕 、 就 是 獻 供 物 給 萬 軍 之 耶 和 華 、 耶 和 華 也 必 從 雅 各 的 帳 棚 中 剪 除 他 。
Các ngươi lại còn làm sự nầy: các ngươi lấy nước mắt, khóc lóc, than thở mà che lấp bàn thờ Đức Giê-hô-va, nên nỗi Ngài không nhìn đến của lễ nữa, và không vui lòng nhận lấy vật dân bởi tay các ngươi.|你 們 又 行 了 一 件 這 樣 的 事 、 使 前 妻 歎 息 哭 泣 的 眼 淚 、 遮 蓋 耶 和 華 的 壇 、 以 致 耶 和 華 不 再 看 顧 那 供 物 、 也 不 樂 意 從 你 們 手 中 收 納 。
Các ngươi lại nói rằng: Vì sao? Ay là vì Đức Giê-hô-va làm chứng giữa ngươi và vợ ngươi lấy lúc tuổi trẻ, mà ngươi đãi nó cách phỉnh dối, dầu rằng nó là bạn ngươi và là vợ giao ước của ngươi.|你 們 還 說 、 這 是 為 甚 麼 呢 ． 因 耶 和 華 在 你 和 你 幼 年 所 娶 的 妻 中 間 作 見 證 ． 他 雖 是 你 的 配 偶 、 又 是 你 盟 約 的 妻 、 你 卻 以 詭 詐 待 他 。
Vả, hơi sống của Đức Chúa Trời dầu có dư dật, chỉ làm nên một người mà thôi. Nhưng vì sao chỉ làm một người? Ay là vì tìm một dòng dõi thánh. Vậy các ngươi khá cẩn thận trong tâm thần mình; chớ đãi cách phỉnh dối với vợ mình lấy lúc tuổi trẻ.|雖 然 　 神 有 靈 的 餘 力 能 造 多 人 、 他 不 是 單 造 一 人 麼 ． 為 何 只 造 一 人 呢 ． 乃 是 他 願 人 得 虔 誠 的 後 裔 。 所 以 當 謹 守 你 們 的 心 、 誰 也 不 可 以 詭 詐 待 幼 年 所 娶 的 妻 。
Vì Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên có phán rằng ta ghét người nào bỏ vợ, và người nào lấy sự hung dữ che áo mình, Đức Giê-hô-va vạn quân phán vậy. Vậy hãy giữ trong tâm thần các ngươi, chớ đãi cách phỉnh dối.|耶 和 華 以 色 列 的 　 神 說 、 休 妻 的 事 、 和 以 強 暴 待 妻 的 人 、 都 是 我 所 恨 惡 的 ． 所 以 當 謹 守 你 們 的 心 、 不 可 行 詭 詐 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Các ngươi đã làm phiền Đức Giê-hô-va bởi những lời nói mình; các ngươi lại nói rằng: Chúng tôi có làm phiền Ngài ở đâu? Ay là khi các ngươi nói: Ai làm điều dữ thì đẹp mắt Đức Giê-hô-va, và Ngài ưa thích những người như vậy; bằng chẳng vậy, thì nào Đức Chúa Trời của sự chánh trực ở đâu?|你 們 用 言 語 煩 瑣 耶 和 華 ． 你 們 還 說 、 我 們 在 何 事 上 煩 瑣 他 呢 ． 因 為 你 們 說 、 凡 行 惡 的 、 耶 和 華 眼 看 為 善 、 並 且 他 喜 悅 他 們 ． 或 說 、 公 義 的 　 神 在 那 裡 呢 。

					Ma-la-ki 3				|
						瑪拉基書 3					
Nầy, ta sai sứ giả ta, người sẽ dọn đường trước mặt ta; và Chúa mà các ngươi tìm kiếm sẽ thình lình vào trong đền thờ Ngài, tức là thiên sứ của sự giao ước mà các ngươi trông mong. Nầy, Ngài đến, Đức Giê-hô-va vạn quân phán vậy.|萬 軍 之 耶 和 華 說 、 我 要 差 遣 我 的 使 者 、 在 我 前 面 豫 備 道 路 ． 你 們 所 尋 求 的 主 、 必 忽 然 進 入 他 的 殿 ． 立 約 的 使 者 、 就 是 你 們 所 仰 慕 的 、 快 要 來 到 。
Nhưng ai sẽ đương nổi ngày Ngài đến, và ai đứng được khi Ngài hiện ra? Vì Ngài giống như lửa của thợ luyện, như tro thợ giặt.|他 來 的 日 子 、 誰 能 當 得 起 呢 ． 他 顯 現 的 時 候 、 誰 能 立 得 住 呢 ． 因 為 他 如 煉 金 之 人 的 火 、 如 漂 布 之 人 的 鹼 。
Ngài sẽ ngồi như kẻ luyện bạc và làm cho sạch; Ngài sẽ chùi các con trai Lê-vi, làm cho chúng nó sạch như vàng và bạc; chúng nó sẽ dân của lễ cho Đức Giê-hô-va trong sự công bình.|他 必 坐 下 如 煉 淨 銀 子 的 、 必 潔 淨 利 未 人 、 熬 煉 他 們 像 金 銀 一 樣 、 他 們 就 憑 公 義 獻 供 物 給 耶 和 華 。
Bấy giờ của lễ của Giu-đa và của Giê-ru-sa-lem sẽ được đẹp lòng Đức Giê-hô-va, như những ngày xưa, và như những năm thượng cổ.|那 時 、 猶 大 和 耶 路 撒 冷 所 獻 的 供 物 、 必 蒙 耶 和 華 悅 納 、 彷 彿 古 時 之 日 、 上 古 之 年 。
Ta sẽ đến gần các ngươi đặng làm sự đoán xét, và ta sẽ vội vàng làm chứng nghịch cùng những kẻ đồng bóng, tà dâm, những kẻ thề dối, những kẻ gạt tiền công của người làm thuê, hiếp đáp kẻ góa bụa và kẻ mồ côi, những kẻ làm hại người khách lạ, và những kẻ không kính sợ ta, Đức Giê-hô-va vạn quân phán vậy.|萬 軍 之 耶 和 華 說 、 我 必 臨 近 你 們 、 施 行 審 判 ． 我 必 速 速 作 見 證 、 警 戒 行 邪 術 的 、 犯 姦 淫 的 、 起 假 誓 的 、 虧 負 人 之 工 價 的 、 欺 壓 寡 婦 孤 兒 的 、 屈 枉 寄 居 的 、 和 不 敬 畏 我 的 。
Vì ta là Đức Giê-hô-va, ta không hề thay đổi; bởi cớ đó, các ngươi là con trai Gia-cốp, chẳng bị diệt vong.|因 我 耶 和 華 是 不 改 變 的 、 所 以 你 們 雅 各 之 子 沒 有 滅 亡 。
Từ những ngày tổ phụ các ngươi, các ngươi đã xây bỏ luật lệ ta và không vâng giữ. Hãy trở lại cùng ta, thì ta sẽ trở lại cùng các ngươi, Đức Giê-hô-va vạn quân phán vậy. Nhưng các ngươi nói rằng: Bởi đâu chúng tôi sẽ trở lại?|萬 軍 之 耶 和 華 說 、 從 你 們 列 祖 的 日 子 以 來 、 你 們 常 常 偏 離 我 的 典 章 、 而 不 遵 守 。 現 在 你 們 要 轉 向 我 、 我 就 轉 向 你 們 ． 你 們 卻 問 說 、 我 們 如 何 纔 是 轉 向 呢 。
Người ta có thể ăn trộm Đức Chúa Trời sao? mà các ngươi ăn trộm ta. Các ngươi nói rằng: Chúng tôi ăn trộm Chúa ở đâu? Các ngươi đã ăn trộm trong các phần mười và trong các của dâng.|人 豈 可 奪 取 　 神 之 物 呢 ． 你 們 竟 奪 取 我 的 供 物 、 你 們 卻 說 、 我 們 在 何 事 上 奪 取 你 的 供 物 呢 ． 就 是 你 們 在 當 納 的 十 分 之 一 、 和 當 獻 的 供 物 上 。
Các ngươi bị rủa sả, vì các ngươi, thảy các nước, đều ăn trộm ta.|因 你 們 通 國 的 人 、 都 奪 取 我 的 供 物 、 咒 詛 就 臨 到 你 們 身 上 。
Các ngươi hãy đem hết thảy phần mười vào kho, hầu cho có lương thực trong nhà ta; và từ nay các ngươi khá lấy điều nầy mà thử ta, Đức Giê-hô-va vạn quân phán, xem ta có mở các cửa sổ trên trời cho các ngươi, đổ phước xuống cho các ngươi đến nỗi không chỗ chứa chăng!|萬 軍 之 耶 和 華 說 、 你 們 要 將 當 納 的 十 分 之 一 、 全 然 送 入 倉 庫 、 使 我 家 有 糧 、 以 此 試 試 我 、 是 否 為 你 們 敞 開 天 上 的 窗 戶 、 傾 福 與 你 們 、 甚 至 無 處 可 容 。
Ta sẽ vì các ngươi ngăn cấm kẻ cắn nuốt, nó sẽ không phá hại bông trái của đất các ngươi; và những cây nho các ngươi trong đồng ruộng cũng sẽ không rụng trái trước khi đến mùa, Đức Giê-hô-va phán vậy.|萬 軍 之 耶 和 華 說 、 我 必 為 你 們 斥 責 蝗 蟲 〔 蝗 蟲 原 文 作 吞 噬 者 〕 不 容 他 毀 壞 你 們 的 土 產 ． 你 們 田 間 的 葡 萄 樹 在 未 熟 之 先 、 也 不 掉 果 子 。
Mọi nước sẽ xưng các ngươi là là có phước, vì các ngươi sẽ là đất vui thích, Đức Giê-hô-va vạn quân phán vậy.|萬 軍 之 耶 和 華 說 、 萬 國 必 稱 你 們 為 有 福 的 、 因 你 們 的 地 必 成 為 喜 樂 之 地 。
Đức Giê-hô-va phán: Các ngươi đã lấy lời ngang trái nghịch cùng ta. Nhưng các ngươi nói rằng: Chúng tôi có nói gì nghịch cùng Ngài?|耶 和 華 說 、 你 們 用 話 頂 撞 我 ． 你 們 還 說 、 我 們 用 甚 麼 話 頂 撞 了 你 呢 。
Các ngươi có nói: Người ta hầu việc Đức Chúa Trời là vô ích; chúng ta giữ điều Ngài dạy phải giữ, và bước đi cách buồn rầu trước mặt Đức Giê-hô-va vạn quân, thì có lợi gì?|你 們 說 、 事 奉 　 神 是 徒 然 的 ． 遵 守 　 神 所 吩 咐 的 、 在 萬 軍 之 耶 和 華 面 前 苦 苦 齋 戒 、 有 甚 麼 益 處 呢 。
Rày chúng ta kể kẻ kiêu ngạo là có phước, kẻ phạm sự hung ác là tấn tới: họ đã thử Đức Chúa Trời, và đã được giải thoát!|如 今 我 們 稱 狂 傲 的 人 為 有 福 ． 並 且 行 惡 的 人 得 建 立 ． 他 們 雖 然 試 探 　 神 、 卻 得 脫 離 災 難 。
Bấy giờ những kẻ kính sợ Đức Giê-hô-va nói cùng nhau, thì Đức Giê-hô-va để ý mà nghe; và một sách để ghi nhớ được chép trước mặt Ngài cho những kẻ kính sợ Đức Giê-hô-va và tưởng đến danh Ngài.|那 時 、 敬 畏 耶 和 華 的 彼 此 談 論 ． 耶 和 華 側 耳 而 聽 、 且 有 紀 念 冊 在 他 面 前 、 記 錄 那 敬 畏 耶 和 華 思 念 他 名 的 人 。
Đức Giê-hô-va vạn quân phán: Những kẻ ấy sẽ thuộc về ta, làm cơ nghiệp riêng của ta trong ngày ta làm; và ta sẽ tiếc chúng nó như một người tiếc con trai mình hầu việc mình.|萬 軍 之 耶 和 華 說 、 在 我 所 定 的 日 子 、 他 們 必 屬 我 、 特 特 歸 我 ． 我 必 憐 恤 他 們 、 如 同 人 憐 恤 服 事 自 己 的 兒 子 。
Bấy giờ các ngươi sẽ trở lại và sẽ phân biệt giữa kẻ công bình và kẻ gian ác, giữa kẻ hầu việc Đức Chúa Trời và kẻ không hầu việc Ngài.|那 時 你 們 必 歸 回 、 將 善 人 和 惡 人 、 事 奉 　 神 的 和 不 事 奉 　 神 的 、 分 別 出 來 。

					Ma-la-ki 4				|
						瑪拉基書 4					
Vì nầy, ngày đến, cháy như lò lửa. Mọi kẻ kiêu ngạo, mọi kẻ làm sự gian ác sẽ như rơm cỏ; Đức Giê-hô-va vạn quân phán: Ngày ấy đến, thiêu đốt chúng nó, chẳng để lại cho chúng nó hoặc rễ hoặc nhành.|萬 軍 之 耶 和 華 說 、 那 日 臨 近 、 勢 如 燒 著 的 火 爐 ． 凡 狂 傲 的 和 行 惡 的 、 必 如 碎 秸 ． 在 那 日 必 被 燒 盡 、 根 本 枝 條 一 無 存 留 。
Nhưng về phần các ngươi là kẻ kính sợ danh ta, thì mặt trời công bình sẽ mọc lên cho, trong cánh nó có sự chữa bịnh; các ngươi sẽ đi ra và nhảy nhót như bò tơ của chuồng.|但 向 你 們 敬 畏 我 名 的 人 、 必 有 公 義 的 日 頭 出 現 、 其 光 線 有 醫 治 之 能 。 〔 光 線 原 文 作 翅 膀 〕 你 們 必 出 來 跳 躍 如 圈 裡 的 肥 犢 。
Các ngươi sẽ giày đạp những kẻ ác, vì trong ngày ta làm, chúng nó sẽ như là tro dưới bàn chơn các ngươi, Đức Giê-hô-va vạn quân phán vậy.|你 們 必 踐 踏 惡 人 ． 在 我 所 定 的 日 子 、 他 們 必 如 灰 塵 在 你 們 腳 掌 之 下 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Các ngươi khá nhớ lại luật pháp của đầy tớ ta là Môi-se, mà ta đã truyền cho nó tại Hô-rép, tức là những lề luật và mạng lịnh cho cả Y-sơ-ra-ên.|你 們 當 記 念 我 僕 人 摩 西 的 律 法 、 就 是 我 在 何 烈 山 為 以 色 列 眾 人 所 吩 咐 他 的 律 例 典 章 。
Nầy, ta sẽ sai đấng tiên tri Ê-li đến cùng các ngươi trước ngày lớn và đáng sợ của Đức Giê-hô-va chưa đến.|看 哪 、 耶 和 華 大 而 可 畏 之 日 未 到 以 前 、 我 必 差 遣 先 知 以 利 亞 到 你 們 那 裡 去 。
Người sẽ làm cho lòng cha trở lại cùng con cái, lòng con cái trở lại cùng cha, kẻo ta đến lấy sự rủa sả mà đánh đất nầy.|他 必 使 父 親 的 心 轉 向 兒 女 、 兒 女 的 心 轉 向 父 親 、 免 得 我 來 咒 詛 遍 地 。
