
					Ê-xơ-tê 1				|
Những quan kế cận vua hơn hết là Cạt-sê-na, Sê-thạt, At-ma-tha, Ta-rê-si, Mê-re, Mạt-sê-na, Mê-mu-can, tức bảy quan trưởng của nước Phe-rơ-sơ và Mê-đi, thường thấy mặt vua và ngồi bực cao nhứt trong nước.|見 上 節
Bấy giờ vua hỏi chúng rằng: Hoàng hậu Vả-thi chẳng có vâng theo mạng lịnh của vua A-suê-ru cậy các hoạn quan truyền cho; vậy thì theo luật pháp chúng ta phải xử bà thể nào?|王 后 瓦 實 提 不 遵 太 監 所 傳 的 王 命 、 照 例 應 當 怎 樣 辦 理 呢 ．
Mê-mu-can thưa trước mặt vua và các quan trưởng rằng: Vả-thi chẳng những làm mất lòng vua mà thôi, nhưng lại hết thảy những quan trưởng, và dân sự ở trong các tỉnh của vua A-suê-ru;|米 母 干 在 王 和 眾 首 領 面 前 回 答 說 、 王 后 瓦 實 提 、 這 事 不 但 得 罪 王 、 並 且 有 害 於 王 各 省 的 臣 民 ．
vì việc nầy đồn ra trong các người nữ, khiến họ khinh bỉ chồng mình, nói rằng vua A-suê-ru có biểu dẫn hoàng hậu Vả-thi đến trước mặt vua, mà nàng không có đến.|因 為 王 后 這 事 必 傳 到 眾 婦 人 的 耳 中 、 說 、 亞 哈 隨 魯 王 吩 咐 王 后 瓦 實 提 到 王 面 前 、 他 卻 不 來 、 他 們 就 藐 視 自 己 的 丈 夫 ．
Ngày nay, các vợ quan trưởng Phe-rơ-sơ và Mê-đi mà đã hay việc hoàng hậu đã làm, cũng sẽ nói một cách với chồng mình, rồi sẽ có lắm điều khinh bỉ và cơn giận.|今 日 波 斯 和 瑪 代 的 眾 夫 人 聽 見 王 后 這 事 、 必 向 王 的 大 臣 照 樣 行 ． 從 此 必 大 開 藐 視 和 忿 怒 之 端 。
Nếu đẹp ý vua, khá giáng chiếu chỉ, chép vào trong sách luật pháp của nước Phe-rơ-sơ và Mê-đi, chẳng hề hay đổi đặng, rằng Vả-thi sẽ chẳng còn vào đến trước mặt vua A-suê-ru nữa; vua khá ban vị hoàng hậu của Vả-thi cho một người khác tốt hơn nàng.|王 若 以 為 美 、 就 降 旨 寫 在 波 斯 和 瑪 代 人 的 例 中 、 永 不 更 改 、 不 准 瓦 實 提 再 到 王 面 前 、 將 他 王 后 的 位 分 賜 給 比 他 還 好 的 人 ．
Khi chiếu chỉ của vua đã làm được truyền khắp trong nước, vì nước thật rộng lớn, thì các người vợ tất phải tôn kính chồng mình, từ người sang trọng cho đến kẻ nhỏ hèn.|所 降 的 旨 意 傳 遍 通 國 、 （ 國 度 本 來 廣 大 ） 所 有 的 婦 人 、 無 論 丈 夫 貴 賤 都 必 尊 敬 他 。
Lời nầy đẹp ý vua và các quan trưởng; vua bèn làm theo lời của Mê-mu-can đã luận,|王 和 眾 首 領 都 以 米 母 干 的 話 為 美 、 王 就 照 這 話 去 行 、
hạ chiếu cho các tỉnh của vua, theo chữ và tiếng của mỗi tỉnh mỗi dân, mà bảo rằng mỗi người đờn ông phải làm chủ nhà mình, và lấy tiếng bổn xứ mình mà dạy biểu.|發 詔 書 、 用 各 省 的 文 字 、 各 族 的 方 言 、 通 知 各 省 、 使 為 丈 夫 的 在 家 中 作 主 、 各 說 本 地 的 方 言 。

					Ê-xơ-tê 2				|
						以斯帖記 2					
Sau các việc ấy, khi cơn thạnh nộ vua A-suê-ru đã nguôi lại, thì người bèn nhớ lại Vả-thi, và việc nàng đã làm, cùng sự đã chỉ định cho nàng.|這 事 以 後 、 亞 哈 隨 魯 王 的 忿 怒 止 息 、 就 想 念 瓦 實 提 和 他 所 行 的 、 並 怎 樣 降 旨 辦 他 。
Các cận thần vua thưa rằng: Khá tìm cho vua những người nữ đồng trinh tốt đẹp;|於 是 王 的 侍 臣 對 王 說 、 不 如 為 王 尋 找 美 貌 的 處 女 ．
và xin vua hãy sai khiến những quan đi khắp các tỉnh của nước vua, nhóm hiệp hết thảy những người nữ đồng trinh tốt đẹp, đến Su-sơ, là kinh đô, dẫn vào hậu cung, và giao phó cho Hê-gai, hoạn quan của vua, thái giám những cung phi; rồi phát cho chúng những hương phẩm cần dùng cho sự tẩy uế;|王 可 以 派 官 在 國 中 的 各 省 招 聚 美 貌 的 處 女 到 書 珊 城 〔 或 作 宮 〕 的 女 院 、 交 給 掌 管 女 子 的 太 監 希 該 、 給 他 們 當 用 的 香 品 ．
hễ con gái trẻ nào được đẹp lòng vua khá lập làm hoàng hậu thế cho Vả-thi. Lời ấy đẹp lòng vua; vua bèn làm như vậy.|王 所 喜 愛 的 女 子 、 可 以 立 為 王 后 、 代 替 瓦 實 提 ． 王 以 這 事 為 美 、 就 如 此 行 。
Ở tại kinh đô Su-sơ, có một người Giu-đa, tên là Mạc-đô-chê, con trai của Giai-rơ, cháu của Si-mê -i, chắt của Kích, người Bên-gia-min,|書 珊 城 有 一 個 猶 大 人 、 名 叫 末 底 改 、 是 便 雅 憫 人 基 士 的 曾 孫 、 示 每 的 孫 子 、 睚 珥 的 兒 子 ．
người bị bắt dẫn khỏi Giê-ru-sa-lem với những kẻ bị bắt làm phu tù đồng một lượt với Giê-cô-nia, vua Giu-đa, mà Nê-bu-cát-nết-sa, vua Ba-by-lô, đã bắt làm phu tù.|從 前 巴 比 倫 王 尼 布 甲 尼 撒 將 猶 大 王 耶 哥 尼 雅 （ 又 名 約 雅 斤 ） 和 百 姓 從 耶 路 撒 冷 擄 去 、 末 底 改 也 在 其 內 。
Người bảo dưỡng Ha-đa-xa  con gái của cậu mình, vì nàng không có cha mẹ. Người thiếu nữ ấy là tốt tươi hình dạng, đẹp đẽ dung nhan. Vậy, khi cha mẹ nàng đã qua đời rồi, Mạc-đô-chê nhận nàng làm con gái mình.|末 底 改 撫 養 他 叔 叔 的 女 兒 哈 大 沙 、 （ 後 名 以 斯 帖 ） 、 因 為 他 沒 有 父 母 ． 這 女 子 又 容 貌 俊 美 、 他 父 母 死 了 、 末 底 改 就 收 他 為 自 己 的 女 兒 。
Xảy ra khi mạng lịnh của vua và chiếu chỉ người đã được rõ biết, khi có nhiều con gái trẻ đã nhóm hiệp tại kinh đô Su-sơ, giao phó cho Hê-gai chưởng quản, thì Ê-xơ-tê cũng được đem đến cung vua, giao phó cho Hê-gai, quan thái giám các cung phi.|王 的 諭 旨 傳 出 、 就 招 聚 許 多 女 子 到 書 珊 城 、 交 給 掌 管 女 子 的 希 該 、 以 斯 帖 也 送 入 王 宮 、 交 付 希 該 ．
Con gái trẻ đó đẹp lòng Hê-gai và được ơn trước mặt người; người lật đật ban ho nàng những hương phẩm cần dùng sự tẩy uế, và những vật nhựt dụng của nàng, cung cấp cho nàng bảy con gái tơ chọn lấy trong cung vua; đoạn Hê-gai dời nàng với các con gái tơ vào trong một cái phòng tốt nhứt của cung phi tần.|希 該 喜 悅 以 斯 帖 、 就 恩 待 他 、 急 忙 給 他 需 用 的 香 品 、 和 他 所 當 得 的 分 、 又 派 所 當 得 的 七 個 宮 女 服 事 他 、 使 他 和 他 的 宮 女 搬 入 女 院 上 好 的 房 屋 。
Ê-xơ-tê chẳng tỏ ra dân mình và quê hương mình; vì Mạc-đô-chê có dặn nàng đừng tỏ cho ai biết.|以 斯 帖 未 曾 將 籍 貫 宗 族 告 訴 人 、 因 為 末 底 改 囑 咐 他 不 可 叫 人 知 道 。
Mỗi ngày, Mạc-đô-chê đi dạo chơi trước sân của các cung phi tần, để cho biết Ê-xơ-tê có bằng-yên chăng, và nàng sẽ ra thể nào.|末 底 改 天 天 在 女 院 前 邊 行 走 、 要 知 道 以 斯 帖 平 安 不 平 安 、 並 後 事 如 何 。
Mỗi con gái trẻ chiếu theo lệ định mà dọn mình cho tinh sạch trong mười hai tháng: sáu tháng dùng dầu một dược, sáu tháng dùng thuốc thơm, cùng những hương phẩm cần dùng về sự tẩy uế. Sau kỳ ấy đã mãn rồi, mỗi con gái trẻ theo phiên thứ mà đến cùng vua A-suê-ru.|眾 女 子 照 例 先 潔 淨 身 體 十 二 個 月 、 六 個 月 用 沒 藥 油 、 六 個 月 用 香 料 和 潔 身 之 物 、 滿 了 日 期 、 然 後 挨 次 進 去 見 亞 哈 隨 魯 王 ．
Họ vào chầu vua như vầy: Phàm vật gì nàng muốn đem theo từ cung phi tần đến cung điện vua, thì họ liền ban cho.|女 子 進 去 見 王 是 這 樣 、 從 女 院 到 王 宮 的 時 候 、 凡 他 所 要 的 、 都 必 給 他 ．
Buổi tối thì nàng đến, còn sớm mai trở về hầu cung thứ nhì, có Sa-ách-ga là hoạn quan của vua, thái giám các phi tần, coi sóc. Nàng không hề vào cung vua nữa, miễn là nàng đẹp ý vua, và được vua đòi tên mình.|晚 上 進 去 、 次 日 回 到 女 子 第 二 院 、 交 給 掌 管 妃 嬪 的 太 監 沙 甲 ． 除 非 王 喜 愛 他 、 再 提 名 召 他 、 就 不 再 進 去 見 王 。
Khi phiên Ê-xơ-tê, con gái của A-bi-hai, cậu của Mạc-đô-chê, là người đã nhận nàng làm con, đã đến để đi vào cùng vua, thì nàng chẳng cầu xin gì hết, ngoại trừ điều Hê-gai, hoạn quan vua, thái-giam các phi tần, đã định cho. Ê-xơ-tê được ơn trước mặt mọi người thấy nàng.|末 底 改 叔 叔 亞 比 孩 的 女 兒 、 就 是 末 底 改 收 為 自 己 女 兒 的 以 斯 帖 、 按 次 序 當 進 去 見 王 的 時 候 、 除 了 掌 管 女 子 的 太 監 希 該 所 派 定 給 他 的 、 他 別 無 所 求 ． 凡 看 見 以 斯 帖 的 都 喜 悅 他 。
Ay vậy, E-xơ-tê được đưa đến cùng vua A-suê-ru trong cung vua, nhằm tháng mười  năm thứ bảy đời người trị vì.|亞 哈 隨 魯 王 第 七 年 十 月 、 就 是 提 別 月 、 以 斯 帖 被 引 入 宮 見 王 ．
Vua thương mến Ê-xơ-tê nhiều hơn các cung nữ khác, và nàng được ơn trước mặt vua hơn những người nữ đồng trinh; vua đội mão triều thiên trên đầu nàng, và lập nàng làm hoàng hậu thế cho Vả-thi.|王 愛 以 斯 帖 過 於 愛 眾 女 、 他 在 王 眼 前 蒙 寵 愛 比 眾 處 女 更 甚 ． 王 就 把 王 后 的 冠 冕 戴 在 他 頭 上 、 立 他 為 王 后 、 代 替 瓦 實 提 ．
Đoạn, vua bày một tiệc lớn đãi các quan trưởng và thần bộc mình, tức tiệc yến của bà Ê-xơ-tê; vua rộng tha thuế cho các tỉnh, và ban thưởng xứng đáng theo bực giàu sang của vua.|王 因 以 斯 帖 的 緣 故 給 眾 首 領 和 臣 僕 設 擺 大 筵 席 、 又 豁 免 各 省 的 租 稅 、 並 照 王 的 厚 意 大 頒 賞 賜 。
Khi các người nữ đồng trinh hiệp lại lần thứ nhì, thì Mạc-đô-chê ngồi ở nơi cửa vua.|第 二 次 招 聚 處 女 的 時 候 、 末 底 改 坐 在 朝 門 。
Ê-xơ-tê, y như lời Mạc-đô-chê đã dặn mình, không tỏ cho ai biết quê hương và tông tộc mình; vì Ê-xơ-tê làm theo điều Mạc-đô-chê dặn nàng, như khi nàng còn được bảo dưỡng nơi nhà người.|以 斯 帖 照 著 末 底 改 所 囑 咐 的 還 沒 有 將 籍 貫 宗 族 告 訴 人 ． 因 為 以 斯 帖 遵 末 底 改 的 命 、 如 撫 養 他 的 時 候 一 樣 。
Trong các ngày đó, Mạc-đô-chê đương ngồi nơi cửa vua, có hai hoạn quan của vua, trong bọn kẻ giữ cửa, là Bích-than và Thê-rết, nổi giận toan mưu tra tay vào vua A-suê-ru.|當 那 時 候 、 末 底 改 坐 在 朝 門 、 王 的 太 監 中 有 兩 個 守 門 的 辟 探 和 提 列 惱 恨 亞 哈 隨 魯 王 、 想 要 下 手 害 他 ．
Việc ấy thấu đến Mạc-đô-chê biết, người học lại cho hoàng hậu Ê-xơ-tê, bà Ê-xơ-tê nhơn tên Mạc-đô-chê tâu lại cho vua.|末 底 改 知 道 了 、 就 告 訴 王 后 以 斯 帖 ． 以 斯 帖 奉 末 底 改 的 名 、 報 告 於 王 ．
Người ta bèn tra hạch việc đó, thấy quả thật như vậy, rồi cả hai đều bị treo nơi cây hình; đoạn họ chép điều đó trong sách sử ký tại trước mặt vua.|究 察 這 事 、 果 然 是 實 、 就 把 二 人 挂 在 木 頭 上 、 將 這 事 在 王 面 前 寫 於 歷 史 上 。

					Ê-xơ-tê 3				|
						以斯帖記 3					
Sau các việc ấy, vua A-suê-ru thăng chức cho Ha-man, con trai của Ham-mê-đa-tha, người A-gát, và làm nổi danh người, đặt ngôi người trên các quan trưởng ở cung vua.|這 事 以 後 、 亞 哈 隨 魯 王 抬 舉 亞 甲 族 哈 米 大 他 的 兒 子 哈 曼 、 使 他 高 升 、 叫 他 的 爵 位 超 過 與 他 同 事 的 一 切 臣 宰 。
Hết thảy thần bộc ở tại nơi cửa vua đều cúi xuống lạy Ha-man; vì về phần người, vua đã truyền bảo như vậy. Nhưng Mạc-đô-chê không cúi xuống, cũng không lạy người.|在 朝 門 的 一 切 臣 僕 、 都 跪 拜 哈 曼 、 因 為 王 如 此 吩 咐 ． 惟 獨 末 底 改 不 跪 不 拜 ．
Các thần bộc ở nơi cửa vua bèn nói với Mạc-đô-chê rằng: Cớ sao ông phạm mạng vua?|在 朝 門 的 臣 僕 問 末 底 改 說 、 你 為 何 違 背 王 的 命 令 呢 ．
Xảy vì chúng nói với người ngày nầy qua ngày kia, mà người chẳng khứng nghe đến, thì chúng cáo cho Ha-man hay, đặng thử xem sự tình của Mạc-đô-chê có thắng chăng, vì người tỏ cho chúng rằng mình là người Giu-đa.|他 們 天 天 勸 他 、 他 還 是 不 聽 、 他 們 就 告 訴 哈 曼 、 要 看 末 底 改 的 事 站 得 住 站 不 住 、 因 他 已 經 告 訴 他 們 自 己 是 猶 大 人 ．
Khi Ha-man thấy Mạc-đô-chê không cúi xuống và không lạy mình bèn nổi giận dữ.|哈 曼 見 末 底 改 不 跪 不 拜 、 他 就 怒 氣 填 胸 ．
Người ta đã học cho Ha-man biết Mạc-đô-chê là người Giu-đa, nên người cho sự tra tay trên một mình Mạc-đô-chê là một sự nhỏ mọn, người bèn tìm mưu giết hết thảy dân Giu-đa, là tông tộc của Mạc-đô-chê, ở trong toàn nước A-suê-ru.|他 們 已 將 末 底 改 的 本 族 告 訴 哈 曼 、 他 以 為 下 手 害 末 底 改 一 人 是 小 事 、 就 要 滅 絕 亞 哈 隨 魯 王 通 國 所 有 的 猶 大 人 、 就 是 末 底 改 的 本 族 。
Tháng Giêng là tháng Ni-san, năm thứ mười hai đời vua A-suê-ru, người ta bỏ Phu-rơ, tức là bỏ thăm, mỗi ngày mỗi tháng, tại trước mặt Ha-man, cho đến tháng mười hai, là tháng A-đa.|亞 哈 隨 魯 王 十 二 年 正 月 、 就 是 尼 散 月 、 人 在 哈 曼 面 前 、 按 日 日 月 月 掣 普 珥 、 就 是 掣 籤 、 要 定 何 月 何 日 為 吉 、 擇 定 了 十 二 月 、 就 是 亞 達 月 。
Ha-man tâu với vua A-suê-ru rằng: Có một dân tộc tản mản, tải rác ra giữa các dân tộc trong những tỉnh của nước vua: luật pháp của chúng nó khác hơn luật pháp của các dân khác; lại chúng nó cũng không tuân theo luật pháp của vua; dung chúng nó chẳng tiện cho vua.|哈 曼 對 亞 哈 隨 魯 王 說 、 有 一 種 民 、 散 居 在 王 國 各 省 的 民 中 、 他 們 的 律 例 、 與 萬 民 的 律 例 不 同 、 也 不 守 王 的 律 例 、 所 以 容 留 他 們 與 王 無 益 ．
Nếu điều đó vừa ý vua, khá giáng chiếu chỉ truyền tuyệt diệt chúng nó đi; rồi tôi sẽ cân mười ta lâng bạc phó vào tay những quan đốc tư để đem vào kho vua.|王 若 以 為 美 、 請 下 旨 意 滅 絕 他 們 ． 我 就 捐 一 萬 他 連 得 銀 子 、 交 給 掌 管 國 帑 的 人 、 納 入 王 的 府 庫 ．
Vua bèn cỗi chiếc nhẫn khỏi tay mình, trao cho Ha-man, con trai Ham-mê-đa-tha, người A-gát, kẻ cừu địch dân Giu-đa.|於 是 王 從 自 己 手 上 摘 下 戒 指 、 給 猶 大 人 的 仇 敵 、 亞 甲 族 哈 米 大 他 的 兒 子 哈 曼 ．
Vua nói với Ha-man rằng: Bạc đã ban cho ngươi, dân sự cũng phó cho ngươi, để làm điều chi mặc ý ngươi.|王 對 哈 曼 說 、 這 銀 子 仍 賜 給 你 、 這 民 也 交 給 你 、 你 可 以 隨 意 待 他 們 。
Tháng giêng, ngày mười ba, thì đòi những thầy thơ ký của vua đến; rồi tùy theo mọi điều Ha-man truyền dặn, người ta nhơn danh A-suê-ru viết chiếu cho các quan trấn thủ của vua, cho các quan cai quản mỗi tỉnh, và cho các trưởng tộc của mỗi dân tộc, tỉnh nào dùng chữ nấy, dân tộc nào theo thổ âm nấy; đoạn họ lấy chiếc nhẫn của vua mà đóng ấn.|正 月 十 三 日 就 召 了 王 的 書 記 來 、 照 著 哈 曼 一 切 所 吩 咐 的 、 用 各 省 的 文 字 、 各 族 的 方 言 、 奉 亞 哈 隨 魯 王 的 名 寫 旨 意 、 傳 與 總 督 和 各 省 的 省 長 、 並 各 族 的 首 領 、 又 用 王 的 戒 指 蓋 印 ．
Rồi cho gởi các thơ bởi lính trạm cho các tỉnh của vua, đặng dạy biểu rằng nhằm ngày mười ba tháng mười hai, tức là tháng A-đa, phải trừ diệt, giết chết và làm cho hư mất hết thảy dân Giu-đa trong một ngày đó, vô luận người già kẻ trẻ, con nhỏ hay là đờn bà, và cướp giựt tài sản của chúng nó.|交 給 驛 卒 傳 到 王 的 各 省 、 吩 咐 將 猶 大 人 、 無 論 老 少 婦 女 孩 子 、 在 一 日 之 間 、 十 二 月 、 就 是 亞 達 月 十 三 日 、 全 然 剪 除 、 殺 戮 滅 絕 、 並 奪 他 們 的 財 為 掠 物 ．
Để cho chiếu chỉ được tuyên bố trong mỗi tỉnh, có bổn sao lục đem rao cho các dân tộc biết, hầu cho chúng đều sẵn sàng về ngày đó.|抄 錄 這 旨 意 、 頒 行 各 省 、 宣 告 各 族 、 使 他 們 豫 備 等 候 那 日 ．
Các lính trạm vâng lịnh vua vội vã đi ra. Chiếu chỉ nầy cũng truyền tại kinh đô Su-sơ. Đoạn, vua và Ha-man ngồi lại uống rượu, còn thành Su-sơ đều hoảng kinh.|驛 卒 奉 王 命 急 忙 起 行 、 旨 意 也 傳 遍 書 珊 城 。 王 同 哈 曼 坐 下 飲 酒 ． 書 珊 城 的 民 卻 都 慌 亂 。

					Ê-xơ-tê 4				|
						以斯帖記 4					
Vả, khi Mạc-đô-chê biết hết mọi điều ấy, bèn xé áo mình, mặc một cái bao và phủ tro, rồi đi ra giữa thành, lấy tiếng lớn kêu khóc cách cay đắng.|末 底 改 知 道 所 作 的 這 一 切 事 、 就 撕 裂 衣 服 、 穿 麻 衣 、 蒙 灰 塵 、 在 城 中 行 走 、 痛 哭 哀 號 ．
Người cũng đi đến tận trước cửa vua; vì ai mặc cái bao, bị cấm không cho vào cửa của vua.|到 了 朝 門 前 停 住 腳 步 ． 因 為 穿 麻 衣 的 不 可 進 朝 門 。
Phàm trong mỗi tỉnh, nơi nào mạng lịnh vua và chiếu chỉ người đã đến, thì trong dân Giu-đa bèn có sự sầu thảm, kiêng cữ ăn, khóc lóc và kêu van; lại có nhiều người lấy bao và tro làm giường mình.|王 的 諭 旨 所 到 的 各 省 各 處 、 猶 大 人 大 大 悲 哀 、 禁 食 哭 泣 哀 號 ． 穿 麻 衣 躺 在 灰 中 的 甚 多 。
Các nàng hầu và Ê-xơ-tê và những hoạn quan bà đều đến thuật lại sự ấy cho bà; hoàng hậu bèn buồn rầu lắm, gởi quần áo cho Mạc-đô-chê mặc, để lột bao gai khỏi mình người; nhưng người không khứng nhận.|王 后 以 斯 帖 的 宮 女 和 太 監 來 把 這 事 告 訴 以 斯 帖 、 他 甚 是 憂 愁 ． 就 送 衣 服 給 末 底 改 穿 、 要 他 脫 下 麻 衣 、 他 卻 不 受 。
Bấy giờ bà Ê-xơ-tê gọi Ha-thác, một hoạn quan của vua, mà vua đã đặt hầu chực bà, rồi biểu người đi đến Mạc-đô-chê hỏi cho biết có việc gì, và nhân sao có vậy.|以 斯 帖 就 把 王 所 派 伺 候 他 的 一 個 太 監 、 名 叫 哈 他 革 召 來 、 吩 咐 他 去 見 末 底 改 、 要 知 道 這 是 甚 麼 事 、 是 甚 麼 緣 故 ．
Ha-thác bèn đi ra đến Mạc-đô-chê tại nơi phố thành ở trước cửa vua.|於 是 哈 他 革 出 到 朝 門 前 的 寬 闊 處 見 末 底 改 ．
Mạc-đô-chê thuật lại mọi điều đã xảy đến mình, và số bạc Ha-man đã hứa đóng vào kho vua đặng có phép tuyệt diệt dân Giu-đa.|末 底 改 將 自 己 所 遇 的 事 、 並 哈 曼 為 滅 絕 猶 大 人 應 許 捐 入 王 庫 的 銀 數 、 都 告 訴 了 他 ．
Người cũng đưa cho hoạn quan một bổn sao lục chiếu chỉ đã truyền ra tại Su-sơ đặng tuyệt diệt dân Giu-đa, để hoạn quan chỉ cho bà Ê-xơ-tê xem và biết, cùng biểu người khuyên bà vào cùng vua, trước mặt vua nài xin ơn vua và cầu khẩn giùm cho dân tộc mình.|又 將 所 抄 寫 傳 遍 書 珊 城 要 滅 絕 猶 大 人 的 旨 意 交 給 哈 他 革 、 要 給 以 斯 帖 看 、 又 要 給 他 說 明 、 並 囑 咐 他 進 去 見 王 、 為 本 族 的 人 、 在 王 面 前 懇 切 祈 求 。
Ha-thác bèn trở về thuật lại cho bà Ê-xơ-tê mọi lời của Mạc-đô-chê.|哈 他 革 回 來 、 將 末 底 改 的 話 告 訴 以 斯 帖 ．
Bấy giờ bà Ê-xơ-tê nói với Ha-thác, và sai người nói lại với Mạc-đô-chê rằng:|以 斯 帖 就 吩 咐 哈 他 革 去 見 末 底 改 說 、
Các thần bộc và dân chúng các tỉnh của vua đều biết rằng hễ ai, bất luận nam hay nữ, vào cùng vua tại nội viện, mà không được lịnh vời, thì ai đó theo luật đã định tất phải bị xử tử đi, miễn là được vua giơ cây phủ việt vàng ra, thì mới sống; nhưng đã ba mươi ngày rày tôi không được vời vào cung vua.|王 的 一 切 臣 僕 、 和 各 省 的 人 民 、 都 知 道 有 一 個 定 例 、 若 不 蒙 召 、 擅 入 內 院 見 王 的 、 無 論 男 女 必 被 治 死 ． 除 非 王 向 他 伸 出 金 杖 、 不 得 存 活 ． 現 在 我 沒 有 蒙 召 進 去 見 王 已 經 三 十 日 了 。
Người ta thuật lại cho Mạc-đô-chê các lời của bà Ê-xơ-tê.|人 就 把 以 斯 帖 這 話 告 訴 末 底 改 。
Mạc-đô-che biểu đáp lại cùng bà Ê-xơ-tê rằng: Chớ thầm tưởng rằng ở trong cung vua, người sẽ được thoát khỏi phải hơn mọi người Giu-đa khác;|末 底 改 託 人 回 覆 以 斯 帖 說 、 你 莫 想 在 王 宮 裡 強 過 一 切 猶 大 人 、 得 免 這 禍 ．
