
					II Sa-mu-ên 1				|
Hỡi núi Ghinh-bô -a! Nguyện sương móc và mưa chẳng sa xuống trên ngươi, Và chẳng có đồng ruộng sanh sản vật dùng làm của lễ đầu mùa; Vì tại nơi đó, cái khiên của anh hùng bị nhơ nhuốc, Tức là cái khiên của Sau-lơ, nó sẽ chẳng hề được xức dầu nữa.|基 利 波 山 哪 、 願 你 那 裡 沒 有 雨 露 ． 願 你 田 地 無 土 產 可 作 供 物 ． 因 為 英 雄 的 盾 牌 、 在 那 裡 被 污 丟 棄 ． 掃 羅 的 盾 牌 、 彷 彿 未 曾 抹 油 。
Cây cung của Giô-na-than chẳng hề trở về Mà không dính đầy huyết kẻ chết, và mỡ của người dõng sĩ; Cây gươm của Sau-lơ không hề trở về mà không vinh quang.|約 拿 單 的 弓 箭 、 非 流 敵 人 的 血 不 退 縮 ． 掃 羅 的 刀 劍 、 非 剖 勇 士 的 油 不 收 回 。
Khi còn sống, Sau-lơ và Giô-na-tha yêu nhau đẹp nhau, Lúc chết chẳng lìa khỏi nhau; Hai người vốn lẹ hơn chim ưng, Mạnh hơn con sư tử!|掃 羅 和 約 拿 單 、 活 時 相 悅 相 愛 、 死 時 也 不 分 離 ． 他 們 比 鷹 更 快 、 比 獅 子 還 強 。
Hỡi con gái Y-sơ-ra-ên, hãy khóc về Sau-lơ, Người đã mặc cho các ngươi áo xống màu đỏ điều xa xí, Trao giồi áo xống các ngươi bằng đồ vàng.|以 色 列 的 女 子 阿 、 當 為 掃 羅 哭 號 ． 他 曾 使 你 們 穿 朱 紅 色 的 美 衣 、 使 你 們 衣 服 有 黃 金 的 妝 飾 。
Cớ sao người dõng sĩ ngã giữa cơn trận? Nhân sao Giô-na-than thác trên gò nỗng các ngươi?|英 雄 何 竟 在 陣 上 仆 倒 ． 約 拿 單 何 竟 在 山 上 被 殺 。
Hỡi Giô-na-than, anh tôi, lòng tôi quặn thắt vì anh. Anh làm cho tôi khoái dạ; Nghĩa bầu bạn của anh lấy làm quí hơn tình thương người nữ.|我 兄 約 拿 單 哪 、 我 為 你 悲 傷 ． 我 甚 喜 悅 你 、 你 向 我 發 的 愛 情 奇 妙 非 常 、 過 於 婦 女 的 愛 情 。
Cớ sao những anh hùng bị ngã xuống? Nhân sao các binh khí họ bị bẻ gãy?|英 雄 何 竟 仆 倒 、 戰 具 何 竟 滅 沒 。

					II Sa-mu-ên 2				|
						撒母耳記下 2					
Sau điều đó, Đa-vít cầu vấn Đức Giê-hô-va như vầy: Tôi có nên đi lên trong một thành nào của xứ Giu-đa chăng? Đức Giê-hô-va đáp cùng người rằng: Hãy đi lên. Đa-vít tiếp: Tôi phải lên trong thành nào? Đức Giê-hô-va đáp: Hếp-rôn.|此 後 、 大 衛 問 耶 和 華 說 、 我 上 猶 大 的 一 個 城 去 可 以 麼 ． 耶 和 華 說 、 可 以 、 大 衛 說 、 我 上 哪 一 個 城 去 呢 ． 耶 和 華 說 、 上 希 伯 崙 去 。
Đa-vít đi đến đó, đem theo hai người vợ, là A-hi-nô-am ở Gít-rê-ên, và A-bi-ga-in, nguyên là vợ của Na-banh ở Cạt-mên.|於 是 大 衛 和 他 的 兩 個 妻 、 一 個 是 耶 斯 列 人 亞 希 暖 、 一 個 是 作 過 迦 密 人 拿 八 妻 的 亞 比 該 、 都 上 那 裡 去 了 。
Đa-vít cũng đem các người ở cùng mình đi lên, mỗi người với gia quyến mình, mà ở trong các thành của địa phận Hếp-rôn.|大 衛 也 將 跟 隨 他 的 人 、 和 他 們 各 人 的 眷 屬 、 一 同 帶 上 去 、 住 在 希 伯 崙 的 城 邑 中 。
Những người Giu-đa đi đến đó, và xức dầu cho Đa-vít làm vua nhà Giu-đa. Người ta đến nói cho Đa-vít rằng: Dân ở Gia-be đã chôn Sau-lơ.|猶 大 人 來 到 希 伯 崙 、 在 那 裡 膏 大 衛 作 猶 大 家 的 王 。 有 人 告 訴 大 衛 說 、 葬 埋 掃 羅 的 、 是 基 列 雅 比 人 。
Đa-vít bèn sai sứ đến cùng dân sự Gia-be trong Ga-la-át, mà nói rằng: Nguyện Đức Giê-hô-va ban phước cho các ngươi, vì các ngươi đã có lòng nhơn từ đối cùng Sau-lơ, chúa các ngươi, mà chôn người!|大 衛 就 差 人 去 見 基 列 雅 比 人 、 對 他 們 說 、 你 們 厚 待 你 們 的 主 掃 羅 、 將 他 葬 埋 ． 願 耶 和 華 賜 福 與 你 們 。
Nguyện Đức Giê-hô-va lấy nhơn từ và thành thực mà đối lại cùng các ngươi! Còn ta, cũng sẽ làm điều thiện cho các ngươi, bởi vì các ngươi đã làm như vậy.|你 們 既 行 了 這 事 、 願 耶 和 華 以 慈 愛 誠 實 待 你 們 ． 我 也 要 為 此 厚 待 你 們 。
Nguyện cho tay các ngươi được mạnh, khá tỏ mình ra người hào kiệt; vì Sau-lơ, chúa các ngươi đã thác, và nhà Giu-đa đã xức dầu cho ta làm vua của họ.|現 在 你 們 的 主 掃 羅 死 了 、 猶 大 家 已 經 膏 我 作 他 們 的 王 、 所 以 你 們 要 剛 強 奮 勇 。
Bấy giờ Ap-ne, quan tổng binh của Sau-lơ, bắt Ích-bô-sết, con trai của Sau-lơ mà đưa qua Ma-ha-na-im,|掃 羅 的 元 帥 尼 珥 的 兒 子 押 尼 珥 、 曾 將 掃 羅 的 兒 子 伊 施 波 設 、 帶 過 河 到 瑪 哈 念 ．
lập người làm vua Ga-la-át, A-sự-rít, Gít-rê-ên, Ep-ra-im, Bên-gia-min, và cả Y-sơ-ra-ên.|立 他 作 王 治 理 基 列 、 亞 書 利 、 耶 斯 列 、 以 法 蓮 、 便 雅 憫 、 和 以 色 列 眾 人 。
Khi Ích-bô-sết, con trai của Sau-lơ, khởi cai trị Y-sơ-ra-ên, thì đã được bốn mươi tuổi, và người cai trị hai năm. Chỉ có nhà Giu-đa theo Đa-vít mà thôi.|掃 羅 的 兒 子 伊 施 波 設 登 基 的 時 候 、 年 四 十 歲 、 作 以 色 列 王 二 年 ． 惟 獨 猶 大 家 歸 從 大 衛 。
Thì giờ Đa-vít ở Hếp-rôn, cai trị trên nhà Giu-đa, là bảy năm sáu tháng.|大 衛 在 希 伯 崙 作 猶 大 家 的 王 、 共 七 年 零 六 個 月 。
Vả, Ap-ne, con trai của Nê-rơ và các tôi tớ của Ích-bô-sết, con trai của Sau-lơ, ở Ma-ha-na-im kéo ra đặng đi đến Ga-ba-ôn.|尼 珥 的 兒 子 押 尼 珥 、 和 掃 羅 的 兒 子 伊 施 波 設 的 僕 人 、 從 瑪 哈 念 出 來 、 往 基 遍 去 。
Giô-áp, con trai của Xê-ru-gia, và các tôi tớ của Đa-vít, cũng kép ra; hai bên gặp nhau tại lối hồ Ga-ba-ôn, rồi bọn nầy ngồi ở bên nầy hồ, và bọn khác ngồi ở bên kia.|洗 魯 雅 的 兒 子 約 押 、 和 大 衛 的 僕 人 也 出 來 、 在 基 遍 池 旁 與 他 們 相 遇 ． 一 班 坐 在 池 這 邊 、 一 班 坐 在 池 那 邊 。
Bấy giờ, Ap-ne nói cùng Giô-áp rằng: Những kẻ trai trẻ nầy hãy chỗi dậy và trửng giỡn tại trước mặt chúng ta. Giô-áp nói: Chúng nó khá chổi dậy.|押 尼 珥 對 約 押 說 、 讓 少 年 人 起 來 、 在 我 們 面 前 戲 耍 罷 ． 約 押 說 、 可 以 ．
Vậy, chúng nó chổi dậy, đi tới số bằng nhau, mười hai người Bên-gia-min vì Ích-bô-sết, con trai Sau-lơ, và mười hai người trong các tôi tớ của Đa-vít.|就 按 著 定 數 起 來 、 屬 掃 羅 兒 子 伊 施 波 設 的 便 雅 憫 人 過 去 十 二 名 、 大 衛 的 僕 人 也 過 去 十 二 名 。
Mỗi người bèn nắm đầu kẻ cừu địch mình, đâm gươm vào hông, và thảy đều ngã chết cùng nhau; chỗ đó bèn gọi là đồng Gươm, ở trong Ga-ba-ôn.|彼 此 揪 頭 、 用 刀 刺 肋 、 一 同 仆 倒 ． 所 以 那 地 叫 作 希 利 甲 哈 素 林 、 就 在 基 遍 。
Trong ngày đó có một chiến đấu rất dữ, Ap-ne và những người Y-sơ-ra-ên đều bị các tôi tớ của Đa-vít đánh bại.|那 日 的 戰 事 兇 猛 、 押 尼 珥 和 以 色 列 人 、 敗 在 大 衛 的 僕 人 面 前 。
Ở đó, có ba con trai của Xê-ru-gia, là Giô-áp, A-bi-sai, và A-sa-ên. Vả, A-sa-ên chạy lẹ làng như một con hoàng dương rừng.|在 那 裡 有 洗 魯 雅 的 三 個 兒 子 、 約 押 、 亞 比 篩 、 亞 撒 黑 ． 亞 撒 黑 腳 快 如 野 鹿 一 般 。
Người đuổi theo Ap-ne, không xây qua khỏi người, hoặc về bên hữu hay là bề bên tả.|亞 撒 黑 追 趕 押 尼 珥 、 直 追 趕 他 不 偏 左 右 。
Vậy, Ap-ne ngó lại sau, và hỏi rằng: Có phải ngươi là A-sa-ên chăng? Người đáp: Phải, ấy là ta.|押 尼 珥 回 頭 說 、 你 是 亞 撒 黑 麼 、 回 答 說 、 是 。
Ap-ne nói cùng người rằng: Hãy đi qua phía hữu hay là phía tả, xông vào một người trong bọn trai trẻ, và lấy khí giới nó đi. Nhưng A-sa-ên không muốn xây khỏi người.|押 尼 珥 對 他 說 、 你 或 轉 向 左 、 轉 向 右 、 拿 住 一 個 少 年 人 、 剝 去 他 的 戰 衣 ． 亞 撒 黑 卻 不 肯 轉 開 不 追 趕 他 。
Ap-ne lại nói cùng A-sa-ên rằng: Hãy xây khỏi ta, cớ sao buộc ta phải đánh giết ngươi nằm sải xuống đất? Ví bằng giết ngươi, ta dễ nào còn dám ngó mặt Giô-áp là anh ngươi?|押 尼 珥 又 對 亞 撒 黑 說 、 你 轉 開 不 追 趕 我 罷 、 我 何 必 殺 你 呢 ． 若 殺 你 、 有 甚 麼 臉 見 你 哥 哥 約 押 呢 。
Bởi người không khứng lánh đi, Ap-ne bèn lấy cán giáo mình đâm người nơi bụng, thấu đến sau lưng. A-sa-ên té xuống và chết tại chỗ; hết thảy người nào đến chỗ A-sa-ên ngã xuống chết, đều dừng lại tại đó.|亞 撒 黑 仍 不 肯 轉 開 、 故 此 押 尼 珥 就 用 槍 鐏 刺 入 他 的 肚 腹 、 甚 至 槍 從 背 後 透 出 ． 亞 撒 黑 就 在 那 裡 仆 倒 而 死 ． 眾 人 趕 到 亞 撒 黑 仆 倒 而 死 的 地 方 、 就 都 站 住 。
Giô-áp và A-bi-sai đuổi theo Ap-ne; khi hai người đến gò A-ma đối ngang Ghi -a, về hướng đồng vắng Ga-ba-ôn, thì mặt trời đã lặn.|約 押 和 亞 比 篩 追 趕 押 尼 珥 、 日 落 的 時 候 、 到 了 通 基 遍 曠 野 的 路 旁 、 基 亞 對 面 的 亞 瑪 山 。
Dân Bên-gia-min hiệp lại cùng Ap-ne, làm thành một đạo, và dừng lại trên chót một gò nỗng.|便 雅 憫 人 聚 集 、 跟 隨 押 尼 珥 站 在 一 個 山 頂 上 。
Ap-ne bèn la lớn cùng Giô-áp rằng: Vậy, lưỡi gươm chưa thôi hủy diệt sao? Ngươi há chẳng biết cuối cùng sẽ là khổ sao? Ngươi không truyền lịnh cho dân sự thôi đuổi theo anh em mình cho đến chừng nào?|押 尼 珥 呼 叫 約 押 、 說 、 刀 劍 豈 可 永 遠 殺 人 麼 ． 你 豈 不 知 終 久 必 有 苦 楚 麼 ． 你 要 等 何 時 纔 叫 百 姓 回 去 、 不 追 趕 弟 兄 呢 。
Giô-áp đáp rằng: Ta chỉ Đức Chúa Trời hằng sống mà thề rằng, nếu ông chẳng nói chi, thì dân sự không thôi đuổi theo anh em mình trước khi sáng mai.|約 押 說 、 我 指 著 永 生 的 　 神 起 誓 、 你 若 不 說 戲 耍 的 那 句 話 、 今 日 早 晨 百 姓 就 回 去 、 不 追 趕 弟 兄 了 。
Giô-áp truyền thổi kèn, hết thảy dân sự đều dừng lại, thôi đuổi theo dân Y-sơ-ra-ên, và không chiến đấu nữa.|於 是 約 押 吹 角 、 眾 民 就 站 住 不 再 追 趕 以 色 列 人 、 也 不 再 打 仗 了 。
Ap-ne và các kẻ theo người trọn đêm đó đi ngang qua đồng bằng, sang sông Giô-đanh, trải khắp Bít-rôn, rồi đến Ma-ha-na-im.|押 尼 珥 和 跟 隨 他 的 人 、 整 夜 經 過 亞 拉 巴 、 過 約 但 河 走 過 畢 倫 、 到 了 瑪 哈 念 。
Giô-áp cũng thôi đuổi theo Ap-ne trở về, hiệp hết thảy dân sự: trong các đầy tớ của Đa-vít thì thiếu mười chín người và A-sa-ên.|約 押 追 趕 押 尼 珥 回 來 、 聚 集 眾 民 、 見 大 衛 的 僕 人 中 缺 少 了 十 九 個 人 、 和 亞 撒 黑 。
Các tôi tớ của Đa-vít có đánh chết ba trăm sáu mươi người trong dân Bên-gia-min và thủ hạ của Ap-ne.|但 大 衛 的 僕 人 殺 了 便 雅 憫 人 、 和 跟 隨 押 尼 珥 的 人 、 共 三 百 六 十 名 。
Chúng đem A-sa-ên, chôn trong mộ của cha người tại Bết-lê-hem. Đoạn, Giô-áp và các thủ hạ người đi trọn đêm, rạng đông đến Hếp-rôn.|眾 人 將 亞 撒 黑 送 到 伯 利 恆 、 葬 在 他 父 親 的 墳 墓 裡 。 約 押 和 跟 隨 他 的 人 、 走 了 一 夜 、 天 亮 的 時 候 到 了 希 伯 崙 。

					II Sa-mu-ên 3				|
						撒母耳記下 3					
Nhà Đa-vít và nhà Sau-lơ giao chiến nhau lâu ngày; nhưng Đa-vít càng ngày càng mạnh, còn nhà Sau-lơ càng ngày càng yếu.|掃 羅 家 和 大 衛 家 爭 戰 許 久 ． 大 衛 家 日 見 強 盛 、 掃 羅 家 日 見 衰 弱 。
Trong khi ở tại Hếp-rôn, Đa-vít sanh nhiều con trai. Con trưởng nam là Am-nôn, do A-hi-nô-am ở Gít-rê-ên;|大 衛 在 希 伯 崙 、 得 了 幾 個 兒 子 、 長 子 暗 嫩 、 是 耶 斯 列 人 亞 希 暖 所 生 的 ．
con thứ nhì là Ki-lê-áp, do A-bi-ga-in, trước làm vợ của Na-banh ở Cạt-mên; con thứ ba là Ap-ra-lôn; mẹ người là Ma -a-ca, con gái của Thanh-mai, vua Ghê-su-rơ;|次 子 基 利 押 、 〔 基 利 押 歷 代 上 三 章 一 節 作 但 以 利 〕 是 作 過 迦 密 人 拿 八 的 妻 亞 比 該 所 生 的 ． 三 子 押 沙 龍 、 是 基 述 王 達 買 的 女 兒 瑪 迦 所 生 的 ．
con thứ tư là A-đô-ni-gia, con trai của Ha-ghít; con thứ năm là Se-pha-tia, con trai của A-bi-tanh;|四 子 亞 多 尼 雅 、 是 哈 及 所 生 的 ． 五 子 示 法 提 雅 、 是 亞 比 他 所 生 的 ．
và con thứ sáu là Dít-rê-am, do Ec-la là vợ Đa-vít. Đó là những con trai đã sanh cho Đa-vít, trong khi người ở tại Hếp-rôn.|六 子 以 特 念 、 是 大 衛 的 妻 以 格 拉 所 生 的 ． 大 衛 這 六 個 兒 子 、 都 是 在 希 伯 崙 生 的 。
Trọn trong lúc nhà Sau-lơ và nhà Đa-vít tranh chiến nhau, thì Ap-ne binh vị nhà Sau-lơ.|掃 羅 家 和 大 衛 家 爭 戰 的 時 候 、 押 尼 珥 在 掃 羅 家 大 有 權 勢 。
Vả, Sau-lơ có một vợ lẽ, tên là Rít-ba, con gái của A-gia. Ích-bô-sết nói cùng Ap-ne rằng: Cớ sau ngươi đến cùng vợ lẽ của cha ta?|掃 羅 有 一 妃 嬪 、 名 叫 利 斯 巴 、 是 愛 亞 的 女 兒 ． 一 日 、 伊 施 波 設 對 押 尼 珥 說 、 你 為 甚 麼 與 我 父 的 妃 嬪 同 房 呢 。
Ap-ne lấy làm giận lắm về các lời của Ích-bô-sết, mà nói rằng: Tôi há là đầu chó mà hầu việc Giu-đa sao? Hiện nay tôi hết lòng phú mình cho nhà của Sau-lơ, cha vua, cho các anh em bằng hữu vua, không để cho vua phải sa vào tay của Đa-vít; mà ngày nay vua lại trách tôi về lỗi phạm với người nữ nầy!|押 尼 珥 因 伊 施 波 設 的 話 、 就 甚 發 怒 、 說 、 我 豈 是 猶 大 的 狗 頭 呢 ． 我 恩 待 你 父 掃 羅 的 家 、 和 他 的 弟 兄 、 朋 友 、 不 將 你 交 在 大 衛 手 裡 、 今 日 你 竟 為 這 婦 人 責 備 我 麼 。
Nguyện Đức Chúa Trời phạt tôi cách nặng nề, nếu tôi chẳng vì Đa-vít làm thành mọi điều Đức Giê-hô-va đã hứa cùng người:|我 若 不 照 著 耶 和 華 起 誓 應 許 大 衛 的 話 行 、 廢 去 掃 羅 的 位 、 建 立 大 衛 的 位 、 使 他 治 理 以 色 列 和 猶 大 、 從 但 直 到 別 是 巴 、 願 　 神 重 重 的 降 罰 與 我 。
tức là dời nước khỏi nhà Sau-lơ qua nhà Đa-vít, và lập ngôi Đa-vít trên Y-sơ-ra-ên và trên Giu-đa, từ Đan cho đến Bê -e-Sê-ba.|見 上 節
Ích-bô-sết không dám đáp một lời nào cùng Ap-ne, bởi vì sợ người.|伊 施 波 設 懼 怕 押 尼 珥 、 不 敢 回 答 一 句 。
Ap-ne sai sứ đến Đa-vít, đặng thay mình nói rằng: Xứ sẽ thuộc về ai? Hãy lập giao ước với tôi, tay tôi sẽ giúp ông, đặng hiệp lại cả Y-sơ-ra-ên cho ông.|押 尼 珥 打 發 人 去 見 大 衛 、 替 他 說 、 這 國 歸 誰 呢 ． 又 說 、 你 與 我 立 約 、 我 必 幫 助 你 、 使 以 色 列 人 都 歸 服 你 。
Đa-vít đáp: Phải lắm; ta sẽ lập giao ước với ngươi. Ta chỉ xin ngươi một điều, là khi ngươi đến thăm ta, chớ đến ra mắt ta trước khi chưa dẫn Mi-canh, con gái của Sau-lơ đến.|大 衛 說 、 好 、 我 與 你 立 約 ． 但 有 一 件 、 你 來 見 我 面 的 時 候 、 若 不 將 掃 羅 的 女 兒 米 甲 帶 來 、 必 不 得 見 我 的 面 。
Đa-vít bèn sai sứ giả đến Ích-bô-sết con trai của Sau-lơ mà nói rằng: Hãy trả lại Mi-canh, vợ ta, mà ta đã cưới bằng sinh lễ một trăm dương bì Phi-li-tin.|大 衛 就 打 發 人 去 見 掃 羅 的 兒 子 伊 施 波 設 、 說 、 你 要 將 我 的 妻 米 甲 歸 還 我 ． 他 是 我 從 前 用 一 百 非 利 士 人 的 陽 皮 所 聘 定 的 。
Ích-bô-sết bèn sai người bắt nàng nơi nhà chồng nàng, là Pha-ti-ên, con trai của La-ít|伊 施 波 設 就 打 發 人 去 、 將 米 甲 從 拉 億 的 兒 子 他 丈 夫 帕 鐵 那 裡 接 回 來 。
Chồng nàng vừa đưa đi vừa khóc, theo đến Ba-hu-rim. Đoạn, Ap-ne nói với người rằng: Hãy đi, trở về nhà ngươi. Rồi Pha-ti-ên trở về.|米 甲 的 丈 夫 跟 著 他 、 一 面 走 一 面 哭 、 直 跟 到 巴 戶 琳 ． 押 尼 珥 說 、 你 回 去 罷 。 帕 鐵 就 回 去 了 。
Ap-ne nói cùng các trưởng lão Y-sơ-ra-ên rằng: Đã lâu nay, các ông ao ước được Đa-vít làm vua.|押 尼 珥 對 以 色 列 長 老 說 、 從 前 你 們 願 意 大 衛 作 王 治 理 你 們 ．
Vậy bây giờ, hãy làm đi; vì Đức Giê-hô-va có phán cùng Đa-vít rằng: Ay bởi Đa-vít, tôi tớ ta, mà ta sẽ giải cứu dân Y-sơ-ra-ên ta khỏi tay dân Phi-li-tin và khỏi tay mọi kẻ thù nghịch họ.|現 在 你 們 可 以 照 心 願 而 行 、 因 為 耶 和 華 曾 論 到 大 衛 說 、 我 必 藉 我 僕 人 大 衛 的 手 、 救 我 民 以 色 列 脫 離 非 利 士 人 、 和 眾 仇 敵 的 手 。
Ap-ne cũng nói như lời ấy cùng dân Bên-gia-min; đoạn người đi đến Hếp-rôn, để tỏ cho Đa-vít biết sự nghị định của Y-sơ-ra-ên và của cả nhà Bên-gia-min.|押 尼 珥 也 用 這 話 、 說 給 便 雅 憫 人 聽 ． 又 到 希 伯 崙 、 將 以 色 列 人 、 和 便 雅 憫 全 家 一 切 所 喜 悅 的 事 、 說 給 大 衛 聽 。
Vậy, Ap-ne đi đến Đa-vít tại Hếp-rôn, đem theo hai mươi người; rồi Đa-vít bày một tiệc đãi Ap-ne cùng những kẻ đi theo người.|押 尼 珥 帶 著 二 十 個 人 、 來 到 希 伯 崙 見 大 衛 ． 大 衛 就 為 押 尼 珥 和 他 帶 來 的 人 、 設 擺 筵 席 。
Ap-ne bèn nói cùng Đa-vít rằng: Tôi sẽ đi hội hiệp lại cả dân Y-sơ-ra-ên đến cùng vua, là chúa tôi, hầu cho chúng lập giao ước với chúa, và chúa sẽ làm vua cho cả Y-sơ-ra-ên, y như lòng chúa ước ao. Vậy, Đa-vít cho Ap-ne về, và người đi bình yên.|押 尼 珥 對 大 衛 說 、 我 要 起 身 去 招 聚 以 色 列 眾 人 來 見 我 主 我 王 、 與 你 立 約 ． 你 就 可 以 照 著 心 願 作 王 ． 於 是 大 衛 送 押 尼 珥 去 、 押 尼 珥 就 平 平 安 安 的 去 了 。
Vả, đầy tớ của Đa-vít đi cùng Giô-áp đánh quân thù nghịch trở về, có đem nhiều của giặc. Ap-ne chẳng còn ở cùng Đa-vít tại Hếp-rôn, vì Đa-vít đã cho người về, và người đi bình an.|約 押 和 大 衛 的 僕 人 、 攻 擊 敵 軍 帶 回 許 多 的 掠 物 ． 那 時 押 尼 珥 不 在 希 伯 崙 大 衛 那 裡 、 因 大 衛 已 經 送 他 去 、 他 也 平 平 安 安 的 去 了 。
