
					Ru-tơ 1				|
Nàng thưa rằng: Hỡi chúa! chúa đã an ủi và giục lòng kẻ tôi tớ chúa, cầu chúa lấy lòng ân huệ đãi tôi, dẫu rằng tôi không đồng bực cùng các tớ gái chúa!|路 得 說 、 我 主 阿 、 願 在 你 眼 前 蒙 恩 、 我 雖 然 不 及 你 的 一 個 使 女 、 你 還 用 慈 愛 的 話 安 慰 我 的 心 。
Trong bữa ăn, Bô-ô lại nói cùng nàng rằng: Hãy lại gần, ăn bánh này và nhúng miếng nàng trong giấm. Vậy, nàng ngồi gần bên các con gặt. Người đưa cho nàng hột mạch rang, nàng ăn cho đến no nê, rồi để dành phần dư lại.|到 了 喫 飯 的 時 候 、 波 阿 斯 對 路 得 說 、 你 到 這 裡 來 喫 餅 、 將 餅 蘸 在 醋 裡 。 路 得 就 在 收 割 的 人 旁 邊 坐 下 、 他 們 把 烘 了 的 穗 子 遞 給 他 、 他 喫 飽 了 、 還 有 餘 剩 的 。
Đoạn, nàng đứng dậy đặng mót. Bô-ô truyền lịnh cho các đầy tớ mình rằng: Hãy để cho nàng mót, dẫu ở giữa các bó lúa, chớ làm xấu hổ nàng.|他 起 來 又 拾 取 麥 穗 、 波 阿 斯 吩 咐 僕 人 說 、 他 就 是 在 捆 中 拾 取 麥 穗 也 可 以 容 他 、 不 可 羞 辱 他 。
Cũng hãy rút vài gié trong bó lúa, bỏ rớt cho nàng lượm lấy, và chớ trách móc nàng chút nào.|並 要 從 捆 裡 抽 出 些 來 、 留 在 地 下 任 他 拾 取 、 不 可 叱 嚇 他 。
Vậy, Ru-tơ mót trong ruộng cho đến chiều tối, đập lúa mình đã mót, hứng được chừng một ê-pha lúa mạch.|這 樣 、 路 得 在 田 間 拾 取 麥 穗 、 直 到 晚 上 、 將 所 拾 取 的 打 了 約 有 一 伊 法 大 麥 ．
Nàng vác đem trở vào trong thành; bà gia nàng thấy lúa nàng đã mót. Đoạn, Ru-tơ trút phần bữa ăn dư ra mà trao cho người.|他 就 把 所 拾 取 的 帶 進 城 去 、 給 婆 婆 看 、 又 把 他 喫 飽 了 、 所 剩 的 給 了 婆 婆 。
Bà gia nói: Ngày nay, con có mót ở đâu? Con có làm việc ở đâu? Phước cho người đã nhận tiếp con! Nàng nói cho bà gia mình hay mình có làm việc nơi chủ nào. Nàng nói: Người chủ của nơi tôi có làm việc ngày nay, tên là Bô-ô.|婆 婆 問 他 說 、 你 今 日 在 那 裡 拾 取 麥 穗 、 在 那 裡 作 工 呢 、 願 那 顧 恤 你 的 得 福 ． 路 得 就 告 訴 婆 婆 說 、 我 今 日 在 一 個 名 叫 波 阿 斯 的 人 那 裡 作 工 。
Na-ô-mi đáp dùng dâu mình rằng: Nguyện Đức Giê-hô-va ban phước cho người, vì Ngài không dứt làm ơn cho kẻ sống và kẻ chết! Tiếp rằng: Người đó là bà con của chúng ta, vốn là trong những kẻ có quyền chuộc sản nghiệp ta lại|拿 俄 米 對 兒 婦 說 、 願 那 人 蒙 耶 和 華 賜 福 、 因 為 他 不 斷 的 恩 待 活 人 死 人 ． 拿 俄 米 又 說 、 那 是 我 們 本 族 的 人 、 是 一 個 至 近 的 親 屬 。
Ru-tơ, người Mô-áp, tiếp rằng: Người cũng có nói cùng tôi rằng: hãy ở cùng các đầy tớ ta cho đến chừng làm xong hết mùa gặt.|摩 押 女 子 路 得 說 、 他 對 我 說 、 你 要 緊 隨 我 的 僕 人 拾 取 麥 穗 、 直 等 他 們 收 完 了 我 的 莊 稼 。
Na-ô-mi nói cùng Ru-tơ, dâu mình, rằng: Hỡi con gái ta, lấy làm phải cho con đi với các tớ gái người, chớ cho người ta gặp con trong một ruộng khác.|拿 俄 米 對 兒 婦 路 得 說 、 女 兒 阿 、 你 跟 著 他 的 使 女 出 去 、 不 叫 人 遇 見 你 在 別 人 田 間 、 這 纔 為 好 。
Vậy, nàng ở cùng các tớ gái của Bô-ô, đặng mót cho đến hết mùa gặt lúa mạch và mùa gặt lúa mì; nàng ở nhà của bà gia mình.|於 是 路 得 與 波 阿 斯 的 使 女 、 常 在 一 處 拾 取 麥 穗 、 直 到 收 完 了 大 麥 和 小 麥 ． 路 得 仍 與 婆 婆 同 住 。

					Ru-tơ 3				|
						路得記 3					
Na-ô-mi, bà gia Ru-tơ, nói cùng nàng rằng: Hỡi con gái ta, mẹ phải lo cho con một chỗ an thân, làm cho con được phước hạnh.|路 得 的 婆 婆 拿 俄 米 對 他 說 、 女 兒 阿 、 我 不 當 為 你 找 個 安 身 之 處 、 使 你 享 福 麼 ．
Vả, con đã theo các tớ gái của Bô-ô, mà người ấy vốn là bà con của chúng ta. Chính đêm nay, người phải đi sảy lúa mạch nơi sân đạp lúa người.|你 與 波 阿 斯 的 使 女 常 在 一 處 、 波 阿 斯 不 是 我 們 的 親 族 麼 ． 他 今 夜 在 場 上 簸 大 麥 、
Hãy tắm rửa, xức dầu và mặc quần áo, rồi đi xuống sân đạp lúa; nhưng trước khi người chưa ăn uống xong, con chớ làm cho người nhận biết mình.|你 要 沐 浴 抹 膏 、 換 上 衣 服 、 下 到 場 上 、 卻 不 要 使 那 人 認 出 你 來 、 你 等 他 喫 喝 完 了 、
Khi người nằm ngủ, hãy để ý xem người nằm nơi nào; rồi đi dở mềm dưới chơn người và nằm xuống; chính người sẽ nói điều gì con phải làm.|到 他 睡 的 時 候 、 你 看 準 他 睡 的 地 方 、 就 進 去 掀 開 他 腳 上 的 被 、 躺 臥 在 那 裡 、 他 必 告 訴 你 所 當 作 的 事 。
Nàng thưa rằng: Mọi điều mẹ đã nói với con, con sẽ làm.|路 得 說 、 凡 你 所 吩 咐 的 我 必 遵 行 。
Nàng bèn đi xuống sân đạp lúa, và làm theo mọi điều mẹ chồng mình đã dặn.|路 得 就 下 到 場 上 、 照 他 婆 婆 所 吩 咐 他 的 而 行 。
Khi Bô-ô đã ăn uống xong, lòng đương mừng rỡ, đi nằm ở bên một đống lúa mạch kia, nàng bèn đi đến nhẹ nhẹ, dở mền dưới chân người, rồi nằm xuống.|波 阿 斯 喫 喝 完 了 、 心 裡 歡 暢 、 就 去 睡 在 麥 堆 旁 邊 ． 路 得 便 悄 悄 的 來 掀 開 他 腳 上 的 被 、 躺 臥 在 那 裡 。
Nửa đêm, Bô-ô sợ hãi, nghiêng mình qua, kìa thấy một người nữ nằm tại dưới chơn mình.|到 了 夜 半 、 那 人 忽 然 驚 醒 、 翻 過 身 來 、 不 料 有 女 子 躺 在 他 的 腳 下 ．
Bô-ô hỏi: ngươi là ai? Nàng đáp: Tôi là Ru-tơ, kẻ tớ gái ông; xin đắp mền ông trên kẻ tớ gái ông, vì ông có quyền chuộc sản nghiệp tôi.|他 就 說 、 你 是 誰 、 回 答 說 、 我 是 你 的 婢 女 路 得 、 求 你 用 你 的 衣 襟 遮 蓋 我 、 因 為 你 是 我 一 個 至 近 的 親 屬 。
Người nói: Hỡi con gái ta, nguyện Đức Giê-hô-va ban phước cho con! Việc nhơn từ con làm lần sau này, lại còn trọng hơn lần trước; vì con chẳng có theo những gã trai trẻ, vô luận nghèo hay giàu.|波 阿 斯 說 、 女 兒 阿 、 願 你 蒙 耶 和 華 賜 福 、 你 末 後 的 恩 比 先 前 更 大 、 因 為 少 年 人 無 論 貧 富 、 你 都 沒 有 跟 從 ．
Vậy bây giờ, hỡi con gái ta, chớ sợ chi: ta sẽ làm cho nàng mọi điều nàng sẽ nói; vì cả dân sự trong thành ta đều biết rằng nàng là một người đờn bà hiền đức.|女 兒 阿 、 現 在 不 要 懼 怕 、 凡 你 所 說 的 、 我 必 照 著 行 、 我 本 城 的 人 都 知 道 你 是 個 賢 德 的 女 子 。
Bây giờ, điều đó quả thật, ta có quyền chuộc sản nghiệp nàng lại; song có một người khác lại là bà con gần hơn ta.|我 實 在 是 你 一 個 至 近 的 親 屬 、 只 是 還 有 一 個 人 比 我 更 近 。
Hãy ở đêm lại đây. Đến sáng, nếu người kia muốn chuộc sản nghiệp nàng lại, thì người buộc phải làm; còn nếu như người không đẹp lòng chuộc sản nghiệp nàng lại, thì ta chỉ Đức Giê-hô-va hằng sống thề rằng chắc sẽ chuộc sản nghiệp nàng lại! Hãy ở lại ngủ nơi chơn người cho đến sáng.|你 今 夜 在 這 裡 住 宿 、 明 早 他 若 肯 為 你 盡 親 屬 的 本 分 、 就 由 他 罷 ． 倘 若 不 肯 、 我 指 著 永 生 的 耶 和 華 起 誓 、 我 必 為 你 盡 了 本 分 、 你 只 管 躺 到 天 亮 。
Vậy, nàng ở ngủ nơi chơn người cho đến sáng, rồi dậy sớm, trước khi hai người có thế nhìn biết nhau; vì Bô-ô nói rằng: Chớ cho người ta biết rằng có một người nữ vào sân đạp lúa.|路 得 便 在 他 腳 下 躺 到 天 快 亮 、 人 彼 此 不 能 辨 認 的 時 候 、 就 起 來 了 ． 波 阿 斯 說 、 不 可 使 人 知 道 有 女 子 到 場 上 來 ．
Người lại nói: Hãy giơ ra áo tơi của nàng mặc, rồi nắm nó cho chắc. Nàng bèn giơ ra; người trút cho sáu đấu lúa mạch, biểu nàng đem đi; đoạn người trở vào thành.|又 對 路 得 說 、 打 開 你 所 披 的 外 衣 、 他 打 開 了 、 波 阿 斯 就 撮 了 六 簸 箕 大 麥 、 幫 他 扛 在 肩 上 、 他 便 進 城 去 了 。
Ru-tơ trở về nhà bà gia mình; người hỏi: Có phải con gái ta chăng? Ru-tơ thuật cho người mọi điều Bô-ô đã làm cho mình,|路 得 回 到 婆 婆 那 裡 、 婆 婆 說 、 女 兒 阿 、 怎 麼 樣 了 ． 路 得 就 將 那 人 向 他 所 行 的 述 說 了 一 遍 。
rồi tiếp rằng: Người có cho tôi sáu đấu lúa mạch này, mà rằng: Nàng chớ trở về cùng bà gia hai tay không.|又 說 、 那 人 給 了 我 六 簸 箕 大 麥 、 對 我 說 、 你 不 可 空 手 回 去 見 你 的 婆 婆 。
Na-ô-mi nói rằng: Hỡi con gái ta, hãy ở đây, để đợi xem cho biết công việc xoay thế nào vì nếu ngày nay việc này chưa rồi, thì người ấy chẳng nghỉ đâu.|婆 婆 說 、 女 兒 阿 、 你 只 管 安 坐 等 候 、 看 這 事 怎 樣 成 就 、 因 為 那 人 今 日 不 辦 成 這 事 必 不 休 息 。

					Ru-tơ 4				|
						路得記 4					
Bô-ô đi đến cửa thành và ngồi đó. Bấy giờ, người có quyền chuộc sản nghiệp, mà Bô-ô đã nói đến, vừa đi qua; Bô-ô bèn nói rằng: Hỡi anh, hãy lại gần và ngồi.|波 阿 斯 到 了 城 門 、 坐 在 那 裡 、 恰 巧 波 阿 斯 所 說 的 那 至 近 的 親 屬 經 過 ． 波 阿 斯 說 、 某 人 哪 、 你 來 坐 在 這 裡 、 他 就 來 坐 下 ．
Bô-ô bèn chọn mười người trong các trưởng lão của thành, mà rằng: Các ông hãy ngồi đây. Các trưởng lão bèn ngồi.|波 阿 斯 又 從 本 城 的 長 老 中 揀 選 了 十 人 、 對 他 們 說 、 請 你 們 坐 在 這 裡 、 他 們 就 都 坐 下 ．
Đoạn, Bô-ô nói cùng người có quyền chuộc sản nghiệp rằng: Na-ô-mi ở Mô-áp trở về, rao bán miếng đất của Ê-li-mê-léc, anh chúng ta.|波 阿 斯 對 那 至 近 的 親 屬 說 、 從 摩 押 地 回 來 的 拿 俄 米 、 現 在 要 賣 我 們 族 兄 以 利 米 勒 的 那 塊 地 ．
Tôi muốn báo cáo cho anh hay và nói rằng: Tại trước mặt những người ngồi đây và trước mặt các trưởng lão của dân sự tôi, xin hãy mua sản nghiệp đó. Nếu anh muốn chuộc sản nghiệp đó lại, thì hãy làm đi; bằng không, thì hãy tỏ ra cho tôi biết. Vì trước anh chẳng ai có quyền chuộc lại, và sau anh, quyền này trở về tôi. Người đáp: Tôi sẽ chuộc.|我 想 當 贖 那 塊 地 的 是 你 、 其 次 是 我 、 以 外 再 沒 有 別 人 了 、 你 可 以 在 這 裡 的 人 面 前 、 和 我 本 國 的 長 老 面 前 說 明 、 你 若 肯 贖 就 贖 、 若 不 肯 贖 就 告 訴 我 ． 那 人 回 答 說 、 我 肯 贖 。
Bô-ô lại nói: Khi mua ruộng bởi tay Na-ô-mi, anh cũng phải mua luôn bởi Ru-tơ, người Mô-áp, vợ của kẻ chết, để nối danh của kẻ chết cho sản nghiệp người.|波 阿 斯 說 、 你 從 拿 俄 米 手 中 買 這 地 的 時 候 、 也 當 娶 〔 原 文 作 買 十 節 同 〕 死 人 的 妻 摩 押 女 子 路 得 、 使 死 人 在 產 業 上 存 留 他 的 名 。
Người có quyền chuộc lại đáp rằng: Nếu vậy, tôi không chuộc lại được, e phải hủy hoại sản nghiệp của mình; xin hãy lấy về cho anh quyền chuộc lại của tôi, vì tôi không thế chuộc được.|那 人 說 、 這 樣 我 就 不 能 贖 了 、 恐 怕 於 我 的 產 業 有 礙 、 你 可 以 贖 我 所 當 贖 的 、 我 不 能 贖 了 。
Vả, xưa trong Y-sơ-ra-ên khi chuộc lại hay là đổi nhau, muốn làm cho chắc lời giao kết, thì người này phải cổi giầy mình mà trao cho người kia. Nơi Y-sơ-ra-ên, ấy là cách ưng chịu một tờ giao ước.|從 前 在 以 色 列 中 要 定 奪 甚 麼 事 、 或 贖 回 、 或 交 易 、 這 人 就 脫 鞋 給 那 人 、 以 色 列 人 都 以 此 為 證 據 。
Vậy, người có quyền chuộc lại nói cùng Bô-ô rằng: Anh hãy chuộc sản nghiệp đó. Rồi người cổi giầy mình ra.|那 人 對 波 阿 斯 說 、 你 自 己 買 罷 、 於 是 將 鞋 脫 下 來 了 。
Bấy giờ, Bô-ô nói cùng các trưởng lão và cả dân sự rằng: Ngày nay, các ông chứng kiến rằng tôi mua nơi tay Na-ô-mi mọi tài sản thuộc về Ê-li-mê-léc, về Ki-lôn, và về Mạc-lôn,|波 阿 斯 對 長 老 和 眾 民 說 、 你 們 今 日 作 見 證 、 凡 屬 以 利 米 勒 和 基 連 、 瑪 倫 的 、 我 都 從 拿 俄 米 手 中 置 買 了 ．
và cũng lấy Ru-tơ, người Mô-áp, vợ của Mạc-lôn, làm vợ tôi, đặng nối danh kẻ chết cho sản nghiệp người; hầu cho danh kẻ chết không mất khỏi giữa anh em mình và khỏi dân sự của thành người; ngày nay các ông làm chứng về điều đó.|又 娶 了 瑪 倫 的 妻 摩 押 女 子 路 得 為 妻 、 好 在 死 人 的 產 業 上 存 留 他 的 名 ． 免 得 他 的 名 在 本 族 本 鄉 滅 沒 、 你 們 今 日 可 以 作 見 證 。
Cả dân sự hiện ở nơi cửa, và các trưởng lão, đều đáp rằng: Chúng tôi làm chứng điều đó. Nguyện Đức Giê-hô-va làm cho người nữ vào nhà ngươi giống như Ra-chên và Lê -a, là hai người đã dựng nên nhà Y-sơ-ra-ên! Hãy trở nên cường thạnh nơi Ep-ra-ta và làm cho nổi danh ngươi trong Bết-lê-hem!|在 城 門 坐 著 的 眾 民 和 長 老 都 說 、 我 們 作 見 證 、 願 耶 和 華 使 進 你 家 的 這 女 子 、 像 建 立 以 色 列 家 的 拉 結 、 利 亞 二 人 一 樣 ． 又 願 你 在 以 法 他 得 亨 通 、 在 伯 利 恆 得 名 聲 ．
Nguyện con cháu ngươi mà Đức Giê-hô-va sẽ ban cho ngươi bởi người gái trẻ này, làm cho nhà ngươi giống như nhà của Pha-rết, mà Tha-ma đã sanh cho Giu-đa!|願 耶 和 華 從 這 少 年 女 子 賜 你 後 裔 、 使 你 的 家 像 他 瑪 從 猶 大 所 生 法 勒 斯 的 家 一 般 。
