
					Công Vụ Các Sứ đồ 1				|
Trong những ngày đó, Phi -e-rơ đứng dậy giữa các anh em, số người nhóm lại ước được một trăm hai mươi người, mà nói rằng:|那 時 、 有 許 多 人 聚 會 、 約 有 一 百 二 十 名 、 彼 得 就 在 弟 兄 中 間 站 起 來 、 說 、
Hỡi anh em ta, lời Đức Thánh Linh đã nhờ miệng vua Đa-vít mà nói tiên tri trong Kinh Thánh về tên Giu-đa, là đứa đã dẫn đường cho chúng bắt Đức Chúa Jêsus, thì phải được ứng nghiệm.|弟 兄 們 、 聖 靈 藉 大 衛 的 口 、 在 聖 經 上 、 豫 言 領 人 捉 拿 耶 穌 的 猶 大 ． 這 話 是 必 須 應 驗 的 。
Vì nó vốn thuộc về bọn ta, và đã nhận phần trong chức vụ nầy.|他 本 來 列 在 我 們 數 中 、 並 且 在 使 徒 的 職 任 上 得 了 一 分 。
Tên đó lấy tiền thưởng của tội ác mình mà mua một đám ruộng, rồi thì nhào xuống, nứt bụng và ruột đổ ra hết.|這 人 用 他 作 惡 的 工 價 、 買 了 一 塊 田 、 以 後 身 子 仆 倒 、 肚 腹 崩 裂 、 腸 子 都 流 出 來 。
Sự đó cả dân thành Giê-ru-sa-lem đều biết chán, đến nỗi chúng gọi ruộng đó theo thổ âm mình là Hác-en-đa-ma, nghĩa là ruộng huyết.|住 在 耶 路 撒 冷 的 眾 人 都 知 道 這 事 、 所 以 按 著 他 們 那 裡 的 話 、 給 那 塊 田 起 名 叫 亞 革 大 馬 、 就 是 血 田 的 意 思 。
Trong sách Thi Thiên cũng có chép rằng: Nguyền cho chỗ ở nó trở nên hoang loạn, Chớ có ai ở đó; lại rằng: Nguyền cho có một người khác nhận lấy chức nó.|因 為 詩 篇 上 寫 著 說 、 『 願 他 的 住 處 、 變 為 荒 場 、 無 人 在 內 居 住 。 』 又 說 、 『 願 別 人 得 他 的 職 分 。 』
Vậy, nội những kẻ đã theo cùng chúng ta trọn lúc Đức Chúa Jêsus đi lại giữa chúng ta,|所 以 主 耶 穌 在 我 們 中 間 始 終 出 入 的 時 候 、
từ khi Giăng làm phép báp-tem cho đến ngày Ngài được cất lên khỏi giữa chúng ta, phải có một người làm chứng cùng chúng ta về sự Ngài sống lại.|就 是 從 約 翰 施 洗 起 、 直 到 主 離 開 我 們 被 接 上 升 的 日 子 為 止 、 必 須 從 那 常 與 我 們 作 伴 的 人 中 、 立 一 位 與 我 們 同 作 耶 穌 復 活 的 見 證 。
Môn đồ cử ra hai người: Giô-sép tức là Ba-sa-ba, cũng gọi là Giúc-tu, và Ma-thia,|於 是 選 舉 兩 個 人 、 就 是 那 叫 作 巴 撒 巴 又 稱 呼 猶 士 都 的 約 瑟 、 和 馬 提 亞 。
rồi cầu nguyện rằng: Lạy Chúa, Ngài biết lòng mọi người, xin tỏ ra cho chúng tôi nội hai người nầy ai là người Chúa đã chọn,|眾 人 就 禱 告 說 、 主 阿 、 你 知 道 萬 人 的 心 、 求 你 從 這 兩 個 人 中 、 指 明 你 所 揀 選 的 是 誰 、 叫 他 得 這 使 徒 的 位 分 ． 這 位 分 猶 大 已 經 丟 棄 、 往 自 己 的 地 方 去 了 。
đặng dự vào chức vụ sứ đồ, thay vì Giu-đa đã bỏ đặng đi nơi của nó.|見 上 節
Đoạn bắt thăm, trúng nhằm Ma-thia; người bèn được bổ vào mười một sứ đồ.|於 是 眾 人 為 他 們 搖 籤 、 搖 出 馬 提 亞 來 ． 他 就 和 十 一 個 使 徒 同 列 。

					Công Vụ Các Sứ đồ 2				|
						使徒行傳 2					
Đến ngày lễ Ngũ Tuần, môn đồ nhóm họp tại một chỗ.|五 旬 節 到 了 、 門 徒 都 聚 集 在 一 處 。
Thình lình, có tiếng từ trời đến như tiếng gió thổi ào ào, đầy khắp nhà môn đồ ngồi.|忽 然 從 天 上 有 響 聲 下 來 、 好 像 一 陣 大 風 吹 過 、 充 滿 了 他 們 所 坐 的 屋 子 。
Các môn đồ thấy lưỡi rời rạc từng cái một, như lưỡi bằng lửa hiện ra, đậu trên mỗi người trong bọn mình.|又 有 舌 頭 如 火 焰 顯 現 出 來 、 分 開 落 在 他 們 各 人 頭 上 。
Hết thảy đều được đầy dẫy Đức Thánh Linh, khởi sự nói các thứ tiếng khác, theo như Đức Chúa Trời cho mình nói.|他 們 就 都 被 聖 靈 充 滿 、 按 著 聖 靈 所 賜 的 口 才 、 說 起 別 國 的 話 來 。
Vả, bấy giờ có người Giu-đa, kẻ mộ đạo, từ các dân thiên hạ đến, ở tại thành Giê-ru-sa-lem.|那 時 、 有 虔 誠 的 猶 太 人 、 從 天 下 各 國 來 、 住 在 耶 路 撒 冷 。
Lúc tiếng ấy vang ra, dân chúng chạy đến, ai nấy đều sững sờ vì mỗi người đều nghe các môn đồ nói tiếng xứ mình.|這 聲 音 一 響 、 眾 人 都 來 聚 集 、 各 人 聽 見 門 徒 用 眾 人 的 鄉 談 說 話 、 就 甚 納 悶 ．
Chúng đều sợ hãi và lấy làm lạ mà rằng: Hết thảy người nói đó, há chẳng phải là người Ga-li-lê sao?|都 驚 訝 希 奇 說 、 看 哪 、 這 說 話 的 不 都 是 加 利 利 人 麼 ．
Vậy thì sao chúng ta nghe ai nầy đều nói tiếng riêng của xứ chúng ta sanh đẻ?|我 們 各 人 、 怎 麼 聽 見 他 們 說 我 們 生 來 所 用 的 鄉 談 呢 。
Nào người Bạt-thê, Mê-đi, Ê-la-mít, kẻ ở tại Mê-sô-bô-ta-mi, Giu-đê, Cáp-ba-đốc, Bông, A-si,|我 們 帕 提 亞 人 、 瑪 代 人 、 以 攔 人 、 和 住 在 米 所 波 大 米 、 猶 太 、 加 帕 多 家 、 本 都 、 亞 西 亞 、
Phi-ri-gi, Bam-phi-ly, Ê-díp-tô, đất Li-by gần Sy-ren, nào kẻ từ Rô-ma đến,|弗 呂 家 、 旁 非 利 亞 、 埃 及 的 人 、 並 靠 近 古 利 奈 的 呂 彼 亞 一 帶 地 方 的 人 、 從 羅 馬 來 的 客 旅 中 、 或 是 猶 太 人 、 或 是 進 猶 太 教 的 人 、
cả người Giu-đa hoặc người mới theo đạo Giu-đa, người Cơ-rết và A rạp nữa, chúng ta đều nghe họ lấy tiếng chúng ta mà nói những sự cao trọng của Đức Chúa Trời.|革 哩 底 和 亞 拉 伯 人 、 都 聽 見 他 們 用 我 們 的 鄉 談 、 講 說 　 神 的 大 作 為 。
Ai ai đều sợ hãi, không biết nghĩ làm sao, bèn nói với nhau rằng: Việc nầy là nghĩa làm sao?|眾 人 就 都 驚 訝 猜 疑 、 彼 此 說 、 這 是 甚 麼 意 思 呢 。
Nhưng có kẻ lại nhạo báng rằng: Họ say rượu mới đó.|還 有 人 譏 誚 說 、 他 們 無 非 是 新 酒 灌 滿 了 。
Bấy giờ, Phi -e-rơ đứng ra cùng mười một sứ đồ, cất tiếng nói với dân chúng rằng: Hỡi người Giu-đa, và mọi người ở tại thành Giê-ru-sa-lem, hãy biết rõ điều nầy, và lắng tai nghe lời ta.|彼 得 和 十 一 個 使 徒 、 站 起 、 高 聲 說 、 猶 太 人 、 和 一 切 住 在 耶 路 撒 冷 的 人 哪 、 這 件 事 你 們 當 知 道 、 也 當 側 耳 聽 我 的 話 。
Những người nầy chẳng phải say như các ngươi ngờ đâu, vì bây giờ mới là giờ thứ ba ban ngày.|你 們 想 這 些 人 是 醉 了 、 其 實 不 是 醉 了 、 因 為 時 候 剛 到 巳 初 ．
Nhưng ấy là điều đấng tiên tri Giô-ên đã nói tiên tri rằng:|這 正 是 先 知 約 珥 所 說 的 ．
Đức Chúa Trời phán: Trong những ngày sau rốt, Ta sẽ đổ Thần ta khắp trên mọi xác-thịt; Con trai và con gái các ngươi đều sẽ nói lời tiên tri, Bọn trai trẻ sẽ thấy điềm lạ, Và các người già cả sẽ có chiêm bao,|『 　 神 說 、 在 末 後 的 日 子 、 我 要 將 我 的 靈 澆 灌 凡 有 血 氣 的 ． 你 們 的 兒 女 要 說 豫 言 ． 你 們 的 少 年 人 要 見 異 象 ． 老 年 人 要 作 異 夢 ．
Phải, trong những ngày đó, ta sẽ đổ Thần ta khắp trên các đầy tớ trai và gái ta, Chúng nó đều nói lời tiên tri;|在 那 些 日 子 、 我 要 將 我 的 靈 澆 灌 我 的 僕 人 和 使 女 、 他 們 就 要 說 豫 言 。
Ta lại sẽ tỏ ra sự lạ lùng ở trên trời, Và dấu lạ ở dưới đất; Tức là máu, lửa, và luồng khói;|在 天 上 我 要 顯 出 奇 事 、 在 地 下 我 要 顯 出 神 蹟 、 有 血 、 有 火 、 有 煙 霧 ．
Một trời sẽ biến nên tối tăm, Mặt trăng hóa ra máu, Trước ngày lớn và vinh hiển của Chúa chưa đến;|日 頭 要 變 為 黑 暗 、 月 亮 要 變 為 血 、 這 都 在 主 大 而 明 顯 的 日 子 未 到 以 前 。
Và lại ai cầu khẩn danh Chúa thì sẽ được cứu.|到 那 時 候 、 凡 求 告 主 名 的 、 就 必 得 救 。 』
Hỡi người Y-sơ-ra-ên, hãy nghe lời nầy: Đức Chúa Jêsus ở Na-xa-rét, tức là Người mà Đức Chúa Trời đã dùng làm việc quyền phép, sự lạ và dấu lạ ở giữa các ngươi, để làm chứng cho Người trong vòng các ngươi, như chính các ngươi đều biết.|以 色 列 人 哪 、 請 聽 我 的 話 ． 　 神 藉 著 拿 撒 勒 人 耶 穌 、 在 你 們 中 間 施 行 異 能 奇 事 神 蹟 、 將 他 證 明 出 來 、 這 是 你 們 自 己 知 道 的 。
Người đó bị nộp, theo ý định trước và sự biết trước của Đức Chúa Trời, các ngươi đã mượn tay độc ác mà đóng đinh Người trên thập tự giá và giết đi.|他 既 按 著 　 神 的 定 旨 先 見 、 被 交 與 人 、 你 們 就 藉 著 無 法 之 人 的 手 、 把 他 釘 在 十 字 架 上 殺 了 。
Nhưng Đức Chúa Trời đã khiến Người sống lại, bứt đứt dây trói của sự chết, vì nó không thể giữ Người lại dưới quyền nó.|　 神 卻 將 死 的 痛 苦 解 釋 了 、 叫 他 復 活 ． 因 為 他 原 不 能 被 死 拘 禁 。
Bởi chưng vua Đa-vít có nói về Người rằng: Tôi từng thấy Chúa ở trước mặt tôi luôn, Vì Ngài ở bên hữu tôi, hầu cho tôi chẳng bị rúng động chút nào.|大 衛 指 著 他 說 、 『 我 看 見 主 常 在 我 眼 前 、 他 在 我 右 邊 、 叫 我 不 至 於 搖 動 ．
Bởi cớ đó, lòng tôi vui vẻ, lưỡi tôi mừng rỡ, Và xác thịt tôi cũng sẽ yên nghỉ trong sự trông cậy;|所 以 我 心 裡 歡 喜 、 我 的 靈 〔 原 文 作 舌 〕 快 樂 ． 並 且 我 的 肉 身 要 安 居 在 指 望 中 ．
Vì Chúa sẽ chẳng để linh hồn tôi nơi âm phủ, Và chẳng cho Đấng Thánh của Ngài hư nát đâu.|因 你 必 不 將 我 的 靈 魂 撇 在 陰 間 、 也 不 叫 你 的 聖 者 見 朽 壞 。
Chúa đã cho tôi biết đường sự sống; Cũng sẽ cho tôi đầy lòng vui mừng trước mặt Ngài.|你 已 將 生 命 的 道 路 指 示 我 、 必 叫 我 因 見 你 的 面 、 〔 或 作 叫 我 在 你 面 前 〕 得 著 滿 足 的 快 樂 。 』
Hỡi anh em, ta thật có thể nói cách vững vàng với anh em về tổ Đa-vít rằng người đã chết và chôn rồi, ngày nay mồ mả người còn ở giữa chúng ta.|弟 兄 們 、 先 祖 大 衛 的 事 、 我 可 以 明 明 對 你 們 說 、 他 死 了 、 也 葬 埋 了 、 並 且 他 的 墳 墓 、 直 到 今 日 還 在 我 們 這 裡 。
Nhưng, vì người là đấng tiên tri, và biết Đức Chúa Trời đã thề hứa với người sẽ cho một hậu tự người ngồi trên ngai mình,|大 衛 既 是 先 知 、 又 曉 得 　 神 曾 向 他 起 誓 、 要 從 他 的 後 裔 中 、 立 一 位 坐 在 他 的 寶 座 上 ．
thì người đã thấy trước và nói trước về sự sống lại của Đấng Christ rằng: Ngài chẳng bị để nơi âm phủ, và xác thịt Ngài chẳng thấy sự hư nát.|就 豫 先 看 明 這 事 、 講 論 基 督 復 活 說 、 他 的 靈 魂 、 不 撇 在 陰 間 、 他 的 肉 身 、 也 不 見 朽 壞 、
Đức Chúa Jêsus nầy, Đức Chúa Trời đã khiến sống lại, và chúng ta thảy đều làm chứng về sự đó.|這 耶 穌 、 　 神 已 經 叫 他 復 活 了 、 我 們 都 為 這 事 作 見 證 。
Vậy, sau khi Ngài đã được đem lên bên hữu Đức Chúa Trời, và từ nơi Cha đã nhận lấy Đức Thánh Linh mà Cha đã hứa ban cho, thì Ngài đổ Đức Thánh Linh ra, như các ngươi đương thấy và nghe.|他 既 被 　 神 的 右 手 高 舉 、 〔 或 作 他 既 高 舉 在 　 神 的 右 邊 〕 又 從 父 受 了 所 應 許 的 聖 靈 、 就 把 你 們 所 看 見 所 聽 見 的 、 澆 灌 下 來 。
Vì vua Đa-vít chẳng hề lên trời, nhưng chính người có nói: Chúa đã phán cùng Chúa tôi rằng: Hãy ngồi bên hữu ta,|大 衛 並 沒 有 升 到 天 上 、 但 自 己 說 、 『 主 對 我 主 說 、 你 坐 在 我 的 右 邊 、
Cho đến chừng nào ta để kẻ thù nghịch ngươi dưới chơn ngươi, đặng làm bệ cho ngươi.|等 我 使 你 仇 敵 作 你 的 腳 凳 。 』
Vậy, cả nhà Y-sơ-ra-ên khá biết chắc rằng Đức Chúa Trời đã tôn Jêsus nầy, mà các ngươi đã đóng đinh trên thập tự giá, làm Chúa và Đấng Christ.|故 此 、 以 色 列 全 家 當 確 實 的 知 道 、 你 們 釘 在 十 字 架 上 的 這 位 耶 穌 、 　 神 已 經 立 他 為 主 為 基 督 了 。
Chúng nghe bấy nhiêu lời, trong lòng cảm động, bèn hỏi Phi -e-rơ và các sứ đồ khác rằng: Hỡi anh em, chúng ta phải làm chi?|眾 人 聽 見 這 話 、 覺 得 扎 心 、 就 對 彼 得 和 其 餘 的 使 徒 說 、 弟 兄 們 、 我 們 當 怎 樣 行 。
Phi -e-rơ trả lời rằng: Hãy hối cải, ai nấy phải nhơn danh Đức Chúa Jêsus chịu phép báp-tem, để được tha tội mình, rồi sẽ được lãnh sự ban cho Đức Thánh Linh.|彼 得 說 、 你 們 各 人 要 悔 改 、 奉 耶 穌 基 督 的 名 受 洗 、 叫 你 們 的 罪 得 赦 、 就 必 領 受 所 賜 的 聖 靈 ．
Vì lời hứa thuộc về các ngươi, con cái các ngươi, và thuộc về hết thảy mọi người ở xa, tức là bao nhiêu người mà Chúa là Đức Chúa Trời chúng ta sẽ gọi.|因 為 這 應 許 是 給 你 們 、 和 你 們 的 兒 女 、 並 一 切 在 遠 方 的 人 、 就 是 主 我 們 　 神 所 召 來 的 。
Phi -e-rơ lại lấy nhiều lời giảng nữa mà giục lòng và khuyên lơn chúng rằng: Các ngươi khá cứu mình thoát khỏi giữa dòng dõi gian tà nầy!|彼 得 還 用 許 多 話 作 見 證 、 勸 勉 他 們 說 、 你 們 當 救 自 己 脫 離 這 彎 曲 的 世 代 。
Vậy, những kẻ nhận lời đó đều chịu phép báp-tem; và trong này ấy, có độ ba ngàn người thêm vào Hội thánh.|於 是 領 受 他 話 的 人 、 就 受 了 洗 ． 那 一 天 、 門 徒 約 添 了 三 千 人 ．
Vả, những người ấy bền lòng giữ lời dạy của các sứ đồ, sự thông công của anh em, lễ bẻ bánh, và sự cầu nguyện.|都 恆 心 遵 守 使 徒 的 教 訓 、 彼 此 交 接 、 擘 餅 、 祈 禱 。
Mọi người đều kính sợ vì có nhiều sự kỳ phép lạ làm ra bởi các sứ đồ.|眾 人 都 懼 怕 ． 使 徒 又 行 了 許 多 奇 事 神 蹟 。
Phàm những người tin Chúa đều hiệp lại với nhau, lấy mọi vật làm của chung.|信 的 人 都 在 一 處 、 凡 物 公 用 ．
Bán hết gia tài điền sản mình mà phân phát cho nhau, tùy sự cần dùng của từng người.|並 且 賣 了 田 產 家 業 、 照 各 人 所 需 用 的 分 給 各 人 。
Ngày nào cũng vậy, cứ chăm chỉ đến đền thờ; còn ở nhà, thì bẻ bánh và dùng bữa chung với nhau cách vui vẻ thật thà,|他 們 天 天 同 心 合 意 恆 切 的 在 殿 裡 、 且 在 家 中 擘 餅 、 存 著 歡 喜 誠 實 的 心 用 飯 、
ngợi khen Đức Chúa Trời và được đẹp lòng cả dân chúng. Mỗi ngày Chúa lấy những kẻ được cứu thêm vào Hội thánh.|讚 美 　 神 、 得 眾 民 的 喜 愛 。 主 將 得 救 的 人 、 天 天 加 給 他 們 。

					Công Vụ Các Sứ đồ 3				|
						使徒行傳 3					
Buổi cầu nguyện giờ thứ chín, Phi -e-rơ nước Giăng cùng lên đền thờ.|申 初 禱 告 的 時 候 、 彼 得 、 約 翰 、 上 聖 殿 去 。
Vả, có một người què từ lúc sanh ra, cứ hằng ngày người ta đem đặt tại cửa đền, gọi là Cửa Đẹp, đặng ăn mày những người vào đền.|有 一 個 人 、 生 來 是 瘸 腿 的 、 天 天 被 人 抬 來 、 放 在 殿 的 一 個 門 口 、 那 門 名 叫 美 門 、 要 求 進 殿 的 人 賙 濟 。
Người thấy Phi -e-rơ và Giăng vào, thì xin hai người bố thí.|他 看 見 彼 得 約 翰 將 要 進 殿 、 就 求 他 們 賙 濟 。
Phi -e-rơ với Giăng ngó chăm người, rồi nói rằng: Hãy nhìn xem chúng ta.|彼 得 約 翰 定 睛 看 他 ． 彼 得 說 、 你 看 我 們 。
Vậy, người bèn nhìn chăm chăm hai người, tưởng sẽ được chút gì.|那 人 就 留 意 看 他 們 、 指 望 得 著 甚 麼 。
Nhưng Phi -e-rơ nói với người rằng: Ta chẳng có vàng bạc chi hết, song điều ta có thì ta cho ngươi: nhơn danh Đức Chúa Jêsus Christ ở Na-xa-rét, hãy bước đi!|彼 得 說 、 金 銀 我 都 沒 有 、 只 把 我 所 有 的 給 你 、 我 奉 拿 撒 勒 人 耶 穌 基 督 的 名 、 叫 你 起 來 行 走 。
Phi -e-rơ nắm tay hữu người đỡ dậy. Tức thì bàn chơn và mắt cá người trở nên cứng vững;|於 是 拉 著 他 的 右 手 、 扶 他 起 來 、 他 的 腳 和 踝 子 骨 、 立 刻 健 壯 了 ．
người liền nhảy, đứng lên và bước đi cùng hai người vào đền thờ, vừa đi vừa nhảy, vừa ngợi khen Đức Chúa Trời.|就 跳 起 來 、 站 著 、 又 行 走 ． 同 他 們 進 了 殿 、 走 著 、 跳 著 、 讚 美 　 神 。
Cả dân chúng đều thấy người bước đi và ngợi khen Đức Chúa Trời.|百 姓 都 看 見 他 行 走 、 讚 美 　 神 ．
Người ta nhận là chính người đó đã ngồi tại Cửa Đẹp đền thờ đặng xin bố thí; nên đều bỡ ngỡ và sững sờ về việc đã xảy đến cho người.|認 得 他 是 那 素 常 坐 在 殿 的 美 門 口 求 賙 濟 的 ． 就 因 他 所 遇 著 的 事 、 滿 心 希 奇 驚 訝 。
Người ấy đang cầm tay Phi -e-rơ và Giăng, thì cả dân chúng lấy làm lạ, chạy đến cùng các người đó ở nơi hiên cửa gọi là Sa-lô-môn.|那 人 正 在 稱 為 所 羅 門 的 廊 下 、 拉 著 彼 得 、 約 翰 ． 眾 百 姓 一 齊 跑 到 他 們 那 裡 、 很 覺 希 奇 。
Phi -e-rơ thấy vậy, bèn nói với dân chúng rằng: Hỡi người Y-sơ-ra-ên, sao các ngươi lấy làm lạ về việc vừa xảy đến? Sao các ngươi ngó sững chúng ta, dường như chúng ta đã nhờ quyền phép hay là nhơn đức riêng của mình mà khiến người nầy đi được vậy?|彼 得 看 見 、 就 對 百 姓 說 、 以 色 列 人 哪 、 為 甚 麼 把 這 事 當 作 希 奇 呢 ． 為 甚 麼 定 睛 看 我 們 、 以 為 我 們 憑 自 己 的 能 力 和 虔 誠 、 使 這 人 行 走 呢 。
Đức Chúa Trời của Ap-ra-ham, Y-sác, và Gia-cốp, Đức Chúa Trời của tổ phụ chúng ta đã làm vinh hiển đầy tớ Ngài là Đức Chúa Jêsus, là Đấng mà các ngươi đã bắt nộp và chối bỏ trước mặt Phi-lát, trong khi người có ý tha Ngài ra.|亞 伯 拉 罕 、 以 撒 、 雅 各 的 　 神 、 就 是 我 們 列 祖 的 　 神 、 已 經 榮 耀 了 他 的 僕 人 耶 穌 ． 〔 僕 人 或 作 兒 子 〕 你 們 卻 把 他 交 付 彼 拉 多 ． 彼 拉 多 定 意 要 釋 放 他 、 你 們 竟 在 彼 拉 多 面 前 棄 絕 了 他 ．
Các ngươi đã chối bỏ Đấng Thánh và Đấng Công bình mà xin tha một kẻ giết người cho mình;|你 們 棄 絕 了 那 聖 潔 公 義 者 、 反 求 著 釋 放 一 個 兇 手 給 你 們 ．
các ngươi đã giết Chúa của sự sống, mà Đức Chúa Trời đã khiến từ kẻ chết sống lại, và chúng ta là người làm chứng về điều đó.|你 們 殺 了 那 生 命 的 主 、 　 神 卻 叫 他 從 死 裡 復 活 了 ． 我 們 都 是 為 這 事 作 見 證 。
Ay là bởi đức tin trong danh Ngài, nên danh Ngài làm cho vững người nầy là người các ngươi thấy và biết; nghĩa là đức tin bởi Ngài mà ra, đã ban cho người nầy sự mạnh khỏe trọn vẹn, tại trước mặt hết thảy các ngươi.|我 們 因 信 他 的 名 、 他 的 名 便 叫 你 們 所 看 見 所 認 識 的 這 人 、 健 壯 了 ． 正 是 他 所 賜 的 信 心 、 叫 這 人 在 你 們 眾 人 面 前 全 然 好 了 。
Hỡi anh em, bây giờ ta biết anh em và các quan của anh em, vì lòng ngu dốt nên đã làm điều đó.|弟 兄 們 、 我 曉 得 你 們 作 這 事 、 是 出 於 不 知 、 你 們 的 官 長 也 是 如 此 。
Nhưng Đức Chúa Trời đã dùng cách đó mà ban cho ứng nghiệm lời Ngài phán tiên tri bởi miệng các đấng tiên tri rằng Đấng Christ của Ngài phải chịu đau đớn.|但 　 神 曾 藉 眾 先 知 的 口 、 豫 言 基 督 將 要 受 害 、 就 這 樣 應 驗 了 。
Vậy, các ngươi hãy ăn năn và trở lại, đặng cho tội lỗi mình được xóa đi,|所 以 你 們 當 悔 改 歸 正 、 使 你 們 的 罪 得 以 塗 抹 、 這 樣 、 那 安 舒 的 日 子 、 就 必 從 主 面 前 來 到 ．
hầu cho kỳ thơ thái đến từ Chúa, và Chúa sai Đấng Christ đã định cho các ngươi, tức là Jêsus,|主 也 必 差 遣 所 豫 定 給 你 們 的 基 督 耶 穌 降 臨 。
mà trời phải rước về cho đến kỳ muôn vật đổi mới, là kỳ mà Đức Chúa Trời thuở xưa đã phán trước bởi miệng các thánh tiên tri.|天 必 留 他 、 等 到 萬 物 復 興 的 時 候 、 就 是 　 神 從 創 世 以 來 、 藉 著 聖 先 知 的 口 所 說 的 。
