
					Mác 1				|
Tà ma bèn vật mạnh người ấy, cất tiếng kêu lớn, và ra khỏi người.|污 鬼 叫 那 人 抽 了 一 陣 瘋 、 大 聲 喊 叫 、 就 出 來 了 。
Ai nấy đều lấy làm lạ, đến nỗi hỏi nhau rằng: Cái gì vậy? Sự dạy mới sao! Người nầy lấy quyền phép sai khiến đến tà ma, mà nói cũng phải vâng lời!|眾 人 都 驚 訝 、 以 致 彼 此 對 問 說 、 這 是 甚 麼 事 、 是 個 新 道 理 阿 ． 他 用 權 柄 吩 咐 污 鬼 、 連 污 鬼 也 聽 從 了 他 。
Danh tiếng Đức Chúa Jêsus tức thì đồn ra khắp cả miền xung quanh xứ Ga-li-lê.|耶 穌 的 名 聲 、 就 傳 遍 了 加 利 利 的 四 方 。
Vừa ở nhà hội ra, Chúa và môn đồ đi với Gia-cơ và Giăng vào nhà Si-môn và Anh-rê.|他 們 一 出 會 堂 、 就 同 著 雅 各 約 翰 、 進 了 西 門 和 安 得 烈 的 家 。
Và, bà gia Si-môn đang nằm trên giường, đau rét; tức thì chúng thưa với Ngài về chuyện người.|西 門 的 岳 母 、 正 害 熱 病 躺 著 ． 就 有 人 告 訴 耶 穌 。
Ngài bèn lại gần, cầm tay người đỡ dậy; bịnh rét dứt đi, và người bắt tay hầu hạ.|耶 穌 進 前 拉 著 他 的 手 、 扶 他 起 來 、 熱 就 退 了 、 他 就 服 事 他 們 。
Đến chiều, mặt trời đã lặn, người ta đem mọi kẻ bịnh và kẻ bị quỉ ám đến cùng Ngài.|天 晚 日 落 的 時 候 、 有 人 帶 著 一 切 害 病 的 、 和 被 鬼 附 的 、 來 到 耶 穌 跟 前 。
Cả thành nhóm lại trước cửa.|合 城 的 人 都 聚 集 在 門 前 。
Ngài chữa lành nhiều kẻ đau các thứ bịnh, và đuổi nhiều quỉ, chẳng cho phép các quỉ nói ra, vì chúng nó biết Ngài.|耶 穌 治 好 了 許 多 害 各 樣 病 的 人 、 又 趕 出 許 多 鬼 、 不 許 鬼 說 話 、 因 為 鬼 認 識 他 。
Sáng hôm sau trời còn mờ mờ, Ngài chờ dậy, bước ra, đi vào nơi vắng vẻ, và cầu nguyện tại đó.|次 日 早 晨 、 天 未 亮 的 時 候 、 耶 穌 起 來 、 到 曠 野 地 方 去 、 在 那 裡 禱 告 。
Si-môn cùng đồng bạn đi tìm Ngài.|西 門 和 同 伴 追 了 他 去 。
Khi kiếm được thì thưa rằng: Hết thảy đương tìm thầy.|遇 見 了 就 對 他 們 說 、 眾 人 都 找 你 。
Ngài phán: Chúng ta đi nơi khác, trong những làng xung quanh đây, để ta cũng giảng đạo ở đó nữa; vì ấy là cốt tại việc đó mà ta đã đến.|耶 穌 對 他 們 說 、 我 們 可 以 往 別 處 去 、 到 鄰 近 的 鄉 村 、 我 也 好 在 那 裡 傳 道 ． 因 為 我 是 為 這 事 出 來 的 。
Ngài trải khắp xứ Ga-li-lê, giảng dạy trong các nhà hội và đuổi quỉ.|於 是 在 加 利 利 全 地 、 進 了 會 堂 、 傳 道 趕 鬼 。
Có một người phung đến cùng Ngài, quì xuống cầu xin rằng: Nếu Chúa khứng, có thể khiến tôi sạch được.|有 一 個 長 大 痳 瘋 的 、 來 求 耶 穌 、 向 他 跪 下 說 、 你 若 肯 、 必 能 叫 我 潔 淨 了 。
Đức Chúa Jêsus động lòng thương xót, giơ tay rờ người, mà phán rằng: Ta khứng, hãy sạch đi.|耶 穌 動 了 慈 心 、 就 伸 手 摸 他 、 說 、 我 肯 、 你 潔 淨 了 罷 。
Liền khi đó, phung lặn mất, người trở nên sạch.|大 痳 瘋 即 時 離 開 他 、 他 就 潔 淨 了 。
tức thì Đức Chúa Jêsus cho người ấy ra, lấy giọng nghiêm phán rằng:|耶 穌 嚴 嚴 的 囑 咐 他 、 就 打 發 他 走 、
Hãy giữ chớ tỏ điều đó cùng ai; song khá đi tỏ mình cùng thầy tế lễ, và vì người được sạch, hãy dâng của lễ theo như Môi-se dạy, để điều đó làm chứng cho họ.|對 他 說 、 你 要 謹 慎 、 甚 麼 話 都 不 可 告 訴 人 ． 只 要 去 把 身 體 給 祭 司 察 看 、 又 因 為 你 潔 淨 了 、 獻 上 摩 西 所 吩 咐 的 禮 物 、 對 眾 人 作 證 據 。
Nhưng người ấy đi, đồn việc đó ra, tới đâu cũng thuật chuyện, đến nỗi Chúa Giê-xu không vào thành cách rõ ràng được nữa; song Ngài ở ngoài, tại nơi vắng vẻ; và người ta từ bốn phương đều đến cùng Ngài.|那 人 出 去 、 倒 說 許 多 的 話 、 把 這 件 事 傳 揚 開 了 、 叫 耶 穌 以 後 不 得 再 明 明 的 進 城 、 只 好 在 外 邊 曠 野 地 方 ． 人 從 各 處 都 就 了 他 來 。

					Mác 2				|
						馬可福音 2					
Khỏi một vài ngày, Đức Chúa Jêsus trở lại thành Ca-bê-na-um, và chúng nghe nói Ngài ở trong nhà.|過 了 些 日 子 、 耶 穌 又 進 了 迦 百 農 ． 人 聽 見 他 在 房 子 裡 、
Họ họp lại tại đó đông lắm, đến nỗi trước cửa cũng không còn chỗ trống; Ngài giảng đạo cho họ nghe.|就 有 許 多 人 聚 集 、 甚 至 連 門 前 都 沒 有 空 地 、 耶 穌 就 對 他 們 講 道 。
Bấy giờ có mấy kẻ đem tới cho Ngài một người đau bại, có bốn người khiêng.|有 人 帶 著 一 個 癱 子 來 見 耶 穌 、 是 用 四 個 人 抬 來 的 。
Nhưng, vì đông người, không lại gần Ngài được, nên dở mái nhà ngay chỗ Ngài ngồi, rồi do lỗ đó dòng giường người bại xuống.|因 為 人 多 、 不 得 近 前 、 就 把 耶 穌 所 在 的 房 子 、 拆 了 房 頂 、 既 拆 通 了 、 就 把 癱 子 連 所 躺 臥 的 褥 子 都 縋 下 來 。
Đức Chúa Jêsus thấy đức tin họ, bèn phán với kẻ bại rằng: Hỡi con ta, tội lỗi ngươi đã được tha.|耶 穌 見 他 們 的 信 心 、 就 對 癱 子 說 、 小 子 、 你 的 罪 赦 了 。
Vả, có mấy thầy thông giáo ngồi đó, nghĩ thầm rằng:|有 幾 個 文 士 坐 在 那 裡 、 心 裡 議 論 說 、
Sao người nầy nói như vậy? Người nói phạm thượng đó! Ngoài mình Đức Chúa Trời, còn có ai tha tội được chăng?|這 個 人 為 甚 麼 這 樣 說 呢 ． 他 說 僭 妄 的 話 了 ． 除 了 　 神 以 外 、 誰 能 赦 罪 呢 。
Đức Chúa Jêsus trong trí đã tự hiểu họ nghĩ như vậy, tức thì phán rằng: Sao các ngươi bàn luận trong lòng thể ấy?|耶 穌 心 中 知 道 他 們 心 裡 這 樣 議 論 、 就 說 、 你 們 心 裡 為 甚 麼 這 樣 議 論 呢 。
Nay bảo kẻ bại rằng: Tội ngươi đã được tha; hay là bảo người rằng: Hãy đứng dậy vác giường mà đi; hai điều ấy điều nào dễ hơn?|或 對 癱 子 說 、 你 的 罪 赦 了 ． 或 說 、 起 來 、 拿 你 的 褥 子 行 走 ． 那 一 樣 容 易 呢 。
Vả, để cho các ngươi biết rằng Con người ở thế gian có quyền tha tội, thì Ngài phán cùng kẻ bại rằng:|但 要 叫 你 們 知 道 人 子 在 地 上 有 赦 罪 的 權 柄 、 就 對 癱 子 說 、
Ta biểu ngươi, hãy đứng dậy, vác giường đi về nhà.|我 吩 咐 你 起 來 、 拿 你 的 褥 子 回 家 去 罷 。
Kẻ bại đứng dậy, tức thì vác giường đi ra trước mặt thiên hạ; đến nỗi ai nấy làm lạ, ngợi khen Đức Chúa Trời, mà rằng: Chúng tôi chưa hề thấy việc thể nầy.|那 人 就 起 來 、 立 刻 拿 著 褥 子 、 當 眾 人 面 前 出 去 了 ． 以 致 眾 人 都 驚 奇 、 歸 榮 耀 與 　 神 說 、 我 們 從 來 沒 有 見 過 這 樣 的 事 。
Bấy giờ, Đức Chúa Jêsus trở lại về phía mé biển; cả dân chúng đến cùng Ngài, rồi Ngài dạy dỗ họ.|耶 穌 又 出 到 海 邊 去 、 眾 人 都 就 了 他 來 、 他 便 教 訓 他 們 。
Ngài vừa đi qua thấy Lê-vi, con A-phê, đương ngồi tại sở thâu thuế, thì phán cùng người rằng: Hãy theo ta. Người đứng dậy theo Ngài.|耶 穌 經 過 的 時 候 、 看 見 亞 勒 腓 的 兒 子 利 未 、 坐 在 稅 關 上 、 就 對 他 說 、 你 跟 從 我 來 ． 他 就 起 來 跟 從 了 耶 穌 。
Đức Chúa Jêsus đương ngồi ăn tại nhà Lê-vi, có nhiều kẻ thâu thuế và người có tội đồng bàn với Ngài và môn đồ Ngài; vì trong bọn đó có nhiều kẻ theo Ngài rồi.|耶 穌 在 利 未 家 裡 坐 席 的 時 候 、 有 好 些 稅 吏 和 罪 人 、 與 耶 穌 並 門 徒 一 同 坐 席 ． 因 為 這 樣 的 人 多 、 他 們 也 跟 隨 耶 穌 。
Các thầy thông giáo và người Pha-ri-si thấy Ngài ăn với người thâu thuế và kẻ phạm tội, thì nói với môn đồ Ngài rằng: Người cùng ăn với kẻ thâu thuế và người có tội sao!|法 利 賽 人 中 的 文 士 、 〔 有 古 卷 作 文 士 和 法 利 賽 人 〕 看 見 耶 穌 和 罪 人 並 稅 吏 一 同 喫 飯 、 就 對 他 門 徒 說 、 他 和 稅 吏 並 罪 人 一 同 喫 喝 麼 。
Đức Chúa Jêsus nghe vậy, bèn phán cùng họ rằng: Chẳng phải kẻ mạnh khỏe cần thầy thuốc đâu, nhưng là kẻ có bịnh; ta chẳng phải đến gọi người công bình, nhưng gọi kẻ có tội.|耶 穌 聽 見 、 就 對 他 們 說 、 康 健 的 人 用 不 著 醫 生 、 有 病 的 人 纔 用 得 著 ． 我 來 本 不 是 召 義 人 、 乃 是 召 罪 人 。
Vả, môn đồ của Giăng và người Pha-ri-si đều kiêng ăn. Có người đến thưa cùng Đức Chúa Jêsus rằng: Bởi cớ nào môn đồ của Giăng và môn đồ của người Pha-ri-si đều kiêng ăn, còn môn đồ của thầy không kiêng ăn?|當 下 、 約 翰 的 門 徒 和 法 利 賽 人 禁 食 ． 他 們 來 問 耶 穌 說 、 約 翰 的 門 徒 和 法 利 賽 人 的 門 徒 禁 食 、 你 的 門 徒 倒 不 禁 食 、 這 是 為 甚 麼 呢 。
Đức Chúa Jêsus phán rằng: Bạn hữu của chàng rể có kiêng ăn được trong khi chàng rể còn ở cùng mình chăng? Hễ chàng rể còn ở với họ đến chừng nào, thì họ không thể kiêng ăn được đến chừng nấy.|耶 穌 對 他 們 說 、 新 郎 和 陪 伴 之 人 同 在 的 時 候 、 陪 伴 之 人 豈 能 禁 食 呢 ． 新 郎 還 同 在 、 他 們 不 能 禁 食 。
Song tới kỳ chàng rể phải đem đi khỏi họ, trong ngày đó họ sẽ kiêng ăn.|但 日 子 將 到 、 新 郎 要 離 開 他 們 、 那 日 他 們 就 要 禁 食 。
Không ai vá miếng nỉ mới vào cái áo cũ; nếu vậy thì miếng nỉ mới chằng rách áo cũ, mà đàng rách càng xấu thêm.|沒 有 人 把 新 布 縫 在 舊 衣 服 上 ． 恐 怕 所 補 上 的 新 布 、 帶 壞 了 舊 衣 服 、 破 的 就 更 大 了 。
Cũng không ai đổ rượu mới vào bầu da cũ; nếu vậy, rượu làm vỡ bầu, rượu mất và bầu cũng chẳng còn.|也 沒 有 人 把 新 酒 裝 在 舊 皮 袋 裡 ． 恐 怕 酒 把 皮 袋 裂 開 、 酒 和 皮 袋 都 壞 了 ． 惟 把 新 酒 裝 在 新 皮 袋 裡 。
Nhằm ngày Sa-bát, Đức Chúa Jêsus đi qua đồng lúa mì; đang đi đường, môn đồ Ngài bứt bông lúa mì.|耶 穌 當 安 息 日 、 從 麥 地 經 過 ． 他 門 徒 行 路 的 時 候 、 掐 了 麥 穗 。
Các người Pha-ri-si bèn nói cùng Ngài rằng: Coi kìa, sao môn đồ thầy làm điều không nên làm trong ngày Sa-bát?|法 利 賽 人 對 耶 穌 說 、 看 哪 、 他 們 在 安 息 日 為 甚 麼 作 不 可 作 的 事 呢 ．
Ngài đáp rằng: Các ngươi chưa đọc đến sự vua Đa-vít làm trong khi vua cùng những người đi theo bị túng đói hay sao?|耶 穌 對 他 們 說 、 經 上 記 著 大 衛 和 跟 從 他 的 人 、 缺 乏 飢 餓 之 時 所 作 的 事 、 你 們 沒 有 念 過 麼 。
Thể nào trong đời A-bi-tha làm thầy cả thượng phẩm, vua ấy vào đến Đức Chúa Trời, ăn bánh bày ra, lại cũng cho những người đi theo ăn nữa, dầu bánh ấy chỉ những thầy tế lễ mới được phép ăn thôi?|他 當 亞 比 亞 他 作 大 祭 司 的 時 候 、 怎 麼 進 了 　 神 的 殿 、 喫 了 陳 設 餅 、 又 給 跟 從 他 的 人 喫 ． 這 餅 除 了 祭 司 以 外 、 人 都 不 可 喫 。
Đoạn, Ngài lại phán: Vì loài người mà lập ngày Sa-bát, chớ chẳng phải vì ngày Sa-bát mà dựng nên loài người.|又 對 他 們 說 、 安 息 日 是 為 人 設 立 的 、 人 不 是 為 安 息 日 設 立 的 ．
Vậy thì Con người cũng làm chủ ngày Sa-bát.|所 以 人 子 也 是 安 息 日 的 主 。

					Mác 3				|
						馬可福音 3					
Lần khác, Đức Chúa Jêsus vào nhà hội, ở đó có một người nam teo bàn tay.|耶 穌 又 進 了 會 堂 ． 在 那 裡 有 一 個 人 、 枯 乾 了 一 隻 手 。
Chúng rình xem thử Ngài có chữa người đó trong ngày Sa-bát chăng, đặng cáo Ngài.|眾 人 窺 探 耶 穌 、 在 安 息 日 醫 治 不 醫 治 、 意 思 是 要 控 告 耶 穌 。
Ngài phán cùng người teo tay rằng: hãy dậy, đứng chính giữa đây.|耶 穌 對 那 枯 乾 一 隻 手 的 人 說 、 起 來 、 站 在 當 中 。
rồi Ngài hỏi họ rằng: trong ngày Sa-bát, nên làm việc lành hay việc dữ, cứu người hay giết người? Nhưng họ đều nín lặng.|又 問 眾 人 說 、 在 安 息 日 行 善 行 惡 、 救 命 害 命 、 那 樣 是 可 以 的 呢 ． 他 們 都 不 作 聲 。
Bấy giờ, Ngài lấy mắt liếc họ, vừa giận vừa buồn vì lòng họ cứng cỏi, rồi phán cùng người nam rằng: hãy giơ tay ra. Người giơ ra, thì tay được lành.|耶 穌 怒 目 周 圍 看 他 們 、 憂 愁 他 們 的 心 剛 硬 、 就 對 那 人 說 、 伸 出 手 來 ． 他 把 手 一 伸 、 手 就 復 了 原 。
Các người Pha-ri-si đi ra, tức thì bàn luận với phe Hê-rốt nghịch cùng Ngài, đặng giết Ngài đi.|法 利 賽 人 出 去 、 同 希 律 一 黨 的 人 商 議 、 怎 樣 可 以 除 滅 耶 穌 。
Đức Chúa Jêsus cùng môn đồ Ngài lánh ra nơi bờ biển, có đoàn dân đông lắm từ xứ Ga-li-lê đến theo Ngài. Từ xứ Giu-đê,|耶 穌 和 門 徒 退 到 海 邊 去 ． 有 許 多 人 從 加 利 利 跟 隨 他 ．
thành Giê-ru-sa-lem, xứ Y-đu-mê, xứ bên kia sông Giô-đanh, miền xung quanh thành Ty-rơ và thành Si-đôn cũng vậy, dân đông lắm, nghe nói mọi việc Ngài làm, thì đều đến cùng Ngài.|還 有 許 多 人 聽 見 他 所 作 的 大 事 、 就 從 猶 太 、 耶 路 撒 冷 、 以 土 買 、 約 但 河 外 、 並 推 羅 西 頓 的 四 方 、 來 到 他 那 裡 。
Bởi cớ dân đông, nên Ngài biểu môn đồ sắm cho mình một chiếc thuyền nhỏ sẵn sàng, đặng cho khỏi bị chúng lấn ép Ngài quá.|他 因 為 人 多 、 就 吩 咐 門 徒 叫 一 隻 小 船 伺 候 著 、 免 得 眾 人 擁 擠 他 。
Vì Ngài đã chữa lành nhiều kẻ bịnh, nên nỗi ai nấy có bịnh chi cũng đều áp đến gần để rờ Ngài.|他 治 好 了 許 多 人 、 所 以 凡 有 災 病 的 、 都 擠 進 來 要 摸 他 。
Khi tà ma thấy Ngài, bèn sấp mình xuống nơi chơn Ngài mà kêu lên rằng: Thầy là Con Đức Chúa Trời!|污 鬼 無 論 何 時 看 見 他 、 就 俯 伏 在 他 面 前 、 喊 著 說 、 你 是 　 神 的 兒 子 。
Song Ngài nghiêm cấm chúng nó chớ tỏ cho ai biết mình.|耶 穌 再 三 的 囑 咐 他 們 、 不 要 把 他 顯 露 出 來 。
Kế đó, Đức Chúa Jêsus lên trên núi, đòi những người Ngài muốn, thì những người ấy đến kề Ngài.|耶 穌 上 了 山 、 隨 自 己 的 意 思 叫 人 來 、 他 們 便 來 到 他 那 裡 。
Ngài bèn lập mười hai người, gọi là sứ đồ, để ở cùng Ngài và sai đi giảng đạo,|他 就 設 立 十 二 個 人 、 要 他 們 常 和 自 己 同 在 、 也 要 差 他 們 去 傳 道 、
lại ban cho quyền phép đuổi quỉ.|並 給 他 們 權 柄 趕 鬼 。
Nầy là mười hai sứ đồ Ngài đã lập: Si-môn, Ngài đặt tên là Phi -e-rơ;|這 十 二 個 人 有 西 門 、 耶 穌 又 給 他 起 名 叫 彼 得 ．
Gia-cơ con Xê-bê-đê, và Giăng em Gia-cơ, Ngài đặt tên hai người là Bô -a-nẹt, nghĩa là con trai của sấm sét;|還 有 西 庇 太 的 兒 子 雅 各 、 和 雅 各 的 兄 弟 約 翰 ． 又 給 這 個 兩 人 起 名 叫 半 尼 其 、 就 是 雷 子 的 意 思 ．
Anh-rê, Phi-líp, Ba-thê-lê-my, Ma-thi -ơ, Thô-ma, Gia-cơ con A-phê, Tha-đê, Si-môn là người Ca-na-an,|又 有 安 得 烈 、 腓 力 、 巴 多 羅 買 、 馬 太 、 多 馬 、 亞 勒 腓 的 兒 子 雅 各 、 和 達 太 、 並 奮 銳 黨 的 西 門 。
và Giu-đa Ích-ca-ri-ốt, chính tên nầy đã phản Ngài.|還 有 賣 耶 穌 的 加 略 人 猶 大 。
Đức Chúa Jêsus cùng môn đồ vào trong một cái nhà; đoàn dân lại nhóm họp tại đó, đến nỗi Ngài và môn đồ không ăn được.|耶 穌 進 了 一 個 屋 子 、 眾 人 又 聚 集 、 甚 至 他 連 飯 也 顧 不 得 喫 。
Những bạn hữu Ngài nghe vậy, bèn đến để cầm giữ Ngài; vì người ta nói Ngài đã mất trí khôn.|耶 穌 的 親 屬 聽 見 、 就 出 來 要 拉 住 他 、 因 為 他 們 說 他 癲 狂 了 。
Có các thầy thông giáo ở thành Giê-ru-sa-lem xuống, nói rằng: Người bị quỉ Bê-ên-xê-bun ám, và nhờ phép chúa quỉ mà trừ quỉ.|從 耶 路 撒 冷 下 來 的 文 士 說 、 他 是 被 別 西 卜 附 著 ． 又 說 、 他 是 靠 著 鬼 王 趕 鬼 。
Song Đức Chúa Jêsus kêu họ đến, dùng lời thí dụ mà phán rằng: Sao quỉ Sa-tan đuổi được quỉ Sa-tan?|耶 穌 叫 他 們 來 、 用 比 喻 對 他 們 說 、 撒 但 怎 能 趕 出 撒 但 呢 。
Nếu một nước tự chia nhau, thì nước ấy không thể còn được;|若 一 國 自 相 分 爭 、 那 國 就 站 立 不 住 。
lại nếu một nhà tự chia nhau, thì nhà ấy không thể còn được.|若 一 家 自 相 分 爭 、 那 家 就 站 立 不 住 。
Vậy, nếu quỉ Sa-tan tự dấy lên nghịch cùng mình, tất nó bị chia xẻ ra, không thể còn được; song nó đã gần đến cùng rồi.|若 撒 但 自 相 攻 打 分 爭 、 他 就 站 立 不 住 、 必 要 滅 亡 。
Chẳng ai có thể vào nhà một người mạnh sức cướp lấy của người, mà trước hết không trói người lại; phải trói người lại, rồi mới cướp nhà người được.|沒 有 人 能 進 壯 士 家 裡 、 搶 奪 他 的 家 具 ． 必 先 捆 住 那 壯 士 、 纔 可 以 搶 奪 他 的 家 。
Quả thật, ta nói cùng các ngươi, mọi tội lỗi sẽ tha cho con cái loài người, và hết thảy những lời phạm thượng họ sẽ nói ra cũng vậy;|我 實 在 告 訴 你 們 、 世 人 一 切 的 罪 、 和 一 切 褻 瀆 的 話 、 都 可 得 赦 免 ．
nhưng ai sẽ nói phạm đến Đức Thánh Linh thì chẳng hề được tha, phải mắc tội đời đời.|凡 褻 瀆 聖 靈 的 、 卻 永 不 得 赦 免 、 乃 要 擔 當 永 遠 的 罪 。
Ngài phán như vậy, vì họ nói rằng: Người bị tà ma ám.|這 話 是 因 為 他 們 說 、 他 是 被 污 鬼 附 著 的 。
Mẹ và anh em Ngài đến, đứng ngoài sai kêu Ngài. Đoàn dân vẫn ngồi chung quanh Ngài.|當 下 耶 穌 的 母 親 和 弟 兄 、 來 站 在 外 邊 、 打 發 人 去 叫 他 。
Có kẻ thưa rằng: Nầy, mẹ và anh em thầy ở ngoài kia đương tìm thầy.|有 許 多 人 在 耶 穌 周 圍 坐 著 ． 他 們 就 告 訴 他 說 、 看 哪 、 你 母 親 、 和 你 弟 兄 、 在 外 邊 找 你 。
Song Ngài phán cùng họ rằng: Ai là mẹ ta, ai là anh em ta?|耶 穌 回 答 說 、 誰 是 我 的 母 親 、 誰 是 我 的 弟 兄 。
Ngài đưa mắt liếc những kẻ ngồi chung quanh mình mà phán rằng: Kìa là mẹ ta và anh em ta!|就 四 面 觀 看 那 周 圍 坐 著 的 人 、 說 、 看 哪 、 我 的 母 親 、 我 的 弟 兄 。
Ai làm theo ý muốn Đức Chúa Trời, nấy là anh em, chị em, và mẹ ta vậy.|凡 遵 行 　 神 旨 意 的 人 、 就 是 我 的 弟 兄 姐 妹 和 母 親 了 。

					Mác 4				|
						馬可福音 4					
