
					Giảng Sư 1				|
Vả, ta thấy sự khôn ngoan hơn sự ngu dại, cũng như ánh sáng hơn tối tăm.|我 便 看 出 智 慧 勝 過 愚 昧 、 如 同 光 明 勝 過 黑 暗 。
Người khôn ngoan có con mắt trong đầu mình, còn kẻ ngu muội bước đi trong tối tăm; dầu vậy, ta nhìn thấy hai đàng cùng gặp một số phận về sau.|智 慧 人 的 眼 目 光 明 、 〔 光 明 原 文 作 在 他 頭 上 〕 、 愚 昧 人 在 黑 暗 裡 行 ． 我 卻 看 明 有 一 件 事 、 這 兩 等 人 都 必 遇 見 。
Nên ta có nói trong lòng rằng: Sự xảy đến cho kẻ dại, sẽ xảy đến cho ta cũng vậy; vậy, ta có nhiều khôn ngoan như thế mà làm chi? Ta lại nói trong lòng rằng: Điều đó là một sự hư không nữa.|我 就 心 裡 說 、 愚 昧 人 所 遇 見 的 、 我 也 必 遇 見 ． 我 為 何 更 有 智 慧 呢 ． 我 心 裡 說 、 這 也 是 虛 空 。
Vài người ta chẳng nhớ người khôn ngoan đến đời đời, cũng như chẳng nhớ kẻ ngu muội; vì trong ngày sau cả thảy đều bị quên mất từ lâu. Phải, người khôn ngoan chết cũng như kẻ điên cuồng?|智 慧 人 、 和 愚 昧 人 一 樣 、 永 遠 無 人 記 念 ． 因 為 日 後 都 被 忘 記 ． 可 歎 智 慧 人 死 亡 、 與 愚 昧 人 無 異 。
Vậy, ta ghét đời sống, vì mọi việc làm ra dưới mặt trời là cực nhọc cho ta, thảy đều hư không, theo luồng gió thổi.|我 所 以 恨 惡 生 命 、 因 為 在 日 光 之 下 所 行 的 事 我 都 以 為 煩 惱 ． 都 是 虛 空 、 都 是 捕 風 。
Ta cũng ghét mọi công lao ta đã làm ở dưới mặt trời, vì phải để lại cho người sau mình.|我 恨 惡 一 切 的 勞 碌 、 就 是 我 在 日 光 之 下 的 勞 碌 、 因 為 我 得 來 的 必 留 給 我 以 後 的 人 。
Vả, ai biết rằng người ấy sẽ khôn ngoan hay là ngu dại? Dầu thế nào, hắn sẽ cai quản mọi việc ta đã lấy sự lao khổ và khôn ngoan mà làm ở dưới mặt trời. Điều đó cũng là hư không.|那 人 是 智 慧 、 是 愚 昧 、 誰 能 知 道 ． 他 竟 要 管 理 我 勞 碌 所 得 的 、 就 是 我 在 日 光 之 下 用 智 慧 所 得 的 ． 這 也 是 虛 空 。
Bởi cớ ấy ta trở lòng thất vọng về mọi công việc ta đã lao khổ mà làm ở dưới mặt trời.|故 此 、 我 轉 想 我 在 日 光 之 下 所 勞 碌 的 一 切 工 作 、 心 便 絕 望 。
Vì có người làm công việc mình cách khôn ngoan, thông sáng, và tài giỏi, rồi phải để lại làm cơ nghiệp cho kẻ chẳng hề lao khổ làm đến. Điều đó cũng là một sự hư không và một sự tai nạn lớn.|因 為 有 人 用 智 慧 知 識 靈 巧 所 勞 碌 得 來 的 、 卻 要 留 給 未 曾 勞 碌 的 人 為 分 ． 這 也 是 虛 空 、 也 是 大 患 。
Vậy, ích chi cho người lao khổ, cực lòng mà làm việc ở dưới mặt trời?|人 在 日 光 之 下 勞 碌 累 心 、 在 他 一 切 的 勞 碌 上 得 著 甚 麼 呢 。
Vì các ngày người chỉ là đau đớn, công lao người thành ra buồn rầu; đến đỗi ban đêm lòng người cũng chẳng được an nghỉ. Điều đó cũng là sự hư không.|因 為 他 日 日 憂 慮 他 的 勞 苦 成 為 愁 煩 ． 連 夜 間 心 也 不 安 ． 這 也 是 虛 空 。
Chẳng gì tốt cho người hơn là ăn, uống, khiến linh hồn mình hưởng phước của lao khổ mình. Ta xem thấy điều đó cũng bởi tay Đức Chúa Trời mà đến.|人 莫 強 如 喫 喝 、 且 在 勞 碌 中 享 福 ． 我 看 這 也 是 出 於 　 神 的 手 。
Vì ai là người được ăn và hưởng sự vui sướng hơn ta?|論 到 喫 用 、 享 福 、 誰 能 勝 過 我 呢 。
Bởi Đức Chúa Trời ban sự khôn ngoan, thông sáng, và vui vẻ cho kẻ nào đẹp lòng Ngài; nhưng Ngài khiến cho kẻ có tội phải lao khổ mà thâu góp chất chứa, để rồi ban cho người đẹp lòng Đức Chúa Trời. Điều đó cũng là hư không, theo luồng gió thổi.|　 神 喜 悅 誰 、 就 給 誰 智 慧 、 知 識 、 和 喜 樂 ． 惟 有 罪 人 、 　 神 使 他 勞 苦 、 叫 他 將 所 收 聚 的 、 所 堆 積 的 、 歸 給 　 神 所 喜 悅 的 人 ． 這 也 是 虛 空 、 也 是 捕 風 。

					Giảng Sư 3				|
						傳道書 3					
Phàm sự gì có thì tiết; mọi việc dưới trời có kỳ định.|凡 事 都 有 定 期 、 天 下 萬 務 都 有 定 時 ．
Có kỳ sanh ra, và có kỳ chết; có kỳ trồng, và có kỳ nhổ vật đã trồng;|生 有 時 、 死 有 時 ． 栽 種 有 時 、 拔 出 所 栽 種 的 、 也 有 時 ．
Có kỳ giết, và có kỳ chữa lành; có kỳ phá dỡ, và có kỳ xây cất;|殺 戮 有 時 、 醫 治 有 時 ． 拆 毀 有 時 、 建 造 有 時 ．
có kỳ khóc, và có kỳ cười; có kỳ than vãn, và có kỳ nhảy múa;|哭 有 時 、 笑 有 時 ． 哀 慟 有 時 、 跳 舞 有 時 ．
có kỳ ném đá, và có kỳ nhóm đá lại; có kỳ ôm ấp, và có kỳ chẳng ôm ấp;|拋 擲 石 頭 有 時 、 堆 聚 石 頭 有 時 ． 懷 抱 有 時 、 不 懷 抱 有 時 ．
có kỳ tìm, và có kỳ mất; có kỳ giữ lấy, và có kỳ ném bỏ;|尋 找 有 時 、 失 落 有 時 ． 保 守 有 時 、 捨 棄 有 時 ．
có kỳ xé rách, và có kỳ may; có kỳ nín lặng, có kỳ nói ra;|撕 裂 有 時 、 縫 補 有 時 ． 靜 默 有 時 、 言 語 有 時 ．
có kỳ yêu, có kỳ ghét; có kỳ đánh giặc, và có kỳ hòa bình.|喜 愛 有 時 、 恨 惡 有 時 ． 爭 戰 有 時 、 和 好 有 時 。
Kẻ làm việc có được ích lợi gì về lao khổ mình chăng?|這 樣 看 來 、 作 事 的 人 在 他 的 勞 碌 上 有 甚 麼 益 處 呢 。
Ta đã thấy công việc mà Đức Chúa Trời ban cho loài người là loài người dùng tập rèn lấy mình.|我 見 　 神 叫 世 人 勞 苦 、 使 他 們 在 其 中 受 經 練 。
Phàm vật Đức Chúa Trời đã làm nên đều là tốt lành trong thì nó. Lại, Ngài khiến cho sự đời đời ở nơi lòng loài người; dầu vậy, công việc Đức Chúa Trời làm từ ban đầu đến cuối cùng, người không thế hiểu được.|　 神 造 萬 物 、 各 按 其 時 成 為 美 好 ． 又 將 永 生 安 置 在 世 人 心 裡 ． 〔 永 生 原 文 作 永 遠 〕 然 而 　 神 從 始 至 終 的 作 為 、 人 不 能 參 透 。
Vậy, ta nhìn biết chẳng có điều gì tốt cho loài người hơn là vui vẻ, và làm lành trọn đời mình.|我 知 道 世 人 、 莫 強 如 終 身 喜 樂 行 善 。
Lại, ai nấy phải ăn, uống, và hưởng lấy phước của công lao mình, ấy cũng là sự ban cho của Đức Chúa Trời.|並 且 人 人 喫 喝 、 在 他 一 切 勞 碌 中 享 福 ． 這 也 是 　 神 的 恩 賜 。
Ta biết rằng mọi việc Đức Chúa Trời làm nên còn có đời đời: người ta chẳng thêm gì được, cũng không bớt chi đặng; Đức Chúa Trời làm như thế, để loài người kính sợ trước mặt Ngài.|我 知 道 　 神 一 切 所 作 的 、 都 必 永 存 、 無 所 增 添 、 無 所 減 少 ． 　 神 這 樣 行 、 是 要 人 在 他 面 前 存 敬 畏 的 心 。
Điều chi hiện có, đã có ngày xưa; điều chi sẽ xảy đến, đã xảy đến từ lâu rồi: Đức Chúa Trời lại tìm kiếm việc gì đã qua.|現 今 的 事 早 先 就 有 了 ． 將 來 的 事 早 已 也 有 了 ． 並 且 　 神 使 已 過 的 事 重 新 再 來 ． 〔 或 作 並 且 　 神 再 尋 回 已 過 的 事 〕
Ta lại còn thấy dưới mặt trời, trong nơi công đàng có sự gian ác, và tại chốn công bình có sự bất nghĩa.|我 又 見 日 光 之 下 、 在 審 判 之 處 有 奸 惡 ． 在 公 義 之 處 也 有 奸 惡 。
Ta bèn nói trong lòng rằng: Đức Chúa Trời sẽ đoán xét kẻ công bình và người gian ác; vì ở đó có kỳ định cho mọi sự mọi việc.|我 心 裡 說 、 　 神 必 審 判 義 人 和 惡 人 ． 因 為 在 那 裡 、 各 樣 事 務 、 一 切 工 作 、 都 有 定 時 。
Ta lại nói trong lòng rằng: Phải như vậy, bởi vì Đức Chúa Trời muốn thử thách con loài người, và chỉ cho chúng biết rằng họ không hơn gì loài thú.|我 心 裡 說 、 這 乃 為 世 人 的 緣 故 、 是 　 神 要 試 驗 他 們 、 使 他 們 覺 得 自 己 不 過 像 獸 一 樣 。
Vì việc xảy đến cho con loài người làm sao, thì xảy đến cho loài thú cũng vậy; sự xảy đến cho hai loài giống hẳn với nhau. Sự chết của loài nầy cũng như sự chết của loài kia; hai loài đều thở một thứ hơi, loài người chẳng hơn gì loài thú; vì thảy đều hư không.|因 為 世 人 遭 遇 的 、 獸 也 遭 遇 ． 所 遭 遇 的 都 是 一 樣 ． 這 個 怎 樣 死 、 那 個 也 怎 樣 死 、 氣 息 都 是 一 樣 ． 人 不 能 強 於 獸 ． 都 是 虛 空 。
Cả thảy đều qui vào một chỗ; cả thảy do bụi đất mà ra, cả thảy sẽ trở về bụi đất.|都 歸 一 處 ． 都 是 出 於 塵 土 、 也 都 歸 於 塵 土 。
Ai biết hoặc thần của loài người thăng lên, hoặc hồn của loài thú sa xuống dưới đất?|誰 知 道 人 的 靈 是 往 上 昇 升 、 獸 的 魂 是 下 入 地 呢 。
Thế thì, ta thấy chẳng chi tốt cho loài người hơn là vui vẻ trong công việc mình; ấy là kỷ phần mình; vì ai sẽ đem mình trở lại đặng xem thấy điều sẽ xảy ra sau mình?|故 此 、 我 見 人 、 莫 強 如 在 他 經 營 的 事 上 喜 樂 ． 因 為 這 是 他 的 分 ． 他 身 後 的 事 、 誰 能 使 他 回 來 得 見 呢 。

					Giảng Sư 4				|
						傳道書 4					
Ta xây lại, xem xét mọi sự hà hiếp làm ra ở dưới mặt trời; kìa, nước mắt của kẻ bị hà hiếp, song không ai an ủi họ! Kẻ hà hiếp có quyền phép, song không ai an ủi cho kẻ bị hà hiếp!|我 又 轉 念 、 見 日 光 之 下 所 行 的 一 切 欺 壓 ． 看 哪 、 受 欺 壓 的 流 淚 、 且 無 人 安 慰 ． 欺 壓 他 們 的 有 勢 力 、 也 無 人 安 慰 他 們 。
Vậy, ta khen những kẻ chết đã lâu rồi là sướng hơn kẻ còn sống;|因 此 我 讚 歎 那 早 已 死 的 死 人 、 勝 過 那 還 活 著 的 活 人 ．
còn kẻ chưa được sanh ra, chưa thấy những gian ác làm ra dưới mặt trời, ta cho là có phước hơn hai đằng kia.|並 且 我 以 為 那 未 曾 生 的 、 就 是 未 見 過 日 光 之 下 惡 事 的 、 比 這 兩 等 人 更 強 。
Ta cũng thấy mọi công lao và mọi nghề khéo là điều gây cho người nầy kẻ khác ganh ghét nhau. Điều đó cũng là sự hư không, theo luồng gió thổi.|我 又 見 人 為 一 切 的 勞 碌 、 和 各 樣 靈 巧 的 工 作 、 就 被 鄰 舍 嫉 妒 ． 這 也 是 虛 空 、 也 是 捕 風 。
Kẻ ngu muội khoanh tay, ăn lấy thịt mình.|愚 昧 人 抱 著 手 、 喫 自 己 的 肉 。
Thà đầy một lòng bàn tay mà bình an, hơn là đầy cả hai mà bị lao khổ, theo luồng gió thổi.|滿 了 一 把 、 得 享 安 靜 、 強 如 滿 了 兩 把 、 勞 碌 捕 風 。
Ta bèn xây lại xem thấy sự hư không ở dưới mặt trời:|我 又 轉 念 、 見 日 光 之 下 有 一 件 虛 空 的 事 。
Nầy một người cô độc, chẳng có ai hoặc con trai hay là anh em; dầu vậy, lao khổ nó không thôi, mắt nó không hề chán của cải; nó không hề nghĩ rằng: Vậy ta lao khổ, ta bắt linh hồn nhịn các phước là vì ai? Điều đó cũng là hư không, thật là công việc cực nhọc.|有 人 孤 單 無 二 、 無 子 無 兄 、 竟 勞 碌 不 息 、 眼 目 也 不 以 錢 財 為 足 ． 他 說 我 勞 勞 碌 碌 、 刻 苦 自 己 、 不 享 福 樂 、 到 底 是 為 誰 呢 ． 這 也 是 虛 空 、 是 極 重 的 勞 苦 。
Hai người hơn một, vì hai sẽ được công giá tốt về công việc mình.|兩 個 人 總 比 一 個 人 好 、 因 為 二 人 勞 碌 同 得 美 好 的 果 效 。
Nếu người này sa ngã, thì người kia sẽ đỡ bạn mình lên; nhưng khốn thay cho kẻ ở một mình mà sa ngã, không có ai đỡ mình lên!|若 是 跌 倒 、 這 人 可 以 扶 起 他 的 同 伴 ． 若 是 孤 身 跌 倒 、 沒 有 別 人 扶 起 他 來 、 這 人 就 有 禍 了 。
Cũng vậy, nếu hai người ngủ chung thì ấm; còn một mình thì làm sao ấm được?|再 者 、 二 人 同 睡 、 就 都 煖 和 ． 一 人 獨 睡 、 怎 能 煖 和 呢 。
Lại nếu kẻ ở một mình bị người khác thắng, thì hai người có thế chống cự nó; một sợi dây đánh ba tao lấy làm khó đứt.|有 人 攻 勝 孤 身 一 人 、 若 有 二 人 便 能 敵 擋 他 ． 三 股 合 成 的 繩 子 、 不 容 易 折 斷 。
Một kẻ trẻ tuổi nghèo mà khôn hơn một ông vua già cả mà dại, chẳng còn biết nghe lời khuyên can.|貧 窮 而 有 智 慧 的 少 年 人 、 勝 過 年 老 不 肯 納 諫 的 愚 昧 王 。
Vì kẻ trẻ ra khỏi ngục khám đặng làm vua, dầu sanh ra nghèo trong nước mình.|這 人 是 從 監 牢 中 出 來 作 王 ． 在 他 國 中 、 生 來 原 是 貧 窮 的 。
Ta thấy mọi người sống đi đi lại lại dưới mặt trời, đều theo kẻ trẻ ấy, là người kế vị cho vua kia.|我 見 日 光 之 下 一 切 行 動 的 活 人 、 都 隨 從 那 第 二 位 、 就 是 起 來 代 替 老 王 的 少 年 人 。
Dân phục dưới quyền người thật đông vô số; dầu vậy, những kẻ đến sau sẽ chẳng vui thích về người. Điều đó cũng là sự hư không, theo luồng gió thổi.|他 所 治 理 的 眾 人 、 就 是 他 的 百 姓 、 多 得 無 數 ． 在 他 後 來 的 人 、 尚 且 不 喜 悅 他 ． 這 真 是 虛 空 、 也 是 捕 風 。

					Giảng Sư 5				|
						傳道書 5					
Khi người vào nhà Đức Chúa Trời, hãy giữ chừng chơn mình. Thà lại gần mà nghe, hơn là dâng của tế lễ kẻ ngu muội; vì nó không hiểu biết mình làm ác.|你 到 　 神 的 殿 、 要 謹 慎 腳 步 ． 因 為 近 前 聽 、 勝 過 愚 昧 人 獻 祭 、 〔 或 作 勝 過 獻 愚 昧 人 的 祭 〕 、 他 們 本 不 知 道 所 作 的 是 惡 。
Chớ vội mở miệng ra, và lòng ngươi chớ lật đật nói lời trước mặt Đức Chúa Trời; vì Đức Chúa Trời ở trên trời, còn ngươi ở dưới đất. Vậy nên ngươi khá ít lời.|你 在 　 神 面 前 不 可 冒 失 開 口 、 也 不 可 心 急 發 言 ． 因 為 　 神 在 天 上 、 你 在 地 下 、 所 以 你 的 言 語 要 寡 少 。
Hễ nhiều sự lo lắng ắt sanh ra chiêm bao; còn nhiều lời thì sanh ra sự ngu dại.|事 務 多 、 就 令 人 作 夢 、 言 語 多 、 就 顯 出 愚 昧 。
Khi ngươi khấn hứa sự gì với Đức Chúa Trời, chớ chậm mà hoàn nguyện; vì Ngài chẳng vui thích kẻ dại: vậy, khá trả điều gì ngươi hứa.|你 向 　 神 許 願 、 償 還 不 可 遲 延 ． 因 他 不 喜 悅 愚 昧 人 ． 所 以 你 許 的 願 應 當 償 還 。
Thà đừng khấn hứa, hơn là khấn hứa mà lại không trả.|你 許 願 不 還 、 不 如 不 許 。
Đừng cho miệng ngươi làm cho xác thịt mình phạm tội, và chớ nói trước mặt sứ giả của Đức Chúa Trời rằng ấy là lầm lỗi. Sao làm cho Đức Chúa Trời nổi giận vì lời nói ngươi, và Ngài làm hư công việc của tay ngươi?|不 可 任 你 的 口 使 肉 體 犯 罪 ． 也 不 可 在 祭 司 〔 原 文 作 使 者 〕 面 前 說 是 錯 許 了 ． 為 何 使 　 神 因 你 的 聲 音 發 怒 、 敗 壞 你 手 所 作 的 呢 。
Đâu có chiêm bao vô số và nhiều lời quá, đó cũng có sự hư không nhiều; song ngươi hãy kính sợ Đức Chúa Trời.|多 夢 和 多 言 、 其 中 多 有 虛 幻 ． 你 只 要 敬 畏 　 神 。
Khi ngươi thấy trong xứ có kẻ nghèo bị hà hiếp, hoặc thấy sự phạm đến lẽ chánh trực, sự trái phép công bình, thì chớ lấy làm lạ; vì có kẻ cao hơn kẻ cao vẫn coi chừng, lại còn có Đấng cao hơn nữa.|你 若 在 一 省 之 中 見 窮 人 受 欺 壓 、 並 奪 去 公 義 公 平 的 事 、 不 要 因 此 詫 異 ． 因 有 一 位 高 過 居 高 位 的 鑒 察 ． 在 他 們 以 上 還 有 更 高 的 。
Song một vua hay cày cấy ruộng, ấy vẫn ích lợi cho xứ mọi bề.|況 且 地 的 益 處 歸 眾 人 ． 就 是 君 王 也 受 田 地 的 供 應 。
Kẻ tham tiền bạc chẳng hề chán lắc tiền bạc; kẻ ham của cải chẳng hề chán về hoa lợi. Điều đó cũng là sự hư không.|貪 愛 銀 子 的 、 不 因 得 銀 子 知 足 ． 貪 愛 豐 富 的 、 也 不 因 得 利 益 知 足 ． 這 也 是 虛 空 。
Hễ của cải thêm nhiều chừng nào, kẻ ăn cũng thêm nhiều chừng nấy. Chủ của cải được ích gì hơn là xem thấy nó trước mặt chăng?|貨 物 增 添 、 喫 的 人 也 增 添 ． 物 主 得 甚 麼 益 處 呢 、 不 過 眼 看 而 已 。
Giấc ngủ của người làm việc là ngon, mặc dầu người ăn ít hay nhiều; nhưng sự chán lắc làm cho người giàu không ngủ được.|勞 碌 的 人 、 不 拘 喫 多 喫 少 、 睡 得 香 甜 ． 富 足 人 的 豐 滿 、 卻 不 容 他 睡 覺 。
Có một tai nạn dữ mà ta đã thấy dưới mặt trời: ấy là của cải mà người chủ dành chứa lại, trở làm hại cho mình,|我 見 日 光 之 下 、 有 一 宗 大 禍 患 、 就 是 財 主 積 存 貲 財 、 反 害 自 己 ．
hoặc vì cớ tai họa gì, cả của cải nầy phải mất hết; nếu người chủ sanh một con trai, thì để lại cho nó hai tay không.|因 遭 遇 禍 患 、 這 些 貲 財 就 消 滅 ． 那 人 若 生 了 兒 子 、 手 裡 也 一 無 所 有 。
Mình lọt ra khỏi lòng mẹ trần truồng thể nào, ắt sẽ trở về thể ấy, và về các huê lợi của sự lao khổ mình, chẳng có vậy gì tay mình đem theo được.|他 怎 樣 從 母 胎 赤 身 而 來 、 也 必 照 樣 赤 身 而 去 ． 他 所 勞 碌 得 來 的 、 手 中 分 毫 不 能 帶 去 。
Điều nầy cũng là một tai nạn lớn: người ra đời thể nào, ắt phải trở về thể ấy. Vậy, chịu lao khổ đặng theo luồng gió thổi, có ích lợi gì chăng?|他 來 的 情 形 怎 樣 、 他 去 的 情 形 也 怎 樣 ． 這 也 是 一 宗 大 禍 患 ． 他 為 風 勞 碌 有 甚 麼 益 處 呢 。
Lại trọn đời mình ăn trong sự tối tăm, phải nhiều sự buồn rầu đau đớn và phiền não.|並 且 他 終 身 在 黑 暗 中 喫 喝 、 多 有 煩 惱 、 又 有 病 患 嘔 氣 。
