
					Na-hum 1				|
Kẻ tàn phá đã đến nghịch cũng ngươi; hãy giữ đồn lũy, canh phòng đường sá, thắt chặt lưng ngươi, và thâu góp cả sức mạnh ngươi!|尼 尼 微 阿 、 那 打 碎 邦 國 的 上 來 攻 擊 你 ． 你 要 看 守 保 障 、 謹 防 道 路 、 使 腰 強 壯 、 大 大 勉 力 。
Vì Đức Giê-hô-va khôi phục sự vinh hiển của Gia-cốp như sự vinh hiển của Y-sơ-ra-ên, bởi những kẻ bóc lột đã bóc lột chúng nó, và đã phá hại những nhành nho chúng nó.|耶 和 華 復 興 雅 各 的 榮 華 、 好 像 以 色 列 的 榮 華 一 樣 ． 因 為 使 地 空 虛 的 、 已 經 使 雅 各 和 以 色 列 空 虛 、 將 他 們 的 葡 萄 枝 毀 壞 了 。
Thuẫn của những người mạnh là đỏ, những lính chiến nó mặc áo màu điều; trong ngày nó dàn trận, gang thép của xe cộ sẽ lòe ra như lửa, và gươm giáo đều lay động.|他 勇 士 的 盾 牌 是 紅 的 、 精 兵 都 穿 朱 紅 衣 服 ． 在 他 豫 備 爭 戰 的 日 子 、 戰 車 上 的 鋼 鐵 閃 爍 如 火 、 柏 木 把 的 槍 、 也 掄 起 來 了 ．
Những xe đi hỗn độn trong đường phố, và chạy đi chạy lại trong các đường rộng, thấy nó như những ngọn đuốc, và chạy như chớp!|車 輛 在 街 上 〔 或 作 城 外 〕 急 行 、 在 寬 闊 處 奔 來 奔 去 、 形 狀 如 火 把 、 飛 跑 如 閃 電 。
Nó nhớ lại những người mạnh dạn của mình, nhưng chúng nó bước đi vấp váp; chúng vội vả đến nơi vách thành nó, sắm sẵn để chống cự.|尼 尼 微 王 招 聚 他 的 貴 冑 ． 他 們 步 行 絆 跌 、 速 上 城 牆 、 豫 備 擋 牌 。
Các cửa sông mở ra, điên dại tan mất?|河 閘 開 放 、 宮 殿 沖 沒 。
Đã nhứt định: hoàng hậu bị bóc lột và bị bắt đi; các nàng hầu hạ người đi theo, rên siếc như bò câu, và đấm ngực mình.|王 后 蒙 羞 、 被 人 擄 去 ． 宮 女 搥 胸 、 哀 鳴 如 鴿 ． 此 乃 命 定 之 事 。
Vả, Ni-ni-ve, từ lâu nay nó đã như ao chứa nước. Nhưng bây giờ chúng nó chạy trốn! Có kẻ kêu rằng: Hãy đứng, hãy đứng! Song không ai quay lại!|尼 尼 微 自 古 以 來 充 滿 人 民 、 如 同 聚 水 的 池 子 ． 現 在 居 民 卻 都 逃 跑 ． 雖 有 人 呼 喊 說 、 站 住 、 站 住 、 卻 無 人 回 顧 。
Hãy cướp bạc, cướp vàng; vì của báu nó vô ngần, mọi đồ đạc quí nhiều vô số.|你 們 搶 掠 金 銀 罷 。 因 為 所 積 蓄 的 無 窮 、 華 美 的 寶 器 無 數 。
Nó đã bị tàn phá, trống không, và hủy hoại hết; lòng chúng nó tan chảy; đầu gối chúng nó chạm nhau; mọi lưng đều đau, hết thảy mặt đều xám ngắt.|尼 尼 微 現 在 空 虛 荒 涼 、 人 心 消 化 、 雙 膝 相 碰 、 腰 都 疼 痛 、 臉 都 變 色 。
Nào cái hang của sư tử, và nơi mà sư tử con nuôi nấng, là nơi sư tử đực, sư tử cái và con nó bước đi, mà không ai làm cho chúng nó sợ hãi bây giờ ở đâu?|獅 子 的 洞 和 少 壯 獅 子 餧 養 之 處 在 那 裡 呢 、 公 獅 母 獅 小 獅 遊 行 無 人 驚 嚇 之 地 在 那 裡 呢 。
Sư tử đực xé đủ mồi cho con nó, và bóp mồi cho sư tử cái, hang nó đầy mồi, ổ nó đầy của đã bắt được.|公 獅 為 小 獅 撕 碎 許 多 食 物 、 為 母 獅 掐 死 活 物 、 把 撕 碎 的 掐 死 的 充 滿 牠 的 洞 穴 。
Đức Giê-hô-va vạn quân phán rằng: Nầy, ta nghịch cùng ngươi, sẽ đốt xe cộ ngươi, và làm cho tan ra khỏi; gươm sẽ nuốt những sư tử con của ngươi; ta sẽ dứt mồi ngươi khỏi đất; và tiếng của những sứ giả ngươi sẽ không nghe nữa.|萬 軍 之 耶 和 華 說 、 我 與 你 為 敵 、 必 將 你 的 車 輛 焚 燒 成 煙 、 刀 劍 也 必 吞 滅 你 的 少 壯 獅 子 。 我 必 從 地 上 除 滅 你 所 撕 碎 的 、 你 使 者 的 聲 音 、 必 不 再 聽 見 。

					Na-hum 3				|
						那鴻書 3					
Khốn thay cho thành đổ máu! Nó đầy dẫy những sự dối trá và cường bạo, cướp bóc không thôi.|禍 哉 、 這 流 人 血 的 城 、 充 滿 謊 詐 和 強 暴 搶 奪 的 事 總 不 止 息 。
Người ta nghe tăm roi, tiếng ầm của bánh xe; ngựa thì phóng đại, xe thì chạy mau.|鞭 聲 響 亮 、 車 輪 轟 轟 、 馬 匹 踢 跳 、 車 輛 奔 騰 、
Những lính kỵ sấn tới; gươm sáng lòe, giáo nhấp nháng. Có đoàn đông kẻ bị giết, có từng đống thây lớn, xác chết nhiều vô số! Người ta vấp ngã trên những thây!|馬 兵 爭 先 、 刀 劍 發 光 、 槍 矛 閃 爍 、 被 殺 的 甚 多 、 屍 首 成 了 大 堆 、 屍 骸 無 數 、 人 碰 著 而 跌 倒 、
Đó là vì cớ rất nhiều sự dâm đãng của con đĩ tốt đẹp khéo làm tà thuật ấy; nó bán các nước bởi sự dâm đãng, và bán các họ hàng bởi sự tà thuật.|都 因 那 美 貌 的 妓 女 多 有 淫 行 、 慣 行 邪 術 、 藉 淫 行 誘 惑 列 國 、 用 邪 術 誘 惑 多 族 〔 誘 惑 原 文 作 賣 〕
Đức Giê-hô-va vạn quân phán: Nầy, ta nghịch cũng ngươi; ta lột áo xống ngươi, phô bày sự trần truồng ngươi ra cho các dân tộc, và tỏ sự xấu hổ ngươi ra cho các nước.|萬 軍 之 耶 和 華 說 、 我 與 你 為 敵 ． 我 必 揭 起 你 的 衣 襟 、 蒙 在 你 臉 上 、 使 列 國 看 見 你 的 赤 體 、 使 列 邦 觀 看 你 的 醜 陋 。
Ta sẽ ném sự ô uế gớm ghiếc của ngươi trên ngươi, làm cho ngươi nên khinh hèn, làm trò cho mọi ngươi xem.|我 必 將 可 憎 污 穢 之 物 拋 在 你 身 上 、 辱 沒 你 、 為 眾 目 所 觀 。
Xảy ra có ai thấy ngươi thì sẽ lánh xa và nói rằng: Ni-ni-ve đã hoang vu! Ai sẽ có lòng thương xót người? Ta bởi đâu tìm cho ngươi những kẻ yên ủi?|凡 看 見 你 的 、 都 必 逃 跑 離 開 你 、 說 、 尼 尼 微 荒 涼 了 ． 有 誰 為 你 悲 傷 呢 ． 我 何 處 尋 得 安 慰 你 的 人 呢 。
Ngươi muốn hơn Nô -A-môn ở giữa các sông, nước bọc chung quanh, lấy biển làm đồn lũy, lấy biển làm vách thành hay sao?|你 豈 比 挪 亞 們 強 呢 ． 挪 亞 們 坐 落 在 眾 河 之 間 、 周 圍 有 水 ． 海 作 他 的 濠 溝 〔 海 指 尼 羅 河 〕 又 作 他 的 城 牆 。
Ê-thi-ô-bi và Ê-díp-tô là sức mạnh vô cùng của nó. Phút và Li-by là kẻ cứu giúp ngươi.|古 實 和 埃 及 是 他 無 窮 的 力 量 ． 弗 人 和 路 比 族 是 他 的 幫 手 。
Dầu vậy, chính nó cũng đã bị đày khỏi đất mình; bị bắt đi làm phu tù; con cái nó cũng đã bị nghiền nát nơi ngã ba các đường phố. Người ta đã ném thăm trên các kẻ cả nó, và các quan trưởng nó đều bị mang xiềng.|但 他 被 遷 移 、 被 擄 去 ． 他 的 嬰 孩 在 各 市 口 上 也 被 摔 死 ． 人 為 他 的 尊 貴 人 拈 鬮 ． 他 所 有 的 大 人 、 都 被 鍊 子 鎖 著 。
Ngươi cũng vậy, ngươi sẽ mê man vì say, sẽ được ẩn náu, và tìm nơi vững bền vì cớ kẻ thù.|你 也 必 喝 醉 、 必 被 埋 藏 ． 並 因 仇 敵 的 緣 故 尋 求 避 難 所 。
Hết thảy những đồn lũy ngươi như cây vả có trái chín đầu mùa, hễ lung lay thì rụng xuống trong miệng của kẻ muốn ăn nó.|你 一 切 保 障 必 像 無 花 果 樹 上 初 熟 的 無 花 果 ． 若 一 搖 撼 、 就 落 在 想 喫 之 人 的 口 中 。
Nầy, dân sự ngươi là đờn bà ở giữa ngươi. Các cửa thành của đất ngươi sẽ mở rộng cho quân thù ngươi; lửa đã thiêu nuốt những then ngươi!|你 地 上 的 人 民 、 如 同 婦 女 ． 你 國 中 的 關 口 、 向 仇 敵 敞 開 ． 你 的 門 閂 、 被 火 焚 燒 。
Ngươi khá múc nước để phòng cơn vây hãm, làm vững chắc đồn lũy ngươi. Khá đạp bùn, nhồi đất sét, và xây lại lò gạch!|你 要 打 水 豫 備 受 困 ． 要 堅 固 你 的 保 障 ． 踹 土 和 泥 、 修 補 磚 ? 。
Tại đó lửa sẽ thiêu ngươi, gươm sẽ diệt ngươi, nuốt ngươi như cào cào vậy, ngươi khá nhóm lại đông như cào cào, nhiều như châu chấu!|在 那 裡 火 必 燒 滅 你 ． 刀 必 殺 戮 你 、 吞 滅 你 如 同 蝻 子 ． 任 你 加 增 人 數 多 如 蝻 子 、 多 如 蝗 蟲 罷 。
Ngươi đã thêm kẻ buôn bán ngươi nhiều ra như sao trên trời; cào cào đã cắn phá hết rồi trốn đi.|你 增 添 商 賈 、 多 過 天 上 的 星 ． 蝻 子 喫 盡 而 去 。
Các quan trưởng ngươi như cào cào, các quan tướng ngươi như bầy châu chấu đậu trên hàng rào trong khi trời lạnh, đến chừng mặt trời mọc, nó đi mất, người ta không biết nó ở đâu.|你 的 首 領 多 如 蝗 蟲 、 你 的 軍 長 彷 彿 成 群 的 螞 蚱 、 天 涼 的 時 候 、 齊 落 在 籬 笆 上 、 日 頭 一 出 便 都 飛 去 、 人 不 知 道 落 在 何 處 。
Hỡi vua A-si-ri, những kẻ chăn của ngươi ngủ rồi! Những kẻ sang trọng của ngươi đều yên nghỉ; dân sự ngươi tan lạc nơi các núi, không ai nhóm họp chúng nó lại.|亞 述 王 阿 、 你 的 牧 人 睡 覺 、 你 的 貴 冑 安 歇 ． 你 的 人 民 散 在 山 間 、 無 人 招 聚 。
Vết thương ngươi không thuốc chữa, dấu vít ngươi rất hiểm nghèo; phàm kẻ nghe nói về ngươi đều vỗ tay trên ngươi; vì ai là kẻ chẳng từng chịu luôn sự hung ác của ngươi!|你 的 損 傷 無 法 醫 治 、 你 的 傷 痕 極 其 重 大 。 凡 聽 你 信 息 的 、 必 都 因 此 向 你 拍 掌 ． 你 所 行 的 惡 誰 沒 有 時 常 遭 遇 呢 。
