
					II Cô-rinh-tô 1				|
Con Đức Chúa Trời, là Đức Chúa Jêsus Christ, mà chúng ta tức là tôi với Sin-vanh và Ti-mô-thê, đã giảng ra trong anh em, chẳng phải là vừa phải vừa chăng đâu; nhưng trong Ngài chỉ có phải mà thôi.|因 為 我 和 西 拉 、 並 提 摩 太 、 在 你 們 中 間 所 傳 　 神 的 兒 子 耶 穌 基 督 、 總 沒 有 是 而 又 非 的 、 在 他 只 有 一 是 。
Vì chưng cũng như các lời hứa của Đức Chúa Trời đều là phải trong Ngài cả, ấy cũng bởi Ngài mà chúng tôi nói "A-men," làm sáng danh Đức Chúa Trời.|　 神 的 應 許 、 不 論 有 多 少 、 在 基 督 都 是 是 的 ． 所 以 藉 著 他 也 都 是 實 在 的 、 〔 實 在 原 文 作 阿 們 〕 叫 　 神 因 我 們 得 榮 耀 。
Vả, Đấng làm cho bền vững chúng tôi với anh em trong Đấng Christ, và đã xức dầu cho chúng tôi, ấy là Đức Chúa Trời;|那 在 基 督 裡 堅 固 我 們 和 你 們 、 並 且 膏 我 們 的 、 就 是 　 神 ．
Ngài cũng lấy ấn mình mà đóng cho chúng tôi và ban của tin Đức Thánh Linh trong lòng chúng tôi.|他 又 用 印 印 了 我 們 、 並 賜 聖 靈 在 我 們 心 裡 作 憑 據 。 〔 原 文 作 質 〕
Tôi cầu Đức Chúa Trời lấy linh hồn tôi làm chứng rằng, ấy là tại nể anh em mà tôi chưa đi đến thành Cô-rinh-tô;|我 呼 籲 　 神 給 我 的 心 作 見 證 、 我 沒 有 往 哥 林 多 去 是 為 要 寬 容 你 們 。
chớ không phải chúng tôi muốn cai trị đức tin anh em, nhưng chúng tôi muốn giúp thêm sự vui của anh em, vì anh em đứng vững vàng trong đức tin.|我 們 並 不 是 轄 管 你 們 的 信 心 、 乃 是 幫 助 你 們 的 快 樂 ． 因 為 你 們 憑 信 纔 站 立 得 住 。

					II Cô-rinh-tô 2				|
						哥林多後書 2					
Vậy, chính tôi đã quyết định không trở lại cùng anh em để làm cho anh em buồn rầu;|我 自 己 定 了 主 意 、 再 到 你 們 那 裡 去 、 必 須 大 家 沒 有 憂 愁 。
vì nếu tôi làm cho anh em buồn rầu, thì thể nào tôi được trông cậy sự vui bởi kẻ mà chính tôi đã làm cho buồn rầu?|倘 若 我 叫 你 們 憂 愁 、 除 了 我 叫 那 憂 愁 的 人 以 外 、 誰 能 叫 我 快 樂 呢 。
Tôi đã biết cho anh em như thế, hầu cho khi tôi đến nơi, sẽ không buồn bởi kẻ đáng làm tôi vui: tôi tin cậy ở hết thảy anh em rằng, anh em ai nấy đều lấy sự vui của tôi mà làm vui mình.|我 曾 把 這 事 寫 給 你 們 、 恐 怕 我 到 的 時 候 、 應 該 叫 我 快 樂 的 那 些 人 、 反 倒 叫 我 憂 愁 ． 我 也 深 信 、 你 們 眾 人 都 以 我 的 快 樂 為 自 己 的 快 樂 。
Vả, ấy là đương trong cơn khốn nạn lớn, tấm lòng quặn thắt, nước mắt dầm dề, mà tôi đã viết thơ cho anh em, nào phải để cho anh em âu sầu, nhưng để làm cho anh em biết tình yêu dấu riêng của tôi đối với anh em vậy.|我 先 前 心 裡 難 過 痛 苦 、 多 多 的 流 淚 、 寫 信 給 你 們 ． 不 是 叫 你 們 憂 愁 、 乃 是 叫 你 們 知 道 我 格 外 的 疼 愛 你 們 。
Nếu kẻ nào làm cớ buồn rầu, ấy chẳng phải chỉ làm cho tôi buồn rầu mà thôi, nhưng đã làm cho anh em thảy đều buồn rầu ít nhiều, tôi chẳng muốn nói quá làm gì.|若 有 叫 人 憂 愁 的 、 他 不 但 叫 我 憂 愁 、 也 是 叫 你 們 眾 人 有 幾 分 憂 愁 、 我 說 幾 分 、 恐 怕 說 得 太 重 。
Kẻ đó đã bị phần nhiều người trong anh em quở trách, ấy là đủ rồi;|這 樣 的 人 、 受 了 眾 人 的 責 罰 、 也 就 彀 了 ．
thà nay anh em tha thứ yên ủi, hầu cho người khỏi bị sa ngã vì sự buồn rầu quá lớn.|倒 不 如 赦 免 他 、 安 慰 他 、 免 得 他 憂 愁 太 過 、 甚 至 沉 淪 了 。
Vậy tôi xin anh em hãy bày tỏ lòng yêu thương đối với người đó.|所 以 我 勸 你 們 、 要 向 他 顯 出 堅 定 不 移 的 愛 心 來 。
Bởi chưng tôi viết thơ cho anh em, cốt để thử anh em xem có vâng lời trong cả mọi sự cùng chăng.|為 此 我 先 前 也 寫 信 給 你 們 、 要 試 驗 你 們 、 看 你 們 凡 事 順 從 不 順 從 。
Nhưng anh em tha thứ ai, thì tôi cũng tha thứ. Vả, nếu tôi đã tha, là vì anh em mà tha, ở trước mặt Đấng Christ,|你 們 赦 免 誰 、 我 也 赦 免 誰 、 我 若 有 所 赦 免 的 、 是 在 基 督 面 前 為 你 們 赦 免 的 ．
hầu đừng để cho quỉ Sa-tan thắng chúng ta, vì chúng ta chẳng phải là không biết mưu chước của nó.|免 得 撒 但 趁 著 機 會 勝 過 我 們 ． 因 我 們 並 非 不 曉 得 他 的 詭 計 。
Lại khi tôi đã đến thành Trô-ách đặng giảng Tin Lành của Đấng Christ, dầu Chúa đã mở cửa cho tôi ở đó,|我 從 前 為 基 督 的 福 音 到 了 特 羅 亞 、 主 也 給 我 開 了 門 。
mà vì tôi không gặp anh em tôi là Tít, nên chẳng được yên lòng. Vậy sau khi từ giã các tín đồ, thì tôi qua xứ Ma-xê-đoan.|那 時 因 為 沒 有 遇 見 兄 弟 提 多 、 我 心 裡 不 安 、 便 辭 別 那 裡 的 人 往 馬 其 頓 去 了 。
Song tạ ơn Đức Chúa Trời, Ngài làm cho chúng tôi được thắng trong Đấng Christ luôn luôn, và bởi chúng tôi, Ngài rải mùi thơm về sự nhận biết Ngài khắp chốn!|感 謝 　 神 、 常 帥 領 我 們 在 基 督 裡 誇 勝 、 並 藉 著 我 們 在 各 處 顯 揚 那 因 認 識 基 督 而 有 的 香 氣 。
Vì chúng tôi ở trước mặt Đức Chúa Trời là mùi thơm của Đấng Christ, ở giữa kẻ được cứu, và ở giữa kẻ bị hư mất;|因 為 我 們 在 　 神 面 前 、 無 論 在 得 救 的 人 身 上 、 或 滅 亡 的 人 身 上 、 都 有 基 督 馨 香 之 氣 。
cho kẻ nầy, mùi của sự chết làm cho chết; cho kẻ kia, mùi của sự sống làm cho sống. Ai xứng đáng cho những sự nầy?|在 這 等 人 、 就 作 了 死 的 香 氣 叫 他 死 ． 在 那 等 人 、 就 作 了 活 的 香 氣 叫 他 活 ． 這 事 誰 能 當 得 起 呢 。
Vả, chúng tôi chẳng giả mạo lời của Đức Chúa Trời như nhiều kẻ khác; nhưng chúng tôi lấy lòng chân thật, theo như đạo từ Đức Chúa Trời đến thể nào, thì giảng ra thể ấy trước mặt Đức Chúa Trời, trong Đấng Christ.|我 們 不 像 那 許 多 人 、 為 利 混 亂 　 神 的 道 ． 乃 是 由 於 誠 實 、 由 於 　 神 、 在 　 神 面 前 憑 著 基 督 講 道 。

					II Cô-rinh-tô 3				|
						哥林多後書 3					
Chúng tôi há lại bắt đầu tự phô mình, hay là như người khác cần có thơ gởi gắm cho anh em, hoặc nhờ thơ gởi gắm của anh em sao?|我 們 豈 是 又 舉 薦 自 己 麼 ． 豈 像 別 人 、 用 人 的 薦 信 給 你 們 、 或 用 你 們 的 薦 信 給 人 麼 。
Ay chính anh em là thơ gởi gắm của chúng tôi, viết trong lòng chúng tôi, mọi người đều biết và đều đọc.|你 們 就 是 我 們 的 薦 信 、 寫 在 我 們 的 心 裡 、 被 眾 人 所 知 道 所 念 誦 的 。
Vả, rõ thật rằng anh em là bức thơ của Đấng Christ, bởi chức vụ chúng tôi viết ra, chẳng phải viết bằng mực, nhưng bằng Thánh Linh của Đức Chúa Trời hằng sống, chẳng phải viết trên bảng đá, nhưng trên bảng thịt, tức là trên lòng anh em.|你 們 明 顯 是 基 督 的 信 、 藉 著 我 們 修 成 的 ． 不 是 用 墨 寫 的 、 乃 是 用 永 生 　 神 的 靈 寫 的 ． 不 是 寫 在 石 版 上 、 乃 是 寫 在 心 版 上 。
Nầy là sự tin chắc của chúng tôi nhờ Đấng Christ mà có trong Đức Chúa Trời:|我 們 因 基 督 所 以 在 　 神 面 前 纔 有 這 樣 的 信 心 ．
không phải tự mình chúng tôi có tài năng mà nghĩ việc gì như bởi chính mình chúng tôi, nhưng tài năng của chúng tôi đến từ Đức Chúa Trời;|並 不 是 我 們 憑 自 己 能 承 擔 甚 麼 事 、 我 們 所 能 承 擔 的 、 乃 是 出 於 　 神 ．
và ấy là Ngài đã ban tài năng cho chúng tôi giúp việc giao ước mới, chẳng phải giao ước về chữ, bèn là giao ước về Thánh Linh; vì chữ làm cho chết, song Thánh Linh làm cho sống.|他 叫 我 們 能 承 當 這 新 約 的 執 事 ． 不 是 憑 著 字 句 、 乃 是 憑 著 精 意 ． 因 為 那 字 句 是 叫 人 死 、 精 意 是 叫 人 活 。 〔 精 意 或 作 聖 靈 〕
Vả, nếu chức vụ về sự chết, chạm chữ trên bảng đá, đã là vinh hiển lắm đến nỗi con cái Y-sơ-ra-ên không có thể ngó trên mặt Môi-se, vì cớ sự sáng láng trên mặt người, dầu là tạm,|那 用 字 刻 在 石 頭 上 屬 死 的 職 事 、 尚 且 有 榮 光 、 甚 至 以 色 列 人 因 摩 西 面 上 的 榮 光 、 不 能 定 睛 看 他 的 臉 ． 這 榮 光 原 是 漸 漸 退 去 的 ．
phương chi chức vụ của Thánh Linh càng vinh hiển hơn biết bao!|何 況 那 屬 靈 的 職 事 、 豈 不 更 有 榮 光 麼 。
Vậy, nếu chức vụ về sự định tội còn được vinh hiển, thì chức vụ về sự công bình được vinh hiển hơn bội phần.|若 是 定 罪 的 職 事 有 榮 光 、 那 稱 義 的 職 事 、 榮 光 就 越 發 大 了 。
Vả lại, cái điều được bồi hoàn trong chức vụ thứ nhứt biến đi bởi sự vinh hiển rất cao hơn của chức vụ thứ nhì;|那 從 前 有 榮 光 的 、 因 這 極 大 的 榮 光 、 就 算 不 得 有 榮 光 了 ．
vì nếu sự phải qua đi còn có lúc vinh hiển thay, phương chi sự bền ở sẽ có vinh hiển dường nào nữa!|若 那 廢 掉 的 有 榮 光 、 這 長 存 的 就 更 有 榮 光 了 。
Vậy, chúng ta có sự trông cậy dường ấy, nên được rất tự do,|我 們 既 有 這 樣 的 盼 望 、 就 大 膽 講 說 、
chúng ta chẳng làm như Môi-se lấy màn che mặt mình, hầu cho con cái Y-sơ-ra-ên không trông thấy cuối cùng của sự sáng láng phải qua.|不 像 摩 西 將 帕 子 蒙 在 臉 上 、 叫 以 色 列 人 不 能 定 睛 看 到 那 將 廢 者 的 結 局 ．
Nhưng lòng họ đã cứng cỏi; vì đến ngày nay, khi họ đọc Cựu Ước, cái màn ấy vẫn còn chưa cất khỏi, bởi chưng ấy là trong Đấng Christ mà màn đó biến đi.|但 他 們 的 心 地 剛 硬 ． 直 到 今 日 誦 讀 舊 約 的 時 候 、 這 帕 子 還 沒 有 揭 去 ． 這 帕 子 在 基 督 裡 已 經 廢 去 了 。
Ay vậy, cho đến ngày nay, mỗi lần người ta đọc sách Môi-se cho họ, cái màn ấy vẫn còn ở trên lòng họ.|然 而 直 到 今 日 、 每 逢 誦 讀 摩 西 書 的 時 候 、 帕 子 還 在 他 們 心 上 。
Khi họ sẽ trở lại cùng Chúa, thì màn ấy mới cất khỏi.|但 他 們 的 心 幾 時 歸 向 主 、 帕 子 就 幾 時 除 去 了 。
Vả, Chúa tức là Thánh Linh, Thánh Linh của Chúa ở đâu, thì sự tự do cũng ở đó.|主 就 是 那 靈 、 主 的 靈 在 那 裡 、 那 裡 就 得 以 自 由 。
Chúng ta ai nấy đều để mặt trần mà nhìn xem vinh hiển Chúa như trong gương, thì hóa nên cũng một ảnh tượng Ngài, từ vinh hiển qua vinh hiển, như bởi Chúa, là Thánh Linh.|我 們 眾 人 既 然 敞 著 臉 、 得 以 看 見 主 的 榮 光 、 好 像 從 鏡 子 裡 返 照 、 就 變 成 主 的 形 狀 、 榮 上 加 榮 、 如 同 從 主 的 靈 變 成 的 。

					II Cô-rinh-tô 4				|
						哥林多後書 4					
Vậy nên, chúng tôi nhờ sự thương xót đã ban cho, mà được chức vụ nầy, thì chúng tôi chẳng ngã lòng;|我 們 既 然 蒙 憐 憫 、 受 了 這 職 分 、 就 不 喪 膽 ．
nhưng chúng tôi từ bỏ mọi điều hổ thẹn giấu kín. Chúng tôi chẳng theo sự dối gạt, và chẳng giả mạo lời Đức Chúa Trời, nhưng trước mặt Đức Chúa Trời chúng tôi tỏ bày lẽ thật, khiến lương tâm mọi người cho chúng tôi là đáng chuộng.|乃 將 那 些 暗 昧 可 恥 的 事 棄 絕 了 、 不 行 詭 詐 、 不 謬 講 　 神 的 道 理 ． 只 將 真 理 表 明 出 來 、 好 在 　 神 面 前 把 自 己 薦 與 各 人 的 良 心 。
Nếu Tin Lành của chúng tôi còn che khuất, là chỉ che khuất cho những kẻ hư mất,|如 果 我 們 的 福 音 蒙 蔽 、 就 是 蒙 蔽 在 滅 亡 的 人 身 上 。
cho những kẻ chẳng tin mà chúa đời nầy đã làm mù lòng họ, hầu cho họ không trông thấy sự vinh hiển chói lói của Tin Lành Đấng Christ, là ảnh tượng của Đức Chúa Trời.|此 等 不 信 之 人 、 被 這 世 界 的 　 神 弄 瞎 了 心 眼 、 不 叫 基 督 榮 耀 福 音 的 光 照 著 他 們 ． 基 督 本 是 　 神 的 像 。
Vả, chúng tôi chẳng rao giảng chính mình chúng tôi, nhưng rao giảng Đức Chúa Jêsus Christ, tức là Chúa; và vì tình yêu mến Đức Chúa Jêsus mà chúng tôi xưng mình là tôi tớ của anh em.|我 們 原 不 是 傳 自 己 、 乃 是 傳 基 督 耶 穌 為 主 、 並 且 自 己 因 耶 穌 作 你 們 的 僕 人 。
Vì Đức Chúa Trời, là Đấng có phán: Sự sáng phải soi từ trong sự tối tăm! đã làm cho sự sáng Ngài chói lòa trong lòng chúng tôi, đặng sự thông biết về vinh hiển Đức Chúa Trời soi sáng nơi mặt Đức Chúa Jêsus Christ.|那 吩 咐 光 從 黑 暗 裡 照 出 來 的 　 神 、 已 經 照 在 我 們 心 裡 、 叫 我 們 得 知 　 神 榮 耀 的 光 、 顯 在 耶 穌 基 督 的 面 上 。
Nhưng chúng tôi đựng của quí nầy trong chậu bằng đất, hầu cho tỏ quyền phép lớn dường ấy là bởi Đức Chúa Trời mà ra, chớ chẳng phải bởi chúng tôi.|我 們 有 這 寶 貝 放 在 瓦 器 裡 、 要 顯 明 這 莫 大 的 能 力 、 是 出 於 　 神 、 不 是 出 於 我 們 。
Chúng tôi bị ép đủ cách, nhưng không đến cùng; bị túng thế nhưng không ngã lòng;|我 們 四 面 受 敵 、 卻 不 被 困 住 ． 心 裡 作 難 、 卻 不 至 失 望 ．
bị bắt bớ, nhưng không đến bỏ; bị đánh đập, nhưng không đến chết mất.|遭 逼 迫 、 卻 不 被 丟 棄 ． 打 倒 了 、 卻 不 至 死 亡 ．
Chúng tôi thường mang sự chết của Đức Chúa Jêsus trong thân thể mình, hầu cho sự sống của Đức Chúa Jêsus cũng tỏ ra trong thân thể chúng tôi.|身 上 常 帶 著 耶 穌 的 死 、 使 耶 穌 的 生 、 也 顯 明 在 我 們 身 上 。
Bởi chúng tôi là kẻ sống, vì cớ Đức Chúa Jêsus mà hằng bị nộp cho sự chết, hầu cho sự sống của Đức Chúa Jêsus cũng được tỏ ra trong xác thịt hay chết của chúng tôi;|因 為 我 們 這 活 著 的 人 、 是 常 為 耶 穌 被 交 於 死 地 、 使 耶 穌 的 生 、 在 我 們 這 必 死 的 身 上 顯 明 出 來 。
vậy thì sự chết làm trong chúng tôi, còn sự sống trong anh em.|這 樣 看 來 、 死 是 在 我 們 身 上 發 動 、 生 卻 在 你 們 身 上 發 動 。
Vì chúng tôi có đồng một lòng tin, y như lời Kinh Thánh rằng: Ta đã tin, cho nên ta nói, cũng vậy, chúng tôi tin, cho nên mới nói,|但 我 們 既 有 信 心 、 正 如 經 上 記 著 說 、 『 我 因 信 、 所 以 如 此 說 話 。 』 我 們 也 信 、 所 以 也 說 話 ．
vì biết rằng Đấng đã khiến Đức Chúa Jêsus sống lại, cũng sẽ làm cho chúng tôi sống lại với Đức Chúa Jêsus, và làm cho chúng tôi ứng hầu với anh em trước mặt Ngài.|自 己 知 道 、 那 叫 主 耶 穌 復 活 的 、 也 必 叫 我 們 與 耶 穌 一 同 復 活 、 並 且 叫 我 們 與 你 們 一 同 站 在 他 面 前 。
Bởi chưng mọi điều đó xảy đến vì cớ anh em, hầu cho ân điển rải ra cách dư dật, khiến sự tạ ơn nơi nhiều người hơn cũng dư dật, mà thêm vinh hiển cho Đức Chúa Trời.|凡 事 都 是 為 你 們 、 好 叫 恩 惠 因 人 多 越 發 加 增 、 感 謝 格 外 顯 多 、 以 致 榮 耀 歸 與 　 神 。
Vậy nên chúng ta chẳng ngã lòng, dầu người bề ngoài hư nát, nhưng người bề trong cứ đổi mới càng ngày càng hơn.|所 以 我 們 不 喪 膽 ． 外 體 雖 然 毀 壞 、 內 心 卻 一 天 新 似 一 天 。
Vì sự hoạn nạn nhẹ và tạm của chúng ta sanh cho chúng ta sự vinh hiển cao trọng đời đời, vô lượng, vô biên,|我 們 這 至 暫 至 輕 的 苦 楚 、 要 為 我 們 成 就 極 重 無 比 永 遠 的 榮 耀 。
bởi chúng ta chẳng chăm sự thấy được; vì những sự thấy được chỉ là tạm thời, mà sự không thấy được là đời đời không cùng vậy.|原 來 我 們 不 是 顧 念 所 見 的 、 乃 是 顧 念 所 不 見 的 ． 因 為 所 見 的 是 暫 時 的 、 所 不 見 的 是 永 遠 的 。

					II Cô-rinh-tô 5				|
						哥林多後書 5					
Vả, chúng ta biết rằng nếu nhà tạm của chúng ta dưới đất đổ nát, thì chúng ta lại có nhà đời đời trên trời, bởi Đức Chúa Trời, không phải bởi tay người làm ra.|我 們 原 知 道 、 我 們 這 地 上 的 帳 棚 若 拆 毀 了 、 必 得 　 神 所 造 、 不 是 人 手 所 造 、 在 天 上 永 存 的 房 屋 。
Vì chúng ta thật than thở trong nhà tạm nầy, mà hết sức mong được mặc lấy nhà chúng ta từ trên trời,|我 們 在 這 帳 棚 裡 歎 息 、 深 想 得 那 從 天 上 來 的 房 屋 、 好 像 穿 上 衣 服 ．
miễn là gặp thấy chúng ta đang mặc áo, không trần truồng.|倘 若 穿 上 、 被 遇 見 的 時 候 就 不 至 於 赤 身 了 。
Bởi chưng chúng ta ở trong nhà tạm nầy, than thở dưới gánh nặng, vì chúng ta không cầu cho bị lột trần, song cầu cho được mặc lại, để sự gì hay chết trong chúng ta bị sự sống nuốt đi.|我 們 在 這 帳 棚 裡 、 歎 息 勞 苦 、 並 非 願 意 脫 下 這 個 、 乃 是 願 意 穿 上 那 個 、 好 叫 這 必 死 的 被 生 命 吞 滅 了 。
Đấng đã gây dựng chúng ta cho được sự ấy, ấy là Đức Chúa Trời, đã ban của tin của Đức Thánh Linh cho chúng ta.|為 此 培 植 我 們 的 就 是 　 神 、 他 又 賜 給 我 們 聖 靈 作 憑 據 。 〔 原 文 作 質 〕
Vậy, chúng ta hằng đầy lòng tin cậy, và biết rằng khi chúng ta đang ở trong thân thể nầy thì cách xa Chúa|所 以 我 們 時 常 坦 然 無 懼 、 並 且 曉 得 我 們 住 在 身 內 便 與 主 相 離 。
vì chúng ta bước đi bởi đức tin, chớ chẳng phải bởi mắt thấy.|因 我 們 行 事 為 人 、 是 憑 著 信 心 、 不 是 憑 著 眼 見 。
Vậy tôi nói, chúng ta đầy lòng tin cậy, muốn lìa bỏ thân thể nầy đặng ở cùng Chúa thì hơn.|我 們 坦 然 無 懼 、 是 更 願 意 離 開 身 體 與 主 同 住 。
Cho nên chúng ta dầu ở trong thân thể nầy, dầu ra khỏi, cũng làm hết sức để được đẹp lòng Chúa.|所 以 無 論 是 住 在 身 內 、 離 開 身 外 、 我 們 立 了 志 向 、 要 得 主 的 喜 悅 。
Bởi vì chúng ta thảy đều phải ứng hầu trước tòa án Đấng Christ, hầu cho mỗi người nhận lãnh tùy theo điều thiện hay điều ác mình đã làm lúc còn trong xác thịt.|因 為 我 們 眾 人 、 必 要 在 基 督 臺 前 顯 露 出 來 、 叫 各 人 按 著 本 身 所 行 的 、 或 善 或 惡 受 報 。
Vậy chúng tôi biết Chúa đáng kính sợ, nên tìm cách làm cho người ta đều tin; Đức Chúa Trời biết chúng tôi, và tôi mong anh em cũng biết chúng tôi trong lương tâm mình.|我 們 既 知 道 主 是 可 畏 的 、 所 以 勸 人 、 但 我 們 在 　 神 面 前 是 顯 明 的 、 盼 望 在 你 們 的 良 心 裡 也 是 顯 明 的 。
Chúng tôi chẳng lại phô mình cùng anh em, nhưng muốn trao cho anh em cái dịp khoe mình về chúng tôi, đặng anh em có thể đối đáp lại cùng những kẻ chỉ khoe mình về bề ngoài, mà không về sự trong lòng.|我 們 不 是 向 你 們 再 舉 薦 自 己 、 乃 是 叫 你 們 因 我 們 有 可 誇 之 處 、 好 對 那 憑 外 貌 不 憑 內 心 誇 口 的 人 、 有 言 可 答 。
