
					Xê-pha-ni-a 1				|
Đức Giê-hô-va phán: Trong ngày đó sẽ có tiếng kêu lớn nơi cửa cá, tiếng la lối nơi phố thứ hai, tiếng vỡ lở lớn nơi các đồi.|耶 和 華 說 當 那 日 從 魚 門 必 發 出 悲 哀 的 聲 音 、 從 二 城 發 出 哀 號 的 聲 音 、 從 山 間 發 出 大 破 裂 的 響 聲 。
Hỡi dân cư trong thành thấp, hãy than khóc; vì mọi kẻ buôn bán đã mòn mỏi, và mọi kẻ chở bạc đi đã bị diệt mất.|瑪 革 提 施 的 居 民 哪 、 你 們 要 哀 號 、 因 為 迦 南 的 商 民 都 滅 亡 了 ． 凡 搬 運 銀 子 的 都 被 剪 除 。
Trong lúc đó, ta sẽ dùng đèn đuốc lục soát trong Giê-ru-sa-lem, sẽ phạt những kẻ đọng trong cặn rượu và tự nói trong lòng mình rằng: Đức Giê-hô-va sẽ chẳng xuống phước cũng chẳng xuống họa.|那 時 、 我 必 用 燈 巡 查 耶 路 撒 冷 ． 我 必 懲 罰 那 些 如 酒 在 渣 滓 上 澄 清 的 ． 他 們 心 裡 說 、 耶 和 華 必 不 降 福 、 也 不 降 禍 。
Của cải chúng nó sẽ bị cướp, nhà cửa chúng nó sẽ hoang vu; chúng nó sẽ xây nhà mà không được ở, trồng nho mà không được uống rượu.|他 們 的 財 寶 、 必 成 為 掠 物 、 他 們 的 房 屋 、 必 變 為 荒 場 ． 他 們 必 建 造 房 屋 、 卻 不 得 住 在 其 內 、 栽 種 葡 萄 園 、 卻 不 得 喝 所 出 的 酒 。
Ngày lớn của Đức Giê-hô-va đã gần, đã gần rồi; nó đến rất kíp. Ngày của Đức Giê-hô-va có tiếng động; bấy giờ người mạnh dạn sẽ kêu khóc đắng cay.|耶 和 華 的 大 日 臨 近 、 臨 近 而 且 甚 快 、 乃 是 耶 和 華 日 子 的 風 聲 ． 勇 士 必 痛 痛 地 哭 號 。
Ngày ấy là ngày thạnh nộ, ngày hoạn nạn và buồn rầu, ngày hủy phá và hoang vu, ngày tối tăm và mờ mịt, ngày mây và sương mù,|那 日 、 是 忿 怒 的 日 子 、 是 急 難 困 苦 的 日 子 、 是 荒 廢 淒 涼 的 日 子 、 是 黑 暗 、 幽 冥 、 密 雲 、 烏 黑 的 日 子 、
ngày mà tiếng kèn và tiếng báo giặc nghịch cùng các thành bền vững và các tháp cao góc thành.|是 吹 角 吶 喊 的 日 子 、 要 攻 擊 堅 固 城 、 和 高 大 的 城 樓 。
Ta sẽ đem sự hoạn nạn trên loài người, chúng nó sẽ đi như kẻ mù, vì đã phạm tội nghịch cùng Đức Giê-hô-va; máu chúng nó sẽ đổ ra như bụi, và thịt như phân.|我 必 使 災 禍 臨 到 人 身 上 、 使 他 們 行 走 如 同 瞎 眼 的 、 因 為 得 罪 了 我 ． 他 們 的 血 、 必 倒 出 如 灰 塵 、 他 們 的 肉 、 必 拋 棄 如 糞 土 。
Hoặc bạc hoặc vàng của chúng nó, đều không có thể giải cứu chúng nó trong ngày thạnh nộ của Đức Giê-hô-va; nhưng cả đất nầy sẽ bị lửa ghen Ngài thiêu nuốt; vì Ngài sẽ diệt hết dân cư đất nầy cách thình lình.|當 耶 和 華 發 怒 的 日 子 、 他 們 的 金 銀 不 能 救 他 們 ． 他 的 忿 怒 如 火 、 必 燒 滅 全 地 、 毀 滅 這 地 的 一 切 居 民 、 而 且 大 大 毀 滅 。

					Xê-pha-ni-a 2				|
						西番雅書 2					
Hỡi dân chẳng biết xấu hổ! hãy nhóm hiệp lại, phải, hãy nhóm hiệp lại,|不 知 羞 恥 的 國 民 哪 、 你 們 應 當 聚 集 ． 趁 命 令 沒 有 發 出 、 日 子 過 去 如 風 前 的 糠 、 耶 和 華 的 烈 怒 未 臨 到 你 們 、 他 發 怒 的 日 子 未 到 以 先 、 你 們 應 當 聚 集 前 來 。
trước khi mạng lịnh chưa ra, ngày giờ chưa qua như trấu, trước khi sự nóng giận của Đức Giê-hô-va chưa đến trên các ngươi, trước khi ngày thạnh nộ của Đức Giê-hô-va chưa đến trên các ngươi.|見 上 節
Hỡi các ngươi là mọi kẻ nhu mì của đất, làm theo mạng lịnh của Chúa, hãy tìm kiếm Đức Giê-hô-va, tìm kiếm sự công bình, tìm kiếm sự nhu mì, hoặc giả các ngươi sẽ được giấu kín trong ngày thạnh nộ của Đức Giê-hô-va.|世 上 遵 守 耶 和 華 典 章 的 謙 卑 人 哪 、 你 們 都 當 尋 求 耶 和 華 ． 當 尋 求 公 義 謙 卑 、 或 者 在 耶 和 華 發 怒 的 日 子 、 可 以 隱 藏 起 來 。
Thật vậy, Ga-xa sẽ bỏ hoang, Ach-ca-lôn sẽ hoang vu; người ta sẽ đuổi dân cư Ach-đốt đương lúc giữa trưa, và Ec-rôn sẽ bị nhổ đi.|迦 薩 必 致 見 棄 ． 亞 實 基 倫 必 然 荒 涼 ． 人 在 正 午 必 趕 出 亞 實 突 的 民 ． 以 革 倫 也 被 拔 出 根 來 。
Khốn thay cho dân cư ở miền biển, tức là dân tộc Cơ-rết! Hỡi Ca-na-an là đất của người Phi-li-tin, lời của Đức Giê-hô-va cũng nghịch cùng các ngươi; ta sẽ hủy diệt ngươi cho đến không còn dân cư nữa.|住 沿 海 之 地 的 基 利 提 族 有 禍 了 ． 迦 南 非 利 士 人 之 地 阿 、 耶 和 華 的 話 與 你 反 對 、 說 、 我 必 毀 滅 你 、 以 致 無 人 居 住 。
Miền biển sẽ trở nên đồng cỏ, với những lều của kẻ chăn và chuồng của bầy chiên.|沿 海 之 地 要 變 為 草 場 、 其 上 有 牧 人 的 住 處 和 羊 群 的 圈 。
Miền ấy sẽ thuộc về phần sót lại của nhà Giu-đa; chúng nó sẽ chăn trong các nơi đó, ban tối sẽ nghỉ trong các nhà của Ach-ca-lôn; vì Giê-hô-va Đức Chúa Trời chúng nó sẽ thăm viếng chúng nó, và đem phu tù chúng nó trở về.|這 地 必 為 猶 大 家 剩 下 的 人 所 得 ． 他 們 必 在 那 裡 牧 放 群 羊 ． 晚 上 必 躺 臥 在 亞 實 基 倫 的 房 屋 中 ． 因 為 耶 和 華 他 們 的 　 神 、 必 眷 顧 他 們 、 使 他 們 被 擄 的 人 歸 回 。
Ta đã nghe lời Mô-áp chế báng, lời con cái Am-môn sỉ nhục, chúng nó xỉ vả dân ta, khoe mình nghịch cùng bờ cõi nó.|我 聽 見 摩 押 人 的 毀 謗 、 和 亞 捫 人 的 辱 罵 、 就 是 毀 謗 我 的 百 姓 、 自 誇 自 大 、 侵 犯 他 們 的 境 界 。
Vậy nên, Đức Giê-hô-va vạn quân, tức là Đức Chúa Trời của Y-sơ-ra-ên, phán rằng: Thật như ta hằng sống, Mô-áp chắc sẽ giống như Sô-đôm và con cái Am-môn sẽ giống như Gô-mô-rơ, thành ra một nơi đầy gai gốc, một hầm muối, một chỗ hoang vu đời đời; những kẻ sống sót của dân ta sẽ cướp bóc chúng nó, phần sót lại của dân ta sẽ được chúng nó làm sản nghiệp.|萬 軍 之 耶 和 華 以 色 列 的 　 神 說 、 我 指 著 我 的 永 生 起 誓 、 摩 押 必 像 所 多 瑪 、 亞 捫 人 必 像 蛾 摩 拉 、 都 變 為 刺 草 、 鹽 坑 、 永 遠 荒 廢 之 地 。 我 百 姓 所 剩 下 的 必 擄 掠 他 們 、 我 國 中 所 餘 剩 的 必 得 著 他 們 的 地 。
Điều đó xảy đến cho chúng nó vì chúng nó kiêu ngạo, xỉ vả và khoe mình nghịch cùng dân của Đức Giê-hô-va vạn quân.|這 事 臨 到 他 們 是 、 因 他 們 驕 傲 、 自 誇 自 大 、 毀 謗 萬 軍 之 耶 和 華 的 百 姓 。
Đức Giê-hô-va sẽ tỏ ra là đáng sợ cho chúng nó; vì Ngài sẽ làm cho các thần trên đất chịu đói; và người ta ai nầy sẽ từ nơi mình thờ lạy Ngài, dầu hết thảy các cù lao các nước cũng vậy.|耶 和 華 必 向 他 們 顯 可 畏 之 威 ． 因 他 必 叫 世 上 的 諸 神 瘦 弱 、 列 國 海 島 的 居 民 、 各 在 自 己 的 地 方 敬 拜 他 。
Hỡi dân cư Ê-thi-ô-bi, các ngươi cũng sẽ bị đâm bởi gươm ta.|古 實 人 哪 、 你 們 必 被 我 的 刀 所 殺 。
Đoạn, Đức Giê-hô-va sẽ giang tay về phía bắc, sẽ hủy diệt A-si-ri, làm cho Ni-ni-ve hoang vu, thành ra một chỗ khô khan như đồng vắng.|耶 和 華 必 伸 手 攻 擊 北 方 、 毀 滅 亞 述 、 使 尼 尼 微 荒 涼 、 又 乾 旱 如 曠 野 。
Những bầy thú vật sẽ nằm ở giữa nó; hết thảy các loài thú khác, cả đến chim bò nông và con nhím cũng ở trên những đầu trụ nó. Tiếng chim kêu nghe nơi cửa sổ, sự hoang vu ở nơi ngạch cửa, và những mái gỗ bá hương đã bị dỡ đi.|群 畜 、 就 是 各 國 的 走 獸 、 〔 國 或 作 類 〕 必 臥 在 其 中 ． 鵜 鶘 和 箭 豬 要 宿 在 柱 頂 上 ． 在 窗 戶 內 有 鳴 叫 的 聲 音 ． 門 檻 都 必 毀 壞 ． 香 柏 木 已 經 露 出 。
Kìa, thành vui vẻ nầy đã ở yên không lo lắng và nói trong lòng mình rằng: Ta đây, ngoài ta không còn ai hết! Nó đã trở nên hoang vu, làm chỗ nằm cho loài thú vật là dường nào! Phàm kẻ đi qua sẽ khoa tay mà nhạo cười!|這 是 素 來 歡 樂 安 然 居 住 的 城 、 心 裡 說 、 惟 有 我 、 除 我 以 外 再 沒 有 別 的 ． 現 在 何 竟 荒 涼 、 成 為 野 獸 躺 臥 之 處 ． 凡 經 過 的 人 都 必 搖 手 嗤 笑 他 。

					Xê-pha-ni-a 3				|
						西番雅書 3					
Khốn thay cho thành bạn nghịch và ô uế, làm sự bạo ngược!|這 悖 逆 污 穢 欺 壓 的 城 、 有 禍 了 。
Nó không nghe lời; không chịu sửa dạy; không nhờ cậy Đức Giê-hô-va; không đến gần Đức Chúa Trời mình.|他 不 聽 從 命 令 、 不 領 受 訓 誨 、 不 倚 靠 耶 和 華 、 不 親 近 他 的 　 神 。
Các quan trưởng ở giữa nó như sư tử gầm thét, các quan xét nó như muông sói ban đêm, không để dành chi lại đến sáng mai.|他 中 間 的 首 領 是 咆 哮 的 獅 子 ． 他 的 審 判 官 是 晚 上 的 豺 狼 、 一 點 食 物 、 也 不 留 到 早 晨 。
Các kẻ tiên tri nó đều là càn dỡ dối trá; các thầy tế lễ nó làm ô uế nơi thánh, và làm quanh quẹo luật pháp.|他 的 先 知 是 虛 浮 詭 詐 的 人 ． 他 的 祭 司 褻 瀆 聖 所 、 強 解 律 法 。
Đức Giê-hô-va ở giữa nó là công bình, chẳng hề làm sự gian ác; mỗi buổi mai Ngài tỏ sự công bình mình ra giữa sự sáng, chẳng hề cách dứt; song kẻ bất nghĩa chẳng biết xấu hổ.|耶 和 華 在 他 中 間 是 公 義 的 、 斷 不 作 非 義 的 事 、 每 早 晨 顯 明 他 的 公 義 、 無 日 不 然 ． 只 是 不 義 的 人 不 知 羞 恥 。
Ta đã diệt các dân tộc, tháp góc thành chúng nó đều hoang vu. Ta làm cho phố chợ nó ra vắng vẻ, đến nỗi không ai đi qua. Thành nó đã bị phá diệt, không còn một người nào, và chẳng có ai ở đó.|我 耶 和 華 已 經 除 滅 列 國 的 民 ． 他 們 的 城 樓 毀 壞 ． 我 使 他 們 的 街 道 荒 涼 、 以 致 無 人 經 過 ． 他 們 的 城 邑 毀 滅 、 以 致 無 人 、 也 無 居 民 。
Ta đã bảo rằng: Ngươi chỉ nên kính sợ ta, chịu sửa dạy, thì chỗ ở nó sẽ không bị dứt đi, theo mọi sự ta đã định về nó. Nhưng chúng nó chổi dậy sớm, làm bại hoại mọi công việc mình.|我 說 、 你 只 要 敬 畏 我 、 領 受 訓 誨 ． 如 此 、 你 的 住 處 、 不 致 照 我 所 擬 定 的 除 滅 ． 只 是 你 們 從 早 起 來 、 就 在 一 切 事 上 敗 壞 自 己 。
Vậy nên, Đức Giê-hô-va phán: Các ngươi khá đợi ta cho đến ngày ta sẽ dấy lên đặng cướp bắt; vì ta đã định thâu góp các dân tộc và nhóm hiệp các nước, hầu cho ta đổ sự thạnh nộ và cả sự nóng giận ta trên chúng nó, và cả đất sẽ bị nuốt bởi lửa ghen ta.|耶 和 華 說 、 你 們 要 等 候 我 、 直 到 我 興 起 擄 掠 的 日 子 、 因 為 我 已 定 意 招 聚 列 國 、 聚 集 列 邦 、 將 我 的 惱 怒 、 就 是 我 的 烈 怒 、 都 傾 在 他 們 身 上 ． 我 的 忿 怒 如 火 、 必 燒 滅 全 地 。
Vì bấy giờ ta sẽ ban môi miếng thanh sạch cho các dân, hầu cho chúng nó thảy đều kêu cầu danh Đức Giê-hô-va, đặng một lòng hầu việc Ngài.|那 時 、 我 必 使 萬 民 用 清 潔 的 言 語 、 好 求 告 我 耶 和 華 的 名 、 同 心 合 意 地 事 奉 我 。
Những kẻ cầu khẩn ta, tức là con gái của kẻ tan lạc ta ở bên kia các sông Ê-thi-ô-bi, sẽ đem dâng lễ vật cho ta.|祈 禱 我 的 、 就 是 我 所 分 散 的 民 、 〔 原 文 作 女 子 下 同 〕 必 從 古 實 河 外 來 、 給 我 獻 供 物 。
Trong ngày đó, ngươi sẽ không còn xấu hổ vì cớ mọi việc mình làm, là những việc đã phạm tội nghịch cùng ta; vì bấy giờ ta sẽ cất bỏ kẻ vui sướng kiêu ngạo khỏi giữa ngươi; rày về sau ngươi sẽ không còn kiêu ngạo trên núi thánh ta nữa.|當 那 日 你 必 不 因 你 一 切 得 罪 我 的 事 、 自 覺 羞 愧 ． 因 為 那 時 我 必 從 你 中 間 除 掉 矜 誇 高 傲 之 輩 、 你 也 不 再 於 我 的 聖 山 狂 傲 。
Ta sẽ để sót lại ở giữa ngươi một dân khốn cùng nghèo thiếu, nó sẽ ẩn náu trong danh Đức Giê-hô-va.|我 卻 要 在 你 中 間 、 留 下 困 苦 貧 寒 的 民 ． 他 們 必 投 靠 我 耶 和 華 的 名 。
Những kẻ sót lại của Y-sơ-ra-ên sẽ không làm sự gian ác, không nói dối, không có lưỡi phỉnh gạt trong miệng chúng nó; vì chúng nó sẽ ăn và nằm ngủ, không ai làm cho kinh hãi.|以 色 列 所 剩 下 的 人 、 必 不 作 罪 孽 、 不 說 謊 言 、 口 中 也 沒 有 詭 詐 的 舌 頭 ． 而 且 喫 喝 躺 臥 、 無 人 驚 嚇 。
Hỡi con gái Si-ôn, hãy hát! Hỡi Y-sơ-ra-ên, hãy kêu la! Hỡi con gái Giê-ru-sa-lem, hãy hết lòng mừng rỡ và vui thích!|錫 安 的 民 哪 、 應 當 歌 唱 ． 以 色 列 阿 、 應 當 歡 呼 。 耶 路 撒 冷 的 民 哪 、 應 當 滿 心 歡 喜 快 樂 。
Đức Giê-hô-va đã trừ bỏ sự phán xét ngươi, khiến kẻ thù nghịch cách xa ngươi; Vua của Y-sơ-ra-ên, tức là Đức Giê-hô-va, ở giữa ngươi, ngươi sẽ không gặp tai vạ nữa.|耶 和 華 已 經 除 去 你 的 刑 罰 、 趕 出 你 的 仇 敵 ． 以 色 列 的 王 耶 和 華 在 你 中 間 、 你 必 不 再 懼 怕 災 禍 。
Trong ngày đó, người ta sẽ nói cùng Giê-ru-sa-lem rằng: Hỡi Si-ôn! chớ sợ, tay ngươi chớ yếu đuối!|當 那 日 、 必 有 話 向 耶 路 撒 冷 說 、 不 要 懼 怕 。 錫 安 哪 、 不 要 手 軟 。
Giê-hô-va Đức Chúa Trời ngươi ở giữa ngươi; Ngài là Đấng quyền năng sẽ giải cứu ngươi: Ngài sẽ vui mừng cả thể vì cớ ngươi; vì lòng yêu thương mình, Ngài sẽ nín lặng; và vì cớ ngươi Ngài sẽ ca hát mừng rỡ.|耶 和 華 你 的 　 神 、 是 施 行 拯 救 、 大 有 能 力 的 主 、 他 在 你 中 間 必 因 你 歡 欣 喜 樂 、 默 然 愛 你 、 且 因 你 喜 樂 而 歡 呼 。
Ta sẽ nhóm lại những kẻ đương buồn rầu, vì cớ hội lớn; chúng nó đã ra từ ngươi, lấy sự xấu hổ làm gánh nặng.|那 些 屬 你 、 為 無 大 會 愁 煩 、 因 你 擔 當 羞 辱 的 、 我 必 聚 集 他 們 。
Nầy, trong lúc đó, ta sẽ diệt mọi kẻ làm cho ngươi buồn rầu; ta sẽ cứu kẻ què, thâu kẻ đã bị đuổi, làm cho chúng nó được khen ngợi và nổi danh tiếng, tức là những kẻ đã bị sỉ nhục trong cả đất.|那 時 、 我 必 罰 辦 一 切 苦 待 你 的 人 、 又 拯 救 你 瘸 腿 的 、 聚 集 你 被 趕 出 的 ． 那 些 在 全 地 受 羞 辱 的 、 我 必 使 他 們 得 稱 讚 、 有 名 聲 。
Trong lúc đó, ta sẽ đem các ngươi trở về, trong lúc đó ta sẽ nhóm các ngươi lại; vì ta sẽ làm cho các ngươi nổi danh tiếng và được khen lao giữa mọi dân trên đất, khi ta đem phu tù các ngươi về trước mặt các ngươi, Đức Giê-hô-va có phán vậy.|那 時 、 我 必 領 你 們 進 來 、 聚 集 你 們 ． 我 使 你 們 被 擄 之 人 歸 回 的 時 候 、 就 必 使 你 們 在 地 上 的 萬 民 中 有 名 聲 、 得 稱 讚 。 這 是 耶 和 華 說 的 。
