
					Nê-hê-mi-a 1				|
Vả, chúng là các tôi tớ và dân sự của Chúa, mà Chúa đã cậy quyền năng và tay mạnh mẽ mà chuộc lại.|這 都 是 你 的 僕 人 、 你 的 百 姓 、 就 是 你 用 大 力 、 和 大 能 的 手 、 所 救 贖 的 。
Chúa ôi! lời cầu nguyện của các tôi tớ Ngài vẫn vui lòng kính sợ danh Ngài; ngày nay xin Chúa hãy làm cho tôi tớ Chúa được may mắn, và ban cho nó tìm được sự nhân từ trước mặt người này. Vả, bấy giờ tôi làm quan tửu chánh của vua.|主 阿 、 求 你 側 耳 聽 你 僕 人 的 祈 禱 、 和 喜 愛 敬 畏 你 名 眾 僕 人 的 祈 禱 、 使 你 僕 人 現 今 亨 通 、 在 王 面 前 蒙 恩 。 我 是 作 王 酒 政 的 。

					Nê-hê-mi-a 2				|
						尼希米記 2					
Đương năm thứ hai mươi đời vua At-ta-xét-xe, tháng Ni-san, rượu sẵn ở trước mặt người, tôi lấy rượu dâng cho vua; trước tôi không hề có bộ buồn rầu tại trước mặt người.|亞 達 薛 西 王 二 十 年 、 尼 散 月 、 在 王 面 前 擺 酒 、 我 拿 起 酒 來 奉 給 王 。 我 素 來 在 王 面 前 沒 有 愁 容 。
Vua nói với tôi rằng: Nhơn sao ngươi mặt mày buồn, dầu mà ngươi không có bịnh? Điều đó chỉ là sự buồn rầu trong lòng mà thôi. Bấy giờ tôi lấy làm sợ hãi lắm,|王 對 我 說 、 你 既 沒 有 病 、 為 甚 麼 面 帶 愁 容 呢 ． 這 不 是 別 的 、 必 是 你 心 中 愁 煩 。 於 是 我 甚 懼 怕 。
bèn nói với vua rằng: Nguyện vua vạn tuế! Lẽ nào mặt tôi không buồn, khi cái thành, là nơi có mồ mả của tổ phụ tôi, bị phá hoang, và các cửa thành bị lửa thiêu đốt?|我 對 王 說 、 願 王 萬 歲 ． 我 列 祖 墳 墓 所 在 的 那 城 荒 涼 、 城 門 被 火 焚 燒 、 我 豈 能 面 無 愁 容 麼 。
Vua hỏi tôi rằng: Ngươi cầu xin cái gì? Tôi bèn cầu nguyện cùng Đức Chúa Trời của các từng trời,|王 問 我 說 、 你 要 求 甚 麼 。 於 是 我 默 禱 天 上 的 　 神 。
rồi tâu với vua rằng: Nếu vua thấy điều đó là tốt lành, nếu kẻ tôi tớ vua được ơn trước mặt vua, xin vua hãy sai tôi về Giu-đa, đến thành có mồ mả của tổ phụ tôi, để tôi xây cất thành ấy lại.|我 對 王 說 、 僕 人 若 在 王 眼 前 蒙 恩 、 王 若 喜 歡 、 求 王 差 遣 我 往 猶 大 、 到 我 列 祖 墳 墓 所 在 的 那 城 去 ． 我 好 重 新 建 造 。
Đương khi ấy hoàng hậu cũng ngồi bên cạnh vua. Vua bèn hỏi tôi rằng: Ngươi đi đường lâu chừng bao nhiêu, và khi nào ngươi trở về? Vậy, vua đẹp lòng sai tôi đi, và tôi định nhựt kỳ cho người.|那 時 王 后 坐 在 王 的 旁 邊 。 王 問 我 說 、 你 去 要 多 少 日 子 、 幾 時 回 來 ． 我 就 定 了 日 期 ． 於 是 王 喜 歡 差 遣 我 去 。
Tôi cũng thưa với vua rằng: Nếu điều này được đẹp lòng vua, xin vua hãy trao cho tôi những bức thơ truyền các qua tổng trấn bên kia sông cho phép tôi đi ngang qua cho đến khi tôi tới Giu-đa|我 又 對 王 說 、 王 若 喜 歡 、 求 王 賜 我 詔 書 、 通 知 大 河 西 的 省 長 、 准 我 經 過 、 直 到 猶 大 ．
lại ban chiếu chỉ cho A-sáp, kẻ giữ rừng vua, truyền người cho tôi gỗ làm khuôn cửa của thành điện giáp với đền và làm vách thành, cùng nhà mà tôi phải vào ở. Vua bèn ban cho tôi các điều đó, tùy theo tay nhơn lành của Đức Chúa Trời tôi giúp đỡ tôi.|又 賜 詔 書 、 通 知 管 理 王 園 林 的 亞 薩 、 使 他 給 我 木 料 、 作 屬 殿 營 樓 之 門 的 橫 梁 、 和 城 牆 、 與 我 自 己 房 屋 使 用 的 ． 王 就 允 准 我 、 因 我 　 神 施 恩 的 手 幫 助 我 。
Vậy, tôi đến cùng các quan tổng trấn bên kia sông, vào trao cho họ những bức thơ của vua. Vả, vua có sai những quan tướng và quân kỵ đi với tôi.|王 派 了 軍 長 、 和 馬 兵 護 送 我 。 我 到 了 河 西 的 省 長 那 裡 、 將 王 的 詔 書 交 給 他 們 。
Khi San-ba-lát, người Hô-rôn, và Tô-bi-gia, là kẻ tôi tớ Am-môn, hay điều đó, thì lấy làm bất bình vì có người đến đặng tìm kiếm sự hưng thạnh của dân Y-sơ-ra-ên.|和 倫 人 參 巴 拉 、 並 為 奴 的 亞 捫 人 多 比 雅 、 聽 見 有 人 來 為 以 色 列 人 求 好 處 、 就 甚 惱 怒 。
Vậy, tôi đến Giê-ru-sa-lem và ở tại đó ba ngày.|我 到 了 耶 路 撒 冷 、 在 那 裡 住 了 三 日 。
Tôi và mấy người cùng theo tôi, bèn chổi dậy ban đêm; tôi chẳng cho ai hay biết sự gì Đức Chúa Trời đã khiến lòng tôi toan làm vì Giê-ru-sa-lem; lại ngoài con thú tôi cỡi thì chẳng có con thú nào khác ở với tôi.|我 夜 間 起 來 、 有 幾 個 人 也 一 同 起 來 ． 但 　 神 使 我 心 裡 要 為 耶 路 撒 冷 作 甚 麼 事 、 我 並 沒 有 告 訴 人 ． 除 了 我 騎 的 牲 扣 以 外 、 也 沒 有 別 的 牲 扣 在 我 那 裡 。
Ban đêm tôi ra nơi cửa Trũng, đối ngang suối con chó rừng, và đến cửa phân, xem xét các vách thành của Giê-ru-sa-lem bị hư nát, và các cửa nó bị lửa thiêu đốt.|當 夜 我 出 了 谷 門 、 往 野 狗 井 去 〔 野 狗 或 作 龍 〕 、 到 了 糞 廠 門 、 察 看 耶 路 撒 冷 的 城 牆 、 見 城 牆 拆 毀 、 城 門 被 火 焚 燒 。
Đoạn, tôi đi qua cửa Giếng, và đến nơi ao của vua; song không có nơi nào đặng cho con thú tôi cỡi đi ngang qua được.|我 又 往 前 、 到 了 泉 門 、 和 王 池 ． 但 所 騎 的 牲 扣 沒 有 地 方 過 去 。
Kế đó, ban đêm tôi bắt đường khe đi lên, xem xét vách thành; rồi tôi thối lại, vào nơi cửa Trũng mà trở về.|於 是 夜 間 沿 溪 而 上 、 察 看 城 牆 ． 又 轉 身 、 進 入 谷 門 、 就 回 來 了 。
Vả, các quan trưởng không hiểu tôi đi đâu, nào rõ tôi làm gì; và đến chừng ấy, tôi chưa tỏ ra cho người Giu-đa, hoặc cho những thầy tế lễ, hoặc cho kẻ quyền quí, hoặc cho quan trưởng, hay là cho các người khác lo làm công việc, được biết gì đến.|我 往 那 裡 去 、 我 作 甚 麼 事 、 官 長 都 不 知 道 ． 我 還 沒 有 告 訴 猶 大 平 民 、 祭 司 、 貴 冑 、 官 長 、 和 其 餘 作 工 的 人 。
Tôi bèn nói với chúng rằng: Các ngươi hãy xem tình cảnh khổ nạn của chúng ta đương đây; Giê-ru-sa-lem bị phá hoang, và các cửa nó bị lửa thiêu đốt. Hãy đến, xây cất các vách thành Giê-ru-sa-lem lại, hầu cho chúng ta chẳng còn bị sỉ nhục nữa.|以 後 、 我 對 他 們 說 、 我 們 所 遭 的 難 、 耶 路 撒 冷 怎 樣 荒 涼 、 城 門 被 火 焚 燒 、 你 們 都 看 見 了 ． 來 罷 、 我 們 重 建 耶 路 撒 冷 的 城 牆 、 免 得 再 受 凌 辱 。
Tôi cũng thuật cho chúng làm sao tay nhơn từ của Đức Chúa Trời tôi đã giúp đỡ tôi, và các lời vua đã nói cùng tôi. Chúng nói: Hè, ta hãy chổi dậy và xây sửa lại! Vậy, chúng được vững chắc trong ý nhứt định làm công việc tốt lành này.|我 告 訴 他 們 我 　 神 施 恩 的 手 怎 樣 幫 助 我 、 並 王 對 我 所 說 的 話 ． 他 們 就 說 、 我 們 起 來 建 造 罷 。 於 是 他 們 奮 勇 作 這 善 工 。
San-ba-lát, người Hô-rôn, Tô-bi-gia, kẻ tôi tớ Am-môn, và Ghê-sem, người A rạp, được hay việc đó, bèn nhạo báng và khinh bỉ chúng tôi. Chúng nó nói rằng: Các ngươi làm chi đó? Các ngươi có ý phản nghịch vua sao?|但 和 倫 人 參 巴 拉 、 並 為 奴 的 亞 捫 人 多 比 雅 、 和 亞 拉 伯 人 基 善 、 聽 見 就 嗤 笑 我 們 、 藐 視 我 們 、 說 、 你 們 作 甚 麼 呢 ． 要 背 叛 王 麼 。
Tôi bèn đáp với chúng nó rằng: Đức Chúa của các từng trời sẽ ban cho chúng ta sự hanh thông; vì vậy, chúng ta, là tôi tớ Ngài, sẽ chổi dậy và xây sửa lại; nhưng các ngươi không có phần, hoặc phép, hoặc kỷ niệm trong Giê-ra-sa-lem. Sửa các vách thành Giê-ru-sa-lem lại|我 回 答 他 們 說 、 天 上 的 　 神 必 使 我 們 亨 通 ． 我 們 作 他 僕 人 的 、 要 起 來 建 造 ． 你 們 卻 在 耶 路 撒 冷 無 分 、 無 權 、 無 紀 念 。

					Nê-hê-mi-a 3				|
						尼希米記 3					
Ê-li -a-síp, thầy tế lễ thượng phẩm, chổi dậy với các anh em mình, là những thầy tế, và xây cất cái cửa Chiên. Chúng biệt nó riêng ra thánh và đặt hai cánh cửa; chúng biệt nó riêng ra thánh cho đến tháp Mê -a và cho đến tháp Ha-na-nê-ên.|那 時 、 大 祭 司 以 利 亞 實 、 和 他 的 弟 兄 眾 祭 司 、 起 來 建 立 羊 門 、 分 別 為 聖 、 安 立 門 扇 、 又 築 城 牆 到 哈 米 亞 樓 、 直 到 哈 楠 業 樓 、 分 別 為 聖 。
Kế Ê-li -a-síp, người thành Giê-ri-cô xây cất; kế chúng, Xa-cu, con trai của Im-ri, xây cất.|其 次 是 耶 利 哥 人 建 造 。 其 次 是 音 利 的 兒 子 撒 刻 建 造 。
Con cháu của Sê-na xây cất cửa Cá. Chúng đặt khuôn và tra cánh, chốt với then nó.|哈 西 拿 的 子 孫 建 立 魚 門 、 架 橫 梁 、 安 門 扇 、 和 閂 鎖 。
Kế chúng, Mê-rê-mốt, con trai của U-si, cháu của Ha-cốt, lo sửa xây. Kế chúng, Mê-su-lam, con trai Bê-rê-kia, cháu Mê-sê-xa-lê-ên, làm tu bổ. Kế chúng, Xa-đốc; con trai Ba -a-na, tu bổ.|其 次 是 哈 哥 斯 的 孫 子 烏 利 亞 的 兒 子 米 利 末 修 造 。 其 次 是 米 示 薩 別 的 孫 子 比 利 迦 的 兒 子 米 書 蘭 修 造 。 其 次 是 巴 拿 的 兒 子 撒 督 修 造 。
Kế chúng, những người Tê-cô -a tu bổ; song các người tước vị họ chẳng ghé vai vào công việc của Chúa mình.|其 次 是 提 哥 亞 人 修 造 ． 但 是 他 們 的 貴 冑 、 不 用 肩 擔 他 們 主 的 工 作 。 〔 肩 原 文 作 頸 項 〕
Giê-gia-đa, con trai của Pha-sê -a và Mê-su-lam, con trai của Bê-sô-đia, sửa xây cái cửa cũ lại; chúng lợp nó, tra cánh, chốt, và then.|巴 西 亞 的 兒 子 耶 何 耶 大 、 與 比 所 玳 的 兒 子 米 書 蘭 、 修 造 古 門 、 架 橫 梁 、 安 門 扇 和 閂 鎖 。
Kế chúng, Mê-la-tia, là người Ga-ba-ôn, và Gia-đôn, là người Mê-rô-nốt, cùng những người Ga-ba-ôn và người Mích-ba, thuộc về địa hạt của quan tổng trấn bên kia sông, đều tu bổ.|其 次 是 基 遍 人 米 拉 提 、 米 倫 人 雅 頓 、 與 基 遍 人 、 並 屬 河 西 總 督 所 管 的 米 斯 巴 人 修 造 。
Kế chúng, U-xi-ên, con trai Hạt-ha-gia, một kẻ trong bọn thợ vàng, tu bổ; kế người, Ha-na-nia, là người trong bọn thợ hòa hương, tu bổ; họ sửa xây Giê-ru-sa-lem cho vững bền đến vách rộng.|其 次 是 銀 匠 哈 海 雅 的 兒 子 烏 薛 修 造 。 其 次 是 作 香 的 哈 拿 尼 雅 修 造 ． 這 些 人 修 堅 耶 路 撒 冷 、 直 到 寬 牆 。
Kế họ, Rê-pha-gia, con trai của Hu-rơ, làm quản lý phân nửa quận Giê-ru-sa-lem, tu bổ.|其 次 是 管 理 耶 路 撒 冷 一 半 、 戶 珥 的 兒 子 利 法 雅 修 造 。
Kế họ, Giê-gia-đa con trai Ha-ru-máp, tu bổ nơi đối ngang với nhà người. Kế người, Hát-túc, con trai của Ha-sáp-nia, tu bổ.|其 次 是 哈 路 抹 的 兒 子 耶 大 雅 、 對 著 自 己 的 房 屋 修 造 。 其 次 是 哈 沙 尼 的 兒 子 哈 突 修 造 。
Manh-ki-gia, con trai của Pha-hát-Mô-áp, tu bổ một phần khác và cái tháp lò.|哈 琳 的 兒 子 瑪 基 雅 、 和 巴 哈 摩 押 的 兒 子 哈 述 修 造 一 段 、 並 修 造 爐 樓 。
Kế chúng, Sa-lum, con trai của Ha-lô-he, làm quản lý phân nửa quận Giê-ru-sa-lem, và các con gái của người, đều tu bổ.|其 次 是 管 理 耶 路 撒 冷 那 一 半 、 哈 羅 黑 的 兒 子 沙 龍 、 和 他 的 女 兒 們 修 造 。
Ha-nun và dân cư Xa-nô -a sửa cái cửa Trũng; chúng xây cất nó, tra cánh cửa chốt, và then; cũng xây một ngàn thước vách ngăn, cho đến cửa phân.|哈 嫩 和 撒 挪 亞 的 居 民 、 修 造 谷 門 ． 立 門 、 安 門 扇 、 和 閂 鎖 、 又 建 築 城 牆 一 千 肘 、 直 到 糞 廠 門 。
Manh-ki-gia, con trai Rê-cáp, quản lý quận Bết-Hát-kê-ren, sửa cái cửa phân; người xây cất nó, tra cánh cửa, chốt, và then.|管 理 伯 哈 基 琳 、 利 甲 的 兒 子 瑪 基 雅 、 修 造 糞 廠 門 ． 立 門 、 安 門 扇 、 和 閂 鎖 。
Sa-lun, con trai của Côn-Hô-xe, quản lý quận Mích-ba, sửa cái cửa Giếng; người xây cất nó, lợp nó, tra cánh cửa, chốt, và then; cũng xây vách ngăn của ao Si-lô-ê gấn bên vườn vua, và cho đến cái thang từ thành Đa-vít trở xuống.|管 理 米 斯 巴 、 各 荷 西 的 兒 子 沙 崙 、 修 造 泉 門 ． 立 門 、 蓋 門 頂 、 安 門 扇 、 和 閂 鎖 、 又 修 造 靠 近 王 園 西 羅 亞 池 的 牆 垣 、 直 到 那 從 大 衛 城 下 來 的 臺 階 。
Kế người, Nê-hê-mi, con trai của A-húc, quản lý phân nửa quận Bết-Xu-rơ, sửa xây vách cho đến ngang các lăng tẩm Đa-vít, cho đến ao đã đào, và cho đến nhà của các dõng sĩ.|其 次 是 管 理 伯 夙 一 半 、 押 卜 的 兒 子 尼 希 米 修 造 、 直 到 大 衛 墳 地 的 對 面 、 又 到 挖 成 的 池 子 、 並 勇 士 的 房 屋 。
Kế người, Rê-hum, con trai Ba-ni, người Lê-vi, tu bổ. Kế người, Ha-sa-bia, quản lý phân nửa quận Kê -i-la, tu bổ về phần quận mình.|其 次 是 利 未 人 、 巴 尼 的 兒 子 利 宏 修 造 。 其 次 是 管 理 基 伊 拉 一 半 、 哈 沙 比 雅 為 他 所 管 的 本 境 修 造 。
Kế người, có anh em của họ, là Ba-vai, con trai của Hê-na-đát, quản lý phân nửa quận Kê -i-la, tu bổ.|其 次 是 利 未 人 弟 兄 中 、 管 理 基 伊 拉 那 一 半 、 希 拿 達 的 兒 子 巴 瓦 伊 修 造 。
Kế người, Ê-xe, con trai của Giô-suê, quản lý Mích-ba, tu bổ một phần khác, đối ngang dốc đi lên khi binh khí ở về góc thành.|其 次 是 管 理 米 斯 巴 、 耶 書 亞 的 兒 子 以 謝 修 造 一 段 、 對 著 武 庫 的 上 坡 、 城 牆 轉 彎 之 處 。
Sau người có Ba-rúc, con trai của Xáp-bai, lấy lòng sốt sắng tu bổ một phần khác, từ góc thành cho đến cửa vào nhà Ê-li -a-síp, thầy tế lễ thượng phẩm.|其 次 是 薩 拜 的 兒 子 巴 錄 、 竭 力 修 造 一 段 、 從 城 牆 轉 彎 、 直 到 大 祭 司 以 利 亞 實 的 府 門 。
Sau người có Mê-rê-mốt, con trai U-si, cháu Ha-cốt, sửa một phần khác, từ cửa vào nhà Ê-li -a-síp cho đến cuối nhà người.|其 次 是 哈 哥 斯 的 孫 子 、 烏 利 亞 的 兒 子 米 利 末 修 造 一 段 、 從 以 利 亞 實 的 府 門 、 直 到 以 利 亞 實 府 的 盡 頭 。
Sau người có những thầy tế lễ, là kẻ ở đồng bằng Giô-đanh, tu bổ.|其 次 是 住 平 原 的 祭 司 修 造 。
Kế chúng, Bên-gia-min và Ha-súp tu bổ phần đối ngang nhà mình. Kế chúng, A-xa-ria, con trai của ma -a-xê-gia, cháu A-na-nia, tu bổ phía bên nhà mình.|其 次 是 便 雅 憫 與 哈 述 、 對 著 自 己 的 房 屋 修 造 。 其 次 是 亞 難 尼 的 孫 子 瑪 西 雅 的 兒 子 亞 撒 利 雅 、 在 靠 近 自 己 的 房 屋 修 造 。
Kế người, Bin-nui, con trai của Hê-na-đát, sửa một phần khác, từ nhà A-xa-ria cho đến nơi cạnh và cho đến góc thành.|其 次 是 希 拿 達 的 兒 子 賓 內 修 造 一 段 、 從 亞 撒 利 雅 的 房 屋 、 直 到 城 牆 轉 彎 、 又 到 城 角 。
Pha-lanh, con trai của A-xai, sửa nơi đối ngang góc thành và nơi tháp cao ló ra của đền vua, đụng giáp cái sân ngục. Kế người đó có Phê-đa-gia, con trai của Pha-rốt, tu bổ.|烏 賽 的 兒 子 巴 拉 修 造 對 著 城 牆 的 轉 彎 、 和 王 上 宮 凸 出 來 的 城 樓 、 靠 近 護 衛 院 的 那 一 段 。 其 次 是 巴 錄 的 兒 子 毘 大 雅 修 造 。
Vả, người Nê-thi-nim ở tại Ô-phên cho đến nơi đối ngang cửa Nước về phía đông, và tháp ló ra.|（ 尼 提 寧 住 在 俄 斐 勒 、 直 到 朝 東 水 門 的 對 面 、 和 凸 出 來 的 城 樓 。 ）
Kế người ấy có người Thê-cô -a sửa một phần khác đối ngang tháp lớn ló ra, và cho vách Ô-phên.|其 次 是 提 哥 亞 人 又 修 一 段 、 對 著 那 凸 出 來 的 大 樓 、 直 到 俄 斐 勒 的 牆 。
Những thầy tế lễ sửa nơi phía trên cửa Ngựa, mỗi người sửa phần đối ngang nhà của mình.|從 馬 門 往 上 、 眾 祭 司 各 對 自 己 的 房 屋 修 造 。
Sau chúng, Xa-đốc, con trai Y-mê, sửa nơi đối ngang nhà mình. Kế sau người có Sê-ma-gia, con trai Sê-ca-nia, kẻ giữ cửa đông, tu bổ.|其 次 是 音 麥 的 兒 子 撒 督 、 對 著 自 己 的 房 屋 修 造 。 其 次 是 守 東 門 示 迦 尼 的 兒 子 示 瑪 雅 修 造 。
Kế người, Ha-na-nia, con trai của Sê-lê-mia, và Ha-nun, con thứ sáu của Xa-láp, sửa một phần khác. Kế chúng, Mê-sa-lum, con trai của Bê-rê-kia, sửa nơi đối ngang nhà mình.|其 次 是 示 利 米 雅 的 兒 子 哈 拿 尼 雅 、 和 薩 拉 的 第 六 子 哈 嫩 、 又 修 一 段 。 其 次 是 比 利 迦 的 兒 子 米 書 蘭 、 對 著 自 己 的 房 屋 修 造 。
Kế người, Manh-ki-gia, một người trong bọn thợ vàng, sửa cho đến nhà của người Nê-thi-nim và tay buôn bán, đối ngang cửa Mi-phơ cát, và cho đến nơi dốc của góc thành.|其 次 是 銀 匠 瑪 基 雅 修 造 到 尼 提 寧 、 和 商 人 的 房 屋 、 對 著 哈 米 弗 甲 門 、 直 到 城 的 角 樓 。
Còn những thợ vàng và tay buôn bán đều sửa phần giữa nơi góc thành và cửa Chiên.|銀 匠 與 商 人 在 城 的 角 樓 、 和 羊 門 中 間 修 造 。

					Nê-hê-mi-a 4				|
						尼希米記 4					
Khi San-ba-lát hay rằng chúng tôi xây sửa vách thành lại, thì lấy làm giận dữ, và nhạo báng người Giu-đa.|參 巴 拉 聽 見 我 們 修 造 城 牆 就 發 怒 、 大 大 惱 恨 、 嗤 笑 猶 大 人 ．
Người nói trước mặt anh em người và đạo quân Sa-ma-ri rằng: Những người Giu-đa yếu nhược ấy làm gì? Chớ thì người ta sẽ để cho chúng nó làm lụng sao? Chúng nó há sẽ dâng những của lễ ư? Trong một ngày chúng nó há sẽ làm xong sao? Đá mà đã cháy thiêu rồi, chúng nó há có thể do đống bụi đất mà lấy nó làm thành đá lại được sao?|對 他 弟 兄 和 撒 瑪 利 亞 的 軍 兵 說 、 這 些 軟 弱 的 猶 大 人 作 甚 麼 呢 ． 要 保 護 自 己 麼 ． 要 獻 祭 麼 ． 要 一 日 成 功 麼 ． 要 從 土 堆 裡 拿 出 火 燒 的 石 頭 再 立 牆 麼 。
Tô-bi-gia, người Am-môn, ở bên cạnh người, nói rằng: Vả lại, cái vách bằng đá mà những kẻ ấy xây cất kia, nếu có một con chồn leo lên đó, tất sẽ đánh nó sập xuống liền.|亞 捫 人 多 比 雅 站 在 旁 邊 、 說 、 他 們 所 修 造 的 石 牆 、 就 是 狐 狸 上 去 也 必 跐 倒 。
Hỡi Đức Chúa Trời của chúng tôi ôi! hãy nghe; vì chúng tôi bị khinh dể; xin hãy đổ lại chúng nó trên đầu của họ, và hãy phó chúng nó làm mồi trong một xứ bắt người ta làm phu tù kia;|我 們 的 　 神 阿 、 求 你 垂 聽 、 因 為 我 們 被 藐 視 ． 求 你 使 他 們 的 毀 謗 歸 於 他 們 的 頭 上 、 使 他 們 在 擄 到 之 地 作 為 掠 物 ．
chớ che lấp gian ác của chúng nó, đừng xóa tội lỗi chúng nó sạch khỏi trước mặt Chúa; vì trước mặt các thợ xây cất, chúng nó có chọc Chúa giận.|不 要 遮 掩 他 們 的 罪 孽 、 不 要 使 他 們 的 罪 惡 從 你 面 前 塗 抹 ． 因 為 他 們 在 修 造 的 人 眼 前 惹 動 你 的 怒 氣 。
Vậy, chúng tôi xây cất vách thành lại, và toàn vách thành đều dính liền nhau và lên đến phân nửa bề cao; vì dân sự chuyên thành làm công việc.|這 樣 、 我 們 修 造 城 牆 、 城 牆 就 都 連 絡 、 高 至 一 半 、 因 為 百 姓 專 心 作 工 。
Xảy khi San-ba-lát, Tô-bi-giam những người A rạp, dân Am-môn, và dân Ach-đốt hay rằng việc tu bổ vách thành Giê-ru-sa-lem tấn tới, và các nơi hư lũng hầu lấp lành, thì chúng nó lấy làm giận dữ,|參 巴 拉 、 多 比 雅 、 亞 拉 伯 人 、 亞 捫 人 、 亞 實 突 人 、 聽 見 修 造 耶 路 撒 冷 城 牆 、 著 手 進 行 、 堵 塞 破 裂 的 地 方 、 就 甚 發 怒 ．
bèn tập lập nhau hết thảy đặng đến hãm đánh Giê-ru-sa-lem và làm cho nó bị rối loạn.|大 家 同 謀 要 來 攻 擊 耶 路 撒 冷 、 使 城 內 擾 亂 。
Nhưng chúng tôi cầu nguyện cùng Đức Chúa Trời chúng tôi, và lập kẻ ngày và đêm canh giữ họ.|然 而 我 們 禱 告 我 們 的 　 神 、 又 因 他 們 的 緣 故 、 就 派 人 看 守 、 晝 夜 防 備 。
Người Giu-đa nói: Còn nhiều đồ hư nát, và sức lực của kẻ khiêng dánh đã yếu mỏn; chúng ta không thế xây cất vách thành được.|猶 大 人 說 、 灰 土 尚 多 、 扛 抬 的 人 力 氣 已 經 衰 敗 、 所 以 我 們 不 能 建 造 城 牆 。
Các thù nghịch chúng tôi nói rằng: Chúng nó sẽ không hay không thấy điều đó, cho đến chừng chúng ta đến giữa chúng nó, giết chúng nó đi, và làm cho chúng nó ngưng công.|我 們 的 敵 人 且 說 、 趁 他 們 不 知 、 不 見 、 我 們 進 入 他 們 中 間 、 殺 他 們 、 使 工 作 止 住 。
