
					Phi-líp 1				|
Cũng vì đó nên Đức Chúa Trời đã đem Ngài lên rất cao, và ban cho Ngài danh trên hết mọi danh,|所 以 　 神 將 他 升 為 至 高 、 又 賜 給 他 超 乎 萬 名 之 上 的 名 、
hầu cho nghe đến danh Đức Chúa Jêsus, mọi đầu gối trên trời, dưới đất, bên dưới đất, thảy đều quì xuống,|叫 一 切 在 天 上 的 、 地 上 的 、 和 地 底 下 的 、 因 耶 穌 的 名 、 無 不 屈 膝 、
và mọi lưỡi thảy đều xưng Jêsus Christ là Chúa, mà tôn vinh Đức Chúa Trời, là Đức Chúa Cha.|無 不 口 稱 耶 穌 基 督 為 主 、 使 榮 耀 歸 與 父 　 神 。
Ay vậy, hỡi những kẻ rất yêu dấu của tôi, như anh em đã vâng lời luôn luôn, chẳng những khi tôi có mặt mà thôi, lại bây giờ là lúc tôi vắng mặt, hãy cùng hơn nữa, mà lấy lòng sợ sệt run rẩy làm nên sự cứu chuộc mình.|這 樣 看 來 、 我 親 愛 的 弟 兄 、 你 們 既 是 常 順 服 的 、 不 但 我 在 你 們 那 裡 、 就 是 如 今 不 在 你 們 那 裡 、 更 是 順 服 的 、 就 當 恐 懼 戰 兢 、 作 成 你 們 得 救 的 工 夫 ．
Vì ấy chính Đức Chúa Trời cảm động lòng anh em vừa muốn vừa làm theo ý tốt Ngài.|因 為 你 們 立 志 行 事 、 都 是 　 神 在 你 們 心 裡 運 行 、 為 要 成 就 他 的 美 意 。
Phàm làm việc gì chớ nên lằm bằm và lưỡng lự,|凡 所 行 的 、 都 不 要 發 怨 言 、 起 爭 論 、
hầu cho anh em ở giữa dòng dõi hung ác ngang nghịch, được nên con cái của Đức Chúa Trời, không vít, không tì, không chỗ trách được, lại giữa dòng dõi đó, giữ lấy đạo sự sống, chiếu sáng như đuốc trong thế gian;|使 你 們 無 可 指 摘 、 誠 實 無 偽 、 在 這 彎 曲 悖 謬 的 世 代 、 作 　 神 無 瑕 疵 的 兒 女 ． 你 們 顯 在 這 世 代 中 、 好 像 明 光 照 耀 、
cho đến nỗi tới ngày của Đấng Christ, tôi có thể khoe mình rằng chẳng đã chạy vô ích và khó nhọc luống công.|將 生 命 的 道 表 明 出 來 、 叫 我 在 基 督 的 日 子 、 好 誇 我 沒 有 空 跑 、 也 沒 有 徒 勞 。
Ví dầu huyết tôi phải dùng để tưới trên của tế lễ và của dâng đức tin anh em tôi cũng vui lòng, lại đồng vui với anh em hết thảy.|我 以 你 們 的 信 心 為 供 獻 的 祭 物 ． 我 若 被 澆 奠 在 其 上 、 也 是 喜 樂 ． 並 且 與 你 們 眾 人 一 同 喜 樂 ．
anh em cũng vậy, hãy vui lòng về điều đó, và hãy cùng vui với tôi.|你 們 也 要 照 樣 喜 樂 、 並 且 與 我 一 同 喜 樂 。
Vả, tôi mong rằng nhờ ơn Đức Chúa Jêsus, kíp sai Ti-mô-thê đến cùng anh em, để tới phiên tôi, tôi nghe tin anh em, mà được yên lòng.|我 靠 主 耶 穌 指 望 快 打 發 提 摩 太 去 見 你 們 、 叫 我 知 道 你 們 的 事 、 心 裡 就 得 安 慰 。
Thật vậy, tôi không có ai như người đồng tình với tôi để thật lòng lo về việc anh em:|因 為 我 沒 有 別 人 與 我 同 心 、 實 在 罣 念 你 們 的 事 。
ai nấy đều tìm lợi riêng của mình, chớ không tìm của Đức Chúa Jêsus Christ.|別 人 都 求 自 己 的 事 、 並 不 求 耶 穌 基 督 的 事 。
Nhưng anh em đã biết sự trung tín từng trải của người; và biết người là trung thành với tôi về việc Tin Lành, như con ở với cha vậy.|但 你 們 知 道 提 摩 太 的 明 證 、 他 興 旺 福 音 與 我 同 勞 、 待 我 像 兒 子 待 父 親 一 樣 。
Nên mong sai người đến nơi anh em liền, vừa khi tôi sẽ rõ sự tình tôi ra thể nào;|所 以 我 一 看 出 我 的 事 要 怎 樣 了 結 、 就 盼 望 立 刻 打 發 他 去 ．
tôi lại có lòng trông cậy nầy trong Chúa, là chính mình tôi không bao lâu sẽ đến.|但 我 靠 著 主 自 信 我 也 必 快 去 。
trong khi chờ đợi, tôi tưởng cần phải sai Ep-ba-phô-đích, anh em tôi, bạn cùng làm việc và cùng chiến trận với tôi, đến cùng anh em, người cũng là ủy viên của anh em ở kề tôi, đặng cung cấp mọi sự cần dùng cho tôi vậy.|然 而 我 想 必 須 打 發 以 巴 弗 提 到 你 們 那 裡 去 ． 他 是 我 的 弟 兄 、 與 我 一 同 作 工 、 一 同 當 兵 、 是 你 們 所 差 遣 的 、 也 是 供 給 我 需 用 的 。
Vì người rất ước ao thấy anh em hết thảy, và đã lo về anh em nghe mình bị đau ốm.|他 很 想 念 你 們 眾 人 、 並 且 極 其 難 過 、 因 為 你 們 聽 見 他 病 了 ．
Và, người mắc bịnh gần chết; nhưng Đức Chúa Trời đã thương xót người, và chẳng những người mà thôi, cả đến tôi nữa, đặng tôi khỏi buồn rầu càng thêm buồn rầu.|他 實 在 是 病 了 、 幾 乎 要 死 ． 然 而 　 神 憐 恤 他 、 不 但 憐 恤 他 、 也 憐 恤 我 、 免 得 我 憂 上 加 憂 。
Vậy, tôi đã sai người đi rất kíp, hầu cho anh em lại thấy người thì mừng rỡ, và tôi cũng bớt buồn rầu.|所 以 我 越 發 急 速 打 發 他 去 、 叫 你 們 再 見 他 、 就 可 以 喜 樂 、 我 也 可 以 少 些 憂 愁 。
Thế thì, hãy lấy sự vui mừng trọn vẹn mà tiếp rước người trong Chúa, và tôn kính những người như vậy;|故 此 你 們 要 在 主 裡 歡 歡 樂 樂 的 接 待 他 ． 而 且 要 尊 重 這 樣 的 人 ．
bởi, ấy là vì công việc của Đấng Christ mà người đã gần chết, liều sự sống mình để bù lại các việc mà chính anh em không thể giúp tôi.|因 他 為 作 基 督 的 工 夫 、 幾 乎 至 死 、 不 顧 性 命 、 要 補 足 你 們 供 給 我 的 不 及 之 處 。

					Phi-líp 3				|
						腓利比書 3					
Hỡi anh em, sau hết, anh em hãy vui mừng trong Chúa! Tôi chẳng hề sợ phiền mà lại viết những điều nầy cho anh em nữa, vì ấy là có ích cho anh em.|弟 兄 們 、 我 還 有 話 說 、 你 們 要 靠 主 喜 樂 。 我 把 這 話 再 寫 給 你 們 、 於 我 並 不 為 難 、 於 你 們 卻 是 妥 當 。
Hãy coi chừng loài chó; hãy coi chừng kẻ làm công gian ác; hãy coi chừng phép cắt bì giả.|應 當 防 備 犬 類 、 防 備 作 惡 的 、 防 備 妄 自 行 割 的 ．
Vì, ấy chính chúng ta là kẻ chịu phép cắt bì thật, là kẻ cậy Đức Thánh Linh Đức Chúa Trời mà hầu việc Đức Chúa Trời, khoe mình trong Đấng Christ, và không để lòng tin cậy trong xác thịt bao giờ.|因 為 真 受 割 禮 的 、 乃 是 我 們 這 以 　 神 的 靈 敬 拜 、 在 基 督 耶 穌 裡 誇 口 、 不 靠 著 肉 體 的 ．
Ay chẳng phải tôi không có thể cậy mình trong xác thịt đâu. Ví bằng kẻ khác tưởng rằng có thể cậy mình trong xác thịt, thì tôi lại có thể bội phần nữa,|其 實 我 也 可 以 靠 肉 體 ． 若 是 別 人 想 他 可 以 靠 肉 體 、 我 更 可 以 靠 著 了 。
tôi chịu phép cắt bì ngày thứ tám, về dòng Y-sơ-ra-ên, chi phái Bên-gia-min, người Hê-bơ-rơ, con của người Hê-bơ-rơ; về luật pháp, thì thuộc phe Pha-ra-si;|我 第 八 天 受 割 禮 、 我 是 以 色 列 族 、 便 雅 憫 支 派 的 人 、 是 希 伯 來 人 所 生 的 希 伯 來 人 ． 就 律 法 說 、 我 是 法 利 賽 人 ．
về lòng sốt sắng, thì là kẻ bắt bớ hội thánh; còn như về sự công bình của luật pháp, thì không chỗ trách được.|就 熱 心 說 、 我 是 逼 迫 教 會 的 ． 就 律 法 上 的 義 說 、 我 是 無 可 指 摘 的 。
Nhưng vì cớ Đấng Christ, tôi đã coi sự lời cho tôi như là sự lỗ vậy.|只 是 我 先 前 以 為 與 我 有 益 的 、 我 現 在 因 基 督 都 當 作 有 損 的 。
Tôi cũng coi hết thảy mọi sự như là sự lỗ, vì sự nhận biết Đức Chúa Jêsus Christ là quí hơn hết, Ngài là Chúa tôi, và tôi vì Ngài mà liều bỏ mọi điều lợi đó. Thật, tôi xem những điều đó như rơm rác, hầu cho được Đấng Christ|不 但 如 此 、 我 也 將 萬 事 當 作 有 損 的 、 因 我 以 認 識 我 主 基 督 耶 穌 為 至 寶 。 我 為 他 已 經 丟 棄 萬 事 、 看 作 糞 土 、 為 要 得 著 基 督 ．
và được ở trong Ngài, được sự công bình, không phải của tôi bởi luật pháp mà đến, bèn là bởi tin đến Đấng Christ mà được, tức là công bình đến bởi Đức Chúa Trời và đã lập lên trên đức tin;|並 且 得 以 在 他 裡 面 、 不 是 有 自 己 因 律 法 而 得 的 義 、 乃 是 有 信 基 督 的 義 、 就 是 因 信 　 神 而 來 的 義 ．
cho đến nỗi tôi được biết Ngài, và quyền phép sự sống lại của Ngài, và sự thông công thương khó của Ngài, làm cho tôi nên giống như Ngài trong sự chết Ngài,|使 我 認 識 基 督 、 曉 得 他 復 活 的 大 能 、 並 且 曉 得 和 他 一 同 受 苦 、 效 法 他 的 死 ．
mong cho tôi được đến sự sống lại từ trong kẻ chết.|或 者 我 也 得 以 從 死 裡 復 活 。
Ay không phải tôi đã giựt giải rồi, hay là đã đến nơi trọn lành rồi đâu, nhưng tôi đương chạy hầu cho giựt được, vì chính tôi đã được Đức Chúa Jêsus Christ giựt lấy rồi.|這 不 是 說 、 我 已 經 得 著 了 、 已 經 完 全 了 ． 我 乃 是 竭 力 追 求 、 或 者 可 以 得 著 基 督 耶 穌 所 以 得 著 我 的 。 〔 所 以 得 著 我 的 或 作 所 要 我 得 的 〕
Hỡi Anh em, về phần tôi, tôi không tưởng rằng đã đạt đến mục đích,|弟 兄 們 、 我 不 是 以 為 自 己 已 經 得 著 了 ． 我 只 有 一 件 事 、 就 是 忘 記 背 後 努 力 面 前 的 、
nhưng tôi cứ làm một điều: quên lửng sự ở đằng sau, mà bươn theo sự ở đằng trước, tôi nhắm mục đích mà chạy, để giựt giải về sự kêu gọi trên trời của Đức Chúa Trời trong Đức Chúa Jêsus Christ.|向 著 標 竿 直 跑 、 要 得 　 神 在 基 督 耶 穌 裡 從 上 面 召 我 來 得 的 獎 賞 。
Vậy, hễ những người trọn vẹn trong chúng ta, phải có ý tưởng đó; và nếu anh em tưởng đằng khác, Đức Chúa Trời cũng sẽ lấy sự đó soi sáng cho anh em.|所 以 我 們 中 間 凡 是 完 全 人 、 總 要 存 這 樣 的 心 ． 若 在 甚 麼 事 上 、 存 別 樣 的 心 、 　 神 也 必 以 此 指 示 你 們 ．
Duy Chúng ta đã đạt đến bậc nào, thì chúng ta phải đồng đi vậy.|然 而 我 們 到 了 甚 麼 地 步 、 就 當 照 著 甚 麼 地 步 行 。
Hỡi Anh em, hãy bắt chước tôi, lại xem những kẻ ăn ở theo mẫu mực mà anh em thấy trong chúng tôi.|弟 兄 們 、 你 們 要 一 同 效 法 我 、 也 當 留 意 看 那 些 照 我 們 榜 樣 行 的 人 。
Vì tôi đã thường nói điều nầy cho anh em, nay tôi lại khóc mà nói nữa: lắm người có cách ăn ở như là kẻ thù nghịch thập tự giá của Đấng Christ.|因 為 有 許 多 人 行 事 、 是 基 督 十 字 架 的 仇 敵 ． 我 屢 次 告 訴 你 們 、 現 在 又 流 淚 的 告 訴 你 們 。
Sự cuối cùng của họ là hư mất; họ lấy sự xấu hổ của mình làm vinh hiển, chỉ tư tưởng về các việc thế gian mà thôi.|他 們 的 結 局 就 是 沉 淪 、 他 們 的 　 神 就 是 自 己 的 肚 腹 、 他 們 以 自 己 的 羞 辱 為 榮 耀 、 專 以 地 上 的 事 為 念 。
Nhưng chúng ta là công dân trên trời; ấy là từ nơi đó mà chúng ta trông đợi Cứu Chúa mình là Đức Chúa Jêsus Christ,|我 們 卻 是 天 上 的 國 民 ． 並 且 等 候 救 主 、 就 是 主 耶 穌 基 督 、 從 天 上 降 臨 。
Ngài sẽ biến hóa thân thể hèn mạt chúng ta ra giống như thân thể vinh hiển Ngài, y theo quyền phép Ngài có để phục muôn vật.|他 要 按 著 那 能 叫 萬 有 歸 服 自 己 的 大 能 、 將 我 們 這 卑 賤 的 身 體 改 變 形 狀 、 和 他 自 己 榮 耀 的 身 體 相 似 。

					Phi-líp 4				|
						腓利比書 4					
Vậy thì, hỡi anh em rất yêu rất thiết, là sự vui mừng và mão triều thiên cho tôi, kẻ rất yêu dấu ơi, hãy đứng vững trong Chúa.|我 所 親 愛 所 想 念 的 弟 兄 、 你 們 就 是 我 的 喜 樂 、 我 的 冠 冕 ． 我 親 愛 的 弟 兄 、 你 們 應 當 靠 主 站 立 得 穩 。
Tôi khuyên Ê-yô-đi và khuyên Sin-ty-cơ phải hiệp một ý trong Chúa.|我 勸 友 阿 爹 和 循 都 基 、 要 在 主 裡 同 心 ．
Hỡi kẻ đồng liêu trung tín, tôi cũng xin anh giúp hai người đờn bà ấy, nhơn bai bà ấy cùng tôi đã vì đạo Tin Lành mà chiến đấu; Cơ-lê-măn và các bạn khác đồng làm việc với tôi cũng vậy, có tên những người đó biên vào sách sự sống rồi.|我 也 求 你 這 真 實 同 負 一 軛 的 、 幫 助 這 兩 個 女 人 、 因 為 他 們 在 福 音 上 曾 與 我 一 同 勞 苦 ． 還 有 革 利 免 、 並 其 餘 和 我 一 同 作 工 的 ． 他 們 的 名 字 都 在 生 命 冊 上 。
Hãy vui mừng trong Chúa luôn luôn. Tôi lại còn nói nữa: hãy vui mừng đi.|你 們 要 靠 主 常 常 喜 樂 ． 我 再 說 、 你 們 要 喜 樂 。
Hãy cho mọi người đều biết nết nhu mì của anh em. Chúa đã gần rồi.|當 叫 眾 人 知 道 你 們 謙 讓 的 心 。 主 已 經 近 了 。
Chớ lo phiền chi hết, nhưng trong mọi sự hãy dùng lời cầu nguyện, nài xin, và sự tạ ơn và trình các sự cầu xin của mình cho Đức Chúa Trời.|應 當 一 無 罣 慮 、 只 要 凡 事 藉 著 禱 告 、 祈 求 、 和 感 謝 、 將 你 們 所 要 的 告 訴 　 神 。
Sự bình an của Đức Chúa Trời vượt quá mọi sự hiểu biết, sẽ gìn giữ lòng và ý tưởng anh em trong Đức Chúa Jêsus Christ.|　 神 所 賜 出 人 意 外 的 平 安 、 必 在 基 督 耶 穌 裡 、 保 守 你 們 的 心 懷 意 念 。
Rốt lại, hỡi anh em, phàm điều cho chơn thật, điều chi đáng tôn, điều chi công bình, điều chi thánh sạch, điều chi đáng yêu chuộng, điều chi có tiếng tốt, điều chi có nhân đức đáng khen, thì anh em phải nghĩ đến.|弟 兄 們 、 我 還 有 未 盡 的 話 ． 凡 是 真 實 的 、 可 敬 的 、 公 義 的 、 清 潔 的 、 可 愛 的 、 有 美 名 的 ． 若 有 甚 麼 德 行 、 若 有 甚 麼 稱 讚 、 這 些 事 你 們 都 要 思 念 。
Hễ sự gì anh em đã học, đã nhận, đã nghe ở nơi tôi và đã thấy trong tôi, hãy làm đi, thì Đức Chúa Trời của sự bình an sẽ ở cùng anh em.|你 們 在 我 身 上 所 學 習 的 、 所 領 受 的 、 所 聽 見 的 、 所 看 見 的 、 這 些 事 你 們 都 要 去 行 ． 賜 平 安 的 　 神 、 就 必 與 你 們 同 在 。
Tôi được rất vui mừng trong Chúa, vì nay anh em lại lo tưởng về tôi lần nữa; anh em vẫn tưởng đến điều đó lắm, nhưng không có dịp tiện.|我 靠 主 大 大 的 喜 樂 、 因 為 你 們 思 念 我 的 心 、 如 今 又 發 生 ． 你 們 向 來 就 思 念 我 、 只 是 沒 得 機 會 。
Không phải tôi muốn nói đến sự cần dùng của tôi; vì tôi đã tập hễ gặp cảnh ngộ nào, cũng thỏa lòng ở vậy.|我 並 不 是 因 缺 乏 說 這 話 、 我 無 論 在 甚 麼 景 況 、 都 可 以 知 足 、 這 是 我 已 經 學 會 了 ．
Tôi biết chịu nghèo hèn, cũng biết được dư dật. Trong mọi sự và mọi nơi, tôi đã tập cả, dầu no hay đói, dầu dư hay thiếu cũng được.|我 知 道 怎 樣 處 卑 賤 、 也 知 道 怎 樣 處 豐 富 、 或 飽 足 、 或 飢 餓 、 或 有 餘 、 或 缺 乏 、 隨 事 隨 在 、 我 都 得 了 秘 訣 。
Tôi làm được mọi sự nhờ Đấng ban thêm sức cho tôi.|我 靠 著 那 加 給 我 力 量 的 、 凡 事 都 能 作 。
Nhưng anh em giúp tôi cơn hoạn nạn, thì đã làm điều thiện.|然 而 你 們 和 我 同 受 患 難 、 原 是 美 事 。
Hỡi người Phi-líp, anh em cũng biết rằng lúc tôi khởi giảng Tin Lành trong khi lìa xứ Ma-xê-đoan, thi ngoài hội thánh của anh em, chẳng có hội nào khác hiệp với tôi để lập thành sự trao đổi trong chúng ta cả;|腓 立 比 人 阿 、 你 們 也 知 道 我 初 傳 福 音 、 離 了 馬 其 頓 的 時 候 、 論 到 授 受 的 事 、 除 了 你 們 以 外 、 並 沒 有 別 的 教 會 供 給 我 ．
vì tại Tê-sa-lô-ni-ca, anh em đã một hai lần gởi đồ cung cấp về sự cần dùng cho tôi vậy.|就 是 我 在 帖 撒 羅 尼 迦 、 你 們 也 一 次 兩 次 的 、 打 發 人 供 給 我 的 需 用 。
