
					Giăng 1				|
Những việc đó đã xảy ra tại thành Bê-tha-ni, bên kia sông Giô-đanh, là nơi Giăng làm phép báp tem.|這 是 在 約 但 河 外 伯 大 尼 、 〔 有 古 卷 作 伯 大 巴 喇 〕 約 翰 施 洗 的 地 方 作 的 見 證 。
Qua ngày sau, Giăng thấy Đức Chúa Jêsus đến cùng mình, thì nói rằng: Kìa, Chiên con của Đức Chúa Trời, là Đấng cất tội lỗi thế gian đi.|次 日 、 約 翰 看 見 耶 穌 來 到 他 那 裡 、 就 說 、 看 哪 、 　 神 的 羔 羊 、 除 去 〔 或 作 背 負 〕 世 人 罪 孽 的 。
Ay về Đấng đó mà ta đã nói: Có một người đến sau ta, trổi hơn ta, vì người vốn trước ta.|這 就 是 我 曾 說 、 有 一 位 在 我 以 後 來 、 反 成 了 在 我 以 前 的 ． 因 他 本 來 在 我 以 前 。
Về phần ta, ta vốn chẳng biết Ngài; nhưng ta đã đến làm phép báp-tem bằng nước, để Ngài được tỏ ra cho dân Y-sơ-ra-ên.|我 先 前 不 認 識 他 ． 如 今 我 來 用 水 施 洗 、 為 要 叫 他 顯 明 給 以 色 列 人 。
Giăng lại còn làm chứng nầy nữa: Ta đã thấy Thánh Linh từ trời giáng xuống như chim bò câu, đậu trên mình Ngài.|約 翰 又 作 見 證 說 、 我 曾 看 見 聖 靈 彷 彿 鴿 子 、 從 天 降 下 、 住 在 他 的 身 上 。
Về phần ta, ta vốn không biết Ngài; nhưng Đấng sai ta làm phép báp-tem bằng nước có phán cùng ta rằng: Đấng mà ngươi sẽ thấy Thánh Linh ngự xuống đậu lên trên, ấy là Đấng làm phép báp-tem bằng Đức Thánh Linh.|我 先 前 不 認 識 他 ． 只 是 那 差 我 來 用 水 施 洗 的 、 對 我 說 、 你 看 見 聖 靈 降 下 來 、 住 在 誰 的 身 上 、 誰 就 是 用 聖 靈 施 洗 的 。
Ta đã thấy nên ta làm chứng rằng: Ay chính Ngài là Con Đức Chúa Trời.|我 看 見 了 、 就 證 明 這 是 　 神 的 兒 子 。
Ngày mai, Giăng lại ở đó với hai môn đồ mình;|再 次 日 、 約 翰 同 兩 個 門 徒 站 在 那 裡 。
nhìn Đức Chúa Jêsus đi ngang qua, bèn nói rằng: Kìa, Chiên con của Đức Chúa Trời!|他 見 耶 穌 行 走 、 就 說 、 看 哪 、 這 是 　 神 的 羔 羊 。
Hai môn đồ nghe lời đó, bèn đi theo Đức Chúa Jêsus.|兩 個 門 徒 聽 見 他 的 話 、 就 跟 從 了 耶 穌 。
Đức Chúa Jêsus vừa xây lại, thấy hai người đi theo mình, thì phán rằng: Các ngươi tìm chi? Thưa rằng: Ra-bi , Thầy ở đâu?|耶 穌 轉 過 身 來 、 看 見 他 們 跟 著 、 就 問 他 們 說 、 你 們 要 甚 麼 。 他 們 說 、 拉 比 、 在 那 裡 住 。 （ 拉 比 繙 出 來 、 就 是 夫 子 。 ）
Ngài phán rằng: Hãy đến xem. Vậy, hai người đi, thấy nơi Ngài ở, và ở lại cùng Ngài trong ngày đó; lúc bấy giờ độ chừng giờ thứ mười.|耶 穌 說 、 你 們 來 看 。 他 們 就 去 看 他 在 那 裡 住 、 這 一 天 便 與 他 同 住 、 那 時 約 有 申 正 了 。
Trong hai người đã nghe điều Giăng nói và đi theo Đức Chúa Jêsus đó, một là Anh-rê, em của Si-môn Phi -e-rơ.|聽 見 約 翰 的 話 、 跟 從 耶 穌 的 那 兩 個 人 、 一 個 是 西 門 彼 得 的 兄 弟 安 得 烈 。
Trước hết người gặp anh mình là Si-môn, thì nói rằng: Chúng ta đã gặp Đấng Mê-si .|他 先 找 著 自 己 的 哥 哥 西 門 、 對 他 說 、 我 們 遇 見 彌 賽 亞 了 、 （ 彌 賽 亞 繙 出 來 、 就 是 基 督 ）
Người bèn dẫn Si-môn đến cùng Đức Chúa Jêsus. Ngài vừa ngó thấy Si-môn, liền phán rằng: Ngươi là Si-môn, con của Giô-na; ngươi sẽ được gọi là Sê-pha .|於 是 領 他 去 見 耶 穌 。 耶 穌 看 著 他 說 、 你 是 約 翰 的 兒 子 西 門 、 〔 約 翰 馬 太 十 六 章 十 七 節 稱 約 拿 〕 你 要 稱 為 磯 法 ． （ 磯 法 繙 出 來 、 就 是 彼 得 。 ）
Qua ngày sau, Đức Chúa Jêsus muốn qua xứ Ga-li-lê, tìm Phi-líp, mà phán rằng: Hãy theo ta.|又 次 日 、 耶 穌 想 要 往 加 利 利 去 、 遇 見 腓 力 、 就 對 他 說 、 來 跟 從 我 罷 。
Vả, Phi-líp là người Bết-sai-đa, đồng thành với Anh-rê và Phi -e-rơ.|這 腓 力 是 伯 賽 大 人 、 和 安 得 烈 、 彼 得 同 城 。
Phi-líp gặp Na-tha-na-ên, nói với người rằng: Chúng ta đã gặp Đấng mà Môi-se có chép trong luật pháp, và các đấng tiên tri cũng có nói đến; ấy là Đức Chúa Jêsus ở Na-xa-rét, con của Giô-sép.|腓 力 找 著 拿 但 業 、 對 他 說 、 摩 西 在 律 法 上 所 寫 的 、 和 眾 先 知 所 記 的 那 一 位 、 我 們 遇 見 了 、 就 是 約 瑟 的 兒 子 拿 撒 勒 人 耶 穌 。
Na-tha-na-ên nói rằng: Há có vật gì tốt ra từ Na-xa-rét được sao? Phi-líp nói: Hãy đến xem.|拿 但 業 對 他 說 、 拿 撒 勒 還 能 出 甚 麼 好 的 麼 。 腓 力 說 、 你 來 看 。
Đức Chúa Jêsus thấy Na-tha-na-ên đến cùng mình, bèn phán về người rằng: Nầy, một người Y-sơ-ra-ên thật, trong người không có điều dối trá chi hết.|耶 穌 看 見 拿 但 業 來 、 就 指 著 他 說 、 看 哪 、 這 是 個 真 以 色 列 人 、 他 心 裡 是 沒 有 詭 詐 的 。
Na-tha-na-ên thưa rằng: Bởi đâu thầy biết tôi? Đức Chúa Jêsus đáp rằng: Trước khi Phi-líp gọi ngươi, ta đã thấy ngươi lúc ở dưới cây vả.|拿 但 業 對 耶 穌 說 、 你 從 那 裡 知 道 我 呢 。 耶 穌 回 答 說 、 腓 力 還 沒 有 招 呼 你 、 你 在 無 花 果 樹 底 下 、 我 就 看 見 你 了 。
Na-tha-na-ên lại nói: Lạy thầy, thầy là Con Đức Chúa Trời, thầy là Vua dân Y-sơ-ra-ên!|拿 但 業 說 、 拉 比 、 你 是 　 神 的 兒 子 、 你 是 以 色 列 的 王 。
Đức Chúa Jêsus đáp rằng: Vì ta đã phán cùng ngươi rằng ta thấy ngươi dưới cây vả, thì ngươi tin; ngươi sẽ thấy việc lớn hơn điều đó!|耶 穌 對 他 說 、 因 為 我 說 在 無 花 果 樹 底 下 看 見 你 、 你 就 信 麼 ． 你 將 要 看 見 比 這 更 大 的 事 。
Ngài lại phán: Quả thật, quả thật, ta nói cùng các ngươi, các ngươi sẽ thấy trời mở ra, và thiên sứ của Đức Chúa Trời lên xuống trên Con người.|又 說 、 我 實 實 在 在 的 告 訴 你 們 、 你 們 將 要 看 見 天 開 了 、 　 神 的 使 者 上 去 下 來 在 人 子 身 上 。

					Giăng 2				|
						約翰福音 2					
Cách ba ngày sau, có đám cưới tại thành Ca-na, trong xứ Ga-li-lê, và mẹ Đức Chúa Jêsus có tại đó.|第 三 日 、 在 加 利 利 的 迦 拿 有 娶 親 的 筵 席 ． 耶 穌 的 母 親 在 那 裡 。
Đức Chúa Jêsus cũng được mời đến dự đám với môn đồ Ngài.|耶 穌 和 他 的 門 徒 也 被 請 去 赴 席 。
Vừa khi thiếu rượu, mẹ Đức Chúa Jêsus nói với Ngài rằng: Người ta không có rượu nữa.|酒 用 盡 了 、 耶 穌 的 母 親 對 他 說 、 他 們 沒 有 酒 了 。
Đức Chúa Jêsus đáp rằng: Hỡi đờn bà kia, ta với ngươi có sự gì chăng? Giờ ta chưa đến.|耶 穌 說 、 母 親 、 〔 原 文 作 婦 人 〕 我 與 你 有 甚 麼 相 干 ． 我 的 時 候 還 沒 有 到 。
Mẹ Ngài nói với những kẻ hầu bàn rằng: Người biểu chi, hãy vâng theo cả.|他 母 親 對 用 人 說 、 他 告 訴 你 們 甚 麼 、 你 們 就 作 甚 麼 。
Vả, tại đó có sáu cái ché đá, định dùng về sự rửa sạch cho người Giu-đa, mỗi cái chứa hai ba lường nước.|照 猶 太 人 潔 淨 的 規 矩 、 有 六 口 石 缸 擺 在 那 裡 、 每 口 可 以 盛 兩 三 桶 水 。
Đức Chúa Jêsus biểu họ rằng: Hãy đổ nước đầy những ché nầy; thì họ đổ đầy tới miệng.|耶 穌 對 用 人 說 、 把 缸 倒 滿 了 水 ． 他 們 就 倒 滿 了 、 直 到 缸 口 。
Ngài bèn phán rằng: Bây giờ hãy múc đi, đem cho kẻ coi tiệc. Họ bèn đem cho.|耶 穌 又 說 、 現 在 可 以 舀 出 來 、 送 給 管 筵 席 的 ． 他 們 就 送 了 去 。
Lúc kẻ coi tiệc nếm nước đã biến thành rượu , bèn gọi chàng rể,|管 筵 席 的 嘗 了 那 水 變 的 酒 、 並 不 知 道 是 那 裡 來 的 、 只 有 舀 水 的 用 人 知 道 ． 管 筵 席 的 便 叫 新 郎 來 、
mà nói rằng: Mọi người đều đãi rượu ngon trước, sau khi người ta uống nhiều rồi, thì kế đến rượu vừa vừa. Còn ngươi, ngươi lại giữ rượu ngon đến bây giờ.|對 他 說 、 人 都 是 先 擺 上 好 酒 ． 等 客 喝 足 了 、 纔 擺 上 次 的 ． 你 倒 把 好 酒 留 到 如 今 。
Ay là tại Ca-na, trong xứ Ga-li-lê, mà Đức Chúa Jêsus làm phép lạ thứ nhất, và tỏ bày sự vinh hiển của mình như vậy; môn đồ bèn tin Ngài.|這 是 耶 穌 所 行 的 頭 一 件 神 蹟 、 是 在 加 利 利 的 迦 拿 行 的 、 顯 出 他 的 榮 耀 來 ． 他 的 門 徒 就 信 他 了 。
Sau việc đó, Ngài với mẹ, anh em, và môn đồ Ngài đều xuống thành Ca-bê-na-um; và chỉ ở đó ít ngày thôi.|這 事 以 後 、 耶 穌 與 他 的 母 親 弟 兄 和 門 徒 、 都 下 迦 百 農 去 ． 在 那 裡 住 了 不 多 幾 日 。
Lễ Vượt Qua của dân Giu-đa hầu đến; Đức Chúa Jêsus lên thành Giê-ru-sa-lem.|猶 太 人 的 逾 越 節 近 了 、 耶 穌 就 上 耶 路 撒 冷 去 。
Trong đền thờ, Ngài thấy có người buôn bán bò, chiên, bò câu, và có người đổi bạc dọn hàng ở đó.|看 見 殿 裡 有 賣 牛 羊 鴿 子 的 、 並 有 兌 換 銀 錢 的 人 、 坐 在 那 裡 ．
Ngài bện một cái roi bằng dây, bèn đuổi hết thảy khỏi đền thờ, chiên và bò nữa; vải tiền người đổi bạc và đổ bàn của họ.|耶 穌 就 拿 繩 子 作 成 鞭 子 、 把 牛 羊 都 趕 出 殿 去 ． 倒 出 兌 換 銀 錢 之 人 的 銀 錢 、 推 翻 他 們 的 桌 子 。
Ngài phán cùng kẻ bán bò câu rằng: Hãy cất bỏ đồ đó khỏi đây, đừng làm cho nhà Cha ta thành ra nhà buôn bán.|又 對 賣 鴿 子 的 說 、 把 這 些 東 西 拿 去 ． 不 要 將 我 父 的 殿 、 當 作 買 賣 的 地 方 。
Môn đồ Ngài bèn nhớ lại lời đã chép rằng: Sự sốt sắng về nhà Chúa tiêu nuốt tôi.|他 的 門 徒 就 想 起 經 上 記 著 說 、 『 我 為 你 的 殿 、 心 裡 焦 急 、 如 同 火 燒 。 』
Các người Giu-đa cất tiếng thưa cùng Ngài rằng: Thầy làm như vậy thì cho chúng tôi xem thấy phép lạ chi?|因 此 猶 太 人 問 他 說 、 你 既 作 這 些 事 、 還 顯 甚 麼 神 蹟 給 我 們 看 呢 。
Đức Chúa Jêsus đáp rằng: Hãy phá đền thờ nầy đi, trong ba ngày ta sẽ dựng lại!|耶 穌 回 答 說 、 你 們 拆 毀 這 殿 、 我 三 日 內 要 再 建 立 起 來 。
Người Giu-đa lại nói: Người ta xây đền thờ nầy mất bốn mươi sáu năm, mà thầy thì sẽ dựng lại trong ba ngày!|猶 太 人 便 說 、 這 殿 是 四 十 六 年 纔 造 成 的 、 你 三 日 內 就 再 建 立 起 來 麼 。
Nhưng Ngài nói về đền thờ của thân thể mình.|但 耶 穌 這 話 、 是 以 他 的 身 體 為 殿 。
Vậy, sau khi Ngài được từ kẻ chết sống lại rồi, môn đồ gẫm Ngài có nói lời đó, thì tin Kinh Thánh và lời Đức Chúa Jêsus đã phán.|所 以 到 他 從 死 裡 復 活 以 後 、 門 徒 就 想 起 他 說 過 這 話 、 便 信 了 聖 經 和 耶 穌 所 說 的 。
Đương lúc Ngài ở thành Giê-ru-sa-lem để giữ lễ Vượt Qua, có nhiều người thấy phép lạ Ngài làm, thì tin danh Ngài.|當 耶 穌 在 耶 路 撒 冷 過 逾 越 節 的 時 候 、 有 許 多 人 看 見 他 所 行 的 神 蹟 、 就 信 了 他 的 名 。
Nhưng Đức Chúa Jêsus chẳng phó thác mình cho họ, vì Ngài nhận biết mọi người,|耶 穌 卻 不 將 自 己 交 託 他 們 、 因 為 他 知 道 萬 人 ．
và không cần ai làm chứng về người nào, bởi Ngài tự thấu mọi điều trong lòng người ta.|也 用 不 著 誰 見 證 人 怎 樣 ． 因 他 知 道 人 心 裡 所 存 的 。

					Giăng 3				|
						約翰福音 3					
Trong vòng người Pha-ri-si, có người tên là Ni-cô-đem, là một người trong những kẻ cai trị dân Giu-đa.|有 一 個 法 利 賽 人 、 名 叫 尼 哥 底 母 、 是 猶 太 人 的 官 。
Ban đêm, người nầy đến cùng Đức Chúa Jêsus mà nói rằng: Thưa thầy, chúng tôi biết thầy là giáo sư từ Đức Chúa Trời đến; vì những phép lạ thầy đã làm đó, nếu Đức Chúa Trời chẳng ở cùng, thì không ai làm được.|這 人 夜 裡 來 見 耶 穌 、 說 、 拉 比 、 我 們 知 道 你 是 由 　 神 那 裡 來 作 師 傅 的 ． 因 為 你 所 行 的 神 蹟 、 若 沒 有 　 神 同 在 、 無 人 能 行 。
Đức Chúa Jêsus cất tiếng đáp rằng: Quả thật, quả thật, ta nói cùng ngươi, nếu một người chẳng sanh lại, thì không thể thấy được nước Đức Chúa Trời.|耶 穌 回 答 說 、 我 實 實 在 在 的 告 訴 你 、 人 若 不 重 生 、 就 不 能 見 　 神 的 國 。
Ni-cô-đem thưa rằng: Người đã già thì sanh lại làm sao được? Có thể nào trở vào lòng mẹ và sanh lần thứ hai sao?|尼 哥 底 母 說 、 人 已 經 老 了 、 如 何 能 重 生 呢 ． 豈 能 再 進 母 腹 生 出 來 麼 。
Đức Chúa Jêsus đáp rằng: Quả thật, quả thật, ta nói cùng ngươi, nếu một người chẳng nhờ nước và Thánh Linh mà sanh, thì không được vào nước Đức Chúa Trời.|耶 穌 說 、 我 實 實 在 在 的 告 訴 你 、 人 若 不 是 從 水 和 聖 靈 生 的 、 就 不 能 進 　 神 的 國 。
Hễ chi sanh bởi xác thịt là xác thịt; hễ chi sanh bởi Thánh Linh là thần.|從 肉 身 生 的 、 就 是 肉 身 ． 從 靈 生 的 、 就 是 靈 。
Chớ lấy làm lạ về điều ta đã nói với ngươi: Các ngươi phải sanh lại.|我 說 、 你 們 必 須 重 生 、 你 不 要 以 為 希 奇 。
Gió muốn thổi đâu thì thổi, ngươi nghe tiếng động; nhưng chẳng biết gió đến từ đâu và cũng không biết đi đâu. Hễ người nào sanh bởi Thánh Linh thì cũng như vậy.|風 隨 著 意 思 吹 、 你 聽 見 風 的 響 聲 、 卻 不 曉 得 從 那 裡 來 、 往 那 裡 去 ． 凡 從 聖 靈 生 的 、 也 是 如 此 。
Ni-cô-đem lại nói: Điều đó làm thể nào được?|尼 哥 底 母 問 他 說 、 怎 能 有 這 事 呢 。
Đức Chúa Jêsus đáp rằng: Ngươi là giáo sư của dân Y-sơ-ra-ên, mà không hiểu biết những điều đó sao!|耶 穌 回 答 說 、 你 是 以 色 列 人 的 先 生 、 還 不 明 白 這 事 麼 。
Quả thật, quả thật, ta nói cùng ngươi, chúng ta nói điều mình biết, làm chứng điều mình đã thấy; còn các ngươi chẳng hề nhận lấy lời chứng của chúng ta.|我 實 實 在 在 的 告 訴 你 、 我 們 所 說 的 、 是 我 們 知 道 的 、 我 們 所 見 證 的 、 是 我 們 見 過 的 ． 你 們 卻 不 領 受 我 們 的 見 證 。
Ví bằng ta nói với các ngươi những việc thuộc về đất, các ngươi còn chẳng tin thay; huống chi ta nói những việc thuộc về trời, thì các ngươi tin sao được?|我 對 你 們 說 地 上 的 事 、 你 們 尚 且 不 信 、 若 說 天 上 的 事 、 如 何 能 信 呢 。
Chưa hề có ai lên trời, trừ ra Đấng từ trời xuống, ấy là Con người vốn ở trên trời.|除 了 從 天 降 下 仍 舊 在 天 的 人 子 、 沒 有 人 升 過 天 。
Xưa Môi-se treo con rắn lên nơi đồng vắng thể nào, thì Con người cũng phải bị treo lên dường ấy,|摩 西 在 曠 野 怎 樣 舉 蛇 、 人 子 也 必 照 樣 被 舉 起 來 ．
hầu cho hễ ai tin đến Ngài đều được sự sống đời đời.|叫 一 切 信 他 的 都 得 永 生 。 〔 或 作 叫 一 切 信 的 人 在 他 裡 面 得 永 生 〕
Vì Đức Chúa Trời yêu thương thế gian, đến nỗi đã ban Con một của Ngài, hầu cho hễ ai tin Con ấy không bị hư mất mà được sự sống đời đời.|　 神 愛 世 人 、 甚 至 將 他 的 獨 生 子 賜 給 他 們 、 叫 一 切 信 他 的 、 不 至 滅 亡 、 反 得 永 生 。
Vả, Đức Chúa Trời đã sai Con Ngài xuống thế gian, chẳng phải để đoán xét thế gian đâu, nhưng hầu cho thế gian nhờ Con ấy mà được cứu.|因 為 　 神 差 他 的 身 子 降 世 、 不 是 要 定 世 人 的 罪 、 〔 或 作 審 判 世 人 下 同 〕 乃 是 要 叫 世 人 因 他 得 救 。
Ai tin Ngài thì chẳng bị đoán xét đâu; ai không tin thì đã bị đoán xét rồi, vì không tin đến danh Con một Đức Chúa Trời.|信 他 的 人 、 不 被 定 罪 ． 不 信 的 人 、 罪 已 經 定 了 、 因 為 他 不 信 　 神 獨 生 子 的 名 。
Vả, sự đoán xét đó là như vầy: sự sáng đã đến thế gian, mà người ta ưa sự tối tăm hơn sự sáng, vì việc làm của họ là xấu xa.|光 來 到 世 間 、 世 人 因 自 己 的 行 為 是 惡 的 、 不 愛 光 倒 愛 黑 暗 、 定 他 們 的 罪 就 是 在 此 。
Bởi vì phàm ai làm ác thì ghét sự sáng và không đến cùng sự sáng, e rằng công việc của mình phải trách móc chăng.|凡 作 惡 的 便 恨 光 、 並 不 來 就 光 、 恐 怕 他 的 行 為 受 責 備 。
Nhưng kẻ nào làm theo lẽ thật thì đến cùng sự sáng, hầu cho các việc của mình được bày tỏ ra, vì đã làm trong Đức Chúa Trời.|但 行 真 理 的 必 來 就 光 、 要 顯 明 他 所 行 的 是 靠 　 神 而 行 。
Kế đó, Đức Chúa Jêsus đi với môn đồ đến đất Giu-đê; Ngài ở với môn đồ tại đó, và làm phép báp tem.|這 事 以 後 、 耶 穌 和 門 徒 到 了 猶 太 地 、 在 那 裡 居 住 施 洗 。
Giăng cũng làm phép báp tem tại Ê-nôn, gần Sa-lim, vì ở đó có nhiều nước, và người ta đến đặng chịu phép báp tem.|約 翰 在 靠 近 撒 冷 的 哀 嫩 也 施 洗 、 因 為 那 裡 水 多 ． 眾 人 都 去 受 洗 。
Bấy giờ Giăng chưa bị bỏ vào ngục.|那 時 約 翰 還 沒 有 下 在 監 裡 。
Vả, môn đồ của Giăng có cãi lẫy với một người Giu-đa về lễ tinh sạch.|約 翰 的 門 徒 、 和 一 個 猶 太 人 辯 論 潔 淨 的 禮 。
Họ đến cùng Giăng và nói rằng: Thưa thầy, kìa, người ở cùng thầy bên kia sông Giô-đanh, mà thầy đã làm chứng cho, bây giờ đương làm phép báp tem, và ai nấy đều đến cùng người.|就 來 見 約 翰 說 、 拉 比 、 從 前 同 你 在 約 但 河 外 、 你 所 見 證 的 那 位 、 現 在 施 洗 、 眾 人 都 往 他 那 裡 去 了 。
Giăng trả lời rằng: Ví chẳng từ trên trời ban cho, thì không một người nào có thể lãnh chi được.|約 翰 說 、 若 不 是 從 天 上 賜 的 、 人 就 不 能 得 甚 麼 。
Chính các ngươi làm chứng cho ta rằng ta đã nói: Ay không phải ta là Đấng Christ, nhưng ta đã được sai đến trước Ngài.|我 曾 說 、 我 不 是 基 督 、 是 奉 差 遣 在 他 前 面 的 、 你 們 自 己 可 以 給 我 作 見 證 。
Ai mới cưới vợ, nấy là chàng rể, nhưng bạn của chàng rể đứng gần và nghe người, khi nghe tiếng của chàng rể thì rất đỗi vui mừng; ấy là sự vui mừng trọn vẹn của ta đó.|娶 新 婦 的 、 就 是 新 郎 ． 新 郎 的 朋 友 站 著 聽 見 新 郎 的 聲 音 就 甚 喜 樂 ． 故 此 我 這 喜 樂 滿 足 了 。
Ngài phải dấy lên, ta phải hạ xuống.|他 必 興 旺 、 我 必 衰 微 。
Đấng từ trên cao đến là trên hết mọi loài. Kẻ từ đất đến là thuộc về đất, và nói ra cũng như là thuộc về đất; còn Đấng từ trời đến thì trên hết mọi loài.|從 天 下 來 的 、 是 在 萬 有 之 上 ． 從 地 上 來 的 、 是 屬 乎 地 、 他 所 說 的 、 也 是 屬 乎 地 ． 從 天 上 來 的 、 是 在 萬 有 之 上 。
Ngài làm chứng về điều Ngài đã thấy và nghe; song không có ai nhận lấy lời chứng của Ngài.|他 將 所 見 所 聞 的 見 證 出 來 、 只 是 沒 有 人 領 受 他 的 見 證 。
