
					II Ti-mô-thê 1				|
Những điều con đã nghe nơi ta ở trước mặt nhiều người chứng, hãy giao phó cho mấy người trung thành, cũng có tài dạy dỗ kẻ khác.|你 在 許 多 見 證 人 面 前 聽 見 我 所 教 訓 的 、 也 要 交 託 那 忠 心 能 教 導 別 人 的 人 。
Hãy cùng ta chịu khổ như một người lính giỏi của Đức Chúa Jêsus Christ.|你 要 和 我 同 受 苦 難 、 好 像 基 督 耶 穌 的 精 兵 。
Khi một người đi ra trận, thì chẳng còn lấy việc đời lụy mình, làm vậy đặng đẹp lòng kẻ chiêu mộ mình.|凡 在 軍 中 當 兵 的 、 不 將 世 務 纏 身 、 好 叫 那 招 他 當 兵 的 人 喜 悅 。
Cùng một lẽ đó, người đấu sức trong diễn trường chỉ đấu nhau theo lệ luật thì mới được mão triều thiên.|人 若 在 埸 上 比 武 、 非 按 規 矩 、 就 不 能 得 冠 冕 。
Người cày ruộng đã khó nhọc thì phải trước nhứt được thâu hoa lợi.|勞 力 的 農 夫 、 理 當 先 得 糧 食 。
Hãy hiểu rõ điều ta nói cho con, và chính Chúa sẽ ban sự khôn ngoan cho con trong mọi việc.|我 所 說 的 話 你 要 思 想 ． 因 為 凡 事 主 必 給 你 聰 明 。
Hãy nhớ rằng Đức Chúa Jêsus Christ, sanh ra bởi dòng vua Đa-vít, đã từ kẻ chết sống lại, theo như Tin Lành của ta,|你 要 記 念 耶 穌 基 督 乃 是 大 衛 的 後 裔 ． 他 從 死 裡 復 活 、 正 合 乎 我 所 傳 的 福 音 。
vì Tin Lành đó mà ta chịu khổ, rất đỗi bị trói như người phạm tội; nhưng đạo của Đức Chúa Trời không hề bị trói đâu.|我 為 這 福 音 受 苦 難 、 甚 至 被 捆 綁 、 像 犯 人 一 樣 ． 然 而 　 神 的 道 、 卻 不 被 捆 綁 。
Vậy nên, ta vì cớ những người được chọn mà chịu hết mọi sự, hầu cho họ cũng được sự cứu trong Đức Chúa Jêsus Christ, với sự vinh hiển đời đời.|所 以 我 為 選 民 凡 事 忍 耐 、 叫 他 們 也 可 以 得 著 那 在 基 督 耶 穌 裡 的 救 恩 、 和 永 遠 的 榮 耀 。
Lời nầy chắc chắn lắm: Ví bằng chúng ta chết với Ngài, thì cũng sẽ sống với Ngài;|有 可 信 的 話 說 、 我 們 若 與 基 督 同 死 、 也 必 與 他 同 活 ．
lại nếu chúng ta chịu thử thách nổi, thì sẽ cùng Ngài đồng trị; nếu chúng ta chối Ngài, thì Ngài cũng sẽ chối chúng ta;|我 們 若 能 忍 耐 、 也 必 和 他 一 同 作 王 ． 我 們 若 不 認 他 、 他 也 必 不 認 我 們 ．
nếu chúng ta không thành tín, song Ngài vẫn thành tín, vì Ngài không thể tự chối mình được.|我 們 縱 然 失 信 、 他 仍 是 可 信 的 ． 因 為 他 不 能 背 乎 自 己 。
Nầy là điều con hãy nhắc lại và răn bảo trước mặt Đức Chúa Trời rằng, phải tránh sự cãi lẫy về lời nói, sự đó thật là vô dụng, chỉ hại cho kẻ nghe mà thôi.|你 要 使 眾 人 回 想 這 些 事 、 在 主 面 前 囑 咐 他 們 、 不 可 為 言 語 爭 辯 ． 這 是 沒 有 益 處 的 、 只 能 敗 壞 聽 見 的 人 。
Hãy chuyên tâm cho được đẹp lòng Đức Chúa Trời như người làm công không chỗ trách được, lấy lòng ngay thẳng giảng dạy lời của lẽ thật.|你 當 竭 力 、 在 　 神 面 前 得 蒙 喜 悅 、 作 無 愧 的 工 人 、 按 著 正 意 分 解 真 理 的 道 。
Nhưng phải bỏ những lời hư không phàm tục; vì những kẻ giữ điều đó càng sai lạc luôn trong đường không tin kính,|但 要 遠 避 世 俗 的 虛 談 ． 因 為 這 等 人 必 進 到 更 不 敬 虔 的 地 步 ．
và lời nói của họ như chùm bao ăn lan. Hy-mê-nê và Phi-lết thật như thế,|他 們 的 話 如 同 毒 瘡 、 越 爛 越 大 ． 其 中 有 許 米 乃 和 腓 理 徒 ．
họ xây bỏ lẽ thật; nói rằng sự sống lại đã đến rồi, mà phá đổ đức tin của một vài người cách như vậy.|他 們 偏 離 了 真 道 、 說 復 活 的 事 已 過 、 就 敗 壞 好 些 人 的 信 心 。
Tuy vậy, nền vững bền của Đức Chúa Trời đã đặt vẫn còn nguyên, có mấy lời như ấn đóng rằng: Chúa biết kẻ thuộc về Ngài; lại rằng: Phàm người kêu cầu danh Chúa thì phải tránh khỏi sự gian ác.|然 而 　 神 堅 固 的 根 基 立 住 了 ． 上 面 有 這 印 記 說 、 主 認 識 誰 是 他 的 人 ． 又 說 、 凡 稱 呼 主 名 的 人 、 總 要 離 開 不 義 。
Trong một nhà lớn, không những có bình vàng bình bạc mà thôi, cũng có cái bằng gỗ bằng đất nữa, thứ thì dùng việc sang, thứ thì dùng việc hèn.|在 大 戶 人 家 、 不 但 有 金 器 銀 器 、 也 有 木 器 瓦 器 ． 有 作 為 貴 重 的 、 有 作 為 卑 賤 的 。
Vậy, ai giữ mình cho khỏi những điều ô uế đó, thì sẽ như cái bình quí trọng, làm của thánh, có ích cho chủ mình và sẵn sàng cho mọi việc lành.|人 若 自 潔 、 脫 離 卑 賤 的 事 、 就 必 作 貴 重 的 器 皿 、 成 為 聖 潔 、 合 乎 主 用 、 豫 備 行 各 樣 的 善 事 。
Cũng hãy tránh khỏi tình dục trai trẻ, mà tìm những điều công bình, đức tin, yêu thương, hòa thuận với kẻ lấy lòng tinh sạch kêu cầu Chúa.|你 要 逃 避 少 年 的 私 慾 、 同 那 清 心 禱 告 主 的 人 追 求 公 義 、 信 德 、 仁 愛 、 和 平 。
Hãy cự những lời bàn luận điên dại và trái lẽ, vì biết rằng chỉ sanh ra điều tranh cạnh mà thôi.|惟 有 那 愚 拙 無 學 問 的 辯 論 、 總 要 棄 絕 ． 因 為 知 道 這 等 事 是 起 爭 競 的 。
Vả, tôi tớ của Chúa không nên ưa sự tranh cạnh; nhưng phải ở tử tế với mọi người, có tài dạy dỗ, nhịn nhục,|然 而 主 的 僕 人 不 可 爭 競 、 只 要 溫 溫 和 和 的 待 眾 人 、 善 於 教 導 、 存 心 忍 耐 、
dùng cách mềm mại mà sửa dạy những kẻ chống trả, mong rằng Đức Chúa Trời ban cho họ sự ăn năn để nhìn biết lẽ thật,|用 溫 柔 勸 戒 那 抵 擋 的 人 ． 或 者 　 神 給 他 們 悔 改 的 心 、 可 以 明 白 真 道 ．
và họ tỉnh ngộ mà gỡ mình khỏi lưới ma quỉ, vì đã bị ma quỉ bắt lấy đặng làm theo ý nó.|叫 他 們 這 已 經 被 魔 鬼 任 意 擄 去 的 、 可 以 醒 悟 、 脫 離 他 的 網 羅 。

					II Ti-mô-thê 3				|
						提摩太后書 3					
Hãy biết rằng trong ngày sau rốt, sẽ có những thời kỳ khó khăn.|你 該 知 道 、 末 世 必 有 危 險 的 日 子 來 到 。
Vì người ta đều tư kỷ, tham tiền, khoe khoang, xấc xược, hay nói xấu, nghịch cha mẹ, bó buộc, không tin kính,|因 為 那 時 人 要 專 顧 自 己 、 貪 愛 錢 財 、 自 誇 、 狂 傲 、 謗 讟 、 違 背 父 母 、 忘 恩 負 義 、 心 不 聖 潔 、
vô tình, khó hòa thuận, hay phao vu, không tiết độ, dữ tợn, thù người lành,|無 親 情 、 不 解 怨 、 好 說 讒 言 、 不 能 自 約 、 性 情 兇 暴 、 不 愛 良 善 、
lường thầy phản bạn, hay nóng giận, lên mình kiêu ngạo, ưa thích sự vui chơi hơn là yêu mến Đức Chúa Trời,|賣 主 賣 友 、 任 意 妄 為 、 自 高 自 大 、 愛 宴 樂 不 愛 　 神 ．
bề ngoài giữ điều nhơn đức, nhưng chối bỏ quyền phép của nhơn đức đó. Những kẻ thể ấy, con hãy lánh xa đi.|有 敬 虔 的 外 貌 、 卻 背 了 敬 虔 的 實 意 ． 這 等 人 你 要 躲 開 。
Trong bọn họ có kẻ lẻn vào các nhà, quyến dụ lòng những người đờn bà mang tội lỗi, bị bao nhiêu tình dục xui khiến,|那 偷 進 人 家 、 牢 籠 無 知 婦 女 的 、 正 是 這 等 人 ． 這 些 婦 女 擔 負 罪 惡 、 被 各 樣 的 私 慾 引 誘 ．
vẫn học luôn mà không hề thông biết lẽ thật được.|常 常 學 習 、 終 久 不 能 明 白 真 道 。
Xưa kia Gian-nét với Giam-be chống trả Môi-se thể nào, thì những kẻ nầy cũng chống trả lẽ thật thể ấy: lòng họ hoại bại, đức tin họ không thể chịu thử thách được.|從 前 雅 尼 和 佯 庇 怎 樣 敵 擋 摩 西 、 這 等 人 也 怎 樣 敵 擋 真 道 ． 他 們 的 心 地 壞 了 、 在 真 道 上 是 可 廢 棄 的 。
Nhưng họ không làm thêm được nữa, vì sự điên dại của họ sẽ bày tỏ ra cho thiên hạ, cũng như của hai người kia.|然 而 他 們 不 能 再 這 樣 敵 擋 、 因 為 他 們 的 愚 昧 、 必 在 眾 人 面 前 顯 露 出 來 、 像 那 二 人 一 樣 。
Về phần con, con đã noi theo ta trong sự dạy dỗ, tánh hạnh, ý muốn, đức tin, nhịn nhục, yêu thương, bền đỗ của ta,|但 你 已 經 服 從 了 我 的 教 訓 、 品 行 、 志 向 、 信 心 、 寬 容 、 愛 心 、 忍 耐 、
trong những sự bắt bớ, và hoạn nạn đã xảy đến cho ta tại thành An-ti-ốt, Y-cô-ni và Lút-trơ. Những sự bắt bớ đó ta đều chịu cả, và Chúa đã cứu ta thoát khỏi luôn luôn.|以 及 我 在 安 提 阿 、 以 哥 念 、 路 司 得 、 所 遭 遇 的 逼 迫 、 苦 難 ． 我 所 忍 受 是 何 等 的 逼 迫 ． 但 從 這 一 切 苦 難 中 、 主 都 把 我 救 出 來 了 。
Vả lại, hết thảy mọi người muốn sống cách nhân đức trong Đức Chúa Jêsus Christ, thì sẽ bị bắt bớ.|不 但 如 此 、 凡 立 志 在 基 督 耶 穌 裡 敬 虔 度 日 的 、 也 都 要 受 逼 迫 。
Nhưng những người hung ác, kẻ giả mạo thì càng chìm đắm luôn trong điều dữ, làm lầm lạc kẻ khác mà cũng lầm lạc chính mình nữa.|只 是 作 惡 的 、 和 迷 惑 人 的 、 必 越 久 越 惡 、 他 欺 哄 人 也 被 人 欺 哄 。
Về phần con, hãy đứng vững trong những sự con đã đem lòng tin chắc mà học và nhận lấy, vì biết con đã học những điều đó với ai,|但 你 所 學 習 的 、 所 確 信 的 、 要 存 在 心 裡 ． 因 為 你 知 道 是 跟 誰 學 的 ．
và từ khi con còn thơ ấu đã biết Kinh Thánh vốn có thể khiến con khôn ngoan để được cứu bởi đức tin trong Đức Chúa Jêsus Christ.|並 且 知 道 你 是 從 小 明 白 聖 經 ． 這 聖 經 能 使 你 因 信 基 督 耶 穌 有 得 救 的 智 慧 。
Cả Kinh Thánh đều là bởi Đức Chúa Trời soi dẫn, có ích cho sự dạy dỗ, bẻ trách, sửa trị, dạy người trong sự công bình,|聖 經 都 是 　 神 所 默 示 的 、 〔 或 作 凡 　 神 所 默 示 的 聖 經 〕 於 教 訓 、 督 責 、 使 人 歸 正 、 教 導 人 學 義 、 都 是 有 益 的 ．
hầu cho người thuộc về Đức Chúa Trời được trọn vẹn và sắm sẵn để làm mọi việc lành.|叫 屬 　 神 的 人 得 以 完 全 、 豫 備 行 各 樣 的 善 事 。

					II Ti-mô-thê 4				|
						提摩太后書 4					
Ta ở trước mặt Đức Chúa Trời và trước mặt Đức Chúa Jêsus Christ là Đấng sẽ đoán xét kẻ sống và kẻ chết, nhơn sự đến của Ngài và nước Ngài mà răn bảo con rằng:|我 在 　 神 面 前 、 並 在 將 來 審 判 活 人 死 人 的 基 督 耶 穌 面 前 、 憑 著 他 的 顯 現 和 他 的 國 度 囑 咐 你 ．
hãy giảng đạo, cố khuyên, bất luận gặp thời hay không gặp thời, hãy đem lòng rất nhịn nhục mà bẻ trách, nài khuyên, sửa trị, cứ dạy dỗ chẳng thôi.|務 要 傳 道 ． 無 論 得 時 不 得 時 、 總 要 專 心 、 並 用 百 般 的 忍 耐 、 各 樣 的 教 訓 、 責 備 人 、 警 戒 人 、 勸 勉 人 。
Vì sẽ có một thời kia, người ta không chịu nghe đạo lành; những vì họ ham nghe những lời êm tai, theo tư dục mà nhóm họp các giáo sư xung quanh mình,|因 為 時 候 要 到 、 人 必 厭 煩 純 正 的 道 理 ． 耳 朵 發 癢 、 就 隨 從 自 己 的 情 慾 、 增 添 好 些 師 傅 ．
bịt tai không nghe lẽ thật, mà xây hướng về chuyện huyễn.|並 且 掩 耳 不 聽 真 道 、 偏 向 荒 渺 的 言 語 。
Nhưng con, phải có tiết độ trong mọi sự, hãy chịu cực khổ, làm việc của người giảng Tin Lành, mọi phận sự về chức vụ con phải làm cho đầy đủ.|你 卻 要 凡 事 謹 慎 、 忍 受 苦 難 、 作 傳 道 的 工 夫 、 盡 你 的 職 份 。
Về phần ta, ta đang bị đổ ra làm lễ quán, kỳ qua đời của ta gần rồi.|我 現 在 被 澆 奠 、 我 離 世 的 時 候 到 了 。
Ta đã đánh trận tốt lành, đã xong sự chạy, đã giữ được đức tin.|那 美 好 的 仗 我 已 經 打 過 了 ． 當 跑 的 路 我 已 經 跑 盡 了 ． 所 信 的 道 我 已 經 守 住 了 ．
Hiện nay mão triều thiên của sự công bình đã để dành cho ta; Chúa là quan án công bình, sẽ ban mão ấy cho ta trong ngày đó, không những cho ta mà thôi, những cũng cho mọi kẻ yêu mến sự hiện đến của Ngài.|從 此 以 後 、 有 公 義 的 冠 冕 為 我 存 留 、 就 是 按 著 公 義 審 判 的 主 到 了 那 日 要 賜 給 我 的 ． 不 但 賜 給 我 、 也 賜 給 凡 愛 慕 他 顯 現 的 人 。
Hãy cố gắng đến cùng ta cho kíp;|你 要 趕 緊 的 到 我 這 裡 來 。
vì Đê-ma đã lìa bỏ ta rồi, tại người ham hố đời nầy, và đã đi qua thành Tê-sa-lô-ni-ca. Cơ-rết-xen đi trong xứ Ga-li-lê, còn Tít thì đi xứ Đa-ma-ti rồi.|因 為 底 馬 貪 愛 現 今 的 世 界 、 就 離 棄 我 往 帖 撒 羅 尼 迦 去 了 ． 革 勒 士 往 加 拉 太 去 ． 提 多 往 撻 馬 太 去 ．
Chỉ có một mình Lu-ca ở với ta. Hãy đem Mác đến với con, vì người thật có ích cho ta về sự hầu việc lắm.|獨 有 路 加 在 我 這 裡 。 你 來 的 時 候 要 把 馬 可 帶 來 ． 因 為 他 在 傳 道 的 事 上 於 我 有 益 處 。 〔 傳 道 或 作 服 事 我 〕
Ta đã sai Ti-chi-cơ sang thành Ê-phê-sô.|我 已 經 打 發 推 基 古 往 以 弗 所 去 。
Khi con sẽ đến, hãy đem áo choàng mà ta để lại tại nhà Ca-bút, thành Trô-ách, cùng những sách vở nữa, nhứt là những sách bằng giấy da.|我 在 特 羅 亞 留 於 加 布 的 那 件 外 衣 、 你 來 的 時 候 可 以 帶 來 ． 那 些 書 也 要 帶 來 ． 更 是 要 緊 的 是 那 些 皮 卷 。
A-léc-xan-đơ; thợ đồng, đã làm hại ta nhiều lắm; tùy theo công việc hắn, Chúa sẽ báo ứng.|銅 匠 亞 力 山 大 多 多 的 害 我 ． 主 必 照 他 所 行 的 報 應 他 。
Con cũng phải coi chừng người đó, vì hắn hết sức chống trả lời chúng ta.|你 也 要 防 備 他 ． 因 為 他 極 力 敵 擋 了 我 們 的 話 。
Khi ta binh vực mình lần thứ nhứt, chẳng có ai giúp đỡ; hết thảy đều lìa bỏ ta. Nguyền xin điều đó đừng đổ tội về họ!|我 初 次 申 訴 、 沒 有 人 前 來 幫 助 、 竟 都 離 棄 我 ． 但 願 這 罪 不 歸 與 他 們 。
Nhưng Chúa đã giúp đỡ ta và thêm sức cho ta, hầu cho Tin Lành bởi ta được rao truyền đầy dẫy, để hết thảy dân ngoại đều nghe; ta lại đã được cứu khỏi hàm sư tử.|惟 有 主 站 在 我 旁 邊 、 加 給 我 力 量 、 使 福 音 被 我 盡 都 傳 明 、 叫 外 邦 人 都 聽 見 ． 我 也 從 獅 子 口 裡 被 救 出 來 。
Chúa sẽ giải thoát ta khỏi mọi điều ác và cứu vớt ta vào trong nước trên trời của Ngài. Nguyền xin sự vinh hiển về nơi Ngài muôn đời không cùng! A-men.|主 必 救 我 脫 離 諸 般 的 兇 惡 、 也 必 救 我 進 他 的 天 國 。 願 耀 歸 給 他 、 直 到 永 永 遠 遠 。 阿 們 。
Hãy chào thăm Bơ-rít-ca và A-qui-la, cùng người nhà Ô-nê-si-phô-rơ.|問 百 基 拉 、 亞 居 拉 、 和 阿 尼 色 弗 一 家 的 人 安 。
Ê-rát ở lại tại thành Cô-rinh-tô, còn Trô-phim đương đau ốm, ta để ở lại tại thành Mi-lê.|以 拉 都 在 哥 林 多 住 下 了 。 特 羅 非 摩 病 了 、 我 就 留 他 在 米 利 都 。
Con hãy cố sức đến trước mùa đông. Ơ-bu-lu, Bu-đen, Li-nút, Cơ-lau-đia cùng anh em thảy đều chào thăm con.|你 要 趕 緊 在 冬 天 以 前 到 我 這 裡 來 。 有 友 布 羅 、 布 田 、 利 奴 、 革 老 底 亞 和 眾 弟 兄 、 都 問 你 安 。
Nguyền xin Chúa ở cùng tâm thần con! Cầu xin ân điển ở cùng các anh em!|願 主 與 你 的 靈 同 在 。 願 恩 惠 常 與 你 們 同 在 。
