
					II Sử Ký 1				|
Đoạn, Sa-lô-môn từ nơi cao tại Ga-ba-ôn, ở trước hội mạc, trở về Giê-ru-sa-lem; và người cai trị Y-sơ-ra-ên.|於 是 所 羅 門 從 基 遍 邱 壇 會 幕 前 、 回 到 耶 路 撒 冷 、 治 理 以 色 列 人 。
Sa-lô-môn nhóm những xe và lính kỵ, được một ngàn bốn trăm cỗ xe, và mười hai ngàn lính kỵ; người để nó trong thành chứa xe, và gần nơi vua tại Giê-ru-sa-lem.|所 羅 門 聚 集 戰 車 馬 兵 ． 有 戰 車 一 千 四 百 輛 、 馬 兵 一 萬 二 千 名 、 安 置 在 屯 車 的 城 邑 、 和 耶 路 撒 冷 、 就 是 王 那 裡 。
Vua làm cho bạc vàng trong Giê-ru-sa-lem ra thường như đá sỏi, và cây bá hương nhiều như cây sung nơi đồng bằng.|王 在 耶 路 撒 冷 、 使 金 銀 多 如 石 頭 、 香 柏 木 多 如 高 原 的 桑 樹 。
Còn ngựa của Sa-lô-môn đều từ Ê-díp-tô mà ra; các con buôn của vua đi lãnh mua nó từng bầy, mỗi bầy theo giá nhất định.|所 羅 門 的 馬 是 從 埃 及 帶 來 的 ． 是 王 的 商 人 一 群 一 群 按 著 定 價 買 來 的 。
Người ta từ xứ Ê-díp-tô mua đem lên một cái xe giá sáu trăm siếc-lơ bạc, còn một con ngựa giá một trăm năm mươi siếc-lơ; các vua dân Hê-tít và vua Sy-ri cũng theo giá ấy nhờ những con buôn của vua mà mua về.|他 們 從 埃 及 買 來 的 車 、 每 輛 價 銀 七 百 舍 客 勒 、 馬 每 匹 一 百 五 十 舍 客 勒 ． 赫 人 諸 王 和 亞 蘭 諸 王 所 買 的 車 馬 、 也 是 按 這 價 值 經 他 們 手 買 來 的 。

					II Sử Ký 2				|
						歷代志下 2					
Vả, Sa-lô-môn định cất một cái đền cho danh Đức Giê-hô-va, và một cái cung cho nước mình.|所 羅 門 定 意 要 為 耶 和 華 的 名 建 造 殿 宇 、 又 為 自 己 的 國 建 造 宮 室 。
Sa-lô-môn bèn lựa bảy vạn người bưng gánh, tám vạn người thợ đẽo đá trên núi, và ba ngàn sáu trăm người đốc công.|所 羅 門 就 挑 選 七 萬 扛 抬 的 、 八 萬 在 山 上 鑿 石 頭 的 、 三 千 六 百 督 工 的 。
Sa-lô-môn sai đến Hi-ram, vua Ty-rơ, mà nói rằng: Vua đã hậu đãi Đa-vít, cha tôi, cung cấp cây bá hương cho người đặng cất cái cung để người ở; xin vua cũng hãy đãi tôi như thế.|所 羅 門 差 人 去 見 推 羅 王 希 蘭 說 、 你 曾 運 香 柏 木 與 我 父 大 衛 建 宮 居 住 ． 求 你 也 這 樣 待 我 ．
Này tôi toan cất một đền cho danh Giê-hô-va Đức Chúa Trời tôi, biệt đền ấy riêng ra thánh cho Ngài, đặng xông nhũ hương trước mặt Ngài, bày bánh trần thiết luôn luôn, dâng của lễ thiêu về buổi sáng và về buổi chiều, hoặc trong ngày sa-bát, ngày mồng một, hay là trong những ngày lễ định của Giê-hô-va Đức Chúa Trời chúng tôi; đều đó vốn là một lệ định cho Y-sơ-ra-ên đến đời đời.|我 要 為 耶 和 華 我 　 神 的 名 建 造 殿 宇 、 分 別 為 聖 獻 給 他 、 在 他 面 前 焚 燒 美 香 、 常 擺 陳 設 餅 、 每 早 晚 、 安 息 日 、 月 朔 、 並 耶 和 華 我 們 　 神 所 定 的 節 期 獻 燔 祭 ． 這 是 以 色 列 人 永 遠 的 定 例 。
Đức Chúa Trời chúng tôi vốn cao sang, vượt qua hết các thần; nên cái đền tôi toan cất sẽ nguy nga.|我 所 要 建 造 的 殿 宇 甚 大 ． 因 為 我 們 的 　 神 至 大 、 超 乎 諸 神 ．
Chớ thì ai có sức xây cất cho Chúa một cái đền; vì trời và đến đỗi trời của các từng trời còn chẳng chứa Ngài được thay! Vậy tôi là ai, mà cất được một cái đền cho Chúa? Cất nó chẳng qua là để xông hương tại trước mặt Ngài đó thôi.|天 和 天 上 的 天 、 尚 且 不 足 他 居 住 的 ． 誰 能 為 他 建 造 殿 宇 呢 ． 我 是 誰 、 能 為 他 建 造 殿 宇 麼 ． 不 過 在 他 面 前 燒 香 而 已 。
Vậy, bây giờ, vua hãy sai đến cùng tôi một người giỏi về nghề chế đồ vàng, bạc, đồng, sắt, thạo dệt bằng chỉ tím, đỏ và xanh, cùng biết chạm trổ đủ nghề, để làm việc với những người tài giỏi ở bên tôi, tại Giu-đa và Giê-ru-sa-lem, mà Đa-vít, cha tôi, đã sắm sẵn.|現 在 求 你 差 一 個 巧 匠 來 、 就 是 善 用 金 、 銀 、 銅 、 鐵 、 和 紫 色 朱 紅 色 藍 色 線 、 並 精 於 雕 刻 之 工 的 巧 匠 、 與 我 父 大 衛 在 猶 大 和 耶 路 撒 冷 所 豫 備 的 巧 匠 一 同 作 工 。
Cũng hãy lấy ở Li-ban gỗ bá hương, gỗ tòng, và gỗ bạch đàn hương mà gởi đến cho tôi vì tôi vẫn biết rằng các tôi tớ vua đều thạo đốn cây trên Li-ban; này các tôi tớ tôi cũng sẽ giúp đỡ các tôi tớ vua,|又 求 你 從 利 巴 嫩 運 些 香 柏 木 、 松 木 、 檀 香 木 、 到 我 這 裡 來 ． 因 我 知 道 你 的 僕 人 善 於 砍 伐 利 巴 嫩 的 樹 木 ． 我 的 僕 人 也 必 與 你 的 僕 人 同 工 ．
đặng lo đốn sắm sửa cây gỗ cho nhiều; vì cái đền mà tôi toan cất sẽ nguy nga lạ kỳ.|這 樣 、 可 以 給 我 豫 備 許 多 的 木 料 ． 因 我 要 建 造 的 殿 宇 、 高 大 出 奇 。
Tôi sẽ cấp cho các tôi tớ vua, là những kẻ đốn cây, hai vạn cô-rơ lúa miếng rĩa rồi, hai vạn cô-rơ lúc mạch, hai vạn bát rượu, và hai vạn bát dầu.|你 的 僕 人 砍 伐 樹 木 、 我 必 給 他 們 打 好 了 的 小 麥 二 萬 歌 珥 、 大 麥 二 萬 歌 珥 、 酒 二 萬 罷 特 、 油 二 萬 罷 特 。
Hi-ram, vua Ty-rơ, bèn viết thơ gởi cho Sa-lô-môn, mà rằng: Vì cớ Đức Giê-hô-va yêu thương dân sự mình, nên Ngài đã lập vua làm vua trên chúng.|推 羅 王 希 蘭 寫 信 回 答 所 羅 門 說 、 耶 和 華 因 為 愛 他 的 子 民 、 所 以 立 你 作 他 們 的 王 。
Hi-ram lại nói: Ngợi khen Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, là Đấng dựng nên trời đất, vì Ngài đã ban cho vua Đa-vít một con trai khôn ngoan, dẽ dặt, thông minh, để cất một cái đền cho Ngài và một cái cung cho nước người.|又 說 、 創 造 天 地 的 耶 和 華 以 色 列 的 　 神 、 是 應 當 稱 頌 的 、 他 賜 給 大 衛 王 一 個 有 智 慧 的 兒 子 、 使 他 有 謀 略 聰 明 、 可 以 為 耶 和 華 建 造 殿 宇 、 又 為 自 己 的 國 建 造 宮 室 。
Bây giờ, tôi sai đến cho vua một người khéo, có trí thông sáng, là Hu-ram -A-bi,|現 在 我 打 發 一 個 精 巧 有 聰 明 的 人 去 、 他 是 我 父 親 希 蘭 所 用 的 、
con trai của người đờn bà về chi phái Đan, cha người là dân Ty-rơ; người giỏi về nghề chế đồ vàng, bạc, đồng, sắt, đá, và gỗ, thạo dệt chỉ tím, xanh và đỏ sậm, cùng chỉ gai trắng xe mịn, cũng biết làm các thứ chạm trổ, và tạo ra đủ thứ vật xảo mà người ta sẽ biểu nó làm. Nó sẽ làm việc với những thợ khéo của thân phụ vua là Đa-vít chúa tôi.|是 但 支 派 一 個 婦 人 的 兒 子 ． 他 父 親 是 推 羅 人 、 他 善 用 金 、 銀 、 銅 、 鐵 、 石 、 木 、 和 紫 色 藍 色 朱 紅 色 線 、 與 細 麻 、 製 造 各 物 、 並 精 於 雕 刻 、 又 能 想 出 各 樣 的 巧 工 ． 請 你 派 定 這 人 、 與 你 的 巧 匠 和 你 父 我 主 大 衛 的 巧 匠 、 一 同 作 工 。
Vậy bây giờ xin chúa tôi hãy gởi cho các tôi tớ chúa lúa miến, lúa mạch, dầu, và rượu, mà chúa tôi đã nói đến;|我 主 所 說 的 小 麥 、 大 麥 、 酒 、 油 、 願 我 主 運 來 給 眾 僕 人 ．
còn chúng tôi sẽ đốn gỗ tại trên Li-ban theo số bao nhiêu vua cần dùng, rồi kết thành bè đem ra biển đến Gia-phô; đoạn vua sẽ chở lên Giê-ru-sa-lem.|我 們 必 照 你 所 需 用 的 、 從 利 巴 嫩 砍 伐 樹 木 、 紮 成 筏 子 、 浮 海 運 到 約 帕 ． 你 可 以 從 那 裡 運 到 耶 路 撒 冷 。
Sa-lô-môn bèn điểm soát các người ngoại quốc ở trong nước Y-sơ-ra-ên, tùy theo số Đa-vít, cha người, đã điểm soát; thấy được mười lăm vạn ba ngàn sáu trăm người.|所 羅 門 仿 照 他 父 大 衛 數 點 住 在 以 色 列 地 所 有 寄 居 的 外 邦 人 ． 共 有 十 五 萬 三 千 六 百 名 ．
Trong số đó người đặt bảy vạn người làm kẻ khiêng gánh, tám vạn người đẽo đá trên núi, và ba ngàn sáu trăm người đốc công, đặng sai khiến dân chúng làm việc.|使 七 萬 人 扛 抬 材 料 、 八 萬 人 在 山 上 鑿 石 頭 、 三 千 六 百 人 督 理 工 作 。

					II Sử Ký 3				|
						歷代志下 3					
Sa-lô-môn khởi cất đền Đức Giê-hô-va tại Giê-ru-sa-lem, trên núi Mô-ri -a, là nơi Đức Giê-hô-va đã hiện ra cùng Đa-vít, cha người, tại trên chỗ mà Đa-vít đã dọn, tức là trong sân đạp lúa của Ot-na, người Giê-bu-sít.|所 羅 門 就 在 耶 路 撒 冷 、 耶 和 華 向 他 父 大 衛 顯 現 的 摩 利 亞 山 上 、 就 是 耶 布 斯 人 阿 珥 楠 的 禾 場 上 、 大 衛 所 指 定 的 地 方 、 豫 備 好 了 、 開 工 建 造 耶 和 華 的 殿 。
Sa-lô-môn khởi xây cất nhằm ngày mồng hai tháng hai, năm thứ tư đời người trị vì.|所 羅 門 作 王 第 四 年 、 二 月 初 二 日 開 工 建 造 ．
Nầy là nền Sa-lô-môn đã lập đặng cất đền của Đức Chúa Trời: bề dài, theo thước xưa, là sáu mươi thước, và bề ngang hai mươi thước.|所 羅 門 建 築 　 神 殿 的 根 基 、 乃 是 這 樣 ． 長 六 十 肘 、 寬 二 十 肘 、 都 按 著 古 時 的 尺 寸 。
Hiên cửa ở phía trước, bề dài hai mươi thước, y như bề ngang của đền vậy, và bề cao một trăm hai mươi thước; người bọc bề trong bằng vàng ròng.|殿 前 的 廊 子 長 二 十 肘 、 與 殿 的 寬 窄 一 樣 、 高 一 百 二 十 肘 ． 裡 面 貼 上 精 金 。
Cái vách đền lớn, người lợp bằng gỗ bá hương, và bọc vàng ròng, chạm hình cây chà là và dây xích ở trên.|大 殿 的 牆 、 都 用 松 木 板 遮 蔽 、 又 貼 了 精 金 、 上 面 雕 刻 棕 樹 和 鍊 子 ．
Người lót đền bằng đá quí đặng trang sức nó; vàng là vàng Phạt-va-im.|又 用 寶 石 裝 飾 殿 牆 、 使 殿 華 美 ． 所 用 的 金 子 都 是 巴 瓦 音 的 金 子 。
Người lại bọc vàng cái đền, mè, ngạch cửa, vách, và cửa của đền, còn trên vách thì chạm hình chê-ru-bin.|又 用 金 子 貼 殿 和 殿 的 棟 樑 、 門 檻 、 牆 壁 、 門 扇 ． 牆 上 雕 刻 ? ? ? 。
Người cũng làm nơi chí thánh: bề dài hai mươi thước, y như bề ngang của đền, và bề ngang cũng hai mươi thước; người bọc nơi ấy bằng vàng ròng; vàng dùng cọng đặng sáu trăm ta lâng.|又 建 造 至 聖 所 、 長 二 十 肘 、 與 殿 的 寬 窄 一 樣 、 寬 也 是 二 十 肘 ． 貼 上 精 金 、 共 用 金 子 六 百 他 連 得 。
Những đinh vàng cân nặng năm mươi siếc lơ; người cũng bọc vàng các phòng cao.|金 釘 重 五 十 舍 客 勒 。 樓 房 都 貼 上 金 子 。
Tại trong nơi chí thánh, người làm hai chê-ru-bin, cứ phép trổ tượng, rồi bọc vàng.|在 至 聖 所 按 造 像 的 法 子 造 兩 個 ? ? ? ． 用 金 子 包 裹 ．
Bốn cánh của hai chê-ru-bin dài hai mươi thước; cánh này của chê-ru-bin bên hữu dài năm thước, đụng đến vách đền, còn cánh kia cũng dài năm thước, và đụng cánh của chê-ru-bin bên tả.|兩 個 ? ? ? 的 翅 膀 共 長 二 十 肘 ． 這 ? ? ? 的 一 個 翅 膀 長 五 肘 、 挨 著 殿 這 邊 的 牆 ． 那 一 個 翅 膀 也 長 五 肘 、 與 那 ? ? ? 翅 膀 相 接 ．
Cánh này của chê-ru-bin về bên tả dài năm thước, và đụng đến vách đền, còn cánh kia cũng dài năm thước, tiếp giáp với cánh chê-ru-bin về bên hữu.|那 ? ? ? 的 一 個 翅 膀 長 五 肘 、 挨 著 殿 那 邊 的 牆 、 那 一 個 翅 膀 也 長 五 肘 、 與 這 ? ? ? 的 翅 膀 相 接 ．
Các cánh của hai chê-ru-bên đều sè ra, cọng dài hai mươi thước; hai chê-ru-bin đứng thẳng chơn lên, ngảnh mặt hướng về nơi thánh.|兩 個 ? ? ? 張 開 翅 膀 、 共 長 二 十 肘 、 面 向 外 殿 而 立 。
Người lại chế bức màn bằng chỉ màu xanh, màu tím, màu đỏ sặm, cùng chỉ gai xe mịn, rồi ở trên thêu hình chê-ru-bin.|又 用 藍 色 紫 色 朱 紅 色 線 、 和 細 麻 織 幔 子 、 在 其 上 繡 出 ? ? ? 來 。
Đằng trước đền, người xây hai cây trụ, bề cao ba mươi lăm thước, đầu trụ ở trên chót hai trụ được năm thước.|在 殿 前 造 了 兩 根 柱 子 、 高 三 十 五 肘 、 每 柱 頂 高 五 肘 。
Người lại làm dây xích giống như dây xích trong nơi chí thánh, để trên chót trụ, rồi làm một trăm trái lựu mà gắn nơi dây xích ấy.|又 照 聖 所 內 鍊 子 的 樣 式 作 鍊 子 、 安 在 柱 頂 上 ． 又 作 一 百 石 榴 、 安 在 鍊 子 上 ．
Người dựng hai trụ đó ở trước đền thờ, cây nầy bên hữu, cây kia bên tả; đặt tên cây bên hữu là Gia-kin và cây bên tả là Bô-ách.|將 兩 根 柱 子 立 在 殿 前 、 一 根 在 右 邊 、 一 根 在 左 邊 ． 右 邊 的 起 名 叫 雅 斤 、 左 邊 的 起 名 叫 波 阿 斯 。

					II Sử Ký 4				|
						歷代志下 4					
Người lại làm một cái bàn thờ đồng, bề dài hai mươi thước, bề ngang hai mươi thước và bề cao mười thước.|他 又 製 造 一 座 銅 壇 、 長 二 十 肘 、 寬 二 十 肘 、 高 十 肘 。
Người làm một cái biển đúc, từ mép này qua mép kia được mười thước, tròn tứ vi, và cao năm thước; một sợi dây ba mươi thước vấn chung quanh nó.|又 鑄 一 個 銅 海 、 樣 式 是 圓 的 、 高 五 肘 、 徑 十 肘 、 圍 三 十 肘 。
Ở dưới vòng chung quanh biển, có hình giống con bò, mỗi thước mười con, làm hai hàng, đúc một lượt với biển.|海 周 圍 有 野 瓜 的 樣 式 、 每 肘 十 瓜 、 共 有 兩 行 ． 是 鑄 海 的 時 候 鑄 上 的 。 〔 野 瓜 原 文 作 牛 〕
Biển để kê trên mười hai tượng con bò, ba con xây về hướng bắc, ba con xây về hướng tây, ba con xây về hướng nam, và ba con xây về hướng đông; biển ở trên các con bò ấy, thân sau chúng nó đều quay vào trong.|有 十 二 隻 銅 牛 馱 海 、 三 隻 向 北 、 三 隻 向 西 、 三 隻 向 南 、 三 隻 向 東 ． 海 在 牛 上 、 牛 尾 向 內 。
Bề dày biển một gang, mép nó như mép cái chén, làm tợ hoa huệ nở; chứa được ba ngàn bát.|海 厚 一 掌 、 邊 如 杯 邊 、 又 如 百 合 花 ． 可 容 三 千 罷 特 ．
Người cũng làm mười cái thùng, để năm cái bên hữu và năm cái bên tả đặng rửa tại đó; người ta rửa trong đó vật gì thuộc về của lễ thiêu; còn những thầy tế lễ đều tắm rửa trong biển đúc.|又 製 造 十 個 盆 、 五 個 放 在 右 邊 、 五 個 放 在 左 邊 ． 獻 燔 祭 所 用 之 物 、 都 洗 在 其 內 ． 但 海 是 為 祭 司 沐 浴 的 。
Người làm mười cái chơn đèn bằng vàng, theo kiểu đã định; rồi để nó trong đền thờ, năm cái bên hữu, năm cái bên tả.|他 又 照 所 定 的 樣 式 造 十 個 金 燈 臺 、 放 在 殿 裡 、 五 個 在 右 邊 、 五 個 在 左 邊 。
Lại đóng mười cái bàn, để trong đền thờ, năm cái bên hữu, và năm cái bên tả. Rồi làm một trăm cái chậu bằng vàng.|又 造 十 張 桌 子 、 放 在 殿 裡 、 五 張 在 右 邊 、 五 張 在 左 邊 。 又 造 一 百 個 金 碗 ．
Người cũng làm hành lang cho thầy tế lễ, và cái sân rộng, các cửa của sân, rồi bọc đồng các cánh cửa ấy.|又 建 立 祭 司 院 、 和 大 院 、 並 院 門 、 用 銅 包 裹 門 扇 。
Người để cái biển ở bên hữu đền, hướng đông về phía nam.|將 海 安 在 殿 門 的 右 邊 、 就 是 南 邊 。
Hu-ram lại làm những bình tro, vá, và chậu. Hu-ram làm xong công việc người đã vì Sa-lô-môn làm trong đền của Đức Chúa Trời:|戶 蘭 又 造 了 盆 、 鏟 、 碗 。 這 樣 、 他 為 所 羅 門 王 作 完 了 　 神 殿 的 工 ．
tức hai cây trụ ở trên chót trụ; hai cái đầu trụ ở trên chót trụ; hai tấm lưới bao hai cái bầu của đầu trụ ở trên chót trụ;|所 造 的 就 是 兩 根 柱 子 、 和 柱 上 兩 個 如 球 的 頂 、 並 兩 個 蓋 柱 頂 的 網 子 、
bốn trăm trái lựu gắn vào hai tấm lưới, mỗi tấm có hai hàng trái lựu, đặng bao hai cái bầu của đầu trụ ở trên chót trụ.|和 四 百 石 榴 、 安 在 兩 個 網 子 上 、 每 網 兩 行 、 蓋 著 兩 個 柱 上 如 球 的 頂 、
Người cũng làm táng, và cái thùng ở trên táng;|盆 座 和 其 上 的 盆 、
đúc một cái biển và mười hai con bò ở dưới nó;|海 和 海 下 的 十 二 隻 牛 、
chế những bình tro, vá, nỉa, và các đồ lề nó; Hu-ram -A-bi vì Sa-lô-môn làm các đồ đó bằng đồng trơn láng, đặng dùng trong đền của Đức Giê-hô-va.|盆 、 鏟 子 、 肉 鍤 子 、 與 耶 和 華 殿 裡 的 一 切 器 皿 、 都 是 巧 匠 戶 蘭 用 光 亮 的 銅 為 所 羅 門 王 造 成 的 ．
Vua truyền đúc các đồ ấy nơi đồng bằng Giô-đanh, dưới đất sét, giữa Su-cốt và Xê-rê-đa.|是 在 約 但 平 原 、 疏 割 和 撒 利 但 中 間 、 藉 膠 泥 鑄 成 的 。
Vua Sa-lô-môn chế các đồ ấy thật nhiều lắm; còn số cân của đồng thì người ta không biết.|所 羅 門 製 造 的 這 一 切 甚 多 ． 銅 的 輕 重 、 無 法 可 查 。
Sa-lô-môn làm hết thảy các đồ lề trong đền Đức Chúa Trời: bàn thờ vàng, những cái bàn dùng sắp bánh trần thiết,|所 羅 門 又 造 　 神 殿 裡 的 金 壇 、 和 陳 設 餅 的 桌 子 、
chơn đèn, và cái thếp nó bằng vàng ròng đặng thắp trước nơi chí thánh, theo lệ đã định;|並 精 金 的 燈 臺 、 和 燈 盞 、 可 以 照 例 點 在 內 殿 前 ．
cũng làm các hoa, thếp, và nỉa bằng vàng ròng;|燈 臺 上 的 花 、 和 燈 盞 、 並 蠟 剪 、 都 是 金 的 、 且 是 純 金 的 ．
những dao, chậu, chén, lư hương, cũng bằng vàng ròng; và nơi vào đền, các cánh cửa đền trong của nơi chí thánh, cùng các cánh cửa của đền thờ cũng đều bằng vàng.|又 用 精 金 製 造 鑷 子 、 盤 子 、 調 羹 、 火 鼎 ． 至 於 殿 門 、 和 至 聖 所 的 門 扇 、 並 殿 的 門 扇 、 都 是 金 子 妝 飾 的 。

					II Sử Ký 5				|
						歷代志下 5					
Ay vậy, các công việc mà Sa-lô-môn làm cho đền của Đức Giê-hô-va đều xong rồi. Sa-lô-môn đem đến những vật mà Đa-vít, cha người, đã biệt riêng ra thánh, tức là bạc, vàng, và các khí dụng, để vào kho của đền Đức Chúa Trời.|所 羅 門 作 完 了 耶 和 華 殿 的 一 切 工 ． 就 把 他 父 大 衛 分 別 為 聖 的 金 銀 和 器 皿 都 帶 來 、 放 在 　 神 殿 的 府 庫 裡 。
Sa-lô-môn bèn nhóm tại Giê-ru-sa-lem các trưởng lão Y-sơ-ra-ên, các trưởng của các chi phái, và các trưởng tộc dân Y-sơ-ra-ên, các trưởng của các chi phái, và các trưởng tộc dân Y-sơ-ra-ên, đặng rước hòm giao ước của Đức Giê-hô-va lên từ thành Đa-vít, là Si-ôn.|那 時 所 羅 門 將 以 色 列 的 長 老 、 各 支 派 的 首 領 、 並 以 色 列 的 族 長 、 招 聚 到 耶 路 撒 冷 、 要 把 耶 和 華 的 約 櫃 、 從 大 衛 城 就 是 錫 安 運 上 來 。
Mọi người Y-sơ-ra-ên đều nhóm lại đến cùng vua nhằm kỳ lễ tháng bảy.|於 是 以 色 列 眾 人 在 七 月 節 前 、 都 聚 集 到 王 那 裡 。
Các trưởng lão Y-sơ-ra-ên đều đến, và người Lê-vi khiêng hòm đi.|以 色 列 眾 長 老 來 到 ． 利 未 人 便 抬 起 約 櫃 ．
Những thầy tế lễ và người Lê-vi đều đem lên cái hòm, hội mạc, và các khí dụng thánh vốn ở trong trại.|祭 司 利 未 人 將 約 櫃 運 上 來 、 又 將 會 幕 和 會 幕 的 一 切 聖 器 具 都 帶 上 來 。
Vua Sa-lô-môn và cả hội chúng Y-sơ-ra-ên đã nhóm lại với vua, đều đứng trước hòm, dâng những chiên và bò làm của lễ nhiều, vô số không thể đếm được.|所 羅 門 王 和 聚 集 到 他 那 裡 的 以 色 列 全 會 眾 、 都 在 約 櫃 前 獻 牛 羊 為 祭 、 多 得 不 可 勝 數 。
Những thầy tế lễ đem hòm giao ước của Đức Giê-hô-va vào nơi dọn cho hòm, tức trong nơi chí thánh của đền, dưới cánh chê-ru-bin.|祭 司 將 耶 和 華 的 約 櫃 抬 進 內 殿 、 就 是 至 聖 所 、 放 在 兩 個 ? ? ? 的 翅 膀 底 下 ．
Hai chê-ru-bin sè cánh ra trên chỗ hòm, che hòm và đòn khiêng.|? ? ? 張 著 翅 膀 在 約 櫃 之 上 、 遮 掩 約 櫃 和 抬 櫃 的 杠 。
Đòn khiêng thì dài, nên đầu đòn thấy ló ra ngoài hòm, trước nơi chí thánh; nhưng ở ngoài đền thì chẳng thấy; hòm vẫn ở đó cho đến ngày nay.|這 杠 甚 長 、 杠 頭 在 內 殿 前 可 以 看 見 、 在 殿 外 卻 不 能 看 見 ． 直 到 如 今 還 在 那 裡 。
Chẳng có gì trong hòm, trừ ra hai bảng luật pháp mà Môi-se đã để vào tại Hô-rếp, khi Đức Giê-hô-va lập giao ước với dân Y-sơ-ra-ên, lúc chúng ra khỏi Ê-díp-tô.|約 櫃 裡 惟 有 兩 塊 石 版 、 就 是 以 色 列 人 出 埃 及 後 、 耶 和 華 與 他 們 立 約 的 時 候 、 摩 西 在 何 烈 山 所 放 的 ． 除 此 以 外 、 並 無 別 物 。
Khi những thầy tế lễ ra khỏi nơi thánh ,|當 時 在 那 裡 所 有 的 祭 司 、 都 已 自 潔 、 並 不 分 班 供 職 ．
