
					Giô-sua 1				|
Vợ, con nhỏ, và bầy súc vật các ngươi sẽ ở trong xứ mà Môi-se ban cho các ngươi về phía bên này sông Giô-đanh; nhưng các ngươi, tức là hết thảy người mạnh dạn, phải cầm binh khí đi ngang qua trước anh em mình, và giúp đỡ họ,|你 們 的 妻 子 、 孩 子 、 和 牲 畜 都 可 以 留 在 約 但 河 東 摩 西 所 給 你 們 的 地 ． 但 你 們 中 間 一 切 大 能 的 勇 士 、 都 要 帶 著 兵 器 、 在 你 們 的 弟 兄 前 面 過 去 、 幫 助 他 們 ．
cho đến chừng nào Đức Giê-hô-va ban sự an nghỉ cho anh em các ngươi, y như đã ban cho các ngươi, và đến khi họ cũng đã nhận được xứ mà Giê-hô-va Đức Chúa Trời các ngươi ban cho. Đoạn, các ngươi sẽ trở về xứ mình, là xứ Môi-se, tôi tớ của Đức Giê-hô-va, đã ban cho các ngươi ở phía bên này sông Giô-đanh, về hướng mặt rời mọc, rồi các ngươi sẽ lấy nó làm sản nghiệp.|等 到 耶 和 華 使 你 們 的 弟 兄 、 像 你 們 一 樣 得 享 平 安 、 並 且 得 著 耶 和 華 你 們 　 神 所 賜 他 們 為 業 之 地 ． 那 時 纔 可 以 回 你 們 所 得 之 地 、 承 受 為 業 、 就 是 耶 和 華 的 僕 人 摩 西 在 約 但 河 東 向 日 出 之 地 所 給 你 們 的 。
Những người ấy thưa cùng Giô-suê rằng: Chúng tôi sẽ làm mọi điều ông dặn biểu, và đi khắp nơi nào ông sai|他 們 回 答 約 書 亞 說 、 你 所 吩 咐 我 們 行 的 、 我 們 都 必 行 ． 你 所 差 遣 我 們 去 的 、 我 們 都 必 去 。
chúng tôi sẽ vâng theo ông trong mọi việc y như đã vâng theo trong mọi việc như đã vâng theo Môi-se. Chỉn nguyện Giê-hô-va Đức Chúa Trời ông ở cùng ông, y như Ngài đã ở cùng Môi-se vậy!|我 們 從 前 在 一 切 事 上 怎 樣 聽 從 摩 西 、 現 在 也 必 照 樣 聽 從 你 ． 惟 願 耶 和 華 你 的 　 神 與 你 同 在 、 像 與 摩 西 同 在 一 樣 。
Phàm ai nghịch mạng không vâng theo lời ông trong mọi điều ông dặn biểu chúng tôi, thì người đó sẽ bị xử tử; chỉ ông hãy vững lòng bền chí.|無 論 甚 麼 人 違 背 你 的 命 令 、 不 聽 從 你 所 吩 咐 他 的 一 切 話 、 就 必 治 死 他 。 你 只 要 剛 強 壯 膽 。

					Giô-sua 2				|
						約書亞記 2					
Giô-suê, con trai của Nun, từ Si-tim mật sai hai người do thám mà rằng: Hãy đi do thám xứ, nhất là Giê-ri-cô. Vậy, hai người ấy đi đến nhà của một kỵ nữ tên là Ra-háp, và ngụ tại đó.|當 下 嫩 的 兒 子 約 書 亞 從 什 亭 暗 暗 打 發 兩 個 人 作 探 子 、 吩 咐 說 、 你 們 去 窺 探 那 地 、 和 耶 利 哥 。 於 是 二 人 去 了 、 來 到 一 個 妓 女 名 叫 喇 合 的 家 裡 、 就 在 那 裡 躺 臥 。
Người ta bèn tâu cùng vua Giê-ri-cô rằng: Kìa, đêm nay có người trong dân Y-sơ-ra-ên đã đến do thám xứ.|有 人 告 訴 耶 利 哥 王 說 、 今 夜 有 以 色 列 人 來 到 這 裡 窺 探 此 地 。
Vua Giê-ri-cô sai nói cùng Ra-háp rằng: Hãy đuổi hai người đã đến vào nhà ngươi; vì họ đến đặng do thám cả xứ.|耶 利 哥 王 打 發 人 去 見 喇 合 說 、 那 來 到 你 這 裡 、 進 了 你 家 的 人 、 要 交 出 來 ． 因 為 他 們 來 窺 探 全 地 。
Nhưng người đờn bà đem giấu hai người này, rồi đáp rằng: Quả thật họ đã tới nhà tôi nhưng chẳng biết ở đâu đến.|女 人 將 二 人 隱 藏 、 就 回 答 說 、 那 人 果 然 到 我 這 裡 來 ． 他 們 是 那 裡 來 的 我 卻 不 知 道 。
Song vào buổi tối cửa thành hầu đóng, hai người ấy đi ra tôi không biết đi đâu; hãy mau đuổi theo, vì các ngươi theo kịp được.|天 黑 、 要 關 城 門 的 時 候 、 他 們 出 去 了 ． 往 哪 裡 去 我 卻 不 知 道 ． 你 們 快 快 地 去 追 趕 、 就 必 追 上 。
Vả, nàng có biểu hai người leo lên mái nhà, giấu dưới cộng gai mà nàng rải ở trên mái.|（ 先 是 女 人 領 二 人 上 了 房 頂 、 將 他 們 藏 在 那 裡 所 擺 的 麻 秸 中 。 ）
Những người của vua đuổi theo họ về hướng sông Giô-đanh, cho đến chỗ cạn; vừa khi những người đuổi theo đó ra khỏi thành, thì người ta đóng cửa thành.|那 些 人 就 往 約 但 河 的 渡 口 追 趕 他 們 去 了 ． 追 趕 他 們 的 人 一 出 去 、 城 門 就 關 了 。
Trước khi hai người do thám chưa nằm ngủ, nàng leo lên mái nhà,|二 人 還 沒 有 躺 臥 、 女 人 就 上 房 頂 到 他 們 那 裡 、
mà nói rằng: Tôi biết rằng Đức Giê-hô-va đã ban cho các ông xứ này, sự kinh khủng vì cớ các ông đã bắt lấy chúng tôi, và cả dân của xứ đều sờn lòng trước mặt các ông.|對 他 們 說 、 我 知 道 耶 和 華 已 經 把 這 地 賜 給 你 們 、 並 且 因 你 們 的 緣 故 我 們 都 驚 慌 了 ． 這 地 的 一 切 居 民 、 在 你 們 面 前 心 都 消 化 了 。
Vì chúng tôi có hay khi các ông ra khỏi xứ Ê-díp-tô, thì Đức Giê-hô-va đã khiến nước Biển đỏ bày khô trước mặt các ông, và điều các ông đã làm cho Si-hôn và Oc, hai vua dân A-mô-rít, ở bên kia sông Giô-đanh, mà các ông đã diệt đi.|因 為 我 們 聽 見 你 們 出 埃 及 的 時 候 、 耶 和 華 怎 樣 在 你 們 前 面 使 紅 海 的 水 乾 了 ． 並 且 你 們 怎 樣 待 約 但 河 東 的 兩 個 亞 摩 利 王 西 宏 和 噩 、 將 他 們 盡 行 毀 滅 。
Chúng tôi có hay điều đó, lòng bèn tan ra, chẳng ai trong chúng tôi còn can đảm trước mặt các ông nữa; vì Giê-hô-va Đức Chúa Trời các ông là Đức Chúa Trời ở trên trời cao kia, và ở dưới đất thấp này.|我 們 一 聽 見 這 些 事 、 心 就 消 化 了 。 因 你 們 的 緣 故 、 並 無 一 人 有 膽 氣 ． 耶 和 華 你 們 的 　 神 、 本 是 上 天 下 地 的 　 神 。
Vậy bây giờ, vì tôi đã làm nhơn cho hai ông, thì hai ông cũng phải làm nhơn lại cho nhà cha tôi; hãy chỉ Đức Giê-hô-va mà thề cùng tôi, và cho một dấu quả quyết|現 在 我 既 是 恩 待 你 們 、 求 你 們 指 著 耶 和 華 向 我 起 誓 、 也 要 恩 待 我 父 家 、 並 給 我 一 個 實 在 的 證 據 、
rằng các ông sẽ để cha mẹ, anh em, chị em tôi, và hết thảy người bà con của họ đều còn sống, cùng cứu chúng tôi khỏi chết.|要 救 活 我 的 父 母 、 弟 兄 、 姊 妹 、 和 一 切 屬 他 們 的 、 拯 救 我 們 性 命 不 死 。
Hai người đáp rằng: Mạng chúng ta sẽ đền cho mạng nàng! Nếu nàng không cho lậu việc chúng ta ra, thì chúng ta sẽ đãi nàng cách nhơn từ và thành tín khi Đức Giê-hô-va ban xứ cho chúng ta.|二 人 對 他 說 、 你 若 不 洩 漏 我 們 這 件 事 、 我 們 情 願 替 你 們 死 ． 耶 和 華 將 這 地 賜 給 我 們 的 時 候 、 我 們 必 以 慈 愛 誠 實 待 你 。
Vậy, nàng dùng một sợi dây dòng hai người xuống nơi cửa sổ, vì nhà nàng ở tại trên vách thành.|於 是 女 人 用 繩 子 將 二 人 從 窗 戶 裡 縋 下 去 ． 因 他 的 房 子 是 在 城 牆 邊 上 、 他 也 住 在 城 牆 上 。
Nàng nói rằng: Hãy đi đến núi, kẻo những người đuổi theo gặp các ông chăng; hãy ẩn đó ba ngày cho đến chừng nào những người đuổi theo trở về; sau rồi các ông hãy đi đường.|他 對 他 們 說 、 你 們 且 往 山 上 去 、 恐 怕 追 趕 的 人 碰 見 你 們 ． 要 在 那 裡 隱 藏 三 天 、 等 追 趕 的 人 回 來 、 然 後 纔 可 以 走 你 們 的 路 。
Vả, hai người nói cùng nàng rằng: Này thể nào chúng ta sẽ khỏi mắc lời thề mà nàng đã bắt ta thề.|二 人 對 他 說 、 你 要 這 樣 行 ． 不 然 、 你 叫 我 們 所 起 的 誓 、 就 與 我 們 無 干 了 。
Khi nào chúng ta vào xứ, nàng phải cột sợi chỉ điều này nơi cửa sổ mà nàng dòng chúng ta xuống, rồi nhóm hiệp cha mẹ, anh em, hết thảy bà con của nàng lại trong nhà mình.|我 們 來 到 這 地 的 時 候 、 你 要 把 這 條 朱 紅 線 繩 繫 在 縋 我 們 下 去 的 窗 戶 上 ． 並 要 使 你 的 父 母 、 弟 兄 、 和 你 父 的 全 家 、 都 聚 集 在 你 家 中 。
Phàm ai trong các người đó đi ra ngoài cửa nhà nàng, thì huyết người ấy sẽ đổ lại trên đầu người, và chúng ta vô tội; nhưng nếu ai tra tay vào người nào ở cùng nàng trong nhà, thì huyết của người đó sẽ đổ lại trên đầu chúng ta.|凡 出 了 你 家 門 往 街 上 去 的 、 他 的 罪 必 歸 到 自 己 的 頭 上 〔 原 文 是 血 〕 與 我 們 無 干 了 ． 凡 在 你 家 裡 的 、 若 有 人 下 手 害 他 、 流 他 血 的 罪 、 就 歸 到 我 們 的 頭 上 。
Còn nếu nàng cho lậu việc chúng ta, ắt chúng ta sẽ khỏi mắc lời mà nàng đã bắt chúng ta thề.|你 若 洩 漏 我 們 這 件 事 、 你 叫 我 們 所 起 的 誓 、 就 與 我 們 無 干 了 。
Nàng bèn đáp: Khá y lời hai ông đã nói. Đoạn, nàng cho hai người đi, và hai người liền đi. Nàng bèn cột sợi chỉ điều nơi cửa sổ.|女 人 說 、 照 你 們 的 話 行 罷 。 於 是 打 發 他 們 去 了 ． 又 把 朱 紅 線 繩 繫 在 窗 戶 上 。
Vậy, hai người đi đến núi, ở đó ba ngày cho đến khi những người đuổi theo mình trở về. Mấy người ấy kiếm họ cùng đường, nhưng không gặp.|二 人 到 山 上 、 在 那 裡 住 了 三 天 、 等 著 追 趕 的 人 回 去 了 。 追 趕 的 人 一 路 找 他 們 、 卻 找 不 著 。
Hai người do thám bèn đi xuống núi trở về; khi đã qua sông Giô-đanh rồi, thì đến gần Giê-suê, con trai Nun, thuật cho người mọi điều đã xảy ra.|二 人 就 下 山 回 來 、 過 了 河 、 到 嫩 的 兒 子 約 書 亞 那 裡 、 向 他 述 說 所 遭 遇 的 一 切 事 。
Hai người nói cùng Giô-suê rằng: Quả thật, Đức Giê-hô-va đã phó cả xứ vào tay chúng ta; và lại, hết thảy dân của xứ đều sờn lòng trước mặt chúng ta.|又 對 約 書 亞 說 、 耶 和 華 果 然 將 那 全 地 交 在 我 們 手 中 、 那 地 的 一 切 居 民 、 在 我 們 面 前 心 都 消 化 了 。

					Giô-sua 3				|
						約書亞記 3					
Giô-suê dậy sớm, ở Si-tim đi cùng hết thảy dân Y-sơ-ra-ên, đến mé sông Giô-đanh, và ngủ đêm tại đó trước khi qua sông.|約 書 亞 清 早 起 來 、 和 以 色 列 眾 人 都 離 開 什 亭 、 來 到 約 但 河 、 就 住 在 那 裡 、 等 候 過 河 。
Cuối ba ngày, các quan trưởng đi khắp trại quân|過 了 三 天 、 官 長 走 遍 營 中 、
truyền lịnh này cho dân sự rằng: Khi các ngươi thấy những thầy tế lễ về dòng Lê-vi khiêng hòm giao ước của Giê-hô-va Đức Chúa Trời các ngươi, thì phải bỏ chỗ đóng trại mình mà đi theo sau.|吩 咐 百 姓 說 、 你 們 看 見 耶 和 華 你 們 　 神 的 約 櫃 、 又 見 祭 司 利 未 人 抬 著 、 就 要 離 開 所 住 的 地 方 、 跟 著 約 櫃 去 。
Song le giữa khoảng các ngươi và hòm giao ước phải cách chừng hai ngàn thước; chớ đến gần, hầu cho các ngươi có thế biết đường mình phải đi theo; vì các ngươi chưa hề đi đường này bao giờ.|只 是 你 們 和 約 櫃 相 離 、 要 量 二 千 肘 ． 不 可 與 約 櫃 相 近 、 使 你 們 知 道 所 當 走 的 路 ． 因 為 這 條 路 你 們 向 來 沒 有 走 過 。
Giô-suê cũng nói cùng dân sự rằng: Hãy làm cho mình ra thánh, vì ngày mai Đức Giê-hô-va sẽ làm những việc lạ lùng giữa các ngươi.|約 書 亞 吩 咐 百 姓 說 、 你 們 要 自 潔 ． 因 為 明 天 耶 和 華 必 在 你 們 中 間 行 奇 事 。
Đoạn, Giô-suê nói cùng những thầy tế lễ rằng: Hãy khiêng hòm giao ước đi qua trước dân sự. Vậy, những thầy tế lễ khiêng hòm giao ước và đi đầu dân sự.|約 書 亞 又 吩 咐 祭 司 說 、 你 們 抬 起 約 櫃 、 在 百 姓 前 頭 過 去 。 於 是 他 們 抬 起 約 櫃 、 在 百 姓 前 頭 走 。
Đức Giê-hô-va phán cùng Giô-suê rằng: Ngày nay ta khởi tôn ngươi lên trước mặt cả Y-sơ-ra-ên, để chúng nó biết rằng ta sẽ ở cùng ngươi như ta đã ở cùng Môi-se vậy.|耶 和 華 對 約 書 亞 說 、 從 今 日 起 、 我 必 使 你 在 以 色 列 眾 人 眼 前 尊 大 、 使 他 們 知 道 我 怎 樣 與 摩 西 同 在 、 也 必 照 樣 與 你 同 在 。
Ngươi phải truyền lịnh này cho những thầy tế lễ khiêng hòm giao ước: Khi nào các ngươi đến mé sông Giô-đanh, thì hãy dừng lại tại giữa sông.|你 要 吩 咐 抬 約 櫃 的 祭 司 說 、 你 們 到 了 約 但 河 的 水 邊 上 、 就 要 在 約 但 河 水 裡 站 住 。
Giô-suê bèn nói cùng dân Y-sơ-ra-ên rằng: Hãy lại gần, nghe lời của Giê-hô-va Đức Chúa Trời các ngươi.|約 書 亞 對 以 色 列 人 說 、 你 們 近 前 來 、 聽 耶 和 華 你 們 　 神 的 話 。
Đoạn, người nói: Nhờ điều này các ngươi sẽ biết rằng Đức Chúa Trời hằng sống ngự giữa các ngươi, và Ngài sẽ đuổi khỏi trước mặt các ngươi dân Ca-na-an, dân Hê-tít, dân Hê-vít, dân Phê-rê-sít, dân A-mô-rít, và dân Giê-bu-sít.|約 書 亞 說 、 看 哪 、 普 天 下 主 的 約 櫃 必 在 你 們 前 頭 過 去 到 約 但 河 裡 ． 因 此 你 們 就 知 道 在 你 們 中 間 有 永 生 　 神 ． 並 且 他 必 在 你 們 面 前 趕 出 迦 南 人 、 赫 人 、 希 未 人 、 比 利 洗 人 、 革 迦 撒 人 、 亞 摩 利 人 、 耶 布 斯 人 。
Này, hòm giao ước của Chúa cả thế gian đi trước các ngươi vào sông Giô-đanh.|見 上 節
Vậy, hãy chọn mười hai người của các chi phái Y-sơ-ra-ên, mỗi chi phái một người;|你 們 現 在 要 從 以 色 列 支 派 中 揀 選 十 二 個 人 、 每 支 派 一 人 ．
và khi những thầy tế lễ khiêng hòm giao ước của Đức Giê-hô-va, là Chúa cả thế gian, mới để bàn chơn mình dưới nước sông Giô-đanh, thì nước của sông, tức nước từ nguồn chảy xuống, sẽ chia ra, và dồn lại thành một đống.|等 到 抬 普 天 下 主 耶 和 華 約 櫃 的 祭 司 把 腳 站 在 約 但 河 水 裡 、 約 但 河 的 水 、 就 是 從 上 往 下 流 的 水 、 必 然 斷 絕 、 立 起 成 壘 。
Khi dân sự bỏ các trại mình đặng đi qua sông Giô-đanh, thì những thầy tế lễ khiêng hòm giao ước ở trước mặt dân sự.|百 姓 離 開 帳 棚 、 要 過 約 但 河 的 時 候 、 抬 約 櫃 的 祭 司 、 乃 在 百 姓 的 前 頭 、
Vả trọn lúc mùa gặt, sông Giô-đanh tràn lên khỏi bờ. Khi các người khiêng hòm đến sông Giô-đanh, và chơn của những thầy tế lễ khiêng hòm mới bị ướt nơi mé nước,|他 們 到 了 約 但 河 、 腳 一 入 水 、 （ 原 來 約 但 河 水 、 在 收 割 的 日 子 、 漲 過 兩 岸 ）
thì nước ở trên nguồn thường chảy xuống bèn dừng lại, dồn thành một đống, xa ra một khoảng đến thành A-đam, là thành ở bên cạnh Xát-than; còn nước chảy đến biển đồng bằng, tức Biển mặn, đã rẽ đoạn ra; rồi dân sự đi qua đối ngang Giê-ri-cô.|那 從 上 往 下 流 的 水 、 便 在 極 遠 之 地 、 撒 拉 但 旁 的 亞 當 城 那 裡 停 住 、 立 起 成 壘 ． 那 往 亞 拉 巴 的 海 、 就 是 鹽 海 、 下 流 的 水 、 全 然 斷 絕 。 於 是 百 姓 在 耶 利 哥 的 對 面 過 去 了 。
Những thầy tế lễ khiêng hòm giao ước của Đức Giê-hô-va dừng chơn vững trên đất khô giữa sông Giô-đanh trong khi cả Y-sơ-ra-ên đi qua trên đất khô, cho đến chừng cả dân đã qua khỏi sông Giô-đanh rồi.|抬 耶 和 華 約 櫃 的 祭 司 在 約 但 河 中 的 乾 地 上 站 定 ． 以 色 列 眾 人 都 從 乾 地 上 過 去 、 直 到 國 民 盡 都 過 了 約 但 河 。

					Giô-sua 4				|
						約書亞記 4					
Khi cả dân đã qua khỏi Giô-đanh rồi, Đức Giê-hô-va bèn phán cùng Giô-suê rằng:|國 民 盡 都 過 了 約 但 河 、 耶 和 華 就 對 約 書 亞 說 、
Hãy chọn trong dân sự mười hai người, mỗi chi phái một người;|你 從 民 中 要 揀 選 十 二 個 人 、 每 支 派 一 人 、
rồi truyền lịnh này cho các người đó: Hãy lấy mười hai hòn đá tại đây giữa sông Giô-đanh, từ nơi chơn những thầy tế lễ đứng vững, rồi đem nó theo, và đặt tại chỗ các ngươi sẽ ngủ ban đêm.|吩 咐 他 們 說 、 你 們 從 這 裡 、 從 約 但 河 中 、 祭 司 腳 站 定 的 地 方 、 取 十 二 塊 石 頭 帶 過 去 、 放 在 你 們 今 夜 要 住 宿 的 地 方 。
Vậy, Giô-suê gọi mười hai người mà mình đã chọn trong dân Y-sơ-ra-ên, mỗi chi phái một người,|於 是 約 書 亞 將 他 從 以 色 列 人 中 所 豫 備 的 那 十 二 個 人 、 每 支 派 一 人 、 都 召 了 來 ．
mà truyền rằng: Hãy đi qua trước hòm của Giê-hô-va Đức Chúa Trời các ngươi tại giữa sông Giô-đanh, rồi mỗi người, theo số chi phái Y-sơ-ra-ên, phải vác một hòn đá trên vai mình,|對 他 們 說 、 你 們 下 約 但 河 中 、 過 到 耶 和 華 你 們 　 神 的 約 櫃 前 頭 、 按 著 以 色 列 人 十 二 支 派 的 數 目 、 每 人 取 一 塊 石 頭 扛 在 肩 上 。
hầu cho điều đó làm một dấu ở giữa các ngươi. Về sau, khi con cháu các ngươi hỏi rằng: Những hòn đá này có nghĩa chi?|這 些 石 頭 在 你 們 中 間 可 以 作 為 證 據 ． 日 後 你 們 的 子 孫 問 你 們 說 、 這 些 石 頭 、 是 甚 麼 意 思 ．
thì hãy đáp rằng: Ay là nước sông Giô-đanh đã rẽ ra trước hòm giao ước của Đức Giê-hô-va; khi hòm đi ngang qua sông Giô-đanh; thì nước sông bèn rẽ ra; các hòn đá này dùng cho dân Y-sơ-ra-ên làm kỷ niệm đời đời.|你 們 就 對 他 們 說 、 這 是 因 為 約 但 河 的 水 、 在 耶 和 華 的 約 櫃 前 斷 絕 ． 約 櫃 過 約 但 河 的 時 候 、 約 但 河 的 水 就 斷 絕 了 ． 這 些 石 頭 要 作 以 色 列 人 永 遠 的 記 念 。
Vậy, dân Y-sơ-ra-ên làm theo điều Giô-suê đã biểu, bèn lấy mười hai hòn đá ở giữa sông Giô-đanh, theo số chi phái dân Y-sơ-ra-ên, và đem nó theo cùng mình đến chỗ nào phải ngủ ban đêm, rồi đặt tại đó, y như Đức Giê-hô-va đã phán dặn Giô-suê.|以 色 列 人 就 照 約 書 亞 所 吩 咐 的 、 按 著 以 色 列 人 支 派 的 數 目 、 從 約 但 河 中 取 了 十 二 塊 石 頭 、 都 遵 耶 和 華 所 吩 咐 約 書 亞 的 行 了 ． 他 們 把 石 頭 帶 過 去 、 到 他 們 所 住 宿 的 地 方 、 就 放 在 那 裡 。
Giô-suê cũng dựng mười hai hòn đá giữa sông Giô-đanh, tại nơi chơn những thầy tế lễ khiêng hòm giao ước đã đứng; các hòn đá ấy hãy còn ở đó cho đến ngày nay.|約 書 亞 另 把 十 二 塊 石 頭 立 在 約 但 河 中 、 在 抬 約 櫃 的 祭 司 腳 站 立 的 地 方 ． 直 到 今 日 、 那 石 頭 還 在 那 裡 。
Những thầy tế lễ khiêng hòm đều đứng giữa sông Giô-đanh cho đến chừng nào đã làm xong mọi việc mà Đức Giê-hô-va đã dặn biểu Giô-suê truyền lại cho dân sự, theo mạng lịnh mà Môi-se đã truyền cho Giô-suê. Dân sự bèn lật đật đi qua sông.|抬 約 櫃 的 祭 司 站 在 約 但 河 中 、 等 到 耶 和 華 曉 諭 約 書 亞 吩 咐 百 姓 的 事 辦 完 了 、 是 照 摩 西 所 吩 咐 約 書 亞 的 一 切 話 ． 於 是 百 姓 急 速 過 去 了 。
Khi cả dân sự đã đi qua sông rồi, thì hòm của Đức Giê-hô-va, và những thầy tế lễ cũng đi qua trước mặt dân sự.|眾 百 姓 盡 都 過 了 河 、 耶 和 華 的 約 櫃 和 祭 司 就 在 百 姓 面 前 過 去 。
Con cháu Ru-bên, con cháu Gát, và phân nửa chi phái Ma-na-se cầm binh khí đi trước dân Y-sơ-ra-ên, y như Môi-se đã dặn biểu họ.|流 便 人 、 迦 得 人 、 瑪 拿 西 半 支 派 的 人 、 都 照 摩 西 所 吩 咐 他 們 的 、 帶 著 兵 器 在 以 色 列 人 前 頭 過 去 。
Có chừng bốn muôn người sắm sửa ra trận, đi qua trước mặt Đức Giê-hô-va, đến trong đồng bằng Giê-ri-cô, đặng đánh giặc.|約 有 四 萬 人 、 都 準 備 打 仗 、 在 耶 和 華 面 前 過 去 、 到 耶 利 哥 的 平 原 、 等 候 上 陣 。
Ngày đó, Đức Giê-hô-va khiến Giô-suê được tôn trọng trước mặt cả Y-sơ-ra-ên, và chúng kính sợ người trọn đời người, như đã kính sợ Môi-se vậy.|當 那 日 耶 和 華 使 約 書 亞 在 以 色 列 眾 人 眼 前 尊 大 ． 在 他 平 生 的 日 子 、 百 姓 敬 畏 他 、 像 從 前 敬 畏 摩 西 一 樣 。
Vả, Đức Giê-hô-va phán cùng Giô-suê rằng:|耶 和 華 曉 諭 約 書 亞 說 、
Hãy truyền cho những thầy tế lễ khiêng hòm bảng chứng đi lên khỏi sông Giô-đanh.|你 吩 咐 抬 法 櫃 的 祭 司 、 從 約 但 河 裡 上 來 。
Giô-suê bèn truyền lịnh cho những thầy tế lễ rằng: Hãy đi lên khỏi Giô-đanh.|約 書 亞 就 吩 咐 祭 司 說 、 你 們 從 約 但 河 裡 上 來 。
