
					Dân Số 1				|
số là bốn mươi sáu ngàn năm trăm.|見 上 節
Con cháu Si-mê-ôn, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên của hết thảy nam đinh từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Si-mê-ôn đi ra trận được,|西 緬 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 男 丁 、 共 有 五 萬 九 千 三 百 名 。
số là năm mươi chín ngàn ba trăm.|見 上 節
Con cháu Gát, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Gát đi ra trận được,|迦 得 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 、 共 有 四 萬 五 千 六 百 五 十 名 。
số là bốn mươi lăm ngàn sáu trăm năm mươi.|見 上 節
Con cháu Giu-đa, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Giu-đa đi ra trận được,|猶 大 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 、 共 有 七 萬 四 千 六 百 名 。
số là bảy mươi bốn ngàn sáu trăm.|見 上 節
Con cháu của Y-sa-ca, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Y-sa-ca đi ra trận được,|以 薩 迦 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 、 共 有 五 萬 四 千 四 百 名 。
số là năm mươi bốn ngàn bốn trăm.|見 上 節
Con cháu của Sa-bu-lôn, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Sa-bu-lôn đi ra trận được,|西 布 倫 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 、 共 有 五 萬 七 千 四 百 名 。
số là năm mươi bảy ngàn bốn trăm.|見 上 節
Về hậu tự Giô-sép, là con cháu Ep-ra-im, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Ep-ra-im đi ra trận được,|約 瑟 子 孫 屬 以 法 蓮 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 、 共 有 四 萬 零 五 百 名 。
số là bốn mươi ngàn năm trăm.|見 上 節
Con cháu Ma-na-se, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Ma-na-se đi ra trận được,|瑪 拿 西 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 、 共 有 三 萬 二 千 二 百 名 。
số là ba mươi hai ngàn hai trăm.|見 上 節
Con cháu Bên-gia-min, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Bên-gia-min đi ra trận được,|便 雅 憫 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 、 共 有 三 萬 五 千 四 百 名 。
số là ba mươi lăm ngàn bốn trăm.|見 上 節
Con cháu Đan, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Đan đi ra trận được,|但 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 、 共 有 六 萬 二 千 七 百 名 。
số là sáu mươi hai ngàn bảy trăm.|見 上 節
Con cháu A-se, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái A-se đi ra trận được,|亞 設 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 、 共 有 四 萬 一 千 五 百 名 。
số là bốn mươi mốt ngàn năm trăm.|見 上 節
Con cháu Nép-ta-li, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Nép-ta-li đi ra trận được,|拿 弗 他 利 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 、 共 有 五 萬 三 千 四 百 名 。
số là năm mươi ba ngàn bốn trăm.|見 上 節
Đó là những người mà Môi-se, A-rôn, và mười hai quan trưởng Y-sơ-ra-ên kê sổ; mỗi quan trưởng kê sổ cho tông tộc mình.|這 些 就 是 被 數 點 的 、 是 摩 西 亞 倫 、 和 以 色 列 中 十 二 個 首 領 所 數 點 的 ． 這 十 二 個 人 各 作 各 宗 族 的 代 表 。
Thế thì, hết thảy những người trong dân Y-sơ-ra-ên đã được nhập sổ tùy theo tông tộc mình, từ hai mươi tuổi sắp lên, tức là mọi người trong Y-sơ-ra-ên đi ra trận được,|這 樣 凡 以 色 列 人 中 被 數 的 、 照 著 宗 族 從 二 十 歲 以 外 、 能 出 去 打 仗 被 數 的 、 共 有 六 十 萬 零 三 千 五 百 五 十 名 。
số là sáu trăm ba ngàn năm trăm năm mươi.|見 上 節
Nhưng người Lê-vi, theo chi phái tổ phụ mình, không kê sổ chung với những chi phái khác.|利 未 人 卻 沒 有 按 著 支 派 數 在 其 中 、
Vì Đức Giê-hô-va có phán cùng Môi-se rằng:|因 為 耶 和 華 曉 諭 摩 西 說 、
Ngươi chớ kê sổ chi phái Lê-vi, và cũng đừng dựng bộ họ chung với dân Y-sơ-ra-ên;|惟 獨 利 未 支 派 你 不 可 數 點 、 也 不 可 在 以 色 列 人 中 計 算 他 們 的 總 數 。
nhưng hãy cắt phần người Lê-vi coi sóc đền tạm chứng cớ, hết thảy đồ đạc và các món thuộc về đền tạm. Ay là người Lê-vi sẽ chuyên-vận đền tạm và hết thảy đồ đạc nó, cùng sẽ làm công việc về đền tạm và đóng trại ở chung quanh đền tạm.|只 要 派 利 未 人 管 法 櫃 的 帳 幕 和 其 中 的 器 具 、 並 屬 乎 帳 幕 的 、 他 們 要 抬 〔 或 作 搬 運 〕 帳 幕 和 其 中 的 器 具 、 並 要 辦 理 帳 幕 的 事 ． 在 帳 幕 的 四 圍 安 營 。
Khi nào đền tạm dời chỗ, thì người Lê-vi sẽ tháo dỡ nó; khi nào đền tạm dừng lại, thì họ sẽ dựng nó lên; còn người ngoại đến gần sẽ bị xử tử.|帳 幕 將 往 前 行 的 時 候 、 利 未 人 要 拆 卸 、 將 支 搭 的 時 候 、 利 未 人 要 豎 起 ． 近 前 來 的 外 人 必 被 治 死 。
Dân Y-sơ-ra-ên mỗi người phải đóng ở trong trại quân mình, và mỗi trại quân, từng đội ngũ, phải đóng gần bên ngọn cờ mình.|以 色 列 人 支 搭 帳 棚 、 要 照 他 們 的 軍 隊 、 各 歸 本 營 、 各 歸 本 纛 。
Nhưng người Lê-vi sẽ đóng trại chung quanh đền tạm chứng cớ, để đừng có sự giận dữ cùng hội-dân Y-sơ-ra-ên; người Lê-vi sẽ coi sóc đền tạm chứng cớ.|但 利 未 人 要 在 法 櫃 帳 幕 的 四 圍 安 營 、 免 得 忿 怒 臨 到 以 色 列 會 眾 ． 利 未 人 並 要 謹 守 法 櫃 的 帳 幕 。
Dân Y-sơ-ra-ên làm y như mọi điều Đức Giê-hô-va đã phán dặn Môi-se vậy.|以 色 列 人 就 這 樣 行 ． 凡 耶 和 華 所 吩 咐 摩 西 的 、 他 們 就 照 樣 行 了 。

					Dân Số 2				|
						民數記 2					
Đức Giê-hô-va phán cùng Môi-se và A-rôn rằng:|耶 和 華 曉 諭 摩 西 亞 倫 說 、
Dân Y-sơ-ra-ên mỗi người phải đóng trại gần bên ngọn cờ mình, ở dưới bảng hiệu của tông tộc mình, đối ngang nhau vây chung quanh hội mạc.|以 色 列 人 要 各 歸 自 己 的 纛 下 、 在 本 族 的 旗 號 那 裡 、 對 著 會 幕 的 四 圍 安 營 。
Trại quân Giu-đa sẽ đóng tại hướng đông, về phía mặt trời mọc, với ngọn cờ và những đội ngũ của mình. Quan-trưởng của người Giu-đa là Na-ha-sôn, con trai của A-mi-na-đáp;|在 東 邊 向 日 出 之 地 、 照 著 軍 隊 安 營 的 是 猶 大 營 的 纛 ． 有 亞 米 拿 達 的 兒 子 拿 順 、 作 猶 大 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cọng bảy mươi bốn ngàn sáu trăm người.|他 軍 隊 被 數 的 、 共 有 七 萬 四 千 六 百 名 。
Chi phái Y-sa-ca phải đóng trại bên Giu-đa; quan trưởng của người Y-sa-ca là Na-tha-na-ên, con trai Xu -a;|挨 著 他 安 營 的 是 以 薩 迦 支 派 ． 有 蘇 押 的 兒 子 拿 坦 業 作 以 薩 迦 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cọng năm mươi bốn ngàn bốn trăm người.|他 軍 隊 被 數 的 、 共 有 五 萬 四 千 四 百 名 。
Kế đến chi phái Sa-bu-lôn; quan trưởng của người Sa-bu-lôn là Ê-li-áp, con trai của Hê-lôn,|又 有 西 布 倫 支 派 ． 希 倫 的 兒 子 以 利 押 、 作 西 布 倫 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cộng năm mươi bảy ngàn bốn trăm người.|他 軍 隊 被 數 的 、 共 有 五 萬 七 千 四 百 名 。
Vậy, các người đã kê sổ theo trại quân Giu-đa, từng đội ngũ, cộng một trăm tám mươi sáu ngàn bốn trăm người. Họ phải đi tiên phong.|凡 屬 猶 大 營 按 著 軍 隊 被 數 的 、 共 有 十 八 萬 六 千 四 百 名 ． 要 作 第 一 隊 往 前 行 。
Ngọn cờ của trại quân Ru-bên và những đội ngũ mình, phải đóng về hướng nam. Quan trưởng của người Ru-bên là Ê-li-su, con trai của Sê-đêu;|在 南 邊 、 按 著 軍 隊 是 流 便 營 的 纛 ． 有 示 丟 珥 的 兒 子 以 利 蓿 作 流 便 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cộng bốn mươi sáu ngàn năm trăm người.|他 軍 隊 被 數 的 、 共 有 四 萬 六 千 五 百 名 。
Chi phái Si-mê-ôn phải đóng trại bên Ru-bên; quan trưởng của người Si-mê-ôn là Sê-lu-mi-ên, con trai của Xu-ri-ha-đai;|挨 著 他 安 營 的 是 西 緬 支 派 ． 蘇 利 沙 代 的 兒 子 示 路 蔑 作 西 緬 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cộng năm mươi chín ngàn ba trăm người.|他 軍 隊 被 數 的 、 共 有 五 萬 九 千 三 百 名 。
Kế đến chi phái Gát; các quan trưởng của người Gát là Ê-li -a-sáp, con trai của Rê -u-ên;|又 有 迦 得 支 派 ． 丟 珥 的 兒 子 以 利 雅 薩 作 迦 得 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cộng bốn mươi lăm ngàn sáu trăm năm mươi người.|他 軍 隊 被 數 的 、 共 有 四 萬 五 千 六 百 五 十 名 。
Vậy, các người đã kê sổ theo trại quân Ru-bên, từng đội ngũ, cộng một trăm năm mươi mốt ngàn bốn trăm năm mươi người. Họ phải đi thứ nhì.|凡 屬 流 便 營 按 著 軍 隊 被 數 的 、 共 有 十 五 萬 一 千 四 百 五 十 名 ． 要 作 第 二 隊 往 前 行 。
Sau ấy, hội mạc sẽ đi với trại quân Lê-vi, ở giữa các trại quân khác; trại quân Lê-vi sẽ đi theo thứ tự như đã đóng, mỗi người theo hàng ngũ và theo ngọn cờ mình.|隨 後 會 幕 要 往 前 行 、 有 利 未 營 在 諸 營 中 間 ． 他 們 怎 樣 安 營 。 就 怎 樣 往 前 行 ． 各 按 本 位 、 各 歸 本 纛 。
Ngọn cờ của trại quân Ep-ra-im và những quân đội người phải đóng về hướng tây; quan trưởng của người Ep-ra-im là Ê-li-sa-ma, con trai A-mi-hút;|在 西 邊 按 著 軍 隊 是 以 法 蓮 營 的 纛 ． 亞 米 忽 的 兒 子 以 利 沙 瑪 作 以 法 蓮 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cộng bốn mươi ngàn năm trăm người.|他 軍 隊 被 數 的 、 共 有 四 萬 零 五 百 名 。
Chi phái Ma-na-se phải đóng trại bên Ep-ra-im; quan trưởng của người Ma-na-se là Ga-ma-li-ên, con trai của Phê-đát-su;|挨 著 他 的 是 瑪 拿 西 支 派 、 比 大 蓿 的 兒 子 迦 瑪 列 作 瑪 拿 西 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cộng ba mươi hai ngàn hai trăm người.|他 軍 隊 被 數 的 、 共 有 三 萬 二 千 二 百 名 。
Kế đến chi phái Bên-gia-min; quan trưởng của người Bên-gia-min là A-bi-đan, con trai của Ghi-đeo-ni;|又 有 便 雅 憫 支 派 ． 基 多 尼 的 兒 子 亞 比 但 、 作 便 雅 憫 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cộng ba mươi lăm ngàn bốn trăm người.|他 軍 隊 被 數 的 、 共 有 三 萬 五 千 四 百 名 。
Vậy, các người đã kê sổ theo trại quân Ep-ra-im, từng đội ngũ, cộng một trăm tám ngàn một trăm người. Họ phải đi thứ ba.|凡 屬 以 法 蓮 營 按 著 軍 隊 被 數 的 、 共 有 十 萬 零 八 千 一 百 名 ． 要 作 第 三 隊 往 前 行 。
Ngọn cờ của trại quân Đan và những quân đội họ phải đóng về hướng bắc. Quan trưởng của người Đan là A-hi-ê-xe, con trai của A-mi-sa-đai;|在 北 邊 按 著 軍 隊 是 但 營 的 纛 ． 亞 米 沙 代 的 兒 子 亞 希 以 謝 、 作 但 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cộng sáu mươi hai ngàn bảy trăm người.|他 軍 隊 被 數 的 、 共 有 六 萬 二 千 七 百 名 。
Chi phái A-se phải đóng trại bên Đan; quan trưởng của người A-se là Pha-ghi-ên, con trai của Oc-ran;|挨 著 他 安 營 的 是 亞 設 支 派 ． 俄 蘭 的 兒 子 帕 結 作 亞 設 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cộng bốn mươi mốt ngàn năm trăm người.|他 軍 隊 被 數 的 、 共 有 四 萬 一 千 五 百 名 。
Kế đến chi phái Nép-ta-li; quan trưởng của người Nép-ta-li là A-hi-ra, con trai của Ê-nan;|又 有 拿 弗 他 利 支 派 ． 以 南 的 兒 子 亞 希 拉 作 拿 弗 他 利 人 的 首 領 。
và quân đội người, cứ theo kê sổ, cộng năm mươi ba ngàn bốn trăm người.|他 軍 隊 被 數 的 、 共 有 五 萬 三 千 四 百 名 。
Vậy, các người đã kê sổ theo trại quân Đan, cộng một trăm năm mươi bảy ngàn sáu trăm người. Họ theo ngọn cờ mình phải đi hậu binh.|凡 但 營 被 數 的 、 共 有 十 五 萬 七 千 六 百 名 ． 要 歸 本 纛 作 末 隊 往 前 行 。
Đó là những người trong dân Y-sơ-ra-ên mà người ta tu bộ tùy theo tông tộc mình. Trong các trại quân hết thảy người đã kê sổ từng đội ngũ là sáu trăm ba ngàn năm trăm năm mươi người.|這 些 以 色 列 人 、 照 他 們 的 宗 族 、 按 他 們 的 軍 隊 、 在 諸 營 中 被 數 的 、 共 有 六 十 萬 零 三 千 五 百 五 十 名 。
Nhưng người Lê-vi không nhập sổ chung với dân Y-sơ-ra-ên, tùy theo mạng của Đức Giê-hô-va đã truyền cho Môi-se.|惟 獨 利 未 人 沒 有 數 在 以 色 列 人 中 、 是 照 耶 和 華 所 吩 咐 摩 西 的 。
Dân Y-sơ-ra-ên y theo mọi điều Đức Giê-hô-va đã phán dặn Môi-se, bèn đóng trại tùy theo ngọn cờ mình, và mỗi người ra đi tùy theo họ hàng và tông tộc mình.|以 色 列 人 就 這 樣 行 、 各 人 照 他 們 的 家 室 、 宗 族 、 歸 於 本 纛 、 安 營 起 行 ． 都 是 照 耶 和 華 所 吩 咐 摩 西 的 。

					Dân Số 3				|
						民數記 3					
Nầy là dòng dõi của A-rôn và Môi-se, về ngày Đức Giê-hô-va phán cùng Môi-se tại trên núi Si-na -i.|耶 和 華 在 西 乃 山 曉 諭 摩 西 的 日 子 、 亞 倫 和 摩 西 的 後 代 如 下 ．
Nầy là tên các con trai A-rôn: Trưởng nam là Na-đáp, A-bi-hu, Ê-lê -a-sa, và Y-tha-ma.|亞 倫 的 兒 子 、 長 子 名 叫 拿 答 、 還 有 亞 比 戶 、 以 利 亞 撒 、 以 他 瑪 。
Đó là tên các con trai A-rôn, tức những thầy tế lễ đã chịu phép xức dầu, và được lập lên để làm chức tế lễ.|這 是 亞 倫 兒 子 的 名 字 、 都 是 受 膏 的 祭 司 、 是 摩 西 叫 他 們 承 接 聖 職 供 祭 司 職 分 的 。
Vả, Na-đáp và A-bi-hu đã thác trước mặt Đức Giê-hô-va khi hai người dâng một thứ lửa lạ trước mặt Đức Giê-hô-va tại trong đồng vắng Si-na -i. Hai người nầy không có con. Còn Ê-lê -a-sa và Y-tha-ma làm chức tế lễ trước mặt A-rôn, là cha mình.|拿 答 、 亞 比 戶 、 在 西 乃 的 曠 野 向 耶 和 華 獻 凡 火 的 時 候 、 就 死 在 耶 和 華 面 前 了 、 他 們 也 沒 有 兒 子 ． 以 利 亞 撒 、 以 他 瑪 、 在 他 們 的 父 親 亞 倫 面 前 供 祭 司 的 職 分 。
Đức Giê-hô-va bèn phán cùng Môi-se rằng:|耶 和 華 曉 諭 摩 西 說 、
Hãy khiến chi phái Lê-vi lại gần, đặt trước thầy tế lễ A-rôn, để người Lê-vi phục sự người.|你 使 利 未 支 派 近 前 來 、 站 在 祭 司 亞 倫 面 前 好 服 事 他 。
Người Lê-vi sẽ giữ chức phận của người và chức phận của cả hội chúng về trước hội mạc mà làm những công việc của đền tạm.|替 他 和 會 眾 在 會 幕 前 守 所 吩 咐 的 、 辦 理 帳 幕 的 事 。
Cũng phải coi sóc hết thảy đồ đạc của hội mạc và mọi vật chi dân Y-sơ-ra-ên giao cho đặng dùng làm công việc của đền tạm.|又 要 看 守 會 幕 的 器 具 、 並 守 所 吩 咐 以 色 列 人 的 、 辦 理 帳 幕 的 事 。
Vậy, ngươi phải giao người Lê-vi cho A-rôn và cho các con trai người; vì đã lấy họ từ trong vòng dân Y-sơ-ra-ên mà ban trọn cho A-rôn rồi.|你 要 將 利 未 人 給 亞 倫 和 他 的 兒 子 、 因 為 他 們 是 從 以 色 列 人 中 選 出 來 給 他 的 。
Vậy, ngươi sẽ lập A-rôn và các con trai người, để làm chức tế lễ; người ngoại đến gần sẽ bị xử tử.|你 要 囑 咐 亞 倫 和 他 的 兒 子 、 謹 守 自 己 祭 司 的 職 任 ． 近 前 來 的 外 人 必 被 治 死 。
Đức Giê-hô-va phán cùng Môi-se rằng:|耶 和 華 曉 諭 摩 西 說 、
Nầy, từ giữa dân Y-sơ-ra-ên ta chọn lấy người Lê-vi thế cho hết thảy con đầu lòng của dân Y-sơ-ra-ên; vậy, người Lê-vi sẽ thuộc về ta.|我 從 以 色 列 人 中 揀 選 了 利 未 人 、 代 替 以 色 列 人 一 切 頭 生 的 ． 利 未 人 要 歸 我 。
Vì hết thảy con đầu lòng đều thuộc về ta; ngày xưa khi ta hành hại các con đầu lòng trong xứ Ê-díp-tô, ta đã biệt riêng ra thánh cho ta hết thảy con đầu lòng trong Y-sơ-ra-ên, bất luận loài người hay thú vật; chúng nó đều sẽ thuộc về ta. Ta là Đức Giê-hô-va.|因 為 凡 頭 生 的 是 我 的 、 我 在 埃 及 地 擊 殺 一 切 頭 生 的 那 日 、 就 把 以 色 列 中 一 切 頭 生 的 、 連 人 帶 牲 畜 都 分 別 為 聖 歸 我 、 他 們 定 要 屬 我 ． 我 是 耶 和 華 。
Đức Giê-hô-va lại phán cùng Môi-se tại trong đồng vắng Si-na -i mà rằng:|耶 和 華 在 西 乃 的 曠 野 曉 諭 摩 西 說 、
Hãy kê sổ con cháu Lê-vi, tùy theo tông tộc và họ hàng chúng nó, kê hết thảy nam đinh từ một tháng sắp lên.|你 要 照 利 未 人 的 宗 族 、 家 室 、 數 點 他 們 ． 凡 一 個 月 以 外 的 男 子 、 都 要 數 點 。
Môi-se bèn kê sổ người Lê-vi theo mạng của Đức Giê-hô-va, y như Ngài đã phán dặn người vậy.|於 是 摩 西 照 耶 和 華 所 吩 咐 的 數 點 他 們 。
Đây là các con trai của Lê-vi kể từng tên: Ghẹt-sôn, Kê-hát, và Mê-ra-ri.|利 未 眾 子 的 名 字 是 革 順 、 哥 轄 、 米 拉 利 。
Đây là tên của các con trai Ghẹt-sôn, tùy theo họ hàng mình: Líp-ni và Si-mê -y.|革 順 的 兒 子 、 按 著 家 室 、 是 立 尼 、 示 每 。
Đây là các con trai của Kê-hát tùy theo họ hàng mình: Am-ram, Dít-sa, Hếp-rôn và U-xi-ên;|哥 轄 的 兒 子 、 按 著 家 室 、 是 暗 蘭 、 以 斯 哈 、 希 伯 倫 、 烏 薛 。
và các con trai của Mê-ra-ri, tùy theo họ hàng mình, là: Mách-li và Mu-si. Đó là những họ hàng của người Lê-vi, tùy theo tông tộc của họ.|米 拉 利 的 兒 子 、 按 著 家 室 、 是 抹 利 、 母 示 。 這 些 按 著 宗 族 是 利 未 人 的 家 室 。
Họ hàng Líp-ni và họ hàng Si-mê -y thuộc về Ghẹt-sôn. Đó là hai họ hàng của Ghẹt-sôn vậy.|屬 革 順 的 、 有 立 尼 族 、 示 每 族 ． 這 是 革 順 的 二 族 。
Những người trong họ Ghẹt-sôn được tu bộ, kể mọi nam đinh từ một tháng sắp lên, số là bảy ngàn năm trăm người.|其 中 被 數 從 一 個 月 以 外 所 有 的 男 子 、 共 有 七 千 五 百 名 。
Các họ hàng của Ghẹt-sôn đóng trại về phía tây, sau đền tạm.|這 革 順 的 二 族 要 在 帳 幕 後 西 邊 安 營 。
Quan trưởng của tông tộc Ghẹt-sôn là Ê-li -a-sáp, con trai của La-ên.|拉 伊 勒 的 兒 子 以 利 雅 薩 作 革 順 人 宗 族 的 首 領 。
Chức phận của con cháu Ghẹt-sôn trong hội mạc là coi sóc mọi vật chi can đến đền tạm và Trại, tức là tấm bong của Trại và bức màn của cửa hội mạc,|革 順 的 子 孫 、 在 會 幕 中 所 要 看 守 的 、 就 是 帳 幕 和 罩 棚 、 並 罩 棚 的 蓋 、 與 會 幕 的 門 簾 、
