
					Deuteronomy 1				|
Then we went on from Horeb, through all that great and cruel waste which you saw, on our way to the hill-country of the Amorites, as the Lord gave us orders; and we came to Kadesh-barnea.|Đoạn, bỏ Hô-rếp, chúng ta trải ngang qua đồng vắng minh-mông và gớm ghê mà chúng ta thấy kia, hướng về núi dân A-mô-rít, y như Giê-hô-va Đức Chúa Trời chúng ta đã phán dặn; rồi chúng ta đến Ca-đe-Ba-nê -a.
And I said to you, You have come to the hill-country of the Amorites, which the Lord our God is giving us.|Bấy giờ, ta nói cùng các ngươi rằng: Các ngươi đã đến núi của dân A-mô-rít mà Giê-hô-va Đức Chúa Trời chúng ta ban cho chúng ta.
See now, the Lord your God has put the land into your hands: go up and take it, as the Lord, the God of your fathers, has said to you; have no fear and do not be troubled.|Kìa, Giê-hô-va Đức Chúa Trời ngươi phó xứ nầy cho ngươi; hãy đi lên, chiếm làm sản nghiệp, y như Giê-hô-va Đức Chúa Trời của tổ phụ ngươi đã phán cùng ngươi; chớ ái ngại, chớ kinh khủng.
And you came near to me, every one of you, and said, Let us send men before us to go through the land with care and give us an account of the way we are to go and the towns to which we will come.|Các ngươi hết thảy bèn lại gần ta và nói rằng: Hãy sai những người đi trước chúng tôi, đặng do thám xứ và chỉ bảo về đường sá nào chúng tôi phải lên, và các thành chúng tôi phải vào.
And what you said seemed good to me, and I took twelve men from among you, one from every tribe;|Lời nầy đẹp lòng ta; ta chọn mười hai người trong các ngươi, tức mỗi chi phái một người.
And they went up into the hill-country and came to the valley of Eshcol, and saw what was there.|Mười hai người đó ra đi. lên núi, đi đến khe Ech-côn và do thám xứ.
And taking in their hands some of the fruit of the land, they came down again to us, and gave us their account, saying, It is a good land which the Lord our God is giving us.|Họ hái cầm trong tay mình những trái cây xứ đó, đem về cho chúng ta; thuật lại cùng chúng ta rằng: Xứ mà Giê-hô-va Đức Chúa Trời chúng ta ban cho thật là tốt.
But going against the order of the Lord your God, you would not go up:|Nhưng các ngươi không muốn lên đó, và đã bội nghịch mạng của Giê-hô-va Đức Chúa Trời các ngươi,
And you made an angry outcry in your tents, and said, In his hate for us the Lord has taken us out of the land of Egypt, to give us up into the hands of the Amorites for our destruction.|lằm bằm trong trại mình mà rằng: Ay bởi Đức Giê-hô-va ghét chúng ta, nên khiến chúng ta ra xứ Ê-díp-tô, đặng phó chúng ta vào tay dân A-mô-rít, để tiêu diệt đi.
Where are we going up? Our brothers have made our hearts feeble with fear by saying, The people are greater and taller than we are, and the towns are great and walled up to heaven; and more than this, we have seen the sons of the Anakim there.|Chúng ta sẽ đi lên đâu? Anh em chúng ta làm cho chúng ta tiêu gan vì nói rằng: Ay là một dân đông hơn và cao lớn hơn chúng ta; ấy là những thành lớn và kiên cố đến tận trời; vả lại, tại đó, chúng tôi có thấy những con cháu của dân A-na-kim.
Then I said to you, Have no fear of them.|Nhưng ta nói cùng các ngươi rằng: Chớ ái ngại và chớ sợ sệt gì.
The Lord your God who goes before you will be fighting for you, and will do such wonders as he did for you in Egypt before your eyes;|Giê-hô-va Đức Chúa Trời các ngươi đi trước, chính Ngài sẽ chiến-cự cho các ngươi, như Ngài đã thường làm trước mắt các ngươi tại xứ Ê-díp-tô,
And in the waste land, where you have seen how the Lord was supporting you, as a man does his son, in all your journeying till you came to this place.|và trong đồng vắng-là nơi ngươi thấy rằng trọn dọc đường ngươi đi, cho đến khi tới chốn nầy, Giê-hô-va Đức Chúa Trời ngươi đã bồng ngươi như một người bồng con trai mình.
But for all this, you had no faith in the Lord your God,|Dầu vậy, các ngươi vẫn không tin Giê-hô-va Đức Chúa Trời các ngươi,
Who goes before you on your way, looking for a place where you may put up your tents, in fire by night, lighting up the way you are to go, and in a cloud by day.|là Đấng đi trước dẫn các ngươi trên đường, để tìm cho các ngươi một nơi đóng trại; ban đêm trong đám lửa, ban ngày trong đám mây, đặng chỉ con đường các ngươi phải đi.
And the Lord, hearing your words, was angry, and said with an oath,|Bấy giờ, Đức Giê-hô-va nghe tiếng của lời nói các ngươi, bèn nổi giận và thề rằng:
Truly, not one of this evil generation will see that good land which I said I would give to your fathers,|Chẳng một ai của dòng dõi gian ác nầy sẽ thấy xứ tốt đẹp mà ta đã thề ban cho tổ phụ các ngươi,
But only Caleb, the son of Jephunneh, he will see it; and to him and to his children I will give the land over which his feet have gone, because he has been true to the Lord with all his heart.|ngoại trừ Ca-lép, con trai của Giê-phu-nê. Người sẽ thấy xứ đó; và ta sẽ ban cho người cùng con cháu người xứ mà người đã trải qua, bởi vì người có theo Đức Giê-hô-va cách trung tín trọn vẹn.
And, in addition, the Lord was angry with me because of you, saying, You yourself will not go into it:|Lại, Đức Giê-hô-va vì cớ các ngươi cũng nổi giận cùng ta, mà rằng: Ngươi cũng vậy, sẽ không vào đó đâu.
Joshua, the son of Nun, your servant, he will go into the land: say to him that he is to be strong, for he will be Israel's guide into their heritage.|Giô-suê, con trai Nun, là đầy tớ ngươi, sẽ được vào đó. Hãy làm cho người vững lòng, vì ấy là người sẽ khiến dân Y-sơ-ra-ên nhận lấy xứ nầy lảm sản nghiệp.
And your little ones, who, you said, would come into strange hands, your children, who now have no knowledge of good or evil, they will go into that land, and to them I will give it and it will be theirs.|Những con trẻ của các ngươi và các ngươi đã nói rằng sẽ thành một miếng mồi, và những con trai các ngươi hiện bây giờ chưa biết điều thiện hay là điều ác, sẽ vào xứ đó. Ta sẽ ban cho chúng nó xứ nầy làm sản nghiệp;
But as for you, go back, journeying into the waste land by the way of the Red Sea.|nhưng các ngươi hãy trở về, đi đến đồng vắng về hướng Biển đỏ.
Then you said to me, We have done evil against the Lord, we will go up to the attack, as the Lord our God has given us orders. And arming yourselves every one, you made ready to go up without care into the hill-country.|Lúc đó, các ngươi bèn đáp cùng ta mà rằng: Chúng tôi đã phạm tội cùng Đức Giê-hô-va; chúng tôi sẽ đi lên chiến trận và làm mọi điều Giê-hô-va Đức Chúa Trời chúng tôi đã phán dặn. Mỗi người trong các ngươi nịt binh khí và toan dại dột đi lên núi.
And the Lord said to me, Say to them, Do not go up to the attack; for I am not among you, and you will be overcome by those who are against you.|Đức Giê-hô-va bèn phán cùng ta rằng: Hãy nói cùng dân sự: Chớ đi lên và chớ chiến trận, vì ta không ngự giữa các ngươi; e các ngươi bị quân thù nghịch đánh bại.
This I said to you, but you gave no attention and went against the orders of the Lord, and in your pride went up into the hill-country.|Ta có thuật lại những lời nầy, nhưng các ngươi không nghe ta, nghịch mạng của Đức Giê-hô-va, đầy sự kiêu ngạo, kéo đi lên núi.
And the Amorites who were in the hill-country came out against you and put you to flight, rushing after you like bees, and overcame you in Seir, driving you even as far as Hormah.|Bấy giờ, người A-mô-rít ở trong núi nầy, đi ra đón và đuổi các ngươi như thể đoàn ong, đánh bại các ngươi tại Sê -i-rơ cho đến Họt-ma.
And you came back, weeping before the Lord; but the Lord gave no attention to your cries and did not give ear to you.|Khi trở về, các ngươi có khóc lóc trước mặt Đức Giê-hô-va, nhưng Đức Giê-hô-va không lắng tai và chẳng khứng nghe tiếng của các ngươi.
So you were kept waiting in Kadesh for a long time.|Ay vì thế nên các ngươi ở tại Ca-đe lâu ngày, nhiều ngày biết dường bao!

					Deuteronomy 2				|
						Phục Truyền Luật Lệ 2					
Then we went back, journeying into the waste land by the way to the Red Sea, as the Lord had said to me: and we were a long time going round Mount Seir.|Đoạn, chúng ta trở lại đi vào đồng vắng về hướng Biển đỏ, y như Đức Giê-hô-va đã phán dặn ta, và chúng ta đi vòng lâu ngày quanh núi Sê -i-rơ.
And the Lord said to me,|Đức Giê-hô-va có phán cùng ta mà rằng:
You have been journeying round this mountain long enough: now go to the north;|Các ngươi đi vòng núi nầy cũng đã lâu rồi, hãy trở lên hướng bắc.
And give the people orders, saying, You are about to go through the land of your brothers, the children of Esau, who are living in Seir; and they will have fear of you; so take care what you do:|Hãy truyền lịnh nầy cho dân sự: Các ngươi sẽ trải qua địa phận của anh em mình, tức là con cháu Ê-sau, ở tại Sê -i-rơ, và chúng nó sẽ sợ các ngươi. Nhưng hãy giữ lấy mình,
Make no attack on them, for I will not give you any of their land, not even space enough for a man's foot: because I have given Mount Seir to Esau for his heritage.|chớ có tranh cùng chúng nó, vì ta sẽ không cho các ngươi xứ của chúng nó đâu, dầu đến nỗi một thẻo đất bằng bàn chân cũng không cho. Ta đã ban cho Ê-sau núi Sê -i-rơ làm sản nghiệp.
You may get food for your needs from them for a price, and water for drinking.|Các ngươi sẽ dùng tiền bạc mà mua lương thức của chúng nó mà ăn, nước mà uống.
For the blessing of the Lord your God has been on you in all the work of your hands: he has knowledge of your wanderings through this great waste: these forty years the Lord your God has been with you, and you have been short of nothing.|Vì Giê-hô-va Đức Chúa Trời ngươi đã ban phước cho mọi công việc làm của tay ngươi; Ngài đã biết cuộc đi đường ngươi ngang qua đồng vắng lớn lao nầy. Trong bốn mười năm nầy, Giê-hô-va Đức Chúa Trời ngươi vẫn ở cùng ngươi; ngươi không thiếu chi hết.
So we went on past our brothers, the children of Esau, living in Seir, by the road through the Arabah, from Elath and Ezion-geber. And turning, we went by the road through the waste land of Moab.|Vậy, chúng ta có đi ngang qua cách xa anh em ta, là con cháu Ê-sau, ở tại Sê -i-rơ, và bắt đi về hướng đồng vắng Mô-áp, đặng tránh con đường đồng bằng, cùng Ê-lát và Ê-xi-ôn-Ghê-be.
And the Lord said to me, Make no attack on Moab and do not go to war with them, for I will not give you any of his land: because I have given Ar to the children of Lot for their heritage.|Đức Giê-hô-va bèn phán cùng ta rằng: Chớ đương địch và chớ chiến trận với dân Mô-áp; vì ta không cho ngươi chi trong xứ dân ấy làm sản nghiệp đâu, bởi ta đã ban A-rơ cho con cháu Lót làm sản nghiệp.
(In the past the Emim were living there; a great people, equal in numbers to the Anakim and as tall;|(Lúc trước, dân Ê-mim ở tại đó. Ay là một dân lớn, đông, hình giềng giàng như dân A-na-kim vậy.
They are numbered among the Rephaim, like the Anakim; but are named Emim by the Moabites.|Người ta cũng cho dân nầy là dân giềng giàng như dân A-na-kim; nhưng dân Mô-áp gọi họ là Ê-mim.
And the Horites in earlier times were living in Seir, but the children of Esau took their place; they sent destruction on them and took their land for themselves, as Israel did to the land of his heritage which the Lord gave them.)|Dân Hô-rít lúc trước cũng ở tại Sê -i-rơ; song con cháu Ê-sau diệt dân ấy, đoạt lấy xứ họ và ở thế cho, y như Y-sơ-ra-ên làm trong xứ mà Đức Giê-hô-va đã ban cho người làm sản nghiệp).
Get up now, and go over the stream Zered. So we went over the stream Zered.|Bây giờ, hãy đứng dậy, đi ngang qua khe Xê-rết. Vậy, chúng ta có đi ngang khe Xê-rết.
Thirty-eight years had gone by from the time when we came away from Kadesh-barnea till we went over the stream Zered; by that time all the generation of the men of war among us were dead, as the Lord had said.|Vả, thì giờ về các cuộc đi đường của chúng ta, từ khi lìa khỏi Ca-đe-Ba-nê -a, tới lúc đi ngang qua khe Xê-rết, cộng là ba mươi tám năm, cho đến chừng các người chiến sĩ về đời ấy đã diệt mất khỏi trại quân, y như Đức Giê-hô-va đã thề cùng các người đó.
For the hand of the Lord was against them, working their destruction, till all were dead.|Vả lại, tay Đức Giê-hô-va cũng tra vào họ đặng diệt họ khỏi trại quân, cho đến chừng nào họ đều tiêu diệt hết.
So when death had overtaken all the men of war among the people,|Xảy khi các người chiến sĩ đã bị tiêu diệt và chết mất khỏi dân sự,
The word of the Lord came to me, saying,|thì Đức Giê-hô-va phán cùng ta mà rằng:
You are about to go by Ar, the limit of the country of Moab;|Ngày nay ngươi sẽ đi ngang qua A-rơ, bờ cõi của dân Mô-áp,
And when you come near the land of the children of Ammon, give them no cause of trouble and do not make war on them, for I will not give you any of the land of the children of Ammon for your heritage: because I have given it to the children of Lot.|và đến gần con cháu Am-môn. Chớ đương địch và chớ chiến trận cùng chúng nó; vì ta không cho ngươi chi hết của xứ con cháu Am-môn làm sản nghiệp, bởi ta đã ban xứ đó cho con cháu của Lót làm sản nghiệp.
(That land is said to have been a land of the Rephaim, for Rephaim had been living there in earlier times, but they were named Zamzummim by the Ammonites;|(Nguyên xứ nầy gọi là xứ Rê-pha-im. Xưa kia dân Rê-pha-im ở đó, dân Am-môn gọi là Xam-xu-mim;
They were a great people, tall as the Anakim, and equal to them in number; but the Lord sent destruction on them and the children of Ammon took their place, living in their land;|ấy là một dân lớn, đông, hình giềng giàng như dân A-na-kim. Nhưng Đức Giê-hô-va diệt dân Rê-pha-im trước mặt dân Am-môn; dân Am-môn đoạt lấy xứ của họ và ở thế cho.
As he did for the children of Esau living in Seir, when he sent destruction on the Horites before them, and they took their land where they are living to this day:|Ay Ngài đã làm cho con cháu Ê-sau, ở tại Sê -i-rơ, là như vậy, khi Ngài hủy diệt dân Hô-rít trước mặt con cháu Ê-sau; họ chiếm lấy xứ dân ấy và ở thế vào chỗ cho đến ngày nay.
And the Avvim, living in the small towns as far as Gaza, came to destruction by the hands of the Caphtorim who came out from Caphtor and took their land.)|Còn dân A-vim, ở trong những làng cho đến Ga-xa, dân Cáp-tô-rim ở từ Cáp-tô ra hủy diệt họ, và ở thế vào cho).
Get up now, and go on your journey, crossing over the valley of the Arnon: see, I have given into your hands Sihon, the Amorite, king of Heshbon, and all his land: go forward to make it yours, and make war on him,|Hãy đứng dậy đi ngang qua khe At-nôn. Kìa, ta đã phó Si-hôn, vua Hết-bôn, là người A-mô-rít, cùng xứ người vào tay ngươi; hãy khởi chiếm lấy và giao chiến cùng người.
From now on I will put the fear of you in all peoples under heaven, who, hearing of you, will be shaking with fear and grief of heart because of you.|Ngày nay, ta khởi rải trên các dân tộc trong thiên hạ sự sợ hãi và kinh khủng về danh ngươi, đến nỗi khi nghe nói về ngươi, các dân tộc đó sẽ run rẩy và bị sự kinh khủng áp hãm trước mặt ngươi.
Then from the waste land of Kedemoth I sent representatives to Sihon, king of Heshbon, with words of peace, saying,|Bấy giờ, từ đồng vắng Kê-đê-mốt, ta sai sứ giả đến Si-hôn, vua Hết-bôn, lấy lời hòa hảo đặng nói cùng người rằng:
Let me go through your land: I will keep to the highway, not turning to the right or to the left;|Xin cho phép tôi đi ngang qua xứ vua; tôi đi theo đường cái luôn luôn, không xây qua bên hữu hay bên tả.
Let me have food, at a price, for my needs, and water for drinking: only let me go through on foot;|Vua sẽ nhận lấy bạc bán lương thực cho, để tôi có mà ăn; sẽ nhận lấy bạc bán nước, để tôi có mà uống. Chỉ hãy để cho tôi đi ngang qua luôn,
As the children of Esau did for me in Seir and the Moabites in Ar; till I have gone over Jordan into the land which the Lord our God is giving us.|cũng như con cháu Ê-sau ở tại Sê -i-rơ, và dân Mô-áp ở tại A-rơ đã cho phép vậy, cho đến chừng nào tôi đi qua Giô-đanh, đặng vào xứ mà Giê-hô-va Đức Chúa Trời tôi ban cho tôi.
But Sihon, king of Heshbon, would not let us go through; for the Lord your God made his spirit hard and his heart strong, so that he might give him up into your hands as at this day.|Nhưng Si-hôn, vua Hết-bôn, không khứng chúng ta đi ngang qua địa phận người; vì Giê-hô-va Đức Chúa Trời ngươi đã khiến cho tánh người ngoan ngạch, lòng người cứng cỏi, để phó người vào tay ngươi, y như điều đã xảy đến ngày nay.
And the Lord said to me, See, from now on I have given Sihon and his land into your hands: go forward now to take his land and make it yours.|Đức Giê-hô-va phán cùng ta rằng: kìa, từ bây giờ, ta phó Si-hôn và xứ người cho ngươi. Hãy khởi chiếm lấy xứ người đặng làm cơ nghiệp.
Then Sihon came out against us with all his people, to make an attack on us at Jahaz.|Vậy, Si-hôn và cả dân sự người ra đón chúng ta, đặng giao chiến tại Gia-hát.
And the Lord our God gave him into our hands; and we overcame him and his sons and all his people.|Nhưng Giê-hô-va Đức Chúa Trời chúng ta phó người cho chúng ta, và chúng ta đánh bại người, các con trai cùng cả dân sự của người.
At that time we took all his towns, and gave them over to complete destruction, together with men, women, and children; we had no mercy on any:|Trong lúc đó, ta chiếm hết các thành người, khấn vái diệt hết các thành, cả người nam, người nữ, và các con trẻ, không chừa lại một ai.
Only the cattle we took for ourselves, with the goods from the towns we had taken.|Chúng ta chỉ có cướp lấy cho phần mình súc vật và hóa tài của các thành mình đã thắng được.
From Aroer on the edge of the valley of the Arnon and from the town in the valley as far as Gilead, no town was strong enough to keep us out; the Lord our God gave them all into our hands:|Từ A-rô -e, ở trên mé khe At-nôn, và cái thành ở trong trũng, cho đến Ga-la-át, chẳng có một thành nào lấy làm kiên cố quá cho chúng ta; Giê-hô-va Đức Chúa Trời chúng ta đã phó các thành đó cho chúng ta hết.
But you did not go near the land of the children of Ammon, that is, all the side of the river Jabbok or the towns of the hill-country, wherever the Lord our God had said we were not to go.|Chỉn ngươi không có lại gần xứ của con cháu Am-môn, ở dọc khắp mé khe Gia-bốc, hoặc các thành trên núi hay là chỗ nào Giê-hô-va Đức Chúa Trời chúng ta cấm không cho chúng ta chiếm lấy.

					Deuteronomy 3				|
						Phục Truyền Luật Lệ 3					
Then turning we took the road to Bashan: and Og, king of Bashan, came out against us with all his people, and made an attack on us at Edrei.|Bấy giờ, chúng ta trở lại bắt đường Ba-san đi lên. Oc, vua Ba-san, và cả dân sự người ra đón chúng ta, đặng giao chiến tại Ech-rê -i.
And the Lord said to me, Have no fear of him: for I have given him and all his people and his land into your hands; do to him as you did to Sihon, king of the Amorites, who was ruling in Heshbon.|Đức Giê-hô-va phán cùng ta rằng: Ngươi chớ sợ, vì ta đã phó người, cả dân sự và xứ người vào tay ngươi; ngươi sẽ làm cho người như ngươi đã làm cho Si-hôn, vua A-mô-rít, ở tại Hết-bôn.
So the Lord our God gave up Og, king of Bashan, and all his people into our hands; and we overcame him so completely that all his people came to their end in the fight.|Giê-hô-va Đức Chúa Trời chúng ta cũng có phó vào tay chúng ta Oc, vua Ba-san, và cả dân sự người; chúng ta có đánh bại người đến chừng không còn lại một ai.
At that time we took all his towns; there was not one town of the sixty towns, all the country of Argob, the kingdom of Og in Bashan, which we did not take.|Trong lúc đó chúng ta chiếm lấy các thành của người, không có thành nào mà mình không chiếm lấy; tức là sáu mươi cái thành và toàn miền At-gốp, là nước của Oc trong xứ Ba-san.
All these towns had high walls round them with doors and locks; and in addition we took a great number of unwalled towns.|Các thành nầy vốn là đồn lũy có vách cao, cửa và cây gài; cũng có lấy những thành không có vách rất nhiều.
And we put them to the curse, every town together with men, women, and children.|Chúng ta khấn vái tận diệt các thành nầy, như chúng ta đã làm cho Si-hôn, vua Hết-bôn, tức là khấn vái diệt hết các thành, các người nam, người nữ, và con trẻ.
But we took for ourselves all the cattle and the stored wealth of the towns.|Nhưng chúng ta chiếm lấy về phần mình hết thảy súc vật và hóa tài của các thành ấy.
At that time we took their land from the two kings of the Amorites on the far side of Jordan, from the valley of the Arnon to Mount Hermon;|Vậy, trong lúc đó, chúng ta chiếm lấy của hai vua A-mô-rít, xứ bên kia sông Giô-đanh, từ khe At-nôn đến núi Hẹt-môn
(By the Sidonians, Hermon is named Sirion, and by the Amorites Shenir;)|;
All the towns of the table-land and all Gilead and Bashan as far as Salecah and Edrei, towns of the kingdom of Og in Bashan.|các thành của đồng bằng, toàn Ga-la-át và toàn Ba-san.
(For Og, king of Bashan, was the last of all the Rephaim; his bed was made of iron; is it not in Rabbah, in the land of the children of Ammon? It was nine cubits long and four cubits wide, measured by the common cubit.)|.
And this land which we took at that time, from Aroer by the valley of the Arnon, and half the hill-country of Gilead with its towns, I gave to the Reubenites and the Gadites.|Vậy, trong lúc đó, chúng ta chiếm lấy xứ nầy. Ta cho người Ru-bên và người Gát từ xứ A-rô -e, ở trên khe At-nôn và phân nửa núi Ga-la-át, cùng các thành của nó.
The rest of Gilead and all Bashan, the kingdom of Og, all the land of Argob, together with Bashan, I gave to the half-tribe of Manasseh. (This land is named the land of the Rephaim.|Ta cho phân nửa chi phái Ma-na-se phần còn lại của núi Ga-la-át, và toàn Ba-san, nước của Oc, tức là cả miền At-gốp cùng toàn Ba-san vậy. Miền ấy gọi là xứ Rê-pha-im.
Jair, the son of Manasseh, took all the land of Argob, as far as the country of the Geshurites and the Maacathites, naming it, Bashan, Havvoth-Jair after himself, as it is to this day.)|Giai-rơ, con trai Ma-na-se, chiếm lấy cả miền At-gốp cho đến giới hạn dân Ghê-su-rít và Ma-ca-thít, đặt tên mình cho các thôn xứ Ba-san, là thôn Giai-rơ, đến ngày nay hãy còn.
And Gilead I gave to Machir.|Ta cũng cho Ma-ki xứ Ga-la-át.
And the land from Gilead to the valley of the Arnon, with the middle of the valley as a limit, as far as the river Jabbok which is the limit of the country of the children of Ammon, I gave to the Reubenites and the Gadites;|Về người Ru-bên và người Gát, ta cho phần Ga-la-át có ranh ở giữa khe At-nôn cho đến khe Gia-bốt, là giới hạn của con cháu Am-môn,
As well as the Arabah, with the river Jordan as their limit, from Chinnereth to the Salt Sea, under the slopes of Pisgah to the east.|luôn với đồng bằng Giô-đanh, từ Ki-nê-rết tới biển của đồng bằng, tức là Biển mặn, dưới triền núi Phích-ga, về phía đông.
At that time I gave you orders, saying, The Lord has given you this land for your heritage: all the men of war are to go over armed before your brothers the children of Israel.|Vả, trong lúc đó, ta truyền lịnh nầy cho các ngươi, mà rằng: Giê-hô-va Đức Chúa Trời các ngươi có phó xứ nầy cho các ngươi đặng nhận lấy làm sản nghiệp; hết thảy những chiến sĩ trong các ngươi phải cầm binh khí đi qua trước anh em mình, là dân Y-sơ-ra-ên.
But your wives and your little ones and your cattle (for it is clear that you have much cattle) may go on living in the towns I have given you;|Chỉ những vợ, con trẻ, và súc vật các ngươi  sẽ ở lại trong những thành mà ta đã cho các ngươi,
Till the Lord has given rest to your brothers as to you, and till they have taken for themselves the land which the Lord your God is giving them on the other side of Jordan: then you may go back, every man of you, to the heritage which I have given you.|đến chừng nào Đức Giê-hô-va cho anh em các ngươi sự an nghỉ như mình, và anh em cũng nhận được xứ mà Giê-hô-va Đức Chúa Trời các ngươi ban cho họ tại phía bên kia sông Giô-đanh; đoạn mọi người trong các ngươi sẽ trở về sản nghiệp mình mà ta đã ban cho các ngươi.
And I gave orders to Joshua at that time, saying, Your eyes have seen what the Lord your God has done to these two kings: so will the Lord do to all the kingdoms into which you come.|Đang lúc ấy, ta cũng truyền lịnh nầy cho Giô-suê mà rằng: Mắt ngươi có thấy mọi điều Giê-hô-va Đức Chúa Trời các ngươi đã làm cho hai vua nầy; Đức Giê-hô-va sẽ làm như vậy cho các nước nào mà ngươi sẽ đi qua.
Have no fear of them, for the Lord your God will be fighting for you.|Đừng sợ các nước đó, vì chính Giê-hô-va Đức Chúa Trời các ngươi tranh chiến cho các ngươi.
And at that time I made request to the Lord, saying,|Trong lúc nầy, ta cầu khẩn cùng Đức Giê-hô-va mà rằng:
O Lord God, you have now for the first time let your servant see your great power and the strength of your hand; for what god is there in heaven or on earth able to do such great works and such acts of power?|Lạy Chúa Giê-hô-va, Chúa đã khởi tỏ cho kẻ tôi tớ Chúa sự oai nghiêm lớn, và cánh tay quyền năng của Chúa; vì trên trời dưới đất há có thần nào làm được việc và công sự quyền năng giống như của Chúa chăng?
