
					II Kings 1				|
And Elijah in answer said to the captain of fifty, If I am a man of God, may fire come down from heaven on you and on your fifty men, and put an end to you. Then fire came down from heaven and put an end to him and his fifty men.|Nhưng Ê-li đáp cùng quan cai năm mươi lính rằng: Nếu ta là người của Đức Chúa Trời, nguyện lửa từ trên trời giáng xuống thiêu đốt ngươi, luôn với năm mươi lính của ngươi đi! Lửa từ trên trời liền giáng xuống thiêu đốt quan cai và năm mươi lính của người.
Then the king sent another captain of fifty with his fifty men; and he said to Elijah, O man of God, the king says, Come down quickly.|A-cha-xia lại sai đến Ê-li một quan cai năm mươi lính khác đi với năm mươi lính người. Qua này nói với Ê-li rằng:" Hỡi người của Đức Chúa Trời, vua phán như vầy: Hãy mau mau xuống.
And Elijah in answer said, If I am a man of God, may fire come down from heaven on you and on your fifty men, and put an end to you. And the fire of God came down from heaven, and put an end to him and his fifty men.|Nhưng Ê-li đáp với người rằng: Nếu ta là người của Đức Chúa Trời, nguyện lửa từ trên trời giáng xuống thiêu đốt ngươi với năm mươi lính của ngươi. Lửa của Đức Chúa Trời liền từ trời giáng xuống thiêu đốt quan cai với năm mươi lính của người.
Then he sent a third captain of fifty with his fifty men; and the third captain of fifty went up, and falling on his knees before Elijah, requesting mercy of him, said, O man of God, let my life and the life of these your fifty servants be of value to you.|A-cha-xia lại sai một quan cai năm mươi lính đi với năm mươi lính mình. Quan cai này lên đến, quì gối xuống trước mặt Ê-li, cầu xin người rằng: Hỡi người của Đức Chúa Trời, xin ông xem quí trọng mạng sống của tôi và mạng sống của năm mươi người này, là kẻ tôi tớ ông.
For fire came down from heaven and put an end to the first two captains of fifty and their fifties; but now let my life be of value in your eyes.|Kìa, lửa đã giáng từ trời, thiêu nuốt hai quan cai năm mươi lính trước, và năm mươi lính của họ; nhưng bây giờ, xin xem mạng sống tôi là quí trọng trước mặt ông.
Then the angel of the Lord said to Elijah, Go down with him; have no fear of him. So he got up and went down with him to the king.|Thiên sứ của Đức Giê-hô-va nói cùng Ê-li rằng: Hãy đi xuống với người, chớ sợ chi. Vậy, Ê-li chổi dậy đi xuống với quan cai đến cùng vua.
And he said to him, This is the word of the Lord: Because you sent men to put a question to Baal-zebub, the god of Ekron, for this reason you will never again get down from the bed on to which you have gone up, but death will certainly come to you.|Người nói với vua rằng: Đức Giê-hô-va phán như vầy: Bởi vì ngươi có sai sứ giả đến cầu vấn Ba-anh-Xê-bụt, thần của Ec-rôn,  nên ngươi sẽ không xuống khỏi giường ngươi đã trèo lên, vì ngươi chắc sẽ quả chết.
So death came to him, as the Lord had said by the mouth of Elijah. And Jehoram became king in his place in the second year of the rule of Jehoram, son of Jehoshaphat, king of Judah; because he had no son.|Vậy, A-cha-xia thác, theo như lời Đức Giê-hô-va đã cậy Ê-li mà phán ra. Giô-ram kế vị người, nhằm năm thứ nhì của Giô-ram, con trai Giô-sa-phát, vua Giu-đa; bởi vì A-cha-xia không có con trai.
Now the rest of the acts of Ahaziah, are they not recorded in the book of the history of the kings of Israel?|Các công việc khác của A-cha-xia đã làm đều chép trong sách sử ký về các vua Y-sơ-ra-ên. Ê-li được cất lên trời

					II Kings 2				|
						II Các Vua 2					
Now when the Lord was about to take Elijah up to heaven in a great wind, Elijah went with Elisha from Gilgal.|Khi Đức Giê-hô-va muốn đem Ê-li lên trời trong một cơn gió lốc, Ê-li và Ê-li-sê ở Ghinh ganh đi ra.
And Elijah said to Elisha, Come no farther for the Lord has sent me to Beth-el. But Elisha said, As the Lord is living and as your soul is living, I will not be parted from you. So they went down to Beth-el.|Ê-li nói với Ê-li-sê rằng: Ta xin ngươi hãy ở đây; vì Đức Giê-hô-va sai ta đi đến Bê-tên. Ê-li-sê thưa với người rằng: Tôi chỉ Đức Giê-hô-va hằng sống và chỉ mạng sống thầy mà thề rằng, tôi chẳng hề lìa khỏi thầy. Như vậy, hai người đi xuống Bê-tên.
And at Beth-el the sons of the prophets came out to Elisha and said, Has it been made clear to you that the Lord is going to take away your master from over you today? And he said, Yes, I have knowledge of it: say no more.|Các môn đồ của những tiên tri ở tại Bê-tên đến nói với Ê-li-sê rằng: Anh có biết rằng ngày nay Đức Giê-hô-va sẽ cất thầy của anh lên khỏi anh chăng? Người đáp: Phải, ta biết; các ngươi hãy làm thinh đi!
Then Elijah said to him, Come no farther, for the Lord has sent me to Jericho. But he said, As the Lord is living and as your soul is living, I will not be parted from you. So they went on to Jericho.|Ê-li nói với Ê-li-sê rằng: Ta xin ngươi hãy ở đây, vì Đức Giê-hô-va sai ta đi đến Giê-ri-cô. Ê-li-sê lại thưa rằng: Tôi chỉ Đức Giê-hô-va mà thề rằng, tôi chẳng hề lìa khỏi thầy. Như vậy, hai người đi đến Giê-ri-cô.
And at Jericho the sons of the prophets came up to Elisha and said to him, Has it been made clear to you that the Lord is going to take away your master from over you today? And he said in answer, Yes, I have knowledge of it: say no more.|Các môn đồ của những tiên tri ở tại Giê-ri-cô đến gần Ê-li-sê, nói với người rằng: Anh có biết rằng ngày nay Đức Giê-hô-va sẽ cất thầy của anh lên khỏi anh chăng? Người đáp: Phải, ta biết; các ngươi hãy làm thinh đi!
Then Elijah said to him, Come no farther, for the Lord has sent me to Jordan. But he said, As the Lord is living and as your soul is living, I will not be parted from you. So they went on together.|Ê-li nói với người rằng Ta xin ngươi hãy ở đây, vì Đức Giê-hô-va sai ta đi đến Giô-đanh. Ê-li-sê thưa rằng: Tôi chỉ Đức Giê-hô-va hằng sống và chỉ mạng sống thầy mà thề rằng, tôi chẳng hề lìa khỏi thầy. Như vậy, hai người cứ đi với nhau.
And fifty men of the sons of the prophets went out and took their places facing them a long way off, while the two of them were by the edge of Jordan.|Có năm mươi người trong các môn đồ của những tiên tri đi theo, đứng cách xa đối ngang Giô-đanh; còn Ê-li và Ê-li-sê đứng lại tại mé sông.
Then Elijah took off his robe, and, rolling it up, gave the water a blow with it, and the waters were parted, flowing back this way and that, so that they went over on dry land.|Ê-li bèn lấy áo tơi mình, cuốn lại, đập trên nước; nước bèn rẽ ra hai bên, và hai người đều đi ngang qua trên đất khô.
And when they had come to the other side, Elijah said to Elisha, Say what you would have me do for you before I am taken from you. And Elisha said, Be pleased to let a special measure of your spirit be on me.|Khi đi qua rồi, Ê-li nói với Ê-li-sê rằng: Hãy xin điều ngươi muốn ta làm cho ngươi, trước khi ta được cất lên khỏi ngươi. Ê-li-sê thưa rằng: Nguyền xin thần của thầy cảm động tôi được bội phần.
And he said, You have made a hard request: still, if you see me when I am taken from you, you will get your desire; but if not, it will not be so.|Ê-li nói với người rằng: Ngươi cầu xin một sự khó. Song nếu ngươi thấy ta lúc ta được cất lên khỏi ngươi, ắt sẽ được như lời bằng chẳng, thì không được.
And while they went on their way, going on talking together, suddenly there were carriages and horses of fire separating them from one another and Elijah went up to heaven in a great wind.|Hai người cứ vừa đi vừa nói với nhau, kìa, có một cái xe lửa và ngựa lửa phân rẽ hai người; Ê-li lên trời trong một cơn gió lốc.
And when Elisha saw it he gave a cry, My father, my father, the carriages of Israel and its horsemen! And he saw him no longer; and he was full of grief.|Ê-li-sê nhìn thấy, bèn la lên rằng: Cha tôi ôi! cha tôi ôi! là xe và lính kỵ của Y-sơ-ra-ên! Đoạn, Ê-li-sê không còn thấy người nữa; rồi người nắm áo mình xé ra làm hai mảnh.
Then he took up Elijah's robe, which had been dropped from him, and went back till he came to the edge of Jordan.|Ê-li-sê bèn lấy cái áo tơi đã ở nơi mình Ê-li rơi xuống, trở về, đứng tại trên mé Giô-đanh.
And he took Elijah's robe, which had been dropped from him, and giving the water a blow with it, said, Where is the Lord, the God of Elijah? and at his blow the waters were parted this way and that; and Elisha went over.|Người lấy cái áo tơi đã ở nơi mình Ê-li rơi xuống, đập nước, và nói rằng: Giê-hô-va Đức Chúa Trời của Ê-li ở đâu? Khi người đã đập nước rồi, nước bèn rẽ ra hai bên, và Ê-li-sê đi ngang qua.
And when the sons of the prophets who were facing him at Jericho saw him, they said, The spirit of Elijah is resting on Elisha. And they came out to him, and went down on the earth before him.|Khi các môn đồ của những tiên tri ở Giê-ri-cô đối ngang Giô-đanh, thấy Ê-li-sê, thì nói rằng: Thần Ê-li đổ trên Ê-li-sê. Họ đến đón người, sấp mình xuống đất trước mặt người,
And they said, Your servants have with us here fifty strong men; be pleased to let them go in search of Elijah; for it may be that the spirit of the Lord has taken him up and put him down on some mountain or in some valley. But he said, Do not send them.|và nói với người rằng: Tại đây, giữa các tôi tớ thầy, có năm mươi người mạnh dạn; hãy cho phép họ đi tìm chủ thầy; có lẽ Thần của Đức Giê-hô-va đem người đi, ném trên núi nào hay là trong trũng nào chăng? Ê-li-sê đáp: Chớ sai họ đi.
But when they kept on requesting him, he was shamed and said, Send, then. So they sent fifty men; but after searching for three days, they came back without having seen him.|Nhưng chúng nài ép người, đến đỗi người xấu hổ, bèn nói rằng: Hãy sai họ đi đi. Chúng liền sai năm mươi người đi tìm Ê-li trong ba ngày, mà tìm chẳng đặng.
And they came back to him, while he was still at Jericho; and he said to them, Did I not say to you, Go not?|Chúng trở về, Ê-li-sê vẫn ở tại Giê-ri-cô; người bèn nói với họ rằng: Ta há chẳng bảo các ngươi chớ có đi sao?
Now the men of the town said to Elisha, You see that the position of this town is good; but the water is bad, causing the young of the cattle to come to birth dead.|Dân cư của Giê-ri-cô nói cùng Ê-li-sê rằng: Chỗ xây cất thành này tốt lắm y như chúa tôi thấy; nhưng nước thì độc và đất thì chai.
So he said, Get me a new vessel, and put salt in it; and they took it to him.|Người đáp: Hãy đem cho ta một cái bình mới, và đựng muối ở trong. Chúng đem bình đến cho người.
Then he went out to the spring from which the water came, and put salt in it, and said, The Lord says, Now I have made this water sweet; no longer will it be death-giving or unfertile.|Người bèn đi đến nguồn nước, đổ muối xuống nước, mà nói rằng: Đức Giê-hô-va phán như vầy: Ta đã chữa lành cho nước này, tự nó sẽ chẳng còn gây ra sự chết, hoặc sự nân nữa.
And the water was made sweet again to this day, as Elisha said.|Vậy, theo lời của Ê-li-sê phán ra, nước được chữa lành còn đến ngày nay.
Then from there he went up to Beth-el; and on his way, some little boys came out from the town and made sport of him, crying, Go up, old no-hair! go up, old no-hair!|Từ đó, Ê-li-sê đi lên Bê-tên. Đang đi dọc đường, có những trẻ con trai ở thành ra nhạo báng người, mà rằng: Ớ lão trọc, hãy lên! Ớ lão trọc, hãy lên!
And turning back, he saw them, and put a curse on them in the name of the Lord. And two she-bears came out of the wood and put forty-two of the children to death.|Người xây lại ngó chúng nó, và nhơn danh Đức Giê-hô-va mà rủa sả chúng nó. Liền có hai con gấu ra cái ra khỏi rừng, cấu xé bốn mươi hai đứa trong bọn chúng nó.
From there he went to Mount Carmel, and came back from there to Samaria.|Từ đó Ê-li-sê đi đến núi Cạt-mên; đoạn từ nơi ấy người trở về Sa-ma-ri.

					II Kings 3				|
						II Các Vua 3					
And Jehoram, the son of Ahab, became king over Israel in Samaria in the eighteenth year of the rule of Jehoshaphat, king of Judah; and he was king for twelve years.|Giô-ram, con trai A-háp, lên ngôi làm vua Y-sơ-ra-ên tại Sa-ma-ri, năm thứ mười tám đời vua Giô-sa-phát vua Giu-đa, và cai trị mười hai năm.
He did evil in the eyes of the Lord; but not like his father and his mother, for he put away the stone pillar of Baal which his father had made.|Người làm điều ác trước mặt Đức Giê-hô-va, song không giống như cha và mẹ người; bởi vì người có trừ bỏ tượng thần Ba-anh mà cha người đã dựng lên.
But still he did the same sins which Jeroboam, the son of Nebat, did and made Israel do; he went on in them.|Dầu vậy, người cũng ham theo tội lỗi của Giê-rô-bô-am, con trai Nê-bát, tức là tội đã gây cho Y-sơ-ra-ên can phạm. Người chẳng hề chịu bỏ đi.
Now Mesha, king of Moab, was a sheep-farmer; and he gave regularly to the king of Israel the wool from a hundred thousand lambs and a hundred thousand sheep.|Vả, Mê-sa, vua dân Mô-áp, nuôi nhiều bầy chiên, hằng năm người tiến cống cho vua Y-sơ-ra-ên một trăm ngàn chiên con, và trăm ngàn chiên đực chưa hớt lông.
But when Ahab was dead, the king of Moab got free from the authority of the king of Israel.|Nhưng xảy ra khi A-háp băng hà, vua Mô-áp dấy nghịch cùng vua Y-sơ-ra-ên.
At that time, King Jehoram went out from Samaria and got all Israel together in fighting order.|Bấy giờ, vua Giô-ram đi ra khỏi Sa-ma-ri kiểm điểm cả Y-sơ-ra-ên.
And he sent to Jehoshaphat, king of Judah, saying, The king of Moab has got free from my authority: will you go with me to make war on Moab? And he said, I will go with you: I am as you are, my people as your people, and my horses as your horses.|Người sai báo với Giô-sa-phát, vua Giu-đa, rằng: Dân Mô-áp đã phản nghịch cùng tôi. Vua có muốn đến cùng tôi giao chiến với Mô-áp chăng? Giô-sa-phát đáp rằng: Tôi sẽ đi; tôi như ông, dân sự tôi như dân sự ông, ngựa tôi như ngựa của ông.
And he said, Which way are we to go? And he said in answer, By the waste land of Edom.|Người lại tiếp: Chúng ta sẽ đi lên đường nào? Giô-ram đáp: Bởi con đường của đồng vắng Ê-đôm.
So the king of Israel went with the king of Judah and the king of Edom by a roundabout way for seven days: and there was no water for the army or for the beasts they had with them.|Ay vậy, vua Y-sơ-ra-ên, vua Giu-đa và vua Ê-đôm đồng kéo ra, đi vòng bảy ngày đường, đoạn họ không có nước cho đạo binh và súc vật theo.
And the king of Israel said, Here is trouble: for the Lord has got these three kings together to give them into the hands of Moab.|Vua Y-sơ-ra-ên bèn nói rằng: Than ôi! Đức Giê-hô-va đã gọi ba vua này đến đặng nộp vào tay Mô-áp.
But Jehoshaphat said, Is there no prophet of the Lord here, through whom we may get directions from the Lord? And one of the king of Israel's men said in answer, Elisha, the son of Shaphat, is here, who was servant to Elijah.|Nhưng Giô-sa-phát hỏi: Ở đây há chẳng có tiên tri nào của Đức Giê-hô-va để chúng ta nhờ người mà cầu vấn Đức Giê-hô-va chăng? Một đầy tớ của vua Y-sơ-ra-ên thưa rằng: Ở đây có Ê-li-sê, con trai của Sa-phát, là kẻ đã hầu việc Ê-li.
And Jehoshaphat said, The word of the Lord is with him. So the king of Israel and Jehoshaphat and the king of Edom went down to him.|Giô-sa-phát tiếp: Lời phán của Đức Giê-hô-va vốn ở nơi người. Vậy, vua Y-sơ-ra-ên, Giô-sa-phát, và vua Ê-đôm, bèn đi đến người.
But Elisha said to the king of Israel, What have I to do with you? go to the prophets of your father and your mother. And the king of Israel said, No; for the Lord has got these three kings together to give them up into the hands of Moab.|Ê-li-sê nói với vua Y-sơ-ra-ên rằng: Vua và tôi có can hệ gì chăng? Khá đi cầu vấn các tiên tri của cha và mẹ vua. Vua Y-sơ-ra-ên đáp rằng: Chẳng vậy đâu; vì Đức Giê-hô-va đã gọi ba vua này đến, đặng nộp vào tay Mô-áp.
Then Elisha said, By the life of the Lord of armies whose servant I am, if it was not for the respect I have for Jehoshaphat, king of Judah, I would not give a look at you, or see you.|Ê-li-sê bèn nói: Đức Giê-hô-va vạn quân hằng sống, tôi đứng trước mặt Ngài, mà thề rằng, nếu tôi không kính nể Giô-sa-phát, vua Giu-đa, thì tôi chẳng xem vua ra sao, và cũng không thấy đến nữa.
But now, get me a player of music, and it will come about that while the man is playing, the hand of the Lord will come on me and I will give you the word of the Lord: and they got a player of music, and while the man was playing, the hand of the Lord was on him.|Nhưng bây giờ, hãy đem đến cho tôi một người khảy đờn. Trong lúc người ấy khảy đờn, thì tay của Đức Giê-hô-va ở trên Ê-li-sê.
And he said, The Lord says, I will make this valley full of water-holes.|Người nói: Đức Giê-hô-va phán như vầy: Hãy đào cho nhiều hầm hố khắp trong trũng này.
For the Lord says, Though you see no wind or rain, the valley will be full of water, and you and your armies and your beasts will have drink.|Vì Đức Giê-hô-va phán rằng: Các ngươi sẽ không thấy gió, cũng chẳng thấy mưa, thế mà trũng này sẽ đầy dẫy nước, và các ngươi, đều sẽ uống nước được.
And this will be only a small thing to the Lord: in addition he will give the Moabites into your hands.|Nhưng Đức Giê-hô-va coi sự này là nhỏ mọn quá: Ngài lại sẽ phó luôn dân Mô-áp vào tay các ngươi.
And you are to put every walled town to destruction, cutting down every good tree, and stopping up every water-spring, and making all the good land rough with stones.|Các ngươi sẽ phá hủy hết thảy những thành kiên cố, những thành thị tứ, đốn những cây tốt, bít mọi suối nước, và lấy đá làm hư hại đồng ruộng màu mỡ.
Now in the morning, about the time when the offering was made, they saw water flowing from the direction of Edom till the country was full of water.|Vậy, buổi sáng, nhằm giờ người ta dâng của lễ chay, thấy nước bởi đường Ê-đôm đến, và xứ bèn đầy những nước.
Now all Moab, hearing that the kings had come to make war against them, got together all who were able to take up arms and went forward to the edge of the country.|Khi dân Mô-áp hay rằng các vua ấy đi lên đánh mình, thì nhóm hết thảy những người có thể nai nịch binh khí được trở lên, và đứng tại bờ cõi xứ.
And early in the morning they got up, when the sun was shining on the water, and they saw the water facing them as red as blood.|Ngày sau dân Mô-áp chổi dậy thật sớm; khi mặt trời mọc soi trên nước, dân Mô-áp thấy trước mặt mình nước đỏ như máu,
Then they said, This is blood: it is clear that destruction has come on the kings; they have been fighting one another: now come, Moab, let us take their goods.|thì la lên rằng: Ay là máu! Chắc ba vua ấy đã tranh chiến nhau, đánh giết lẫn nhau. Bây giờ, hỡi dân Mô-áp! hãy đi cướp của.
But when they came to the tents of Israel, the Israelites came out and made a violent attack on the Moabites, so that they went in flight before them; and they went forward still attacking them;|Vậy, chúng đi đến trại quân Y-sơ-ra-ên; nhưng dân Y-sơ-ra-ên chổi dậy, hãm đánh dân Mô-áp.
Pulling down the towns, covering every good field with stones, stopping up all the water-springs, and cutting down all the good trees; they went on driving Moab before them till only in Kir-hareseth were there any Moabites; and the fighting-men went round the town raining stones on it.|Họ phá hủy các thành, ai nấy lấy đá liệng vào lấp các đồng ruộng màu mỡ, bít các nguồn nước, và đốn những cây tốt. tại Kiệt-Ha-rê-sết chỉ còn lại những vách thành: Những quân ném đá cũng vây xông phá các vách đó nữa.
And when the king of Moab saw that the fight was going against him, he took with him seven hundred men armed with swords, with the idea of forcing a way through to the king of Aram, but they were not able to do so.|Vua Mô-áp thấy mình không thế chống nổi, bèn đem theo mình bảy trăm người cầm gươm, toan xông đến nơi vua Ê-đôm; nhưng không thế nào được.
Then he took his oldest son, who would have been king after him, offering him as a burned offering on the wall. So there was great wrath against Israel; and they went away from him, back to their country.|Người bèn bắt thái tử, là kẻ phải kế vị mình, dâng làm của lễ thiêu tại trên vách thành. Bèn có cơn thạnh nộ nổi phừng cùng Y-sơ-ra-ên; thì họ lìa khỏi vua Mô-áp, và trở về xứ mình.

					II Kings 4				|
						II Các Vua 4					
Now a certain woman, the wife of one of the sons of the prophets, came crying to Elisha and said, Your servant my husband is dead; and to your knowledge he was a worshipper of the Lord; but now, the creditor has come to take my two children as servants in payment of his debt.|Vả, có vợ của một người môn đồ của các đấng tiên tri đến phàn nàn cùng Ê-li-sê, mà rằng: Kẻ tôi tớ ông, là chồng tôi, đã qua đời; và ông biết rằng kẻ tôi tớ ông kính sợ Đức Giê-hô-va. Vả, chủ nợ người đến toan bắt hai đứa con tôi làm tôi mọi.
Then Elisha said to her, What am I to do for you? say now, what have you in the house? And she said, Your servant has nothing in the house but a pot of oil.|Ê-li-sê nói với nàng rằng: Ta phải làm gì cho ngươi? Hãy nói cho ta biết ngươi có vật gì ở nhà? Nàng thưa rằng: Con đòi ông chẳng có gì trong nhà hơn là một hũ dầu.
Then he said, Go out to all your neighbours and get vessels, a very great number of them.|Người bèn tiếp rằng: Hãy đi ra ngoài mượn những bình không của các kẻ láng giềng ngươi, chớ mượn ít.
Then go in, and, shutting the door on yourself and your sons, put oil into all these vessels, putting on one side the full ones.|Khi ngươi trở về, hãy vào nhà với các con ngươi, đóng cửa lại, rối hãy đổ dầu vào các bình đó; hễ bình nào đầy thì để nó riêng ra.
So she went away, and when the door was shut on her and her sons, they took the vessels to her and she put oil into them.|Nàng liền đi khỏi người, vào nhà với các con trai mình, đóng cửa lại; các con trai nàng đem bình lại, và nàng đổ dầu vào.
And when all the vessels were full, she said to her son, Get me another vessel. And he said, There are no more. And the flow of oil was stopped.|Khi các bình đã đầy, nàng nói với con trai mình rằng: Hãy đem cho ta một bình nữa. Nhưng nó thưa rằng: Hết trơn bình rồi. Dầu bèn ngừng lại.
So she came to the man of God and gave him word of what she had done. And he said, Go and get money for the oil and make payment of your debt, and let the rest be for the needs of yourself and your sons.|Bấy giờ, nàng đem việc ấy thuật cho người của Đức Chúa Trời, thì người nói rằng: Hãy đem bán dầu mà trả nợ của ngươi; đoạn, ngươi và các con trai ngươi sẽ lấy dầu còn lại mà nuôi mình.
Now there came a day when Elisha went to Shunem, and there was a woman of high position living there, who made him come in and have a meal with her. And after that, every time he went by, he went into her house for a meal.|Một ngày kia, Ê-li-sê đi ngang qua đất Su-nem. Ở đó, có một người đờn bà giàu, cầm người ở lại ăn bữa. Từ ấy, mỗi khi người đi ngang qua đó, thì vào nhà người đờn bà này mà dùng bữa.
And she said to her husband, Now I see that this is a holy man of God, who comes by day after day.|Người nói với chồng mình rằng: Tôi biết rằng người năng đến nhà chúng ta đây, là một người thánh của Đức Chúa Trời.
So let us make a little room on the wall; and put a bed there for him, and a table and a seat and a light; so that when he comes to us, he will be able to go in there.|Xin chúng ta hãy xây cất cho người một cái phòng cao, rồi để tại đó một cái giường, một cái bàn, một cái ghế, và một cây đèn. Vậy, khi người đến nhà ta, thì sẽ ở lại đó.
Now one day, when he had gone there, he went into the little room and took his rest there.|Một ngày kia, Ê-li-sê đi đến Su-nem, trọ nơi phòng cao, và ngủ tại đó.
And he said to Gehazi, his servant, Send for this Shunammite. So in answer to his voice she came before him.|Người nói với Ghê-ha-xi, tôi tớ mình, rằng: Hãy gọi người đờn bà Su-nem đó đến. Ghê-ha-xi gọi nàng; nàng ra đứng trước mặt người.
And he said to him, Now say to her, See, you have taken all this trouble for us; what is to be done for you? will you have any request made for you to the king or the captain of the army? But she said, I am living among my people.|Người nói với tôi tớ mình rằng: Hãy nói cùng nàng rằng: Kìa, ngươi đã lo liệu cho chúng ta mọi điều này; vậy chúng ta phải làm gì cho ngươi? Có phải ngươi muốn ta nói giùm cho ngươi với vua hay là với quan tổng binh chăng? Nàng thưa rằng: Tôi vẫn ở giữa dân sự tôi.
So he said, What then is to be done for her? And Gehazi made answer, Still there is this, she has no son and her husband is old.|Ê-li-sê lại tiếp: Vậy, chúng ta phải làm gì cho người? Ghê-ha-xi đáp rằng: À này, người không có con trai, và chồng người đã già rồi.
Then he said, Send for her. And in answer to his voice she took her place at the door.|Ê-li-sê nói rằng: Hãy gọi nàng. Ghê-ha-xi gọi nàng, nàng đến đứng nơi cửa.
And Elisha said, At this time in the coming year you will have a son in your arms. And she said, No, my lord, O man of God, do not say what is false to your servant.|Ê-li-sê nói với người đờn bà rằng: Năm tới, trong lúc này, ngươi sẽ ẵm một đứa con trai. Nàng thưa: Hỡi chúa tôi, là người của Đức Chúa Trời! xin chớ nói dối cùng con đòi của chúa.
Then the woman became with child and gave birth to a son at the time named, in the year after, as Elisha had said to her.|Người đờn bà ấy thọ thai, và một năm sau, cũng trong lúc đó, sanh một đứa con trai, y như lời Ê-li-sê đã nói trước cho nàng.
Now one day, when the child was older, he went out to his father to where the grain was being cut.|Xảy ra khi đứa trẻ lớn lên, một ngày kia nó đi đến cha nó nơi những người gặt lúa,
And he said to his father, My head, my head! And the father said to a servant, Take him in to his mother.|mà nói rằng: Đầu tôi đau! đầu tôi đau! Người cha biểu kẻ tôi tớ đem nó về cho mẹ nó.
And he took him in to his mother, and she took him on her knees and kept him there till the middle of the day, when his life went from him.|Người tôi tớ đem nó về, giao cho mẹ nó; đứa trẻ ngồi trên đầu gối của mẹ cho đến trưa, rồi chết.
Then she went up and put him on the bed of the man of God, shutting the door on him, and went out.|Nàng bèn đi lên để nó nằm trên giường người của Đức Chúa Trời, rồi đi ra, đóng cửa lại.
And she said to her husband, Send me one of the servants and one of the asses so that I may go quickly to the man of God and come back again.|Kế đó, nàng kêu chồng mình mà nói rằng: Tôi xin ông cắt cho tôi một đứa đầy tớ, và một con lừa, để tôi chạy đến người của Đức Chúa Trời; đoạn, tôi sẽ trở về.
And he said, Why are you going to him today? it is not a new moon or a Sabbath. But she said, It is well.|Chồng hỏi nàng rằng: Ngày nay chẳng phải mồng một, cũng chẳng phải ngày Sa-bát. vậy, nhân sao muốn đi đến cùng người? Nàng đáp: Mọi điều bình an.
Then she made the ass ready and said to her servant, Keep driving on; do not make a stop without orders from me.|Nàng biểu thắng lừa, và nói với kẻ tôi tớ rằng: Hãy đem ta đi mau mau, nếu ta biểu ngươi mới ngừng lại.
