
					Nehemiah 1				|
After him Malchijah, one of the gold-workers to the Nethinim and the traders, made good the wall opposite the doorway of Hammiphkad and as far as the way up to the angle.|Kế người, Manh-ki-gia, một người trong bọn thợ vàng, sửa cho đến nhà của người Nê-thi-nim và tay buôn bán, đối ngang cửa Mi-phơ cát, và cho đến nơi dốc của góc thành.
And between the way up to the angle and the sheep door, the gold-workers and the traders made good the wall.|Còn những thợ vàng và tay buôn bán đều sửa phần giữa nơi góc thành và cửa Chiên.

					Nehemiah 4				|
						Nê-hê-mi-a 4					
Now, Sanballat, hearing that we were building the wall, was very angry, and in his wrath made sport of the Jews.|Khi San-ba-lát hay rằng chúng tôi xây sửa vách thành lại, thì lấy làm giận dữ, và nhạo báng người Giu-đa.
And in the hearing of his countrymen and the army of Samaria he said, What are these feeble Jews doing? will they make themselves strong? will they make offerings? will they get the work done in a day? will they make the stones which have been burned come again out of the dust?|Người nói trước mặt anh em người và đạo quân Sa-ma-ri rằng: Những người Giu-đa yếu nhược ấy làm gì? Chớ thì người ta sẽ để cho chúng nó làm lụng sao? Chúng nó há sẽ dâng những của lễ ư? Trong một ngày chúng nó há sẽ làm xong sao? Đá mà đã cháy thiêu rồi, chúng nó há có thể do đống bụi đất mà lấy nó làm thành đá lại được sao?
Now Tobiah the Ammonite was by him, and he said, Such is their building that if a fox goes up it, their stone wall will be broken down.|Tô-bi-gia, người Am-môn, ở bên cạnh người, nói rằng: Vả lại, cái vách bằng đá mà những kẻ ấy xây cất kia, nếu có một con chồn leo lên đó, tất sẽ đánh nó sập xuống liền.
Give ear, O our God, for we are looked down on: let their words of shame be turned back on themselves, and let them be given up to wasting in a land where they are prisoners:|Hỡi Đức Chúa Trời của chúng tôi ôi! hãy nghe; vì chúng tôi bị khinh dể; xin hãy đổ lại chúng nó trên đầu của họ, và hãy phó chúng nó làm mồi trong một xứ bắt người ta làm phu tù kia;
Let not their wrongdoing be covered or their sin washed away from before you: for they have made you angry before the builders.|chớ che lấp gian ác của chúng nó, đừng xóa tội lỗi chúng nó sạch khỏi trước mặt Chúa; vì trước mặt các thợ xây cất, chúng nó có chọc Chúa giận.
So we went on building the wall; and all the wall was joined together half-way up: for the people were working hard.|Vậy, chúng tôi xây cất vách thành lại, và toàn vách thành đều dính liền nhau và lên đến phân nửa bề cao; vì dân sự chuyên thành làm công việc.
But when it came to the ears of Sanballat and Tobiah and the Arabians and the Ammonites and the Ashdodites, that the building of the walls of Jerusalem was going forward and the broken places were being made good, they were full of wrath;|Xảy khi San-ba-lát, Tô-bi-giam những người A rạp, dân Am-môn, và dân Ach-đốt hay rằng việc tu bổ vách thành Giê-ru-sa-lem tấn tới, và các nơi hư lũng hầu lấp lành, thì chúng nó lấy làm giận dữ,
And they made designs, all of them together, to come and make an attack on Jerusalem, causing trouble there.|bèn tập lập nhau hết thảy đặng đến hãm đánh Giê-ru-sa-lem và làm cho nó bị rối loạn.
But we made our prayer to God, and had men on watch against them day and night because of them.|Nhưng chúng tôi cầu nguyện cùng Đức Chúa Trời chúng tôi, và lập kẻ ngày và đêm canh giữ họ.
And Judah said, The strength of the workmen is giving way, and there is much waste material; it is impossible for us to put up the wall.|Người Giu-đa nói: Còn nhiều đồ hư nát, và sức lực của kẻ khiêng dánh đã yếu mỏn; chúng ta không thế xây cất vách thành được.
And those who were against us said, Without their knowledge and without their seeing us, we will come among them and put them to death, causing the work to come to a stop.|Các thù nghịch chúng tôi nói rằng: Chúng nó sẽ không hay không thấy điều đó, cho đến chừng chúng ta đến giữa chúng nó, giết chúng nó đi, và làm cho chúng nó ngưng công.
And it came about that when the Jews who were living near them came, they said to us ten times, From all directions they are coming against us.|Song dân Giu-đa ở giữa họ, đến mười lần báo cáo chúng tôi rằng: Thù nghịch bởi bốn phương chạy đến.
So in the lowest part of the space at the back of the walls, in the open places, I put the people by families, with their swords, their spears, and their bows.|Tôi bèn lập những đồn trong các nơi thấp ở phía sau vách thành, và tại những nơi trống trải; tôi đặt dân sự từng họ hàng tại đó, có cầm gươm, giáo và cung.
And after looking, I got up and said to the great ones and to the chiefs and to the rest of the people, Have no fear of them: keep in mind the Lord who is great and greatly to be feared, and take up arms for your brothers, your sons, and your daughters, your wives and your houses.|Tôi xem xét, chổi dậy, và nói với các người tước vị, quan tướng, và dân sự còn sót lại rằng: Chớ sợ chúng; khá đánh kinh, hãy chiến đấu cho anh em mình, cho con trai con gái mình, cho vợ và nhà của mình.
And when it came to the ears of those who were against us, that we had knowledge of their designs and that God had made their purpose come to nothing, we all went back to the wall, everyone to his work|Khi các thù nghịch chúng tôi hay rằng chúng tôi đã được báo tin, và Đức Chúa Trời có bại mưu của chúng nó, thì hết thảy chúng tôi đều trở lại nơi vách thành, ai nấy về làm công việc mình.
And from that time, half of my servants were doing their part of the work, and half kept the spears and body-covers and the bows and the metal war-dresses; and the chiefs were at the back of the men of Judah.|Từ ngày đó, phân nửa số đầy tớ tôi làm công việc, còn phân nửa kia cầm cây giáo, khiên, cung, và giáp; các quan trưởng đều đứng ở sau cả nhà Giu-đa.
Those who were building the wall and those who were moving material did their part, everyone working with one hand, with his spear in the other;|Những kẻ xây sửa vách thành, những kẻ khiêng gánh, và những kẻ chất lên, một tay thì làm công việc, còn một tay thì cầm binh khí mình.
Every builder was working with his sword at his side. And by my side was a man for sounding the horn.|Những kẻ xây sửa, ai nấy đều có cây gươm mình đeo nơi lưng, rồi xây sửa; còn kẻ thổi kèn thì ở bên tôi.
And I said to the great ones and the chiefs and the rest of the people, The work is great and widely spaced and we are far away from one another on the wall:|Tôi nói với các người tước vị, các quan trưởng, và dân sự còn sót lại, mà rằng: Công việc thì lớn và dài, còn chúng ta làm rải rác ở trên vách, người này cách xa người kia.
Wherever you may be when the horn is sounded, come here to us; our God will be fighting for us.|Tại nơi nào các ngươi nghe tiếng kèn, thì hãy nhóm lại cùng chúng ta ở đó; Đức Chúa Trời của chúng ta sẽ chiến đấu cho chúng ta.
So we went on with the work: and half of them had spears in their hands from the dawn of the morning till the stars were seen.|Chúng tôi làm công việc là như vậy; phân nửa họ cầm cây giáo từ lúc rạng đông cho đến khi sao mọc.
And at the same time I said to the people, Let everyone with his servant come inside Jerusalem for the night, so that at night they may keep watch for us, and go on working by day.|Trong lúc ấy, tôi cũng nói với dân sự rằng: Mỗi người hãy cùng tôi tớ mình ngủ đêm chúng phòng giữ, và ban ngày làm công việc.
So not one of us, I or my brothers or my servants or the watchmen who were with me, took off his clothing, everyone went armed to the water.|Nào tôi, nào anh em tôi, nào các người đầy tớ tôi, nào những lính canh theo tôi, chẳng có ai cởi áo mình ra, mỗi người đều đeo binh khí nơi bên hữu mình.

					Nehemiah 5				|
						Nê-hê-mi-a 5					
Then there was a great outcry from the people and their wives against their countrymen the Jews.|Khi ấy có tiếng kêu la lớn của dân sự và vợ họ về người Giu-đa, là anh em mình.
For there were some who said, We, our sons and our daughters, are a great number: let us get grain, so that we may have food for our needs.|Có người nói rằng: Chúng tôi, con trai và con gái chúng tôi, đông đảo, và chúng tôi phải có lúa mì để ăn cho sống.
And there were some who said, We are giving our fields and our vine-gardens and our houses for debt: let us get grain because we are in need.|Cũng có người nói rằng: Trong khi đói kém, chúng tôi cầm ruộng, vườn nho và nhà chúng tôi hầu cho có lúa mì ăn.
And there were others who said, We have given up our fields and our vine-gardens to get money for the king's taxes.|Lại có người khác nói rằng: Chúng tôi có cầm ruộng và vườn nho chúng tôi, mà vay bạc đặng đóng thuế cho vua.
But our flesh is the same as the flesh of our countrymen, and our children as their children: and now we are giving our sons and daughters into the hands of others, to be their servants, and some of our daughters are servants even now: and we have no power to put a stop to it; for other men have our fields and our vine-gardens.|Vả, thân của chúng tôi vốn như của anh em chúng tôi, các con trai chúng tôi khác nào các con trai họ; này chúng tôi phải bắt các con trai và con gái chúng tôi làm tôi mọi, và đã có đứa con gái chúng tôi làm tôi mọi rồi; không còn thuộc nơi quyền tay chúng tôi chuộc nó lại; vì đồng ruộng và vườn nho chúng tôi đã thuộc về kẻ khác.
And on hearing their outcry and what they said I was very angry.|Khi tôi nghe các lời này và tiếng kêu la của họ, bèn lấy làm giận lắm.
And after turning it over in my mind, I made a protest to the chiefs and the rulers, and said to them, Every one of you is taking interest from his countryman. And I got together a great meeting of protest.|Lòng tôi bàn tính về điều đó, cãi lẫy với những người tước vị và các quan trưởng, mà rằng: Các ngươi buộc tiền lời cho mỗi người anh em mình! Tôi nhóm lại một hội đông đảo đối nghịch chúng,
And I said to them, We have given whatever we were able to give, to make our brothers the Jews free, who were servants and prisoners of the nations: and would you now give up your brothers for a price, and are they to become our property? Then they said nothing, answering not a word.|mà nói rằng: Cứ theo quyền chúng ta có chuộc lại anh em chúng ta, là người Giu-đa, mà đã bị bán cho các dân tộc, và các ngươi lại muốn bán anh em mình sao? Chớ thì họ sẽ bị bán cho chúng ta sao? Chúng bèn làm thinh chẳng biết nói chi nữa.
