
					Numbers 1				|
The number of all the armies of Ephraim was a hundred and eight thousand, one hundred. They go forward third.|Vậy, các người đã kê sổ theo trại quân Ep-ra-im, từng đội ngũ, cộng một trăm tám ngàn một trăm người. Họ phải đi thứ ba.
On the north side will be the flag of the children of Dan, with Ahiezer, the son of Ammishaddai, as their chief.|Ngọn cờ của trại quân Đan và những quân đội họ phải đóng về hướng bắc. Quan trưởng của người Đan là A-hi-ê-xe, con trai của A-mi-sa-đai;
The number of his army was sixty-two thousand, seven hundred.|và quân đội người, cứ theo kê sổ, cộng sáu mươi hai ngàn bảy trăm người.
Nearest to him will be the tribe of Asher, with Pagiel, the son of Ochran, as their chief.|Chi phái A-se phải đóng trại bên Đan; quan trưởng của người A-se là Pha-ghi-ên, con trai của Oc-ran;
The number of his army was forty-one thousand, five hundred;|và quân đội người, cứ theo kê sổ, cộng bốn mươi mốt ngàn năm trăm người.
Then the tribe of Naphtali, with Ahira, the son of Enan, as their chief.|Kế đến chi phái Nép-ta-li; quan trưởng của người Nép-ta-li là A-hi-ra, con trai của Ê-nan;
The number of his army was fifty-three thousand, four hundred.|và quân đội người, cứ theo kê sổ, cộng năm mươi ba ngàn bốn trăm người.
The number of all the armies in the tents of Dan was a hundred and fifty-seven thousand, six hundred. They will go forward last, by their flags.|Vậy, các người đã kê sổ theo trại quân Đan, cộng một trăm năm mươi bảy ngàn sáu trăm người. Họ theo ngọn cờ mình phải đi hậu binh.
These are all who were numbered of the children of Israel, in the order of their fathers' families: all the armies in their tents together came to six hundred and three thousand, five hundred and fifty.|Đó là những người trong dân Y-sơ-ra-ên mà người ta tu bộ tùy theo tông tộc mình. Trong các trại quân hết thảy người đã kê sổ từng đội ngũ là sáu trăm ba ngàn năm trăm năm mươi người.
But the Levites were not numbered among the children of Israel, as the Lord said to Moses.|Nhưng người Lê-vi không nhập sổ chung với dân Y-sơ-ra-ên, tùy theo mạng của Đức Giê-hô-va đã truyền cho Môi-se.
So the children of Israel did as the Lord said to Moses, so they put up their tents by their flags, and they went forward in the same order, by their families, and by their fathers' houses.|Dân Y-sơ-ra-ên y theo mọi điều Đức Giê-hô-va đã phán dặn Môi-se, bèn đóng trại tùy theo ngọn cờ mình, và mỗi người ra đi tùy theo họ hàng và tông tộc mình.

					Numbers 3				|
						Dân Số 3					
Now these are the generations of Aaron and Moses, in the day when the word of the Lord came to Moses on Mount Sinai.|Nầy là dòng dõi của A-rôn và Môi-se, về ngày Đức Giê-hô-va phán cùng Môi-se tại trên núi Si-na -i.
These are the names of the sons of Aaron: Nadab the oldest, and Abihu, Eleazar, and Ithamar.|Nầy là tên các con trai A-rôn: Trưởng nam là Na-đáp, A-bi-hu, Ê-lê -a-sa, và Y-tha-ma.
These are the names of the sons of Aaron, the priests, on whom the holy oil was put, who were marked out as priests.|Đó là tên các con trai A-rôn, tức những thầy tế lễ đã chịu phép xức dầu, và được lập lên để làm chức tế lễ.
And Nadab and Abihu were put to death before the Lord when they made an offering of strange fire before the Lord, in the waste land of Sinai, and they had no children: and Eleazar and Ithamar did the work of priests before Aaron their father.|Vả, Na-đáp và A-bi-hu đã thác trước mặt Đức Giê-hô-va khi hai người dâng một thứ lửa lạ trước mặt Đức Giê-hô-va tại trong đồng vắng Si-na -i. Hai người nầy không có con. Còn Ê-lê -a-sa và Y-tha-ma làm chức tế lễ trước mặt A-rôn, là cha mình.
And the Lord said to Moses,|Đức Giê-hô-va bèn phán cùng Môi-se rằng:
Make the tribe of Levi come near, and put them before Aaron the priest, to be his helpers,|Hãy khiến chi phái Lê-vi lại gần, đặt trước thầy tế lễ A-rôn, để người Lê-vi phục sự người.
In order that they may be responsible to him and to all Israel for the care of the Tent of meeting, and to do the work of the House;|Người Lê-vi sẽ giữ chức phận của người và chức phận của cả hội chúng về trước hội mạc mà làm những công việc của đền tạm.
And they will have the care of all the vessels of the Tent of meeting, and will do for the children of Israel all the necessary work of the House.|Cũng phải coi sóc hết thảy đồ đạc của hội mạc và mọi vật chi dân Y-sơ-ra-ên giao cho đặng dùng làm công việc của đền tạm.
Give the Levites to Aaron and his sons; so that they may be his without question from among the children of Israel.|Vậy, ngươi phải giao người Lê-vi cho A-rôn và cho các con trai người; vì đã lấy họ từ trong vòng dân Y-sơ-ra-ên mà ban trọn cho A-rôn rồi.
And give orders that Aaron and his sons are to keep their place as priests; any strange person who comes near is to be put to death.|Vậy, ngươi sẽ lập A-rôn và các con trai người, để làm chức tế lễ; người ngoại đến gần sẽ bị xử tử.
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
See, I have taken the Levites out of the children of Israel to be mine in place of the first sons of the children of Israel;|Nầy, từ giữa dân Y-sơ-ra-ên ta chọn lấy người Lê-vi thế cho hết thảy con đầu lòng của dân Y-sơ-ra-ên; vậy, người Lê-vi sẽ thuộc về ta.
For all the first sons are mine; on the day when I put to death all the first sons in the land of Egypt, I took for myself every first male birth of man and beast. They are mine; I am the Lord.|Vì hết thảy con đầu lòng đều thuộc về ta; ngày xưa khi ta hành hại các con đầu lòng trong xứ Ê-díp-tô, ta đã biệt riêng ra thánh cho ta hết thảy con đầu lòng trong Y-sơ-ra-ên, bất luận loài người hay thú vật; chúng nó đều sẽ thuộc về ta. Ta là Đức Giê-hô-va.
And the Lord said to Moses in the waste land of Sinai,|Đức Giê-hô-va lại phán cùng Môi-se tại trong đồng vắng Si-na -i mà rằng:
Let all the children of Levi be numbered by their families and their fathers' houses; let every male of a month old and over be numbered.|Hãy kê sổ con cháu Lê-vi, tùy theo tông tộc và họ hàng chúng nó, kê hết thảy nam đinh từ một tháng sắp lên.
So Moses did as the Lord said, numbering them as he had been ordered.|Môi-se bèn kê sổ người Lê-vi theo mạng của Đức Giê-hô-va, y như Ngài đã phán dặn người vậy.
These were the sons of Levi by name: Gershon and Kohath and Merari.|Đây là các con trai của Lê-vi kể từng tên: Ghẹt-sôn, Kê-hát, và Mê-ra-ri.
And these are the names of the sons of Gershon, by their families: Libni and Shimei.|Đây là tên của các con trai Ghẹt-sôn, tùy theo họ hàng mình: Líp-ni và Si-mê -y.
And the sons of Kohath, by their families: Amram and Izhar and Hebron and Uzziel.|Đây là các con trai của Kê-hát tùy theo họ hàng mình: Am-ram, Dít-sa, Hếp-rôn và U-xi-ên;
And the sons of Merari by their families: Mahli and Mushi. These are the families of the Levites in the order of their fathers' houses.|và các con trai của Mê-ra-ri, tùy theo họ hàng mình, là: Mách-li và Mu-si. Đó là những họ hàng của người Lê-vi, tùy theo tông tộc của họ.
From Gershon come the Libnites and the Shimeites; these are the families of the Gershonites.|Họ hàng Líp-ni và họ hàng Si-mê -y thuộc về Ghẹt-sôn. Đó là hai họ hàng của Ghẹt-sôn vậy.
Those who were numbered of them, the males from one month old and over, were seven thousand, five hundred.|Những người trong họ Ghẹt-sôn được tu bộ, kể mọi nam đinh từ một tháng sắp lên, số là bảy ngàn năm trăm người.
The tents of the Gershonites are to be placed at the back of the House, to the west.|Các họ hàng của Ghẹt-sôn đóng trại về phía tây, sau đền tạm.
The chief of the Gershonites is Eliasaph, the son of Lael.|Quan trưởng của tông tộc Ghẹt-sôn là Ê-li -a-sáp, con trai của La-ên.
In the Tent of meeting, the Gershonites are to have the care of the House, and the Tent with its cover, and the veil for the door of the Tent of meeting,|Chức phận của con cháu Ghẹt-sôn trong hội mạc là coi sóc mọi vật chi can đến đền tạm và Trại, tức là tấm bong của Trại và bức màn của cửa hội mạc,
And the hangings for the open space round the House and the altar, and the curtain for its doorway, and all the cords needed for its use.|các bố vi của hành lang, và bức màn của cửa hành lang bao phủ chung quanh đền tạm và bàn thờ, cùng dây chạc về các việc của đền tạm.
From Kohath come the Amramites and the Izharites and the Hebronites and the Uzzielites; these are the families of the Kohathites.|Họ hàng Am-ram, họ hàng Dít-sa, họ hàng Hếp-rôn và họ hàng U-xi-ên thuộc về Kê-hát. Đó là những họ hàng của Kê-hát.
Those who were numbered of them, the males from one month old and over, were eight thousand, six hundred, who were responsible for the care of the holy place.|Cứ kể mọi nam đinh từ một tháng sắp lên, số là tám ngàn sáu trăm người có chức phận săn sóc nơi thánh.
The tents of the Kohathites are to be placed on the south side of the House.|Các họ hàng của con cháu Kê-hát đóng trại bên hông đền tạm về phía nam.
Their chief is Elizaphan, the son of Uzziel.|Quan trưởng của tông tộc Kê-hát là Ê-li-sa-phan, con trai của U-xi-ên.
In their care are the ark, and the table, and the lights, and the altars, and all the vessels used in the holy place, and the veil, and all they are used for.|Người Kê-hát coi sóc hòm bảng chứng, cái bàn, chân đèn, các bàn thờ, và những đồ đạc của nơi thánh để dùng về việc thờ phượng, luôn với bức màn và các vật chi can đến.
Eleazar, the son of Aaron the priest, will be head over all the Levites and overseer of those responsible for the care of the holy place.|Tổng trưởng của người Lê-vi là Ê-lê -a-sa, con trai của thầy tế lễ A-rôn, được đặt lên quản trị những người coi sóc nơi thánh.
From Merari come the Mahlites and the Mushites; these are the families of Merari.|Họ hàng Mách-li và họ hàng Mu-si thuộc về Mê-ra-ri. Đó là hai họ hàng của Mê-ra-ri vậy.
Those who were numbered of them, the males of a month old and over, were six thousand, two hundred.|Những người trong bọn Mê-ra-ri được tu bộ, kể mọi nam đinh từ một tháng sắp lên, số là sáu ngàn hai trăm người.
The chief of the families of Merari was Zuriel, the son of Abihail: their tents are to be placed on the north side of the House.|Quan trưởng của tông tộc Mê-ra-ri là Xu-ri-ên, con trai của A-bi-hai. Con cháu Mê-ra-ri đóng trại bên hông đền tạm về phía bắc,
And in their care are to be all the boards of the Tent, with their rods and pillars and bases, and all the instruments, and all they are used for,|có phần coi sóc các tấm ván của đền tạm, cây xà ngang, trụ, lỗ trụ, những đồ đạc, và mọi việc thuộc về đó,
And the pillars of the open space round it, with their bases and nails and cords.|những trụ ở chung quanh hành lang và lỗ trụ, những nọc và dây chạc của trụ.
And those whose tents are to be placed on the east side of the House in front of the Tent of meeting, looking to the dawn, are Moses and Aaron and his sons, who will do the work of the holy place for the children of Israel; and any strange person who comes near will be put to death.|Những người đóng trại trước đền tạm về phía đông, tức trước hội mạc về phía mặt trời mọc, là Môi-se, A-rôn và các con trai người, có chức phận săn sóc nơi thánh thế cho dân Y-sơ-ra-ên. Người ngoại đến gần sẽ bị xử tử.
All the Levites numbered by Moses and Aaron at the order of the Lord, all the males of one month old and over numbered in the order of their families, were twenty-two thousand.|Hết thảy người Lê-vi mà Môi-se và A-rôn vâng mạng Đức Giê-hô-va tu bộ, tùy theo họ hàng của họ, kể mọi nam đinh từ một tháng sắp lên, số là hai mươi hai ngàn người.
And the Lord said to Moses, Let all the first male children be numbered, and take the number of their names.|Đoạn, Đức Giê-hô-va phán cùng Môi-se rằng: Hãy kê sổ hết thảy con trưởng nam của dân Y-sơ-ra-ên, từ một tháng sắp lên, và hãy dựng sổ tên chúng nó.
And give to me the Levites (I am the Lord) in place of the first sons of the children of Israel; and the cattle of the Levites in place of the first births among the cattle of the children of Israel.|Ta là Đức Giê-hô-va. Ngươi phải chọn lấy cho ta người Lê-vi thế cho các con trưởng nam trong dân Y-sơ-ra-ên; cũng phải bắt súc vật của người Lê-vi thế cho mọi con súc vật đầu lòng của dân Y-sơ-ra-ên.
So Moses had all the first sons among the children of Israel numbered, as the Lord said to him.|Vậy, Môi-se kê sổ các con trưởng nam của dân Y-sơ-ra-ên, y như Đức Giê-hô-va đã phán dặn người.
Every first son from a month old and over was numbered by name, and the number came to twenty-two thousand, two hundred and seventy-three.|Hết thảy những con trưởng nam kể từng tên, từ tuổi một tháng sắp lên, theo sự kê sổ họ, là hai mươi hai ngàn hai trăm bảy mươi ba người.
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
Take the Levites in place of all the first sons of the children of Israel, and the cattle of the Levites in place of their cattle; the Levites are to be mine; I am the Lord.|Hãy chọn lấy những người Lê-vi thế cho hết thảy con trưởng nam của dân Y-sơ-ra-ên, và súc vật của người Lê-vi thế cho súc vật của dân Y-sơ-ra-ên; vậy, các người Lê-vi sẽ thuộc về ta. Ta là Đức Giê-hô-va.
And the price you have to give for the two hundred and seventy-three first sons of the children of Israel which are in addition to the number of the Levites,|Còn về sự chuộc lại con trưởng nam của dân Y-sơ-ra-ên, kê sổ hơn số người Lê-vi hai trăm bảy mươi ba,
Will be five shekels for every one, by the scale of the holy place (the shekel is twenty gerahs);|thì ngươi phải thâu mỗi người năm siếc-lơ, tùy theo siếc-lơ nơi thánh; một siếc-lơ là hai chục ghê-ra.
And this money, the price of those over the number of the Levites, is to be given to Aaron and his sons.|Ngươi phải giao bạc cho A-rôn và các con trai người; ấy là bạc chuộc lại những con trưởng nam trổi hơn.
So Moses took the money, the price of those whose place had not been taken by the Levites;|Vậy, Môi-se thâu bạc chuộc lại những con trưởng nam trổi hơn số người Lê-vi đã chuộc lại.
