
					Amos 1				|
And some of your sons I made prophets, and some of your young men I made separate for myself. Is it not even so, O children of Israel? says the Lord.|Ta đã dấy mấy kẻ tiên tri lên trong vòng con trai các ngươi, và dấy mấy người Na-xi-rê lên trong vòng bọn trai trẻ các ngươi. Đức Giê-hô-va phán: Hỡi con cái Y-sơ-ra-ên, chẳng phải vậy sao?
But to those who were separate you gave wine for drink; and to the prophets you said, Be prophets no longer.|Nhưng các ngươi đã cho các người Na-xi-rê uống rượu, và cấm các kẻ tiên tri rằng: Chớ nói tiên tri!
See, I am crushing you down, as one is crushed under a cart full of grain.|Nầy, ta sẽ chận ép các ngươi trong nơi các ngươi cũng như cái xe đầy những lúa bó chận ép.
And flight will be impossible for the quick-footed, and the force of the strong will become feeble, and the man of war will not get away safely:|Người lẹ làng sẽ không thể trốn được; người mạnh mẽ sẽ không bổ sức cho mình nữa, và người bạo dạn sẽ chẳng cứu được mạng sống mình.
And the bowman will not keep his place; he who is quick-footed will not get away safely: and the horseman will not keep his life.|Kẻ giương cung sẽ chẳng đứng vững được; kẻ có chơn lẹ làng sẽ chẳng lánh khỏi được; người cỡi ngựa sẽ khí huyết cứu mình;
And he who is without fear among the fighting men will go in flight without his clothing in that day, says the Lord.|và kẻ bạo gan trong những người mạnh mẽ sẽ ở trần mà trốn trong ngày đó, Đức Giê-hô-va phán vậy.

					Amos 3				|
						A-mốt 3					
Give ear to this word which the Lord has said against you, O children of Israel, against all the family which I took up out of the land of Egypt, saying,|Hỡi con cái Y-sơ-ra-ên, hãy nghe lời nầy, là lời Đức Giê-hô-va phán nghịch cùng các ngươi, tức là nghịch cùng cả họ hàng mà ta đã đem lên khỏi đất Ê-díp-tô.
You only of all the families of the earth have I taken care of: for this reason I will send punishment on you for all your sins.|Ta đã biết chỉ một mình các ngươi trong mọi họ hàng trên đất; vậy nên ta sẽ thăm phạt các ngươi vì mọi sự gian ác các ngươi.
Is it possible for two to go walking together, if not by agreement?|Nếu hai người không đồng ý với nhau, thì há cùng đi chung được sao?
Will a lion give his loud cry in the woodland when no food is there? will the voice of the young lion be sounding from his hole if he has taken nothing?|Nếu sư tử không bắt được mồi, thì há có gầm thét trong rừng sao? Sư tử con nếu không bắt được gì, thì há có làm vang những tiếng kêu từ nơi sâu của hang nó sao?
Is it possible for a bird to be taken in a net on the earth where no net has been put for him? will the net come up from the earth if it has taken nothing at all?|Con chim, nếu chẳng có bẫy gài để bắt nó, thì nó há sa vào trong lưới giăng ra trên đất sao? Bằng chẳng bắt được gì thì lưới há có dựt lên khỏi đất?
If the horn is sounded in the town will the people not be full of fear? will evil come on a town if the Lord has not done it?|Kèn thổi trong thành thì dân sự há chẳng sợ sao? Sự tai vạ há có xảy ra cho một thành kia nếu mà Đức Giê-hô-va chẳng làm?
Certainly the Lord will do nothing without making clear his secret to his servants, the prophets.|Cũng vậy, Chúa Giê-hô-va chẳng có làm một việc gì mà Ngài chưa tỏ sự kín nhiệm Ngài ra trước cho tôi tớ Ngài, là các Đấng tiên tri.
The cry of the lion is sounding; who will not have fear? The Lord God has said the word; is it possible for the prophet to keep quiet?|Khi sư tử gầm thét, thì ai mà chẳng sợ? Khi Chúa Giê-hô-va đã phán dạy, thì ai mà chẳng nói tiên tri?
Give out the news in the great houses of Assyria and in the land of Egypt, and say, Come together on the mountains of Samaria, and see what great outcries are there, and what cruel acts are done in it.|Hãy rao truyền ra trong các đền đài Ach-đốt và trong các đền đài của đất Ê-díp-tô, và nói rằng: Các ngươi khá nhóm lại trên các núi của Sa-ma-ri; hãy xem nhiều sự rối loạn lớn lao ở đó, và những sự bạo ngược giữa nó.
For they have no knowledge of how to do what is right, says the Lord, who are storing up violent acts and destruction in their great houses.|Đức Giê-hô-va phán: Chúng nó không biết làm sự ngay thẳng; chúng nó chất chứa của hung dữ và cướp dựt ở trong các đền đài mình.
For this reason, says the Lord, an attacker will come, shutting in the land on every side; and your strength will come down and your great houses will be made waste.|Vậy nên Chúa Giê-hô-va phán như vầy: Nầy, kẻ nghịch sẽ đến vây bọc đất nầy; nó cất mất sức mạnh ngươi, và những đền đài ngươi sẽ bị cướp phá.
These are the words of the Lord: As the keeper of sheep takes out of the mouth of the lion two legs or part of an ear; so will the children of Israel be made safe, who are resting in Samaria on seats of honour or on the silk cushions of a bed.|Đức Giê-hô-va phán như vầy: Như kẻ chăn chiên chỉ gỡ được hai giò hay một tai ra khỏi họng sư tử, thì những con cái Y-sơ-ra-ên, là những kẻ ngồi tại Sa-ma-ri nơi góc giường và trên thảm của Đa-mách, cũng sẽ được cứu cách như vậy.
Give ear now, and give witness against the family of Jacob, says the Lord God, the God of armies;|Chúa Giê-hô-va, Đức Chúa Trời vạn quân phán rằng: Hãy nghe, và làm chứng nghịch cùng nhà Gia-cốp.
For in the day when I give Israel punishment for his sins, I will send punishment on the altars of Beth-el, and the horns of the altar will be cut off and come down to the earth.|Đến ngày mà ta sẽ thăm phạt Y-sơ-ra-ên về tội lỗi nó, ta cũng sẽ thăm phạt các bàn thờ của Bê-tên; những sừng của bàn thờ sẽ bị chặt và rơi xuống đất.
And I will send destruction on the winter house with the summer house; the ivory houses will be falling down and the great houses will come to an end, says the Lord.|Bấy giờ ta sẽ đánh nhà mùa đông và nhà mùa hạ; những nhà bằng ngà voi sẽ bị phá, và những nhà lớn sẽ bị hủy diệt, Đức Giê-hô-va phán vậy.

					Amos 4				|
						A-mốt 4					
Give ear to this word, you cows of Bashan, who are in the hill of Samaria, by whom the poor are kept down, and those in need are crushed; who say to their lords, Get out the wine and give us drink.|Hỡi những bò cái của Ba-san hãy nghe, bay ở trên núi của Sa-ma-ri; hiếp đáp kẻ nghèo nàn, hành hạ kẻ thiếu thốn, nói cùng chúa chúng nó rằng: Hãy đem đến, chúng ta cùng uống!
The Lord God has taken an oath by his holy name, that the days are coming when they will take you away with hooks, and the rest of you with fish-hooks.|Chúa Giê-hô-va đã dùng sự thánh khiết Ngài mà thề rằng: Nầy, những ngày sẽ đến trên các ngươi, người ta sẽ dùng móc bắt lấy các ngươi, dân sót lại của các ngươi sẽ bị bắt lấy bởi những lưỡi câu.
And you will go out through the broken places, every one going straight before her, and you will be sent into Harmon, says the Lord.|Các ngươi sẽ đi ra bởi những nơi sứt mẻ, mỗi người đi thẳng trước mặt mình, và các ngươi sẽ ném mình vào Ha-môn, Đức Giê-hô-va phán vậy.
Come to Beth-el and do evil; to Gilgal, increasing the number of your sins; come with your offerings every morning and your tenths every three days:|Hãy đi đến Bê-tên, và phạm tội; hãy đi đến Ghinh-ganh, và phạm tội thêm! Mỗi buổi sáng hãy đem của lễ mình đến, và cứ ba ngày thì dâng các phần mười của các ngươi!
Let that which is leavened be burned as a praise-offering, let the news of your free offerings be given out publicly; for this is pleasing to you, O children of Israel, says the Lord.|Hãy đốt của lễ thù ân có men; hãy rao ra những của lễ lạc hiến; hãy làm cho thiên hạ biết; hỡi con cái Y-sơ-ra-ên, vì các ngươi ưa thích điều đó, Chúa Giê-hô-va phán vậy.
But in all your towns I have kept food from your teeth, and in all your places there has been need of bread: and still you have not come back to me, says the Lord.|Còn như ta, ta đã làm cho răng các ngươi nên sạch trong mọi thành các ngươi, và làm cho thiếu bánh trong mọi nơi các ngươi ở. Đức Giê-hô-va phán: Dầu vậy các ngươi cũng không trở lại cùng ta!
And I have kept back the rain from you, when it was still three months before the grain-cutting: I sent rain on one town and kept it back from another: one part was rained on, and the part where there was no rain became a waste.|Ta cũng đã không xuống mưa cho các ngươi trong ba tháng trước mùa gặt; ta đã mưa trên thành nầy và không mưa trên thành khác. Ruộng nầy đã được mưa, còn ruộng kia không được nhuận tưới thì khô héo.
So two or three towns went wandering to one town looking for water, and did not get enough: and still you have not come back to me, says the Lord.|Dường ấy, người trong hai hoặc ba thành đi đến một thành đặng uống nước, mà không tìm đến cho đỡ khát. Nhưng các ngươi không trở về cùng ta, Đức Giê-hô-va phán vậy.
I have sent destruction on your fields by burning and disease: the increase of your gardens and your vine-gardens, your fig-trees and your olive-trees, has been food for worms: and still you have not come back to me, says the Lord.|Ta đã dùng gió nóng và sâu lúa mà đánh các ngươi. Có nhiều vườn rau, vườn nho, cây vả, cây ô-li-ve của các ngươi đã bị sâu keo cắn phá. Nhưng các ngươi chẳng trở về cùng ta, Đức Giê-hô-va phán vậy.
I have sent disease among you, as it was in Egypt: I have put your young men to the sword, and have taken away your horses; I have made the evil smell from your tents come up to your noses: and still you have not come back to me, says the Lord.|Ta đã khiến ôn dịch đến trong các ngươi, cũng như trong Ê-díp-tô. Ta đã dùng gươm giết chết những kẻ trai trẻ của các ngươi, và những ngựa của các ngươi đã bị đem đi. Ta đã làm cho mùi hôi hám từ trong trại quân các ngươi bay lên lỗ mũi các ngươi. Nhưng các ngươi chẳng trở về cùng ta, Đức Giê-hô-va phán vậy.
And I have sent destruction among you, as when God sent destruction on Sodom and Gomorrah, and you were like a burning stick pulled out of the fire: and still you have not come back to me, says the Lord.|Ta đã lật đổ giữa các ngươi, như Đức Chúa Trời đã lập đổ Sô-đôm và Gô-mô-rơ, và các ngươi đã như cái que rút ra khỏi lửa. Nhưng các ngươi chẳng trở về cùng ta, Giê-hô-va phán vậy.
So this is what I will do to you, O Israel: and because I will do this to you, be ready for a meeting with your God, O Israel.|Hỡi Y-sơ-ra-ên, vậy nên ta sẽ đãi ngươi dường ấy; hỡi Y-sơ-ra-ên, vì ta sẽ đãi ngươi dường ấy, nên ngươi khá sửa soạn mà gặp Đức Chúa Trời ngươi.
For see, he who gave form to the mountains and made the wind, giving knowledge of his purpose to man, who makes the morning dark, and is walking on the high places of the earth: the Lord, the God of armies, is his name.|Thật, ấy là Ngài đã làm nên các núi và dựng nên gió. Ay là Ngài làm cho người ta biết ý tưởng riêng của mình, đổi ban mai ra tối tăm, và bước đi trên những chỗ cao trên đất. Danh Ngài là Giê-hô-va Đức Chúa Trời vạn quân.

					Amos 5				|
						A-mốt 5					
Give ear to this word, my song of sorrow over you, O children of Israel.|Hỡi nhà Y-sơ-ra-ên, hãy nghe lời nầy, là bài ca thương mà ta sẽ làm về các ngươi!
The virgin of Israel has been made low, never again to be lifted up: she is stretched out by herself on her land; there is no one to put her on her feet again.|Gái đồng trinh của Y-sơ-ra-ên đã ngã xuống, sẽ không dậy nữa; nó đã bị ném bỏ trên đất nó, mà không ai đỡ dậy.
For these are the words of the Lord God: The town which was able to send out a thousand, will have only a hundred; and that which sent out a hundred, will have only ten, in Israel.|Vì Chúa Giê-hô-va phán như vầy: Thành nào ra một ngàn quân, chỉ còn có một trăm; thành nào dấy lên một trăm người, chỉ còn có mười người trong nhà Y-sơ-ra-ên sót lại.
For these are the words of the Lord to the children of Israel: Let your hearts be turned to me, so that you may have life:|Đức Giê-hô-va phán cùng nhà Y-sơ-ra-ên như vầy: Hãy tìm kiếm ta, thì các ngươi sẽ sống!
Do not be looking for help to Beth-el, and do not go to Gilgal, or make your way to Beer-sheba: for Gilgal will certainly be taken prisoner, and Beth-el will come to nothing.|Chớ tìm kiếm Bê-tên, chớ vào trong Ghinh-ganh, đừng đi đến Bê -e-Sê-ba. Vì Ghinh-ganh sẽ bị đày, Bê-tên sẽ trở nên một nơi đổ nát.
Go to the Lord for help so that you may have life; for fear that he may come like fire bursting out in the family of Joseph, causing destruction, and there will be no one to put it out in Beth-el.|Hãy tìm kiếm Đức Giê-hô-va, thì các ngươi sẽ sống; bằng chẳng vậy, Ngài sẽ như một ngọn lửa thiêu đốt hừng lên trong nhà Giô-sép, ở Bê-tên không ai có thể tắt được.
You who make the work of judging a bitter thing, crushing down righteousness to the earth;|Các ngươi đổi sự ngay thẳng ra ngải cứu, và ném sự công bình xuống đất!
Go for help to him who makes Orion and the Pleiades, by whom the deep dark is turned into morning, who makes the day black with night; whose voice goes out to the waters of the sea, sending them out over the face of the earth: the Lord is his name;|Hãy tìm Đấng đã dựng nên những sao Rau và sao Cày; đổi bóng tối tăm ra ban mai, đổi ban ngày ra đêm thẳm, gọi nước biển mà đổ nó ra trên mặt đất: danh Ngài là Giê-hô-va.
Who sends sudden destruction on the strong, so that destruction comes on the walled town.|Ay chính Ngài làm cho kẻ mạnh thình lình bị diệt vong, đến nỗi sự hủy hoại đến trên đồn lũy.
They have hate for him who makes protest against evil in the public place, and he whose words are upright is disgusting to them.|Chúng nó ghét người trách móc nơi cửa thành, và gớm ghiếc kể nói ngay thẳng.
So because the poor man is crushed under your feet, and you take taxes from him of grain: you have made for yourselves houses of cut stone, but you will not take your rest in them; the fair vine-gardens planted by your hands will not give you wine.|Vì các ngươi hiếp đáp kẻ nghèo và đòi họ nộp thuế lúa mì, vậy nên những nhà bằng đá vuông nầy mà các ngươi đã xây nên, các ngươi sẽ không ở được. Các ngươi đã trồng những vườn nho ngon ngọt, nhưng sẽ không uống rượu nó.
For I have seen how your evil-doing is increased and how strong are your sins, you troublers of the upright, who take rewards and do wrong to the cause of the poor in the public place.|Vì ta biết tội ác các ngươi nhiều là bao nhiêu, các ngươi là kẻ hiếp đáp người công bình, nhận lấy của hối lộ, ở nơi cửa thành làm cong lẽ thẳng của những kẻ nghèo.
So the wise will say nothing in that time; for it is an evil time.|Bởi đó cho nên, trong thời như thế, người khôn ngoan sẽ làm thinh; vì là thời khốn nạn.
Go after good and not evil, so that life may be yours: and so the Lord, the God of armies, will be with you, as you say.|Hãy tìm điều lành và đừng tìm đều dữ, hầu cho các ngươi được sống, thì Giê-hô-va Đức Chúa Trời vạn quân sẽ ở cùng ngươi, như các ngươi nói vậy.
Be haters of evil and lovers of good, and let right be done in the public place: it may be that the Lord, the God of armies, will have mercy on the rest of Joseph.|Hãy ghét điều dữ mà ưa điều lành; hãy lập sự công bình nơi cửa thành. Của lễ Giê-hô-va Đức Chúa Trời vạn quân sẽ ra ơn cho những kẻ còn sót lại của Giô-sép!
So these are the words of the Lord, the God of armies, the Lord: There will be weeping in all the open spaces; and in all the streets they will say, Sorrow! sorrow! and they will get in the farmer to the weeping, and the makers of sad songs to give cries of grief.|Vậy nên, Chúa Giê-hô-va, Đức Chúa Trời vạn quân, phán như vầy: Trong mọi nơi phố trợ, người ta sẽ than khóc; trong mọi đường phố, người ta sẽ kêu la rằng: Hỡi ôi! Hỡi ôi! Người ta sẽ mời kẻ cày ruộng đến thảm sầu, và những kẻ giỏi than van đến kêu khóc.
In all the vine-gardens there will be cries of grief: for I will go through among you, says the Lord.|Trong các vườn nho vang tiếng khóc than, vì ta sẽ qua giữa ngươi, Đức Giê-hô-va phán vậy.
Sorrow to you who are looking for the day of the Lord! what is the day of the Lord to you? it is dark and not light.|Khốn thay cho các ngươi là kẻ trông mong ngày của Đức Giê-hô-va! Các ngươi trông mong ngày của Đức Giê-hô-va làm gì? Ay là ngày tối tăm, không phải là ngày ánh sáng.
As if a man, running away from a lion, came face to face with a bear; or went into the house and put his hand on the wall and got a bite from a snake.|Ví như một người tránh khỏi sư tử, lại gặp con gấu; hay là như kẻ vào trong nhà, dựa tay trên vách, bị rắn cắn nhằm.
Will not the day of the Lord be dark and not light? even very dark, with no light shining in it?|Ngày của Đức Giê-hô-va há chẳng phải tối tăm, không sáng láng, và mù mịt, không chói lói hay sao?
Your feasts are disgusting to me, I will have nothing to do with them; I will take no delight in your holy meetings.|Ta ghét; ta khinh dể những kỳ lễ của các ngươi; ta không đẹp lòng về những hội trọng thể của các ngươi đâu.
Even if you give me your burned offerings and your meal offerings, I will not take pleasure in them: I will have nothing to do with the peace-offerings of your fat beasts.|Dầu các ngươi dâng những của lễ thiêu và của lễ chay cho ta, ta sẽ không nhận lấy; ta chẳng đoái xem những con thú mập về của lễ thù ân các ngươi.
Take away from me the noise of your songs; my ears are shut to the melody of your instruments.|Hãy làm cho tiếng của các bái hát các ngươi xa khỏi ta! Ta không khứng nghe tiếng đờn cầm của các ngươi.
But let the right go rolling on like waters, and righteousness like an ever-flowing stream.|Thà hãy làm cho sự chánh trực chảy xuống như nước, và sự công bình như sông lớn cuồn cuộn.
Did you come to me with offerings of beasts and meal offerings in the waste land for forty years, O Israel?|Hỡi nhà Y-sơ-ra-ên, các ngươi há chẳng từng dâng hi sinh và của lễ chay cho ta trong bốn mươi năm nơi đồng vắng sao?
Truly, you will take up Saccuth your king and Kaiwan your images, the star of your god, which you made for yourselves.|Trái lại, các ngươi đã khiêng nhà tạm của vua mình, khám của thần tượng mình, và ngôi sao của thần các ngươi mà các ngươi đã làm cho mình.
And I will send you away as prisoners farther than Damascus, says the Lord, whose name is the God of armies.|Vậy nên, ta sẽ làm cho các ngươi bị đày qua làm phu tù bên kia Đa-mách, Đức Giê-hô-va phán vậy, danh Ngài là Đức Chúa Trời vạn quân.

					Amos 6				|
						A-mốt 6					
Sorrow to those who are resting in comfort in Zion, and to those who have no fear of danger in the mountain of Samaria, the noted men of the chief of the nations, to whom the people of Israel come!|Khốn thay cho những kẻ ăn ở nể trong Si-ôn, và cho những kẻ tưởng mình an ổn trên núi Sa-ma-ri! Khốn thay cho những kẻ sang trọng của các nước làm đầu, là những kẻ mà nhà Y-sơ-ra-ên về cùng!
Go on to Calneh and see; and from there go to Hamath the great; then go down to Gath of the Philistines: are you better than these kingdoms? or is your land wider than theirs?|Vậy hãy qua Ca-ne, và hãy xem; hãy đi từ đó đến thành Ha-mát lớn, đoạn xuống thành Gát của người Phi-li-tin. những thành ấy hát tốt hơn những nước nầy sao? Bờ cõi chúng nó há lớn hơn bờ cõi các ngươi sao?
You who put far away the evil day, causing the rule of the violent to come near;|Các ngươi làm cho ngày hoạn nạn xa ra, và làm cho ngôi bạo ngược gần lại!
Who are resting on beds of ivory, stretched out on soft seats, feasting on lambs from the flock and young oxen from the cattle-house;|Các ngươi nằm ngủ trên giường ngà và duỗi dài trên ghế dài mình; ăn những chiên con chọn ra trong bầy và những bò con mập trong chuồng.
Making foolish songs to the sound of corded instruments, and designing for themselves instruments of music, like David;|Thật, các ngươi hát bài bậy bạ họa theo đờn cầm, bày vẽ ra những đồ nhạc khí cho mình như vua Đa-vít.
Drinking wine in basins, rubbing themselves with the best oils; but they have no grief for the destruction of Joseph.|Các ngươi uống rượu trong những chén lớn, dùng dầu rất quí xức cho thơm mình, mà không lo đến tai nạn của Giô-sép!
So now they will go away prisoners with the first of those who are made prisoners, and the loud cry of those who were stretched out will come to an end.|Vậy nên chúng nó sẽ bị bắt làm phu tù đầu nhứt trong những kẻ bị bắt, và bấy giờ sẽ dứt tiếng reo vui của những kẻ buông tuồng ấy!
The Lord God has taken an oath by himself, says the Lord, the God of armies: the pride of Jacob is disgusting to me, and I have hate for his great houses: so I will give up the town with everything in it.|Đức Giê-hô-va là Đức Chúa Trời vạn quân phán rằng: Chúa Giê-hô-va đã chỉ mình mà thề rằng: Ta gớm ghiếc sự kiêu ngạo của Gia-cốp, và ghét cung đền nó; vậy nên ta sẽ phó thành nầy cùng những vật chứa ở trong.
Then it will come about that if there are still ten men in a house, death will overtake them.|Nếu trong một nhà còn lại mười người, thì chúng nó cũng sẽ chết hết.
And when a man's relation, even the one who is responsible for burning his body, lifting him up to take his bones out of the house, says to him who is in the inmost part of the house, Is there still anyone with you? and he says, No; then he will say, Keep quiet, for the name of the Lord may not be named.|Một người bà con gần là kẻ phải đốt xác chết, sẽ cất người lên để đem xương ra khỏi nhà; người ấy sẽ hỏi kẻ ở nhà trong rằng: Còn có ai ở với ngươi không? Kẻ ấy đáp rằng: Không có ai hết! Bấy giờ người bà con nói rằng: Hãy im đi! chớ nói đến danh Đức Giê-hô-va!
For see, at the order of the Lord the great house will be full of cracks and the little house will be broken.|Vì, Đức Giê-hô-va truyền lịnh, nầy, nhà lớn sẽ bị ngã xuống mà đổ nát, nhà nhỏ sẽ bị tan ra từng mảnh.
Is it possible for horses to go running on the rock? may the sea be ploughed with oxen? for the right to be turned by you into poison, and the fruit of righteousness into a bitter plant?|Người ta há cho ngựa chạy trên vầng đá sao! Người ta há đem bò cày tại đó? Nhưng các ngươi đã đổi sự chánh trực làm cay đắng, và đổi trái công bình ra ngải cứu.
