
					I Kings 1				|
And there let Zadok the priest and Nathan the prophet put the holy oil on him to make him king over Israel; and sounding the horn say, Long life to King Solomon!|Ở đó, thầy tế lễ Xa-đốc và tiên tri Na-than phải xức dầu cho người làm vua Y-sơ-ra-ên. Đoạn, các ngươi hãy thổi kèn lên mà họ rằng:
Then come up after him and he will come in and take his place on the seat of my kingdom; for he is to be king in my place, and I have given orders that he is to be ruler over Israel and over Judah.|Vua Sa-lô-môn vạn tuế! Các ngươi sẽ theo sau người mà ta đã lập làm vua của Y-sơ-ra-ên và Giu-đa.
And Benaiah, the son of Jehoiada, answering the king, said, So be it: and may the Lord, the God of my lord the king, say so.|Bê-na-gia, con trai Giê-hô-gia-đa tâu cùng vua rằng: A-men! Giê-hô-va Đức Chúa Trời của vua chúa tôi, cũng phán định như vậy.
As the Lord has been with my lord the king, even so may he be with Solomon and make the seat of his authority greater than that of my lord King David.|Đức Giê-hô-va đã ở cùng vua chúa tôi thể nào, nguyện Ngài cũng ở cùng Sa-lô-môn thể ấy, và khiến ngôi người còn cao trọng hơn ngôi của vua Đa-vít, là chúa tôi!
So Zadok the priest, and Nathan the prophet, and Benaiah, the son of Jehoiada, and the Cherethites and the Pelethites, went down and put Solomon on King David's beast and took him to Gihon.|Đoạn, thầy tế lễ Xa-đốc, tiên tri Na-than, Bê-na-gia, con trai Giê-hô-gia-đa, những người Kê-rê-thít và Phê-lê-thít, đều đi xuống, đỡ Sa-lô-môn lên cỡi con la của vua Đa-vít rồi đưa người đến Ghi-hôn.
And Zadok the priest took the vessel of oil out of the Tent, and put the holy oil on Solomon. And when the horn was sounded, all the people said, Long life to King Solomon!|Thầy tế lễ Xa-đốc lấy cái sừng dầu trong Đền tạm, và xức cho Sa-lô-môn. Người ta thổi kèn, cả dân sự đều hô lên rằng: Vua Sa-lô-môn vạn tuế!
And all the people came up after him, piping with pipes, and they were glad with great joy, so that the earth was shaking with the sound.|Chúng đều theo người đi lên, thổi sáo, và vui mừng khôn xiết, đến nỗi đất rúng động bởi tiếng la của họ.
And it came to the ears of Adonijah and all the guests who were with him, when their meal was ended. And Joab, hearing the sound of the horn, said, What is the reason of this noise as if the town was worked up?|A-đô-ni-gia và hết thảy kẻ dự tiệc với mình đều nghe tiếng này khi vừa ăn xong. Lúc Giô-áp nghe tiếng kèn, thì nói: Sao trong thành có tiếng xôn xao ấy?
And while the words were on his lips, Jonathan, the son of Abiathar the priest, came; and Adonijah said, Come in; for you are a man of good faith and the news which you have for us will be good.|Người hãy còn nói, kìa Giô-na-than, con trai thầy tế lễ A-bia-tha, chợt đến. A-đô-ni-gia nói với người rằng: Hãy vào, vì ngươi là một tay dõng sĩ, chắc ngươi đem những tin lành.
And Jonathan, answering, said to Adonijah, Not so, but our lord King David has made Solomon king:|Nhưng Giô-na-than đáp với A-đô-ni-gia rằng: Thật trái hẳn. Vua Đa-vít, chúa chúng ta, đã lập Sa-lô-môn làm vua.
And he sent with him Zadok the priest, and Nathan the prophet, and Benaiah, the son of Jehoiada, and the Cherethites and the Pelethites; and they put him on the king's beast:|Vua có sai thầy tế lễ Xa-đốc, tiên tri Na-than, Bê-na-gia, con trai Giê-hô-gia-đa, người Kê-rê-thít cùng người Phê-lê-nít đi theo người, và họ đã đỡ người lên cỡi con la của vua.
And Zadok the priest and Nathan the prophet put the holy oil on him and made him king in Gihon; and they came back from there with joy, and the town was all worked up. This is the noise which has come to your ears.|Đoạn, tại Ghi-hôn, thầy tế lễ Xa-đốc và tiên tri Na-than đã xức dầu cho người làm vua; họ đã từ đó trở lên cách reo mừng, và cả thành đều vang động. Đó là tiếng xôn xao mà các ông đã nghe.
And now Solomon is seated on the seat of the kingdom.|Lại, Sa-lô-môn đã ngồi trên ngôi nước;
And the king's servants came to our lord King David, blessing him and saying, May God make the name of Solomon better than your name, and the seat of his authority greater than your seat; and the king was bent low in worship on his bed.|các tôi tớ của vua đến chúc phước cho vua Đa-vít, chúa chúng ta, mà tâu rằng: Nguyện Đức Chúa Trời của vua làm cho danh Sa-lô-môn tôn vinh hơn danh của vua, và khiến cho ngôi người cao trọng hơn ngôi của vua! Rồi cúi lạy nơi giường mình;
Then the king said, May the God of Israel be praised, who has given one of my seed to be king in my place this day and has let my eyes see it.|và có nói như vầy: Đáng khen ngợi thay Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, vì ngày nay Ngài có ban một người để ngồi trên ngôi của tôi mà mắt tôi xem thấy.
And all the guests of Adonijah got up in fear and went away, every man to his place.|Bấy giờ, hết thảy các người dự tiệc với A-đô-ni-gia đều bắt sợ hãi, đứng dậy, ai đi đường nấy.
And Adonijah himself was full of fear because of Solomon; and he got up and went to the altar, and put his hands on its horns.|A-đô-ni-gia cũng sợ Sa-lô-môn hay điều đó, rằng: Nầy, A-đô-ni-gia sợ vua Sa-lô-môn; kìa người đã nắm các sừng bàn thờ.
And they gave Solomon word of it, saying, See, Adonijah goes in such fear of King Solomon, that he has put his hands on the horns of the altar, saying, Let King Solomon first give me his oath that he will not put his servant to death with the sword.|Có người đến thuật cho Sa-lô-môn hay điều đó, rằng: Nầy, A-đô-ni-gia sợ vua Sa-lô-môn; kìa người đã nắm các sừng bàn thờ, mà nói rằng: Hôm nay, vua Sa-lô-môn hãy thề với tôi rằng vua sẽ không giết đầy tớ người bằng gươm.
And Solomon said, If he is seen to be a man of good faith, not a hair of him will be touched; but if any wrongdoing is seen in him, he is to be put to death.|Sa-lô-môn đáp rằng: Nếu người ăn ở ra người tử tế, thì chẳng một sợi tóc nào của người sẽ rụng xuống đất; bằng có thấy sự ác nơi người, ắt người sẽ chết.
So King Solomon sent, and they took him down from the altar. And he came and gave honour to King Solomon; and Solomon said to him, Go to your house.|Vua Sa-lô-môn sai kẻ đem người xuống khỏi bàn thờ. A-đô-ni-gia đến sấp mình xuống trước mặt Sa-lô-môn; Sa-lô-môn bèn nói với người rằng: Hãy trở về nhà ngươi.

					I Kings 2				|
						I Các Vua 2					
Now the time of David's death came near; and he gave orders to Solomon his son, saying,|Khi ngày của Đa-vít hầu trọn, người truyền lịnh cho Sa-lô-môn, con trai mình, mà rằng:
I am going the way of all the earth: so be strong and be a man;|Ta hầu đi con đường chung của thế gian, khá mạnh dạn và nên người trượng phu!
And keep the orders of the Lord your God, walking in his ways, keeping his laws and his orders and his rules and his words, as they are recorded in the law of Moses; so that you may do well in all you do and wherever you go,|Hãy giữ điều Giê-hô-va Đức Chúa Trời muốn con giữ, để đi trong đường lối Ngài, gìn giữ những luật pháp, điều răn, mạng lịnh, và sự dạy dỗ của Ngài, y như đã chép trong luật pháp của Môi-se, hầu cho con làm điều chi hay là đi nơi nào cũng đều được thành công,
So that the Lord may give effect to what he said of me, If your children give attention to their ways, living uprightly before me with all their heart and their soul, you will never be without a man to be king in Israel.|và Đức Giê-hô-va sẽ làm ứng nghiệm lời Ngài đã phán về ta, rằng: Nhược bằng các con trai ngươi cẩn thận về đường lối mình, hết lòng, hết ý theo lẽ thật mà đi ở trước mặt ta, thì ngươi sẽ chẳng hề thiếu người ngồi trên ngôi Y-sơ-ra-ên.
Now you have knowledge of what Joab, the son of Zeruiah, did to me, and to the two captains of the army of Israel, Abner, the son of Ner, and Amasa, the son of Jether, whom he put to death, taking payment for the blood of war in time of peace, and making the band of my clothing and the shoes on my feet red with the blood of one put to death without cause.|Con biết sự Giô-áp, con trai Xê-ru-gia, đã làm cho cha, sự nó đã làm cho hai quan tướng của Y-sơ-ra-ên, là Ap-ne, con trai của Nê-rơ, và A-ma-sa, con trai của Giê-the, là hai người nó đã giết, làm đổ huyết ra trong lúc hòa bình như trong cơn chiến trận, và khiến cho huyết đổ ra trong chiến trận dính vào đai nó thắt lưng, cùng vào giày nó mang nơi chơn.
So be guided by your wisdom, and let not his white head go down to the underworld in peace.|Con hãy cứ sự khôn ngoan con mà cư xử, chớ để đầu bạc nó xuống âm phủ cách bình yên.
But be good to the sons of Barzillai the Gileadite, and let them be guests at your table; for so they came to me when I went in flight from Absalom your brother.|Con hãy ở với các con trai Bát-xi-lai, người Ga-la-át, cách nhơn từ cho họ ăn đồng bàn cùng con; vì chính chúng nó đã đãi cha như vậy, mà đến đón rước cha, lúc cha chạy trốn trước mặt Ap-sa-lôm, anh con.
Now you have with you Shimei, the son of Gera the Benjamite of Bahurim, who put a bitter curse on me on the day when I went to Mahanaim; but he came down to see me at Jordan, and I gave him my oath by the Lord, saying, I will not put you to death by the sword.|Nầy còn kẻ ở với con, là Si-mê -i, con trai Ghê-ra, người Bên-gia-min, ở A-hu-rim, là kẻ lấy những lời độc ác mà nguyền rủa cha trong ngày cha đi đến Ma-ha-na-im; nhưng nó xuống đón cha tại Giô-đanh, thì cha đã nhơn danh Đức Giê-hô-va mà thề với nó rằng: Ta sẽ chẳng giết ngươi bằng gươm.
But do not let him be free from punishment, for you are a wise man; and it will be clear to you what you have to do with him; see that his white head goes down to the underworld in blood.|Bây giờ, con chớ để nó khỏi phạt, vì con là khôn ngoan, biết thế nào phải xử nó: con khá làm cho đầu bạc nó dính máu mà xuống âm phủ.
Then David went to rest with his fathers, and his body was put into the earth in the town of David.|Đa-vít an giấc với các tổ phụ mình, và được chôn trong thành Đa-vít.
David was king over Israel for forty years: for seven years he was king in Hebron and for thirty-three years in Jerusalem.|Những ngày Đa-vít trị vì trên Y-sơ-ra-ên là bốn mươi năm: người trị vì bảy năm tại Hếp-rôn, và ba mươi ba năm tại Giê-ru-sa-lem.
And Solomon took his place on the seat of David his father, and his kingdom was made safe and strong.|Đoạn, Sa-lô-môn ngồi trên ngai Đa-vít, cha mình, và nước người được lập rất vững bền.
Then Adonijah, the son of Haggith, came to Bath-sheba, the mother of Solomon. And she said, Come you in peace? And he said, Yes, in peace.|A-đô-ni-gia, con trai Ha-ghít, đến cùng Bát-sê-ba, mẹ của Sa-lô-môn. Bà nói: Ngươi đến có ý bình an chớ? Người thưa rằng: Phải, có ý bình an.
Then he said, I have something to say to you. And she said, Say on.|Người lại rằng: Tôi có một lời nói cùng bà. Bà đáp: Hãy nói.
And he said, You saw how the kingdom was mine, and all Israel had the idea that I would be their king; but now the kingdom is turned about, and has become my brother's, for it was given to him by the Lord.|Người tiếp: Bà biết rằng nước vốn thuộc về tôi, và cả Y-sơ-ra-ên đều mong thấy tôi trị vì; nhưng ngôi nước đã trở nên của em tôi, vì do nơi Đức Giê-hô-va mà thuộc về người.
Now I have one request to make to you, and do not say, No, to me. And she said to him, Say on.|Vậy bây giờ, tôi có một sự xin với bà, chớ từ chối. Bà đáp: Hãy nói.
Then he said, Will you go to Solomon the king (for he will not say, No, to you) and put before him my request that he will give me Abishag the Shunammite for a wife?|Người nói: Xin bà hãy nói với vua Sa-lô-môn , và cầu người cho tôi lấy A-bi-sác, người Su-nem, làm vợ.
And Bath-sheba said, Good! I will make your request to the king.|Bát-Sê-ba đáp: Được, ta sẽ nói với vua giùm cho ngươi.
So Bath-sheba went to King Solomon to have talk with him on Adonijah's account. And the king got up to come to her, and went down low to the earth before her; then he took his place on the king's seat and had a seat made ready for the king's mother and she took her place at his right hand.|Bát-Sê-ba đi đến vua Sa-lô-môn, để nói với người giùm cho A-đô-ni-gia. Vua đứng dậy đi đón bà, cúi xuống lạy bà; đoạn, người ngồi trên ngai mình, và sai đặt một ngai khác cho mẹ mình; bà bèn ngồi bên tay hữu vua.
Then she said, I have one small request to make to you; do not say, No, to me. And the king said, Say on, my mother, for I will not say, No, to you.|Bà nói với vua rằng: Mẹ có một việc nhỏ xin con, con chớ từ chối. Vua đáp: Mẹ ôi! xin hãy nói; vì tôi sẽ chẳng từ chối với mẹ đâu.
And she said, Let Abishag the Shunammite be given to Adonijah your brother for a wife.|Bà tiếp: Hãy ban A-bi-sác, người Su-nem, làm vợ A-đô-ni-gia, là anh con.
Then King Solomon made answer and said to his mother, Why are you requesting me to give Abishag the Shunammite to Adonijah? Take the kingdom for him in addition, for he is my older brother, and Abiathar the priest and Joab, the son of Zeruiah, are on his side.|Nhưng vua Sa-lô-môn thưa cùng mẹ mình rằng: Cớ sao mẹ xin A-bi-sác, người Su-nem, cho A-đô-ni-gia? Cũng hãy xin nước cho người luôn, vì người là anh cả tôi; hãy xin cho người, cho thầy tế lễ A-bia-tha, và cho Giô-áp, con trai Xê-ru-gia.
Then King Solomon took an oath by the Lord, saying, May God's punishment be on me if Adonijah does not give payment for these words with his life.|Vua Sa-lô-môn bèn chỉ Đức Giê-hô-va mà thề rằng: A-đô-ni-gia có nói lời đó nghịch với mạng sống mình; bằng chẳng, nguyện Đức Chúa Trời xử tôi cách nặng nề!
Now by the living Lord, who has given me my place on the seat of David my father, and made me one of a line of kings, as he gave me his word, truly Adonijah will be put to death this day.|Bây giờ, tôi chỉ Đức Giê-hô-va hằng sống, là Đấng đã làm cho tôi vững vàng, và khiến tôi ngồi trên ngai của Đa-vít, cha tôi, cùng lập một nhà cho tôi y như lời Ngài đã hứa, mà thề rằng: A-đô-ni-gia sẽ bị xử tử chính ngày hôm nay.
And King Solomon sent Benaiah, the son of Jehoiada, and he made an attack on him and put him to death.|Vua Sa-lô-môn bèn truyền lịnh cho Bê-na-gia, con trai Giê-hô-gia-đa, xông đánh A-đô-ni-gia, thì người chết.
And to Abiathar the priest the king said, Go to Anathoth, to your fields; for death would be your right reward; but I will not put you to death now, because you took up the ark of the Lord God before David my father, and you were with him in all his troubles.|Đoạn, vua nói với thầy tế lễ A-bia-tha rằng: Hãy lui về A-na-tốt, trong đất ngươi, vì ngươi đáng chết. Song ngày nay ta không giết ngươi, vì ngươi có khiêng hòm giao ước của Chúa Giê-hô-va, trước mặt Đa-vít, là cha ta, và bởi vì ngươi đã bị hoạn nạn trong các sự hoạn nạn của cha ta.
So Solomon let Abiathar be priest no longer, so that he might make the word of the Lord come true which he said about the sons of Eli in Shiloh.|Như vậy, Sa-lô-môn đuổi A-bia-tha ra đi không cho làm thầy tế lễ của Đức Giê-hô-va nữa, hầu cho lời của Đức Giê-hô-va đã phán về nhà Hê-li, tại Si-lô, được ứng nghiệm.
And news of this came to Joab; for Joab had been one of Adonijah's supporters, though he had not been on Absalom's side. Then Joab went in flight to the Tent of the Lord, and put his hands on the horns of the altar.|Tin này thấu đến Giô-áp. . Người liền trốn đến Đền tạm của Đức Giê-hô-va, và nắm sừng của bàn thờ.
And they said to King Solomon, Joab has gone in flight to the Tent of the Lord and is by the altar. Then Solomon sent Benaiah, the son of Jehoiada, saying, Go, make an attack on him.|Người ta đến tâu với vua Sa-lô-môn rằng: Giô-áp đã trốn đến Đền tạm của Đức Giê-hô-va, và kìa người đứng bên cạnh bàn thờ. Sa-lô-môn bèn sai Bê-na-gia, con trai Giê-hô-gia-đa, mà dặn rằng: Hãy đi đánh giết hắn đi.
And Benaiah came to the Tent of the Lord and said to him, The king says, Come out. And he said, No; but let death come to me here. And Benaiah went back to the king and gave him word of the answer which Joab had given.|Bê-na-gia đi đến Đền tạm của Đức Giê-hô-va, nói cùng Giô-áp rằng: Vua có nói như vầy: Hãy ra khỏi đó. Giô-áp đáp: Không; ta muốn chết tại đây. Bê-na-gia đi thuật lại cho vua, và tâu rằng: Giô-áp đã nói và đáp lại như vậy.
And the king said, Do as he has said and make an attack on him there, and put his body into the earth; so that you may take away from me and from my family the blood of one put to death by Joab without cause.|Vua nói rằng: Hãy làm y như hắn nó. Hãy giết hắn và chôn đi. Như vậy, ngươi sẽ cất khỏi ta và khỏi nhà cha ta huyết mà Giô-áp đã đổ ra vô cớ.
And the Lord will send back his blood on his head, because of the attack he made on two men more upright and better than himself, putting them to the sword without my father's knowledge; even Abner, the son of Ner, captain of the army of Israel, and Amasa, the son of Jether, captain of the army of Judah.|Đức Giê-hô-va sẽ khiến huyết hắn đổ lại trên đầu hắn, vì hắn đã xông vào hai người công bình hơn, tốt hơn hắn, và giết họ bằng gươm, mà Đa-vít, cha ta, không hay đến chi cả: ấy là Ap-ne, con trai của Nê-rơ, quan tướng của đạo binh Y-sơ-ra-ên, và A-ma-sa, con trai Giê-the.
So their blood will be on the head of Joab, and on the head of his seed for ever; but for David and his seed and his family and the seat of his kingdom, there will be peace for ever from the Lord.|Huyết hai người ấy sẽ đổ lại trên đầu Giô-áp và trên đầu của dòng dõi nó cho đến đời đời; còn phần Đa-vít và dòng dõi người, nhà và ngôi nước người sẽ nhờ Đức Giê-hô-va mà được bình yên mãi mãi.
So Benaiah, the son of Jehoiada, went up, and falling on him, put him to death; and his body was put to rest in his house in the waste land.|Vậy, Bê-na-gia, con trai Giê-hô-gia-đa, trở lên xông vào Giô-áp và giết người. Người được chôn ở nhà người, tại nơi đồng vắng.
And the king put Benaiah, the son of Jehoiada, in his place over the army; and Zadok the priest he put in the place of Abiathar.|Vua đặt Bê-na-gia, con trai Giê-hô-gia-đa, làm quan tổng binh thay cho Giô-áp, và lập Xa-đốc làm thầy tế lễ thay cho A-bia-tha.
Then the king sent for Shimei, and said to him, Make a house for yourself in Jerusalem and keep there and go to no other place.|Đoạn, vua sai đòi Si-mê -i, và nói với người rằng: Hãy cất cho ngươi một cái nhà tại Giê-ru-sa-lem, và ở đó; chớ ra đặng đi đầu này đầu kia.
For be certain that on the day when you go out and go over the stream Kidron, death will overtake you: and your blood will be on your head.|Vì khá biết rằng ngày nào ngươi ra khỏi đó, và đi qua khe Xết-rôn, thì chắc ngươi sẽ chết: huyết ngươi sẽ đổ lại trên đầu ngươi.
And Shimei said to the king, Very well! as my lord the king has said, so will your servant do. And for a long time Shimei went on living in Jerusalem.|Si-mê -i thưa với vua rằng: Lời ấy phải lắm, vua chúa tôi phán dặn điều gì, kẻ tôi tớ vua sẽ làm điều đó. Vậy, Si-mê -i ở lâu ngày tại Giê-ru-sa-lem.
But after three years, two of the servants of Shimei went in flight to Achish, son of Maacah, king of Gath. And word was given to Shimei that his servants had gone to Gath.|Cuối ba năm, xảy có hai kẻ tôi tớ của Si-mê -i trốn đến nhà A-kích, con trai Ma -a-ca, vua của Gát. Người ta đến thuật điều đó cho Si-mê -i mà rằng: Kìa, hai kẻ tôi tớ ông ở tại Gát.
Then Shimei got up, and making ready his ass, he went to Gath, to Achish, in search of his servants; and he sent and got them from Gath.|Si-mê -i chổi dậy, thắng lừa mình, đi đến Gát, nơi nhà A-kích, đặng tìm hai kẻ tôi tớ mình. Gặp đoạn, bèn dẫn chúng nó về.
And news was given to Solomon that Shimei had gone from Jerusalem to Gath and had come back again.|Người ta thuật cho Sa-lô-môn rằng Si-mê -i ở Giê-ru-sa-lem đã đi đến Gát, rồi trở về.
Then the king sent for Shimei, and said to him, Did I not make you take an oath by the Lord, protesting to you and saying, Be certain that on the day when you go out from here, wherever you go, death will overtake you? and you said to me, Very well!|Vua sai đòi Si-mê -i mà phán rằng: Ta há chẳng có bắt ngươi chỉ Đức Giê-hô-va mà thề, và bảo ngươi trước rằng: Khá biết rằng ngày nào ngươi ra, và đi đầu này đầu kia, thì ngươi chắc sẽ chết sao? Và ngươi có thưa cùng ta rằng: Lời tôi đã nghe, thậm phải?
