
					Ecclesiastes 1				|
Then I saw that wisdom is better than foolish ways--as the light is better than the dark.|Vả, ta thấy sự khôn ngoan hơn sự ngu dại, cũng như ánh sáng hơn tối tăm.
The wise man's eyes are in his head, but the foolish man goes walking in the dark; but still I saw that the same event comes to them all.|Người khôn ngoan có con mắt trong đầu mình, còn kẻ ngu muội bước đi trong tối tăm; dầu vậy, ta nhìn thấy hai đàng cùng gặp một số phận về sau.
Then said I in my heart: As it comes to the foolish man, so will it come to me; so why have I been wise overmuch? Then I said in my heart: This again is to no purpose.|Nên ta có nói trong lòng rằng: Sự xảy đến cho kẻ dại, sẽ xảy đến cho ta cũng vậy; vậy, ta có nhiều khôn ngoan như thế mà làm chi? Ta lại nói trong lòng rằng: Điều đó là một sự hư không nữa.
Of the wise man, as of the foolish man, there is no memory for ever, seeing that those who now are will have gone from memory in the days to come. See how death comes to the wise as to the foolish!|Vài người ta chẳng nhớ người khôn ngoan đến đời đời, cũng như chẳng nhớ kẻ ngu muội; vì trong ngày sau cả thảy đều bị quên mất từ lâu. Phải, người khôn ngoan chết cũng như kẻ điên cuồng?
So I was hating life, because everything under the sun was evil to me: all is to no purpose and desire for wind.|Vậy, ta ghét đời sống, vì mọi việc làm ra dưới mặt trời là cực nhọc cho ta, thảy đều hư không, theo luồng gió thổi.
Hate had I for all my work which I had done, because the man who comes after me will have its fruits.|Ta cũng ghét mọi công lao ta đã làm ở dưới mặt trời, vì phải để lại cho người sau mình.
And who is to say if that man will be wise or foolish? But he will have power over all my work which I have done and in which I have been wise under the sun. This again is to no purpose.|Vả, ai biết rằng người ấy sẽ khôn ngoan hay là ngu dại? Dầu thế nào, hắn sẽ cai quản mọi việc ta đã lấy sự lao khổ và khôn ngoan mà làm ở dưới mặt trời. Điều đó cũng là hư không.
So my mind was turned to grief for all the trouble I had taken and all my wisdom under the sun.|Bởi cớ ấy ta trở lòng thất vọng về mọi công việc ta đã lao khổ mà làm ở dưới mặt trời.
Because there is a man whose work has been done with wisdom, with knowledge, and with an expert hand; but one who has done nothing for it will have it for his heritage. This again is to no purpose and a great evil.|Vì có người làm công việc mình cách khôn ngoan, thông sáng, và tài giỏi, rồi phải để lại làm cơ nghiệp cho kẻ chẳng hề lao khổ làm đến. Điều đó cũng là một sự hư không và một sự tai nạn lớn.
What does a man get for all his work, and for the weight of care with which he has done his work under the sun?|Vậy, ích chi cho người lao khổ, cực lòng mà làm việc ở dưới mặt trời?
All his days are sorrow, and his work is full of grief. Even in the night his heart has no rest. This again is to no purpose.|Vì các ngày người chỉ là đau đớn, công lao người thành ra buồn rầu; đến đỗi ban đêm lòng người cũng chẳng được an nghỉ. Điều đó cũng là sự hư không.
There is nothing better for a man than taking meat and drink, and having delight in his work. This again I saw was from the hand of God.|Chẳng gì tốt cho người hơn là ăn, uống, khiến linh hồn mình hưởng phước của lao khổ mình. Ta xem thấy điều đó cũng bởi tay Đức Chúa Trời mà đến.
Who may take food or have pleasure without him?|Vì ai là người được ăn và hưởng sự vui sướng hơn ta?
To the man with whom he is pleased, God gives wisdom and knowledge and joy; but to the sinner he gives the work of getting goods together and storing up wealth, to give to him in whom God has pleasure. This again is to no purpose and desire for wind.|Bởi Đức Chúa Trời ban sự khôn ngoan, thông sáng, và vui vẻ cho kẻ nào đẹp lòng Ngài; nhưng Ngài khiến cho kẻ có tội phải lao khổ mà thâu góp chất chứa, để rồi ban cho người đẹp lòng Đức Chúa Trời. Điều đó cũng là hư không, theo luồng gió thổi.

					Ecclesiastes 3				|
						Giảng Sư 3					
For everything there is a fixed time, and a time for every business under the sun.|Phàm sự gì có thì tiết; mọi việc dưới trời có kỳ định.
A time for birth and a time for death; a time for planting and a time for uprooting;|Có kỳ sanh ra, và có kỳ chết; có kỳ trồng, và có kỳ nhổ vật đã trồng;
A time to put to death and a time to make well; a time for pulling down and a time for building up;|Có kỳ giết, và có kỳ chữa lành; có kỳ phá dỡ, và có kỳ xây cất;
A time for weeping and a time for laughing; a time for sorrow and a time for dancing;|có kỳ khóc, và có kỳ cười; có kỳ than vãn, và có kỳ nhảy múa;
A time to take stones away and a time to get stones together; a time for kissing and a time to keep from kissing;|có kỳ ném đá, và có kỳ nhóm đá lại; có kỳ ôm ấp, và có kỳ chẳng ôm ấp;
A time for search and a time for loss; a time to keep and a time to give away;|có kỳ tìm, và có kỳ mất; có kỳ giữ lấy, và có kỳ ném bỏ;
A time for undoing and a time for stitching; a time for keeping quiet and a time for talk;|có kỳ xé rách, và có kỳ may; có kỳ nín lặng, có kỳ nói ra;
A time for love and a time for hate; a time for war and a time for peace.|có kỳ yêu, có kỳ ghét; có kỳ đánh giặc, và có kỳ hòa bình.
What profit has the worker in the work which he does?|Kẻ làm việc có được ích lợi gì về lao khổ mình chăng?
I saw the work which God has put on the sons of man.|Ta đã thấy công việc mà Đức Chúa Trời ban cho loài người là loài người dùng tập rèn lấy mình.
He has made everything right in its time; but he has made their hearts without knowledge, so that man is unable to see the works of God, from the first to the last.|Phàm vật Đức Chúa Trời đã làm nên đều là tốt lành trong thì nó. Lại, Ngài khiến cho sự đời đời ở nơi lòng loài người; dầu vậy, công việc Đức Chúa Trời làm từ ban đầu đến cuối cùng, người không thế hiểu được.
I am certain that there is nothing better for a man than to be glad, and to do good while life is in him.|Vậy, ta nhìn biết chẳng có điều gì tốt cho loài người hơn là vui vẻ, và làm lành trọn đời mình.
And for every man to take food and drink, and have joy in all his work, is a reward from God.|Lại, ai nấy phải ăn, uống, và hưởng lấy phước của công lao mình, ấy cũng là sự ban cho của Đức Chúa Trời.
I am certain that whatever God does will be for ever. No addition may be made to it, nothing may be taken from it; and God has done it so that man may be in fear before him.|Ta biết rằng mọi việc Đức Chúa Trời làm nên còn có đời đời: người ta chẳng thêm gì được, cũng không bớt chi đặng; Đức Chúa Trời làm như thế, để loài người kính sợ trước mặt Ngài.
Whatever is has been before, and what is to be is now; because God makes search for the things which are past.|Điều chi hiện có, đã có ngày xưa; điều chi sẽ xảy đến, đã xảy đến từ lâu rồi: Đức Chúa Trời lại tìm kiếm việc gì đã qua.
And again, I saw under the sun, in the place of the judges, that evil was there; and in the place of righteousness, that evil was there.|Ta lại còn thấy dưới mặt trời, trong nơi công đàng có sự gian ác, và tại chốn công bình có sự bất nghĩa.
I said in my heart, God will be judge of the good and of the bad; because a time for every purpose and for every work has been fixed by him.|Ta bèn nói trong lòng rằng: Đức Chúa Trời sẽ đoán xét kẻ công bình và người gian ác; vì ở đó có kỳ định cho mọi sự mọi việc.
I said in my heart, It is because of the sons of men, so that God may put them to the test and that they may see themselves as beasts.|Ta lại nói trong lòng rằng: Phải như vậy, bởi vì Đức Chúa Trời muốn thử thách con loài người, và chỉ cho chúng biết rằng họ không hơn gì loài thú.
Because the fate of the sons of men and the fate of the beasts is the same. As is the death of one so is the death of the other, and all have one spirit. Man is not higher than the beasts; because all is to no purpose.|Vì việc xảy đến cho con loài người làm sao, thì xảy đến cho loài thú cũng vậy; sự xảy đến cho hai loài giống hẳn với nhau. Sự chết của loài nầy cũng như sự chết của loài kia; hai loài đều thở một thứ hơi, loài người chẳng hơn gì loài thú; vì thảy đều hư không.
All go to one place, all are of the dust, and all will be turned to dust again.|Cả thảy đều qui vào một chỗ; cả thảy do bụi đất mà ra, cả thảy sẽ trở về bụi đất.
Who is certain that the spirit of the sons of men goes up to heaven, or that the spirit of the beasts goes down to the earth?|Ai biết hoặc thần của loài người thăng lên, hoặc hồn của loài thú sa xuống dưới đất?
So I saw that there is nothing better than for a man to have joy in his work--because that is his reward. Who will make him see what will come after him?|Thế thì, ta thấy chẳng chi tốt cho loài người hơn là vui vẻ trong công việc mình; ấy là kỷ phần mình; vì ai sẽ đem mình trở lại đặng xem thấy điều sẽ xảy ra sau mình?

					Ecclesiastes 4				|
						Giảng Sư 4					
And again I saw all the cruel things which are done under the sun; there was the weeping of those who have evil done to them, and they had no comforter: and from the hands of the evil-doers there went out power, but they had no comforter.|Ta xây lại, xem xét mọi sự hà hiếp làm ra ở dưới mặt trời; kìa, nước mắt của kẻ bị hà hiếp, song không ai an ủi họ! Kẻ hà hiếp có quyền phép, song không ai an ủi cho kẻ bị hà hiếp!
So my praise was for the dead who have gone to their death, more than for the living who still have life.|Vậy, ta khen những kẻ chết đã lâu rồi là sướng hơn kẻ còn sống;
Yes, happier than the dead or the living seemed he who has not ever been, who has not seen the evil which is done under the sun.|còn kẻ chưa được sanh ra, chưa thấy những gian ác làm ra dưới mặt trời, ta cho là có phước hơn hai đằng kia.
And I saw that the cause of all the work and of everything which is done well was man's envy of his neighbour. This again is to no purpose and a desire for wind.|Ta cũng thấy mọi công lao và mọi nghề khéo là điều gây cho người nầy kẻ khác ganh ghét nhau. Điều đó cũng là sự hư không, theo luồng gió thổi.
The foolish man, folding his hands, takes the flesh of his body for food.|Kẻ ngu muội khoanh tay, ăn lấy thịt mình.
One hand full of rest is better than two hands full of trouble and desire for wind.|Thà đầy một lòng bàn tay mà bình an, hơn là đầy cả hai mà bị lao khổ, theo luồng gió thổi.
Then I came back, and I saw an example of what is to no purpose under the sun.|Ta bèn xây lại xem thấy sự hư không ở dưới mặt trời:
It is one who is by himself, without a second, and without son or brother; but there is no end to all his work, and he has never enough of wealth. For whom, then, am I working and keeping myself from pleasure? This again is to no purpose, and a bitter work.|Nầy một người cô độc, chẳng có ai hoặc con trai hay là anh em; dầu vậy, lao khổ nó không thôi, mắt nó không hề chán của cải; nó không hề nghĩ rằng: Vậy ta lao khổ, ta bắt linh hồn nhịn các phước là vì ai? Điều đó cũng là hư không, thật là công việc cực nhọc.
Two are better than one, because they have a good reward for their work.|Hai người hơn một, vì hai sẽ được công giá tốt về công việc mình.
And if one has a fall, the other will give him a hand; but unhappy is the man who is by himself, because he has no helper.|Nếu người này sa ngã, thì người kia sẽ đỡ bạn mình lên; nhưng khốn thay cho kẻ ở một mình mà sa ngã, không có ai đỡ mình lên!
So again, if two are sleeping together they are warm, but how may one be warm by himself?|Cũng vậy, nếu hai người ngủ chung thì ấm; còn một mình thì làm sao ấm được?
And two attacked by one would be safe, and three cords twisted together are not quickly broken.|Lại nếu kẻ ở một mình bị người khác thắng, thì hai người có thế chống cự nó; một sợi dây đánh ba tao lấy làm khó đứt.
A young man who is poor and wise is better than a king who is old and foolish and will not be guided by the wisdom of others.|Một kẻ trẻ tuổi nghèo mà khôn hơn một ông vua già cả mà dại, chẳng còn biết nghe lời khuyên can.
Because out of a prison the young man comes to be king, though by birth he was only a poor man in the kingdom.|Vì kẻ trẻ ra khỏi ngục khám đặng làm vua, dầu sanh ra nghèo trong nước mình.
I saw all the living under the sun round the young man who was to be ruler in place of the king.|Ta thấy mọi người sống đi đi lại lại dưới mặt trời, đều theo kẻ trẻ ấy, là người kế vị cho vua kia.
There was no end of all the people, of all those whose head he was, but they who come later will have no delight in him. This again is to no purpose and desire for wind.|Dân phục dưới quyền người thật đông vô số; dầu vậy, những kẻ đến sau sẽ chẳng vui thích về người. Điều đó cũng là sự hư không, theo luồng gió thổi.

					Ecclesiastes 5				|
						Giảng Sư 5					
Put your feet down with care when you go to the house of God, for it is better to give ear than to make the burned offerings of the foolish, whose knowledge is only of doing evil.|Khi người vào nhà Đức Chúa Trời, hãy giữ chừng chơn mình. Thà lại gần mà nghe, hơn là dâng của tế lễ kẻ ngu muội; vì nó không hiểu biết mình làm ác.
Be not unwise with your mouth, and let not your heart be quick to say anything before God, because God is in heaven and you are on the earth--so let not the number of your words be great.|Chớ vội mở miệng ra, và lòng ngươi chớ lật đật nói lời trước mặt Đức Chúa Trời; vì Đức Chúa Trời ở trên trời, còn ngươi ở dưới đất. Vậy nên ngươi khá ít lời.
As a dream comes from much business, so the voice of a foolish man comes with words in great number.|Hễ nhiều sự lo lắng ắt sanh ra chiêm bao; còn nhiều lời thì sanh ra sự ngu dại.
When you take an oath before God, put it quickly into effect, because he has no pleasure in the foolish; keep the oath you have taken.|Khi ngươi khấn hứa sự gì với Đức Chúa Trời, chớ chậm mà hoàn nguyện; vì Ngài chẳng vui thích kẻ dại: vậy, khá trả điều gì ngươi hứa.
It is better not to take an oath than to take an oath and not keep it.|Thà đừng khấn hứa, hơn là khấn hứa mà lại không trả.
Let not your mouth make your flesh do evil. And say not before the angel, It was an error. So that God may not be angry with your words and put an end to the work of your hands.|Đừng cho miệng ngươi làm cho xác thịt mình phạm tội, và chớ nói trước mặt sứ giả của Đức Chúa Trời rằng ấy là lầm lỗi. Sao làm cho Đức Chúa Trời nổi giận vì lời nói ngươi, và Ngài làm hư công việc của tay ngươi?
Because much talk comes from dreams and things of no purpose. But let the fear of God be in you.|Đâu có chiêm bao vô số và nhiều lời quá, đó cũng có sự hư không nhiều; song ngươi hãy kính sợ Đức Chúa Trời.
If you see the poor under a cruel yoke, and law and right being violently overturned in a country, be not surprised, because one authority is keeping watch on another and there are higher than they.|Khi ngươi thấy trong xứ có kẻ nghèo bị hà hiếp, hoặc thấy sự phạm đến lẽ chánh trực, sự trái phép công bình, thì chớ lấy làm lạ; vì có kẻ cao hơn kẻ cao vẫn coi chừng, lại còn có Đấng cao hơn nữa.
It is good generally for a country where the land is worked to have a king.|Song một vua hay cày cấy ruộng, ấy vẫn ích lợi cho xứ mọi bề.
He who has a love for silver never has enough silver, or he who has love for wealth, enough profit. This again is to no purpose.|Kẻ tham tiền bạc chẳng hề chán lắc tiền bạc; kẻ ham của cải chẳng hề chán về hoa lợi. Điều đó cũng là sự hư không.
When goods are increased, the number of those who take of them is increased; and what profit has the owner but to see them?|Hễ của cải thêm nhiều chừng nào, kẻ ăn cũng thêm nhiều chừng nấy. Chủ của cải được ích gì hơn là xem thấy nó trước mặt chăng?
The sleep of a working man is sweet, if he has little food or much; but to him who is full, sleep will not come.|Giấc ngủ của người làm việc là ngon, mặc dầu người ăn ít hay nhiều; nhưng sự chán lắc làm cho người giàu không ngủ được.
There is a great evil which I have seen under the sun--wealth kept by the owner to be his downfall.|Có một tai nạn dữ mà ta đã thấy dưới mặt trời: ấy là của cải mà người chủ dành chứa lại, trở làm hại cho mình,
And I saw the destruction of his wealth by an evil chance; and when he became the father of a son he had nothing in his hand.|hoặc vì cớ tai họa gì, cả của cải nầy phải mất hết; nếu người chủ sanh một con trai, thì để lại cho nó hai tay không.
As he came from his mother at birth, so does he go again; he gets from his work no reward which he may take away in his hand.|Mình lọt ra khỏi lòng mẹ trần truồng thể nào, ắt sẽ trở về thể ấy, và về các huê lợi của sự lao khổ mình, chẳng có vậy gì tay mình đem theo được.
And this again is a great evil, that in all points as he came so will he go; and what profit has he in working for the wind?|Điều nầy cũng là một tai nạn lớn: người ra đời thể nào, ắt phải trở về thể ấy. Vậy, chịu lao khổ đặng theo luồng gió thổi, có ích lợi gì chăng?
All his days are in the dark, and he has much sorrow, pain, disease, and trouble.|Lại trọn đời mình ăn trong sự tối tăm, phải nhiều sự buồn rầu đau đớn và phiền não.
This is what I have seen: it is good and fair for a man to take meat and drink and to have joy in all his work under the sun, all the days of his life which God has given him; that is his reward.|Kìa, ta đã nhìn thấy rằng ăn, uống, và hưởng phải của sự lao khổ mình làm ở dưới mặt trời trọn trong những ngày mà Đức Chúa Trời ban cho, ấy thật là tốt và hay; vì đó là kỷ phần mình.
Every man to whom God has given money and wealth and the power to have pleasure in it and to do his part and have joy in his work: this is given by God.|Hễ Đức Chúa Trời ban cho người nào giàu có, của cải, làm cho người có thế ăn lấy, nhận lãnh kỷ phần, và vui vẻ trong công lao của mình, ấy là một sự ban cho của Đức Chúa Trời;
He will not give much thought to the days of his life; because God lets him be taken up with the joy of his heart.|nhân người sẽ ít nhớ những ngày của đời mình; vì Đức Chúa Trời ứng đáp người bằng sự vui mừng trong lòng người.

					Ecclesiastes 6				|
						Giảng Sư 6					
There is an evil which I have seen under the sun, and it is hard on men;|Có một tai nạn khác mà ta đã thấy dưới mặt trời, thường làm nặng nề cho loài người.
A man to whom God gives money, wealth, and honour so that he has all his desires but God does not give him the power to have joy of it, and a strange man takes it. This is to no purpose and an evil disease.|Kìa có một người mà Đức Chúa Trời đã ban cho sự giàu có, của cải, va sang trọng, đến đỗi mọi sự lòng người ước ao, chẳng thiếu gì hết; nhưng Đức Chúa Trời không cho người có thể ăn lấy, bèn là một người khác được ăn. Ay là một sự hư không, một tai nạn cực khổ.
If a man has a hundred children, and his life is long so that the days of his years are great in number, but his soul takes no pleasure in good, and he is not honoured at his death; I say that a birth before its time is better than he.|Nếu một người sanh trăm con trai, và sống nhiều năm cho đến cao niên trường thọ, mà lòng chẳng được hưởng phước, và chết chẳng được chôn; ta nói đứa con sảo còn hơn người ấy;
In wind it came and to the dark it will go, and with the dark will its name be covered.|vì đứa con sảo ra hư không, lại trở về sự tối tăm, và tên nó bị sự u ám vùi lấp.
Yes, it saw not the sun, and it had no knowledge; it is better with this than with the other.|Nó không thấy mặt trời, cũng không biết đến; nó có được phần an nghỉ hơn người kia.
And though he goes on living a thousand years twice over and does not see good, are not the two going to the same place?|Người dầu sống đến hai ngàn năm, mà không hưởng được chút phước nào, cuối cùng cả thảy há chẳng về chung một chỗ sao?
All the work of man is for his mouth, and still he has a desire for food.|Mọi sự lao khổ của loài người là vì miệng mình, song không hề được thỏa nguyện.
What have the wise more than the foolish? and what has the poor man by walking wisely before the living?|Người khôn ngoan hơn chi kẻ ngu muội? Người nghèo biết đạo ăn ở trước mặt người ta, nào có ích chi?
What the eyes see is better than the wandering of desire. This is to no purpose and a desire for wind.|Sự gì thấy bằng mắt hơn là sự tham muốn buông tuồng; điều đó lại là một sự hư không, theo luồng gió thổi.
That which is, has been named before, and of what man is there is knowledge. He has no power against one stronger than he.|Phàm điều gì có trước thì đã được đặt tên từ lâu rồi; loài người sẽ ra thể nào, thì đã biết từ trước rồi; người không thể cãi trả với Đấng mạnh hơn mình.
There are words without number for increasing what is to no purpose, but what is man profited by them?|Có nhiều điều gia thêm sự hư không; vậy, người ta được ích chi hơn;
Who is able to say what is good for man in life all the days of his foolish life which he goes through like a shade? who will say what is to be after him under the sun?|vả, trong những ngày của đời hư không mà loài người trải qua như bóng, ai biết điều gì là ích cho mình? Vì ai có thể nói trước cho người nào về điều sẽ xảy ra sau mình dưới mặt trời?

					Ecclesiastes 7				|
						Giảng Sư 7					
A good name is better than oil of great price, and the day of death than the day of birth.|Danh tiếng hơn dầu quí giá; ngày chết hơn ngày sanh.
It is better to go to the house of weeping, than to go to the house of feasting; because that is the end of every man, and the living will take it to their hearts.|Đi đến nhà tang chế hơn là đến nhà yến tiệc; vì tại đó thấy sự cuối cùng của mọi người; và người sống để vào lòng.
Sorrow is better than joy; when the face is sad the mind gets better.|Buồn rầu hơn vui vẻ; vì nhờ mặt buồn, lòng được vui.
The hearts of the wise are in the house of weeping; but the hearts of the foolish are in the house of joy.|Lòng người khôn ngoan ở trong nhà tang chế, còn lòng kẻ ngu muội ở tại nhà vui sướng.
It is better to take note of the protest of the wise, than for a man to give ear to the song of the foolish.|Thà nghe lời quở trách của người khôn ngoan, còn hơn là câu hát của kẻ ngu muội.
Like the cracking of thorns under a pot, so is the laugh of a foolish man; and this again is to no purpose.|Vì tiếng cười của kẻ ngu muội giống như tiếng gai nhọn nổ dưới nồi. Điều đó cũng là sự hư không.
The wise are troubled by the ways of the cruel, and the giving of money is the destruction of the heart.|Phải, sự sách thủ tiền tài làm cho kẻ khôn ra ngu, và của hối lộ khiến cho hư hại lòng.
The end of a thing is better than its start, and a gentle spirit is better than pride.|Cuối cùng của một việc hơn sự khởi đầu nó; lòng kiên nhẫn hơn lòng kiêu ngạo.
Be not quick to let your spirit be angry; because wrath is in the heart of the foolish.|Chớ vội giận; vì sự giận ở trong lòng kẻ ngu muội.
Say not, Why were the days which have gone by better than these? Such a question comes not from wisdom.|Chớ nói rằng: Nhơn sao ngày trước tốt hơn ngày bây giờ? Vì hỏi vậy là chẳng khôn.
Wisdom together with a heritage is good, and a profit to those who see the sun.|Sự khôn ngoan cũng tốt bằng cơ nghiệp; nó có ích cho những người thấy mặt trời.
Wisdom keeps a man from danger even as money does; but the value of knowledge is that wisdom gives life to its owner.|Vì sự khôn ngoan che thân cũng như tiền bạc che thân vậy; nhưng sự khôn ngoan thắng hơn, vì nó giữ mạng sống cho người nào đã được nó.
Give thought to the work of God. Who will make straight what he has made bent?|Hãy xem xét công việc của Đức Chúa Trời; vì vật gì Ngài đã đánh cong, ai có thể làm ngay lại được?
In the day of wealth have joy, but in the day of evil take thought: God has put the one against the other, so that man may not be certain what will be after him.|Trong ngày thới thạnh hãy vui mừng, trong ngày tai nạn hay coi chừng; vì Đức Chúa Trời đặt ngày nầy đối với ngày kia, hầu cho người đời chẳng thấy trước đặng điều xảy ra sau mình.
These two have I seen in my life which is to no purpose: a good man coming to his end in his righteousness, and an evil man whose days are long in his evil-doing.|Trong những người hư không của ta, ta đã thấy cả điều nầy: Người công bình tuy công bình cũng phải hư mất; và kẻ hung ác tuy hung ác lại được trường thọ.
Be not given overmuch to righteousness and be not over-wise. Why let destruction come on you?|Chớ công bình quá, cũng đừng làm ra mình khôn ngoan quá; cớ sao làm thiệt hại cho mình?
Be not evil overmuch, and be not foolish. Why come to your end before your time?|Cũng chớ nên hung hăng quá, và đừng ăn ở như kẻ ngu muội; cớ sao ngươi chết trước kỳ định?
It is good to take this in your hand and not to keep your hand from that; he who has the fear of God will be free of the two.|Ngươi giữ được điều nầy, ấy là tốt; mà lại cũng đừng nới tay khỏi điều kia; vì ai kính sợ Đức Chúa Trời ắt tránh khỏi mọi điều đó.
Wisdom makes a wise man stronger than ten rulers in a town.|Sự khôn ngoan khiến cho người khôn có sức mạnh hơn là mười kẻ cai trị ở trong thành.
