
					Esther 1				|
Now when they had said this to him day after day and he gave no attention, they let Haman have news of it, to see if Mordecai's behaviour would be overlooked: for he had said to them that he was a Jew.|Xảy vì chúng nói với người ngày nầy qua ngày kia, mà người chẳng khứng nghe đến, thì chúng cáo cho Ha-man hay, đặng thử xem sự tình của Mạc-đô-chê có thắng chăng, vì người tỏ cho chúng rằng mình là người Giu-đa.
And when Haman saw that Mordecai did not go down before him and give him honour, Haman was full of wrath.|Khi Ha-man thấy Mạc-đô-chê không cúi xuống và không lạy mình bèn nổi giận dữ.
But it was not enough for him to make an attack on Mordecai only; for they had made clear to him who Mordecai's people were; so Haman made it his purpose to put an end to all the Jews, even Mordecai's people, through all the kingdom of Ahasuerus.|Người ta đã học cho Ha-man biết Mạc-đô-chê là người Giu-đa, nên người cho sự tra tay trên một mình Mạc-đô-chê là một sự nhỏ mọn, người bèn tìm mưu giết hết thảy dân Giu-đa, là tông tộc của Mạc-đô-chê, ở trong toàn nước A-suê-ru.
In the first month, the month Nisan, in the twelfth year of King Ahasuerus, from day to day and from month to month they went on looking for a sign given by Pur (that is chance) before Haman, till the sign came out for the thirteenth day of the twelfth month, the month Adar.|Tháng Giêng là tháng Ni-san, năm thứ mười hai đời vua A-suê-ru, người ta bỏ Phu-rơ, tức là bỏ thăm, mỗi ngày mỗi tháng, tại trước mặt Ha-man, cho đến tháng mười hai, là tháng A-đa.
And Haman said to King Ahasuerus, There is a certain nation living here and there in small groups among the people in all the divisions of your kingdom; their laws are different from those of any other nation, and they do not keep the king's laws: for this reason it is not right for the king to let them be.|Ha-man tâu với vua A-suê-ru rằng: Có một dân tộc tản mản, tải rác ra giữa các dân tộc trong những tỉnh của nước vua: luật pháp của chúng nó khác hơn luật pháp của các dân khác; lại chúng nó cũng không tuân theo luật pháp của vua; dung chúng nó chẳng tiện cho vua.
If it is the king's pleasure, let a statement ordering their destruction be put in writing: and I will give to those responsible for the king's business, ten thousand talents of silver for the king's store-house.|Nếu điều đó vừa ý vua, khá giáng chiếu chỉ truyền tuyệt diệt chúng nó đi; rồi tôi sẽ cân mười ta lâng bạc phó vào tay những quan đốc tư để đem vào kho vua.
And the king took his ring from his hand and gave it to Haman, the son of Hammedatha the Agagite, the hater of the Jews.|Vua bèn cỗi chiếc nhẫn khỏi tay mình, trao cho Ha-man, con trai Ham-mê-đa-tha, người A-gát, kẻ cừu địch dân Giu-đa.
And the king said to Haman, The money is yours, and the people, to do with them whatever seems right to you.|Vua nói với Ha-man rằng: Bạc đã ban cho ngươi, dân sự cũng phó cho ngươi, để làm điều chi mặc ý ngươi.
Then on the thirteenth day of the first month, the king's scribes were sent for, and they put in writing Haman's orders to all the king's captains and the rulers of every division of his kingdom and the chiefs of every people: for every division of the kingdom in the writing commonly used there, and to every people in the language which was theirs; it was signed in the name of King Ahasuerus and stamped with the king's ring.|Tháng giêng, ngày mười ba, thì đòi những thầy thơ ký của vua đến; rồi tùy theo mọi điều Ha-man truyền dặn, người ta nhơn danh A-suê-ru viết chiếu cho các quan trấn thủ của vua, cho các quan cai quản mỗi tỉnh, và cho các trưởng tộc của mỗi dân tộc, tỉnh nào dùng chữ nấy, dân tộc nào theo thổ âm nấy; đoạn họ lấy chiếc nhẫn của vua mà đóng ấn.
And letters were sent by the runners into every division of the kingdom ordering the death and destruction of all Jews, young and old, little children and women, on the same day, even the thirteenth day of the twelfth month, the month Adar, and the taking of all their goods by force.|Rồi cho gởi các thơ bởi lính trạm cho các tỉnh của vua, đặng dạy biểu rằng nhằm ngày mười ba tháng mười hai, tức là tháng A-đa, phải trừ diệt, giết chết và làm cho hư mất hết thảy dân Giu-đa trong một ngày đó, vô luận người già kẻ trẻ, con nhỏ hay là đờn bà, và cướp giựt tài sản của chúng nó.
A copy of the writing, to be made public in every part of the kingdom, was sent out to all the peoples, so that they might be ready when that day came.|Để cho chiếu chỉ được tuyên bố trong mỗi tỉnh, có bổn sao lục đem rao cho các dân tộc biết, hầu cho chúng đều sẵn sàng về ngày đó.
The runners went out quickly by the king's order, and a public statement was made in Shushan: and the king and Haman took wine together: but the town of Shushan was troubled.|Các lính trạm vâng lịnh vua vội vã đi ra. Chiếu chỉ nầy cũng truyền tại kinh đô Su-sơ. Đoạn, vua và Ha-man ngồi lại uống rượu, còn thành Su-sơ đều hoảng kinh.

					Esther 4				|
						Ê-xơ-tê 4					
Now when Mordecai saw what was done, pulling off his robe, he put on haircloth, with dust on his head, and went out into the middle of the town, crying out with a loud and bitter cry.|Vả, khi Mạc-đô-chê biết hết mọi điều ấy, bèn xé áo mình, mặc một cái bao và phủ tro, rồi đi ra giữa thành, lấy tiếng lớn kêu khóc cách cay đắng.
And he came even before the king's doorway; for no one might come inside the king's door clothed in haircloth.|Người cũng đi đến tận trước cửa vua; vì ai mặc cái bao, bị cấm không cho vào cửa của vua.
And in every part of the kingdom, wherever the king's word and his order came, there was great sorrow among the Jews, and weeping and crying and going without food; and numbers of them were stretched on the earth covered with dust and haircloth.|Phàm trong mỗi tỉnh, nơi nào mạng lịnh vua và chiếu chỉ người đã đến, thì trong dân Giu-đa bèn có sự sầu thảm, kiêng cữ ăn, khóc lóc và kêu van; lại có nhiều người lấy bao và tro làm giường mình.
And Esther's women and her servants came and gave her word of it. Then great was the grief of the queen: and she sent robes for Mordecai, so that his clothing of haircloth might be taken off; but he would not have them.|Các nàng hầu và Ê-xơ-tê và những hoạn quan bà đều đến thuật lại sự ấy cho bà; hoàng hậu bèn buồn rầu lắm, gởi quần áo cho Mạc-đô-chê mặc, để lột bao gai khỏi mình người; nhưng người không khứng nhận.
Then Esther sent for Hathach, one of the king's unsexed servants whom he had given her for waiting on her, and she gave him orders to go to Mordecai and see what this was and why it was.|Bấy giờ bà Ê-xơ-tê gọi Ha-thác, một hoạn quan của vua, mà vua đã đặt hầu chực bà, rồi biểu người đi đến Mạc-đô-chê hỏi cho biết có việc gì, và nhân sao có vậy.
So Hathach went out and saw Mordecai in the open square of the town before the king's doorway.|Ha-thác bèn đi ra đến Mạc-đô-chê tại nơi phố thành ở trước cửa vua.
And Mordecai gave him an account of what had taken place, and of the amount of money which Haman had said he would put into the king's store for the destruction of the Jews.|Mạc-đô-chê thuật lại mọi điều đã xảy đến mình, và số bạc Ha-man đã hứa đóng vào kho vua đặng có phép tuyệt diệt dân Giu-đa.
And he gave him the copy of the order which had been given out in Shushan for their destruction, ordering him to let Esther see it, and to make it clear to her; and to say to her that she was to go in to the king, requesting his mercy, and making prayer for her people.|Người cũng đưa cho hoạn quan một bổn sao lục chiếu chỉ đã truyền ra tại Su-sơ đặng tuyệt diệt dân Giu-đa, để hoạn quan chỉ cho bà Ê-xơ-tê xem và biết, cùng biểu người khuyên bà vào cùng vua, trước mặt vua nài xin ơn vua và cầu khẩn giùm cho dân tộc mình.
And Hathach came back and gave Esther an account of what Mordecai had said.|Ha-thác bèn trở về thuật lại cho bà Ê-xơ-tê mọi lời của Mạc-đô-chê.
Then Esther sent Hathach to say to Mordecai:|Bấy giờ bà Ê-xơ-tê nói với Ha-thác, và sai người nói lại với Mạc-đô-chê rằng:
It is common knowledge among all the king's servants and the people of every part of the kingdom, that if anyone, man or woman, comes to the king in his inner room without being sent for, there is only one law for him, that he is to be put to death; only those to whom the king's rod of gold is stretched out may keep their lives: but I have not been sent for to come before the king these thirty days.|Các thần bộc và dân chúng các tỉnh của vua đều biết rằng hễ ai, bất luận nam hay nữ, vào cùng vua tại nội viện, mà không được lịnh vời, thì ai đó theo luật đã định tất phải bị xử tử đi, miễn là được vua giơ cây phủ việt vàng ra, thì mới sống; nhưng đã ba mươi ngày rày tôi không được vời vào cung vua.
And they said these words to Mordecai.|Người ta thuật lại cho Mạc-đô-chê các lời của bà Ê-xơ-tê.
Then Mordecai sent this answer back to Esther: Do not have the idea that you in the king's house will be safe from the fate of all the Jews.|Mạc-đô-che biểu đáp lại cùng bà Ê-xơ-tê rằng: Chớ thầm tưởng rằng ở trong cung vua, người sẽ được thoát khỏi phải hơn mọi người Giu-đa khác;
If at this time you say nothing, then help and salvation will come to the Jews from some other place, but you and your father's family will come to destruction: and who is to say that you have not come to the kingdom even for such a time as this?|vì nếu ngươi làm thinh trong lúc nầy, dân Giu-đa hẳn sẽ được tiếp trợ và giải cứu bởi cách khác, còn ngươi và nhà cha ngươi đều sẽ bị hư mất; song nào ai biết rằng chẳng phải vì cớ cơ hội hiện lúc nầy mà ngươi được vị hoàng hậu sao?
Then Esther sent them back to Mordecai with this answer:|Bà Ê-xơ-tê bèn biểu đáp lại cùng Mạc-đô-chê rằng:
Go, get together all the Jews who are present in Shushan, and go without food for me, taking no food or drink night or day for three days: and I and my women will do the same; and so I will go in to the king, which is against the law: and if death is to be my fate, then let it come.|Hãy đi nhóm hiệp các người Giu-đa ở tại Su-sơ, rồi hãy vì tôi mà kiêng cữ ăn trong ba ngày và đêm, chớ ăn hay uống gì hết; tôi và các nàng hầu của tôi cũng sẽ kiêng cữ ăn nữa; như vậy, tôi sẽ vào cùng vua, là việc trái luật pháp; nếu tôi phải chết thì tôi chết.
So Mordecai went away and did everything as Esther had said.|Mạc-đô-chê bèn đi, và làm theo mọi điều bà Ê-xơ-tê đã dặn biểu mình.

					Esther 5				|
						Ê-xơ-tê 5					
Now on the third day, Esther put on her queen's robes, and took her place in the inner room of the king's house, facing the king's house: and the king was seated on his high seat in the king's house, facing the doorway of the house.|Ngày thứ ba, bà Ê-xơ-tê mặc đồ triều-phục, và ra chầu đứng tại nội viện, đối trước cung điện vua. Vua đương ngự trên ngôi tại trong cung điện trước cửa đền.
And when the king saw Esther the queen waiting in the inner room, looking kindly on her he put out the rod of gold in his hand to her. So Esther came near and put her fingers on the top of the rod.|Vừa khi vua thấy hoàng hậu Ê-xơ-tê đứng chầu nơi nội viện, thì bà được ơn trước mặt vua; vua giơ ra cho bà Ê-xơ-tê cây phủ việt vàng ở nơi tay mình. Bà Ê-xơ-tê lại gần và rờ cây phủ việt.
Then the king said, What is your desire, Queen Esther, and what is your request? I will give it to you, even to the half of my kingdom.|Vua nói với bà rằng: Hỡi hoàng hậu Ê-xơ-tê, ngươi muốn chi? Cầu xin điều gì? Dầu xin đến phân nửa nước, cũng sẽ ban cho ngươi.
And Esther in answer said, If it seems good to the king, let the king and Haman come today to the feast which I have made ready for him.|Ê-xơ-tê nói: Nếu nhiệm ý vua, xin vua và Ha-man ngày nay hãy đến dự tiệc yến mà tôi đã dọn cho vua.
Then the king said, Let Haman come quickly, so that what Esther has said may be done. So the king and Haman came to the feast which Esther had made ready.|Vua bèn bảo rằng: Hãy kíp vời Ha-man đến, đặng làm y như hoàng hậu đã nói. Đoạn, vua và Ha-man đi đến dự tiệc yến của bà Ê-xơ-tê đã dọn.
And while they were drinking wine the king said to Esther, What is your prayer? for it will be given to you and what is your request? for it will be done, even to the half of my kingdom.|Trong lúc dự tiệc rượu, vua hỏi bà Ê-xơ-tê rằng: Nàng xin điều gì? tất ta sẽ nhậm cho. Nàng cầu khẩn việc gì? Dầu đến phân nửa nước, cũng sẽ ban cho.
Then Esther said in answer, My prayer and my request is this:|Bà Ê-xơ-tê đáp rằng: Nầy điều tôi cầu xin và sự tôi ước ao:
If I have the king's approval, and if it is the king's pleasure to give me my prayer and do my request, let the king and Haman come to the feast which I will make ready for them, and tomorrow I will do as the king has said.|Nếu tôi được ơn trước mặt vua, nếu vua lấy làm thiện mà nhậm lời tôi cầu xin và làm điều tôi ao ước, xin vua và Ha-man hãy đến dự tiệc yến mà tôi sẽ dọn, rồi ngày mai tôi sẽ làm theo lời vua dạy biểu.
Then on that day Haman went out full of joy and glad in heart; but when he saw Mordecai in the king's doorway, and he did not get to his feet or give any sign of fear before him, Haman was full of wrath against Mordecai.|Trong ngày đó, Ha-man đi ra vui vẻ và lòng hớn hở. Nhưng khi Ha-man thấy Mạc-đô-chê ở nơi cửa vua không đứng dậy, cũng không chuyển động vì mình, bèn đầy dẫy lòng giận dữ Mạc-đô-chê.
But controlling himself, he went to his house; and he sent for his friends and Zeresh, his wife.|Dẫu vậy, Ha-man nín giận lại, trở về nhà mình, sai người gọi đến các bạn hữu và Xê-rết là vợ mình.
And he gave them an account of the glories of his wealth, and the number of children he had, and the ways in which he had been honoured by the king, and how he had put him over the captains and servants of the king.|Ha-man thuật lại cho chúng sự giàu có sang trọng mình. số đông con cái mình, và mọi sự vua làm cho mình được sang cả, thể nào vua cất mình cao hơn các quan trưởng và thần bộc của vua.
And Haman said further, Truly, Esther the queen let no man but myself come in to the feast which she had made ready for the king; and tomorrow again I am to be her guest with the king.|Ha-man cũng nói: Trừ ra một mình ta, hoàng hậu Ê-xơ-tê chẳng vời ai cùng vua đến dự tiệc yến của bà đã dọn; và ngày mai ta lại được mời dự nơi nhà người với vua.
