
					Job 1				|
Have you yourself not put a wall round him and his house and all he has on every side, blessing the work of his hands, and increasing his cattle in the land?|Chúa há chẳng dựng hàng rào binh vực ở bốn phía người, nhà người, và mọi vật thuộc về người sao? Chúa đã ban phước cho công việc của tay người và làm cho của cải người thêm nhiều trên đất.
But now, put out your hand against all he has, and he will be cursing you to your face.|Nhưng bây giờ hãy giơ tay Chúa ra Chúa ra, đụng đến hại các vật người có, ắt là người sẽ phỉ báng Chúa trước mặt.
And the Lord said to the Satan, See, I give all he has into your hands, only do not put a finger on the man himself. And the Satan went out from before the Lord.|Đức Giê-hô-va phán với Sa-tan rằng: Nầy, các vật người có đều phó trong tay người; nhưng chớ tra tay vào mình nó. Sa-tan bèn lui ra khỏi mặt Đức Giê-hô-va.
And there was a day when his sons and daughters were feasting in the house of their oldest brother,|Xảy một ngày kia, khi các con trai và con gái người đương ăn và uống rượu trong nhà anh cả chúng nó,
And a man came to Job, and said, The oxen were ploughing, and the asses were taking their food by their side:|một sứ giả đến báo tin cho Gióp rằng: Bò đương cày, lừa đương ăn bên cạnh,
And the men of Sheba came against them and took them away, putting the young men to the sword, and I was the only one who got away safe to give you the news.|thì dân Sê-ba xông vào chúng nó, đoạt cướp đi, và lấy lưỡi gươm giết các tôi tớ; chỉ một mình tôi thoát khỏi đặng báo tin cho ông.
And this one was still talking when another came, and said, The fire of God came down from heaven, burning up the sheep and the goats and the young men completely, and I was the only one who got away safe to give you the news.|Người nầy còn đương nói, thì một người khác đến, báo rằng: Lửa của Đức Chúa Trời từ trên trời giáng xuống thiêu đốt các con chiên và tôi tớ, làm tiêu hủy chúng nó đi; chỉ một mình tôi thoát khỏi đặng báo tin cho ông.
And this one was still talking when another came, and said, The Chaldaeans made themselves into three bands, and came down on the camels and took them away, putting the young men to the sword, and I was the only one who got away safe to give you the news.|Người nầy còn đương nói, thì một kẻ khác chạy đến, báo rằng: Dân Canh-đê phân làm ba đạo, xông vào lạc đà, cướp đoạt đi, và lấy lưỡi gươm giết các tôi tớ; chỉ một mình tôi thoát khỏi đặng báo tin cho ông.
And this one was still talking when another came, and said, Your sons and your daughters were feasting together in their oldest brother's house,|Người nầy còn đương nói, thì một kẻ khác chạy đến, báo rằng: Các con trai và con gái ông đương ăn uống tại nơi nhà anh cả của họ,
When a great wind came rushing from the waste land against the four sides of the house, and it came down on the young men, and they are dead; and I was the only one who got away safe to give you the news.|kìa một ngọn gió lớn từ phía bên kia sa mạc thổi đến, làm cho bốn góc nhà rung rinh, nhà sập xuống đè chết các người trẻ tuổi; chỉ một mình tôi thoát khỏi đặng báo tin cho ông.
Then Job got up, and after parting his clothing and cutting off his hair, he went down on his face to the earth, and gave worship, and said,|Gióp bèn chổi dậy, xé áo mình, và cạo đầu, đoạn xấp mình xuống đất mà thờ lạy,
With nothing I came out of my mother's body, and with nothing I will go back there; the Lord gave and the Lord has taken away; let the Lord's name be praised.|và nói rằng: Tôi trần truồng lọt khỏi lòng mẹ, và tôi cũng sẽ trần truồng mà về; Đức Giê-hô-va đã ban cho, Đức Giê-hô-va lại cất đi; đáng ngợi khen danh Đức Giê-hô-va!
In all this Job did no sin, and did not say that God's acts were foolish.|Trong mọi sự ấy, Gióp không phạm tội, và chẳng nói phạm thượng cùng Đức Chúa Trời.

					Job 2				|
						Gióp 2					
And there was a day when the sons of the gods came together before the Lord, and the Satan came with them.|Xảy ra một ngày kia, các con trai của Đức Chúa Trời đến ra mắt Đức Giê-hô-va, Sa-tan cũng có đến trong vòng chúng đặng ra mắt Đức Giê-hô-va.
And the Lord said to the Satan, Where do you come from? And the Satan said in answer, From wandering this way and that on the earth, and walking about on it.|Đức Giê-hô-va bèn phán hỏi Sa-tan rằng: Ngươi ở đâu đến? Sa-tan thưa cùng Đức Giê-hô-va rằng: Tôi trải qua đây đó trên đất và dạo chơi tại nơi nó.
And the Lord said to the Satan, Have you taken note of my servant Job, for there is no one like him on the earth, a man without sin and upright, fearing God and keeping himself far from evil? and he still keeps his righteousness, though you have been moving me to send destruction on him without cause.|Đức Giê-hô-va lại phán hỏi Sa-tan rằng: Ngươi có nhìn thấy Gióp, tôi tớ ta chăng? Trên đất chẳng có ai giống như người, vốn trọn vẹn và ngay thẳng, kính sợ Đức Chúa Trời, và lánh khỏi đều ác; lại người bền đỗ trong sự hoàn toàn mình, mặc dầu ngươi có giục ta phá hủy người vô cớ.
And the Satan said in answer to the Lord, Skin for skin, all a man has he will give for his life.|Sa-tan thưa lại với Đức Giê-hô-va rằng: Lấy da đền da, phàm vật chi một người có, tất sẽ trao thế cho mạng sống mình.
But now, if you only put your hand on his bone and his flesh, he will certainly be cursing you to your face.|Nhưng bây giờ xin Chúa hãy giơ tay ra, đụng đến hại xương thịt người, ắt là người sẽ phỉ báng Chúa trước mặt.
And the Lord said to the Satan, See, he is in your hands, only do not take his life.|Đức Giê-hô-va phán với Sa-tan rằng: Kìa, người ở trong tay ngươi; nhưng chỉ hãy giữ mạng sống người.
And the Satan went out from before the Lord, and sent on Job an evil disease covering his skin from his feet to the top of his head.|Sa-tan bèn lui ra trước mặt Đức Giê-hô-va, hành hại Gióp một bịnh ung độc, từ bàn chơn cho đến chót đầu.
And he took a broken bit of a pot, and, seated in the dust, was rubbing himself with the sharp edge of it.|Gióp lấy một miếng sành đặng gãi mình, và ngồi trong đống tro.
And his wife said to him, Are you still keeping your righteousness? Say a curse against God, and put an end to yourself.|Vợ Gióp nói với người rằng: Ua? Ong hãy còn bền đỗ trong sự hoàn toàn mình sao? Hãy phỉ báng Đức Chúa Trời, và chết đi!
And he said to her, You are talking like one of the foolish women. If we take the good God sends us, are we not to take the evil when it comes? In all this Job kept his lips from sin.|Người đáp lại rằng: Ngươi nói như một người đờn bà ngu muội. Ua sao! Sự phước mà tay Đức Chúa Trời ban cho chúng ta, chúng ta lãnh lấy, còn sự tai họa mà tay Ngài giáng trên chúng ta, lại chẳng lãnh lấy sao? Trong mọi việc đó, Gióp không phạm tội bởi môi miệng mình.
And Job's three friends had word of all this evil which had come on him. And they came every one from his place, Eliphaz the Temanite, and Bildad the Shuhite, and Zophar the Naamathite. So they came together to a meeting-place, in order that they might go and make clear to Job their grief for him, and give him comfort.|Vả, khi ba bạn hữu của Gióp, là Ê-li-pha người Thê-man, Binh-đát người Su -a, và Sô-pha người Na -a-ma, hay được các tai nạn đã xảy đến cho người, mỗi người bèn hẹn nhau từ xứ mình đi đến đặng chia buồn và an ủy người.
And lifting up their eyes when they were still far off, it did not seem that the man they saw was Job because of the change in him. And they gave way to bitter weeping, with signs of grief, and put dust on their heads.|Ba bạn hữu ở xa ngước mắt lên thì chẳng nhận biết người, bèn cất tiếng khóc, mỗi người xé áo mình, hất bụi lên trời mà vãi trên đầu mình.
And they took their seats on the earth by his side for seven days and seven nights: but no one said a word to him, for they saw that his pain was very great.|Đoạn, ba bạn ngồi xuống đất với người trong bảy ngày đêm, chẳng ai nói một lời với người, vì thấy sự đau đớn người lớn lắm.

					Job 3				|
						Gióp 3					
Then, opening his mouth, and cursing the day of his birth,|Sau việc ấy, Gióp mở miệng rủa ngày sanh mình.
Job made answer and said,|Gióp bèn cất tiếng nói rằng:
Let destruction take the day of my birth, and the night on which it was said, A man child has come into the world.|Ngày ta đã sanh ra, khá hư mất đi; Còn đêm đã nói rằng: Có được thai dựng một con trai, hãy tiêu diệt đi!
That day--let it be dark; let not God take note of it from on high, and let not the light be shining on it;|Nguyện ngày ấy bị ra tăm tối! Nguyện Đức Chúa Trời từ trên cao chớ thèm kể đến, Và ánh sáng đừng chiếu trên nó!
Let the dark and the black night take it for themselves; let it be covered with a cloud; let the dark shades of day send fear on it.|Chớ gì tối tăm và bóng sự chết nhìn nhận nó, Ang mây kéo phủ trên nó, Và nhựt thực làm cho nó kinh khiếp.
That night--let the thick dark take it; let it not have joy among the days of the year; let it not come into the number of the months.|Nguyện sự tối tăm mịt mịt hãm lấy đêm ấy; Chớ cho nó đồng lạc với các ngày của năm; Đừng kể nó vào số của các tháng!
As for that night, let it have no fruit; let no voice of joy be sounded in it;|Phải, nguyện cho đêm ấy bị son sẻ; Tiếng vui cười chớ vang ra trong khoảng nó!
Let it be cursed by those who put a curse on the day; who are ready to make Leviathan awake.|Ai hay rủa sả ngày, và có tài chọc Lê-vi -a-than dậy, Hãy rủa sả nó!
Let its morning stars be dark; let it be looking for light, but may it not have any; let it not see the eyes of the dawn.|Nguyện sao chạng vạng đêm ấy phải tối tăm; Nó mong ánh sáng, mà ánh sáng lại chẳng có, Chớ cho nó thấy rạng đông mở ra!
Because it did not keep the doors of my mother's body shut, so that trouble might be veiled from my eyes.|Bởi vì đêm ấy không bế cửa lòng hoài thai ta, Chẳng có giấu sự đau đớn khỏi mắt ta.
Why did death not take me when I came out of my mother's body, why did I not, when I came out, give up my last breath?|Nhân sao tôi chẳng chết từ trong tử cung? Nhân sao không tắt hơi khi lọt lòng mẹ.?
Why did the knees take me, or why the breasts that they might give me milk?|Cớ sao hai đầu gối đỡ lấy tôi, Và vú để cho tôi bú?
For then I might have gone to my rest in quiet, and in sleep have been in peace,|Bằng chẳng vậy, bây giờ ắt tôi đã nằm an tịnh, Được ngủ và nghỉ ngơi
With kings and the wise ones of the earth, who put up great houses for themselves;|Cùng các vua và mưu sĩ của thế gian, Đã cất mình những lăng tẩm;
Or with rulers who had gold, and whose houses were full of silver;|Hoặc với các quan trưởng có vàng, Và chất bạc đầy cung điện mình.
Or as a child dead at birth I might never have come into existence; like young children who have not seen the light.|Hoặc tôi chẳng hề có, như một thai sảo biệt tăm, Giống các con trẻ không thấy ánh sáng.
There the passions of the evil are over, and those whose strength has come to an end have rest.|Ở đó kẻ hung ác thôi rày rạc, Và các người mỏn sức được an nghỉ;
There the prisoners are at peace together; the voice of the overseer comes not again to their ears.|Ở đó những kẻ bị tù đồng nhau được bình tịnh, Không còn nghe tiếng của kẻ hà hiếp nữa.
The small and the great are there, and the servant is free from his master.|Tại nơi ấy nhỏ và lớn đều ở cùng nhau, Và kẻ tôi mọi được phóng khỏi ách chủ mình.
Why does he give light to him who is in trouble, and life to the bitter in soul;|Cớ sao ban ánh sáng cho kẻ hoạn nạn, Và sanh mạng cho kẻ có lòng đầy đắng cay?
To those whose desire is for death, but it comes not; who are searching for it more than for secret wealth;|Người như thế mong chết, mà lại không được chết; Cầu thác hơn là tìm kiếm bửu vật giấu kín;
Who are glad with great joy, and full of delight when they come to their last resting-place;|Khi người ấy tìm được mồ mả, Thì vui vẻ và nức lòng mừng rỡ thay,
To a man whose way is veiled, and who is shut in by God?|Người nào không biết đường mình phải theo, Và bị Đức Chúa Trời vây bọc bốn bên, sao lại được sự sống?
In place of my food I have grief, and cries of sorrow come from me like water.|Vì trước khi ăn, tôi đã than siếc, Tiếng kêu vang tôi tuôn tôi như nước.
For I have a fear and it comes on me, and my heart is greatly troubled.|Vì việc tôi sợ hãi đã thấu đến tôi; Điều tôi kinh khủng lại xảy ra cho tôi.
I have no peace, no quiet, and no rest; nothing but pain comes on me.|Tôi chẳng được an lạc, chẳng được bình tịnh, chẳng được an nghỉ; Song nỗi rối loạn đã áp đến!

					Job 4				|
						Gióp 4					
And Eliphaz the Temanite made answer and said,|Bấy giờ, Ê-li-pha, người Thê-man đáp lời mà rằng:
If one says a word, will it be a weariness to you? but who is able to keep from saying what is in his mind?|Nếu người ta thử nói với ông, ông sẽ mất lòng chăng? Nhưng ai cầm giữ mình không nói sao được?
Truly, you have been a helper to others, and you have made feeble hands strong;|Kìa, ông đã dạy dỗ nhiều người, Và làm cho tay yếu đuối ra mạnh mẽ;
He who was near to falling has been lifted up by your words, and you have given strength to bent knees.|Các lời nói ông đã đỡ kẻ xiêu tó lên, Và đầu gối lung lay, ông đã làm cho vững bền.
But now it has come on you and it is a weariness to you; you are touched by it and your mind is troubled.|Nhưng bây giờ tai nạn xảy đến ông, ông lại giận; Nó lâm vào ông, thì ông bị rối lòng.
Is not your fear of God your support, and your upright way of life your hope?|Ong kính sợ Đức Chúa Trời, ấy há chẳng phải nơi nương nhờ của ông? Tánh hạnh hoàn toàn của ông, há chẳng phải sự trông cậy của ông sao?
Have you ever seen destruction come to an upright man? or when were the god-fearing ever cut off?|Ong hãy suy xét lại, nào bao giờ kẻ vô tội bị hư mất? Đâu có người ngay thẳng lại bị trừ diệt?
What I have seen is that those by whom trouble has been ploughed, and evil planted, get the same for themselves.|Theo điều tôi đã thấy, ai cày sự gian ác, Và gieo điều khấy rối, thì lại gặt lấy nó.
By the breath of God destruction takes them, and by the wind of his wrath they are cut off.|Bởi hơi thở Đức Chúa Trời, chúng bèn hư mất, Tại hơi xịt giận Ngài, họ bị tiêu hao đi.
Though the noise of the lion and the sounding of his voice, may be loud, the teeth of the young lions are broken.|Tiếng gầm của sư tử, và giọng sư tử hét đã êm lặng, Và nanh của các sư tử con bị gãy.
The old lion comes to his end for need of food, and the young of the she-lion go wandering in all directions.|Sư tử mạnh bạo chết vì thiếu mồi, Và các sư tử con bị tản lạc.
A word was given to me secretly, and the low sound of it came to my ears.|Có một lời mật thấu đến tôi, Lỗ tai tôi văng vẳng nghe tiếng ấy,
In troubled thoughts from visions of the night, when deep sleep comes on men,|Ban đêm đương khi loài người ngủ mê, Lòng tôi suy tưởng, bèn thấy dị tượng,
Fear came on me and shaking, and my bones were full of trouble;|Sự kinh khủng sợ hãi xông hãm tôi, Khiến xương cốt tôi run rẩy.
And a breath was moving over my face; the hair of my flesh became stiff:|Có một thần đi ngang qua trước mặt tôi; Các lông tóc của thịt tôi bèn xửng lên.
Something was present before me, but I was not able to see it clearly; there was a form before my eyes: a quiet voice came to my ears, saying:|Thần đứng đó, tôi nhìn không biết mặt người; Có một hình dạng ở trước mặt tôi. Tôi nghe tiếng thầm thì nho nhỏ, mà rằng:
May a man be upright before God? or a man be clean before his Maker?|"Loài người hay chết, há công bình hơn Đức Chúa Trời ư? Loài người há được trong sạch hơn Đấng Tạo hóa mình sao?"
Truly, he puts no faith in his servants, and he sees error in his angels;|Kìa, Đức Chúa Trời không tin cậy các tôi tớ Ngài, Ngài thường trách sự điên dại của thiên sứ Ngài.
How much more those living in houses of earth, whose bases are in the dust! They are crushed more quickly than an insect;|Phương chi những kẻ ở chòi đất sét được cất trên nền bụi cát, Bị chà nát như loài sâu mọt!
Between morning and evening they are completely broken; they come to an end for ever, and no one takes note.|Giữa khoảng sáng đến chiều, chúng bị hư mất; Hằng đến luôn luôn, mà chẳng có ai lưu ý đến.
If their tent-cord is pulled up, do they not come to an end, and without wisdom?|Dây chằng của chúng há chẳng bị dứt trong mình họ sao? Chúng thác, nào được khôn ngoan chi.

					Job 5				|
						Gióp 5					
Give now a cry for help; is there anyone who will give you an answer? and to which of the holy ones will you make your prayer?|Vậy, hãy kêu la! Có ai đáp lời ông chăng? Ong sẽ trở lại cùng đấng nào trong các thánh?
For wrath is the cause of death to the foolish, and he who has no wisdom comes to his end through passion.|Vì nổi sầu thảm giết người ngu muội, Sự đố kỵ làm chết kẻ đơn sơ.
I have seen the foolish taking root, but suddenly the curse came on his house.|Tôi có thấy kẻ ngu muội châm rễ ra; Nhưng thình lình tôi rủa sả chỗ ở của hắn.
Now his children have no safe place, and they are crushed before the judges, for no one takes up their cause.|Con cái hắn không được an nhiên, Bị chà nát tại cửa thành, chẳng có ai giải cứu;
Their produce is taken by him who has no food, and their grain goes to the poor, and he who is in need of water gets it from their spring.|Người đói khát ăn mùa màng hắn, Đến đỗi đoạt lấy ở giữa bụi gai, Và bẫy gài rình của cải hắn.
For evil does not come out of the dust, or trouble out of the earth;|Vì sự hoạn nạn chẳng phải từ bụi cát sanh ra, Sự khốn khó chẳng do đất nảy lên;
But trouble is man's fate from birth, as the flames go up from the fire.|Nhưng loài người sanh ra để bị khốn khó, Như lằn lửa bay chớp lên không.
But as for me, I would make my prayer to God, and I would put my cause before him:|Song tôi, tôi sẽ tìm cầu Đức Chúa Trời, Mà phó duyên cớ tôi cho Ngài;
Who does great things outside our knowledge, wonders without number:|Ngài làm công việc lớn lao, không sao dò xét được, Làm những sự kỳ diệu, không thể đếm cho đặng;
Who gives rain on the earth, and sends water on the fields:|Ngài ban mưa xuống mặt đất, Cho nước tràn đồng ruộng,
Lifting up those who are low, and putting the sad in a safe place;|Nhắc lên cao những kẻ bị hạ xuống, Và cứu đỡ những người buồn thảm cho được phước hạnh.
Who makes the designs of the wise go wrong, so that they are unable to give effect to their purposes.|Ngài làm bại mưu kế của người quỉ quyệt, Khiến tay chúng nó chẳng làm xong được việc toan định của họ.
He takes the wise in their secret designs, and the purposes of the twisted are cut off suddenly.|Ngài bắt kẻ khôn ngoan trong chước móc họ, Mưu kế của kẻ quỉ quái bèn bị hại.
In the daytime it becomes dark for them, and in the sunlight they go feeling about as if it was night.|Ban ngày chúng nó gặp tối tăm, Đương lúc trưa chúng rờ đi như trong đêm tối.
But he keeps safe from their sword those who have no father, and the poor from the power of the strong.|Đức Chúa Trời cứu kẻ nghèo khỏi gươm của miệng chúng nó, Và khỏi tay kẻ cường bạo.
So the poor man has hope, and the mouth of the evil-doer is stopped.|Vậy, kẻ nghèo khốn có sự trông cậy, Còn kẻ gian ác ngậm miệng lại.
Truly, that man is happy who has training from the hand of God: so do not let your heart be shut to the teaching of the Ruler of all.|Người mà Đức Chúa Trời quở trách lấy làm phước thay! Vậy, chớ khinh sự sửa phạt của Đấng Toàn năng.
For after his punishment he gives comfort, and after wounding, his hands make you well.|Vì Ngài làm cho bị thương tích, rồi lại bó rít cho; Ngài đánh hại, rồi tay Ngài chữa lành cho.
He will keep you safe from six troubles, and in seven no evil will come near you.|Trong sáu cơn hoạn nạn, Ngài sẽ giải cứu cho, Qua cơn thứ bảy, tai hại cũng sẽ không đụng đến mình.
When there is need of food he will keep you from death, and in war from the power of the sword.|Trong cơn đói kém, Ngài sẽ giải cứu cho khỏi chết, Và đương lúc giặc giã, cứu khỏi lưỡi gươm.
He will keep you safe from the evil tongue; and you will have no fear of wasting when it comes.|Ong sẽ được ẩn núp khỏi tai hại của lưỡi; Cũng sẽ chẳng sợ chi khi tai vạ xảy đến.
You will make sport of destruction and need, and will have no fear of the beasts of the earth.|Ong sẽ cười thầm khi thấy sự phá hoang và sự đói kém, Cũng chẳng sợ các thú vật của đất;
For you will be in agreement with the stones of the earth, and the beasts of the field will be at peace with you.|Vì ông lập giao ước với đá đồng ruộng; Và các thú rừng sẽ hòa thuận với ông.
And you will be certain that your tent is at peace, and after looking over your property you will see that nothing is gone.|Ong sẽ thấy trại mình được hòa bình; Đi viếng các bầy mình, sẽ chẳng thấy chi thiếu mất.
You will be certain that your seed will be great, and your offspring like the plants of the earth.|Cũng sẽ thấy dòng dõi mình nhiều, Và con cháu mình đông như cỏ trên đất.
You will come to your last resting-place in full strength, as the grain is taken up to the crushing-floor in its time.|Ong sẽ được tuổi cao khi vào trong phần mộ, Như một bó lúa mà người ta gặt phải thì.
See, we have made search with care, and it is so; it has come to our ears; see that you take note of it for yourself.|Nầy, chúng tôi có xem xét điều đó, nó vốn là vậy; Hãy nghe, hãy biết để làm ích cho mình.

					Job 6				|
						Gióp 6					
And Job made answer and said,|Gióp đáp lại rằng:
If only my passion might be measured, and put into the scales against my trouble!|Oi! Chớ gì nỗi buồn tôi nhắc cân cho đúng, Và các tai nạn tôi để trên cân thăng bằng!
For then its weight would be more than the sand of the seas: because of this my words have been uncontrolled.|Vì hiện giờ nó nặng hơn cát biển; Nên tại cớ ấy các lời nói đại ra.
For the arrows of the Ruler of all are present with me, and their poison goes deep into my spirit: his army of fears is put in order against me.|Bởi vì các tên của Đấng Toàn năng trúng nhằm tôi; Tâm hồn tôi uống nọc độc của tên ấy; Sự kinh khiếp của Đức Chúa Trời dàn trận nghịch cùng tôi.
Does the ass of the fields give out his voice when he has grass? or does the ox make sounds over his food?|Chớ thì con lừa rừng nào kêu la khi có cỏ? Còn bò nào rống khi có lương thảo?
Will a man take food which has no taste without salt? or is there any taste in the soft substance of purslain?|Vật chi lạt lẽo, người ta nào ăn chẳng bỏ muối? Còn trong lòng trắng trứng gà, đâu có mùi lai gì?
My soul has no desire for such things, they are as disease in my food.|Vật gì linh hồn tôi từ chối đá đến, Lại trở nên vật thực gớm ghê của tôi.
If only I might have an answer to my prayer, and God would give me my desire!|Oi! Chớ gì lời sở cầu tôi được thành, Và Đức Chúa Trời ban cho tôi điều tôi ao ước!
If only he would be pleased to put an end to me; and would let loose his hand, so that I might be cut off!|Chớ chi Đức Chúa Trời đẹp lòng cà tán tôi, Buông tay Ngài ra trừ diệt tôi!
So I would still have comfort, and I would have joy in the pains of death, for I have not been false to the words of the Holy One.|Vậy, tôi sẽ còn được an ủy, Và trong cơn đau đớn chẳng giản, Tôi sẽ vui mừng, bởi vì không có từ chối lời phán của Đấng Thánh.
Have I strength to go on waiting, or have I any end to be looking forward to?|Sức lực tôi nào đủ đợi cho nỗi, Cuối cùng tôi sẽ ra sao, mà tôi lại nhẫn nhịn được?
Is my strength the strength of stones, or is my flesh brass?|Sức tôi há là sức đá sao? Thịt tôi há dễ là đồng?
I have no help in myself, and wisdom is completely gone from me.|Trong mình tôi chẳng có sự tiếp cứu, sự khôn ngoan bị cất khỏi tôi, Ay há chẳng phải như vậy sao?
He whose heart is shut against his friend has given up the fear of the Ruler of all.|Kẻ gần xui té, đáng được bạn bầu thương xót đến, E kẻo người bỏ sự kính sợ Đấng Toàn năng.
My friends have been false like a stream, like streams in the valleys which come to an end:|Anh em tôi dối gạt tôi như dòng khe cạn nước, Như lòng khe chảy khô.
Which are dark because of the ice, and the snow falling into them;|Nó bị đục vì cớ nước đá, Có giá tuyết ẩn ở trong.
Under the burning sun they are cut off, and come to nothing because of the heat.|Nhưng trong khi giựt xuống, khe bèn khô cạn, Lúc nắng giọi, nó lại biến khỏi chỗ nó.
The camel-trains go out of their way; they go up into the waste and come to destruction.|Đoàn khách đi ngang qua nó bèn tẻ tách đường, Đi vào trong Sa mạc, rồi chết mất.
The camel-trains of Tema were searching with care, the bands of Sheba were waiting for them:|Đoàn khách ở Thê-ma tìm kiếm nước nó, Các kẻ bộ hành Sê-ba nhờ cậy nó;
They were put to shame because of their hope; they came and their hope was gone.|Nhưng chúng bị mắc cỡ vì nhờ cậy nơi nó; Khi đến tại khe, bèn phải hổ thẹn.
So have you now become to me; you see my sad condition and are in fear.|Hiện nay các bạn cũng không ra gì hết; Các bạn thấy sự đáng kinh khiếp, bèn run sợ.
Did I say, Give me something? or, Make a payment for me out of your wealth?|Tôi há có nói rằng: Xin cung cấp cho tôi, Trong tài sản của các bạn, xin hãy lấy lễ vật dâng cho tôi, sao?
Or, Get me out of the power of my hater? or, Give money so that I may be free from the power of the cruel ones?|Hoặc cầu rằng: Xin hãy giải cứu tôi khỏi tay kẻ cừu địch, Và chuộc tôi khỏi tay kẻ hà hiếp ư?
Give me teaching and I will be quiet; and make me see my error.|Hãy dạy dỗ tôi, tôi sẽ nín lặng; Xin chỉ cho tôi hiểu tôi đã lầm lỗi nơi nào.
How pleasing are upright words! but what force is there in your arguments?|Lời chánh trực có sức lực dường bao! Còn lời trách móc của các bạn nào có trách được gì?
My words may seem wrong to you, but the words of him who has no hope are for the wind.|Các bạn muốn trách móc tiếng nói sao? Song lời của một người ngã lòng chỉ như luồng gió.
Truly, you are such as would give up the child of a dead man to his creditors, and would make a profit out of your friend.|Quả thật, các bạn xông hãm kẻ mồ côi, Và đào hầm gài bạn hữu mình.
Now then, let your eyes be turned to me, for truly I will not say what is false to your face.|Vậy bây giờ, nếu các bạn muốn, hãy ngó tôi, Tôi nào dám nói dối trước mặt các bạn đâu.
Let your minds be changed, and do not have an evil opinion of me; yes, be changed, for my righteousness is still in me.|Xin khá xét lại; chớ có sự bất công; Phải, hãy xét lại, vì duyên cớ tôi là công bình.
Is there evil in my tongue? is not the cause of my trouble clear to me?|Có điều bất công nơi lưỡi tôi chăng? ổ gà tôi há chẳng phân biệt điều ác sao?

					Job 7				|
						Gióp 7					
Has not man his ordered time of trouble on the earth? and are not his days like the days of a servant working for payment?|Người ở thế gian há chẳng có sự chiến trận sao? Niên nhựt người há không phải như đời của người làm mướn ư?
As a servant desiring the shades of evening, and a workman looking for his payment:|Như kẻ nô lệ ước ao bóng tối, Như người làm thuê trông đợi tiền lương,
So I have for my heritage months of pain to no purpose, and nights of weariness are given to me.|Như vậy tôi đã được các tháng khốn khó, Và những đêm lao khổ làm phần định cho tôi.
When I go to my bed, I say, When will it be time to get up? but the night is long, and I am turning from side to side till morning light.|Khi tôi nằm ngủ thì tôi nói rằng: Chừng nào tôi sẽ thức dậy? Bao giờ sẽ hết tối tăm? Tôi quá trăn trở cho đến rạng ngày.
My flesh is covered with worms and dust; my skin gets hard and then is cracked again.|Thịt tôi bị bao phủ giòi tửa và lấp đất; Da tôi nứt nẻ và chảy mủ ra!
My days go quicker than the cloth-worker's thread, and come to an end without hope.|Các ngày tôi qua mau hơn thoi dệt cửi, Tiêu đi, chẳng có trông cậy gì.
O, keep in mind that my life is wind: my eye will never again see good.|Oi! Xin hãy nhớ mạng sống tôi chỉ bằng hơi thở; Mắt tôi sẽ chẳng còn thấy điều phước hạnh nữa.
The eye of him who sees me will see me no longer: your eyes will be looking for me, but I will be gone.|Mắt đã thấy tôi sẽ chẳng thấy tôi nữa, Mắt Chúa đoái đến tôi, nhưng tôi sẽ không còn,
