
					Joshua 1				|
As we gave attention to Moses in all things, so we will give attention to you: and may the Lord your God be with you as he was with Moses.|chúng tôi sẽ vâng theo ông trong mọi việc y như đã vâng theo trong mọi việc như đã vâng theo Môi-se. Chỉn nguyện Giê-hô-va Đức Chúa Trời ông ở cùng ông, y như Ngài đã ở cùng Môi-se vậy!
Whoever goes against your orders, and does not give attention to all your words, will be put to death: only take heart and be strong.|Phàm ai nghịch mạng không vâng theo lời ông trong mọi điều ông dặn biểu chúng tôi, thì người đó sẽ bị xử tử; chỉ ông hãy vững lòng bền chí.

					Joshua 2				|
						Giô-sua 2					
Then Joshua, the son of Nun, sent two men from Shittim secretly, with the purpose of searching out the land, and Jericho. So they went and came to the house of a loose woman of the town, named Rahab, where they took their rest for the night.|Giô-suê, con trai của Nun, từ Si-tim mật sai hai người do thám mà rằng: Hãy đi do thám xứ, nhất là Giê-ri-cô. Vậy, hai người ấy đi đến nhà của một kỵ nữ tên là Ra-háp, và ngụ tại đó.
And it was said to the king of Jericho, See, some men have come here tonight from the children of Israel with the purpose of searching out the land.|Người ta bèn tâu cùng vua Giê-ri-cô rằng: Kìa, đêm nay có người trong dân Y-sơ-ra-ên đã đến do thám xứ.
Then the king of Jericho sent to Rahab, saying, Send out the men who have come to you and are in your house; for they have come with the purpose of searching out all the land.|Vua Giê-ri-cô sai nói cùng Ra-háp rằng: Hãy đuổi hai người đã đến vào nhà ngươi; vì họ đến đặng do thám cả xứ.
And the woman took the two men and put them in a secret place; then she said, Yes, the men came to me, but I had no idea where they came from;|Nhưng người đờn bà đem giấu hai người này, rồi đáp rằng: Quả thật họ đã tới nhà tôi nhưng chẳng biết ở đâu đến.
And when it was the time for shutting the doors at dark, they went out; I have no idea where the men went: but if you go after them quickly, you will overtake them.|Song vào buổi tối cửa thành hầu đóng, hai người ấy đi ra tôi không biết đi đâu; hãy mau đuổi theo, vì các ngươi theo kịp được.
But she had taken them up to the roof, covering them with the stems of flax which she had put out in order there.|Vả, nàng có biểu hai người leo lên mái nhà, giấu dưới cộng gai mà nàng rải ở trên mái.
So the men went after them on the road to Jordan as far as the river-crossing: and when they had gone out after them, the door into the town was shut.|Những người của vua đuổi theo họ về hướng sông Giô-đanh, cho đến chỗ cạn; vừa khi những người đuổi theo đó ra khỏi thành, thì người ta đóng cửa thành.
And before the men went to rest, she came up to them on the roof,|Trước khi hai người do thám chưa nằm ngủ, nàng leo lên mái nhà,
And said to them, It is clear to me that the Lord has given you the land, and that the fear of you has come on us;|mà nói rằng: Tôi biết rằng Đức Giê-hô-va đã ban cho các ông xứ này, sự kinh khủng vì cớ các ông đã bắt lấy chúng tôi, và cả dân của xứ đều sờn lòng trước mặt các ông.
For we have had news of how the Lord made the Red Sea dry before you when you came out of Egypt; and what you did to the two kings of the Amorites, on the other side of Jordan, to Sihon and Og, whom you gave up to the curse.|Vì chúng tôi có hay khi các ông ra khỏi xứ Ê-díp-tô, thì Đức Giê-hô-va đã khiến nước Biển đỏ bày khô trước mặt các ông, và điều các ông đã làm cho Si-hôn và Oc, hai vua dân A-mô-rít, ở bên kia sông Giô-đanh, mà các ông đã diệt đi.
And because of this news, our hearts became like water, and there was no more spirit in any of us because of you; for the Lord your God is God in heaven on high and here on earth.|Chúng tôi có hay điều đó, lòng bèn tan ra, chẳng ai trong chúng tôi còn can đảm trước mặt các ông nữa; vì Giê-hô-va Đức Chúa Trời các ông là Đức Chúa Trời ở trên trời cao kia, và ở dưới đất thấp này.
So now, will you give me your oath by the Lord, that, because I have been kind to you, you will be kind to my father's house,|Vậy bây giờ, vì tôi đã làm nhơn cho hai ông, thì hai ông cũng phải làm nhơn lại cho nhà cha tôi; hãy chỉ Đức Giê-hô-va mà thề cùng tôi, và cho một dấu quả quyết
And that you will keep safe my father and mother and my brothers and sisters and all they have, so that death may not come on us?|rằng các ông sẽ để cha mẹ, anh em, chị em tôi, và hết thảy người bà con của họ đều còn sống, cùng cứu chúng tôi khỏi chết.
And the men said to her, Our life for yours if you keep our business secret; and when the Lord has given us the land, we will keep faith and be kind to you.|Hai người đáp rằng: Mạng chúng ta sẽ đền cho mạng nàng! Nếu nàng không cho lậu việc chúng ta ra, thì chúng ta sẽ đãi nàng cách nhơn từ và thành tín khi Đức Giê-hô-va ban xứ cho chúng ta.
Then she let them down from the window by a cord, for the house where she was living was on the town wall.|Vậy, nàng dùng một sợi dây dòng hai người xuống nơi cửa sổ, vì nhà nàng ở tại trên vách thành.
And she said to them, Get away into the hill-country, or the men who have gone after you will overtake you; keep yourselves safe there for three days, till the searchers have come back, and then go on your way.|Nàng nói rằng: Hãy đi đến núi, kẻo những người đuổi theo gặp các ông chăng; hãy ẩn đó ba ngày cho đến chừng nào những người đuổi theo trở về; sau rồi các ông hãy đi đường.
And the men said to her, We will only be responsible for this oath which you have made us take,|Vả, hai người nói cùng nàng rằng: Này thể nào chúng ta sẽ khỏi mắc lời thề mà nàng đã bắt ta thề.
If, when we come into the land, you put this cord of bright red thread in the window from which you let us down; and get your father and mother and your brothers and all your family into the house;|Khi nào chúng ta vào xứ, nàng phải cột sợi chỉ điều này nơi cửa sổ mà nàng dòng chúng ta xuống, rồi nhóm hiệp cha mẹ, anh em, hết thảy bà con của nàng lại trong nhà mình.
Then if anyone goes out of your house into the street, his blood will be on his head, we will not be responsible; but if any damage comes to anyone in the house, his blood will be on our heads.|Phàm ai trong các người đó đi ra ngoài cửa nhà nàng, thì huyết người ấy sẽ đổ lại trên đầu người, và chúng ta vô tội; nhưng nếu ai tra tay vào người nào ở cùng nàng trong nhà, thì huyết của người đó sẽ đổ lại trên đầu chúng ta.
But if you say anything about our business here, then we will be free from the oath you have made us take.|Còn nếu nàng cho lậu việc chúng ta, ắt chúng ta sẽ khỏi mắc lời mà nàng đã bắt chúng ta thề.
And she said, Let it be as you say. Then she sent them away, and they went; and she put the bright red cord in the window.|Nàng bèn đáp: Khá y lời hai ông đã nói. Đoạn, nàng cho hai người đi, và hai người liền đi. Nàng bèn cột sợi chỉ điều nơi cửa sổ.
And they went into the hill-country and were there three days, till the men who had gone after them had come back; and those who went after them were searching for them everywhere without coming across them.|Vậy, hai người đi đến núi, ở đó ba ngày cho đến khi những người đuổi theo mình trở về. Mấy người ấy kiếm họ cùng đường, nhưng không gặp.
Then the two men came down from the hill-country and went over and came back to Joshua, the son of Nun; and they gave him a complete account of what had taken place.|Hai người do thám bèn đi xuống núi trở về; khi đã qua sông Giô-đanh rồi, thì đến gần Giê-suê, con trai Nun, thuật cho người mọi điều đã xảy ra.
And they said to Joshua, Truly, the Lord has given all the land into our hands; and all the people of the land have become like water because of us.|Hai người nói cùng Giô-suê rằng: Quả thật, Đức Giê-hô-va đã phó cả xứ vào tay chúng ta; và lại, hết thảy dân của xứ đều sờn lòng trước mặt chúng ta.

					Joshua 3				|
						Giô-sua 3					
Then Joshua got up early in the morning, and, moving on from Shittim, he and all the children of Israel came to Jordan and were there for the night before going over.|Giô-suê dậy sớm, ở Si-tim đi cùng hết thảy dân Y-sơ-ra-ên, đến mé sông Giô-đanh, và ngủ đêm tại đó trước khi qua sông.
And at the end of three days, the men in authority over the people went through the tents,|Cuối ba ngày, các quan trưởng đi khắp trại quân
Giving the people their orders, and saying, When you see the ark of the agreement of the Lord your God lifted up by the priests, the Levites, then get up from your places and go after it;|truyền lịnh này cho dân sự rằng: Khi các ngươi thấy những thầy tế lễ về dòng Lê-vi khiêng hòm giao ước của Giê-hô-va Đức Chúa Trời các ngươi, thì phải bỏ chỗ đóng trại mình mà đi theo sau.
But let there be a space between you and it of about two thousand cubits: come no nearer to it, so that you may see the way you have to go, for you have not been over this way before.|Song le giữa khoảng các ngươi và hòm giao ước phải cách chừng hai ngàn thước; chớ đến gần, hầu cho các ngươi có thế biết đường mình phải đi theo; vì các ngươi chưa hề đi đường này bao giờ.
And Joshua said to the people, Make yourselves holy, for tomorrow the Lord will do works of wonder among you.|Giô-suê cũng nói cùng dân sự rằng: Hãy làm cho mình ra thánh, vì ngày mai Đức Giê-hô-va sẽ làm những việc lạ lùng giữa các ngươi.
Then Joshua said to the priests, Take up the ark of the agreement and go over in front of the people. So they took up the ark of the agreement and went in front of the people.|Đoạn, Giô-suê nói cùng những thầy tế lễ rằng: Hãy khiêng hòm giao ước đi qua trước dân sự. Vậy, những thầy tế lễ khiêng hòm giao ước và đi đầu dân sự.
And the Lord said to Joshua, From now on I will give you glory in the eyes of all Israel, so that they may see that, as I was with Moses, so I will be with you.|Đức Giê-hô-va phán cùng Giô-suê rằng: Ngày nay ta khởi tôn ngươi lên trước mặt cả Y-sơ-ra-ên, để chúng nó biết rằng ta sẽ ở cùng ngươi như ta đã ở cùng Môi-se vậy.
And you are to give orders to the priests who take up the ark of the agreement, and say, When you come to the edge of the waters of Jordan, go no further.|Ngươi phải truyền lịnh này cho những thầy tế lễ khiêng hòm giao ước: Khi nào các ngươi đến mé sông Giô-đanh, thì hãy dừng lại tại giữa sông.
And Joshua said to the children of Israel, Come to me here: and give ear to the words of the Lord your God.|Giô-suê bèn nói cùng dân Y-sơ-ra-ên rằng: Hãy lại gần, nghe lời của Giê-hô-va Đức Chúa Trời các ngươi.
And Joshua said, By this you will see that the living God is among you, and that he will certainly send out from before you the Canaanite and the Hittite and the Hivite and the Perizzite and the Girgashite and the Amorite and the Jebusite.|Đoạn, người nói: Nhờ điều này các ngươi sẽ biết rằng Đức Chúa Trời hằng sống ngự giữa các ngươi, và Ngài sẽ đuổi khỏi trước mặt các ngươi dân Ca-na-an, dân Hê-tít, dân Hê-vít, dân Phê-rê-sít, dân A-mô-rít, và dân Giê-bu-sít.
See, the ark of the agreement of the Lord of all the earth is going over before you into Jordan.|Này, hòm giao ước của Chúa cả thế gian đi trước các ngươi vào sông Giô-đanh.
So take twelve men out of the tribes of Israel, a man from every tribe.|Vậy, hãy chọn mười hai người của các chi phái Y-sơ-ra-ên, mỗi chi phái một người;
And when the feet of the priests who take up the ark of the Lord, the Lord of all the earth, come to rest in the waters of Jordan, the waters of Jordan will be cut off, all the waters flowing down from higher up, and will come together in a mass.|và khi những thầy tế lễ khiêng hòm giao ước của Đức Giê-hô-va, là Chúa cả thế gian, mới để bàn chơn mình dưới nước sông Giô-đanh, thì nước của sông, tức nước từ nguồn chảy xuống, sẽ chia ra, và dồn lại thành một đống.
So when the people went out from their tents to go over Jordan, the priests who took up the ark of the agreement were in front of the people;|Khi dân sự bỏ các trại mình đặng đi qua sông Giô-đanh, thì những thầy tế lễ khiêng hòm giao ước ở trước mặt dân sự.
And when those who took up the ark came to Jordan, and the feet of the priests who took up the ark were touching the edge of the water (for the waters of Jordan are overflowing all through the time of the grain-cutting),|Vả trọn lúc mùa gặt, sông Giô-đanh tràn lên khỏi bờ. Khi các người khiêng hòm đến sông Giô-đanh, và chơn của những thầy tế lễ khiêng hòm mới bị ướt nơi mé nước,
Then the waters flowing down from higher up were stopped and came together in a mass a long way back at Adam, a town near Zarethan; and the waters flowing down to the sea of the Arabah, the Salt Sea, were cut off: and the people went across opposite Jericho.|thì nước ở trên nguồn thường chảy xuống bèn dừng lại, dồn thành một đống, xa ra một khoảng đến thành A-đam, là thành ở bên cạnh Xát-than; còn nước chảy đến biển đồng bằng, tức Biển mặn, đã rẽ đoạn ra; rồi dân sự đi qua đối ngang Giê-ri-cô.
And the priests who took up the ark of the agreement of the Lord kept their places, with their feet on dry land in the middle of Jordan, while all Israel went over on dry land, till all the nation had gone over Jordan.|Những thầy tế lễ khiêng hòm giao ước của Đức Giê-hô-va dừng chơn vững trên đất khô giữa sông Giô-đanh trong khi cả Y-sơ-ra-ên đi qua trên đất khô, cho đến chừng cả dân đã qua khỏi sông Giô-đanh rồi.

					Joshua 4				|
						Giô-sua 4					
Now when all the nation had come to the other side of Jordan, the Lord said to Joshua,|Khi cả dân đã qua khỏi Giô-đanh rồi, Đức Giê-hô-va bèn phán cùng Giô-suê rằng:
Take twelve men from the people, a man for every tribe,|Hãy chọn trong dân sự mười hai người, mỗi chi phái một người;
And say to them, Take up from the middle of Jordan, from the place where the feet of the priests were resting, twelve stones, and take them over with you and put them down in the place where you take your rest tonight.|rồi truyền lịnh này cho các người đó: Hãy lấy mười hai hòn đá tại đây giữa sông Giô-đanh, từ nơi chơn những thầy tế lễ đứng vững, rồi đem nó theo, và đặt tại chỗ các ngươi sẽ ngủ ban đêm.
So Joshua sent for the twelve men, whom he had ready, one man out of every tribe of the children of Israel,|Vậy, Giô-suê gọi mười hai người mà mình đã chọn trong dân Y-sơ-ra-ên, mỗi chi phái một người,
And he said to them, Go over before the ark of the Lord your God into the middle of Jordan, and let every one of you take up a stone on his back, one for every tribe of the children of Israel:|mà truyền rằng: Hãy đi qua trước hòm của Giê-hô-va Đức Chúa Trời các ngươi tại giữa sông Giô-đanh, rồi mỗi người, theo số chi phái Y-sơ-ra-ên, phải vác một hòn đá trên vai mình,
So that this may be a sign among you; when your children say to you in time to come, What is the reason for these stones?|hầu cho điều đó làm một dấu ở giữa các ngươi. Về sau, khi con cháu các ngươi hỏi rằng: Những hòn đá này có nghĩa chi?
Then you will say to them, Because the waters of Jordan were cut off before the ark of the Lord's agreement; when it went over Jordan the waters of Jordan were cut off: and these stones will be a sign for the children of Israel, keeping it in their memory for ever.|thì hãy đáp rằng: Ay là nước sông Giô-đanh đã rẽ ra trước hòm giao ước của Đức Giê-hô-va; khi hòm đi ngang qua sông Giô-đanh; thì nước sông bèn rẽ ra; các hòn đá này dùng cho dân Y-sơ-ra-ên làm kỷ niệm đời đời.
So the children of Israel did as Joshua gave them orders, and took twelve stones from the middle of Jordan, as the Lord had said to Joshua, one for every tribe of the children of Israel; these they took across with them to their night's resting-place and put them down there.|Vậy, dân Y-sơ-ra-ên làm theo điều Giô-suê đã biểu, bèn lấy mười hai hòn đá ở giữa sông Giô-đanh, theo số chi phái dân Y-sơ-ra-ên, và đem nó theo cùng mình đến chỗ nào phải ngủ ban đêm, rồi đặt tại đó, y như Đức Giê-hô-va đã phán dặn Giô-suê.
And Joshua put up twelve stones in the middle of Jordan, where the feet of the priests who took up the ark of the agreement had been placed: and there they are to this day.|Giô-suê cũng dựng mười hai hòn đá giữa sông Giô-đanh, tại nơi chơn những thầy tế lễ khiêng hòm giao ước đã đứng; các hòn đá ấy hãy còn ở đó cho đến ngày nay.
For the priests who took up the ark kept there in the middle of Jordan till all the orders given to Joshua by Moses from the Lord had been done: then the people went over quickly.|Những thầy tế lễ khiêng hòm đều đứng giữa sông Giô-đanh cho đến chừng nào đã làm xong mọi việc mà Đức Giê-hô-va đã dặn biểu Giô-suê truyền lại cho dân sự, theo mạng lịnh mà Môi-se đã truyền cho Giô-suê. Dân sự bèn lật đật đi qua sông.
And when all the people had come to the other side, the ark of the Lord went over, and the priests, before the eyes of the people.|Khi cả dân sự đã đi qua sông rồi, thì hòm của Đức Giê-hô-va, và những thầy tế lễ cũng đi qua trước mặt dân sự.
And the children of Reuben and the children of Gad and the half-tribe of Manasseh went over armed before the children of Israel as Moses had said to them:|Con cháu Ru-bên, con cháu Gát, và phân nửa chi phái Ma-na-se cầm binh khí đi trước dân Y-sơ-ra-ên, y như Môi-se đã dặn biểu họ.
About forty thousand armed for war went over before the Lord to the fight, to the lowlands of Jericho.|Có chừng bốn muôn người sắm sửa ra trận, đi qua trước mặt Đức Giê-hô-va, đến trong đồng bằng Giê-ri-cô, đặng đánh giặc.
That day the Lord made Joshua great in the eyes of all Israel; and all the days of his life they went in fear of him, as they had gone in fear of Moses.|Ngày đó, Đức Giê-hô-va khiến Giô-suê được tôn trọng trước mặt cả Y-sơ-ra-ên, và chúng kính sợ người trọn đời người, như đã kính sợ Môi-se vậy.
Then the Lord said to Joshua,|Vả, Đức Giê-hô-va phán cùng Giô-suê rằng:
Give orders to the priests who take up the ark of witness, to come up out of Jordan.|Hãy truyền cho những thầy tế lễ khiêng hòm bảng chứng đi lên khỏi sông Giô-đanh.
So Joshua gave orders to the priests, saying, Come up now out of Jordan.|Giô-suê bèn truyền lịnh cho những thầy tế lễ rằng: Hãy đi lên khỏi Giô-đanh.
And when the priests who took up the ark of the Lord's agreement came up out of Jordan and their feet came out on to dry land, the waters of Jordan went back to their place, overflowing its edges as before.|Khi những thầy tế lễ khiêng hòm giao ước của Đức Giê-hô-va đã lên khỏi giữa ông, và bàn chơn họ dở lên đặng bước trên đất khô rồi, thì nước sông Giô-đanh trở lại chỗ cũ và chảy tràn ra khắp mé như trước.
So on the tenth day of the first month the people came up out of Jordan, and put up their tents in Gilgal, on the east side of Jericho.|Ngày mồng mười tháng giêng, dân sự đi lên khỏi sông Giô-đanh, và đóng trại tại Ghinh-ganh, ở cuối phía đông Giê-ri-cô.
And the twelve stones which they took out of Jordan, Joshua put up in Gilgal.|Giô-suê dựng tại Ghinh-ganh mười hai hòn đá mà dân chúng đã lấy dưới sông Giô-đanh.
And he said to the children of Israel, When your children say to their fathers in time to come, What is the reason for these stones?|Đoạn, người nói cùng dân Y-sơ-ra-ên rằng: Về sau, khi con cháu các ngươi hỏi cha mình rằng: Các hòn đá này có nghĩa gì?
Then give your children the story, and say, Israel came over this river Jordan on dry land.|thì các ngươi sẽ dạy con cháu mình mà rằng: Y-sơ-ra-ên đã đi qua sông Giô-đanh trên đất khô,
For the Lord your God made the waters of Jordan dry before you till you had gone across, as he did to the Red Sea, drying it up before us till we had gone across:|vì Giê-hô-va Đức Chúa Trời các ngươi đã làm cho sông Giô-đanh bày khô trước mặt các ngươi, cho đến chừng nào các ngươi đã qua khỏi, y như Giê-hô-va Đức Chúa Trời các ngươi đã làm tại Biển đỏ, khiến cho nó bày khô trước mặt chúng ta, cho đến chừng nào chúng ta đã qua khỏi,
So that all the peoples of the earth may see that the hand of the Lord is strong; and that they may go in fear of the Lord your God for ever.|hầu cho các dân tộc thế gian biết rằng tay của Đức Giê-hô-va là rất mạnh, và cho các ngươi kính sợ Giê-hô-va Đức Chúa Trời các ngươi luôn luôn.

					Joshua 5				|
						Giô-sua 5					
Now when the news came to all the kings of the Amorites on the west side of Jordan, and all the kings of the Canaanites living by the sea, how the Lord had made the waters of Jordan dry before the children of Israel, till they had gone across, their hearts became like water, and there was no more spirit in them, because of the children of Israel.|Vả, các vua A-mô-rít ở bên kia sông Giô-đanh về phía tây, và các vua Ca-na-an ở gần biển vừa hay rằng Đức Giê-hô-va đã làm cho nước sông Giô-đanh bày khô trước mặt dân Y-sơ-ra-ên, cho đến chừng đã đi qua khỏi, thì lòng họ kinh khiếp và nao sờn vì cớ dân Y-sơ-ra-ên.
At that time the Lord said to Joshua, Make yourself stone knives and give the children of Israel circumcision a second time.|Trong lúc đó Đức Giê-hô-va phán cùng Giô-suê rằng: Hãy sắm sửa dao bằng đá lửa, và làm phép cắt bì lần thứ nhì cho dân Y-sơ-ra-ên.
So Joshua made stone knives and gave the children of Israel circumcision at Gibeath-ha-araloth.|Vậy, Giô-suê sắm sửa dao bằng đá lửa, và làm phép cắt bì cho dân Y-sơ-ra-ên tại trên gò A-ra-lốt.
And this is the reason why Joshua did so: all the males of the people who came out of Egypt, all the fighting-men, had been overtaken by death in the waste land on the way, after they came out of Egypt.|Này là cớ Giô-suê làm phép cắt bì cho họ: Các người nam trong dân chúng đã ra khỏi xứ Ê-díp-tô, tức là các chiến sĩ, đều đã chết dọc đường trong đồng vắng, sau khi ra khỏi xứ Ê-díp-tô.
All the people who came out had undergone circumcision; but all the people whose birth had taken place in the waste land on their journey from Egypt had not.|Vả, hết thảy dân chúng mà đã ra khỏi xứ Ê-díp-tô đều có chịu phép cắt bì; nhưng sau khi ra khỏi xứ Ê-díp-tô người ta không có làm phép cắt bì cho một ai trong những người sanh ra dọc đường tại nơi đồng vắng.
For the children of Israel were wandering in the waste land for forty years, till all the nation, that is, all the fighting-men, who had come out of Egypt, were dead, because they did not give ear to the voice of the Lord: to whom the Lord said, with an oath, that he would not let them see the land which the Lord had given his word to their fathers to give us, a land flowing with milk and honey.|Vì dân Y-sơ-ra-ên đã đi trong đồng vắng bốn mươi năm cho đến chừng cả dân sự đã bị chết hết, tức là những chiến sĩ đã ra khỏi xứ Ê-díp-tô, mà không vâng theo tiếng của Đức Giê-hô-va. Đức Giê-hô-va có thề cùng chúng rằng sẽ chẳng cho họ thấy xứ mà Đức Giê-hô-va đã thề cùng tổ phụ họ ban cho chúng ta, tức là xứ đượm sữa và mật.
And their children, who came up in their place, now underwent circumcision by the hands of Joshua, not having had it before: for there had been no circumcision on the journey.|Và Ngài đã dấy lên con cháu của họ mà thế vào chỗ. Ay là con cháu này mà Giô-suê làm phép cắt bì cho, vì chúng nó không có chịu phép cắt bì dọc đường.
So when all the nation had undergone circumcision, they kept in their tents till they were well again.|Khi người ta làm phép cắt bì cho hết thảy dân sự xong rồi, thì họ ở lại chỗ mình trong trại quân cho đến chừng nào lành.
And the Lord said to Joshua, Today the shame of Egypt has been rolled away from you. So that place was named Gilgal, to this day.|Bấy giờ, Đức Giê-hô-va phán cùng Giô-suê rằng: Ngày nay ta đã cất khỏi các ngươi sự xấu hổ của xứ Ê-díp-tô. Nên người ta gọi chỗ ấy là Ghinh-ganh cho đến ngày nay.
So the children of Israel put up their tents in Gilgal; and they kept the Passover on the fourteenth day of the month, in the evening, in the lowlands of Jericho.|Dân Y-sơ-ra-ên đóng trại tại Ghinh-ganh trong đồng bằng Giê-ri-cô, và giữ lễ Vượt qua nhằm ngày mười bốn tháng này, vào lối chiều tối.
And on the day after the Passover, they had for their food the produce of the land, unleavened cakes and dry grain on the same day.|Ngày sau lễ Vượt qua, chánh này đó, dân sự ăn thổ sản của xứ, bánh không men, và hột rang.
And there was no more manna from the day after they had for their food the produce of the land; the children of Israel had manna no longer, but that year the produce of the land of Canaan was their food.|Ngày mà chúng đã ăn lúa mì của xứ, thì đến sáng mai ma-na hết; vậy, dân Y-sơ-ra-ên không có ma-na nữa, nhưng trong năm đó ăn những thổ sản của Ca-na-an.
Now when Joshua was near Jericho, lifting up his eyes he saw a man in front of him, with his sword uncovered in his hand: and Joshua went up to him and said, Are you for us or against us?|Xảy khi Giô-suê ở gần Giê-ri-cô, ngước mắt lên mà nhìn, bèn thấy một người đứng cầm gươm trần đối diện cùng mình. Giô-suê đi lại người và nói rằng: Ngươi là người của chúng ta hay là người của kẻ thù nghịch chúng ta?
And he said, No; but I have come as captain of the armies of the Lord. Then Joshua, falling down with his face to the earth in worship, said, What has my lord to say to his servant?|Người đáp: không, bây giờ ta đến làm tướng đạo binh của Đức Giê-hô-va. Giô-suê bèn sấp mặt xuống đất, lạy, và hỏi rằng: Chúa truyền cho tôi tớ Chúa điều gì?
And the captain of the Lord's army said to Joshua, Take off your shoes from your feet, for the place where you are is holy. And Joshua did so.|Tướng đạo binh của Đức Giê-hô-va nói cùng Giô-suê rằng: Hãy lột giày khỏi chơn ngươi, vì nơi ngươi đứng là thánh. Giô-suê bèn làm như vậy.

					Joshua 6				|
						Giô-sua 6					
