
					Proverbs 1				|
For trading in it is better than trading in silver, and its profit greater than bright gold.|Vì thà được nó hơn là được tiền bạc, Hoa lợi nó sanh ra tốt hơn vàng ròng.
She is of more value than jewels, and nothing for which you may have a desire is fair in comparison with her.|Sự khôn ngoan quí báu hơn châu ngọc, Chẳng một bửu vật nào con ưa thích mà sánh kịp nó được.
Long life is in her right hand, and in her left are wealth and honour.|Tay hữu nó cầm sự trường thọ, Còn trong tay tả, có sự giàu có và vinh hiển.
Her ways are ways of delight, and all her goings are peace.|Các nẻo nó vốn là nẻo khoái lạc, Và các lối nó cả điều bình an.
She is a tree of life to all who take her in their hands, and happy is everyone who keeps her.|Nó là cây sự sống cho ai nắm lấy nó; Người nào cầm giữ nó đều được phước hạnh.
The Lord by wisdom put in position the bases of the earth; by reason he put the heavens in their place.|Đức Giê-hô-va dùng sự khôn ngoan lập nên trái đất; Nhờ sự thông sáng mà sắp đặt các từng trời.
By his knowledge the deep was parted, and dew came dropping from the skies.|Do sự hiểu biết Ngài các vực sâu mở ra, Và mây đặt ra sương móc.
My son, keep good sense, and do not let wise purpose go from your eyes.|Hỡi con, khá gìn giữ sự khôn ngoan thật và sự dẽ dặt, Chớ để nó lìa xa mắt con;
So they will be life for your soul, and grace for your neck.|Thì nó sẽ là sự sống của linh hồn con, Và như đồ trang sức cho cổ con.
Then you will go safely on your way, and your feet will have no cause for slipping.|Con sẽ bước đi vững vàng trong đường con, Và chơn con không vấp ngã.
When you take your rest you will have no fear, and on your bed sleep will be sweet to you.|Khi con nằm, chẳng có điều sợ hãi; Phải, con sẽ nằm được ngủ ngon giấc.
Have no fear of sudden danger, or of the storm which will come on evil-doers:|Chớ sợ sự kinh khiếp xảy đến thình lình, Cũng đừng kinh hãi lúc sự tàn hại giáng trên kẻ ác;
For the Lord will be your hope, and will keep your foot from being taken in the net.|Vì Đức Giê-hô-va là nơi nương cậy của con, Ngài sẽ gìn giữ chơn con khỏi mắc bẫy.
Do not keep back good from those who have a right to it, when it is in the power of your hand to do it.|Chớ từ chối làm lành cho kẻ nào xứng đáng, Miễn là tay con có quyền làm điều ấy.
Say not to your neighbour, Go, and come again, and tomorrow I will give; when you have it by you at the time.|Nhược bằng con có tại nơi con vật kẻ lân cận cầu xin, thì chớ nói với người rằng: Hãy đi và trở lại, ngày mai ta sẽ cho ngươi.
Do not make evil designs against your neighbour, when he is living with you without fear.|Chớ lập mưu hại kẻ lân cận con, Vì người ăn ở bình yên bên con.
Do not take up a cause at law against a man for nothing, if he has done you no wrong.|Nếu không có làm điều hại cho con, Chớ tranh giành vô cớ với ai.
Have no envy of the violent man, or take any of his ways as an example.|Chớ phân bì với kẻ hung dữ, Cũng đừng chọn lối nào của hắn;
For the wrong-hearted man is hated by the Lord, but he is a friend to the upright.|Vì Đức Giê-hô-va gớm ghiếc kẻ gian tà; Nhưng kết tình bậu bạn cùng người ngay thẳng.
The curse of the Lord is on the house of the evil-doer, but his blessing is on the tent of the upright.|Sự rủa sả của Đức Giê-hô-va giáng trên nhà kẻ ác. Song Ngài ban phước cho chỗ ở của người công bình.
He makes sport of the men of pride, but he gives grace to the gentle-hearted.|Quả thật Ngài nhạo báng kẻ hay nhạo báng; Nhưng Ngài ban ơn cho người khiêm nhường.
The wise will have glory for their heritage, but shame will be the reward of the foolish.|Người khôn ngoan sẽ hưởng được sự vinh hiển; Còn sự thăng lên của kẻ ngu dại sẽ ra điều hổ thẹn.

					Proverbs 4				|
						Châm Ngôn 4					
Give ear, my sons, to the teaching of a father; give attention so that you may have knowledge:|Hỡi các con, hãy nghe lời khuyên dạy của một người cha, Khá chủ ý vào, hầu cho biết sự thông sáng;
For I give you good teaching; do not give up the knowledge you are getting from me.|Vì ta ban cho các con một đạo lý tốt lành; Chớ lìa bỏ lời dạy dỗ của ta.
For I was a son to my father, a gentle and an only one to my mother.|Khi còn thơ ấu, ta là con trai của cha ta, Một đứa con một của mẹ ta yêu mến.
And he gave me teaching, saying to me, Keep my words in your heart; keep my rules so that you may have life:|Cha ta có dạy ta rằng: Lòng con khá ghi nhớ các lời ta; Hãy gìn giữ mạng lịnh ta, thì con sẽ được sống.
Get wisdom, get true knowledge; keep it in memory, do not be turned away from the words of my mouth.|Khá cầu lấy sự khôn ngoan, khá cầu lấy sự thông sáng, Chớ quên, chớ xây bỏ các lời của miệng ta;
Do not give her up, and she will keep you; give her your love, and she will make you safe.|Đừng lìa bỏ sự khôn ngoan, ắt người sẽ gìn giữ con; Hãy yêu mến người, thì người sẽ phù hộ con.
The first sign of wisdom is to get wisdom; go, give all you have to get true knowledge.|Sự khôn ngoan là điều cần nhứt; vậy, khá cầu lấy sự khôn ngoan; Hãy dùng hết của con đã được mà mua sự thông sáng.
Put her in a high place, and you will be lifted up by her; she will give you honour, when you give her your love.|Hãy tôn tặng sự khôn ngoan, thì sự khôn ngoan sẽ thăng con lên, Làm cho con được vinh hiển, khi con hoài niệm đến.
She will put a crown of grace on your head, giving you a head-dress of glory.|Sự khôn ngoan sẽ đội trên đầu con một dây hoa mĩ, Và ban cho con một mão triều thiên vinh quang.
Give ear, O my son, and let your heart be open to my sayings; and long life will be yours.|Hỡi con, hãy nghe và tiếp nhận các lời ta; Thì năm tháng của đời con sẽ được thêm nhiều lên.
I have given you teaching in the way of wisdom, guiding your steps in the straight way.|Ta đã dạy dỗ con đường khôn ngoan, Dẫn con đi trong các lối ngay thẳng.
When you go, your way will not be narrow, and in running you will not have a fall.|Khi con đi, bước chơn con sẽ không ngập ngừng, Và khi con chạy, con sẽ không vấp ngã.
Take learning in your hands, do not let her go: keep her, for she is your life.|Hãy nắm chắc điều khuyên dạy, chớ buông ra; Khá gìn giữ nó, vì là sự sống của con.
Do not go in the road of sinners, or be walking in the way of evil men.|Chớ vào trong lối kẻ hung dữ, Và đừng đi đường kẻ gian ác.
Keep far from it, do not go near; be turned from it, and go on your way.|Hãy tránh đường ấy, chớ đi ngang qua nó; Hãy xây khỏi nó và cứ đi thẳng.
For they take no rest till they have done evil; their sleep is taken away if they have not been the cause of someone's fall.|Vì nếu chúng nó không làm điều ác, thì ngủ không đặng; Bằng chưa gây cho người nào vấp phạm, thì giấc ngủ bị cất khỏi chúng nó.
The bread of evil-doing is their food, the wine of violent acts their drink.|Vì chúng nó ăn bánh của sự gian ác, Và uống rượu của sự hung hăng.
But the way of the upright is like the light of early morning, getting brighter and brighter till the full day.|Nhưng con đường người công bình giống như sự sáng chiếu rạng, Càng sáng thêm lên cho đến giữa trưa.
The way of sinners is dark; they see not the cause of their fall.|Còn nẻo kẻ gian ác vẫn như tăm tối; Chúng nó chẳng biết mình vấp ngã vì đâu.
My son, give attention to my words; let your ear be turned to my sayings.|Hỡi con, hãy chăm chỉ về các lời ta, Khá nghiêng tai nghe những bài giảng thuyết ta.
Let them not go from your eyes; keep them deep in your heart.|Các lời ấy chớ để xa khỏi mắt con, Hãy giữ lấy nơi lòng con.
For they are life to him who gets them, and strength to all his flesh.|Vì lời ấy là sự sống cho người nào tìm được nó, Và sự khỏe mạnh cho toàn thân thể của họ.
And keep watch over your heart with all care; so you will have life.|Khá cẩn thận giữ tấm lòng của con hơn hết, Vì các nguồn sự sống do nơi nó mà ra.
Put away from you an evil tongue, and let false lips be far from you.|Con hãy dẹp ra sự gian tà của miệng, Và bỏ cách xa con sự giả dối của môi.
Keep your eyes on what is in front of you, looking straight before you.|Mắt con hãy ngó ngay trước mặt, Và mí mắt con khá xem thẳng trước mặt con.
Keep a watch on your behaviour; let all your ways be rightly ordered.|Hãy ban bằng cái nẻo của chơn con đi, Và lập cho vững vàng các đường lối con,
Let there be no turning to the right or to the left, keep your feet from evil.|Chớ xây qua bên hữu hay bên tả; Hãy dời chơn con khỏi sự ác.

					Proverbs 5				|
						Châm Ngôn 5					
My son, give attention to my wisdom; let your ear be turned to my teaching:|Hỡi con, hãy chăm chỉ về sự khôn ngoan ta, Khá nghiêng tai qua nghe lời thông sáng ta;
So that you may be ruled by a wise purpose, and your lips may keep knowledge.|Để con gìn giữ sự dẽ dặt, Và môi con bảo tồn sự tri thức.
For honey is dropping from the lips of the strange woman, and her mouth is smoother than oil;|Vì môi kẻ dâm phụ đặt ra mật, Và miệng nó dịu hơn dầu;
But her end is bitter as wormwood, and sharp as a two-edged sword;|Nhưng rốt lại đắng như ngải cứu, Bén như gươm hai lưỡi.
Her feet go down to death, and her steps to the underworld;|Chơn nó xuống chốn chết; Bước nó đụng đến âm phủ.
She never keeps her mind on the road of life; her ways are uncertain, she has no knowledge.|Nó không tìm đặng con đường bằng thẳng của sự sống; Các lối nó lầm lạc, song nó chẳng biết đến.
Give ear to me then, my sons, and do not put away my words from you.|Vậy bây giờ, hỡi các con, hãy nghe ta; Chớ lìa bỏ các lời của miệng ta.
Go far away from her, do not come near the door of her house;|Hãy dời đường con cách xa khỏi nó, Đừng lại gần cửa nhà nó;
For fear that you may give your honour to others, and your wealth to strange men:|E con trao sự danh dự mình cho kẻ khác, Và năm tuổi con cho kẻ hung bạo.
And strange men may be full of your wealth, and the fruit of your work go to the house of others;|E người lạ được no nê hóa tài con, Và công lao con về nhà kẻ ngoại;
And you will be full of grief at the end of your life, when your flesh and your body are wasted;|Kẻo đến cuối cùng con phải rên siết, Vì thịt và thân thể con đã bị hao mòn,
And you will say, How was teaching hated by me, and my heart put no value on training;|Rồi con nói rằng: Cớ sao tôi ghét lời khuyên dạy, Và lòng tôi khinh bỉ sự quở trách?
I did not give attention to the voice of my teachers, my ear was not turned to those who were guiding me!|Nhơn sao tôi không vâng theo tiếng giáo sư tôi, Và chẳng nghiêng tai qua lời của người dạy dỗ tôi?
I was in almost all evil in the company of the people.|Tại giữa dân sự và hội chúng, Tôi thiếu điều bị sa vào các thứ tai họa.
Let water from your store and not that of others be your drink, and running water from your fountain.|Hãy uống nước hồ con chứa, Và nước chảy trong giếng con.
Let not your springs be flowing in the streets, or your streams of water in the open places.|Các nguồn của con há nên tràn ra ngoài đường, Và các suối của con tuôn nơi phố chợ sao?
Let them be for yourself only, not for other men with you.|Nó khá về một mình con, Chớ thông dụng nó với người ngoại.
Let blessing be on your fountain; have joy in the wife of your early years.|Nguyện nguồn mạch con được phước; Con hãy lấy làm vui thích nơi vợ con cưới buổi đang thì,
As a loving hind and a gentle doe, let her breasts ever give you rapture; let your passion at all times be moved by her love.|Như nai cái đáng thương, và hoàng dương có duyên tốt, Nguyện nương long nàng làm thỏa lòng con luôn luôn, Và ái tình nàng khiến cho con say mê mãi mãi.
Why let yourself, my son, go out of the way with a strange woman, and take another woman in your arms?|Hỡi con, lẽ nào con mê mệt người dâm phụ, Và nâng niu lòng của người ngoại?
For a man's ways are before the eyes of the Lord, and he puts all his goings in the scales.|Vì các đường của loài người ở trước mặt Đức Giê-hô-va; Ngài ban bằng các lối của họ.
The evil-doer will be taken in the net of his crimes, and prisoned in the cords of his sin.|Kẻ hung dữ sẽ bị gian ác mình bắt phải, Và bị dây tội lỗi mình vấn buộc lấy.
He will come to his end for need of teaching; he is so foolish that he will go wandering from the right way.|Nó sẽ chết vì thiếu lời khuyên dạy, Và bị lầm lạc vì ngu dại quá.

					Proverbs 6				|
						Châm Ngôn 6					
My son, if you have made yourself responsible for your neighbour, or given your word for another,|Hỡi con, nếu con có bảo lãnh cho kẻ lân cận mình, Nếu con giao tay mình vì người ngoại,
You are taken as in a net by the words of your mouth, the sayings of your lips have overcome you.|Thì con đã bị lời miệng mình trói buộc, Mắc phải lời của miệng con.
Do this, my son, and make yourself free, because you have come into the power of your neighbour; go without waiting, and make a strong request to your neighbour.|Hỡi con, bởi vì con đã sa vào tay kẻ lân cận con, Hỡi làm điều nầy và giải cứu mình con: Hãy đi hạ mình xuống, nài xin người lân cận con;
Give no sleep to your eyes, or rest to them;|Chớ để cho hai mắt con ngủ, Hoặc mí mắt con chợp lại;
Make yourself free, like the roe from the hand of the archer, and the bird from him who puts a net for her.|Hỡi giải cứu mình khỏi người như con hoàng dương thoát khỏi tay thợ săn, Như con chim thoát khỏi tay kẻ đánh rập.
Go to the ant, you hater of work; give thought to her ways and be wise:|Hỡi kẻ biếng nhác, hãy đi đến loài kiến; Khá xem xét cách ăn ở nó mà học khôn ngoan.
Having no chief, overseer, or ruler,|Tuy nó không có hoặc quan tướng, Hay quan cai đốc, hay là quan trấn,
She gets her meat in the summer, storing up food at the time of the grain-cutting.|Thì nó cũng biết sắm sửa lương phạn mình trong lúc mùa hè, Và thâu trử vật thực nó trong khi mùa gặt.
How long will you be sleeping, O hater of work? when will you get up from your sleep?|Hỡi kẻ biếng nhác, ngươi sẽ nằm cho đến chừng nào? Bao giờ ngươi sẽ ngủ thức dậy?
A little sleep, a little rest, a little folding of the hands in sleep:|Ngủ một chút, chợp mắt một chút, Khoanh tay nằm một chút,
Then loss will come on you like an outlaw, and your need like an armed man|Thì sự nghèo khổ của ngươi sẽ đến như kẻ đi rảo, Và sự thiếu thốn của ngươi tới như người cầm binh khí.
A good-for-nothing man is an evil-doer; he goes on his way causing trouble with false words;|Người nào đi đừng có miệng giả dối, Là một kẻ vô loại, một người gian ác;
Making signs with his eyes, rubbing with his feet, and giving news with his fingers;|Hắn liếc con mắt, dùng chơn mình bày ý, Và lấy ngón tay mình ra dấu;
His mind is ever designing evil: he lets loose violent acts.|Trong lòng hắn vẫn có sự gian tà; Nó toan mưu ác luôn luôn, Và gieo sự tranh cạnh.
For this cause his downfall will be sudden; quickly he will be broken, and there will be no help for him.|Bới cớ ấy, tai họa sẽ xảy đến nó thình lình; Bỗng chúc nó bị bại hoại, không phương thế chữa được.
Six things are hated by the Lord; seven things are disgusting to him:|Có sáu điều Đức Giê-hô-va ghét, Và bảy điều Ngài lấy làm gớm ghiếc:
Eyes of pride, a false tongue, hands which take life without cause;|Con mắt kiêu ngạo, lưỡi dối trá, Tay làm đổ huyết vô tội
A heart full of evil designs, feet which are quick in running after sin;|Lòng toan những mưu ác, Chơn vội vàng chạy đến sự dữ,
A false witness, breathing out untrue words, and one who lets loose violent acts among brothers.|Kẻ làm chứng gian và nói điều dối, Cùng kẻ gieo sự tranh cạnh trong vòng anh em.
My son, keep the rule of your father, and have in memory the teaching of your mother:|Hỡi con, hãy giữ lời răn bảo của cha, Chớ lìa bỏ các phép tắc của mẹ con.
Keep them ever folded in your heart, and have them hanging round your neck.|Khá ghi tạc nó nơi lòng con luôn luôn, Và đeo nó nơi cổ con.
In your walking, it will be your guide; when you are sleeping, it will keep watch over you; when you are awake, it will have talk with you.|Khi con đi, các lời đó sẽ dẫn dắt con; Lúc con ngủ, nó gìn giữ con; Và khi con thúc đẩy, thì nó sẽ trò chuyện với con.
For the rule is a light, and the teaching a shining light; and the guiding words of training are the way of life.|Vì điều răn là một cái đèn, luật pháp là ánh sáng, Và sự quở trách khuyên dạy là con đường sự sống,
They will keep you from the evil woman, from the smooth tongue of the strange woman.|Đặng giữ con khỏi người đờn bà ác nghiệp, Và khỏi lưỡi dua nịnh của dâm phụ.
Let not your heart's desire go after her fair body; let not her eyes take you prisoner.|Lòng con chớ tham muốn sắc nó, Đừng để mình mắc phải mí mắt nó.
For a loose woman is looking for a cake of bread, but another man's wife goes after one's very life.|Vì tại kỵ nữ có người nông nổi chỉ còn một miếng bánh mà thôi; Người dâm phụ vẫn lừa sẵn linh hồn quí báu.
May a man take fire to his breast without burning his clothing?|Há có người nào để lửa trong lòng mình, Mà áo người lại chẳng bị cháy sao?
Or may one go on lighted coals, and his feet not be burned?|Há có ai đi trên than lửa hực, Mà chơn mình lại chẳng bị phồng chăng?
So it is with him who goes in to his neighbour's wife; he who has anything to do with her will not go free from punishment.|Kẻ nào đi tới cùng vợ người lân cận mình cũng vậy; Phàm ai đụng đến nàng ắt chẳng được khỏi bị phạt.
Men do not have a low opinion of a thief who takes food when he is in need of it:|Người ta chẳng khinh dị kẻ trộm, Nếu nó ăn cắp đặng phỉ lòng mình khi đói khát;
But if he is taken in the act he will have to give back seven times as much, giving up all his property which is in his house.|Hễ nó bị bắt, chắc phải thường bồi gấp bảy lần; Nó sẽ nộp hết tài sản của nhà nó.
He who takes another man's wife is without all sense: he who does it is the cause of destruction to his soul.|Kẻ nào phạm tội ngoại tình với người đờn bà, tất vô tâm vô trí: Ai làm như vậy, khiến cho linh hồn mình bị hư mất.
Wounds will be his and loss of honour, and his shame may not be washed away.|Người ấy sẽ bị thương tích và khinh bỉ, Sự sỉ nhục người sẽ chẳng bôi mất đi;
For bitter is the wrath of an angry husband; in the day of punishment he will have no mercy.|Vì sự ghen ghét là điều giận dữ của người nam, Trong ngày báo thù, người không dung thứ;
He will not take any payment; and he will not make peace with you though your money offerings are increased.|Người sẽ chẳng nhận giá đền tội nào hết, Mặc dầu con gia tăng của lễ, người cũng không đặng phỉ ý đâu.

					Proverbs 7				|
