
					Isaiah 1				|
And I will give you judges again as at the first, and wise guides as in the past; then you will be named, The Town of Righteousness, the true town.|Ta sẽ lập các quan xét của ngươi như ngày trước, các mưu sĩ của ngươi như lúc đầu. Rồi sau người ta sẽ xưng ngươi là thành công bình, là ấp trung nghĩa.
Upright acts will be the price of Zion's forgiveness, and by righteousness will men be living there.|Si-ôn sẽ được chuộc bởi sự chánh trực, còn kẻ nào trở lại đó thì được chuộc bởi sự công bình.
But a common destruction will overtake sinners and evil-doers together, and those who have gone away from the Lord will be cut off.|Song những kẻ bạn nghịch và mắc tội sẽ cùng bị hủy diệt, còn kẻ bỏ Đức Giê-hô-va sẽ bị diệt vong.
For you will be put to shame because of the trees of your desire, and because of the gardens of your pleasure.|Vậy các ngươi sẽ hổ thẹn vì những cây thông mình ưa; mắc cỡ vì những vườn mình đã chọn.
For you will be like a tree whose leaves have become dry, and like a garden without water.|Vì các ngươi sẽ giống như cây thông khô lá, như vườn không nước.
And the strong will be as food for the fire, and his work as a flame; and they will be burned together, with no one to put out the fire.|Người mạnh sẽ như bã gai, việc làm của nó như đóm lửa; cả hai sẽ cùng nhau cháy, chẳng có ai giập tắt.

					Isaiah 2				|
						I-sai-a 2					
The word which Isaiah, the son of Amoz, saw about Judah and Jerusalem.|Lời mà Ê-sai, con trai A-mốt, đã thấy về Giu-đa và Giê-ru-sa-lem.
And it will come about in the last days, that the mountain of the Lord will be placed on the top of the mountains, and be lifted up over the hills; and all nations will come to it.|Sẽ xảy ra trong những ngày sau rốt, núi của nhà Đức Giê-hô-va sẽ được lập vững trên đỉnh các núi, cao hơn các đồi. Mọi nước sẽ đổ về đó,
And the peoples will say, Come, and let us go up to the mountain of the Lord, to the house of the God of Jacob: and he will give us knowledge of his ways, and we will be guided by his word; for out of Zion the law will go out, and the word of the Lord from Jerusalem.|và nhiều dân tộc sẽ đến mà nói rằng: Hãy đến; chúng ta hãy lên núi Đức Giê-hô-va, nơi nhà Đức Chúa Trời của Gia-cốp: Ngài sẽ dạy chúng ta về đường lối Ngài, chúng ta sẽ đi trong các nẻo Ngài. Vì luật pháp sẽ ra từ Si-ôn, lời Đức Giê-hô-va sẽ ra từ Giê-ru-sa-lem.
And he will be the judge between the nations, and the peoples will be ruled by his decisions: and their swords will be turned into plough-blades, and their spears into vine-knives: no longer will the nations be turning their swords against one another, and the knowledge of war will be gone for ever.|Ngài sẽ làm sự phán xét trong các nước, đoán định về nhiều dân. Bấy giờ họ sẽ lấy gươm rèn lưỡi cày, lấy giáo rèn lưỡi liềm. Nước nầy chẳng còn giá gươm lên nghịch cùng nước khác, người ta chẳng còn tập sự chiến tranh.
O family of Jacob, come, and let us go in the light of the Lord.|Hỡi nhà Gia-cốp, hãy đến, chúng ta hãy bước đi trong sự sáng của Đức Giê-hô-va.
For you, O Lord, have given up your people, the family of Jacob, because they are full of the evil ways of the east, and make use of secret arts like the Philistines, and are friends with the children of strange countries.|Thật Chúa đã bỏ dân Ngài, là nhà Gia-cốp, vì họ đầy dẫy tục phương đông, và bói khoa như người Phi-li-tin, lại giao ước với con cái dân ngoại.
And their land is full of silver and gold, and there is no end to their stores; their land is full of horses, and there is no end to their carriages.|Xứ nó đầy bạc và vàng, của cải vô cùng; xứ nó đầy những ngữa, xe cộ vô số.
Their land is full of images; they give worship to the work of their hands, even to that which their fingers have made.|Xứ nó chan chứa những hình tượng, họ thờ lạy đồ tay mình làm ra, đồ ngón tay mình tạo nên.
And the poor man's head is bent, and the great man goes down on his face: for this cause there will be no forgiveness for their sin.|Kẻ hèn sẽ bị khuất, người sang sẽ bị hạ mình; vậy Chúa đừng tha họ!
Go into a hole in the rock, covering yourselves with dust, in fear of the Lord, before the glory of his power.|Ngươi khá vào nơi vầng đá, ẩn mình trong bụi đất, đặng tránh khỏi sự kinh khiếp Đức Giê-hô-va và sự chói sáng của uy nghiêm Ngài.
The high looks of man will be put to shame, and the pride of men will be made low, and only the Lord will be lifted up in that day.|Con mắt ngó cao của loài người sẽ bị thấp xuống, sự kiêu ngạo của người ta sẽ bị hạ đi; trong ngày đó chỉ Đức Giê-hô-va là tôn trọng.
For the day of the Lord of armies is coming on all the pride of men, and on all who are high and lifted up;|Vì sẽ có một ngày của Đức Giê-hô-va vạn quân đến trên mọi vật kiêu căng, ngạo mạn, tự cao; nó sẽ bị hạ xuống;
And on all the high trees of Lebanon, and on all the strong trees of Bashan;|lại đến trên mọi cây dẽ của Ba-san;
And on all the high mountains, and on all the hills which are lifted up;|cùng trên mọi núi cao, mọi đồi cả,
And on every high tower, and on every strong wall;|trên mọi tháp cao và mọi vách thành vững bền,
And on all the ships of Tarshish, and on all the fair boats.|trên mọi tàu bè của Ta-rê-si, và mọi vật chi đẹp mắt.
And the high looks of man will be put to shame, and the pride of men will be made low: and only the Lord will be lifted up in that day.|Sự tự cao của loài người sẽ bị dằn xuống, và sự cậy mình của người ta sẽ bị hạ đi; trong ngày đó chỉ Đức Giê-hô-va là tôn trọng.
And the images will never be seen again.|Bấy giờ các thần tượng sẽ qua hết đi.
And men will go into cracks of the rocks, and into holes of the earth, for fear of the Lord, and before the glory of his power, when he comes out of his place, shaking the earth with his strength.|Người ta sẽ vào trong hang đá, trong hầm đất, đặng tránh khỏi sự kinh khiếp Đức Giê-hô-va và sẽ chói sáng của uy nghiêm Ngài, khi Ngài dấy lên đặng làm rúng động đất cách mạnh lắm.
In that day men will put their images of silver and of gold, which they made for worship, in the keeping of the beasts of the dark places;|Trong ngày đó, người ta sẽ ném cho chuột cho dơi những thần tượng bằng bạc bằng vàng mà họ làm ra cho mình thờ lạy;
To take cover in the cracks of the rocks, and in the holes of the hills, for fear of the Lord, and before the glory of his power, when he comes out of his place, shaking the earth with his strength.|và vào trong hang đá, trong kẽ đá, đặng tránh khỏi sự kinh khiếp Đức Giê-hô-va và sự chói sáng của uy nghiêm Ngài, khi Ngài dấy lên đặng làm rúng động đất cách mạnh lắm.
Have no more to do with man, whose life is only a breath, for he is of no value.|Chớ cậy ở loài người, là loài có hơi thở trong lỗ mũi; vì họ nào có đáng kể gì đâu?

					Isaiah 3				|
						I-sai-a 3					
For the Lord, the Lord of armies, is about to take away from Jerusalem and from Judah all their support; their store of bread and of water;|Nầy, Chúa, là Đức Giê-hô-va vạn quân, sẽ cất lấy chói và gậy khỏi Giê-ru-sa-lem và Giu-đa, tức là cả bánh nó cậy và cả nước nó nhờ.
The strong man and the man of war; the judge and the prophet; the man who has knowledge of secret arts, and the man who is wise because of his years;|Ngài sẽ cất lấy những người mạnh mẽ, chiến sĩ, quan xét, đấng tiên tri, thầy bói, trưởng lão,
The captain of fifty, and the man of high position, and the wise guide, and the wonder-worker, and he who makes use of secret powers.|cai đội, dòng quí phái, mưu sĩ, lương công, và thuật sĩ.
And I will make children their chiefs, and foolish ones will have rule over them.|Ta sẽ ban cho họ những người trai trẻ làm quan trưởng, và con nít sẽ cai trị họ.
And the people will be crushed, every one by his neighbour; the young will be full of pride against the old, and those of low position will be lifted up against the noble.|Dân sự hà hiếp nhau, người với người, lân cận với lân cận; con nít lấn lướt kẻ già cả, người hèn hạ lấn lướt người tôn trọng.
When one man puts his hand on another in his father's house, and says, You have clothing, be our ruler and be responsible for us in our sad condition:|Khi một người sẽ bắt anh em mình tại nhà cha mà nói với rằng: Ngươi có áo choàng; hãy làm đầu chúng ta, và sự bại hoại nầy hãy thuộc về dưới tay ngươi!
Then he will say with an oath, I will not be a helper, for in my house there is no bread or clothing: I will not let you make me a ruler of the people.|Trong ngày đó người kia lên tiếng đáp rằng: Không, ta không làm thầy chữa lành, và trong nhà ta không có bánh cũng không có áo; chớ lập ta làm quan cai dân sự.
For Jerusalem has become feeble, and destruction has come on Judah, because their words and their acts are against the Lord, moving the eyes of his glory to wrath.|Giê-ru-sa-lem phải nghiêng úp, và Giu-đa xiêu đổ; vì lời nói việc làm của họ nghịch cùng Đức Giê-hô-va, và trêu chọc con mắt của uy nghiêm Ngài.
Their respect for a man's position is a witness against them; and their sin is open to the view of all; like that of Sodom, it is not covered. A curse on their soul! for the measure of their sin is full.|Bộ mặt họ làm chứng nghịch cùng mình; họ bêu tội rõ ràng như thành Sô-đôm chẳng giấu chút nào. Khốn thay cho linh hồn họ! vì họ đã làm hại cho mình!
Happy is the upright man! for he will have joy of the fruit of his ways.|Hãy rao cho kẻ công bình được phước; vì họ sẽ ăn trái của việc làm mình.
Unhappy is the sinner! for the reward of his evil doings will come on him.|Khốn cho kẻ hung ác, ắt mang họa! Vì họ sẽ thâu lại việc tự tay mình làm ra!
As for my people, their ruler is acting like a child, and those who have authority over them are women. O my people, your guides are the cause of your wandering, turning your footsteps out of the right way.|Dân ta bị con nít hà hiếp, và đờn bà cai trị nó. Hỡi dân ta, kẻ dẫn ngươi làm cho ngươi sai lạc, và họ phá hoại đường lối ngươi.
The Lord is ready to take up his cause against his people, and is about to come forward as their judge.|Đức Giê-hô-va dấy lên đặng biện luận, Ngài đứng mà xét đoán các dân.
The Lord comes to be the judge of their responsible men and of their rulers: it is you who have made waste the vine-garden, and in your houses is the property of the poor which you have taken by force.|Đức Giê-hô-va xét đoán các trưởng lão của dân Ngài với các quan trưởng nó: Ay chính các ngươi là kẻ đã nuốt vườn nho; của cướp bóc kẻ nghèo đương ở trong nhà các ngươi!
By what right are you crushing my people, and putting a bitter yoke on the necks of the poor? This is the word of the Lord, the Lord of armies.|Các ngươi có ý gì mà đè ép dân ta, giày vò mặt kẻ nghèo khó? Chúa, là Đức Giê-hô-va vạn quân, phán vậy.
Again, the Lord has said, Because the daughters of Zion are full of pride, and go with outstretched necks and wandering eyes, with their foot-chains sounding when they go:|Đức Giê-hô-va lại phán rằng: Vì những con gái Si-ôn kiêu ngạo, ngóng cổ bước tới, liếc mắt trêu ngươi, vừa đi õng ẹo, vừa khua động tiếng dưới chơn,
The Lord will send disease on the heads of the daughters of Zion, and the Lord will let their secret parts be seen.|nên Chúa sẽ làm cho đỉnh đầu con gái Si-ôn đóng vảy, và Đức Giê-hô-va sẽ lột truồng chúng nó.
In that day the Lord will take away the glory of their foot-rings, and their sun-jewels, and their moon-ornaments,|Trong ngày đó, Chúa sẽ cất những vòng mắt cá họ trang sức đi, cái lưới và cái cài;
The ear-rings, and the chains, and the delicate clothing,|hoa tai, xuyến và lúp;
The head-bands, and the arm-chains, and the worked bands, and the perfume-boxes, and the jewels with secret powers,|mão, chuyền mắt cá, nít lưng, hợp hương và bùa đeo;
The rings, and the nose-jewels,|cà rá và khoen đeo mũi;
The feast-day dresses, and the robes, and the wide skirts, and the handbags,|áo lễ, áo lá rộng, áo choàng, túi nhỏ;
The looking-glasses, and the fair linen, and the high head-dresses, and the veils.|gương tay, vải mỏng, khăn bịt đầu và màn che mặt.
And in the place of sweet spices will be an evil smell, and for a fair band a thick cord; for a well-dressed head there will be the cutting-off of the hair, and for a beautiful robe there will be the clothing of sorrow; the mark of the prisoner in place of the ornaments of the free.|Sẽ có mùi hôi hám thay vì thơm tho; dây tói thay vì nịt lưng; đầy sói thay vì tóc quăn; bao gai quấn mình thay vì áo dài phấp phới; dấu phỏng thay vì sắc đẹp.
Your men will be put to the sword, and your men of war will come to destruction in the fight.|Lính chiến ngươi sẽ ngã dưới gươm, những kẻ anh hùng ngươi sẽ bị tử trận.
And in the public places of her towns will be sorrow and weeping; and she will be seated on the earth, waste and uncovered.|Các cửa nó sẽ than khóc và thảm sầu; nó vắng vẻ ngồi trên đất.

					Isaiah 4				|
						I-sai-a 4					
And in that day seven women will put their hands on one man, saying, There will be no need for you to give us food or clothing, only let us go under your name, so that our shame may be taken away.|Trong ngày đó, bảy người nữ sẽ bắt lấy một người nam, và nói rằng: Chúng tôi ăn bánh của mình, mặc áo của mình; chỉ xin cho phép chúng tôi mang danh ngươi; hãy cất sự xấu hổ của chúng tôi đi.
In that day will the young growth of the Lord be beautiful in glory, and the fruit of the earth will be the pride of those who are still living in Israel.|Trong ngày đó, chồi của Đức Giê-hô-va sẽ làm đồ trang sức vinh hiển của những kẻ sót lại trong Y-sơ-ra-ên, sản vật dưới đất sẽ làm sự tốt đẹp cho chúng nó.
And it will come about that the rest of the living in Zion, and of those who have been kept from destruction in Jerusalem, will be named holy, even everyone who has been recorded for life in Jerusalem:|Phàm những kẻ còn ở lại Si-ôn, những kẻ sót lại ở Giê-ru-sa-lem, tức là những kẻ ở Giê-ru-sa-lem được chép vào sổ người sống, thì sẽ được xưng là thánh;
When Zion has been washed from her sin by the Lord, and Jerusalem made clean from her blood by a judging and a burning wind.|khi Chúa đem thần công bình cùng thần thiêu đốt mà rửa sự ô uế của những con gái Si-ôn, tẩy sạch huyết Giê-ru-sa-lem khỏi giữa nó.
And over every living-place on Mount Zion, all over all her meetings, the Lord will make a cloud and smoke by day, and the shining of a flaming fire by night, for over all, the glory of the Lord will be a cover and a tent;|Trên khắp nơi núi Si-ôn, trên khắp các hội nó, Đức Giê-hô-va sẽ dựng lên một đám mây bọc khói trong ban ngày, và ngọn lửa soi sáng trong ban đêm. Vì một cái màn sẽ che cả sự vinh hiển:
And a shade in the daytime from the heat, and a safe cover from storm and from rain.|sẽ có trại làm bóng mát tránh nắng ban ngày, và dùng làm nơi núp chổ đụp cho khỏi gió táp mưa sa.

					Isaiah 5				|
						I-sai-a 5					
Let me make a song about my loved one, a song of love for his vine-garden. My loved one had a vine-garden on a fertile hill:|Ta sẽ hát cho bạn rất yêu dấu ta một bài ca của bạn yêu dấu ta về việc vườn nho người. Bạn rất yêu dấu ta có một vườn nho ở trên gò đất tốt.
And after working the earth of it with a spade, he took away its stones, and put in it a very special vine; and he put up a watchtower in the middle of it, hollowing out in the rock a place for the grape-crushing; and he was hoping that it would give the best grapes, but it gave common grapes.|Người khai phá ra; cất bỏ những đá; trồng những gốc nho xinh tốt; dựng một cái tháp giữa vườn, và đào một nơi ép rượu. Vả, người mong rằng sẽ sanh trái nho; nhưng nó lại sanh trái nho hoang.
And now, you people of Jerusalem and you men of Judah, be the judges between me and my vine-garden.|Hỡi dân ở Giê-ru-sa-lem cùng người Giu-đa, vậy thì bây giờ ta xin các ngươi hãy đoán xét giữa ta với vườn nho ta.
Is there anything which might have been done for my vine-garden which I have not done? why then, when I was hoping for the best grapes did it give me common grapes?|Có điều chi nên làm cho vườn nho ta mà ta không làm cho nó chăng? Cớ sao khi ta mong sanh trái nho, thì nó lại sanh trái nho hoang vậy?
And now, this is what I will do to my vine-garden: I will take away the circle of thorns round it, and it will be burned up; its wall will be broken down and the beasts of the field will go through it;|Nầy, ta sẽ bảo các ngươi về điều ta định làm cho vườn nho ta: Ta phá rào, nó sẽ bị cắn nuốt; ta hạ tường xuống, nó sẽ bị giày đạp.
And I will make it waste; its branches will not be touched with the knife, or the earth worked with the spade; but blackberries and thorns will come up in it: and I will give orders to the clouds not to send rain on it.|Ta sẽ để nó hoang loạn, chẳng tỉa sửa, chẳng vun xới; nhưng tại đó sẽ mọc lên những gai gốc và chà chuôm; ta lại truyền cho mây đừng làm mưa xuống trên nó nữa.
For the vine-garden of the Lord of armies is the people of Israel, and the men of Judah are the plant of his delight: and he was looking for upright judging, and there was blood; for righteousness, and there was a cry for help.|Vả, vườn nho của Đức Giê-hô-va vạn quân, ấy là nhà Y-sơ-ra-ên, và những người của Giu-đa tức là cây mà Ngài ưa thích. Ngài trông họ được công chính, mà nầy, có sự bạo ngược; trông được công bình, mà nầy, có tiếng kêu la.
Cursed are those who are joining house to house, and putting field to field, till there is no more living-space for any but themselves in all the land!|Khốn thay cho những kẻ thêm nhà vào nhà, thêm ruộng vào ruộng, cho đến chừng nào chẳng còn chỗ hở nữa, và các ngươi ở một mình giữa xứ!
The Lord of armies has said to me secretly, Truly, numbers of great and fair houses will be waste, with no one living in them.|Đức Giê-hô-va vạn quân có phán vào tai tôi những lời nầy: Thật nhiều nhà sẽ bỏ hoang, những nhà ấy lớn và đẹp mà chẳng có người ở!
For ten fields of vines will only give one measure of wine, and a great amount of seed will only give a small measure of grain.|Ay vậy, mười mẫu vườn nho chỉ sanh được một bát rượu; một ô-me hột giống chỉ được một ê-pha.
Cursed are those who get up early in the morning to give themselves up to strong drink; who keep on drinking far into the night till they are heated with wine!|Khốn thay cho kẻ dậy sớm đặng tìm kiếm rượu, chầy đến ban đêm, phát nóng vì rượu!
And corded instruments and wind-instruments and wine are in their feasts: but they give no thought to the work of the Lord, and they are not interested in what his hands are doing.|Trong tiệc yến họ có những đờn cầm, đờn sắt, trống cơm, ống sáo và rượu nữa, những chẳng thiết đến công việc Đức Giê-hô-va; họ chẳng xem xét công trình của tay Ngài.
For this cause my people are taken away as prisoners into strange countries for need of knowledge: and their rulers are wasted for need of food, and their loud-voiced feasters are dry for need of water.|Vậy nên, dân ta phải bắt làm phu tù, vì không hiểu biết; kẻ sang nó chịu đói, chúng dân nó chịu khát.
For this cause the underworld has made wide its throat, opening its mouth without limit: and her glory, and the noise of her masses, and her loud-voiced feasters, will go down into it.|Vậy nên sự ham muốn của âm phủ đã rộng thêm, hả miệng vô ngần, sự vinh hiển nó, dân chúng nó, sự sang trọng nó đều sa xuống đó.
And the poor man's head is bent, and the great man goes down on his face, and the eyes of pride are put to shame:|Kẻ hèn bị khuất; kẻ tôn trọng bị thấp hèn, con mắt người cao ngạo bị hạ xuống;
But the Lord of armies is lifted up as judge, and the Holy God is seen to be holy in righteousness.|song Đức Giê-hô-va vạn quân lên cao trong sự công chính, Đức Chúa Trời là Đấng Thánh nên thánh trong sự công bình.
Then the lambs will get food as in their grass-lands, and the fat cattle will be feasting in the waste places.|Bấy giờ những chiên con sẽ ăn cỏ như trong đồng cỏ mình, người ngụ cư sẽ ăn ruộng hoang của kẻ giàu.
Cursed are those who make use of ox-cords for pulling the evil thing, and the bands of a young ox for their sin!|Khốn thay cho kẻ lấy sự dối trá làm dây kéo sự gian ác theo sau, và như dùng đỏi xe kéo tội lỗi;
Who say, Let him do his work quickly, let him make it sudden, so that we may see it: let the design of the Holy One of Israel come near, so that it may be clear to us.|họ nói: Xin vội vã kíp làm nên công việc Ngài, hầu cho chúng tôi thấy! Nguyền xin mưu của Đấng Thánh Y-sơ-ra-ên hãy lại gần, hãy tới đến, cho chúng tôi được biết!
Cursed are those who give the name of good to evil, and of evil to what is good: who make light dark, and dark light: who make bitter sweet, and sweet bitter!|Khốn thay cho kẻ gọi dữ là lành, gọi lành là dữ; lấy tối làm sáng, lấy sáng làm tối; vậy chi cay trở cho là ngọt, vật chi ngọt trở cho là cay.
Cursed are those who seem wise to themselves, and who take pride in their knowledge!|Khốn thay cho kẻ chính mắt mình coi mình là khôn ngoan, tự mình xét đoán mình là thông sáng!
Cursed are those who are strong to take wine, and great in making mixed drinks!|Khốn thay cho kẻ mạnh uống rượu, có sức lực đặng pha các thức uống hay say;
Who for a reward give support to the cause of the sinner, and who take away the righteousness of the upright from him.|vì hối lộ mà xưng kẻ có tội là công bình, và cướp lấy sự công bình của người nghĩa!
For this cause, as the waste of the grain is burned up by tongues of fire, and as the dry grass goes down before the flame, so their root will be like the dry stems of grain, and their flower will go up in dust: because they have gone against the law of the Lord of armies, and have given no honour to the word of the Holy One of Israel.|Vậy nên, như lửa đốt gốc rạ và rơm cháy thiêu trong ngọn lửa thể nào, thì rễ họ cùng mục nát và hoa họ cùng bay đi như bụi đất thể ấy; vì họ đã bỏ luật pháp của Đức Giê-hô-va vạn quân, và khinh lời của Đấng Thánh Y-sơ-ra-ên.
For this reason the wrath of the Lord has been burning against his people, and his hand has been stretched out against them in punishment, and the hills were shaking, and their dead bodies were like waste in the open places of the town.|Nhơn đó, cơn thạnh nộ của Đức Giê-hô-va phừng lên nghịch cùng dân Ngài. Ngài đã giơ tay nghịch cùng nó và đánh nó; núi non đều rúng động: xác chết chúng nó như phân ngang ngửa giữa đường. Dầu vậy, cơn giận Ngài chẳng lánh khỏi, nhưng tay Ngài còn giơ ra.
And he will let a flag be lifted up as a sign to a far-off nation, whistling to them from the ends of the earth: and they will come quickly and suddenly.|Ngài dựng cờ lên hướng về các dân tộc ở xa cách, và xuýt mà gọi họ từ nơi đầu cùng đất; và nầy, họ lật đật chạy đến, kíp và mau.
There is no weariness among them, and no man is feeble-footed: they come without resting or sleeping, and the cord of their shoes is not broken.|Trong đám họ không một người nào mỏi mệt, chẳng ai vấp váp, chẳng ai ngủ gật hoặc ngủ mê; không ai có dây lưng tháo ra hoặc dây giày đứt.
Their arrows are sharp, and every bow is bent: the feet of their horses are like rock, and their wheels are like a rushing storm.|Tên của họ đã nhọn, cung đã giương; vó ngựa cứng dường đá, bánh xe như gió lốc.
The sound of their armies will be like the voice of a lion, and their war-cry like the noise of young lions: with loud cries they will come down on their food and will take it away safely, and there will be no one to take it out of their hands.|Tiếng gầm khác nào sư tử cái; rống như sư tử con; chúng nó sẽ rống và bắt mồi đem đi, không ai cứu được.
And his voice will be loud over him in that day like the sounding of the sea: and if a man's eyes are turned to the earth, it is all dark and full of trouble; and the light is made dark by thick clouds.|Trong ngày đó, sẽ có tiếng gầm nghịch cùng nó khác nào tiếng sóng biển ầm ầm; nếu người ta nó vào xứ, chỉ thấy tối tăm và khốn nạn: sự sáng sẽ bị che tối bước các chòm mây.

					Isaiah 6				|
						I-sai-a 6					
