
					Ezra 1				|
The men of Michmas, a hundred and twenty-two.|người Mích-ba, một trăm hai hai mươi hai;
The men of Beth-el and Ai, two hundred and twenty-three.|người Bê-tên và A-hi, hai trăm hai mươi ba;
The children of Nebo, fifty-two.|họ Nê-bô, năm mươi hai;
The children of Magbish, a hundred and fifty-six.|họ Mác-bi một trăm năm mươi sáu;
The children of the other Elam, a thousand, two hundred and fifty-four.|họ Ê-lam khác, một ngàn hai trăm năm mươi bốn;
The children of Harim, three hundred and twenty.|họ Ha-rim, ba trăm hai mươi;
The children of Lod, Hadid, and Ono, seven hundred and twenty-five.|họ Lô-đơ, họ Ha-đít, và họ Ô-nô, bảy trăm hai mươi lăm;
The children of Jericho, three hundred and forty-five.|người Giê-ri-cô, ba trăm bốn mươi lăm;
The children of Senaah, three thousand, six hundred and thirty.|họ Sê-na, ba ngàn sáu trăm ba mươi.
The priests: the children of Jedaiah, of the house of Jeshua, nine hundred and seventy-three.|Những thầy tế lễ: họ Giê-đa-gia, thuộc về chi phái Giê-sua, chín trăm bảy mươi ba;
The children of Immer, a thousand and fifty-two.|họ Y-mê, một ngàn hăm mươi hai;
The children of Pashhur, a thousand, two hundred and forty-seven.|họ Pha-su-rơ, một ngàn hai trăm bốn mươi bảy;
The children of Harim, a thousand and seventeen.|họ Ha-rim, một ngàn mười bảy.
The Levites: the children of Jeshua and Kadmiel, of the children of Hodaviah, seventy-four.|Các người Lê-vi: họ Giê-sua và Cát-mi-ên, con cháu của Hô-đa-via, bảy mươi bốn.
The music-makers: the children of Asaph, a hundred and twenty-eight|Những người ca hát: họ A-sáp, một trăm hai mươi tám.
The children of the door-keepers: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, a hundred and thirty-nine.|Các con cháu kẻ giữ cửa: con cháu Sa-lum, con cháu A-te, con cháu Tanh-môn, con cháu A-cúp, con cháu Ha-ti-ta, con cháu Sô-bai, cộng hết thảy là một trăm ba mươi chín người.
The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,|Kẻ phục dịch trong đền thờ: Con cháu Xi-ha, con cháu Ha-su-pha, con cháu Ta-ba-ốt,
The children of Keros, the children of Siaha, the children of Padon,|con cháu Kê-rốt, con cháu Sia-ha, con cháu Ba-đôn,
The children of Lebanah, the children of Hagabah, the children of Akkub,|con cháu Lê-ba-na, con cháu Ha-ga-ba, con cháu A-cúp,
The children of Hagab, the children of Shamlai, the children of Hanan,|con cháu Ha-gáp, con cháu Sam-lai, con cháu Ha-nan,
The children of Giddel, the children of Gahar, the children of Reaiah,|con cháu Ghi-đên, con cháu Ga-cha, con cháu Rê -a-gia,
The children of Rezin, the children of Nekoda, the children of Gazzam,|con cháu Rê-xin, con cháu Nê-cô-đa, con cháu Ga-xam,
The children of Uzza, the children of Paseah, the children of Besai,|con cháu U-xa, con cháu Pha-sê -a, con cháu Bê-sai,
The children of Asnah, the children of Meunim, the children of Nephisim,|con cháu A-sê-na, con cháu Mê -u-nim, con cháu Nê-phu-sim,
The children of Bakbuk, the children of Hakupha, the children of Harhur,|con cháu Bác-búc, con cháu Ha-cu-pha, con cháu Ha-rua,
The children of Bazluth, the children of Mehida, the children of Harsha,|con cháu Ba-lút, con cháu Mê-hi-đa, con cháu Hạt-sa,
The children of Barkos, the children of Sisera, the children of Temah,|con cháu Bạt-cô, con cháu Si-sê-ra, con cháu Tha-mác,
The children of Neziah, the children of Hatipha.|con cháu Nê-xia, con cháu Ha-ti-pha.
The children of Solomon's servants: the children of Sotai, the children of Hassophereth, the children of Peruda,|Con cháu của các tôi tớ Sa-lô-môn: con cháu Sô-tai, con cháu Sô-phê-rết, con cháu Phê-ru-đa,
The children of Jaalah, the children of Darkon, the children of Giddel,|con cháu Gia -a-la, con cháu Đạt-côn, con cháu Ghi-đên,
The children of Shephatiah, the children of Hattil, the children of Pochereth-hazzebaim, the children of Ami.|con cháu Sê-pha-ti -a, con cháu Hát-tinh, con cháu Bô-kê-rết-Ha-xê-ba-im, con cháu A-mi.
All the Nethinim, and the children of Solomon's servants, were three hundred and ninety-two.|Tổng cộng những người phục dịch trong đền thờ và các con cháu của những tôi tớ Sa-lô-môn, đều là ba trăm chín mươi hai người.
And these were the people who went up from Tel-melah, Tel-harsha, Cherub, Addan, and Immer. But having no knowledge of their fathers' families or offspring, it was not certain that they were Israelites;|Nầy là những người ở Tên-Mê-la. Tên-Hạt-sa, Kê-rúp -A-đan, và Y-mê trở lên, không thể nói rõ gia tộc và phổ hệ mình, đặng chỉ rằng mình thuộc về dòng dõi Y-sơ-ra-ên hay chăng:
The children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred and fifty-two.|con cháu Đê-la-gia, con cháu Tô-bi-gia, con cháu Nê-cô-đa, đều sáu trăm năm mươi hai người.
And of the children of the priests: the children of Habaiah, the children of Hakkoz, the children of Barzillai, who was married to one of the daughters of Barzillai the Gileadite, and took their name.|Trong dòng dõi thầy tế lễ: con cháu Ha-ba-gia, con cháu Ha-cốt, con cháu Bạt-xi-lai. Người ấy có cưới một con gái của Bạt-xi-lai ở Ga-la-át, nên được gọi bằng tên ấy.
They made search for their record among the lists of families, but their names were nowhere to be seen; so they were looked on as unclean and no longer priests.|Các người ấy tìm gia phổ mình, nhưng chẳng tìm đặng; nên người ta kể họ là ô uế, và họ bị truất khỏi chức tế lễ.
And the Tirshatha said that they were not to have the most holy things for their food, till a priest came to give decision by Urim and Thummim.|Quan tổng đốc cấm chúng ăn những vật chí thánh cho đến chừng nào có thầy tế lễ cậy U-rim và Thu-mim mà cầu hỏi Đức Chúa Trời.
The number of all the people together was forty-two thousand, three hundred and sixty,|Cả hội chúng đếm được bốn vạn hai ngàn ba trăm sáu mươi người,
As well as their men-servants and their women-servants, of whom there were seven thousand, three hundred and thirty-seven: and they had two hundred men and women to make music.|chẳng kể những tôi trai tớ gái; số chúng nó là bảy ngàn ba trăm ba mươi bảy. Cũng có hai trăm người nam nữ ca hát theo cùng họ nữa.
They had seven hundred and thirty-six horses, two hundred and forty-five transport beasts,|Chúng có bảy trăm ba mươi sáu con ngựa, hai trăm bốn mươi lăm con la,
Four hundred and thirty-five camels, six thousand, seven hundred and twenty asses.|bốn trăm ba mươi lăm con lạc đà, và sáu ngàn bảy trăm hai mươi con lừa.
And some of the heads of families, when they came to the house of the Lord which is in Jerusalem, gave freely of their wealth for the building up of the house of God in its place:|Có nhiều trưởng tộc, khi đã đến đền thờ của Đức Giê-hô-va tại Giê-ru-sa-lem, thì dâng những của lễ lạc ý cho nhà Đức Chúa Trời, để xây cất nó lại chỗ cũ.
Every one, as he was able, gave for the work sixty-one thousand darics of gold, five thousand pounds of silver and a hundred priests' robes.|Tùy theo sức mình, chúng dâng vào kho của cuộc xây cất đến sáu mươi mốt ngàn đa-riếc vàng, năm ngàn min bạc, và một trăm bộ áo thấy tế lễ.
So the priests and the Levites and the people and the music-makers and the door-keepers and the Nethinim, took up their places in their towns; even all Israel in their towns.|Vậy, những thầy tế lễ, người Lê-vi, mấy người dân, người ca hát, kẻ giữ cửa, những người phục dịch trong đền thờ, và cả dân Y-sơ-ra-ên, thảy đều ở trong bổn thành mình.

					Ezra 3				|
						Ê-xơ-ra 3					
And when the seventh month came, and the children of Israel were in the towns, the people came together like one man to Jerusalem.|Đến tháng bảy, khi dân Y-sơ-ra-ên đã ở trong bổn thành mình rồi, thì dân sự hiệp lại như một người ở tại Giê-ru-sa-lem.
Then Jeshua, the son of Jozadak, and his brothers the priests, and Zerubbabel, the son of Shealtiel, with his brothers, got up and made the altar of the God of Israel for burned offerings as is recorded in the law of Moses, the man of God.|Bấy giờ, Giê-sua, con trai của Giô-sa-đác, và các anh em người, là thầy tế lễ, luôn với Xô-rô-ba-bên, con trai Sa-anh-thi-ên, và các anh em người, đều chổi dậy xây cất bàn thờ Đức Chúa Trời ở Y-sơ-ra-ên, đặng dâng của lễ thiêu tại đó, theo như đã chép trong luật pháp Môi-se, người của Đức chúa Trời.
They put the altar on its base; for fear was on them because of the people of the countries: and they made burned offerings on it to the Lord, even burned offerings morning and evening.|Chúng sợ hãi dân của xứ, nên lập lại bàn thờ trên nền cũ nó, và dâng tại đó của lễ thiêu cho Đức Giê-hô-va, tức là của lễ thiêu buổi sớm và buổi chiều.
And they kept the feast of tents, as it is recorded, making the regular burned offerings every day by number, as it is ordered; for every day what was needed.|Chúng cũng giữ lễ lều tạm, y như đã chép, và dâng những của lễ thiêu ngày nầy kế ngày kia, theo số đã định cho mỗi ngày.
And after that, the regular burned offering and the offerings for the new moons and all the fixed feasts of the Lord which had been made holy, and the offering of everyone who freely gave his offering to the Lord.|Sau ấy, chúng dâng những của lễ thiêu hằng hiến, luôn những của lễ về lễ trăng non và về các ngày lễ trọng thể biệt ra thánh cho Đức Giê-hô-va; lại dâng các của lễ của mỗi người lạc ý dâng cho Đức Giê-hô-va.
From the first day of the seventh month they made a start with the burned offerings, but the base of the Temple of the Lord had still not been put in its place.|Từ ngày mồng một tháng bảy, chúng khởi dâng những của lễ thiêu cho Đức Giê-hô-va.
And they gave money to the stoneworkers and woodworkers; and meat and drink and oil to the people of Zidon and of Tyre, for the transport of cedar-trees from Lebanon to the sea, to Joppa, as Cyrus, king of Persia, had given them authority to do.|Chúng phân cấp tiền bạc cho thợ đẽo đá và cho thợ mộc, luôn những lương thực, rượu, và dầu cho dân Si-đôn và dân Ty-rơ, đặng sai họ đem gỗ bá hương từ Li-ban đến biển Gia-phô, tùy theo chiếu của Si-ru, vua Phe-rơ-sơ.
Now in the second year of their coming into the house of God in Jerusalem, in the second month, the work was taken in hand by Zerubbabel, the son of Shealtiel, and Jeshua, the son of Jozadak, and the rest of their brothers the priests and the Levites, and all those who had come from the land where they were prisoners to Jerusalem: and they made the Levites, of twenty years old and over, responsible for overseeing the work of the house of the Lord.|Năm thứ hai tháng hai, sau khi chúng đến đền của Đức Chúa Trời tại Giê-ru-sa-lem, Xô-rô-ba-bên, con trai của Sa-anh-thi-ên, và Giê-sua, con của Giô-xa-đác, với các anh em khác của họ, là những thầy tế lễ, người Lê-vi, cùng hết thảy những người bị bắt làm phu tù được trở về Giê-ru-sa-lem, đều khởi làm công việc xây cất đền thờ; chúng đặt người Lê-vi, từ hai mươi tuổi sắp lên, đặng cai quản công việc xây cất đền thờ của Đức Giê-hô-va.
Then Jeshua with his sons and his brothers, Kadmiel with his sons, the sons of Hodaviah, together took up the work of overseeing the workmen in the house of God: the sons of Henadad with their sons and their brothers, the Levites.|Bấy giờ, Giê-sua, các con trai người và anh em người, Cát-mi-ên và các con trai người, con cháu Hô-đa-via và con cháu Hê-na-đát, là người Lê-vi, với con trai và anh em của họ, đều chổi dậy đồng hiệp nhau như một, mà quản đốc những người làm việc trong nhà của Đức Chúa Trời.
And when the builders put in position the base of the Temple of the Lord, the priests, dressed in their robes, took their places with horns, and the Levites, the sons of Asaph, with brass instruments, to give praise to the Lord in the way ordered by David, king of Israel.|Khi các thợ xây nền đền của Đức Giê-hô-va, thì có những thầy tế lễ đứng đó mặc áo lễ và cầm kèn, còn những người Lê-vi, con cháu A-sáp, đều cầm chập chỏa, đặng ngợi khen Đức Giê-hô-va y như các lễ-phép của Đa-vít, vua Y-sơ-ra-ên, đã lập ra.
And they gave praise to the Lord, answering one another in their songs and saying, For he is good, for his mercy to Israel is eternal. And all the people gave a great cry of joy, when they gave praise to the Lord, because the base of the Lord's house was put in place.|Chúng ca hát đối đáp mà ngợi khen cảm tạ Đức Giê-hô-va rằng: Đáng ngợi khen Đức Giê-hô-va, vì Ngài là tốt lành, lòng thương xót của Ngài đối với Y-sơ-ra-ên còn đến đời đời! Cả dân sự đều kêu reo tiếng lớn, ngợi khen Đức Giê-hô-va, bởi vì người ta xây nền đền thờ của Đức Giê-hô-va.
But a number of the priests and Levites and the heads of families, old men who had seen the first house, when the base of this house was put down before their eyes, were overcome with weeping; and a number were crying out with joy:|Nhiều thầy tế lễ, người Lê-vi, trưởng tộc, tức là những người già cả đã thấy đền thờ trước, bèn khóc tiếng lớn trong khi người ta xây nền của đền mới tại trước mặt mình. Cũng có nhiều người khác lại la tiếng lớn vui mừng hớn hở;
So that in the ears of the people the cry of joy was mixed with the sound of weeping; for the cries of the people were loud and came to the ears of those who were a long way off.|nên người ta khó phân biệt tiếng vui mừng với tiếng khóc lóc; vì dân sự la lớn tiếng lên, và tiếng ấy vẳng vẳng nghe xa.

					Ezra 4				|
						Ê-xơ-ra 4					
Now news came to the haters of Judah and Benjamin that the people who had come back were building a Temple to the Lord, the God of Israel;|Khi các thù nghịch của Giu-đa và Bên-gia-min hay rằng những người đã bị bắt làm phu tù được về xây cất đền thờ cho Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên,
Then they came to Zerubbabel and to the heads of families, and said to them, Let us take part in the building with you; for we are servants of your God, even as you are; and we have been making offerings to him from the days of Esar-haddon, king of Assyria, who put us here.|bèn đi đến Xô-rô-ba-bên và các trưởng tộc mà nói rằng: Chúng tôi muốn đồng xây cất với các ngươi, vì chúng tôi tìm cầu Đức Chúa Trời của anh em, cũng như anh em, và chúng tôi đã dâng tế lễ cho Ngài từ đời Ê-sa-Ha-đôn, vua A-si-ri, đem chúng tôi lên đây.
But Zerubbabel and Jeshua and the rest of the heads of families in Israel said to them, You have no part with us in the building of a house for our God; we ourselves will do the work together for the Lord, the God of Israel, as Cyrus, king of Persia, has given us orders.|Nhưng Xô-rô-ba-bên, Giê-sua, và các trưởng tộc khác của Y-sơ-ra-ên, đáp với chúng rằng: Các ngươi chẳng được phần chung với chúng ta đặng xây cất một đền thờ cho Đức Chúa Trời của chúng ta; song chúng ta, chỉ một mình chúng ta, sẽ cất một đền cho Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, y như Si-ru, vua Phe-rơ-sơ, đã truyền bảo chúng ta.
Then the people of the land made the hands of the people of Judah feeble, troubling them with fear in their building;|Bấy giờ dân của xứ xui cho dân Giu-đa ngã lòng nhát sợ, trong khi họ xây cất;
And they gave payment to men who made designs against them and kept them from effecting their purpose, all through the time of Cyrus, king of Persia, till Darius became king.|và trọn đời Si-ru, vua Phe-rơ-sơ, cho đến đời Đa-ri-út, vua Phe-rơ-sơ, trị vì, chúng đem hối lộ cho những mưu sĩ chống với dân Giu-đa, đặng phá việc họ lo toan.
And in the time of Ahasuerus, when he first became king, they put on record a statement against the people of Judah and Jerusalem.|Nhằm đời A-suê-ru, vừa bắt đầu lên ngôi, thì chúng làm một cái trạng cáo dân Giu-đa và dân cư Giê-ru-sa-lem.
And in the time of Artaxerxes, Bishlam, Mithredath, Tabeel, and the rest of his friends, sent a letter to Artaxerxes, king of Persia, writing it in the Aramaean writing and language.|Qua đời At-ta-xét-xe, thì Bít-lam, Mít-rê-đát, Ta-bê-ên, và đồng liêu của chúng, viết biểu tấu lên At-ta-xét-xe, vua Phe-rơ-sơ. Cái biểu ấy viết bằng chữ A-ram và dịch ra tiếng A-ram.
Rehum, the chief ruler, and Shimshai the scribe, sent a letter against Jerusalem, to Artaxerxes the king;|Lại Rê-hum, tể tướng, và Sim-sai, thơ ký, đồng viết biểu nghịch cùng Giê-ru-sa-lem, tấu lên vua At-ta-xét-xe như vầy:
The letter was sent by Rehum, the chief ruler, and Shimshai the scribe and their friends; the Dinaites and the Apharsathchites, the Tarpelites, the Apharsites, the Archevites, the Babylonians, the Shushanchites, the Dehaites, the Elamites,|Rê-hum, tể tướng, Sim-sai, thơ ký và các đồng liêu của họ, tức là người Đi-nít, người A-phạt-sa-thít, người Tạt-bê-lít, người A-phạt-sít, người At-kê-vít, người Ba-by-lôn, người Su-san, người Đê-ha-vít, người Ê-lam,
And the rest of the nations which the great and noble Osnappar took over and put in Samaria and the rest of the country over the river:|và dân sự khác mà Ô-náp-ba cao trọng và vang hiển đã đem qua, khiến ở trong thành Sa-ma-ri và trong các miền khác phía bên nầy sông.
This is a copy of the letter which they sent to Artaxerxes the king: Your servants living across the river send these words:|Nầy là bổn sao lại của bức biểu chúng gởi tấu vua At-ta-xét-xe. Các tôi tớ vua ở bên phía nầy sông, kính tấu vua A-ta-xét-xe.
We give news to the king that the Jews who came from you have come to us at Jerusalem; they are building up again that uncontrolled and evil town; the walls are complete and they are joining up the bases.|Tâu vua hay rõ ràng những người Giu-đa đã từ nơi vua lên đến chúng tôi tại Giê-ru-sa-lem, đương lập lại thành phản nghịch hung ác ấy; chúng nó đã xây lại vách thành và tu bổ các nền cho xong rồi.
The king may be certain that when the building of this town and its walls is complete, they will give no tax or payment in goods or forced payments, and in the end it will be a cause of loss to the kings.|Vậy, nguyện vua biết rõ ràng ví bằng thành nầy được cất lại, và vách tường nó được xây lên, tất dân nó sẽ chẳng tiến cống, nộp thuế, hoặc đóng tiền mãi lộ, rồi sau chắc sẽ gây tai họa cho vua.
Now because we are responsible to the king, and it is not right for us to see the king's honour damaged, we have sent to give the king word of these things,|Vả, vì chúng tôi ăn muối của đền vua, và chẳng nỡ chứng kiến việc gây thiệt hại cho vua như vậy, nên chúng tôi sai sứ giả đến tâu rõ cùng vua,
So that search may be made in the book of the records of your fathers: and you will see in the book of the records that this town has been uncontrolled, and a cause of trouble to kings and countries, and that there were outbursts against authority there in the past: for which reason the town was made waste.|đặng người ta tra khảo trong sử ký các tổ phụ của vua: tất sẽ tìm thấy trong sách sử ký đó và biết rằng cái thành nầy vốn một cái thành phản nghịch, gây thiệt hại cho các vua và nước; từ thuở xưa, người ta hay làm loạn ở đó; bởi cớ ấy thành nầy đã bị phá hoang.
We give you word, that if the building of this town and its walls is made complete, there will be an end of your power in the country across the river.|Chúng tôi tâu cáo vua hay rằng nếu thành nầy được cất lại, và vách tường nó được xây lên, tất lại cớ ấy, đất ở phía bên nầy sông sẽ chẳng còn phục vua nữa.
Then the king sent an answer to Rehum, the chief ruler, and Shimshai the scribe, and their friends living in Samaria, and to the rest of those across the river, saying, Peace to you:|Vua bèn giáng chiếu cho tể tướng Rê-hum, cho thơ ký Sim-sai, và cho các đồng liêu của họ ở tại Sa-ma-ri và ở trong các miền khác phía bên nầy sông, mà rằng: Nguyện các ngươi bình yên.
And now the sense of the letter which you sent to us has been made clear to me,|Bức biểu các ngươi dâng tấu lên ta đã đọc ra tỏ tường trước mặt ta.
And I gave orders for a search to be made, and it is certain that in the past this town has made trouble for kings, and that outbursts against authority have taken place there.|Cứ theo mạng lịnh ta, người ta đã tra khảo, thấy rằng từ đời xưa cái thành nầy có dấy loạn với các vua, và trong đó hằng có sự phản nghịch và việc ngụy đảng.
Further, there have been great kings in Jerusalem, ruling over all the country across the river, to whom they gave taxes and payments in goods and forced payments.|Lại tại Giê-ru-sa-lem đã có những vua rất quyền thế, quản hạt cả xứ ở bên kia sông, và người ta tiến cống, nộp thuế, và đóng tiền mãi lộ cho các vua đó.
Give an order now, that these men are to do nothing more, and that the building of the town is to be stopped, till I give an order.|Vì vậy, các ngươi hãy truyền lịnh ngăn cản những người đó cất lại cái thành nầy, cho đến chừng ta ban chiếu chỉ về việc đó.
Be certain to do this with all care: do not let trouble be increased to the king's damage.|Khá cẩn thận về sự nấy, e các vua bị thiệt hại thêm chăng.
Then, after reading the king's letter, Rehum and Shimshai the scribe and their friends went quickly to Jerusalem, to the Jews, and had them stopped by force.|Vừa khi đã đọc chiếu của vua At-ta-xét-xe trước mặt Rê-hum, thơ ký, Sim-sai và các đồng liêu họ, thì chúng đồng lật đật đi đến dân Giu-đa tại Giê-ru-sa-lem, lấy năng lực và cường quyền khiến họ ngưng công việc.
So the work of the house of God at Jerusalem came to an end; so it was stopped, till the second year of the rule of Darius, king of Persia.|Vậy, công việc xây cất nhà của Đức Chúa Trời tại Giê-ru-sa-lem đình cho đến năm thứ hai đời Đa-ri-út, vua Phe-rơ-sơ trị vì.

					Ezra 5				|
						Ê-xơ-ra 5					
Now the prophets Haggai and Zechariah, the son of Iddo, were preaching to the Jews in Judah and Jerusalem in the name of the God of Israel.|Vả, tiên tri A-ghê và tiên tri Xa-cha-ri, con của Y-đô, nhơn danh Đức Chúa Trời của Y-sơ-ra-ên nói tiên tri cho các người Giu-đa ở tại xứ Giu-đa và ở Giê-ru-sa-lem.
Then Zerubbabel, the son of Shealtiel, and Jeshua, the son of Jozadak, got up and made a start at building the house of God at Jerusalem: and the prophets of God were with them, helping them.|Xô-rô-ba-bên, con trai của Sa-anh-thi-ên, và Giê-sua, con trai của Giô-xa-đác, bèn chổi dậy, khởi cất đền Đức Chúa Trời tại Giê-ru-sa-lem, có các tiên tri của Đức Chúa Trời giúp đỡ.
