
					Jonah 1				|
Then Jonah made prayer to the Lord his God from the inside of the fish, and said,|Giô-na từ trong bụng cá cầu nguyện Giê-hô-va Đức Chúa Trời mình,
In my trouble I was crying to the Lord, and he gave me an answer; out of the deepest underworld I sent up a cry, and you gave ear to my voice.|mà rằng: Tôi gặp hoạn nạn, kêu cầu Đức Giê-hô-va, Thì Ngài đã trả lời cho tôi. Từ trong bụng âm phủ, tôi kêu la, Thì Ngài đã nghe tiếng tôi.
For you have put me down into the deep, into the heart of the sea; and the river was round about me; all your waves and your rolling waters went over me.|Ngài đã quăng tôi trong vực sâu, nơi đáy biển, Và dòng nước lớn bao bọc lấy tôi. Hết thảy những sóng lượn và những ba đào của Ngài đều trải qua trên tôi.
And I said, I have been sent away from before your eyes; how may I ever again see your holy Temple?|Tôi đã nói rằng: Tôi đã bị ném khỏi trước mắt Ngài; Dầu vậy, tôi còn nhìn lên đền thánh của Ngài.
The waters were circling round me, even to the neck; the deep was about me; the sea-grass was twisted round my head.|Nước bao phủ lấy tôi, cho đến linh hồn tôi; Vực sâu vây lấy tôi tư bề; Rong rêu vấn vít đầu tôi.
I went down to the bases of the mountains; as for the earth, her walls were about me for ever: but you have taken up my life from the underworld, O Lord my God.|Tôi đã xuống đến chơn nền các núi; Đất đã đóng then nó trên tôi đời đời. Hỡi Giê-hô-va Đức Chúa Trời tôi, nhưng Ngài đã đem mạng sống tôi lên khỏi hầm hố!
When my soul in me was overcome, I kept the memory of the Lord: and my prayer came in to you, into your holy Temple.|Khi linh hồn tôi mòn mỏi trong tôi, thì tôi nhớ đến Đức Giê-hô-va, Và lời cầu nguyện của tôi đạt đến Ngài, vào đền thánh Ngài.
The worshippers of false gods have given up their only hope.|Những kẻ chăm sự hư không giả dối, Thì lìa bỏ sự thương xót của mình.
But I will make an offering to you with the voice of praise; I will give effect to my oaths. Salvation is the Lord's.|Nhưng tôi, tôi sẽ dùng tiếng cảm tạ mà dâng của lễ cho Ngài; Tôi sẽ trả sự tôi đã hứa nguyện. Sự cứu đến từ Đức Giê-hô-va!
And at the Lord's order, the fish sent Jonah out of its mouth on to the dry land.|Đức Giê-hô-va bèn phán cùng con cá, và nó mửa Giô-na ra trên đất khô.

					Jonah 3				|
						Giô-na 3					
And the word of the Lord came to Jonah a second time, saying,|Lại có lời Đức Giê-hô-va phán cùng Giô-na lần thứ hai mà rằng:
Up! go to Nineveh, that great town, and give it the word which I have given you.|Ngươi khá chờ dậy! Hãy đi đến thành lớn Ni-ni-ve, và rao cho nó lời ta đã dạy cho ngươi.
So Jonah got up and went to Nineveh as the Lord had said. Now Nineveh was a very great town, three days' journey from end to end.|Vậy Giô-na chờ dậy và đi đến Ni-ni-ve, theo lịnh của Đức Giê-hô-va. Vả, Ni-ni-ve là một thành rất lớn, đi mất ba ngày đường.
And Jonah first of all went a day's journey into the town, and crying out said, In forty days destruction will overtake Nineveh.|Giô-na khởi đầu vào trong thành đi một ngày, thì rao giảng và nói rằng: Còn bốn mươi ngày nữa, Ni-ni-ve sẽ bị đổ xuống!
And the people of Nineveh had belief in God; and a time was fixed for going without food, and they put on haircloth, from the greatest to the least.|Dân thành Ni-ni-ve tin Đức Chúa Trời. Họ rao ra sự kiêng ăn và mặc bao gai, từ những người rất lớn trong đám họ cho đến những kẻ rất nhỏ.
And the word came to the king of Nineveh, and he got up from his seat of authority, and took off his robe, and covering himself with haircloth, took his seat in the dust.|Tin ấy đồn đến vua Ni-ni-ve, vua đứng dậy khỏi ngai, lột áo bào mình ra, quấn bao gai và ngồi trong tro.
And he had it given out in Nineveh, By the order of the king and his great men, no man or beast, herd or flock, is to have a taste of anything; let them have no food or water:|Đoạn vua truyền lịnh nầy ra trong thành Ni-ni-ve, như là lời dụ của vua cùng của các kẻ tôn trưởng: Không luận người ta hay là thú vật, không luận bầy bò hay bầy chiên, đều chớ nếm chi hết. Không được để cho nó ăn, cũng không uống nước;
And let man and beast be covered with haircloth, and let them make strong prayers to God: and let everyone be turned from his evil way and the violent acts of their hands.|nhưng người ta và thú vật đều phải quấn bao gai. Mọi người khá ra sức kêu cùng Đức Chúa Trời; phải, ai nấy khá bỏ đường lối xấu mình và việc hung dữ của tay mình.
Who may say that God will not be turned, changing his purpose and turning away from his burning wrath, so that destruction may not overtake us?|Ai biết rằng hoặc Đức Chúa Trời sẽ không xây lại và ăn năn, xây khỏi cơn nóng giận mình, hầu cho chúng ta khỏi chết, hay sao?
And God saw what they did, how they were turned from their evil way; and God's purpose was changed as to the evil which he said he would do to them, and he did it not.|Bấy giờ Đức Chúa Trời thấy việc họ làm đều đã xây bỏ đường lối xấu của mình; Đức Chúa Trời bèn ăn năn sự họa mà Ngài đã phán sẽ làm cho họ, và Ngài không làm sự đó.
