
					Song of Solomon 1				|
My loved one is like a roe; see, he is on the other side of our wall, he is looking in at the windows, letting himself be seen through the spaces.|Lương nhơn tôi giống như con hoàng dương hay là con nai tơ. Kìa, người đứng sau tường chúng tôi, Xem ngang qua cửa sổ, Ngó ngang qua chấn song.
My loved one said to me, Get up, my love, my fair one, and come away.|Lương nhơn tôi nói chuyện với tôi rằng: Hỡi bạn tình ta, người đẹp của ta ơi, hãy chổi dậy và đến.
For, see, the winter is past, the rain is over and gone;|Vì kìa, mùa đông đã qua, Mưa đã dứt hết rồi;
The flowers are come on the earth; the time of cutting the vines is come, and the voice of the dove is sounding in our land;|Bóng hoa nở ra trên đất; Màu hát xướng đã đến nơi, Và tiếng chim cu nghe trong xứ;
The fig-tree puts out her green fruit and the vines with their young fruit give a good smell. Get up from your bed, my beautiful one, and come away.|Cây vả đương chín trái xanh tươi của nó, Và nho trổ hoa nức mùi hương. Hỡi bạn tình ta, người đẹp của ta ơi, hãy chổi dậy và đến.
O my dove, you are in the holes of the mountain sides, in the cracks of the high hills; let me see your face, let your voice come to my ears; for sweet is your voice, and your face is fair.|Hỡi chim bò câu ta trong hóc đá, Tại chốn đụt của nơi hê hẩm, Hãy tỏ cho ta xem mặt mũi mình, Cho ta nghe tiếng mình; Vì tiếng mình êm dịu. mặt mũi mình có duyên.
Take for us the foxes, the little foxes, which do damage to the vines; our vines have young grapes.|Hãy bắt cho chúng tôi những con chồn, Những con chồn nhỏ phá hại vườn nho; Vì vườn nho chúng tôi đương trổ bông.
My loved one is mine, and I am his: he takes his food among the flowers.|Lương nhơn tôi thuộc về tôi, và tôi thuộc về người; Người chăn bầy mình giữa đám bông huệ,
Till the evening comes, and the sky slowly becomes dark, come, my loved one, and be like a roe on the mountains of Bether.|Cho đến hừng đông lố ra, Và bóng tối tan đi. Hỡi lương nhơn tôi, hãy trở về, Khá giống như con hoàng dương hay là con nai tơ Trên hòn núi Bê-thẹt.

					Song of Solomon 3				|
						Nhã Ca 3					
By night on my bed I was looking for him who is the love of my soul: I was looking for him, but I did not see him.|Ban đêm tại trên giường mình, tôi tình người mà lòng tôi yêu dấu, Tôi tìm kiếm người mà không gặp.
I will get up now and go about the town, in the streets and in the wide ways I will go after him who is the love of my soul: I went after him, but I did not see him.|Tôi nói: Ta sẽ chổi dậy bây giờ, dạo quanh thành, Trải qua các đường phố, các ngã ba, Đặng tìm người mà lòng tôi yêu dấu. Tôi Tìm kiếm người, nhưng không gặp.
The watchmen who go about the town came by me; to them I said, Have you seen him who is my heart's desire?|những kẻ canh tuần vòng quanh thành có gặp tôi. Tôi hỏi rằng: Các ngươi có thấy người mà lòng ta yêu mến chăng!
I was but a little way from them, when I came face to face with him who is the love of my soul. I took him by the hands, and did not let him go, till I had taken him into my mother's house, and into the room of her who gave me birth.|Tôi vừa đi khỏi chúng xa xa, Thì gặp người mà lòng tôi yêu mến; Bèn nắm lấy người, không khứng buông ra, Cho đến khi đưa người về nhà mẹ tôi, Vào phòng của người đã thai dựng tôi.
I say to you, O daughters of Jerusalem, by the roes of the field, let not love be moved till it is ready.|Hỡi các con gái Giê-ru-sa-lem, ta ép nài các ngươi bởi những hoàng dương hay là con nai đồng nội, Chớ kinh động, chớ làm tỉnh thức ái tình ta Cho đến khi nó muốn.
Who is this coming out of the waste places like pillars of smoke, perfumed with sweet spices, with all the spices of the trader?|người kia là ai, ở từ đồng vắng đi lên, Giống như trụ khói, xông một dược và nhũ hương, với đủ thứ hương của con buôn?
See, it is the bed of Solomon; sixty men of war are about it, of the army of Israel,|Kìa, kiệu của Sa-lô-môn, Có sáu mươi dõng sĩ trong bọn dõng sĩ Y-sơ-ra-ên Vây chung quanh nó;
All of them armed with swords, trained in war; every man has his sword at his side, because of fear in the night.|Thảy đều cầm gươm và thạo đánh giặc; Ai nấy đều có gươm ở nơi đùi mình, Vì sợ hãi ban đêm.
King Solomon made himself a bed of the wood of Lebanon.|Vua Sa-lô-môn làm cho mình một cái kiệu bằng gỗ Li-ban.
He made its pillars of silver, its base of gold, its seat of purple, the middle of it of ebony.|Người làm các trụ nó bằng bạc, Nơi dựa lưng bằng vàng, Chỗ ngồi bằng vật màu điều, Còn ở giữa lót bằng ái tình của các con gái Giê-ru-sa-lem.
Go out, O daughters of Jerusalem, and see King Solomon, with the crown which his mother put on his head on the day when he was married, and on the day of the joy of his heart.|Hỡi các con gái Si-ôn, hãy ra xem vua Sa-lô-môn Đội mão triều thiên mà mẹ người đã đội trên đầu người Trong ngày định thân, trong ngày lòng người vui vẻ.

					Song of Solomon 4				|
						Nhã Ca 4					
See, you are fair, my love, you are fair; you have the eyes of a dove; your hair is as a flock of goats, which take their rest on the side of Gilead.|Hỡi bạn tình ta, nầy mình đẹp đẽ thay, mình đẹp đẽ thay! Mắt mình trong lúp giống như mắt bò câu; Tóc mình khác nào bầy dê nằm nơi triền núi Ga-la-át.
Your teeth are like a flock of sheep whose wool is newly cut, which come up from the washing; every one has two lambs, and there is not one without young.|Răng mình như thể bầy chiên mới hớt lông, Từ ao tắm rửa đi lên, Thảy đều sanh đôi, không một con nào son sẻ.
Your red lips are like a bright thread, and your mouth is fair of form; the sides of your head are like pomegranate fruit under your veil.|Môi mình tợ sợi chỉ hồng, Miệng mình có duyên thay; Má mình trong lúp tợ như nửa quả lựu.
Your neck is like the tower of David made for a store-house of arms, in which a thousand breastplates are hanging, breastplates for fighting-men.|Cổ mình như tháp Đa-vít, xây cất để treo binh khí; Ngàn cái khiên của tay anh hùng.
Your two breasts are like two young roes of the same birth, which take their food among the lilies.|Hai nương long mình như cặp con sanh đôi của hoàng dương, Thả ăn giữa đám hoa huệ.
Till the evening comes, and the sky slowly becomes dark, I will go to the mountain of myrrh, and to the hill of frankincense.|Ta sẽ đi lên núi một dược, Đến đồi nhũ hương, Ở cho đến khi hừng đông lố ra, Và bóng tối tan đi.
You are all fair, my love; there is no mark on you.|Hỡi bạn ta, mình vốn xinh đẹp mọi bề, Nơi mình chẳng có tì vít gì cả.
Come with me from Lebanon, my bride, with me from Lebanon; see from the top of Amana, from the top of Senir and Hermon, from the places of the lions, from the mountains of the leopards.|Hỡi tân phụ ta, hãy cùng ta đến từ Li-ban, Hãy cùng ta đến từ Li-ban; Khá nhìn xem từ chót A-ma-na, Từ đỉnh Sa-nia và Hẹt-môn, Từ hang sư tử, Từ núi con beo.
You have taken away my heart, my sister, my bride; you have taken away my heart, with one look you have taken it, with one chain of your neck!|Hỡi em gái ta, tân phụ ta ơi, mình đã cướp lấy lòng ta, Vì một cái liếc mắt, vì một vòng trân châu nơi cổ mình, mình đã cướp lấy lòng ta.
How fair is your love, my sister! How much better is your love than wine, and the smell of your oils than any perfume!|Hỡi em gái ta, tân phụ ta ơi, ái tình mình đẹp là dường nào! ái tình mình ngon hơn rượu, Và mùi thơm của dầu mình tốt hơn các thức hương!
Your lips are dropping honey; honey and milk are under your tongue; and the smell of your clothing is like the smell of Lebanon.|Hỡi tân phụ ta, môi mình nhỏ mật ong xuống, Dưới lưỡi mình có mật ong và sữa; Hơi thơm của quần áo mình như hơi thơm của Li-ban.
A garden walled-in is my sister, my bride; a garden shut up, a spring of water stopped.|Em gái ta, tân phụ ta là vườn đóng kín, Là nguồn nước khóa lại, là suối niêm phong.
The produce of the garden is pomegranates; with all the best fruits, henna and spikenard,|Đám cây mình là vườn địa đàng, Có thạch lựu và trái ngon, Hoa phụng tiên và cây Cam tòng.
Spikenard and safron; calamus and cinnamon, with all trees of frankincense; myrrh and aloes, with all the chief spices.|Cam tòng và hồng hoa, xương bồ và nhục quế, Cùng mọi thức cây có mùi thơm, Một dược, lư hội với các hương liệu có danh.
You are a fountain of gardens, a spring of living waters, and flowing waters from Lebanon.|Mình là mạch nước trong vườn, Là giếng nước sống, là dòng nước chảy từ Li-ban!
Be awake, O north wind; and come, O south, blowing on my garden, so that its spices may come out. Let my loved one come into his garden, and take of his good fruits.|Hỡi gió bắc, hãy nổi dậy, hỡi gió nam, hãy thổi đến; Hãy thổi trong vườn tôi, hầu cho các mùi thơm nó bay ra! Nguyện lương nhơn tôi vào trong vườn người, Và ăn trái ngon ngọt của người!

					Song of Solomon 5				|
						Nhã Ca 5					
I have come into my garden, my sister, my bride; to take my myrrh with my spice; my wax with my honey; my wine with my milk. Take meat, O friends; take wine, yes, be overcome with love.|Hỡi em gái ta, tân phụ ta ơi, ta đã vào trong vườn ta rồi! Ta có hái một dược và hương liệu ta, An tàng mật ong với mật ong ta, Uống rượu với sữa ta. Hỡi các bạn, hãy ăn: hỡi các ái hữu, khá uống cho nhiều!
I am sleeping, but my heart is awake; it is the sound of my loved one at the door, saying, Be open to me, my sister, my love, my dove, my very beautiful one; my head is wet with dew, and my hair with the drops of the night.|Tôi ngủ, nhưng lòng tôi tỉnh thức. Ay là tiếng của lương nhơn tôi gõ cửa, mà rằng: Hỡi em gái ta, bạn tình ta, chim bò câu ta, kẻ toàn hảo của ta ơi, hãy mở cửa cho ta! Vì đầu ta đầy sương móc, Lọn tóc ta thấm giọt ban đêm.
I have put off my coat; how may I put it on? My feet are washed; how may I make them unclean?|Tôi đã cổi áo ngoài rồi, làm sao mặc nó lại? Tôi đã rửa chơn rồi, lẽ nào làm lấm lại?
My loved one put his hand on the door, and my heart was moved for him.|Lương nhơn tôi thò tay vào lỗ cửa, Lòng dạ tôi cảm động vì cớ người.
I got up to let my loved one in; and my hands were dropping with myrrh, and my fingers with liquid myrrh, on the lock of the door.|Tôi bèn chổi dậy đặng mở cửa cho lương nhơn tôi; Tay tôi nhỏ giọt một dược, Và ngón tay tôi chảy một dược ròng trên nạm chốt cửa.
I made the door open to my loved one; but my loved one had taken himself away, and was gone, my soul was feeble when his back was turned on me; I went after him, but I did not come near him; I said his name, but he gave me no answer.|Tôi mở cửa cho lương nhơn tôi, Nhưng người đã lánh đi khỏi rồi. Đương khi người nói lòng tôi mất vía. Tôi tìm kiếm người, nhưng không có gặp; Tôi gọi người, song người chẳng đáp.
The keepers who go about the town overtook me; they gave me blows and wounds; the keepers of the walls took away my veil from me.|Kẻ canh tuần quanh thành gặp tôi, Đánh tôi, và làm tôi bị thương; Các kẻ canh giữ vách thành cất lấy lúp khỏi tôi.
I say to you, O daughters of Jerusalem, if you see my loved one, what will you say to him? That I am overcome with love.|Hỡi các con gái Giê-ru-sa-lem, ta ép nài các ngươi, Nếu gặp lương nhơn ta, khá nói với người rằng Ta có bịnh vì ái tình.
What is your loved one more than another, O fairest among women? What is your loved one more than another, that you say this to us?|Hỡi người xinh đẹp hơn hết trong các người nữ, lương nhơn của chị có gì hơn lương nhơn khác? Lương nhơn của chị có gì hơn lương nhơn khác? Mà chị ép nài chúng tôi dường ấy?
My loved one is white and red, the chief among ten thousand.|Lương nhơn tôi trắng và đỏ, Đệ nhứt trong muôn người.
His head is as the most delicate gold; his hair is thick, and black as a raven.|Đầu người bằng vàng thật ròng; Lọn tóc người quăn, và đen như quạ.
His eyes are as the eyes of doves by the water streams, washed with milk, and rightly placed.|Mắt người như chim bò câu gần suối nước, Tắm sạch trong sửa, được nhận khảm kỹ càng.
His face is as beds of spices, giving out perfumes of every sort; his lips like lilies, dropping liquid myrrh.|Gò má người như vuông đất hương hoa, Tợ khóm cỏ thơm ngát; Môi người tỉ như hoa huệ ướm chảy một dược ròng.
His hands are as rings of gold ornamented with beryl-stones; his body is as a smooth plate of ivory covered with sapphires.|Tay người như ống tròn vàng có nhận huỳnh ngọc: Thân mình người khác nào ngà bóng láng cẩn ngọc xanh.
His legs are as pillars of stone on a base of delicate gold; his looks are as Lebanon, beautiful as the cedar-tree.|Hai chơn người giống trụ cẩm thạch trắng, Để trên tánh vàng ròng; Tướng mạo người tợ như nói Li-ban, xinh tốt như cây hương nam,
His mouth is most sweet; yes, he is all beautiful. This is my loved one, and this is my friend, O daughters of Jerusalem.|Miệng người rất êm dịu; Thật, toàn thể cách người đáng yêu đương. Hỡi các con gái Giê-ru-sa-lem, lương nhơn tôi như vậy, Bạn tình tôi dường ấy!

					Song of Solomon 6				|
						Nhã Ca 6					
Where is your loved one gone, O most fair among women? Where is your loved one turned away, that we may go looking for him with you?|Hỡi người xinh đẹp hơn hết trong các người nữ, lương nhơn của chị đi đâu? Lương nhơn của chị xây về hướng nào? Chúng tôi sẽ cùng đi tìm người với chị.
My loved one is gone down into his garden, to the beds of spices, to take food in the gardens, and to get lilies.|Lương nhơn tôi đi xuống vườn người, Nơi vuông đất hương hoa, Đặng chăn trong vườn, Và bẻ hoa huệ.
I am for my loved one, and my loved one is for me; he takes food among the lilies.|Tôi thuộc về lương nhơn tôi, Và lương nhơn tôi thuộc về tôi; Người chăn bầy mình giữa đám hoa huệ.
You are beautiful, O my love, as Tirzah, as fair as Jerusalem; you are to be feared like an army with flags.|Hỡi bạn tình ta, mình xinh đẹp thư Thiệt sa, Có duyên như Giê-ru-sa-lem, Đáng sợ khác nào đạo quân giương cờ xí.
Let your eyes be turned away from me; see, they have overcome me; your hair is as a flock of goats which take their rest on the side of Gilead.|Hãy xây mắt mình khỏi ta, Vì nó làm cho ta bối rối. Tóc mình khác nào đoàn dê trên triền núi Ga-la-át;
Your teeth are like a flock of sheep which come up from the washing; every one has two lambs, and there is not one without young.|Răng mình như bầy chiên cái, Từ nơi tắm rửa mới lên; Thảy đều sanh đôi, Không một con nào son sẻ.
Like pomegranate fruit are the sides of your head under your veil.|Má mình trong lúp tợ một nửa quả lựu.
There are sixty queens, and eighty servant-wives, and young girls without number.|Có sáu mươi hoàng hậu, tám mươi cung phi, Và nhiều vô số con đòi:
My dove, my very beautiful one, is but one; she is the only one of her mother, she is the dearest one of her who gave her birth. The daughters saw her, and gave her a blessing; yes, the queens and the servant-wives, and they gave her praises.|Chim bò câu ta, người toàn hảo ta Vốn là có một, con một của mẹ mình. Kẻ kén chọn của người đã sanh đẻ mình. Các con gái đều thấy nàng, và xưng nàng có phước. Đến đỗi những hoàng hậu và cung phi cũng đều khen ngợi nàng.
Who is she, looking down as the morning light, fair as the moon, clear as the sun, who is to be feared like an army with flags?|Người nữ nầy là ai, hiện ra như rạng đông, Đẹp như mặt trăng, tinh sạch như mặt trời, Đáng sợ khác nào đạo quân giương cờ xí?
I went down into the garden of nuts to see the green plants of the valley, and to see if the vine was in bud, and the pomegranate-trees were in flower.|Tôi đi xuống vườn hạch đào, Đặng xem cây cỏ xanh tươi của trũng, Đặng thử coi vườn nho đã nứt đọt, thạch lựu vã nở hoa chưa.
Before I was conscious of it, ...|Không ngờ, lòng tôi dẫn dắt tôi Trên các xe của dân sự tôi có tình nguyện.
Come back, come back, O Shulammite; come back, come back, so that our eyes may see you. What will you see in the Shulammite? A sword-dance.|Hỡi Su-la-mít, hãy trở về, hãy trở về! Khá trở về, trở về, hầu cho chúng tôi xem thấy người. Vì sao các ngươi muốn thấy người Su-la-mít, Như thấy sự nhảy múa của Ma-ha-na-im?

					Song of Solomon 7				|
						Nhã Ca 7					
How beautiful are your feet in their shoes, O king's daughter! The curves of your legs are like jewels, the work of the hands of a good workman:|Hỡi công chúa, chơn nàng mang giày, xinh đẹp biết bao! Vòng vế nàng khác nào một trân châu, Công việc của tay thợ khéo làm.
Your stomach is a store of grain with lilies round it, and in the middle a round cup full of wine.|Rún nàng giống như cái ly tròn, Rượu thơm không có thiếu. Bụng nàng dường một đống lúa mạch, Có hoa huệ sắp đặt tứ vi.
Your two breasts are like two young roes of the same birth.|Hai nương long nàng như hai con Sanh đôi của con hoàng dương.
Your neck is as a tower of ivory; your eyes like the waters in Heshbon, by the doorway of Bath-rabbim; your nose is as the tower on Lebanon looking over Damascus:|Cổ nàng như một cái tháp ngà. Mắt nàng khác nào các ao tại Hết-bôn Ở bên cửa Bát-Ra-bim; Mũi nàng như ngọn tháp Li-ban Ngó về hướng Đa-mách.
Your head is like Carmel, and the hair of your head is like purple, in whose net the king is prisoner.|Dầu ở trên mình nàng khác nào núi Cạt-mên, Và tóc đầu nàng như sắc tía; Một vì vua bị lọn tóc nàng vấn vít.
How beautiful and how sweet you are, O love, for delight.|Hỡi ái tình ta, mình xinh đẹp thay, Hạp ý dường bao, khiến cho người ta được khoái chí!
You are tall like a palm-tree, and your breasts are like the fruit of the vine.|Hình dung mình giống như cây chà là, Và nương long mình tợ chùm nó.
I said, Let me go up the palm-tree, and let me take its branches in my hands: your breasts will be as the fruit of the vine, and the smell of your breath like apples;|Ta nói rằng: Ta sẽ trèo lên cây chà là, Vin lấy các tàu nó; Nguyên hai nương long mình như chùm nho, Mùi thơm mũi mình như trái bình bát,
And the roof of your mouth like good wine flowing down smoothly for my loved one, moving gently over my lips and my teeth.|Và ổ gà mình như rượu ngon. Chảy vào dễ dàng cho lương nhơn tôi, Và tuôn nơi môi kẻ nào ngủ.
I am for my loved one, and his desire is for me.|Tôi thuộc về lương nhơn tôi, Sự ước ao người hướng về tôi.
Come, my loved one, let us go out into the field; let us take rest among the cypress-trees.|Hỡi lương nhơn tôi, hãy đến, chúng ta sẽ đi ra ngoài đồng, Ở đêm nơi hương thôn.
Let us go out early to the vine-gardens; let us see if the vine is in bud, if it has put out its young fruit, and the pomegranate is in flower. There I will give you my love.|Vừa sớm mai, chúng ta sẽ thức dậy, Đi đến vườn nho, đặng xem thể nho có nứt đọt, Hoa có trổ, thạch lựu có nở bông chăng: Tại đó tôi sẽ tỏ ái tình tôi cho chàng.
The mandrakes give out a sweet smell, and at our doors are all sorts of good fruits, new and old, which I have kept for my loved one.|Trái phong già xông mùi thơm nó; Và tại cửa chúng ta có những thứ trái ngon mới và cũ; Hỡi lương nhơn tôi, tôi đã để dành trái ấy cho chàng!

					Song of Solomon 8				|
						Nhã Ca 8					
Oh that you were my brother, who took milk from my mother's breasts! When I came to you in the street, I would give you kisses; yes, I would not be looked down on.|Ồ! chớ chi chàng làm anh em tôi, Kẻ đã bú mớm vú của mẹ tôi! Nếu tôi gặp chàng ngoài, At tôi sẽ hôn chàng, không ai khinh bỉ tôi được.
I would take you by the hand into my mother's house, and she would be my teacher. I would give you drink of spiced wine, drink of the pomegranate.|Tôi sẽ dẫn chàng vào nhà mẹ tôi; Tại đó chàng sẽ dạy dỗ tôi; Tôi sẽ cho chàng uống rượu thơm, Nước ngọt của trái thạch lựu tôi.
His left hand would be under my head, and his right hand about me.|Tay tả người sẽ kẻ dưới đầu tôi, Còn tay hữu người ôm lấy tôi.
I say to you, O daughters of Jerusalem, do not let love be moved till it is ready.|Hỡi các con gái Giê-ru-sa-lem, ta ép nài các ngươi, Chớ kinh động, chớ làm tỉnh thức ái tình ta Cho đến khi nó muốn.
Who is this, who comes up from the waste places, resting on her loved one? It was I who made you awake under the apple-tree, where your mother gave you birth; there she was in pain at your birth.|Người nữ nầy là ai, từ đồng vắng đi lên, Nương dựa lương nhơn của nàng? Ta đã đánh thức mình tại dưới cây bình bát: Ở đó mẹ bị đau đớn mà sanh mình ra, Ở đó người mà đã sanh đẻ mình bị cơn lao khổ.
Put me as a sign on your heart, as a sign on your arm; love is strong as death, and wrath bitter as the underworld: its coals are coals of fire; violent are its flames.|Hãy để tôi như một cái ấy nơi lòng chàng, Như một cái ấn trên cánh tay chàng; Vì ái tình mạnh như sự chết, Lòng ghen hung dữ như âm phủ; Sự nóng nó là sự nóng của lửa, Thật một ngọn lửa của Đức Giê-hô-va.
Much water may not put out love, or the deep waters overcome it: if a man would give all the substance of his house for love, it would be judged a price not great enough.|Nước nhiều không tưới tắt được ái tình, Các sông chẳng nhận chìm nó được; Nếu người nào đem hết tài sản nhà mình, Đặng mua lấy ái tình, At người ta sẽ khinh dể nó đến điều.
We have a young sister, and she has no breasts; what are we to do for our sister in the day when she is given to a man?|Chúng tôi có một em gái nhỏ, chưa có nương long. Phải làm gì cho em gái chúng tôi, Trong ngày người ta hỏi nó?
If she is a wall, we will make on her a strong base of silver; and if she is a door, we will let her be shut up with cedar-wood.|Nếu nó là một vách thành, Chúng tôi sẽ xây tháp bạc trên nó; Nếu nó là một cái cửa, Chúng tôi sẽ đóng bít lại bằng ván hương nam.
I am a wall, and my breasts are like towers; then was I in his eyes as one to whom good chance had come.|Tôi là một tường thành, Hai nương long tôi như những ngọn tháp; Bấy giờ tôi ở trước mắt người như kẻ đã được bình an.
Solomon had a vine-garden at Baal-hamon; he let out the vine-garden to keepers; every one had to give a thousand bits of silver for its fruit.|Sa-lô-môn có một vườn nho tại Ba-anh Ha-môn: Người giao vườn ấy cho kẻ canh giữ, Mỗi người ấy phải đem nộp một ngàn miếng bạc về hoa lợi nó.
My vine-garden, which is mine, is before me: you, O Solomon, will have the thousand, and those who keep the fruit of them two hundred.|Vườn nho của tôi trước mặt tôi. Hỡi Sa-lô-môn, một ngàn miếng bạc sẽ về phần ông, Còn hai trăm về những kẻ giữ hoa lợi nó.
You who have your resting-place in the gardens, the friends give ear to your voice; make me give ear to it.|Hỡi kẻ ở trong vườn, các bạn đều lắng tai nghe tiếng nàng! Xin hỡi cho ta nghe tiếng nàng!
Come quickly, my loved one, and be like a roe on the mountains of spice.|Hỡi lương nhơn tôi, hãy vội đến, Khá giống như con hoàng dương hay là như con nai con Ở trên các núi thuốc thơm.
