
					II Samuel 1				|
Saul and Jonathan were loved and pleasing; in their lives and in their death they were not parted; they went more quickly than eagles, they were stronger than lions.|Khi còn sống, Sau-lơ và Giô-na-tha yêu nhau đẹp nhau, Lúc chết chẳng lìa khỏi nhau; Hai người vốn lẹ hơn chim ưng, Mạnh hơn con sư tử!
O daughters of Israel, have sorrow for Saul, by whom you were delicately clothed in robes of red, with ornaments of gold on your dresses.|Hỡi con gái Y-sơ-ra-ên, hãy khóc về Sau-lơ, Người đã mặc cho các ngươi áo xống màu đỏ điều xa xí, Trao giồi áo xống các ngươi bằng đồ vàng.
How have the great ones been made low in the fight! Jonathan is dead on your high places.|Cớ sao người dõng sĩ ngã giữa cơn trận? Nhân sao Giô-na-than thác trên gò nỗng các ngươi?
I am full of grief for you, my brother Jonathan: very dear have you been to me: your love for me was a wonder, greater than the love of women.|Hỡi Giô-na-than, anh tôi, lòng tôi quặn thắt vì anh. Anh làm cho tôi khoái dạ; Nghĩa bầu bạn của anh lấy làm quí hơn tình thương người nữ.
How have the great ones been made low, and the arms of war broken!|Cớ sao những anh hùng bị ngã xuống? Nhân sao các binh khí họ bị bẻ gãy?

					II Samuel 2				|
						II Sa-mu-ên 2					
Now after this, David, questioning the Lord, said, Am I to go up into any of the towns of Judah? And the Lord said to him, Go up. And David said, Where am I to go? And he said, To Hebron.|Sau điều đó, Đa-vít cầu vấn Đức Giê-hô-va như vầy: Tôi có nên đi lên trong một thành nào của xứ Giu-đa chăng? Đức Giê-hô-va đáp cùng người rằng: Hãy đi lên. Đa-vít tiếp: Tôi phải lên trong thành nào? Đức Giê-hô-va đáp: Hếp-rôn.
So David went there, taking with him his two wives, Ahinoam of Jezreel, and Abigail, the wife of Nabal of Carmel.|Đa-vít đi đến đó, đem theo hai người vợ, là A-hi-nô-am ở Gít-rê-ên, và A-bi-ga-in, nguyên là vợ của Na-banh ở Cạt-mên.
And David took all his men with him, every man with his family: and they were living in the towns round Hebron.|Đa-vít cũng đem các người ở cùng mình đi lên, mỗi người với gia quyến mình, mà ở trong các thành của địa phận Hếp-rôn.
And the men of Judah came there, and with the holy oil made David king over the people of Judah. And word came to David that it was the men of Jabesh-gilead who put Saul's body in its last resting-place.|Những người Giu-đa đi đến đó, và xức dầu cho Đa-vít làm vua nhà Giu-đa. Người ta đến nói cho Đa-vít rằng: Dân ở Gia-be đã chôn Sau-lơ.
And David sent to the men of Jabesh-gilead and said to them, May the Lord give you his blessing, because you have done this kind act to Saul your lord, and have put his body to rest!|Đa-vít bèn sai sứ đến cùng dân sự Gia-be trong Ga-la-át, mà nói rằng: Nguyện Đức Giê-hô-va ban phước cho các ngươi, vì các ngươi đã có lòng nhơn từ đối cùng Sau-lơ, chúa các ngươi, mà chôn người!
May the Lord be good and true to you: and I myself will see that your kind act is rewarded, because you have done this thing.|Nguyện Đức Giê-hô-va lấy nhơn từ và thành thực mà đối lại cùng các ngươi! Còn ta, cũng sẽ làm điều thiện cho các ngươi, bởi vì các ngươi đã làm như vậy.
Then let your hands be strong, and have no fear: though Saul your lord is dead, the people of Judah have made me their king.|Nguyện cho tay các ngươi được mạnh, khá tỏ mình ra người hào kiệt; vì Sau-lơ, chúa các ngươi đã thác, và nhà Giu-đa đã xức dầu cho ta làm vua của họ.
Now Abner, the son of Ner, captain of Saul's army, had taken Saul's son Ish-bosheth over to Mahanaim,|Bấy giờ Ap-ne, quan tổng binh của Sau-lơ, bắt Ích-bô-sết, con trai của Sau-lơ mà đưa qua Ma-ha-na-im,
And made him king over Gilead and the Asherites and over Jezreel and Ephraim and Benjamin, that is, over all Israel.|lập người làm vua Ga-la-át, A-sự-rít, Gít-rê-ên, Ep-ra-im, Bên-gia-min, và cả Y-sơ-ra-ên.
(Saul's son Ish-bosheth was forty years old when he became king over Israel, and he was ruler for two years.) But Judah was on the side of David.|Khi Ích-bô-sết, con trai của Sau-lơ, khởi cai trị Y-sơ-ra-ên, thì đã được bốn mươi tuổi, và người cai trị hai năm. Chỉ có nhà Giu-đa theo Đa-vít mà thôi.
And the time when David was king in Hebron over the people of Judah was seven years and six months.|Thì giờ Đa-vít ở Hếp-rôn, cai trị trên nhà Giu-đa, là bảy năm sáu tháng.
And Abner, the son of Ner, with the servants of Saul's son Ish-bosheth, went out from Mahanaim to Gibeon.|Vả, Ap-ne, con trai của Nê-rơ và các tôi tớ của Ích-bô-sết, con trai của Sau-lơ, ở Ma-ha-na-im kéo ra đặng đi đến Ga-ba-ôn.
And Joab, the son of Zeruiah, and the servants of David, went out and came face to face with them by the pool of Gibeon; and they took up their position, facing one another on opposite sides of the pool.|Giô-áp, con trai của Xê-ru-gia, và các tôi tớ của Đa-vít, cũng kép ra; hai bên gặp nhau tại lối hồ Ga-ba-ôn, rồi bọn nầy ngồi ở bên nầy hồ, và bọn khác ngồi ở bên kia.
And Abner said to Joab, Let the young men give a test of their strength before us. And Joab said, Let them do so.|Bấy giờ, Ap-ne nói cùng Giô-áp rằng: Những kẻ trai trẻ nầy hãy chỗi dậy và trửng giỡn tại trước mặt chúng ta. Giô-áp nói: Chúng nó khá chổi dậy.
So they got up and went over by number: twelve for Benjamin and Ish-bosheth and twelve of the servants of David.|Vậy, chúng nó chổi dậy, đi tới số bằng nhau, mười hai người Bên-gia-min vì Ích-bô-sết, con trai Sau-lơ, và mười hai người trong các tôi tớ của Đa-vít.
And every one got the other by the head, driving his sword into the other's side, so they all went down together: and that place was named the Field of Sides, and it is in Gibeon.|Mỗi người bèn nắm đầu kẻ cừu địch mình, đâm gươm vào hông, và thảy đều ngã chết cùng nhau; chỗ đó bèn gọi là đồng Gươm, ở trong Ga-ba-ôn.
And there was hard fighting that day; and Abner and the men of Israel gave way before the servants of David.|Trong ngày đó có một chiến đấu rất dữ, Ap-ne và những người Y-sơ-ra-ên đều bị các tôi tớ của Đa-vít đánh bại.
There were three sons of Zeruiah there, Joab and Abishai and Asahel: and Asahel was as quick-footed as a roe of the fields.|Ở đó, có ba con trai của Xê-ru-gia, là Giô-áp, A-bi-sai, và A-sa-ên. Vả, A-sa-ên chạy lẹ làng như một con hoàng dương rừng.
Asahel went running after Abner, not turning to the right or to the left.|Người đuổi theo Ap-ne, không xây qua khỏi người, hoặc về bên hữu hay là bề bên tả.
Then Abner, looking back, said, Is it you, Asahel? And he said, It is I.|Vậy, Ap-ne ngó lại sau, và hỏi rằng: Có phải ngươi là A-sa-ên chăng? Người đáp: Phải, ấy là ta.
And Abner said, Then go to the right or to the left and put your hands on one of the fighting-men and take his arms. But Asahel would not be turned away from going after Abner.|Ap-ne nói cùng người rằng: Hãy đi qua phía hữu hay là phía tả, xông vào một người trong bọn trai trẻ, và lấy khí giới nó đi. Nhưng A-sa-ên không muốn xây khỏi người.
Then again Abner said to Asahel, Go to one side, do not keep on coming after me: why will you make me put an end to you? for then I will be shamed before your brother Joab.|Ap-ne lại nói cùng A-sa-ên rằng: Hãy xây khỏi ta, cớ sao buộc ta phải đánh giết ngươi nằm sải xuống đất? Ví bằng giết ngươi, ta dễ nào còn dám ngó mặt Giô-áp là anh ngươi?
But still he did not go to one side: so Abner gave him a back blow in the stomach with his spear, so that the spear came out at his back; and he went down on the earth, wounded to death: and all those who came to the place where Asahel went down dead, came to a stop.|Bởi người không khứng lánh đi, Ap-ne bèn lấy cán giáo mình đâm người nơi bụng, thấu đến sau lưng. A-sa-ên té xuống và chết tại chỗ; hết thảy người nào đến chỗ A-sa-ên ngã xuống chết, đều dừng lại tại đó.
But Joab and Abishai went after Abner: and the sun went down when they came to the hill of Ammah, which is to the east of the road through the waste land of Geba.|Giô-áp và A-bi-sai đuổi theo Ap-ne; khi hai người đến gò A-ma đối ngang Ghi -a, về hướng đồng vắng Ga-ba-ôn, thì mặt trời đã lặn.
And the men of Benjamin came together after Abner in one band, and took their places on the top of a hill.|Dân Bên-gia-min hiệp lại cùng Ap-ne, làm thành một đạo, và dừng lại trên chót một gò nỗng.
Then crying out to Joab, Abner said, Are fighting and destruction to go on for ever? do you not see that the end will only be bitter? how long will it be before you send the people back and make them give up attacking their countrymen?|Ap-ne bèn la lớn cùng Giô-áp rằng: Vậy, lưỡi gươm chưa thôi hủy diệt sao? Ngươi há chẳng biết cuối cùng sẽ là khổ sao? Ngươi không truyền lịnh cho dân sự thôi đuổi theo anh em mình cho đến chừng nào?
And Joab said, By the living God, if you had not given the word, the people would have gone on attacking their countrymen till the morning.|Giô-áp đáp rằng: Ta chỉ Đức Chúa Trời hằng sống mà thề rằng, nếu ông chẳng nói chi, thì dân sự không thôi đuổi theo anh em mình trước khi sáng mai.
So Joab had a horn sounded, and all the people came to a stop, and gave up going after Israel and fighting them.|Giô-áp truyền thổi kèn, hết thảy dân sự đều dừng lại, thôi đuổi theo dân Y-sơ-ra-ên, và không chiến đấu nữa.
And all that night Abner and his men went through the Arabah; they went over Jordan and through all Bithron and came to Mahanaim.|Ap-ne và các kẻ theo người trọn đêm đó đi ngang qua đồng bằng, sang sông Giô-đanh, trải khắp Bít-rôn, rồi đến Ma-ha-na-im.
And Joab came back from fighting Abner: and when he had got all his men together, it was seen that nineteen of David's men, in addition to Asahel, were not with them.|Giô-áp cũng thôi đuổi theo Ap-ne trở về, hiệp hết thảy dân sự: trong các đầy tớ của Đa-vít thì thiếu mười chín người và A-sa-ên.
But David's men had put to death three hundred and sixty of the men of Benjamin and of Abner's men|Các tôi tớ của Đa-vít có đánh chết ba trăm sáu mươi người trong dân Bên-gia-min và thủ hạ của Ap-ne.
And they took Asahel's body and put it in the last resting-place of his father in Beth-lehem. And Joab and his men, travelling all night, came to Hebron at dawn.|Chúng đem A-sa-ên, chôn trong mộ của cha người tại Bết-lê-hem. Đoạn, Giô-áp và các thủ hạ người đi trọn đêm, rạng đông đến Hếp-rôn.

					II Samuel 3				|
						II Sa-mu-ên 3					
Now there was a long war between Saul's people and David's people; and David became stronger and stronger, but those on Saul's side became more and more feeble.|Nhà Đa-vít và nhà Sau-lơ giao chiến nhau lâu ngày; nhưng Đa-vít càng ngày càng mạnh, còn nhà Sau-lơ càng ngày càng yếu.
While David was in Hebron he became the father of sons: the oldest was Amnon, son of Ahinoam of Jezreel;|Trong khi ở tại Hếp-rôn, Đa-vít sanh nhiều con trai. Con trưởng nam là Am-nôn, do A-hi-nô-am ở Gít-rê-ên;
And the second, Chileab, whose mother was Abigail, the wife of Nabal the Carmelite; and the third, Absalom, son of Maacah, the daughter of Talmai, king of Geshur;|con thứ nhì là Ki-lê-áp, do A-bi-ga-in, trước làm vợ của Na-banh ở Cạt-mên; con thứ ba là Ap-ra-lôn; mẹ người là Ma -a-ca, con gái của Thanh-mai, vua Ghê-su-rơ;
And the fourth, Adonijah, the son of Haggith; and the fifth, Shephatiah, the son of Abital;|con thứ tư là A-đô-ni-gia, con trai của Ha-ghít; con thứ năm là Se-pha-tia, con trai của A-bi-tanh;
And the sixth, Ithream, whose mother was David's wife Eglah. These were the sons of David, whose birth took place in Hebron.|và con thứ sáu là Dít-rê-am, do Ec-la là vợ Đa-vít. Đó là những con trai đã sanh cho Đa-vít, trong khi người ở tại Hếp-rôn.
Now while there was war between Saul's people and David's people, Abner was making himself strong among the supporters of Saul.|Trọn trong lúc nhà Sau-lơ và nhà Đa-vít tranh chiến nhau, thì Ap-ne binh vị nhà Sau-lơ.
Now Saul had among his wives a woman named Rizpah, the daughter of Aiah: and Ish-bosheth said to Abner, Why have you taken my father's wife?|Vả, Sau-lơ có một vợ lẽ, tên là Rít-ba, con gái của A-gia. Ích-bô-sết nói cùng Ap-ne rằng: Cớ sau ngươi đến cùng vợ lẽ của cha ta?
And Abner was very angry at the words of Ish-bosheth, and he said, Am I a dog's head of Judah? I am this day doing all in my power for the cause of your father Saul and for his brothers and his friends, and have not given you up into the hands of David, and now you say I have done wrong with a woman.|Ap-ne lấy làm giận lắm về các lời của Ích-bô-sết, mà nói rằng: Tôi há là đầu chó mà hầu việc Giu-đa sao? Hiện nay tôi hết lòng phú mình cho nhà của Sau-lơ, cha vua, cho các anh em bằng hữu vua, không để cho vua phải sa vào tay của Đa-vít; mà ngày nay vua lại trách tôi về lỗi phạm với người nữ nầy!
May God's punishment be on Abner, if I do not for David as the Lord in his oath has said,|Nguyện Đức Chúa Trời phạt tôi cách nặng nề, nếu tôi chẳng vì Đa-vít làm thành mọi điều Đức Giê-hô-va đã hứa cùng người:
And if I do not take away the kingdom from the family of Saul and make David ruler over Israel and Judah from Dan as far as Beer-sheba!|tức là dời nước khỏi nhà Sau-lơ qua nhà Đa-vít, và lập ngôi Đa-vít trên Y-sơ-ra-ên và trên Giu-đa, từ Đan cho đến Bê -e-Sê-ba.
And so great was Ish-bosheth's fear of Abner that he was not able to say a word in answer.|Ích-bô-sết không dám đáp một lời nào cùng Ap-ne, bởi vì sợ người.
And Abner sent men to David at Hebron, saying, Make an agreement with me, and I will give you my support in getting all Israel on your side.|Ap-ne sai sứ đến Đa-vít, đặng thay mình nói rằng: Xứ sẽ thuộc về ai? Hãy lập giao ước với tôi, tay tôi sẽ giúp ông, đặng hiệp lại cả Y-sơ-ra-ên cho ông.
And he said, It is well; I will make an agreement with you, but on one condition, which is, that when you come before me, Saul's daughter Michal is to come with you; till she comes you will not see my face.|Đa-vít đáp: Phải lắm; ta sẽ lập giao ước với ngươi. Ta chỉ xin ngươi một điều, là khi ngươi đến thăm ta, chớ đến ra mắt ta trước khi chưa dẫn Mi-canh, con gái của Sau-lơ đến.
And David sent men to Saul's son Ish-bosheth, saying, Give me back Michal, my wife, whom I made mine for the price of the private parts of a hundred Philistines.|Đa-vít bèn sai sứ giả đến Ích-bô-sết con trai của Sau-lơ mà nói rằng: Hãy trả lại Mi-canh, vợ ta, mà ta đã cưới bằng sinh lễ một trăm dương bì Phi-li-tin.
So Ish-bosheth sent and took her from her husband Paltiel, the son of Laish.|Ích-bô-sết bèn sai người bắt nàng nơi nhà chồng nàng, là Pha-ti-ên, con trai của La-ít
And her husband went with her as far as Bahurim, weeping while he went. Then Abner said to him, Go back. And he went back.|Chồng nàng vừa đưa đi vừa khóc, theo đến Ba-hu-rim. Đoạn, Ap-ne nói với người rằng: Hãy đi, trở về nhà ngươi. Rồi Pha-ti-ên trở về.
Then Abner had a talk with the chief men of Israel, saying, In the past it was your desire to make David your king: so now, do it:|Ap-ne nói cùng các trưởng lão Y-sơ-ra-ên rằng: Đã lâu nay, các ông ao ước được Đa-vít làm vua.
For the Lord has said of David, By the hand of my servant David I will make my people Israel safe from the Philistines, and from all who are against them.|Vậy bây giờ, hãy làm đi; vì Đức Giê-hô-va có phán cùng Đa-vít rằng: Ay bởi Đa-vít, tôi tớ ta, mà ta sẽ giải cứu dân Y-sơ-ra-ên ta khỏi tay dân Phi-li-tin và khỏi tay mọi kẻ thù nghịch họ.
And Abner said the same things to Benjamin: and he went to David in Hebron to make clear to him what seemed good to Israel and to all the people of Benjamin.|Ap-ne cũng nói như lời ấy cùng dân Bên-gia-min; đoạn người đi đến Hếp-rôn, để tỏ cho Đa-vít biết sự nghị định của Y-sơ-ra-ên và của cả nhà Bên-gia-min.
So Abner, with twenty men, came to Hebron, to David. And David made a feast for Abner and the men who were with him.|Vậy, Ap-ne đi đến Đa-vít tại Hếp-rôn, đem theo hai mươi người; rồi Đa-vít bày một tiệc đãi Ap-ne cùng những kẻ đi theo người.
And Abner said to David, Now I will go, and make all Israel come to my lord the king, so that they may make an agreement with you, and your kingdom may be as wide as your heart's desire. Then David sent Abner away and he went in peace.|Ap-ne bèn nói cùng Đa-vít rằng: Tôi sẽ đi hội hiệp lại cả dân Y-sơ-ra-ên đến cùng vua, là chúa tôi, hầu cho chúng lập giao ước với chúa, và chúa sẽ làm vua cho cả Y-sơ-ra-ên, y như lòng chúa ước ao. Vậy, Đa-vít cho Ap-ne về, và người đi bình yên.
Now the servants of David and Joab had been out attacking a band of armed men, and they came back with a great store of goods taken in the fight: but Abner was no longer in Hebron with David, for he had sent him away and he had gone in peace.|Vả, đầy tớ của Đa-vít đi cùng Giô-áp đánh quân thù nghịch trở về, có đem nhiều của giặc. Ap-ne chẳng còn ở cùng Đa-vít tại Hếp-rôn, vì Đa-vít đã cho người về, và người đi bình an.
When Joab and his men came, news was given them that Abner, the son of Ner, had come to the king, who had let him go away again in peace.|Vậy, Giô-áp cùng cả đạo binh trở về; người có đem tin cho người hay rằng: Ap-ne, con trai Nê-rơ, đã đến cùng vua, vua để cho người về, và người đi bình yên.
Then Joab came to the king, and said, What have you done? when Abner came to you why did you send him away and let him go?|Giô-áp bèn đến cùng vua mà hỏi rằng: Vua có làm điều chi? Kìa, Ap-ne đã đến nhà vua, cớ sau đã cho người đi về như vậy?
Is it not clear to you that Abner, the son of Ner, came with deceit to get knowledge of your going out and your coming in and of all you are doing?|Vua biết Ap-ne, con trai của Nê-rơ, chớ; người đến chỉ để gạt vua, để rình các đường đi ra đi vào của vua, và đặng biết mọi điều vua làm.
And when Joab had come out from David, he sent men after Abner, and they overtook him at the water-spring of Sirah, and made him come back with them: but David had no knowledge of it.|Đoạn, Giô-áp lui khỏi Đa-vít, sai những sứ giả theo Ap-ne nối gót mà diệu người từ hồ chứa nước Si-ra về, mà không cho Đa-vít hay.
And when Abner was back in Hebron, Joab took him on one side by the doorway of the town to have a word with him quietly, and there he gave him a wound in the stomach, causing his death in payment for the death of his brother Asahel.|Khi Ap-ne trở về Hếp-rôn, Giô-áp đem người riêng ra trong cửa thành, dường muốn nói việc kín cùng người; ở đó bèn đâm người trong bụng và giết đi, đặng báo thù huyết cho A-sa-ên, em của Giô-áp.
And when David had word of it he said, May I and my kingdom be clear for ever in the eyes of the Lord from the blood of Abner, the son of Ner:|Đa-vít liền hay, bèn nói rằng: Ta và nước ta vô tội đời đời trước mặt Đức Giê-hô-va về huyết của Ap-ne, con trai Nê-rơ.
May it come on the head of Joab and all his father's family: among the men of Joab's family may there ever be some who are diseased or lepers, or who do the work of women, or are put to the sword, or are wasted from need of food!|Nguyện huyết ấy đổ lại trên đầu Giô-áp và trên cả nhà cha người! Nguyện nhà Giô-áp chẳng thiếu người bị bịnh bạch trược, bịnh phung, kẻ bại xuội, kẻ bị gươm ngã chết, kẻ thiếu bánh ăn!
So Joab and Abishai his brother put Abner to death, because he had put to death their brother Asahel in the fight at Gibeon.|Giô-áp và A-bi-gia, em người, giết Ap-ne là như vậy; bởi vì Ap-ne đã giết A-sa-ên, em của hai người, sau khi chiến trận tại Ga-ba-ôn.
And David said to Joab and all the people who were with him, Go in grief and put haircloth about you, in sorrow for Abner. And King David went after the dead body.|Đa-vít nói cùng Giô-áp và cả dân sự theo người rằng: Hãy xé áo các ngươi, thắt bao nơi lưng, và than khóc Ap-ne. Trước Đa-vít đi theo sau linh cữu.
And they put Abner's body to rest in Hebron; and the king and all the people were weeping loudly by the resting-place of Abner's body.|Khi chúng đã chôn Ap-ne tại Hếp-rôn rồi, vua cất tiếng lên khóc tại mồ Ap-ne; cả dân sự cũng khóc.
And the king made a song of grief for Abner and said, Was the death of Abner to be like the death of a foolish man?|Vua làm một bài điếu Ap-ne rằng: Ap-ne há đáng chết như kẻ ngu dại chết sao?
Your hands were free, your feet were not chained: like the downfall of a man before evil men, so was your fall. And the weeping of the people over him went on again.|Tay ngươi chẳng bị trói, chơn người cũng chẳng mang xiềng; Ngươi ngã chết khác nào người ta ngã trước mặt kẻ sát nhơn.
And the people came to make David take food, while it was still day, but David with an oath said, May God's punishment be on me if I take a taste of bread or any other thing till the sun has gone down!|Nghe lời nầy, cả dân sự đều khóc. Đoạn, hết thảy đến gần xin người ăn ít miếng bánh trước khi hết ngày; nhưng Đa-vít thề rằng: Nếu trước khi mặt trời lặn, ta ăn một miếng bánh hay là vật chi khác, nguyện Đức Giê-hô-va phạt ta cách nặng nề.
And all the people took note of it and were pleased: like everything the king did, it was pleasing to the people.|Dân sự đều để ý vào đó và lấy làm tốt lành, chẳng có điều gì vua làm mà chúng không lấy làm tốt lành.
So it was clear to Israel and to all the people on that day that the king was not responsible for the death of Abner, the son of Ner.|Như vậy, trong ngày đó, dân Y-sơ-ra-ên nhìn biết rằng vua chẳng can gì đến tội giết Ap-ne, con trai của Nê-rơ.
And the king said to his servants, Do you not see that a chief and a great man has come to his end today in Israel?|Vua nói cùng các đầy tớ mình rằng: Một quan trưởng, một đại nhơn trong Y-sơ-ra-ên đã thác ngày nay; các ngươi há chẳng biết sao?
While I, though I am crowned king, have little strength, and these men, the sons of Zeruiah, are out of my control: may the Lord give to the evil-doer the reward of his evil-doing!|Về phần ta, ngày nay hãy còn yếu, dẫu rằng ta đã chịu xức dầu lập làm vua; và những kẻ kia, là các con trai của Xê-ru-gia, là cường bạo cho ta quá. Nguyện Đức Giê-hô-va báo kẻ làm ác nầy, tùy sự ác của nó!

					II Samuel 4				|
						II Sa-mu-ên 4					
And when Saul's son Ish-bosheth had news that Abner was dead in Hebron, his hands became feeble, and all the Israelites were troubled.|Khi con trai của Sau-lơ hay rằng Ap-ne đã thác tại Hếp-rôn, thì sờn lòng rủn chí, và cả Y-sơ-ra-ên đều bối rối.
And Saul's son had two men, captains of bands, one named Baanah and the other Rechab, sons of Rimmon the Beerothite, of the tribe of Benjamin; (for Beeroth was at one time taken to be part of Benjamin:|Vả, con trai Sau-lơ có hai đội trưởng, một người tên là Ba -a-na, một người tên là Rê-cáp: hai người là con trai của Rim-môn ở Bê-ê-rốt về chi phái Bên-gia-min,
But the people of Beeroth had gone in flight to Gittaim, where they have been living to this day.)|mặc dầu chúng đã chạy trốn nơi Ghi-tha-im, là nơi chúng ở cho đến ngày nay.
Now Jonathan, Saul's son, had a son whose feet were damaged. He was five years old when news of the death of Saul and Jonathan came from Jezreel, and the woman who took care of him took him up and went in flight: and while she was getting him away as quickly as she was able, he had a fall and his feet were damaged. His name was Mephibosheth.|Giô-na-than, con trai của Sau-lơ, có một con trai bại chơn: khi tin Sau-lơ và Giô-na-than thác ở Gít-rê-ên thấu đến, thì nó đã được năm tuổi. Vú nó đem nó chạy trốn; trong cơn lật đật trốn, nó té, nên nỗi nó trở nên què. Tên nó là Mê-phi-bô-sết.
