
					Jeremiah 1				|
See, this day I have put you over the nations and over the kingdoms, for uprooting and smashing down, for destruction and overturning, for building up and planting.|Hãy xem, ngày nay ta đã lập ngươi trên các dân các nước, đặng ngươi hoặc nhổ, hoặc phá, hoặc diệt, hoặc đổ, hoặc dựng, hoặc trồng.
Again the word of the Lord came to me, saying, Jeremiah, what do you see? And I said, I see a branch of an almond-tree.|Lại có lời Đức Giê-hô-va phán cùng tôi rằng: Hỡi Giê-rê-mi, ngươi thấy gì? Tôi thưa rằng: Tôi thấy một gậy bằng cây hạnh.
Then the Lord said to me, You have seen well: for I keep watch over my word to give effect to it.|Đức Giê-hô-va bèn phán: Ngươi thấy phải đó; ta sẽ tỉnh thức, giữ lời phán ta đặng làm trọn.
And the word of the Lord came to me a second time, saying, What do you see? And I said, I see a boiling pot, and its face is from the north.|Lại có lời Đức Giê-hô-va phán cùng tôi lần thứ hai mà rằng: Ngươi thấy gì? Tôi thưa: Tôi thấy một nồi nước sôi từ phương bắc bắn ra.
Then the Lord said to me, Out of the north evil will come, bursting out on all the people of the land.|Đức Giê-hô-va phán: Ay là hoạn nạn từ phương bắc sẽ giáng cho hết thảy dân cư đất nầy.
For see, I will send for all the families of the kingdoms of the north, says the Lord; and they will come, everyone placing his high seat at the way into Jerusalem, and against its walls on every side, and against all the towns of Judah.|Vậy, ta sẽ gọi mọi họ hàng của các nước phương bắc, Đức Giê-hô-va phán vậy, Chúng nó sẽ được, và ai nấy đặt ngôi mình nơi cửa thành Giê-ru-sa-lem, vây đánh các vách thành ấy, và các thành của Giu-đa.
And I will give my decision against them on account of all their evil-doing; because they have given me up, burning perfumes to other gods and worshipping the works of their hands.|Ta sẽ rao sự xét đoán ta nghịch cùng chúng nó, vì điều ác chúng nó đã làm; bởi chưng chúng nó đã lìa bỏ ta, đốt hương cho các thần khác, và thờ lạy việc tay mình làm ra.
So make yourself ready, and go and say to them everything I give you orders to say: do not be overcome by fear of them, or I will send fear on you before them.|Vậy, ngươi hãy thắt lưng, chờ dậy, bảo cho chúng nó mọi sự mà ta truyền cho ngươi. Đừng sợ sệt vì cớ chúng nó, kẻo ta làm cho ngươi sợ sệt trước mặt chúng nó chăng.
For see, this day have I made you a walled town, and an iron pillar, and walls of brass, against all the land, against the kings of Judah, against its captains, against its priests, and against the people of the land.|Nầy, ngày nay, ta lập ngươi lên làm thành vững bền, làm cột bằng sắt, làm tường bằng đồng, nghịch cùng cả đất nầy, nghịch cùng các vua Giu-đa, các quan trưởng nó, các thầy tế lễ, và dân trong đất.
They will be fighting against you, but they will not overcome you: for I am with you, says the Lord, to give you salvation.|Họ sẽ đánh nhau với ngươi, những không thắng ngươi; vì ta ở cùng ngươi đặng giải cứu ngươi, Đức Giê-hô-va phán vậy.

					Jeremiah 2				|
						Giê-rê-mi-a 2					
And the word of the Lord came to me, saying,|Có lời Đức Giê-hô-va phán cùng tôi rằng:
Go and say in the ears of Jerusalem, The Lord says, I still keep the memory of your kind heart when you were young, and your love when you became my bride; how you went after me in the waste of sand, in an unplanted land.|Hãy đi, kêu vào tại Giê-ru-sa-lem rằng: Đức Giê-hô-va phán như vầy: Ta còn nhớ về ngươi lòng nhơn từ của ngươi lúc đang thơ, tình yêu mến trong khi ngươi mới kết bạn, là khi ngươi theo ta nơi đồng vắng, trong đất không gieo trồng.
Israel was holy to the Lord, the first-fruits of his increase: all who made attacks on him were judged as wrongdoers, evil came on them, says the Lord.|Y-sơ-ra-ên vốn là dân biệt riêng ra thánh cho Đức Giê-hô-va; vốn là trái đầu mùa của hoa lợi Ngài. Phàm những kẻ nuốt dân ấy sẽ có tội; tai vạ sẽ lâm trên họ, Đức Giê-hô-va phải vậy.
Give ear to the words of the Lord, O sons of Jacob and all the families of Israel:|Hỡi nhà Gia-cốp, cùng các họ hàng nhà Y-sơ-ra-ên, hãy nghe lời Đức Giê-hô-va!
These are the words of the Lord: What evil have your fathers seen in me that they have gone far from me, and, walking after what is false, have become false?|Đức Giê-hô-va phán như vầy: Tổ phụ các ngươi có thấy điều không công bình gì trong ta, mà đã xa ta, bước theo sự hư không, và trở nên ngươi vô ích?
And they never said, Where is the Lord, who took us up out of the land of Egypt; who was our guide through the waste of sand, through an unplanted land full of deep holes, through a dry land of deep shade, which no one went through and where no man was living?|Họ không nói: Chớ nào Đức Giê-hô-va ở đâu? Ay là Đấng đã đem chúng ta khiến khỏi đất Ê-díp-tô, đã dắt chúng ta qua đồng vắng, trong đất sa mạc đầy hầm hố, trong đất khô khan và có bóng sự chết, là đất chẳng một người nào đi qua, và không ai ở.
And I took you into a fertile land, where you were living on its fruit and its wealth; but when you came in, you made my land unclean, and made my heritage a disgusting thing.|Ta đã đem các ngươi vào trong một đất có nhiều hoa quả, để ăn trái và hưởng lợi nó. Nhưng, vừa vào đó, các ngươi đã làm ô uế đất ta, đã làm cho sản nghiệp ta thành ra gớm ghiếc.
The priests did not say, Where is the Lord? and those who were expert in the law had no knowledge of me: and the rulers did evil against me, and the prophets became prophets of the Baal, going after things without value.|Các thầy tế lễ không còn nói: Nào Đức Giê-hô-va ở đâu? Những người giảng luật pháp chẳng biết ta nữa. Những kẻ chăn giữ đã bội nghịch cùng ta. Các tiên tri đã nhơn danh Ba-anh mà nói tiên tri, đi theo những sự không ích gì cả.
For this reason, I will again put forward my cause against you, says the Lord, even against you and against your children's children.|Đức Giê-hô-va phán: Vì cớ đó ta sẽ còn tranh cạnh cùng các ngươi, cho đến con cháu của con cháu các ngươi nữa.
For go over to the sea-lands of Kittim and see; send to Kedar and give deep thought to it; and see if there has ever been such a thing.|Hãy qua các cù lao Kít-tim mà xem! Hãy khiến người đến Kê-đa, và xét kĩ; xem thử có việc như vậy chăng.
Has any nation ever made a change in their gods, though they are no gods? but my people have given up their glory in exchange for what is of no profit.|Có nước nào thay đổi thần của mình, mặc dầu ấy chẳng phải là thần không? Nhưng dân ta đã đổi vinh hiển mình lấy vật vô ích!
Be full of wonder, O heavens, at this; be overcome with fear, be completely waste, says the Lord.|Hỡi các từng trời, hãy lấy làm lạ về sự đó; hãy kinh hãi gớm ghê, hãy rất tiêu điều, Đức Giê-hô-va phán.
For my people have done two evils; they have given up me, the fountain of living waters, and have made for themselves water-holes, cut out from the rock, broken water-holes, of no use for storing water.|Dân ta đã làm hai điều ác: chúng nó đã lìa bỏ ta, là nguồn nước sống, mà tự đào lấy hồ, thật, hồ nứt ra, không chứa nước được.
Is Israel a servant? has he been a house-servant from birth? why has he been made waste?|Y-sơ-ra-ên là đầy tớ, hay là tôi mọi sanh trong nhà? Vậy sao nó đã bị phó cho sự cướp?
The young lions have made an outcry against him with a loud voice: they have made his land waste; his towns are burned up, with no one living in them.|Các sư tử con gầm thét, rống lên inh ỏi nghịch cùng nó, làm cho đất nó thành ra hoang vu. Các thành nó bị đốt cháy, không có người ở nữa.
Even the children of Noph and Tahpanhes have put shame on you.|Con cháu của Nốp và Tác-pha-nết cũng đã làm giập sọ ngươi.
Has not this come on you because you have given up the Lord your God, who was your guide by the way?|Mọi điều đó há chẳng phải xảy ra cho ngươi vì đã lìa bỏ Giê-hô-va Đức Chúa Trời mình, khi Ngài dắt ngươi trên đường sao?
And now, what have you to do on the way to Egypt, to get your drink from the waters of the Nile? or what have you to do on the way to Assyria, to get your drink from the waters of the River?|Hiện bây giờ, người có việc gì mà đi đường qua Đức Chúa Trời đặng uống nước Si-ho? Có việc gì mà đi trong đường A-si-ri đặng uống nước Sông cái?
The evil you yourselves have done will be your punishment, your errors will be your judge: be certain then, and see that it is an evil and a bitter thing to give up the Lord your God, and no longer to be moved by fear of me, says the Lord, the Lord of armies.|Tội ác ngươi sự sửa phạt ngươi, sự bội nghịch ngươi sẽ trách ngươi, nên ngươi khá biết và thấy rằng lìa bỏ Giê-hô-va Đức Chúa Trời ngươi, và chẳng có lòng kính sợ ta, ấy là một sự xấu xa cay đắng, Chúa, là Đức Giê-hô-va vạn quân phán vậy.
For in the past, your yoke was broken by your hands and your cords parted; and you said, I will not be your servant; for on every high hill and under every branching tree, your behaviour was like that of a loose woman|Xưa kia ta đã bẻ ách ngươi, bứt xiềng ngươi, mà ngươi nói rằng: Tôi không vâng phục nữa; vì trên mỗi đồi cao, dưới mỗi cây xanh, ngươi đã cúi mình mà hành dâm.
But when you were planted by me, you were a noble vine, in every way a true seed: how then have you been changed into the branching plant of a strange vine?|Ta đã trồng ngươi như cây nho tốt, giống đều rặc cả; mà cớ sao ngươi đã đốc ra nhánh xấu của gốc nho lạ cho ta?
For even if you are washed with soda and take much soap, still your evil-doing is marked before me, says the Lord God.|Dầu ngươi lấy hỏa tiêu và dùng nhiều diêm cường rửa mình, tội lỗi ngươi cũng còn ghi mãi trước mặt ta, Chúa Giê-hô-va phán vậy.
How are you able to say, I am not unclean, I have not gone after the Baals? see your way in the valley, be clear about what you have done: you are a quick-footed camel twisting her way in and out;|Sao ngươi dám nói rằng: Ta không bị ô uế; ta chẳng từng đi theo thần tượng Ba-anh? Hãy xem đường ngươi trong nơi trũng; nhận biết điều ngươi đã làm, như lạc đà một gu lanh lẹ và buông tuồng,
An untrained ass, used to the waste land, breathing up the wind in her desire; at her time, who is able to send her away? all those who are looking for her will have no need to make themselves tired; in her month they will get her.|như lừa cái rừng, quen nơi đồng vắng, động tình dục mà hút gió. Trong cơn nóng nảy, ai hay xây trở nó được ư? Những kẻ tìm nó không cần mệt nhọc, đến trong tháng nó thì sẽ tìm được.
Do not let your foot be without shoes, or your throat dry from need of water: but you said, There is no hope: no, for I have been a lover of strange gods, and after them I will go.|Hãy giữ cho chơn ngươi chớ để trần, cổ ngươi chớ khát! Nhưng ngươi nói rằng: Ay là vô ích; không, vì ta thích kẻ lạ và sẽ theo chúng nó.
As the thief is shamed when he is taken, so is Israel shamed; they, their kings and their rulers, their priests and their prophets;|Như kẻ trộm bị bắt, xấu hổ thể nào, thì nhà Y-sơ-ra-ên, nào vua, nào quan trưởng, nào thầy tế lễ, nào kẻ tiên tri, cũng sẽ xấu hổ thể ấy.
Who say to a tree, You are my father; and to a stone, You have given me life: for their backs have been turned to me, not their faces: but in the time of their trouble they will say, Up! and be our saviour.|Chúng nói với gỗ rằng: Ngài là cha tôi; với đá rằng: Ngài đã sanh ra tôi. Vì chúng đã xây lưng lại cùng ta, mà không xây mặt lại với ta. Đoạn, đến ngày hoạn nạn, chúng sẽ nói rằng: Hãy chỗi dậy, cứu lấy chúng tôi!
But where are the gods you have made for yourselves? let them come, if they are able to give you salvation in the time of your trouble: for the number of your gods is as the number of your towns, O Judah.|Vậy chớ nào các thần mà các ngươi đã làm ra cho mình ở đâu? Nếu các thần ấy có thể cứu các ngươi trong kỳ hoạn nạn, thì hãy chỗi dậy mà cứu! Hỡi Giu-đa, vì số các thần ngươi cũng bằng các thành ngươi!
Why will you put forward your cause against me? You have all done evil against me, says the Lord.|Sao ngươi biện luận cùng ta? Các ngươi thảy đều đã phạm tội nghịch cùng ta, Đức Giê-hô-va phán vậy.
I gave your children blows to no purpose; they got no good from training: your sword has been the destruction of your prophets, like a death-giving lion.|Ta đã đánh con cái các ngươi là vô ích: chúng nó chẳng chịu sự dạy dỗ. Gươm các ngươi đã nuốt các kẻ tiên tri mình, như sư tử phá hại.
O generation, see the word of the Lord. Have I been a waste land to Israel? or a land of dark night? why do my people say, We have got loose, we will not come to you again?|Hỡi dòng dõi nầy! Hãy rõ lời Đức Giê-hô-va phán: Ta há là một đồng vắng hay là một đất tối tăm mờ mịt cho dân Y-sơ-ra-ên sao? Làm sao dân ta có nói rằng: chúng tôi đã buông tuồng, không đến cùng Ngài nữa?
Is it possible for a virgin to put out of her memory her ornaments, or a bride her robes? but my people have put me out of their memories for unnumbered days.|Con gái đồng trinh há quên đồ trang sức mình, này dâu mới há quên áo đẹp của mình sao? Nhưng dân ta đã quên ta từ những ngày không tính ra được.
With what care are your ways ordered when you are looking for love! so ... your ways.|Sao ngươi cứ dọn đường mình để tìm tình ái! đến nỗi đã dạy cho những đờn bà xấu nết theo lối mình.
And in the skirts of your robe may be seen the life-blood of those who have done no wrong: ...|Nơi vạt áo ngươi cũng đã thấy máu của kẻ nghèo nàn vô tội, chẳng phải vì cớ nó đào ngạch, bèn là vì cớ mọi điều đó.
And still you said, I have done no wrong; truly, his wrath is turned away from me. See, I will take up the cause against you, because you say, I have done no wrong.|Ngươi lại còn nói rằng: Tôi vô tội, thật cơn giận của Ngài lìa khỏi tôi! Nầy, vì ngươi nói rằng: Tôi không có tội, ừ, ta sẽ đoán xét ngươi.
Why do you go about so much for the purpose of changing your way? you will be shamed on account of Egypt, as you were shamed on account of Assyria.|Sao ngươi chạy mau để đổi đường ngươi? Xưa kia ngươi xấu hổ về A-si-ri, nay cũng sẽ xấu hổ về Ê-díp-tô.
Truly, you will go out from him with your hands on your head: for the Lord has given up those in whom you have put your faith, and they will be of no help to you.|Ngươi sẽ chấp tay lên trên đầu, mà đi ra từ nơi đó. Vì Đức Giê-hô-va duồng bỏ những kẻ mà ngươi trông cậy, ngươi sẽ chẳng được thạnh vượng gì bởi chúng nó.

					Jeremiah 3				|
						Giê-rê-mi-a 3					
They say, If a man puts away his wife and she goes from him and becomes another man's, will he go back to her again? will not that land have been made unclean? but though you have been acting like a loose woman with a number of lovers, will you now come back to me? says the Lord.|Người ta nói rằng: Nếu người kia bỏ vợ mình, và nếu khi ly dị rồi vợ lấy chồng khác, thì người chồng trước có lẽ nào còn trở lại cùng đờn bà đó sao? Nếu vậy thì trong đất há chẳng bị ô uế lắm sao? Vả, ngươi đã hành dâm với nhiều người yêu, còn toan trở lại cùng ta sao? Đức Giê-hô-va phán vậy.
Let your eyes be lifted up to the open hilltops, and see; where have you not been taken by your lovers? You have been seated waiting for them by the wayside like an Arabian in the waste land; you have made the land unclean with your loose ways and your evil-doing.|Hãy ngước mắt xem các gò hoang; có nơi nào mà ngươi chẳng hành dâm? Người đã ngồi bên đường để chờ đợi người yêu, như người A rạp trong đồng vắng; và ngươi đã đem sự đâm loạn bậy bạ mà làm dơ nhớp đất nầy.
So the showers have been kept back, and there has been no spring rain; still your brow is the brow of a loose woman, you will not let yourself be shamed.|Vậy nên mưa đã bị ngăn cấm, không được mưa cuối mùa. Dầu thế, ngươi cũng vênh trán lên như đờn bà dâm đãng; chẳng biết xấu hổ.
Will you not, from this time, make your prayer to me, crying, My father, you are the friend of my early years?|Từ nay về sau ngươi há chẳng kêu đến ta rằng: Hỡi Cha tôi, Ngài là Đấng dẫn dắt tôi trong khi tôi trẻ, hay sao?
Will he be angry for ever? will he keep his wrath to the end? These things you have said, and have done evil and have had your way.|Ngài há sẽ cầm giận mãi mãi, và nuôi cơn thạnh nộ đến cuối cùng sao?... Nầy, ngươi dầu nói như vậy, mà cũng cứ phạm tội, theo lòng mình muốn.
And the Lord said to me in the days of Josiah the king, Have you seen what Israel, turning away from me, has done? She has gone up on every high mountain and under every branching tree, acting like a loose woman there.|Đương đời vua Giô-si -a, Đức Giê-hô-va phán cùng tôi rằng: Ngươi có thấy điều mà Y-sơ-ra-ên, là dân bội nghịch, đã làm chăng? Nó đã lên mỗi núi cao, đến dưới mỗi cây xanh, mà hành dâm tại đó.
And I said, After she has done all these things she will come back to me; but she did not. And her false sister Judah saw it.|Ta từng nói rằng: Sau khi nó đã làm hết mọi sự ấy, sẽ trở về cùng ta. Nhưng nó không trở về. Em gái quỉ quyệt nó là Giu-đa đã thấy.
And though she saw that, because Israel, turning away from me, had been untrue to me, I had put her away and given her a statement in writing ending the relation between us, still Judah, her false sister, had no fear, but went and did the same.|Dầu ta đã bỏ Y-sơ-ra-ên bội nghịch và đã cho nó tờ để, vì cớ nó ngoại tình, ta cũng còn thấy em gái quỉ quyệt nó, là Giu-đa, chẳng sợ sệt chi; nhưng nó cũng cứ đi hành dâm.
So that through all her loose behaviour the land became unclean, and she was untrue, giving herself to stones and trees.|Vì nó khinh sự dâm loạn mình, thì làm ô uế đất nầy, hành dâm với đá và gỗ.
But for all this, her false sister Judah has not come back to me with all her heart, but with deceit, says the Lord.|Dầu vậy, em gái quỉ quyệt nó, là Giu-đa, cũng chẳng trở về cùng ta cách hết lòng, chẳng qua là giả dối, Đức Giê-hô-va phán vậy.
And the Lord said to me, Israel in her turning away is seen to be more upright than false Judah.|Đức Giê-hô-va cũng có phán cùng tôi rằng: Y-sơ-ra-ên bội nghịch so với Giu-đa quỉ quyệt, còn tỏ ra công bình hơn.
Go, and give out these words to the north, and say, Come back, O Israel, though you have been turned away from me, says the Lord; my face will not be against you in wrath: for I am full of mercy, says the Lord, I will not be angry for ever.|Hãy đi, xây về phía bắc, rao lên những lời nầy: Đức Giê-hô-va phán: Hỡi Y-sơ-ra-ên bội nghịch; hãy trở về! Ta sẽ không lấy nét mặt giận nhìn ngươi đâu, vì ta hay thương xót; ta chẳng ngậm giận đời đời, Đức Giê-hô-va phán vậy.
Only be conscious of your sin, the evil you have done against the Lord your God; you have gone with strange men under every branching tree, giving no attention to my voice, says the Lord.|Chỉn ngươi phải nhận lỗi mình: ngươi đã phạm tội nghịch cùng Giê-hô-va Đức Chúa Trời ngươi; ngươi đã chạy khắp mọi ngả nơi các thần khác ở dưới mỗi cây xanh, mà không vâng theo tiếng ta, Đức Giê-hô-va phán vậy.
Come back, O children who are turned away, says the Lord; for I am a husband to you, and I will take you, one from a town and two from a family, and will make you come to Zion;|Đức Giê-hô-va phán: Hỡi con cái bội nghịch, hãy trở về; vì ta là chồng ngươi. Trong vòng các ngươi, ta sẽ lựa mỗi thành một người, mỗi họ hai người, mà đem đến Si-ôn.
And I will give you keepers, pleasing to my heart, who will give you your food with knowledge and wisdom.|Ta sẽ ban các kẻ chăn giữ vừa lòng ta cho các ngươi, các kẻ ấy sẽ lấy sự sáng suốt khôn ngoan mà chăn nuôi các ngươi.
And it will come about, when your numbers are increased in the land, in those days, says the Lord, that they will no longer say, The ark of the agreement of the Lord: it will not come into their minds, they will not have any memory of it, or be conscious of the loss of it, and it will not be made again.|Đức Giê-hô-va phán: Trong những ngày đó, khi các ngươi sanh sản thêm nhiều ra trong đất, thì người ta sẽ không nói đến hòm giao ước của Đức Giê-hô-va nữa! Người ta sẽ không còn tưởng đến, không còn nhớ đến, không còn tiếc đến, và không làm một cái khác.
At that time Jerusalem will be named the seat of the Lord's kingdom; and all the nations will come together to it, to the name of the Lord, to Jerusalem: and no longer will their steps be guided by the purposes of their evil hearts.|Trong thời đó người ta sẽ gọi Giê-ru-sa-lem là ngôi của Đức Giê-hô-va, và hết thảy các nước đều nhóm về Giê-ru-sa-lem, về danh Đức Giê-hô-va; mà không bước theo sự cứng cỏi của lòng ác mình nữa.
In those days the family of Judah will go with the family of Israel, and they will come together out of the land of the north into the land which I gave for a heritage to your fathers.|Trong những ngày đó nhà Giu-đa sẽ đồng đi với nhà Y-sơ-ra-ên, hai đàng cùng nhau từ đất phương bắc trở về trong đất mà ta đã ban cho tổ phụ các ngươi làm sản nghiệp.
But I said, How am I to put you among the children, and give you a desired land, a heritage of glory among the armies of the nations? and I said, You are to say to me, My father; and not be turned away from me.|Ta từng phán rằng: Ta sẽ đặt ngươi giữa vòng các con cái, ta sẽ cho ngươi một đất tốt, cơ nghiệp quí giá của cơ binh các nước là dường nào! Ta từng phán: Ngươi sẽ gọi ta bằng Cha tôi! và chớ xây lại mà không theo ta.
Truly, as a wife is false to her husband, so have you been false to me, O Israel, says the Lord.|Nhưng hỡi nhà Y-sơ-ra-ên, thật như một người đờn bà lìa chồng mình cách quỉ quyệt thể nào, thì các ngươi cũng quỉ quyệt với ta thể ấy, Đức Giê-hô-va phán vậy.
A voice is sounding on the open hilltops, the weeping and the prayers of the children of Israel; because their way is twisted, they have not kept the Lord their God in mind.|Có tiếng nghe ra trên các gò trọi: ấy là tiếng con cháu Y-sơ-ra-ên khóc lóc cầu khấn, vì chúng nó đã đi trong đường quanh queo; đã quên Giê-hô-va Đức Chúa Trời mình.
Come back, you children who have been turned away, and I will take away your desire for wandering. See, we have come to you, for you are the Lord our God.|Hỡi con cái bội nghịch, hãy trở lại! Ta sẽ chữa sự bội nghịch cho. Các ngươi nói rằng: Nầy, chúng tôi về cùng Ngài, vì Ngài là Giê-hô-va Đức Chúa Trời chúng tôi.
Truly, the hills, and the noise of an army on the mountains, are a false hope: truly, in the Lord our God is the salvation of Israel.|Thật đợi sự cứu nơi các gò là vô ích, tiếng ồn ào trên các núi là hư không; thật, sự cứu rỗi của Y-sơ-ra-ên là ở trong Giê-hô-va Đức Chúa Trời chúng tôi.
But the Baal has taken all the work of our fathers from our earliest days; their flocks and their herds, their sons and their daughters.|Từ lúc chúng tôi còn trẻ nhỏ, vật xấu hổ đã nuốt hết công việc của tổ phụ chúng tôi, bầy chiên, bầy bò, con trai, con gái chúng nó.
Let us be stretched on the earth in our downfall, covering ourselves with our shame: for we have been sinners against the Lord our God, we and our fathers, from our earliest years even till this day: and we have not given ear to the voice of the Lord our God.|Chúng tôi phải nằm trong sự xấu hổ mình! Vì chúng tôi cùng tổ phụ chúng tôi đã phạm tội nghịch cùng Giê-hô-va Đức Chúa Trời chúng tôi; từ khi còn trẻ cho đến ngày nay; chúng tôi không vâng theo tiếng Giê-hô-va Đức Chúa Trời chúng tôi.

					Jeremiah 4				|
						Giê-rê-mi-a 4					
If you will come back, O Israel, says the Lord, you will come back to me: and if you will put away your disgusting ways, you will not be sent away from before me.|Đức Giê-hô-va phán: Hỡi Y-sơ-ra-ên, nếu ngươi trở về cùng ta, nếu trở về cùng ta, và nếu ngươi bỏ những việc gớm ghiếc khỏi trước mắt ta, thì ngươi sẽ chẳng bị dời đi nữa.
And you will take your oath, By the living Lord, in good faith and wisdom and righteousness; and the nations will make use of you as a blessing, and in you will they take a pride.|Ngươi sẽ lấy sự thật thà, ngay thẳng, công bình, mà thề rằng: Thật như Đức Giê-hô-va hằng sống, các nước sẽ được phước bởi Ngài và vinh hiển trong Ngài.
For this is what the Lord says to the men of Judah and to Jerusalem: Get your unworked land ploughed up, do not put in your seeds among thorns.|Vả, Đức Giê-hô-va phán cùng người Giu-đa và cùng Giê-ru-sa-lem như vầy: Hãy cày mở ruộng mới các ngươi, chớ gieo trong gai gốc.
Undergo a circumcision of the heart, you men of Judah and people of Jerusalem: or my wrath may come out like fire, burning so that no one is able to put it out, because of the evil of your doings.|Hỡi các ngươi, là người Giu-đa và dân cư Giê-ru-sa-lem, hãy tự cắt bì mình cho Đức Giê-hô-va, và cất dương bì khỏi lòng ngươi! Bằng chẳng vậy, cơn giận ta sẽ phừng lên như lửa, đốt cháy các ngươi, không ai giập tắt được, vì việc ác các ngươi đã làm.
Say openly in Judah, give it out in Jerusalem, and say, Let the horn be sounded in the land: crying out in a loud voice, Come together, and let us go into the walled towns.|Hãy rao ra trong Giu-đa; hãy truyền trong Giê-ru-sa-lem rằng: Hãy thổi kèn trong đất. Hãy kêu lớn tiếng rằng: Khá nhóm nhau lại và đi vào các thành bền vững.
Put up a flag for a sign to Zion: go in flight so that you may be safe, waiting no longer: for I will send evil from the north, and a great destruction.|Khá dựng cờ hướng về Si-ôn! Hãy trốn đi, đừng dừng lại! Vì ta khiến từ phương bắc đến một tai nạn, tức là một sự hư hại lớn.
A lion has gone up from his secret place in the woods, and one who makes waste the nations is on his way; he has gone out from his place, to make your land unpeopled, so that your towns will be made waste, with no man living in them.|Sư tử ra từ rừng nó, kẻ hủy diệt các nước bắt đầu ra đi khỏi chỗ mình, đặng làm cho đất ngươi ra hoang vu; các thành ngươi trở nên gò đống, và không có người ở.
For this put on haircloth, with weeping and loud crying: for the burning wrath of the Lord is not turned back from us.|Vậy nên, các ngươi hãy thắt bao gai, khóc và than thở, vì cơn giận phừng phừng của Đức Giê-hô-va chưa lìa khỏi chúng ta đâu.
And it will come about in that day, says the Lord, that the heart of the king will be dead in him, and the hearts of the rulers; and the priests will be overcome with fear, and the prophets with wonder.|Đức Giê-hô-va phán trong những ngày đó, vua và các quan trưởng sửng sốt trong lòng; các thầy tế lễ bỡ ngỡ, các kẻ tiên tri lấy làm lạ.
Then said I, Ah, Lord God! your words were not true when you said to this people and to Jerusalem, You will have peace; when the sword has come even to the soul.|Bấy giờ tôi nói: Oi! hỡi Chúa Giê-hô-va! Thật Ngài đã phỉnh dân nầy và Giê-ru-sa-lem lắm, mà nói rằng: Các ngươi sẽ được bình an! Những lưỡi gươm đã thấu đến sự sống.
At that time it will be said to this people and to Jerusalem, A burning wind from the open hilltops in the waste land is blowing on the daughter of my people, not for separating or cleaning the grain;|Trong thời đó, sẽ nói cùng dân nầy và Giê-ru-sa-lem rằng: Gió nóng đến từ các gò trọi nơi đồng vắng, thổi trên con gái dân ta, nhưng chẳng dùng để dê lúa được, và cũng chẳng làm cho sạch được.
A full wind will come for me: and now I will give my decision against them.|Lại có gió lớn hơn nữa vì ta mà đến. Nay ta sẽ rao sự đoán xét nghịch cùng chúng nó.
See, he will come up like the clouds, and his war-carriages like the storm-wind: his horses are quicker than eagles. Sorrow is ours, for destruction has come on us.|Nầy, nó sẽ lên như một đám mây, xe cộ nó dường cơn gió lốc, ngựa nó lẹ như chim ưng. Khốn cho chúng ta, vì bị hủy diệt!
O Jerusalem, make your heart clean from evil, so that you may have salvation. How long are evil purposes to have a resting-place in you?|Hỡi Giê-ru-sa-lem, hãy làm sạch hết điều ác trong lòng ngươi, hầu cho ngươi được cứu. Ngươi nuôi những ý tưởng gian ác trong lòng cho đến chừng nào?
For a voice is sounding from Dan, giving out evil from the hills of Ephraim:|Vì có tiếng đến từ đất Đan, từ gò Ep-ra-im rao truyền tai vạ.
