
					I Samuel 1				|
And with grief in her soul, weeping bitterly, she made her prayer to the Lord.|An-ne lấy làm sầu khổ trong lòng, vừa cầu khẩn Đức Giê-hô-va, vừa tuôn tràn giọt lệ.
And she made an oath, and said, O Lord of armies, if you will truly take note of the sorrow of your servant, not turning away from me but keeping me in mind, and will give me a man-child, then I will give him to the Lord all the days of his life, and his hair will never be cut.|Nàng hứa nguyện rằng: Oi, Đức Giê-hô-va của vạn quân, nếu Ngài đoái xem nỗi sầu khổ của con đòi Ngài, nhớ lại nó chẳng quên, và ban cho con đòi Ngài một đứa con trai, thì tôi sẽ phú dâng nó trọn đời cho Đức Giê-hô-va, và dao cạo sẽ chẳng đưa qua ngang đầu nó.
Now while she was a long time in prayer before the Lord, Eli was watching her mouth.|Vì nàng cầu nguyện lâu dài trước mặt Đức Giê-hô-va, Hê-li chăm xem miệng nàng;
For Hannah's prayer came from her heart, and though her lips were moving she made no sound: so it seemed to Eli that she was overcome with wine.|vả, An-ne nói trong lòng, chỉ nhóp nhép miệng mà thôi, không có ai nghe tiếng nàng; nên Hê-li tưởng nàng say,
And Eli said to her, How long are you going to be the worse for drink? Put away the effects of your wine from you.|bèn hỏi rằng: Chừng nào nàng mới hết say? Hãy đi giã rượu đi.
And Hannah, answering him, said, No, my lord, I am a woman whose spirit is broken with sorrow: I have not taken wine or strong drink, but I have been opening my heart before the Lord.|An-ne thưa rằng: Chẳng phải vậy, chúa; tôi vốn một đờn bà có lòng buồn bực, chẳng uống rượu hay là vật gì uống say; nhưng tôi giãi bày lòng tôi ra trước mặt Đức Giê-hô-va.
Do not take your servant to be a good-for-nothing woman: for my words have come from my stored-up sorrow and pain.|Chớ tưởng con đòi của ông là một người đờn bà gian ác; vì nỗi đau đớn và ưu phiền quá độ của tôi bắt tôi phải nói đến bây giờ.
Then Eli said to her, Go in peace: and may the God of Israel give you an answer to the prayer you have made to him.|Hê-li bèn tiếp rằng: Hãy đi bình yên, nguyện Đức Chúa Trời của Y-sơ-ra-ên nhậm lời nàng đã cầu xin cùng Ngài!
And she said, May your servant have grace in your eyes. So the woman went away, and took part in the feast, and her face was no longer sad.|Nàng thưa rằng: Nguyện con đòi ông được ơn trước mắt ông! Đoạn, người nữ lui ra, ăn, và nét mặt nàng chẳng còn ra ưu sầu nữa.
And early in the morning they got up, and after worshipping before the Lord they went back to Ramah, to their house: and Elkanah had connection with his wife; and the Lord kept her in mind.|Qua ngày sau vợ chồng dậy sớm, thờ lạy trước mặt Đức Giê-hô-va, đoạn trở về nhà mình tại Ra-ma. En-ca-na ăn ở cùng An-ne, là vợ mình; Đức Giê-hô-va bèn nhớ đến nàng.
Now the time came when Hannah, being with child, gave birth to a son; and she gave him the name Samuel, Because, she said, I made a prayer to the Lord for him.|Đương trong năm, An-ne thọ thai và sanh một con trai, đặt tên là Sa-mu-ên, mà nói rằng: Tôi đã cầu xin nó nơi Đức Giê-hô-va.
And the man Elkanah with all his family went up to make the year's offering to the Lord, and to give effect to his oath.|En-ca-na, chồng nàng, và cả nhà người đi lên đặng dâng cho Đức Giê-hô-va của lễ hằng năm và làm xong sự hứa nguyện mình.
But Hannah did not go, for she said to her husband, I will not go till the child has been taken from the breast, and then I will take him with me and put him before the Lord, where he may be for ever.|Nhưng An-ne không đi lên, vì nói cùng chồng nàng rằng: Khi đứa trẻ dứt sữa, tôi sẽ dẫn nó lên, để nó ra mắt Đức Giê-hô-va, và ở đó luôn luôn.
And her husband Elkanah said to her, Do whatever seems right to you, but not till you have taken him from the breast; only may the Lord do as he has said. So the woman, waiting there, gave her son milk till he was old enough to be taken from the breast.|En-ca-na, chồng nàng, đáp rằng: Hãy làm theo ý nàng cho là phải, ở lại đây cho đến chừng nàng dứt sữa nó. Chỉn nguyện Đức Giê-hô-va làm ứng nghiệm lời hứa của Ngài! Vậy, nàng ở lại nhà, cho con bú đến lúc dứt sữa.
Then when she had done so, she took him with her, with a three-year old ox and an ephah of meal and a skin full of wine, and took him to the house of the Lord at Shiloh: now the child was still very young.|Vừa khi dứt sữa, nàng bèn dẫn nó theo mình đến đền của Đức Giê-hô-va tại Si-lô, cùng đem theo ba con bò đực, một Ê-pha bột mì, và một bầu rượu. Đứa trẻ hãy còn nhỏ lắm.
And when they had made an offering of the ox, they took the child to Eli.|Họ giết con bò đực, rồi dẫn đứa trẻ đến Hê-li.
And she said, O my lord, as your soul is living, my lord, I am that woman who was making a prayer to the Lord here by your side:|Nàng bèn nói cùng người rằng: Xin lỗi, chúa! xưa có người đờn bà đứng tại đây, gần bên ông, đặng cầu khẩn Đức Giê-hô-va, tôi chỉ sanh mạng ông mà thề rằng tôi là người đó.
My prayer was for this child; and the Lord has given him to me in answer to my request:|Ay vì đứa trẻ nầy mà tôi cầu nguyện. Đức Giê-hô-va đã nhậm lời tôi đã cầu xin cùng Ngài.
So I have given him to the Lord; for all his life he is the Lord's. Then he gave the Lord worship there.|Vì vậy, tôi cũng dâng nó cho Đức Giê-hô-va; tôi cho Đức Giê-hô-va mượn nó trọn đời nó. Đoạn mẹ con đều thờ lạy tại đó trước mặt Đức Giê-hô-va.

					I Samuel 2				|
						I Sa-mu-ên 2					
And Hannah, in prayer before the Lord, said, My heart is glad in the Lord, my horn is lifted up in the Lord: my mouth is open wide over my haters; because my joy is in your salvation.|Bấy giờ An-ne cầu nguyện mà rằng: Đức Giê-hô-va khiến lòng tôi khấp khởi vui mừng, Và đỡ cho mặt tôi ngước lên. Miệng tôi thách đố kẻ thù nghịch tôi; Vì sự chửng cứu Ngài làm cho tôi đầy khoái lạc.
No other is holy as the Lord, for there is no other God but you: there is no Rock like our God.|Chẳng ai thánh như Đức Giê-hô-va; Chẳng có Chúa nào khác hơn Ngài! Không có hòn đá nào như Đức Chúa Trời của chúng ta.
Say no more words of pride; let not uncontrolled sayings come out of your mouths: for the Lord is a God of knowledge, by him acts are judged.|Thôi, chớ nói những lời kiêu ngạo, Chớ để những lời xấc xược ra từ miệng các ngươi nữa; Vì Giê-hô-va là Đức Chúa Trời thông biết mọi điều, Ngài cân nhắc mọi việc làm của người.
The bows of the men of war are broken, and the feeble are clothed with strength.|Cây cung của kẻ dõng sĩ đã gãy, Còn người yếu mòn thắt lưng bằng sức lực.
Those who were full are offering themselves as servants for bread; those who were in need are at rest; truly, she who had no children has become the mother of seven; and she who had a family is wasted with sorrow.|Kẻ vốn no nê phải làm mướn đặng kiếm ăn, Và người xưa đói đã được no nê, Người đờn bà vốn son sẻ, sanh sản bảy lần, Còn người có nhiều con, ra yếu mỏn.
The Lord is the giver of death and life: sending men down to the underworld and lifting them up.|Đức Giê-hô-va khiến cho chết, cho sống; Ngài đem người xuống mồ mả, Rồi khiến lại lên khỏi đó.
The Lord gives wealth and takes a man's goods from him: crushing men down and again lifting them up;|Đức Giê-hô-va làm cho nghèo nàn, và làm cho giàu có; Ngài hạ người xuống, lại nhắc người lên, Đem kẻ khốn cùng ra khỏi bụi đất, Và rút người nghèo khổ ra ngoài đống phân, Đặng để họ ngồi bên các quan trưởng, Cùng ban cho một ngôi vinh hiển làm cơ nghiệp;
Lifting the poor out of the dust, and him who is in need out of the lowest place, to give them their place among rulers, and for their heritage the seat of glory: for the pillars of the earth are the Lord's and he has made them the base of the world.|Vì các trụ của trái đất thuộc về Đức Giê-hô-va: Ngài đã đặt thế gian ở trên đó.
He will keep the feet of his holy ones, but the evil-doers will come to their end in the dark night, for by strength no man will overcome.|Đức Giê-hô-va sẽ giữ chơn của các thánh Ngài; Còn những kẻ ác sẽ bị hư mất nơi tăm tối; Vì chẳng do sức riêng mình mà người nào được thắng.
Those who make war against the Lord will be broken; against them he will send his thunder from heaven: the Lord will be judge of the ends of the earth, he will give strength to his king, lifting up the horn of him on whom the holy oil has been put.|Kẻ nào chống cãi Đức Giê-hô-va sẽ bị phá tan! Từ trên trời cao, Đức Giê-hô-va sẽ sấm sét cùng chúng nó. Ngài sẽ đoán xét bốn phương của đất, Ban thế lực cho vua Ngài, Và làm cho quyền năng Đấng chịu xức dầu của Ngài ra lớn.
Then Elkanah went to Ramah to his house. And the child became the servant of the Lord under the direction of Eli the priest.|En-ca-na trở về nhà mình tại Ra-ma, còn đứa trẻ ở lại phục sự Đức Giê-hô-va trước mặt Hê-li, thầy tế lễ.
Now the sons of Eli were evil and good-for-nothing men, having no knowledge of the Lord.|Hai con trai của Hê-li là người gian tà, chẳng nhận biết Đức Giê-hô-va.
And the priests' way with the people was this: when any man made an offering, the priest's servant came while the flesh was being cooked, having in his hand a meat-hook with three teeth;|Các thầy tế lễ thường đãi dân sự như vầy: Phàm khi có ai dâng của lễ, thì tôi tớ thầy tế lễ đến lúc người ta nấu thịt, tay cầm chĩa ba,
This he put into the pot, and everything which came up on the hook the priest took for himself. This they did in Shiloh to all the Israelites who came there.|chích vào hoặc trong cái vạc, cái chảo, cái nồi, hay là trong chảo nhỏ. Hễ món nào dính chĩa ba, thì thầy tế lễ bèn lấy. Đó là cách họ đối với hết thảy dân Y-sơ-ra-ên đến Si-lô.
And more than this, before the fat was burned, the priest's servant would come and say to the man who was making the offering, Give me some of the flesh to be cooked for the priest; he has no taste for meat cooked in water, but would have you give it uncooked.|Lại trước khi xông mỡ, kẻ tôi tớ thầy tế lễ cũng đến nói cùng người dâng của lễ rằng: Hãy đưa thịt để nướng cho thầy tế lễ; người không nhậm thịt luộc của ngươi, nhưng chỉ nhậm thịt sống mà thôi.
And if the man said to him, First let the fat be burned, then take as much as you will; then the servant would say, No, you are to give it to me now, or I will take it by force.|Ví bằng người đó đáp rằng; Người ta sẽ xông mỡ, kế sau sẽ lấy phần chi đẹp ý ngươi, thì kẻ tôi tớ đó nói: Không, người phải cho tức thì, bằng không, ta sẽ giựt lấy.
And the sin of these young men was very great before the Lord; for they gave no honour to the Lord's offerings.|Tội lỗi của hai người trai trẻ nầy lấy làm rất lớn trước mặt Đức Giê-hô-va; vì họ gây cho người ta khinh bỉ các của tế lễ dâng cho Đức Giê-hô-va.
But Samuel did the work of the Lord's house, while he was a child, dressed in a linen ephod.|Còn Sa-mu-ên phục sự trước mặt Đức Giê-hô-va. Người hãy còn thơ ấu, thắt lưng một cái ê-phót bằng vải gai.
And his mother made him a little robe and took it to him every year when she came with her husband for the year's offering.|Mỗi năm, mẹ người may cho một cái áo dài nhỏ, đem ban cho người trong khi lên với chồng đặng dâng của lễ hằng năm.
And every year Eli gave Elkanah and his wife a blessing, saying, May the Lord give you offspring by this woman in exchange for the child you have given to the Lord. And they went back to their house.|Hê-li chúc phước cho En-ca-na và vợ người, rằng: Cầu xin Đức Giê-hô-va ban cho ngươi những con cái bởi người nữ nầy, để đổi lấy đứa mà nàng đã cầu nơi Đức Giê-hô-va! Vợ chồng bèn trở về nhà mình.
And the Lord had mercy on Hannah and she gave birth to three sons and two daughters. And the young Samuel became older before the Lord.|Đức Giê-hô-va đoái xem An-ne: nàng thọ thai và sanh ba con trai và hai con gái, còn gã trai trẻ Sa-mu-ên khôn lớn trước mặt Đức Giê-hô-va.
Now Eli was very old; and he had news from time to time of what his sons were doing to all Israel.|Vả, Hê-li tuổi đã rất cao, được hay mọi điều hai con trai mình làm cho cả Y-sơ-ra-ên và thế nào họ nằm cùng các người nữ hầu việc tại cửa hội mạc.
And he said to them, Why are you doing such things? for from all this people I get accounts of your evil ways.|Người nói cùng chúng nó rằng: Sao chúng bay làm như vậy? Vì ta đã nghe cả dân sự nói về các việc xấu của chúng bay.
No, my sons, the account which is given me, which the Lord's people are sending about, is not good.|Chẳng khá làm như vậy, hỡi con; điều ta nghe về việc bay vốn không tốt lành; bay khiến dân sự của Đức Giê-hô-va phạm tội.
If one man does wrong to another, God will be his judge: but if a man's sin is against the Lord, who will take up his cause? But they gave no attention to the voice of their father, for it was the Lord's purpose to send destruction on them.|Nếu người này phạm tội cùng người khác, Đức Giê-hô-va sẽ đoán xét nó; nhược bằng người phạm tội cùng Đức Giê-hô-va, ai sẽ cầu thay cho? Song chúng nó không nghe theo lời của cha mình, vì Đức Giê-hô-va toan giết chúng nó.
And the young Samuel, becoming older, had the approval of the Lord and of men.|Còn gã trai trẻ Sa-mu-ên cứ lớn lên, Đức Giê-hô-va và người ta đều lấy làm đẹp lòng người.
And a man of God came to Eli and said to him, The Lord says, Did I let myself be seen by your father's people when they were in Egypt, servants in Pharaoh's house?|Có một người của Đức Chúa Trời đến kiếm Hê-li, mà nói rằng: Đức Giê-hô-va phán như vầy: Ta há chẳng hiện ra cùng nhà tổ phụ ngươi, khi họ còn ở tại Ê-díp-tô, hầu việc nhà Pha-ra-ôn sao?
Did I take him out of all the tribes of Israel to be my priest and to go up to my altar to make the smoke of the offerings go up and to take up the ephod? Did I give to your father's family all the offerings made by fire by the children of Israel?|Ta đã chọn nhà ấy trong các chi phái Y-sơ-ra-ên, đặng làm thầy tế lễ của ta, dâng của lễ trên bàn thờ ta, xông hương, và mang ê-phót trước mặt ta; ta cũng đã ban cho nhà tổ phụ ngươi các của lễ mà dân Y-sơ-ra-ên dùng lửa dâng lên.
Why then are you looking with envy on my offerings of meat and of meal which were ordered by my word, honouring your sons before me, and making yourselves fat with all the best of the offerings of Israel, my people?|Vì sao các ngươi giày đạp dưới chơn những hi sinh và của lễ chay mà ta đã truyền lịnh dâng lên trong đền ta? Ngươi kính trọng các con trai ngươi hơn ta, và các ngươi ăn mập những của lễ tốt nhứt của Y-sơ-ra-ên, dân sự ta!
For this reason the Lord God of Israel has said, Truly I did say that your family and your father's people would have their place before me for ever: but now the Lord says, Let it not be so; I will give honour to those by whom I am honoured, and those who have no respect for me will be of small value in my eyes.|Bởi cớ đó, Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán như vầy: Ta có phán rằng nhà ngươi và nhà cha ngươi sẽ đời đời hầu việc trước mặt ta. Nhưng bây giờ, Đức Giê-hô-va phán, điều đó chẳng hề được như vậy! Vì phàm ai tôn kính ta, ta sẽ làm cho được tôn trọng, còn ai khinh bỉ ta, tất sẽ bị khinh bỉ lại.
See, the days are coming when your arm and the arm of your father's people will be cut off;|Kìa, thì giờ đến, ta sẽ hủy hại sự mạnh mẽ của người và sự mạnh mẽ của nhà cha ngươi, đến đỗi chẳng còn một người già trong họ hàng ngươi nữa.
And never again will there be an old man in your family.|Giữa các phước lành mà Đức Giê-hô-va giáng cho Y-sơ-ra-ên, ngươi sẽ thấy nhà ngươi bị bần khổ, và trong họ hàng người sẽ chẳng hề có người già nữa.
But one man of your family will not be cut off by my hand, and his eyes will be made dark, and grief will be in his heart: and all the offspring of your family will come to their end by the sword of men.|Nếu trong nội nhà người có một người mà ta không truất khỏi bàn thờ ta, ấy để làm cho ngươi mỏi mắt rầu lòng; các kẻ nhà ngươi sanh sản sẽ chết lúc xuân xanh.
And this will be the sign to you, which will come on Hophni and Phinehas, your sons; death will overtake them on the same day.|Điều sẽ xảy đến cho hai con ngươi, là Hóp-ni và Phi-nê -a, sẽ dùng làm dấu hiệu cho ngươi: cả hai đều sẽ chết trong một ngày.
And I will make a true priest for myself, one who will do what is in my heart and in my mind: and I will make for him a family which will not come to an end; and his place will be before my holy one for ever.|Đoạn, ta sẽ lập cho ta một thầy tế lễ trung tín; người sẽ làm theo lòng ta và ý ta. Ta sẽ cất cho người một nhà vững bền, và người sẽ đi trước mặt Đấng chịu xức dầu của ta luôn luôn.
Then it will be that the rest of your family, anyone who has not been cut off, will go down on his knees to him for a bit of silver or a bit of bread, and say, Be pleased to put me into one of the priest's places so that I may have a little food.|Ai trong họ hàng ngươi còn sống, sẽ đi đến lạy trước mặt người, hầu cho được một miếng bạc cùng một ổ bánh, và sẽ nói rằng: Xin ông hãy phong cho tôi một chức tế lễ, để tôi được một miếng bánh ăn.

					I Samuel 3				|
						I Sa-mu-ên 3					
Now the young Samuel was the servant of the Lord before Eli. In those days the Lord kept his word secret from men; there was no open vision.|Sa-mu-ên thơ ấu phục sự Đức Giê-hô-va tại trước mặt Hê-li. Trong lúc đó, lời của Đức Giê-hô-va lấy làm hiếm hoi, và những sự hiện thấy chẳng năng có.
And at that time, when Eli was resting in his place, (now his eyes were becoming clouded so that he was not able to see,)|Vả, bấy giờ Hê-li khởi làng mắt, chẳng thấy rõ. Có ngày kia, người đương nằm tại chỗ mình quen nằm,
And the light of God was still burning, while Samuel was sleeping in the Temple of the Lord where the ark of God was,|đèn của Đức Chúa Trời chưa tắt, Sa-mu-ên nằm ngủ trong đền thờ của Đức Giê-hô-va, là nơi có cái hòm thánh.
The voice of the Lord said Samuel's name; and he said, Here am I.|Bấy giờ, Đức Giê-hô-va gọi Sa-mu-ên; người thưa rằng: Có tôi đây!
And running to Eli he said, Here am I, for you said my name. And Eli said, I did not say your name; go to your rest again. So he went back to his bed.|Đoạn, người chạy đến gần Hê-li, mà rằng: Có tôi đây, vì ông có kêu tôi. Hê-li đáp: Ta không kêu, hãy ngủ lại. Rồi người đi ngủ lại.
And again the Lord said, Samuel. And Samuel got up and went to Eli and said, Here am I; for you certainly said my name. But he said in answer, I said nothing, my son; go to your rest again.|Đức Giê-hô-va lại gọi nữa rằng: Hỡi Sa-mu-ên! Sa-mu-ên chổi dậy, đi đến cùng Hê-li, mà rằng: có tôi đây, vì ông đã kêu tôi. Người đáp: Hỡi con, ta không kêu, hãy đi ngủ lại đi.
Now at that time Samuel had no knowledge of the Lord, and the revelation of the word of the Lord had not come to him.|Vả, Sa-mu-ên chưa biết Giê-hô-va; lời Đức Giê-hô-va chưa được bày tỏ ra cho người.
And for the third time the Lord said Samuel's name. And he got up and went to Eli and said, Here am I; for you certainly said my name. Then it was clear to Eli that the voice which had said the child's name was the Lord's.|Đức Giê-hô-va lại gọi Sa-mu-ên lần thứ ba; người chổi dậy, đi đến gần Hê-li, mà rằng: Có tôi đây, vì ông đã kêu tôi. Bấy giờ, Hê-li hiểu rằng Đức Giê-hô-va gọi đứa trẻ.
So Eli said to Samuel, Go back: and if the voice comes again, let your answer be, Say on, Lord; for the ears of your servant are open. So Samuel went back to his bed.|Người nói cùng Sa-mu-ên rằng: Hãy đi ngủ đi, và nếu có ai gọi con, con hãy nói: Hỡi Đức Giê-hô-va, xin hãy phán, kẻ tôi tớ Ngài đương nghe! Vậy, Sa-mu-ên đi nằm tại chỗ mình.
Then the Lord came and said as before, Samuel, Samuel. Then Samuel made answer, Say on, Lord; for the ears of your servant are open.|Đức Giê-hô-va đến đứng tại đó, gọi như các lần trước: Hỡi Sa-mu-ên! hỡi Sa-mu-ên! Sa-mu-ên thưa: Xin hãy phán, kẻ tôi tớ Ngài đương nghe!
And the Lord said to Samuel, See, I will do a thing in Israel at which the ears of everyone hearing of it will be burning.|Đức Giê-hô-va phán cùng Sa-mu-ên rằng: Nầy ta sẽ làm ra trong Y-sơ-ra-ên một sự, phàm ai nghe đến, lỗ tai phải bắt lùng bùng.
In that day I will do to Eli everything which I have said about his family, from first to last.|Bấy giờ, ta sẽ làm ứng nghiệm nơi Hê-li các lời hăm dọa ta đã phán về nhà người; ta sẽ khởi sự và làm cho hoàn thành.
And you are to say to him that I will send punishment on his family for ever, for the sin which he had knowledge of; because his sons have been cursing God and he had no control over them.|Ta có báo trước rằng ta sẽ đoán xét nhà người đời đời, vì người đã biết tánh nết quái gở của các con trai mình, mà không cấm.
So I have made an oath to the family of Eli that no offering of meat or of meal which they may make will ever take away the sin of his family.|Bởi cớ đó, ta thề cùng nhà Hê-li rằng tội phạm của nhà ấy sẽ chẳng hề chuộc được, hoặc bởi hi sinh hay là bởi của lễ chay.
And Samuel kept where he was, not moving till the time came for opening the doors of the house of God in the morning. And fear kept him from giving Eli an account of his vision.|Sa-mu-ên nằm ngủ cho đến sáng, đoạn mở các cửa đền của Đức Giê-hô-va. Người sợ không dám thuật sự hiện thấy nầy cho Hê-li.
Then Eli said, Samuel, my son. And Samuel answering said, Here am I.|Nhưng Hê-li gọi Sa-mu-ên mà rằng; Sa-mu-ên, hỡi con! Người thưa: Có tôi đây.
And he said, What did the Lord say to you? Do not keep it from me: may God's punishment be on you if you keep from me anything he said to you.|Hê-li nói: Đức Giê-hô-va có phán cùng con lời gì? Xin con đừng giấu chi cùng ta hết. Nếu con giấu một thí chi trong mọi điều Đức Giê-hô-va đã phán cùng con, nguyện Đức Chúa Trời phạt con nặng nề.
Then Samuel gave him an account of everything, keeping nothing back. And he said, It is the Lord; let him do what seems good to him.|Sa-mu-ên bèn thuật lại hết, chẳng giấu gì với người. Hê-li đáp rằng: Ay là Đức Giê-hô-va, nguyện Ngài làm điều đẹp ý Ngài!
And Samuel became older, and the Lord was with him and let not one of his words be without effect.|Sa-mu-ên trở nên khôn lớn, Đức Giê-hô-va ở cùng người: Ngài chẳng để một lời nào của người ra hư.
And it was clear to all Israel from Dan to Beer-sheba that Samuel had been made a prophet of the Lord.|Từ Đan cho đến Bê -e-sê-ba, cả Y-sơ-ra-ên đều biết rằng Sa-mu-ên được lập làm tiên tri của Đức Giê-hô-va.
And the Lord was seen again in Shiloh; for the Lord gave to Samuel in Shiloh the revelation of his word.|Đức Giê-hô-va cứ hiện ra tại Si-lô, vì ấy tại Si-lô mà Đức Giê-hô-va hiện ra cùng Sa-mu-ên, khiến cho người biết lời của Ngài.

					I Samuel 4				|
						I Sa-mu-ên 4					
Now at that time the Philistines came together to make war against Israel, and the men of Israel went out to war against the Philistines and took up their position at the side of Eben-ezer: and the Philistines put their forces in position in Aphek.|Lời của Sa-mu-ên được rao truyền cho cả Y-sơ-ra-ên. Y-sơ-ra-ên ra trận đón những người Phi-li-tin, và đóng trại gần Ê-bên-Ê-xe, còn người Phi-li-tin đóng trại tại A-phéc.
And the Philistines put their forces in order against Israel, and the fighting was hard, and Israel was overcome by the Philistines, who put to the sword about four thousand of their army in the field.|Dân Phi-li-tin dàn trận đánh Y-sơ-ra-ên; lúc giáp trận, Y-sơ-ra-ên bị dân Phi-li-tin đánh bại và giết tại chiến trường ước bốn ngàn người.
And when the people came back to their tents, the responsible men of Israel said, Why has the Lord let the Philistines overcome us today? Let us get the ark of the Lord's agreement here from Shiloh, so that it may be with us and give us salvation from the hands of those who are against us.|Khi dân sự đã trở về trại quân, các trưởng lão Y-sơ-ra-ên nói rằng: Cớ sao ngày nay Đức Giê-hô-va để cho dân Phi-li-tin đánh bại chúng ta? Chúng ta hãy đi thỉnh hòm giao ước của Đức Giê-hô-va ở tại Si-lô; phải đem hòm đó về tại giữa chúng ta, nó ắt sẽ giải cứu chúng ta khỏi tay kẻ cừu địch chúng ta!
So the people sent to Shiloh and got the ark of the agreement of the Lord of armies whose resting-place is between the winged ones; and Hophni and Phinehas, the two sons of Eli, were there with the ark of God's agreement.|Vậy dân sự bèn sai những sứ giả đến Si-lô, từ đó đem về hòm giao ước của Đức Giê-hô-va vạn quân, là Đấng ngự giữa các Chê-ru-bin. Hai con trai của Hê-li, là Hóp-ni và Phi-nê -a, đều đi theo hòm giao ước của Đức Chúa Trời.
And when the ark of the Lord's agreement came into the tent-circle, all Israel gave a great cry, so that the earth was sounding with it.|Khi hòm giao ước của Đức Giê-hô-va vào trại quân, cả Y-sơ-ra-ên đều reo tiếng vui mừng lớn, đến đỗi đất phải rúng động.
And the Philistines, hearing the noise of their cry, said, What is this great cry among the tents of the Hebrews? Then it became clear to them that the ark of the Lord had come to the tent-circle.|Khi dân Phi-li-tin nghe tiếng ấy, bèn hỏi rằng: Tiếng reo mừng lớn trong trại quân Hê-bơ-rơ có nghĩa chi? Thì có người thuật lại cho chúng hay rằng hòm giao ước của Đức Giê-hô-va đã đến trong trại quân.
And the Philistines, full of fear, said, God has come into their tents. And they said, Trouble is ours! for never before has such a thing been seen.|Dân Phi-li-tin bèn sợ, vì nói rằng: Đức chúa Trời đã ngự đến trong trại quân. Rồi la rằng: Khốn nạn cho chúng ta thay! Khi trước chẳng hề có xảy ra như vậy!
Trouble is ours! Who will give us salvation from the hands of these great gods? These are the gods who sent all sorts of blows on the Egyptians in the waste land.|Khốn nạn cho chúng ta thay! Ai sẽ giải cứu chúng ta khỏi tay các thần quyền năng dường kia? Ay là các thần đó đã hành hại dân Ê-díp-tô đủ các thứ tai vạ tại trong đồng vắng.
Be strong, O Philistines, be men! Do not be servants to the Hebrews as they have been to you: go forward to the fight without fear.|Hỡi người Phi-li-tin, hãy mạnh bạo, hãy nên mặt trượng phu! Kẻo các ngươi trở làm tôi mọi dân Hê-bơ-rơ, như họ đã làm tôi mọi các ngươi chăng! Khá nên mặt trượng phu và chiến đấu đi!
So the Philistines went to the fight, and Israel was overcome, and every man went in flight to his tent: and great was the destruction, for thirty thousand footmen of Israel were put to the sword.|Vậy, dân Phi-li-tin chiến đấu, và Y-sơ-ra-ên bị bại, mỗi người chạy trốn về trại mình. Ay là một sự bại trận lớn lắm; ba vạn lính bộ trong Y-sơ-ra-ên bị ngã chết.
And the ark of God was taken; and Hophni and Phinehas, the sons of Eli, were put to the sword.|Hòm của Đức Chúa Trời bị cướp lấy, còn hai con trai Hê-li, là Hóp-ni và Phi-nê -a, đều chết.
