
					Judges 1				|
And she said to him, Give me a blessing; because you have put me in a dry south-land, now give me springs of water. So Caleb gave her the higher spring and the lower spring.|Nàng thưa rằng: Xin cha cho con một của phước. Vì cha đã định cho con ở đất miền nam, xin hãy cho con những nguồn nước! Ca-lép bèn ban cho nàng các nguồn trên và các nguồn dưới.
Now Hobab the Kenite, Moses' father-in-law, had come up out of the town of palm-trees, with the children of Judah, into the waste land of Arad; and he went and was living among the Amalekites;|Vả, con cháu của Kê-nít, là anh em bên vợ của Môi-se, từ thành Cây Chà là đi lên với con cháu Giu-đa, đến trong đồng vắng Giu-đa, ở về phía nam A-rát, và lập chỗ ở tại giữa dân sự.
And Judah went with Simeon, his brother, and overcame the Canaanites living in Zephath, and put it under the curse; and he gave the town the name of Hormah.|Kế ấy, người Giu-đa đi cùng anh em mình, là người Si-mê-ôn, đánh dân Ca-na-an ỏ tại Xê-phát, tận diệt nơi ấy, rồi gọi tên nó là Họt-ma.
Then Judah took Gaza and its limit, and Ashkelon and its limit, and Ekron and its limit.|Người Giu-đa cũng chiếm lấy Ga-xa cùng địa phận nó, Ach-ca-lôn cùng địa phận nó, và Ec-rôn cùng địa phận nó.
And the Lord was with Judah; and he took the hill-country for his heritage; but he was unable to make the people of the valley go out, for they had war-carriages of iron.|Đức Giê-hô-va ở cùng người Giu-đa; người Giu-đa hãm lấy núi, còn dân sự ở trũng, thì họ đuổi đi không đặng, vì chúng nó có những xe bằng sắt.
And they gave Hebron to Caleb, as Moses had said; and he took the land of the three sons of Anak, driving them out from there.|Kế sau, theo lịnh của Môi-se, người ta ban Hếp-rôn cho Ca-lép! Ca-lép bèn đuổi ba con trai của A-nác khỏi thành ấy.
And the children of Judah did not make the Jebusites who were living in Jerusalem go out; the Jebusites are still living with the children of Benjamin in Jerusalem.|Nhưng con cháu Bên-gia-min không đuổi được dân Giê-bu-sít ở tại Giê-ru-sa-lem, nên dân Giê-bu-sít hãy còn ở chung cùng con cháu Bên-gia-min cho đến ngày nay.
And the family of Joseph went up against Beth-el, and the Lord was with them.|Còn nhà Giô-sép cũng lên đánh Bê-tên, và Đức Giê-hô-va ở cùng họ.
So they sent men to make a search round Beth-el. (Now the name of the town in earlier times was Luz.)|Vậy, nhà Giô-sép sai do thám Bê-tên; tên thành nầy lúc trước là Lu-xơ.
And the watchers saw a man coming out of the town, and said to him, If you will make clear to us the way into the town, we will be kind to you.|Những kẻ do thám thấy một người ở thành đi ra, bèn nói cùng người rằng; Xin chỉ cho chúng ta ngõ nào đi vào thành được, thì chúng ta sẽ làm ơn cho ngươi.
So he made clear to them the way into the town, and they put it to the sword; but they let the man and all his family get away safe.|Người bèn chỉ cho họ ngõ người ta đi vào thành được; chúng bèn lấy gươm đánh giết thành; nhưng để cho người đó và cả nhà người đi.
And he went into the land of the Hittites, building a town there and naming it Luz: which is its name to this day.|Đoạn, người ấy đi vào xứ dân Hê-tít, xây một cái thành tại đó, và đặt tên là Lu-xơ, hãy còn gọi vậy cho đến ngày nay.
And Manasseh did not take away the land of the people of Beth-shean and its daughter-towns, or of Taanach and its daughter-towns, or of the people of Dor and its daughter-towns, or of the people of Ibleam and its daughter-towns, or of the people of Megiddo and its daughter-towns, driving them out; but the Canaanites would go on living in that land.|Người Ma-na-se không đuổi được dân cư của Bết-Sê-an và của các thành địa hạt nó, cũng chẳng đuổi dân cư của Tha -a-nác và của các thành địa hạt nó, hoặc dân ở Đô-rơ và dân ở các thành địa hạt nó, hoặc dân ở Gíp-lê-am và dân ở trong các thành địa hạt nó, hoặc dân ở Mê-ghi-đô và dân ở các thành địa hạt nó, thì cũng chẳng đuổi đi, vì dân Ca-na-an quyết định ở trong xứ ấy.
And whenever Israel became strong, they put the Canaanites to forced work, without driving them out completely.|Xảy khi Y-sơ-ra-ên trở nên cường thạnh, thì bắt dân Ca-na-an phục dịch; nhưng không có đuổi chúng nó đi hết.
And Ephraim did not make the Canaanites who were living in Gezer go out; but the Canaanites went on living in Gezer among them.|Người Ep-ra-im cũng chẳng đuổi dân Ca-na-an ở tại Ghê-xe; nhưng dân Ca-na-an cứ ở cùng họ tại Ghê-xe.
Zebulun did not make the people of Kitron or the people of Nahalol go out; but the Canaanites went on living among them and were put to forced work.|Người Sa-bu-lôn cũng chẳng đuổi dân Kít-rôn, hoặc dân ở Na-ha-lô; và người Ca-na-an ở chung cùng người Sa-bu-lôn, song phải phục dịch họ.
And Asher did not take the land of the people of Acco, or Zidon, or Ahlab, or Achzib, or Helbah, or Aphik, or Rehob, driving them out;|Người A-se cũng chẳng đuổi dân ở A-cô, hoặc dân ở Si-đôn, dân ở Ach-láp, dân ơ Ac-xíp, dân ở Hên-ba, dân ở A-phéc hay là dân ở Rê-hốp.
But the Asherites went on living among the Canaanites, the people of the land, without driving them out.|Người A-se lập sản nghiệp ở giữa dân Ca-na-an, là dân bổn xứ; vì người A-se không đuổi chúng nó đi.
Naphtali did not take the land of the people of Beth-shemesh or of Beth-anath, driving them out; but he was living among the Canaanites in the land; however, the people of Beth-shemesh and Beth-anath were put to forced work.|Người Nép-ta-li không đuổi dân ở Bết-Sê-mết và Bết -A-nát; nhưng lập sản nghiệp ở giữa dân Ca-na-an, là dân bổn xứ; còn dân Bết-Sê-mết và dân Bết -A-nát phải phục dịch người Nép-ta-li.
And the children of Dan were forced into the hill-country by the Amorites, who would not let them come down into the valley;|Dân A-mô-rít dồn người Đan ở trên núi, không cho họ xuống trũng.
For the Amorites would go on living in Mount Heres, in Aijalon, and in Shaalbim; but the children of Joseph became stronger than they, and put them to forced work.|Dân A-mô-rít định ở tại núi Hê-re, A-gia-lôn, và Sa-an-bim; nhưng tay của nhà Giô-sép thắng chúng nó, nên chúng nó phải phục dịch.
And the limit of the Edomites went from the slope of Akrabbim from Sela and up.|Địa phận dân A-mô-rít chạy từ dốc Ac-ráp-bim, từ Sê-la trở lên.

					Judges 2				|
						Các Thủ Lãnh 2					
Now the angel of the Lord came up from Gilgal to Bochim. And he said, *** I took you out of Egypt, guiding you into the land which I gave by an oath to your fathers; and I said, My agreement with you will never be broken by me:|Vả, thiên sứ của Đức Giê-hô-va đi lên từ Ghinh-ganh đến Bô-kim, và nói rằng: Ta đã đem các ngươi đi lên khỏi xứ Ê-díp-tô, dẫn vào xứ ta đã thề ban cho tổ phụ các ngươi. Ta đã phán: Ta sẽ chẳng hề hủy giao ước ta đã lập cùng các ngươi;
And you are to make no agreement with the people of this land; you are to see that their altars are broken down: but you have not given ear to my voice: what have you done?|còn các ngươi, chớ lập giao ước cùng dân xứ nầy; hãy phá hủy bàn thờ của chúng nó. Song các ngươi không có vâng theo lời phán của ta. Tại sao các ngươi đã làm điều đó?
And so I have said, I will not send them out from before you; but they will be a danger to you, and their gods will be a cause of falling to you.|Ta cũng có phán: Ta sẽ chẳng đuổi dân ấy khỏi trước mặt các ngươi, song chúng nó sẽ ở bên các ngươi, và các thần chúng nó sẽ thành một cái bẫy cho các ngươi.
Now on hearing these words which the angel of the Lord said to all the children of Israel, the people gave themselves up to loud crying and weeping.|Thiên sứ của Đức Giê-hô-va vừa nói dứt lời nầy cho cả dân Y-sơ-ra-ên, thì cả dân sự bèn cất tiếng lên khóc.
And they gave that place the name of Bochim, and made offerings there to the Lord.|Chúng gọi tên chỗ đó là Bô-kim, và dâng tế lễ cho Đức Giê-hô-va tại đó.
And Joshua let the people go away, and the children of Israel went, every man to his heritage, to take the land for themselves.|Khi Giô-suê đã cho dân sự về, thì mọi người Y-sơ-ra-ên, ai nấy đều đi vào sản nghiệp mình, đặng nhận lấy xứ.
And the people were true to the Lord all the days of Joshua, and all the days of the responsible men who were still living after the death of Joshua, and had seen all the great work of the Lord which he had done for Israel.|Dân sự phục sự Đức Giê-hô-va trong trọn đời Giô-suê và trọn đời các trưởng lão còn sống lâu hơn Giô-suê, là những kẻ đã thấy các công việc lớn lao mà Đức Giê-hô-va đã làm ra vì Y-sơ-ra-ên.
And death came to Joshua, the son of Nun, the servant of the Lord, he being a hundred and ten years old.|Đoạn, Giô-suê, con trai của Nun, tôi tớ của Đức Giê-hô-va, qua đời, tuổi được một trăm mười;
And they put his body in the earth in the land of his heritage in Timnath-heres, in the hill-country of Ephraim to the north of Mount Gaash.|người ta chôn người trong địa phận về sản nghiệp người, tại Thim-nát-Hê-re trên núi Ep-ra-im, về phía bắc núi Ga-ách.
And in time death overtook all that generation; and another generation came after them, having no knowledge of the Lord or of the things which he had done for Israel.|Hết thảy người đời ấy cũng được tiếp về tổ phụ mình; rồi một đời khác nổi lên, chẳng biết Đức Giê-hô-va, cũng chẳng biết các điều Ngài đã làm nhơn vì Y-sơ-ra-ên.
And the children of Israel did evil in the eyes of the Lord and became servants to the Baals;|Bấy giờ dân Y-sơ-ra-ên làm ác trước mặt Đức Giê-hô-va, hầu việc các thần tượng của Ba-anh,
And they gave up the Lord, the God of their fathers, who had taken them out of the land of Egypt, and went after other gods, the gods of the peoples round about them, worshipping them and moving the Lord to wrath.|bỏ Giê-hô-va Đức Chúa Trời của tổ phụ mình, là Đấng đã đem họ ra khỏi xứ Ê-díp-tô; họ tin theo các thần khác của những dân tộc xung quanh, quì lạy các thần đó và chọc giận Đức Giê-hô-va.
And they gave up the Lord, and became the servants of Baal and the Astartes.|Vậy, chúng nó bỏ Đức Giê-hô-va, hầu việc Ba-anh và At-tạt-tê.
And the wrath of the Lord was burning against Israel, and he gave them up into the hands of those who violently took their property, and into the hands of their haters all round them, so that they were forced to give way before them.|Cơn thạnh nộ của Đức Giê-hô-va nổi phừng lên cùng Y-sơ-ra-ên, Ngài phó chúng vào tay của kẻ cướp bóc, và chúng nó bóc lột họ; Ngài bán Y-sơ-ra-ên cho các kẻ thù nghịch chung quanh, và Y-sơ-ra-ên không còn thế chống cự nổi được trước kẻ thù nghịch mình.
Wherever they went out, the hand of the Lord was against them for evil, as the Lord had taken his oath it would be; and things became very hard for them.|Bất luận chúng đi đến đâu, tay của Đức Giê-hô-va vẫn nghịch cùng chúng đặng giáng họa cho, y như Đức Giê-hô-va đã phán và đã thề cùng chúng. Chúng bị cơn hoạn nạn lớn lao thay.
Then the Lord gave them judges, as their saviours from the hands of those who were cruel to them.|Song Đức Giê-hô-va dấy lên những quan xét giải cứu chúng khỏi tay kẻ cướp bóc.
But still they would not give ear to their judges, but went after other gods and gave them worship; quickly turning from the way in which their fathers had gone, keeping the orders of the Lord; but they did not do so.|Nhưng chúng cũng không nghe các quan xét vì chúng hành dâm cùng các thần khác, và quì lạy trước mặt các thần ấy. Chúng vội xây bỏ con đường mà tổ phụ mình đã đi, chẳng bắt chước theo tổ phụ vâng giữ các điều răn của Đức Giê-hô-va.
And whenever the Lord gave them judges, then the Lord was with the judge, and was their saviour from the hands of their haters all the days of the judge; for the Lord was moved by their cries of grief because of those who were cruel to them.|Vả, khi Đức Giê-hô-va dấy lên các quan xét cho Y-sơ-ra-ên, thì Đức Giê-hô-va ở cùng quan xét đó, và trọn đời quan xét, Ngài giải cứu Y-sơ-ra-ên khỏi tay kẻ thù nghịch mình; vì Đức Giê-hô-va lấy lòng thương xót họ tại cớ những tiếng rên siếc mà họ thở ra trước mặt những kẻ hà hiếp và làm tức tối mình.
But whenever the judge was dead, they went back and did more evil than their fathers, going after other gods, to be their servants and their worshippers; giving up nothing of their sins and their hard-hearted ways.|Kế sau, khi quan xét qua đời rồi, Y-sơ-ra-ên lại làm ác hơn các tổ phụ mình, tin theo các thần khác, hầu việc và thờ lạy trước mặt các thần ấy: Y-sơ-ra-ên không khứng chừa bỏ việc làm ác hay là lối cố chấp của họ.
And the wrath of the Lord was burning against Israel, and he said, Because this nation has not been true to my agreement which I made with their fathers, and has not given ear to my voice;|Bởi cớ đó, cơn thạnh nộ của Đức Giê-hô-va nổi phừng lên cùng Y-sơ-ra-ên, và Ngài phán rằng: Vì dân tộc nầy có bội nghịch giao ước của ta đã truyền cho tổ phụ chúng nó, và vì chúng nó không có nghe lời phán ta,
From now on I will not go on driving out from before them any of the nations which at the death of Joshua were still living in this land;|nên về phần ta, ta cũng chẳng đuổi khỏi trước mặt chúng nó một dân nào mà Giô-suê để lại khi người qua đời.
In order to put Israel to the test, and see if they will keep the way of the Lord, walking in it as their fathers did, or not.|Ta sẽ dùng các dân tộc đó thử thách Y-sơ-ra-ên, để xem thử chúng nó có giữ và đi theo đường của Đức Giê-hô-va, như tổ phụ chúng nó chăng.
So the Lord let those nations go on living in the land, not driving them out quickly, and did not give them up into the hands of Joshua.|Ay vậy, Đức Giê-hô-va để cho các dân tộc nầy ở lại trong xứ, không vội đuổi chúng nó đi, và cũng không phó chúng nó vào tay Giô-suê.

					Judges 3				|
						Các Thủ Lãnh 3					
Now these are the nations which the Lord kept in the land for the purpose of testing Israel by them, all those who had had no experience of all the wars of Canaan;|Nầy là các dân tộc mà Đức Giê-hô-va để còn lại, đặng dùng chúng nó thử thách người Y-sơ-ra-ên nào chưa từng thấy những chiến trận Ca-na-an.
Only because of the generations of the children of Israel, for the purpose of teaching them war--only those who up till then had no experience of it;|Ngài chỉ muốn thử thách các dòng dõi mới của dân Y-sơ-ra-ên, tập cho chúng nó việc chiến trận, nhứt là những kẻ chưa từng thấy chiến trận khi trước.
The five chiefs of the Philistines, and all the Canaanites and the Zidonians and the Hivites living in Mount Lebanon, from the mountain Baal-hermon as far as Hamath:|Các dân tộc nầy là dân Phi-li-tin cùng năm vua chúng nó, hết thảy dân Ca-na-an, dân Si-đôn, và dân Hê-vít ở tại núi Li-ban, từ núi Ba-anh-Hẹt-môn cho đến cửa Ha-mát.
For the purpose of testing Israel by them, to see if they would give ear to the orders of the Lord, which he had given to their fathers by the hand of Moses.|Đức Giê-hô-va dùng các dân tộc nầy để thử thách Y-sơ-ra-ên, đặng xem thử chúng nó có ý vâng theo các điều răn mà Ngài cậy Môi-se truyền cho tổ phụ chúng nó chăng.
Now the children of Israel were living among the Canaanites, the Hittites, and the Amorites, and the Perizzites, and the Hivites, and the Jebusites:|Như vậy, dân Y-sơ-ra-ên ở chung cùng dân Ca-na-an, dân Hê-tít, dân A-mô-rít, dân Phê-rê-sít, dân Hê-vít, dân Giê-bu-sít,
And they took as wives the daughters of these nations and gave their daughters to their sons, and became servants to their gods.|cưới con gái của chúng nó làm vợ, gả con gái mình cho con trai chúng nó, và hầu việc các thần chúng nó.
And the children of Israel did evil in the eyes of the Lord, and put out of their minds the Lord their God, and became servants to the Baals and the Astartes.|Dân Y-sơ-ra-ên còn làm điều ác trước mặt Đức Giê-hô-va, quên Giê-hô-va Đức Chúa Trời mình, cúng thờ các hình tượng Ba-anh và A-sê-ra.
So the wrath of the Lord was burning against Israel, and he gave them up into the hands of Cushan-rishathaim, king of Mesopotamia; and the children of Israel were his servants for eight years.|Vì vậy, cơn thạnh nộ của Đức Giê-hô-va nổi phừng cùng Y-sơ-ra-ên, Ngài phó chúng vào tay Cu-san-Ri-sa-tha-im, vua nước Mê-sô-bô-ta-mi. Dân Y-sơ-ra-ên bị tám năm phục dịch vua Cu-san-Ri-sa-tha-im.
And when the children of Israel made prayer to the Lord, he gave them a saviour, Othniel, the son of Kenaz, Caleb's younger brother.|Kế ấy, dân Y-sơ-ra-ên kêu la cùng Đức Giê-hô-va; Đức Giê-hô-va bèn dấy lên cho chúng nó một người giải cứu, là Ot-ni-ên, con trai của Kê-na, em thứ của Ca-lép, và người ấy giải cứu họ.
And the spirit of the Lord came on him and he became judge of Israel, and went out to war, and the Lord gave up Cushan-rishathaim, king of Mesopotamia, into his hands and he overcame him.|Thần của Đức Giê-hô-va cảm động người, người đoán xét Y-sơ-ra-ên, và đi ra chiến trận. Đức Giê-hô-va phó Cu-san-Ri-sa-tha-im, vua A-ram, vào tay người, khiến cho người thắng Cu-san-Ri-sa-tha-im.
Then for forty years the land had peace, till the death of Othniel, the son of Kenaz.|Xứ được hòa bình trong bốn mươi năm; kế đó, Ot-ni-ên, con trai Kê-na, qua đời.
Then the children of Israel again did evil in the eyes of the Lord; and the Lord made Eglon, king of Moab, strong against Israel, because they had done evil in the Lord's eyes.|Dân Y-sơ-ra-ên lại làm điều ác trước mặt Đức Giê-hô-va; nên Đức Giê-hô-va khiến Ec-lôn, vua Mô-áp trở nên cường thạnh để hãm đánh Y-sơ-ra-ên.
And Eglon got together the people of Ammon and Amalek, and they went and overcame Israel and took the town of palm-trees.|Vậy, Ec-lôn nhóm hiệp chung quanh mình dân Am-môn và dân A-ma-léc, kéo đi đánh Y-sơ-ra-ên và chiếm lấy thành Cây chà là.
And the children of Israel were servants to Eglon, king of Moab, for eighteen years.|Dân Y-sơ-ra-ên bị phục dịch Ec-lôn, vua Mô-áp, trong mười tám năm.
Then when the children of Israel made prayer to the Lord, he gave them a saviour, Ehud, the son of Gera, the Benjamite, a left-handed man; and the children of Israel sent an offering by him to Eglon, king of Moab.|Đoạn, dân Y-sơ-ra-ên kêu la cùng Đức Giê-hô-va, Đức Giê-hô-va dấy lên cho chúng một đấng giải cứu, là Ê-hút, con trai Ghê-ra, thuộc về chi phái Bên-gia-min, là người có tật thuận tay tả. Dân Y-sơ-ra-ên sai người đem lễ cống cho Ec-lôn, vua Mô-áp.
So Ehud made himself a two-edged sword, a cubit long, which he put on at his right side under his robe.|Ê-hút tự làm lấy một cây gươm hai lưỡi, dài một thước, và đeo theo trong mình áo nơi háng hữu.
And he took the offering to Eglon, king of Moab, who was a very fat man.|Vậy, người đem dâng lễ cống cho Ec-lôn, vua Mô-áp, là một người rất mập.
And after giving the offering, he sent away the people who had come with the offering.|Khi dâng lễ cống rồi, bèn cho những kẻ đã đem lễ vật đến đi về.
But he himself, turning back from the stone images at Gilgal, said, I have something to say to you in secret, O king. And he said, Let there be quiet. Then all those who were waiting before him went out.|Nhưng chánh người đến hầm lấy đá ở gần Ghinh-ganh, thì trở lại, nói rằng: Hỡi vua, tôi có một lời tâu kín cùng vua. Vua truyền: Hãy nín! Hết thảy những kẻ hầu cận vua bèn đi ra.
Then Ehud came in to him while he was seated by himself in his summer-house. And Ehud said, I have a word from God for you. And he got up from his seat.|Bấy giờ, vua đương ngồi một mình nơi lầu mát; Ê-hút đến gần mà nói rằng: Tôi có một lời của Đức Chúa Trời tâu lại với vua. Ec-lôn vừa đứng dậy khỏi ngai;
And Ehud put out his left hand, and took the sword from his right side, and sent it into his stomach;|Ê-hút bèn giơ tay tả ra rút gươm đeo ở phía hữu, mà đâm người nơi bụng.
And the hand-part went in after the blade, and the fat was joined up over the blade; for he did not take the sword out of his stomach. And he went out into the ...|Cán gươm cũng lút theo lưỡi, mỡ líp lại xung quanh lưỡi gươm; vì người không rút gươm ra khỏi bụng, nó thấu ra sau lưng.
Then Ehud went out into the covered way, shutting the doors of the summer-house on him and locking them.|Đoạn, Ê-hút lánh ra nơi hiên cửa, đóng các cửa lầu mát lại và gài chốt.
Now when he had gone, the king's servants came, and saw that the doors of the summer-house were locked; and they said, It may be that he is in his summer-house for a private purpose.|Khi Ê-hút đi ra khỏi, các đầy tớ đến xem, thấy các cửa lầu mát đều đóng gài chốt, thì nói với nhau rằng: Hoặc vua đi ngơi trong lầu mát chăng.
And they went on waiting till they were shamed, but the doors were still shut; so they took the key, and, opening them, saw their lord stretched out dead on the floor.|Chúng đợi rất lâu, đến đỗi hổ thẹn; song vì không thấy vua mở cửa phòng, bèn lấy chìa khóa và mở: kìa thấy chúa mình đã chết, nằm sải trên đất.
But Ehud had got away while they were waiting and had gone past the stone images and got away to Seirah.|Trong khi chúng trì huởn, Ê-hút đã trốn qua khỏi các hầm đá, lánh đến Sê-ri -a.
And when he came there, he had a horn sounded in the hill-country of Ephraim, and all the children of Israel went down with him from the hill-country, and he at their head.|Người vừa đến, bèn thổi kèn lên trong núi Ep-ra-im; dân Y-sơ-ra-ên đều cùng người xuống khỏi núi và chính người đi ở đầu hết.
And he said to them, Come after me; for the Lord has given the Moabites, your haters, into your hands. So they went down after him and took the crossing-places of Jordan against Moab, and let no one go across.|Ê-hút nói cùng chúng rằng: Hãy theo ta, vì Đức Giê-hô-va đã phó vào tay các ngươi dân Mô-áp, là kẻ thù nghịch các ngươi. Chúng đều theo người xuống chiếm cứ các chỗ cạn sông Giô-đanh, là đường đi đến Mô-áp, cấm không cho ai đi qua.
At that time they put about ten thousand men of Moab to the sword, every strong man and every man of war; not a man got away.|Vậy, trong lúc đó dân Y-sơ-ra-ên đánh giết chừng mười ngàn người Mô-áp, thảy đều là tay mạnh mẽ, can đãm, không một ai thoát khỏi được.
So Moab was broken that day under the hand of Israel. And for eighty years the land had peace.|Trong ngày đó, dân Mô-áp bị phục dưới tay Y-sơ-ra-ên; xứ được hòa bình trong tám mươi năm.
And after him came Shamgar, the son of Anath, who put to death six hundred Philistines with an ox-stick; and he was another saviour of Israel.|Sau Ê-hút, có Sam-ga, con trai của A-nát. Người dùng một cây đót bò mà đánh giết sáu trăm người Phi-li-tin, và cũng giải cứu Y-sơ-ra-ên.

					Judges 4				|
						Các Thủ Lãnh 4					
And the children of Israel again did evil in the eyes of the Lord when Ehud was dead.|Sau khi Ê-hút đã qua đời, dân Y-sơ-ra-ên lại làm điều ác trước mặt Đức Giê-hô-va.
And the Lord gave them up into the hands of Jabin, king of Canaan, who was ruling in Hazor; the captain of his army was Sisera, who was living in Harosheth of the Gentiles.|Đức Giê-hô-va phó chúng vào tay Gia-bin, là vua Ca-na-an trị vì tại Hát-so. Quan thống lãnh đạo binh người là Si-sê-ra ở tại Ha-rô-sết của dân ngoại bang.
Then the children of Israel made prayer to the Lord; for he had nine hundred iron war-carriages, and for twenty years he was very cruel to the children of Israel.|Vua Gia-bin có chín trăm xe sắt và trong hai mươi năm, người hà hiếp dân Y-sơ-ra-ên cách hung bạo; nên Y-sơ-ra-ên kêu cầu cùng Đức Giê-hô-va.
Now Deborah, a woman prophet, the wife of Lapidoth, was judge of Israel at that time.|Trong lúc đó, Đê-bô-ra, là nữ tiên tri, vợ của Láp-bi-đốt, đoán xét dân Y-sơ-ra-ên.
(And she had her seat under the palm-tree of Deborah between Ramah and Beth-el in the hill-country of Ephraim; and the children of Israel came up to her to be judged.)|Bà ở trên núi Ep-ra-im, giữa khoảng Ra-ma và Bê-tên, dưới cây chà là Đê-bô-ra, và dân Y-sơ-ra-ên lên đến cùng người, đặng nghe sự xét đoán.
And she sent for Barak, the son of Abinoam, from Kedesh-naphtali, and said to him, Has not the Lord, the God of Israel, given orders saying, Go and get your force into line in Mount Tabor, and take with you ten thousand men of the children of Naphtali and of the children of Zebulun?|Bà sai gọi Ba-rác, con trai A-bi-nô-am, từ Kê-đe trong đất Nép-ta-li, mà nói cùng người rằng: Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên đã truyền lịnh nầy: Hãy chọn đem theo ngươi một vạn người trong con cháu Nép-ta-li và trong con cháu Sa-bu-lôn, mà đi thẳng đến núi Tha-bô.
And I will make Sisera, the captain of Jabin's army, with his war-carriages and his forces, come against you at the river Kishon, where I will give him into your hands.|Ta sẽ khiến Si-sê-ra, là thống lãnh đạo binh vua Gia-bin, đến cùng người tại khe Ki-sôn, luôn với các xe cộ và cả quân lính của hắn; ta sẽ phó hắn vào tay ngươi.
And Barak said to her, If you will go with me then I will go; but if you will not go with me I will not go.|Ba-rác đáp rằng: Nếu bà đi với tôi, thì tôi sẽ đi; nhưng nếu bà không đi với tôi, tôi sẽ không đi.
And she said, I will certainly go with you: though you will get no honour in your undertaking, for the Lord will give Sisera into the hands of a woman. So Deborah got up and went with Barak to Kedesh.|Bà bèn đáp: Ừ, phải, ta sẽ đi với ngươi, song sự vinh hiển của việc nầy sẽ chẳng về ngươi; vì Đức Giê-hô-va sẽ phó Si-sê-ra vào tay một người nữ. Vậy, Đê-bô-ra đứng dậy, đi cùng Ba-rác đến Kê-đe.
Then Barak sent for Zebulun and Naphtali to come to Kedesh; and ten thousand men went up after him, and Deborah went up with him.|Ba-rác nhóm hiệp người Sa-bu-lôn và người Nép-ta-li tại Kê-đe, có một muôn người đi theo sau người, và Đê-bô-ra cũng đi lên với người.
