
					II Chronicles 1				|
And now I am sending you a wise and expert man, Huram who is as my father,|Bây giờ, tôi sai đến cho vua một người khéo, có trí thông sáng, là Hu-ram -A-bi,
The son of a woman of the daughters of Dan, whose father was a man of Tyre, an expert worker in gold and silver and brass and iron, in stone and wood, in purple and blue and fair linen and red, trained in the cutting of every sort of ornament and the invention of every sort of design; let him be given a place among your expert workmen and those of my lord, your father David.|con trai của người đờn bà về chi phái Đan, cha người là dân Ty-rơ; người giỏi về nghề chế đồ vàng, bạc, đồng, sắt, đá, và gỗ, thạo dệt chỉ tím, xanh và đỏ sậm, cùng chỉ gai trắng xe mịn, cũng biết làm các thứ chạm trổ, và tạo ra đủ thứ vật xảo mà người ta sẽ biểu nó làm. Nó sẽ làm việc với những thợ khéo của thân phụ vua là Đa-vít chúa tôi.
So now let my lord send to his servants the grain and the oil and the wine as my lord has said;|Vậy bây giờ xin chúa tôi hãy gởi cho các tôi tớ chúa lúa miến, lúa mạch, dầu, và rượu, mà chúa tôi đã nói đến;
And we will have wood cut from Lebanon, as much as you have need of, and will send it to you on flat boats by sea to Joppa, and from there you may take it up to Jerusalem.|còn chúng tôi sẽ đốn gỗ tại trên Li-ban theo số bao nhiêu vua cần dùng, rồi kết thành bè đem ra biển đến Gia-phô; đoạn vua sẽ chở lên Giê-ru-sa-lem.
Then Solomon took the number of all the men from strange lands who were living in Israel, as his father David had done; there were a hundred and fifty-three thousand, six hundred.|Sa-lô-môn bèn điểm soát các người ngoại quốc ở trong nước Y-sơ-ra-ên, tùy theo số Đa-vít, cha người, đã điểm soát; thấy được mười lăm vạn ba ngàn sáu trăm người.
Seventy thousand he put to the work of transport, eighty thousand to cutting stone in the mountains, and three thousand, six hundred as overseers to put the people to work.|Trong số đó người đặt bảy vạn người làm kẻ khiêng gánh, tám vạn người đẽo đá trên núi, và ba ngàn sáu trăm người đốc công, đặng sai khiến dân chúng làm việc.

					II Chronicles 3				|
						II Sử Ký 3					
Then Solomon made a start at building the house of the Lord on Mount Moriah in Jerusalem, where the Lord had been seen by his father David, in the place which David had made ready in the grain-floor of Ornan the Jebusite.|Sa-lô-môn khởi cất đền Đức Giê-hô-va tại Giê-ru-sa-lem, trên núi Mô-ri -a, là nơi Đức Giê-hô-va đã hiện ra cùng Đa-vít, cha người, tại trên chỗ mà Đa-vít đã dọn, tức là trong sân đạp lúa của Ot-na, người Giê-bu-sít.
The building was started in the second month in the fourth year of his rule.|Sa-lô-môn khởi xây cất nhằm ngày mồng hai tháng hai, năm thứ tư đời người trị vì.
And Solomon put the base of the house of God in position; by the older measure it was sixty cubits long and twenty cubits wide.|Nầy là nền Sa-lô-môn đã lập đặng cất đền của Đức Chúa Trời: bề dài, theo thước xưa, là sáu mươi thước, và bề ngang hai mươi thước.
And the covered way in front of the house was twenty cubits long, as wide as the house, and a hundred and twenty cubits high, all plated inside with the best gold.|Hiên cửa ở phía trước, bề dài hai mươi thước, y như bề ngang của đền vậy, và bề cao một trăm hai mươi thước; người bọc bề trong bằng vàng ròng.
And the greater house was roofed with cypress-wood, plated with the best gold and ornamented with designs of palm-trees and chains.|Cái vách đền lớn, người lợp bằng gỗ bá hương, và bọc vàng ròng, chạm hình cây chà là và dây xích ở trên.
And the house was made beautiful with stones of great value, and the gold was gold of Parvaim.|Người lót đền bằng đá quí đặng trang sức nó; vàng là vàng Phạt-va-im.
All the house was plated with gold, the supports, the steps, the walls and the doors; and the walls were ornamented with designs of winged ones.|Người lại bọc vàng cái đền, mè, ngạch cửa, vách, và cửa của đền, còn trên vách thì chạm hình chê-ru-bin.
And he made the most holy place; it was twenty cubits long, and twenty cubits wide, like the greater house, and was plated all over with the best gold; six hundred talents were used for it.|Người cũng làm nơi chí thánh: bề dài hai mươi thước, y như bề ngang của đền, và bề ngang cũng hai mươi thước; người bọc nơi ấy bằng vàng ròng; vàng dùng cọng đặng sáu trăm ta lâng.
And fifty shekels weight of gold was used for the nails. He had all the higher rooms plated with gold.|Những đinh vàng cân nặng năm mươi siếc lơ; người cũng bọc vàng các phòng cao.
And in the most holy place he made images of two winged beings, covering them with gold.|Tại trong nơi chí thánh, người làm hai chê-ru-bin, cứ phép trổ tượng, rồi bọc vàng.
Their outstretched wings were twenty cubits across; one wing, five cubits long, touching the wall of the house, and the other, of the same size, meeting the wing of the other winged one.|Bốn cánh của hai chê-ru-bin dài hai mươi thước; cánh này của chê-ru-bin bên hữu dài năm thước, đụng đến vách đền, còn cánh kia cũng dài năm thước, và đụng cánh của chê-ru-bin bên tả.
And in the same way, the wings of the other, five cubits long, were stretched out, one touching the wall and the other meeting the wing of the first winged one.|Cánh này của chê-ru-bin về bên tả dài năm thước, và đụng đến vách đền, còn cánh kia cũng dài năm thước, tiếp giáp với cánh chê-ru-bin về bên hữu.
Their outstretched wings were twenty cubits across; they were placed upright on their feet, facing the inner part of the house.|Các cánh của hai chê-ru-bên đều sè ra, cọng dài hai mươi thước; hai chê-ru-bin đứng thẳng chơn lên, ngảnh mặt hướng về nơi thánh.
And he made the veil of blue and purple and red, of the best linen, worked with winged ones.|Người lại chế bức màn bằng chỉ màu xanh, màu tím, màu đỏ sặm, cùng chỉ gai xe mịn, rồi ở trên thêu hình chê-ru-bin.
And in front of the house he made two pillars, thirty-five cubits high, with crowns on the tops of them, five cubits high.|Đằng trước đền, người xây hai cây trụ, bề cao ba mươi lăm thước, đầu trụ ở trên chót hai trụ được năm thước.
And he made chains, like neck ornaments, and put them on the tops of the pillars, and a hundred apples on the chains.|Người lại làm dây xích giống như dây xích trong nơi chí thánh, để trên chót trụ, rồi làm một trăm trái lựu mà gắn nơi dây xích ấy.
He put up the pillars in front of the Temple, one on the right side and one on the left, naming the one on the right Jachin and that on the left Boaz.|Người dựng hai trụ đó ở trước đền thờ, cây nầy bên hữu, cây kia bên tả; đặt tên cây bên hữu là Gia-kin và cây bên tả là Bô-ách.

					II Chronicles 4				|
						II Sử Ký 4					
Then he made a brass altar, twenty cubits long, twenty cubits wide and ten cubits high.|Người lại làm một cái bàn thờ đồng, bề dài hai mươi thước, bề ngang hai mươi thước và bề cao mười thước.
And he made the great water-vessel of metal, round in form, measuring ten cubits across from edge to edge; it was five cubits high and thirty cubits round.|Người làm một cái biển đúc, từ mép này qua mép kia được mười thước, tròn tứ vi, và cao năm thước; một sợi dây ba mươi thước vấn chung quanh nó.
And under it was a design of flowers all round it, ten to a cubit, circling the water-vessel in two lines; they were made from liquid metal at the same time as the water-vessel.|Ở dưới vòng chung quanh biển, có hình giống con bò, mỗi thước mười con, làm hai hàng, đúc một lượt với biển.
It was supported on twelve oxen, three facing to the north, three to the west, three to the south, and three to the east, the water-vessel resting on top of them; their back parts were all turned to the middle of it.|Biển để kê trên mười hai tượng con bò, ba con xây về hướng bắc, ba con xây về hướng tây, ba con xây về hướng nam, và ba con xây về hướng đông; biển ở trên các con bò ấy, thân sau chúng nó đều quay vào trong.
It was as thick as a man's open hand, and the edge of it was curved like the edge of a cup, like a lily flower; it would take three thousand baths.|Bề dày biển một gang, mép nó như mép cái chén, làm tợ hoa huệ nở; chứa được ba ngàn bát.
And he made ten washing-vessels, putting five on the right side and five on the left; such things as were used in making the burned offering were washed in them; but the great water-vessel was to be used by the priests for washing themselves.|Người cũng làm mười cái thùng, để năm cái bên hữu và năm cái bên tả đặng rửa tại đó; người ta rửa trong đó vật gì thuộc về của lễ thiêu; còn những thầy tế lễ đều tắm rửa trong biển đúc.
And he made the ten gold supports for the lights, as directions had been given for them, and he put them in the Temple, five on the right side and five on the left.|Người làm mười cái chơn đèn bằng vàng, theo kiểu đã định; rồi để nó trong đền thờ, năm cái bên hữu, năm cái bên tả.
He made ten tables, and put them in the Temple, five on the right side and five on the left. And he made a hundred gold basins.|Lại đóng mười cái bàn, để trong đền thờ, năm cái bên hữu, và năm cái bên tả. Rồi làm một trăm cái chậu bằng vàng.
Then he made the open space for the priests, and the great open space and its doors, plating the doors with brass.|Người cũng làm hành lang cho thầy tế lễ, và cái sân rộng, các cửa của sân, rồi bọc đồng các cánh cửa ấy.
He put the great water-vessel on the right side of the house to the east, facing south.|Người để cái biển ở bên hữu đền, hướng đông về phía nam.
And Huram made all the pots and the spades and the basins. So he came to the end of all the work he did for King Solomon in the house of God:|Hu-ram lại làm những bình tro, vá, và chậu. Hu-ram làm xong công việc người đã vì Sa-lô-môn làm trong đền của Đức Chúa Trời:
The two pillars, and the two crowns on the tops of the pillars, and the network covering the two cups of the crowns on the tops of the pillars;|tức hai cây trụ ở trên chót trụ; hai cái đầu trụ ở trên chót trụ; hai tấm lưới bao hai cái bầu của đầu trụ ở trên chót trụ;
And the four hundred apples for the network, two lines of apples for the network covering the two cups of the crowns on the pillars.|bốn trăm trái lựu gắn vào hai tấm lưới, mỗi tấm có hai hàng trái lựu, đặng bao hai cái bầu của đầu trụ ở trên chót trụ.
And he made the ten bases and the ten washing-vessels which were on the bases;|Người cũng làm táng, và cái thùng ở trên táng;
The great water-vessel with the twelve oxen under it.|đúc một cái biển và mười hai con bò ở dưới nó;
All the pots and the spades and the meat-hooks and their vessels, which Huram, who was as his father, made for King Solomon for the house of the Lord, were of polished brass.|chế những bình tro, vá, nỉa, và các đồ lề nó; Hu-ram -A-bi vì Sa-lô-môn làm các đồ đó bằng đồng trơn láng, đặng dùng trong đền của Đức Giê-hô-va.
The king made them of liquid metal in the lowland of Jordan, in the soft earth between Succoth and Zeredah.|Vua truyền đúc các đồ ấy nơi đồng bằng Giô-đanh, dưới đất sét, giữa Su-cốt và Xê-rê-đa.
So Solomon made all these vessels, a very great store of them, and the weight of the brass used was not measured.|Vua Sa-lô-môn chế các đồ ấy thật nhiều lắm; còn số cân của đồng thì người ta không biết.
And Solomon made all the vessels used in the house of God, the gold altar and the tables on which the holy bread was placed,|Sa-lô-môn làm hết thảy các đồ lề trong đền Đức Chúa Trời: bàn thờ vàng, những cái bàn dùng sắp bánh trần thiết,
And the supports for the lights with their lights, to be burning in the regular way in front of the inmost room, of the best gold;|chơn đèn, và cái thếp nó bằng vàng ròng đặng thắp trước nơi chí thánh, theo lệ đã định;
The flowers and the vessels for the lights and the instruments used for them, were all of gold; it was the best gold.|cũng làm các hoa, thếp, và nỉa bằng vàng ròng;
The scissors and the basins and the spoons and the fire-trays, of the best gold; and the inner doors of the house, opening into the most holy place, and the doors of the Temple, were all of gold.|những dao, chậu, chén, lư hương, cũng bằng vàng ròng; và nơi vào đền, các cánh cửa đền trong của nơi chí thánh, cùng các cánh cửa của đền thờ cũng đều bằng vàng.

					II Chronicles 5				|
						II Sử Ký 5					
So all the work which Solomon did for the house of the Lord was complete. And Solomon took the holy things which David his father had given, the silver and the gold and all the vessels, and put them in the store-houses of the house of God.|Ay vậy, các công việc mà Sa-lô-môn làm cho đền của Đức Giê-hô-va đều xong rồi. Sa-lô-môn đem đến những vật mà Đa-vít, cha người, đã biệt riêng ra thánh, tức là bạc, vàng, và các khí dụng, để vào kho của đền Đức Chúa Trời.
Then Solomon sent for all the responsible men of Israel, all the chiefs of the tribes and the heads of families of the children of Israel, to come to Jerusalem and take the ark of the Lord's agreement up out of the town of David, which is Zion.|Sa-lô-môn bèn nhóm tại Giê-ru-sa-lem các trưởng lão Y-sơ-ra-ên, các trưởng của các chi phái, và các trưởng tộc dân Y-sơ-ra-ên, các trưởng của các chi phái, và các trưởng tộc dân Y-sơ-ra-ên, đặng rước hòm giao ước của Đức Giê-hô-va lên từ thành Đa-vít, là Si-ôn.
And all the men of Israel came together to the king at the feast in the seventh month.|Mọi người Y-sơ-ra-ên đều nhóm lại đến cùng vua nhằm kỳ lễ tháng bảy.
All the responsible men of Israel came, and the Levites took up the ark.|Các trưởng lão Y-sơ-ra-ên đều đến, và người Lê-vi khiêng hòm đi.
They took up the ark and the Tent of meeting and all the holy vessels which were in the Tent; all these the priests, the Levites, took up.|Những thầy tế lễ và người Lê-vi đều đem lên cái hòm, hội mạc, và các khí dụng thánh vốn ở trong trại.
And King Solomon and all the men of Israel who had come together there with him, were before the ark, making offerings of sheep and oxen more than might be numbered.|Vua Sa-lô-môn và cả hội chúng Y-sơ-ra-ên đã nhóm lại với vua, đều đứng trước hòm, dâng những chiên và bò làm của lễ nhiều, vô số không thể đếm được.
And the priests took the ark of the Lord's agreement and put it in its place, in the inner room of the house, in the most holy place, under the wings of the winged ones.|Những thầy tế lễ đem hòm giao ước của Đức Giê-hô-va vào nơi dọn cho hòm, tức trong nơi chí thánh của đền, dưới cánh chê-ru-bin.
For their wings were outstretched over the place where the ark was, covering the ark and its rods.|Hai chê-ru-bin sè cánh ra trên chỗ hòm, che hòm và đòn khiêng.
The rods were so long that their ends were seen from the holy place before the inmost room; but they were not seen from outside; and there they are to this day.|Đòn khiêng thì dài, nên đầu đòn thấy ló ra ngoài hòm, trước nơi chí thánh; nhưng ở ngoài đền thì chẳng thấy; hòm vẫn ở đó cho đến ngày nay.
Nothing was in the ark but the two flat stones which Moses put there at Horeb, where the Lord made an agreement with the children of Israel when they came out of Egypt.|Chẳng có gì trong hòm, trừ ra hai bảng luật pháp mà Môi-se đã để vào tại Hô-rếp, khi Đức Giê-hô-va lập giao ước với dân Y-sơ-ra-ên, lúc chúng ra khỏi Ê-díp-tô.
Now when the priests had come out of the holy place, (for all the priests who were present had made themselves holy, not keeping to their divisions;|Khi những thầy tế lễ ra khỏi nơi thánh ,
And the Levites who made the music, all of them, Asaph, Heman, Jeduthun, and their sons and brothers, robed in fair linen, were in their places with their brass and corded instruments at the east side of the altar, and with them a hundred and twenty priests blowing horns;)|và các người ca hát trong dân Lê-vi, tức A-sáp, Hê-nan, Giê-đu-thun, cùng con trai và anh em họ, đương mặc quần áo bằng vải gai mịn, cầm chập chỏa, đờn sắt, và đờn cầm, đều đứng ở phía đông bàn thờ, với một trăm hai mươi thầy tế lễ thổi kèn.
And when the players on horns, and those who made melody in song, with one voice were sounding the praise and glory of the Lord; with loud voices and with wind instruments, and brass and corded instruments of music, praising the Lord and saying, He is good; his mercy is unchanging for ever: then the house was full of the cloud of the glory of the Lord,|Xảy khi kẻ thổi kèn và kẻ ca hát đồng thinh hòa nhau như một người, mà khen ngợi cảm tạ Đức Giê-hô-va, và khi họ trổi tiếng kèn, chập chỏa, nhạc khí lên khen ngợi Đức Giê-hô-va, rằng: Ngài từ thiện, lòng thương xót Ngài hằng có đời đời, thì đền của Đức Giê-hô-va bị mây lấp đầy;
So that the priests were not able to keep their places to do their work because of the cloud; for the house of God was full of the glory of the Lord.|đến đỗi những thầy tế lễ vì mây không thể đứng đó hầu việc được, vì sự vinh hiển của Đức Giê-hô-va đầy lấp đền của Đức Chúa Trời.

					II Chronicles 6				|
						II Sử Ký 6					
Then Solomon said, O Lord, to the sun you have given the heaven for a living-place, but your living-place was not seen by men,|Bấy giờ, Sa-lô-môn nói rằng: Đức Giê-hô-va đã phán rằng Ngài sẽ ngự trong nơi tối thẳm.
So I have made for you a living-place, a house in which you may be for ever present.|Nhưng tôi đã cất một cái đền cho Chúa trú ngụ, một nơi cho Chúa ở đời đời.
Then, turning his face about, the king gave a blessing to all the men of Israel; and they were all on their feet together.|Đoạn vua xây mặt lại chúc phước cho cả hội chúng Y-sơ-ra-ên cả hội chúng Y-sơ-ra-ên đều đứng.
And he said, Praise be to the Lord, the God of Israel, who himself gave his word to my father David, and with his strong hand has made his word come true, saying,|Người nói: Đáng ngợi khen Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, là Đấng đã phán hứa với Đa-vít, cha tôi, và nay lấy tay Ngài mà làm cho thành lời hứa ấy; Ngài rằng:
From the day when I took my people out of the land of Egypt, no town in all the tribes of Israel has been marked out by me for the building of a house for the resting-place of my name; and I took no man to be a ruler over my people Israel;|Từ ngày ta đem dân ta ra khỏi xứ Ê-díp-tô, ta chưa chọn một thành nào trong các chi phái Y-sơ-ra-ên đặng cất một cái đền, để đặt danh ta tại đó, và ta cũng chẳng chọn người nào làm vua chúa trên dân Y-sơ-ra-ên ta;
But now I have made selection of Jerusalem, that my name might be there, and of David, to be over my people Israel.|nhưng ta đã chọn Giê-ru-sa-lem, để đặt danh ta tại đó, và chọn Đa-vít đặng cai trị dân Y-sơ-ra-ên ta.
Now it was in the heart of my father David to put up a house for the name of the Lord, the God of Israel.|Vả, Đa-vít, cha tôi, đã rắp lòng xây đền cho danh Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên.
But the Lord said to David my father, You did well to have in your heart the desire to make a house for my name:|Nhưng Đức Giê-hô-va phán với Đa-vít, cha tôi, rằng: Ngươi có rắp lòng cất một cái đền cho danh ta, ấy thật phải lắm;
But you yourself will not be the builder of the house; but your son, the offspring of your body, he it is who will put up a house for my name.|dầu vậy, ngươi sẽ chẳng cất đền ấy; song con trai ngươi sanh ra sẽ cất cái đền cho danh ta.
And the Lord has kept his word; for I have taken my father David's place on the seat of the kingdom of Israel, as the Lord gave his word; and I have made the house for the name of the Lord the God of Israel.|Đức Giê-hô-va đã làm ứng nghiệm lời Ngài phán, khiến tôi kế cho Đa-vít, cha tôi, lên ngôi trị vì Y-sơ-ra-ên, y như Đức Giê-hô-va đã hứa: nên tôi có cất đền cho danh Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên,
And there I have put the ark, in which is the agreement of the Lord, which he made with the people of Israel.|và tại đền ấy đã đặt cái hòm đựng giao ước của Đức Giê-hô-va mà Ngài lập với dân Y-sơ-ra-ên.
Then he took his place in front of the altar of the Lord, all the men of Israel being present,|Sa-lô-môn đương đứng trước bàn thờ của Đức Giê-hô-va, đối mặt cả hội chúng Y-sơ-ra-ên, giơ tay mình ra
(For Solomon had made a brass stage, five cubits long, five cubits wide and three cubits high, and had put it in the middle of the open space; on this he took his place and went down on his knees before all the meeting of Israel, stretching out his hands to heaven.)|,
And he said, O Lord, the God of Israel, there is no God like you in heaven or on earth; keeping faith and mercy unchanging for your servants, while they go in your ways with all their hearts;|mà rằng: Lạy Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên! trên trời và dưới đất, chẳng có thần nào giống như Chúa. Chúa gìn giữ lời giao ước và lòng nhơn từ đối với kẻ tôi tớ Chúa, là kẻ hết lòng đi trước mặt Chúa;
For you have kept the word which you gave to your servant David, my father; with your mouth you said it and with your hand you have made it come true this day.|đối với tôi tớ Chúa là Đa-vít cha tôi, Chúa có gìn giữ lời Chúa đã hứa với người: Thật hễ điều gì miệng Chúa phán, thì tay Chúa đã làm cho hoàn thành, y như đã có ngày nay.
