
					Psalms 1				|
But as for me, I will come into your house, in the full measure of your mercy; and in your fear I will give worship, turning my eyes to your holy Temple.|Còn tôi, nhờ sự nhơn từ dư dật của Chúa, tôi sẽ vào nhà Chúa, Lấy lòng kính sợ Chúa mà thờ lạy trước đền thánh của Chúa.
Be my guide, O Lord, in the ways of your righteousness, because of those who are against me; make your way straight before my face.|Hỡi Đức Giê-hô-va, nhơn vì kẻ thù nghịch tôi, xin lấy công bình Ngài mà dẫn dắt tôi, Và ban bằng đường Ngài trước mặt tôi.
For no faith may be put in their words; their inner part is nothing but evil; their throat is like an open place for the dead; smooth are the words of their tongues.|Vì nơi miệng chúng nó chẳng có sự thành tín; Lòng chúng nó chỉ là gian tà; Họng chúng nó là huyệt mả mở ra; Lưỡi chúng nó đầy dẫy điều dua nịnh.
Send them to destruction, O Lord; let their evil designs be the cause of their fall; let them be forced out by all their sins; because they have gone against your authority.|Hỡi Đức Chúa Trời, xin hãy trừng trị chúng nó; Nguyện họ sa ngã trong mưu chước mình; Hãy xô đuổi họ vì tội ác rất nhiều của họ; Vì họ đã phản nghịch cùng Chúa.
But let all those who put their faith in you be glad with cries of joy at all times, and let all the lovers of your name be glad in you.|Nhưng phàm ai nương náu mình nơi Chúa sẽ khoái lạc, Cất tiếng reo mừng đến mãi mãi, Vì Chúa bảo hộ các người ấy; Kẻ nào ái mộ danh Chúa Cũng sẽ nức lòng mừng rỡ nơi Chúa.
For you, Lord, will send a blessing on the upright man; your grace will be round him, and you will be his strength.|Vì hỡi Đức Giê-hô-va, chính Ngài sẽ ban phước cho người công bình, Lấy ơn vây phủ người khác nào bằng cái khiên.

					Psalms 6				|
						Thánh Thi 6					
To the chief music-maker on corded instruments, on the Sheminith. A Psalm. Of David.O Lord, do not be bitter with me in your wrath; do not send punishment on me in the heat of your passion.|Đức Giê-hô-va ôi! xin chớ nổi thạnh nộ mà trách tôi, Chớ sửa phạt tôi trong khi Ngài giận phừng,
Have mercy on me, O Lord, for I am wasted away: make me well, for even my bones are troubled.|Hỡi Đức Giê-hô-va, xin thương xót tôi, vì tôi yếu mỏn; Lạy Đức Giê-hô-va, xin chữa tôi, vì xương cốt tôi run rẩy.
My soul is in bitter trouble; and you, O Lord, how long?|Đức Giê-hô-va ôi! linh hồn tôi cũng bối rối quá đỗi; Còn Ngài, cho đến chừng nào?
Come back, O Lord, make my soul free; O give me salvation because of your mercy.|Lạy Đức Giê-hô-va, xin hãy trở lại, giải cứu linh hồn tôi; Hãy cứu tôi vì lòng nhơn từ Ngài.
For in death there is no memory of you; in the underworld who will give you praise?|Vì trong sự chết chẳng còn nhớ đến Chúa nữa; Nơi âm phủ ai sẽ cảm tạ Chúa?
The voice of my sorrow is a weariness to me; all the night I make my bed wet with weeping; it is watered by the drops flowing from my eyes.|Tôi mỏn sức vì than thở, Mỗi đêm tôi làm trôi giường tôi, Dầm nó với nước mắt.
My eyes are wasting away with trouble; they are becoming old because of all those who are against me.|Mắt tôi hao mòn vì buồn thảm, Làng lệt vì cớ cừu địch tôi.
Go from me, all you workers of evil; for the Lord has given ear to the voice of my weeping.|Hỡi kẻ làm ác kia, khá lìa xa ta hết thảy; Vì Đức Giê-hô-va đã nghe tiếng khóc lóc ta.
The Lord has given ear to my request; the Lord has let my prayer come before him.|Đức Giê-hô-va đã nghe sự nài xin ta. Ngài nhận lời cầu nguyện ta.
Let all those who are against me be shamed and deeply troubled; let them be turned back and suddenly put to shame.|Hết thảy kẻ thù nghịch tôi sẽ bị hổ thẹn và bối rối lắm; Chúng nó sẽ sụt lui lại, vội vàng bị mất cỡ.

					Psalms 7				|
						Thánh Thi 7					
Shiggaion of David; a song which he made to the Lord, about the words of Cush the Benjamite.O Lord my God, I put my faith in you; take me out of the hands of him who is cruel to me, and make me free;|Hỡi Giê-hô-va Đức Chúa Trời tôi, tôi nương náu mình nơi Ngài; Xin hãy cứu tôi khỏi kẻ rượt đuổi tôi, và thoát giải tôi,
So that he may not come rushing on my soul like a lion, wounding it, while there is no one to be my saviour.|Kẻo kẻ thù nghịch xé tôi như con sư tử, Và phân tôi từ mảnh, không ai giải cứu cho.
O Lord my God, if I have done this; if my hands have done any wrong;|Hỡi Giê-hô-va Đức Chúa Trời tôi, nhược bằng tôi đã làm điều ấy, Và có sự gian ác nơi tay tôi;
If I have given back evil to him who did evil to me, or have taken anything from him who was against me without cause;|Nếu tôi đã trả ác cho người ở hòa hảo cùng tôi, Và cướp lột kẻ hiếp tôi vô cớ,
Let my hater go after my soul and take it; let my life be crushed to the earth, and my honour into the dust. (Selah.)|Thì đáng cho kẻ thù nghịch đuổi theo tôi kịp Giày đạp mạng sống tôi dưới đất, Và làm rạp vinh hiển tôi xuống bụi đất.
Come up, Lord, in your wrath; be lifted up against my haters; be awake, my God, give orders for the judging.|Hỡi Đức Giê-hô-va, xin hãy nổi thạnh nộ mà chổi dậy; Hãy dấy nghịch cùng sự giận hoảng của kẻ hiếp tôi; Khá tỉnh thức mà giúp đỡ tôi; Ngài đã truyền định sự đoán xét rồi.
The meeting of the nations will be round you; take your seat, then, over them, on high.|Hội các dân tộc sẽ vây phủ từ phía Ngài; Còn Ngài vì chúng phải trở lên cao.
The Lord will be judge of the peoples; give a decision for me, O Lord, because of my righteousness, and let my virtue have its reward.|Đức Giê-hô-va đoán xét các dân. Hỡi Đức Giê-hô-va, xin hãy đoán xét tôi theo sự công bình tôi, Và theo sự thanh liêm ở nơi lòng tôi.
O let the evil of the evil-doer come to an end, but give strength to the upright: for men's minds and hearts are tested by the God of righteousness.|Ồ, Đức Chúa Trời công bình! là Đấng dò xét lòng dạ loài người, Xin hãy khiến cùng tận sự gian ác kẻ dữ, Song hãy làm cho vững vàng người công bình.
God, who is the saviour of the upright in heart, is my breastplate.|Đức Chúa Trời là cái khiên tôi, Ngài là Đấng cứu rỗi những kẻ có lòng ngay thẳng.
God is the judge of the upright, and is angry with the evil-doers every day.|Đức Chúa Trời là quan án công bình, Thật là Đức Chúa Trời hằng ngày nổi giận cùng kẻ ác.
If a man is not turned from his evil, he will make his sword sharp; his bow is bent and ready.|Nếu kẻ ác không hối cải, thì Đức Chúa Trời sẽ mài gươm: Ngài đã giương cung mà chực cho sẵn,
He has made ready for him the instruments of death; he makes his arrows flames of fire.|Cũng đã vì nó sắm sửa khí giới làm chết, Và làm những tên Ngài phừng lửa.
That man is a worker of evil; the seed of wrongdoing has given birth to deceit.|Kìa, kẻ dữ đương đẻ gian ác; Thật nó đã hoài thai sự khuấy khỏa, và sanh điều dối trá.
He has made a hole deep in the earth, and is falling into the hole which he has made|Nó đào một hố sâu, Nhưng lại té vào hố nó đã đào.
His wrongdoing will come back to him, and his violent behaviour will come down on his head.|Sự khuấy khỏa nó đã làm sẽ đổ lại trên đầu nó. Và sự hung hăng nó giáng trên trán nó.
I will give praise to the Lord for his righteousness; I will make a song to the name of the Lord Most High.|Tôi sẽ ngợi khen Đức Giê-hô-va y theo sự công bình Ngài, Và ca tụng danh Đức Giê-hô-va là Đấng Chí cao.

					Psalms 8				|
						Thánh Thi 8					
To the chief music-maker on the Gittith. A Psalm. Of David.O Lord, our Lord, whose glory is higher than the heavens, how noble is your name in all the earth!|Hỡi Đức Giê-hô-va là Chúa chúng tôi, Danh Chúa được sang cả trên khắp trái đất biết bao; Sự oai nghi Chúa hiện ra trên các từng trời!
You have made clear your strength even out of the mouths of babies at the breast, because of those who are against you; so that you may put to shame the cruel and violent man.|Nhơn vì các cừu địch Chúa, Chúa do miệng trẻ thơ và những con đương bú, Mà lập nên năng lực Ngài, Đặng làm cho người thù nghịch và kẻ báo thù phải nín lặng.
When I see your heavens, the work of your fingers, the moon and the stars, which you have put in their places;|Khi tôi nhìn xem các từng trời là công việc của ngón tay Chúa, Mặt trăng và các ngôi sao mà Chúa đã đặt,
What is man, that you keep him in mind? the son of man, that you take him into account?|Loài người là gì, mà Chúa nhớ đến? Con loài người là chi, mà Chúa thăm viếng nó?
For you have made him only a little lower than the gods, crowning him with glory and honour.|Chúa làm người kém Đức Chúa Trời một chút, Đội cho người sự vinh hiển và sang trọng.
You have made him ruler over the works of your hands; you have put all things under his feet;|Chúa ban cho người quyền cai trị công việc tay Chúa làm, Khiến muôn vật phục dưới chơn người:
All sheep and oxen, and all the beasts of the field;|Cả loài chiên, loài bò, Đến đỗi các thú rừng,
The birds of the air and the fish of the sea, and whatever goes through the deep waters of the seas.|Chim trời và cá biển, Cùng phàm vật gì lội đi các lối biển.
O Lord, our Lord, how noble is your name in all the earth!|Hỡi Đức Giê-hô-va là Chúa chúng tôi, Danh Chúa được sang cả trên khắp trái đất biết bao!

					Psalms 9				|
						Thánh Thi 9					
To the chief music-maker on Muthlabben. A Psalm. Of David.I will give you praise, O Lord, with all my heart; I will make clear all the wonder of your works.|Tôi sẽ hết lòng cảm tạ Đức Giê-hô-va, Tỏ ra các công việc lạ lùng của Ngài.
I will be glad and have delight in you: I will make a song of praise to your name, O Most High.|Hỡi Đấng chí cao, tôi sẽ vui vẻ, hớn hở nơi Ngài, Và ca tụng danh của Ngài.
When my haters are turned back, they will be broken and overcome before you.|Khi kẻ thù nghịch tôi lui bước, Chúng nó vấp ngã, và hư mất trước mặt Chúa.
For you gave approval to my right and my cause; you were seated in your high place judging in righteousness.|Vì Chúa binh vực quyền lợi và duyên cớ tôi; Chúa ngồi tòa mà đoán xét công bình.
You have said sharp words to the nations, you have sent destruction on the sinners, you have put an end to their name for ever and ever.|Chúa đã quở trách các nước, hủy diệt kẻ ác, Xóa sạch danh chúng nó đời đời.
You have given their towns to destruction; the memory of them has gone; they have become waste for ever.|Kẻ thù nghịch đã đến cùng, bị hủy diệt đời đời; Còn các thành Chúa đã phá đổ, Dầu kỷ niệm nó cũng đã bị hư mất rồi.
But the Lord is King for ever: he has made ready his high seat for judging.|Nhưng Đức Giê-hô-va ngồi cai trị đời đời; Ngài đã dự bị ngôi mình để đoán xét.
And he will be the judge of the world in righteousness, giving true decisions for the peoples.|Ngài sẽ lấy công bình đoán xét thế gian, Dùng sự ngay thẳng mà xử các dân tộc.
The Lord will be a high tower for those who are crushed down, a high tower in times of trouble;|Đức Giê-hô-va sẽ làm nơi náu ẩn cao cho kẻ bị hà hiếp, Một nơi náu ẩn cao trong thì gian truân.
And those who have knowledge of your name will put their faith in you; because you, Lord, have ever given your help to those who were waiting for you.|Hỡi Đức Giê-hô-va, phàm ai biết danh Ngài sẽ để lòng tin cậy nơi Ngài; Vì Ngài chẳng từ bỏ kẻ nào tìm kiếm Ngài.
Make songs of praise to the Lord, whose house is in Zion: make his doings clear to the people.|Khá hát ngợi khen Đức Giê-hô-va, là Đấng ngự tại Si-ôn; Hãy báo cáo giữa các dân công việc tối cao của Ngài.
When he makes search for blood, he has them in his memory: he is not without thought for the cry of the poor.|Vì Đấng báo thù huyết nhớ lại kẻ khốn cùng, Chẳng hề quên tiếng kêu của họ.
Have mercy on me, O Lord, and see how I am troubled by my haters; let me be lifted up from the doors of death;|Đức Giê-hô-va ôi! xin thương xót tôi; Hỡi Đấng đem tôi lên khỏi cửa sự chết, Hãy xem sự gian nan tôi mắc phải tại vì kẻ ghét tôi;
So that I may make clear all your praise in the house of the daughter of Zion: I will be glad because of your salvation.|Hầu cho tại cửa con gái Si-ôn, Tôi tỏ ra mọi sự ngợi khen Chúa, Và mừng rỡ về sự cứu rỗi của Ngài.
The nations have gone down into the hole which they made: in their secret net is their foot taken.|Các dân đã lún xuống trong hố chúng nó đã đào; Chơn của chúng nó mắc vào lưới chúng nó đã gài kín.
The Lord has given knowledge of himself through his judging: the evil-doer is taken in the net which his hands had made. (Higgaion. Selah.)|Đức Giê-hô-va thi hành sự đoán xét mà tỏ mình Ngài ra; Kẻ ác bị công việc tay mình làm trở vấn lấy.
The sinners and all the nations who have no memory of God will be turned into the underworld.|Kẻ ác sẽ bị xô xuống âm phủ, Và các dân quên Đức Chúa Trời cũng vậy.
For the poor will not be without help; the hopes of those in need will not be crushed for ever.|Người thiếu thốn sẽ không bị bỏ quên luôn luôn, Và kẻ khốn cùng chẳng thất vọng mãi mãi.
Up! O Lord; let not man overcome you: let the nations be judged before you.|Hỡi Đức Giê-hô-va, xin hãy chổi dậy, chớ cho người đời được thắng; Nguyện các dân bị đoán xét trước mặt Ngài.
Put them in fear, O Lord, so that the nations may see that they are only men. (Selah.)|Hỡi Đức Giê-hô-va, xin hãy làm cho chúng nó sợ hãi. Nguyện các dân biết mình chẳng qua là người phàm.

					Psalms 10				|
						Thánh Thi 10					
Why do you keep far away, O Lord? why are you not to be seen in times of trouble?|Đức Giê-hô-va ôi! vì cớ Ngài đứng xa, Lúc gian truân tại sao Ngài ẩn mình đi?
The evil-doer in his pride is cruel to the poor; let him be taken by the tricks of his invention.|Kẻ ác, vì lòng kiêu ngạo, hăm hở rượt theo người khốn cùng; Nguyện chúng nó phải mắc trong mưu chước mình đã toan.
For the evil-doer is lifted up because of the purpose of his heart, and he whose mind is fixed on wealth is turned away from the Lord, saying evil against him.|Vì kẻ ác tự khoe về lòng dục mình; Kẻ tham của từ bỏ Đức Giê-hô-va, và khinh dể Ngài.
The evil-doer in his pride says, God will not make a search. All his thoughts are, There is no God.|Kẻ ác bộ mặt kiêu ngạo mà rằng: Ngài sẽ không hề hạch hỏi. Chẳng có Đức Chúa Trời: kìa là tư tưởng của hắn.
His ways are ever fixed; your decisions are higher than he may see: as for his haters, they are as nothing to him.|Các đường hắn đều may mắn luôn luôn; Sự đoán xét của Chúa cao quá, mắt hắn chẳng thấy được; Hắn chê hết thảy kẻ thù nghịch mình.
He has said in his heart, I will not be moved: through all generations I will never be in trouble.|Hắn nghĩ rằng: Ta sẽ chẳng lay động; Ta sẽ không bị tai họa gì đến đời đời.
His mouth is full of cursing and deceit and false words: under his tongue are evil purposes and dark thoughts.|Miệng hắn đầy sự nguyền rủa, sự giả dối, và sự gian lận; Dưới lưỡi nó chỉ có sự khuấy khỏa và gian ác.
He is waiting in the dark places of the towns: in the secret places he puts to death those who have done no wrong: his eyes are secretly turned against the poor.|Hắn ngồi nơi rình rập của làng, giết kẻ vô tội trong nơi ẩn khuất; Con mắt hắn dòm hành người khốn khổ.
He keeps himself in a secret place like a lion in his hole, waiting to put his hands on the poor man, and pulling him into his net.|Hắn phục trong nơi kín đáo như sư tử trong hang nó; Hắn rình rập đặng bắt người khốn cùng; Khi hắn kéo kẻ khốn cùng vào lưới mình, thì đã bắt được nó rồi.
The upright are crushed and made low, and the feeble are overcome by his strong ones.|Hắn chùm hum, và cúi xuống, Kẻ khốn khổ sa vào vấu hắn.
He says in his heart, God has no memory of me: his face is turned away; he will never see it.|Hắn nghĩ rằng: Đức Chúa Trời quên rồi, Ngài đã ẩn mặt, sẽ không hề xem xét.
Up! O Lord; let your hand be lifted: give thought to the poor.|Đức Giê-hô-va ôi! xin hãy chổi dậy; Hỡi Đức Chúa Trời, hãy giơ tay Ngài lên; Chớ quên kẻ khốn cùng.
Why has the evil-doer a low opinion of God, saying in his heart, You will not make search for it?|Vì cớ sao kẻ ác khinh dể Đức Chúa Trời, Và nghĩ rằng: Chúa sẽ chẳng hề hạch hỏi?
You have seen it; for your eyes are on sorrow and grief, to take it into your hand: the poor man puts his faith in you; you have been the helper of the child who has no father.|Chúa đã thấy rồi; vì Chúa xem xét sự bạo tàn và sự độc hại, Để lấy chính tay Chúa mà báo trả lại; Còn kẻ khốn khổ phó mình cho Chúa; Chúa là Đấng giúp đỡ kẻ mồ côi.
Let the arm of the sinner and the evil-doer be broken; go on searching for his sin till there is no more.|Hãy bẻ gãy cánh tay kẻ ác, Và tra tìm sự gian ác của kẻ dữ cho đến không còn thấy gì nữa.
The Lord is King for ever and ever; the nations are gone from his land.|Đức Giê-hô-va làm Vua đến đời đời vô cùng; Các ngoại bang bị diệt mất khỏi đất của Ngài.
Lord, you have given ear to the prayer of the poor: you will make strong their hearts, you will give them a hearing:|Hỡi Đức Giê-hô-va, Ngài đã nghe lời ước ao của kẻ hiền từ; Khiến lòng họ được vững bền, và cũng đã lắng tai nghe,
To give decision for the child without a father and for the broken-hearted, so that the man of the earth may no longer be feared.|Đặng xét công bình việc kẻ mồ côi và người bị hà hiếp, Hầu cho loài người, vốn bởi đất mà ra, không còn làm cho sợ hãi nữa.

					Psalms 11				|
						Thánh Thi 11					
For the chief music-maker. Of David. In the Lord put I my faith; how will you say to my soul, Go in flight like a bird to the mountain?|Tôi nương náu mình nơi Đức Giê-hô-va; Sao các ngươi nói cùng linh hồn ta: Hãy trốn lên núi ngươi như con chim?
See, the bows of the evil-doers are bent, they make ready their arrows on the cord, so that they may send them secretly against the upright in heart.|Vì kìa, kẻ ác gương cung, Tra tên mình trên dây, Đặng bắn trong tối tăm kẻ có lòng ngay thẳng.
If the bases are broken down, what is the upright man to do?|Nếu các nền bị phá đổ, Người công bình sẽ làm sao?
The Lord is in his holy Temple, the Lord's seat is in heaven; his eyes are watching and testing the children of men.|Đức Giê-hô-va ngự trong đền thánh Ngài; Ngôi Ngài ở trên trời; Con mắt Ngài nhìn xem, Mí mắt Ngài dò con loài người.
The Lord puts the upright and the sinner to the test, but he has hate in his soul for the lover of violent acts.|Đức Giê-hô-va thử người công bình; Nhưng lòng Ngài ghét người ác và kẻ ưa sự hung bạo.
On the evil-doer he will send down fire and flames, and a burning wind; with these will their cup be full.|Ngài sẽ giáng xối trên kẻ ác những bẫy, lửa và diêm; Một ngọn gió phỏng sẽ là phần của chúng nó.
For the Lord is upright; he is a lover of righteousness: the upright will see his face.|Vì Đức Giê-hô-va là công bình; Ngài yêu sự công bình: Những người ngay thẳng sẽ nhìn xem mặt Ngài.

					Psalms 12				|
						Thánh Thi 12					
For the chief music-maker on the Sheminith. A Psalm. Of David.Send help, Lord, for mercy has come to an end; there is no more faith among the children of men.|Đức Giê-hô-va ôi! xin cứu chúng tôi, vì người nhơn đức không còn nữa, Và kẻ thành tín đã mất khỏi giữa con loài người.
Everyone says false words to his neighbour: their tongues are smooth in their talk, and their hearts are full of deceit.|Chúng đều dùng lời dối trá mà nói lẫn nhau, Lấy môi dua nịnh và hai lòng, Mà trò chuyện nhau.
The smooth lips and the tongue of pride will be cut off by the Lord.|Đức Giê-hô-va sẽ diệt hết thảy các môi dua nịnh, Và lưỡi hay nói cách kiêu ngạo;
They have said, With our tongues will we overcome; our lips are ours: who is lord over us?|Tức là kẻ nói rằng: Nhờ lưỡi mình chúng ta sẽ được thắng; Môi chúng ta thuộc về chúng ta: Ai là Chúa của chúng ta?
Because of the crushing of the poor and the weeping of those in need, now will I come to his help, says the Lord; I will give him the salvation which he is desiring.|Nhơn vì người khốn cùng bị hà hiếp, và kẻ thiếu thốn rên siết, Đức Giê-hô-va phán: Bây giờ ta sẽ chổi dậy, Đặt người tại nơi yên ổn, là nơi người mong muốn.
The words of the Lord are true words: like silver tested by fire and burned clean seven times.|Các lời Đức Giê-hô-va là lời trong sạch, Dường như bạc đã thét trong nồi dót bằng gốm, Luyện đến bảy lần.
You will keep them, O Lord, you will keep them safe from this generation for ever.|Hỡi Đức Giê-hô-va, Ngài sẽ gìn giữ các người khốn cùng, Hằng bảo tồn họ cho khỏi dòng dõi nầy.
The sinners are walking on every side, and evil is honoured among the children of men.|Khi sự hèn mạt được đem cao lên giữa loài người, Thì kẻ ác đi dạo quanh tứ phía.

					Psalms 13				|
						Thánh Thi 13					
To the chief music-maker. A Psalm. Of David. Will you for ever put me out of your memory, O Lord? will your face for ever be turned away from me?|Đức Giê-hô-va ôi! Ngài sẽ hằng quên tôi cho đến chừng nào? Ngài ẩn mặt cùng tôi cho đến bao giờ?
