
					Genesis 1				|
And to every beast of the earth and to every bird of the air and every living thing moving on the face of the earth I have given every green plant for food: and it was so.|Còn các loài thú ngoài đồng, các loài chim trên trời, và các động vật khác trên mặt đất, phàm giống nào có sự sống thì ta ban cho mọi thứ cỏ xanh đặng dùng làm đồ ăn; thì có như vậy.
And God saw everything which he had made and it was very good. And there was evening and there was morning, the sixth day.|Đức Chúa Trời thấy các việc Ngài đã làm thật rất tốt lành. Vậy, có buổi chiều và buổi mai; ấy là ngày thứ sáu.

					Genesis 2				|
						Sáng Thế 2					
And the heaven and the earth and all things in them were complete.|Ay vậy, trời đất và muôn vật đã dựng nên xong rồi.
And on the seventh day God came to the end of all his work; and on the seventh day he took his rest from all the work which he had done.|Ngày thứ bảy, Đức Chúa Trời làm xong các công việc Ngài đã làm, và ngày thứ bảy, Ngài nghỉ các công việc Ngài đã làm.
And God gave his blessing to the seventh day and made it holy: because on that day he took his rest from all the work which he had made and done.|Rồi, Ngài ban phước cho ngày thứ bảy, đặt là ngày thánh; vì trong ngày đó, Ngài nghỉ các công việc đã dựng nên và đã làm xong rồi.
These are the generations of the heaven and the earth when they were made.|Ay là gốc tích trời và đất khi đã dựng nên, trong lúc Giê-hô-va Đức Chúa Trời dựng nên trời và đất.
In the day when the Lord God made earth and heaven there were no plants of the field on the earth, and no grass had come up: for the Lord God had not sent rain on the earth and there was no man to do work on the land.|Vả, lúc đó, chưa có một cây nhỏ nào mọc ngoài đồng, và cũng chưa có một ngọn cỏ nào mọc ngoài ruộng, vì Giê-hô-va Đức Chúa Trời chưa có cho mưa xuống trên đất, và cũng chẳng có một người nào cày cấy đất nữa.
But a mist went up from the earth, watering all the face of the land.|Song có hơi nước dưới đất bay lên tưới khắp cùng mặt đất,
And the Lord God made man from the dust of the earth, breathing into him the breath of life: and man became a living soul.|Giê-hô-va Đức Chúa Trời bèn lấy bụi đất nắn nên hình người, hà sanh khí vào lỗ mũi; thì người trở nên một loài sanh linh.
And the Lord God made a garden in the east, in Eden; and there he put the man whom he had made.|Đoạn, Giê-hô-va Đức Chúa Trời lập một cảnh vườn tại Ê-đen, ở về hướng Đông, và đặt người mà Ngài vừa dựng nên ở đó.
And out of the earth the Lord made every tree to come, delighting the eye and good for food; and in the middle of the garden, the tree of life and the tree of the knowledge of good and evil.|Giê-hô-va Đức Chúa Trời khiến đất mọc lên các thứ cây đẹp mắt, và trái thì ăn ngon; giữa vườn lại có cây sự sống cùng cây biết điều thiện và điều ác.
And a river went out of Eden giving water to the garden; and from there it was parted and became four streams.|Một con sông từ Ê-đen chảy ra đặng tưới vườn; rồi từ đó chia ra làm bốn ngả.
The name of the first is Pishon, which goes round about all the land of Havilah where there is gold.|Tên ngả thứ nhứt là Bi-sôn; ngả đó chảy quanh xứ Ha-vi-la, là nơi có vàng.
And the gold of that land is good: there is bdellium and the onyx stone.|Vàng xứ nầy rất cao; đó lại có nhũ hương và bính ngọc.
And the name of the second river is Gihon: this river goes round all the land of Cush.|Tên sông thứ nhì là Ghi-hôn, chảy quanh xứ Cu-sơ.
And the name of the third river is Tigris, which goes to the east of Assyria. And the fourth river is Euphrates.|Tên sông thứ ba là Hi-đê-ke, chảy về phía đông bờ cõi A-si-ri. Còn sông thứ tư là sông Ơ-phơ-rát.
And the Lord God took the man and put him in the garden of Eden to do work in it and take care of it.|Giê-hô-va Đức Chúa Trời đem người ở vào cảnh vườn Ê-đen để trồng và giữ vườn.
And the Lord God gave the man orders, saying, You may freely take of the fruit of every tree of the garden:|Rồi, Giê-hô-va Đức Chúa Trời phán dạy rằng: Ngươi được tự do ăn hoa quả các thứ cây trong vườn;
But of the fruit of the tree of the knowledge of good and evil you may not take; for on the day when you take of it, death will certainly come to you.|nhưng về cây biết điều thiện và điều ác thì chớ hề ăn đến; vì một mai ngươi ăn chắc sẽ chết.
And the Lord God said, It is not good for the man to be by himself: I will make one like himself as a help to him|Giê-hô-va Đức Chúa Trời phán rằng: Loài người ở một mình thì không tốt; ta sẽ làm nên một kẻ giúp đỡ giống như nó.
And from the earth the Lord God made every beast of the field and every bird of the air, and took them to the man to see what names he would give them: and whatever name he gave to any living thing, that was its name.|Giê-hô-va Đức Chúa Trời lấy đất nắn nên các loài thú đồng, các loài chim trời, rồi dẫn đến trước mặt A-đam đặng thử xem người đặt tên chúng nó làm sao, hầu cho tên nào A-đam đặt cho mỗi vật sống, đều thành tên riêng cho nó.
And the man gave names to all cattle and to the birds of the air and to every beast of the field; but Adam had no one like himself as a help.|A-đam đặt tên các loài súc vật, các loài chim trời cùng các loài thú đồng; nhưng về phần A-đam, thì chẳng tìm được một ai giúp đỡ giống như mình hết.
And the Lord God sent a deep sleep on the man, and took one of the bones from his side while he was sleeping, joining up the flesh again in its place:|Giê-hô-va Đức Chúa Trời làm cho A-đam ngủ mê, bèn lấy một xương sường, rồi lấp thịt thế vào.
And the bone which the Lord God had taken from the man he made into a woman, and took her to the man.|Giê-hô-va Đức Chúa Trời dùng xương sường đã lấy nơi A-đam làm nên một người nữ, đưa đến cùng A-đam.
And the man said, This is now bone of my bone and flesh of my flesh: let her name be Woman because she was taken out of Man.|A-đam nói rằng: Người nầy là xương bởi xương tôi, thịt bởi thịt tôi mà ra. Người nầy sẽ được gọi là người nữ, vì nó do nơi người nam mà có.
For this cause will a man go away from his father and his mother and be joined to his wife; and they will be one flesh.|Bởi vậy cho nên người nam sẽ lìa cha mẹ mà dính díu cùng vợ mình, và cả hai sẽ trở nên một thịt.
And the man and his wife were without clothing, and they had no sense of shame.|Vả, A-đam và vợ, cả hai đều trần truồng, mà chẳng hổ thẹn.

					Genesis 3				|
						Sáng Thế 3					
Now the snake was wiser than any beast of the field which the Lord God had made. And he said to the woman, Has God truly said that you may not take of the fruit of any tree in the garden?|Vả, trong các loài thú đồng mà Giê-hô-va Đức Chúa Trời đã làm nên, có con rắn là giống quỉ quyệt hơn hết. Rắn nói cùng người nữ rằng: Mà chi! Đức Chúa Trời há có phán dặn các ngươi không được phép ăn trái các cây trong vườn sao?
And the woman said, We may take of the fruit of the trees in the garden:|Người nữ đáp rằng: Chúng ta được ăn trái các cây trong vườn,
But of the fruit of the tree in the middle of the garden, God has said, If you take of it or put your hands on it, death will come to you.|song về phần trái của cây mọc giữa vườn, Đức Chúa Trời có phán rằng: Hai ngươi chẳng nên ăn đến và cũng chẳng nên đá-động đến, e khi hai ngươi phải chết chăng.
And the snake said, Death will not certainly come to you:|Rắn bèn nói với người nữ rằng: Hai ngươi chẳng chết đâu;
For God sees that on the day when you take of its fruit, your eyes will be open, and you will be as gods, having knowledge of good and evil.|nhưng Đức Chúa Trời biết rằng hễ ngày nào hai ngươi ăn trái cây đó, mắt mình mở ra, sẽ như Đức Chúa Trời, biết điều thiện và điều ác.
And when the woman saw that the tree was good for food, and a delight to the eyes, and to be desired to make one wise, she took of its fruit, and gave it to her husband.|Người nữ thấy trái của cây đó bộ ăn ngon, lại đẹp mắt và quí vì để mở trí khôn, bèn hái ăn, rồi trao cho chồng đứng gần mình, chồng cũng ăn nữa.
And their eyes were open and they were conscious that they had no clothing and they made themselves coats of leaves stitched together.|Đoạn, mắt hai người đều mỡ ra, biết rằng mình lỏa lồ, bèn lấy lá cây vả đóng khố che thân.
And there came to them the sound of the Lord God walking in the garden in the evening wind: and the man and his wife went to a secret place among the trees of the garden, away from the eyes of the Lord God.|Lối chiều, nghe tiếng Giê-hô-va Đức Chúa Trời đi ngang qua vườn, A-đam và vợ ẩn mình giữa bụi cây, để tránh mặt Giê-hô-va Đức Chúa Trời.
And the voice of the Lord God came to the man, saying, Where are you?|Giê-hô-va Đức Chúa Trời kêu A-đam mà phán hỏi rằng: Ngươi ở đâu?
And he said, Hearing your voice in the garden I was full of fear, because I was without clothing: and I kept myself from your eyes.|A-đam thưa rằng: Tôi có nghe tiếng Chúa trong vườn, bèn sợ, bởi vì tôi lỏa lồ, nên đi ẩn mình.
And he said, Who gave you the knowledge that you were without clothing? Have you taken of the fruit of the tree which I said you were not to take?|Đức Chúa Trời phán hỏi: Ai đã chỉ cho ngươi biết rằng mình lỏa lồ? Ngươi có ăn trái cây ta đã dặn không nên ăn đó chăng?
And the man said, The woman whom you gave to be with me, she gave me the fruit of the tree and I took it.|Thưa rằng: Người nữ mà Chúa đã để gần bên tôi cho tôi trái cây đó và tôi đã ăn rồi.
And the Lord God said to the woman, What have you done? And the woman said, I was tricked by the deceit of the snake and I took it.|Giê-hô-va Đức Chúa Trời phán hỏi người nữ rằng: Người có làm điều chi vậy? Người nữ thưa rằng: Con rắn dỗ dành tôi và tôi đã ăn rồi.
And the Lord God said to the snake, Because you have done this you are cursed more than all cattle and every beast of the field; you will go flat on the earth, and dust will be your food all the days of your life:|Giê-hô-va Đức Chúa Trời bèn phán cùng rắn rằng: Vì mầy đã làm điều như vậy, mầy sẽ bị rủa sả trong vòng các loài súc vật, các loài thú đồng, mầy sẽ bò bằng bụng và ăn bụi đất trọn cả đời.
And there will be war between you and the woman and between your seed and her seed: by him will your head be crushed and by you his foot will be wounded.|Ta sẽ làm cho mầy cùng người nữ, dòng dõi mầy cùng dòng dõi người nữ nghịch thù nhau. Người sẽ giày đạp đầu mầy, còn mầy sẽ cắn gót chân người.
To the woman he said, Great will be your pain in childbirth; in sorrow will your children come to birth; still your desire will be for your husband, but he will be your master.|Ngài phán cùng người nữ rằng: Ta sẽ thêm điều cực khổ bội phần trong cơn thai nghén; ngươi sẽ chịu đau đớn mỗi khi sanh con; sự dục vọng ngươi phải xu hướng về chồng, và chồng sẽ cai trị ngươi.
And to Adam he said, Because you gave ear to the voice of your wife and took of the fruit of the tree which I said you were not to take, the earth is cursed on your account; in pain you will get your food from it all your life.|Ngài lại phán cùng A-đam rằng: Vì ngươi nghe theo lời vợ mà ăn trái cây ta đã dặn không nên ăn, vậy, đất sẽ bị rủa sả vì ngươi; trọn đời ngươi phải chịu khó nhọc mới có vật đất sanh ra mà ăn.
Thorns and waste plants will come up, and the plants of the field will be your food;|Đất sẽ sanh chông gai và cây tật lê, và ngươi sẽ ăn rau của đồng ruộng;
With the hard work of your hands you will get your bread till you go back to the earth from which you were taken: for dust you are and to the dust you will go back.|ngươi sẽ làm đổ mồ hôi trán mới có mà ăn, cho đến ngày nào ngươi trở về đất, là nơi mà có ngươi ra; vì ngươi là bụi, ngươi sẽ trở về bụi.
And the man gave his wife the name of Eve because she was the mother of all who have life.|A-đam gọi vợ là Ê-va, vì là mẹ của cả loài người.
And the Lord God made for Adam and for his wife coats of skins for their clothing.|Giê-hô-va Đức Chúa Trời lấy da thú kết thành áo dài cho vợ chồng A-đam, và mặc lấy cho.
And the Lord God said, Now the man has become like one of us, having knowledge of good and evil; and now if he puts out his hand and takes of the fruit of the tree of life, he will go on living for ever.|Giê-hô-va Đức Chúa Trời phán rằng: Nầy, về sự phân biệt điều thiện và điều ác, loài người đã thành một bực như chúng ta; vậy bây giờ, ta hãy coi chừng, e loài người giơ tay khiến cũng hái trái cây sự sống mà ăn và được sống đời đời chăng.
So the Lord God sent him out of the garden of Eden to be a worker on the earth from which he was taken.|Giê-hô-va Đức Chúa Trời bèn đuổi loài người ra khỏi vườn Ê-đen đặng cày cấy đất, là nơi có người ra.
So he sent the man out; and at the east of the garden of Eden he put winged ones and a flaming sword turning every way to keep the way to the tree of life.|Vậy, Ngài đuổi loài người ra khỏi vườn, rồi đặt tại phía đông vườn Ê-đen các thần chê-ru-bin với gươm lưỡi chói lòa, để giữ con đường đi đến cây sự sống.

					Genesis 4				|
						Sáng Thế 4					
And the man had connection with Eve his wife, and she became with child and gave birth to Cain, and said, I have got a man from the Lord.|A-đam ăn ở với Ê-va, là vợ mình; người thọ thai sanh Ca-in và nói rằng: Nhờ Đức Giê-hô-va giúp đỡ, tôi mới sanh được một người.
Then again she became with child and gave birth to Abel, his brother. And Abel was a keeper of sheep, but Cain was a farmer.|Ê-va lại sanh em Ca-in, là A-bên; A-bên làm nghề chăn chiên, còn Ca-in thì nghề làm ruộng.
And after a time, Cain gave to the Lord an offering of the fruits of the earth.|Vả, cách ít lâu, Ca-in dùng thổ sản làm của lễ dâng cho Đức Giê-hô-va.
And Abel gave an offering of the young lambs of his flock and of their fat. And the Lord was pleased with Abel's offering;|A-bên cũng dâng chiên đầu lòng trong bầy mình cùng mỡ nó. Đức Giê-hô-va đoái xem A-bên và nhận lễ vật của người;
But in Cain and his offering he had no pleasure. And Cain was angry and his face became sad.|nhưng chẳng đoái đến Ca-in và cũng chẳng nhận lễ vật của người; cho nên Ca-in giận lắm mà gằm nét mặt.
And the Lord said to Cain, Why are you angry? and why is your face sad?|Đức Giê-hô-va phán hỏi Ca-in rằng: Cớ sao ngươi giận, và cớ sao nét mặt ngươi gằm xuống?
If you do well, will you not have honour? and if you do wrong, sin is waiting at the door, desiring to have you, but do not let it be your master.|Nếu ngươi làm lành, há chẳng ngước mặt lên sao? Còn như chẳng làm lành, thì tội lỗi rình đợi trước cửa, thèm ngươi lắm; nhưng ngươi phải quản trị nó.
And Cain said to his brother, Let us go into the field: and when they were in the field, Cain made an attack on his brother Abel and put him to death.|Ca-in thuật lại cùng A-bên là em mình. Vả, khi hai người đương ở ngoài đồng, thì Ca-in xông đến A-bên là em mình, và giết đi.
And the Lord said to Cain, Where is your brother Abel? And he said, I have no idea: am I my brother's keeper?|Đức Giê-hô-va hỏi Ca-in rằng: A-bên, em ngươi, ở đâu? Thưa rằng: Tôi không biết; tôi là người giữ em tôi sao?
And he said, What have you done? the voice of your brother's blood is crying to me from the earth.|Đức Giê-hô-va hỏi: Ngươi đã làm điều chi vậy? Tiếng của máu em ngươi từ dưới đất kêu thấu đến ta.
And now you are cursed from the earth, whose mouth is open to take your brother's blood from your hand;|Bây giờ, ngươi sẽ bị đất rủa sả, là đất đã hả miệng chịu hút máu của em ngươi bởi chính tay ngươi làm đổ ra.
No longer will the earth give you her fruit as the reward of your work; you will be a wanderer in flight over the earth.|Khi ngươi trồng tỉa, đất chẳng sanh hoa lợi cho ngươi nữa; ngươi sẽ lưu lạc và trốn tránh, trên mặt đất.
And Cain said, My punishment is greater than my strength.|Ca-in thưa cùng Đức Giê-hô-va rằng: Sự hình phạt tôi nặng quá mang không nổi.
You have sent me out this day from the face of the earth and from before your face; I will be a wanderer in flight over the earth, and whoever sees me will put me to death.|Nầy, ngày nay, Chúa đã đuổi tôi ra khỏi đất nầy, tôi sẽ lánh mặt Chúa, sẽ đi lưu lạc trốn tránh trên đất; rồi, xảy có ai gặp tôi, họ sẽ giết đi.
And the Lord said, Truly, if Cain is put to death, seven lives will be taken for his. And the Lord put a mark on Cain so that no one might put him to death.|Đức Giê-hô-va phán rằng: Bởi cớ ấy, nếu ai giết Ca-in, thì sẽ bị báo thù bảy lần. Đức Giê-hô-va bèn đánh đấu trên mình Ca-in, hầu cho ai gặp Ca-in thì chẳng giết.
And Cain went away from before the face of the Lord, and made his living-place in the land of Nod on the east of Eden.|Ca-in bèn lui ra khỏi mặt Đức Giê-hô-va, và ở tại xứ Nốt, về phía đông của Ê-đen.
And Cain had connection with his wife and she became with child and gave birth to Enoch: and he made a town, and gave the town the name of Enoch after his son.|Đoạn, Ca-in ăn ở cùng vợ mình, nàng thọ thai và sanh được Hê-nóc; Ca-in xây một cái thành đặt tên là Hê-nóc, tùy theo tên con trai mình.
And Enoch had a son Irad: and Irad became the father of Mehujael: and Mehujael became the father of Methushael: and Methushael became the father of Lamech.|Rồi, Hê-nóc sanh Y-rát; Y-rát sanh Nê-hu-đa-ên; Nê-hu-đa-ên sanh Mê-tu-sa-ên; Mê-tu-sa-ên sanh Lê-méc.
And Lamech had two wives; the name of the one was Adah, and the name of the other Zillah.|Lê-méc cưới hai vợ; một người tên là A-đa, một người tên là Si-la.
And Adah gave birth to Jabal: he was the father of such as are living in tents and keep cattle.|A-đa sanh Gia-banh; Gia-banh là tổ phụ của các dân ở trại và nuôi bầy súc vật.
And his brother's name was Jubal: he was the father of all players on instruments of music.|Em người là Giu-banh, tổ phụ của những kẻ đánh đờn và thổi sáo.
And Zillah gave birth to Tubal-cain, who is the father of every maker of cutting instruments of brass and iron: and the sister of Tubal-cain was Naamah.|Còn Si-la cũng sanh Tu-banh-Ca-in là người rèn đủ thứ khí giới bén bằng đồng và bằng sắt. Em gái của Tu-banh-Ca-in là Na -a-ma.
And Lamech said to his wives, Adah and Zillah, give ear to my voice; you wives of Lamech, give attention to my words, for I would put a man to death for a wound, and a young man for a blow;|Lê-méc bèn nói với hai vợ mình rằng: Hỡi A-đa và Si-la! hãy nghe tiếng ta; Nầy, vợ Lê-méc hãy lắng tai nghe lời ta: Ừ! Ta đã giết một người, vì làm thương ta, Và một người trẻ, vì đánh sưng bầm ta.
If seven lives are to be taken as punishment for Cain's death, seventy-seven will be taken for Lamech's.|Nếu Ca-in được bảy lần báo thù, Lê-méc sẽ được bảy mươi bảy lần báo oán.
And Adam had connection with his wife again, and she gave birth to a son to whom she gave the name of Seth: for she said, God has given me another seed in place of Abel, whom Cain put to death.|A-đam còn ăn ở với vợ mình; người sanh được một con trai đặt tên là Sết; vì vợ rằng: Đức Chúa Trời đã cho tôi một con trai khác thế cho A-bên mà đã bị Ca-in giết rồi.
And Seth had a son, and he gave him the name of Enosh: at this time men first made use of the name of the Lord in worship.|Sết cũng sanh được một con trai, đặt tên là Ê-nót. Từ đây, người ta bắt đầu cầu khẩn danh Đức Giê-hô-va.

					Genesis 5				|
						Sáng Thế 5					
This is the book of the generations of Adam. In the day when God made man, he made him in the image of God;|Đây là sách chép dòng dõi của A-đam. Ngày mà Đức Chúa Trời dựng nên loài người, thì người làm nên loài người giống như Đức Chúa Trời;
Male and female he made them, naming them Man, and giving them his blessing on the day when they were made.|Ngài dựng nên người nam cùng người nữ, ban phước cho họ, và trong ngày đã dựng nên, đặt tên là người.
Adam had been living for a hundred and thirty years when he had a son like himself, after his image, and gave him the name of Seth:|Vả, A-đam được một trăm ba mươi tuổi, sanh một con trai giống như hình tượng mình, đặt tên là Sết.
And after the birth of Seth, Adam went on living for eight hundred years, and had sons and daughters:|Sau khi A-đam sanh Sết rồi, còn sống được tám trăm năm, sanh con trai con gái.
And all the years of Adam's life were nine hundred and thirty: and he came to his end.|Vậy, A-đam hưởng thọ được chín trăm ba mươi tuổi, rồi qua đời.
And Seth was a hundred and five years old when he became the father of Enosh:|Sết được một trăm năm tuổi, sanh Ê-nót.
And he went on living after the birth of Enosh for eight hundred and seven years, and had sons and daughters:|Sau khi Sết sanh Ê-nót rồi, còn sống được tám trăm bảy năm, sanh con trai con gái.
And all the years of Seth's life were nine hundred and twelve: and he came to his end.|Vậy, Sết hưởng thọ được chín trăm mười hai tuổi, rồi qua đời.
And Enosh was ninety years old when he became the father of Kenan:|Ê-nót được chín mươi tuổi, sanh Kê-nan.
And after the birth of Kenan, Enosh went on living for eight hundred and fifteen years, and had sons and daughters:|Sau khi sanh Kê-nan rồi, còn sống được tám trăm mười lăm năm, sanh con trai con gái.
And all the years of Enosh were nine hundred and five: and he came to his end.|Vậy, Ê-nót hưởng thọ được chín trăm năm tuổi, rồi qua đời.
And Kenan was seventy years old when he became the father of Mahalalel:|Kê-nan được bảy mươi tuổi, sanh Ma-ha-la-le.
And after the birth of Mahalalel, Kenan went on living for eight hundred and forty years, and had sons and daughters:|Sau khi Kê-nan sanh Ma-ha-la-le rồi, còn sống được tám trăm bốn mươi năm, sanh con trai con gái.
And all the years of Kenan's life were nine hundred and ten; and he came to his end.|Vậy, Kê-nan hưởng thọ được chín trăm mười tuổi, rồi qua đời.
And Mahalalel was sixty-five years old when he became the father of Jared:|Ma-ha-la-le được sáu mươi lăm tuổi, sanh Giê-rệt.
And after the birth of Jared, Mahalalel went on living for eight hundred and thirty years, and had sons and daughters:|Sau khi Ma-ha-la-le sanh Giê-rệt rồi, còn sống được tám trăm ba mươi năm, sanh con trai con gái.
And all the years of Mahalalel's life were eight hundred and ninety-five: and he came to his end.|Vậy, Ma-ha-la-le hưởng thọ được tám trăm chín mươi lăm tuổi, rồi qua đời.
And Jared was a hundred and sixty-two years old when he became the father of Enoch:|Giê-rệt được một trăm sáu mươi hai tuổi, sanh Hê-nóc.
And Jared went on living after the birth of Enoch for eight hundred years, and had sons and daughters:|Sau khi Giê-rệt sanh Hê-nót rồi, còn sống được tám trăm năm, sanh con trai con gái.
And all the years of Jared's life were nine hundred and sixty-two: and he came to his end.|Vậy, Giê-rệt hưởng thọ được chín trăm sáu mươi hai tuổi, rồi qua đời.
And Enoch was sixty-five years old when he became the father of Methuselah:|Hê-nóc được sáu mươi lăm tuổi, sanh Mê-tu-sê-la.
And after the birth of Methuselah, Enoch went on in God's ways for three hundred years, and had sons and daughters:|Sau khi Hê-nóc sanh Mê-tu-sê-la rồi, đồng đi cùng Đức Chúa Trời trong ba trăm năm, sanh con trai con gái.
And all the years of Enoch's life were three hundred and sixty-five:|Vậy Hê-nóc hưởng thọ được ban trăm sáu mươi lăm tuổi.
And Enoch went on in God's ways: and he was not seen again, for God took him.|Hê-nóc đồng đi cùng Đức Chúa Trời, rồi mất biệt, bởi vì Đức Chúa Trời tiếp người đi.
And Methuselah was a hundred and eighty-seven years old when he became the father of Lamech:|Mê-tu-sê-la được một trăm tám mươi bảy tuổi, sanh Lê-méc.
And after the birth of Lamech, Methuselah went on living for seven hundred and eighty-two years, and had sons and daughters:|Sau khi Mê-tu-sê-la sanh Lê-méc rồi, còn sống được bảy trăm tám mươi hai năm, sanh con trai con gái.
And all the years of Methuselah's life were nine hundred and sixty-nine: and he came to his end.|Vậy, Mê-tu-sê-la hưởng thọ được chín trăm sáu mươi chín tuổi, rồi qua đời.
