
					Leviticus 1				|
And let him take it to Aaron's sons, the priests; and having taken in his hand some of the meal and of the oil, with all the perfume, let him give it to the priest to be burned on the altar, as a sign, an offering made by fire, for a sweet smell to the Lord.|Người sẽ đem đến cho các con trai A-rôn, tức những thầy tế lễ; thầy tế lễ sẽ lấy một nắm bột lọc chế dầu và hết thảy nhũ hương, đem xông làm kỷ niệm trên bàn thờ; ấy là một của lễ dùng lửa dâng lên, có mùi thơm cho Đức Giê-hô-va.
And the rest of the meal offering will be for Aaron and his sons; it is most holy among the Lord's fire offerings.|Phần chi trong của lễ chay còn lại sẽ thuộc về A-rôn và các con trai người; ấy là một vật chí thánh trong các của lễ dùng lửa dâng cho Đức Giê-hô-va.
And when you give a meal offering cooked in the oven, let it be of unleavened cakes of the best meal mixed with oil, or thin unleavened cakes covered with oil.|Khi nào ngươi dùng vật chi hấp lò làm của lễ chay, thì phải lấy bột mịn làm bánh nhỏ không men nhồi dầu, và bánh tráng không men thoa dầu.
And if you give a meal offering cooked on a flat plate, let it be of the best meal, unleavened and mixed with oil.|Nếu ngươi dùng vật chiên trong chảo đặng làm của lễ chay, thì phải bằng bột mịn không pha men, nhồi với dầu,
Let it be broken into bits, and put oil on it; it is a meal offering.|bẻ ra từ miếng và chế dầu trên. Ay là của lễ chay.
And if your offering is of meal cooked in fat over the fire, let it be made of the best meal mixed with oil.|Nếu ngươi dùng vật chiên trong chảo lớn đặng làm của lễ chay, thì phải bằng bột mịn với dầu.
And you are to give the meal offering made of these things to the Lord, and let the priest take it to the altar.|Của lễ chay đã sắm sửa như cách nầy, ngươi sẽ đem dâng cho Đức Giê-hô-va, giao cho thầy tế lễ, và ngươi sẽ đem đến bàn thờ.
And he is to take from the meal offering a part, for a sign, burning it on the altar; an offering made by fire for a sweet smell to the Lord.|Thầy tế lễ sẽ lấy ra phần phải dâng làm kỷ niệm, xông trên bàn thờ; ấy là một của lễ dùng lửa dâng lên, có mùi thơm cho Đức Giê-hô-va.
And the rest of the meal offering will be for Aaron and his sons; it is most holy among the Lord's fire offerings.|Phần chi trong của lễ chay còn lại sẽ thuộc về A-rôn và các con trai người; ấy là một vật chí thánh trong các của lễ dùng lửa dâng cho Đức Giê-hô-va.
No meal offering which you give to the Lord is to be made with leaven; no leaven or honey is to be burned as an offering made by fire to the Lord.|Hễ của lễ chay các ngươi dâng cho Đức Giê-hô-va, thì chớ dâng với men; vì các ngươi chớ dùng men hay mật xông với của lễ chi dùng lửa dâng cho Đức Giê-hô-va.
You may give them as an offering of first-fruits to the Lord, but they are not to go up as a sweet smell on the altar.|Các ngươi được dâng những vật đó cho Đức Giê-hô-va như của lễ đầu mùa; nhưng chẳng nên đốt trên bàn thờ như của lễ có mùi thơm.
And every meal offering is to be salted with salt; your meal offering is not to be without the salt of the agreement of your God: with all your offerings give salt.|Phải nêm muối các của lễ chay; chớ nên dâng lên thiếu muối; vì muối là dấu hiệu về sự giao ước của Đức Chúa Trời đã lập cùng ngươi; trên các lễ vật ngươi phải dâng muối.
And if you give a meal offering of first-fruits to the Lord, give, as your offering of first-fruits, new grain, made dry with fire, crushed new grain.|Nếu ngươi dùng hoa quả đầu mùa đặng làm của lễ chay tế Đức Giê-hô-va, thì phải bằng gié lúa rang, hột lúa mới tán ra,
And put oil on it and perfume: it is a meal offering.|đổ dầu vào và thêm nhũ hương. Ay là của lễ chay.
And part of the meal of the offering and part of the oil and all the perfume is to be burned for a sign by the priest: it is an offering made by fire to the Lord.|Đoạn, thầy tế lễ lấy một phần hột tán ra với dầu và hết thảy nhũ hương mà xông làm kỷ niệm. Ay là của lễ dùng lửa dâng cho Đức Giê-hô-va.

					Leviticus 3				|
						Lê-vi 3					
And if his offering is given for a peace-offering; if he gives of the herd, male or female, let him give it without any mark on it, before the Lord.|Phàm khi nào ai dâng của lễ thù ân bằng bò, hoặc đực hoặc cái, thì phải dâng lên trước mặt Đức Giê-hô-va, không tì vít chi.
And he is to put his hand on the head of his offering and put it to death at the door of the Tent of meeting; and Aaron's sons, the priests, are to put some of the blood on and round the altar.|Người sẽ nhận tay mình trên đầu con sinh của mình, rồi giết nó tại cửa hội mạc; các con trai A-rôn, tức những thầy tế lễ, sẽ rảy huyết chung quanh trên bàn thờ.
And he is to give of the peace-offering, as an offering made by fire to the Lord; the fat covering the inside parts and all the fat on the inside parts,|Do của lễ thù ân nầy, người sẽ dâng làm của lễ dùng lửa dâng cho Đức Giê-hô-va, mỡ chài và mỡ bộ lòng;
And the two kidneys, and the fat on them, which is by the top part of the legs, and the fat joining the liver and the kidneys, he is to take away;|hai trái cật, mỡ trên hai trái cật nơi cạnh hông, và tấm da mỏng bọc gan, gỡ gần nơi hai trái cật.
That it may be burned by Aaron's sons on the altar, on the burned offering which is on the wood on the fire: it is an offering made by fire of a sweet smell to the Lord.|Các con trai A-rôn sẽ xông mấy món đó nơi bàn thờ trên của lễ thiêu đã chất trên củi chụm lửa rồi; ấy là một của lễ dùng lửa dâng lên, có mùi thơm cho Đức Giê-hô-va.
And if what he gives for a peace-offering to the Lord is of the flock, let him give a male or female, without any mark on it.|Nếu người dâng cho Đức Giê-hô-va của lễ thù ân bằng chiên, hoặc đực hoặc cái, thì phải dâng lên không tì vít chi.
If his offering is a lamb, then let it be placed before the Lord:|Vì của lễ bằng chiên con thì phải dâng nó lên trước mặt Đức Giê-hô-va,
And he is to put his hand on the head of his offering and put it to death before the Tent of meeting; and Aaron's sons are to put some of its blood on and round the altar.|nhận tay mình trên đầu con sinh, rồi giết nó trước cửa hội mạc; các con trai A-rôn sẽ rảy huyết chung quanh trên bàn thờ.
And of the peace-offering, let him give an offering made by fire to the Lord; the fat of it, all the fat tail, he is to take away near the backbone; and the fat covering the inside parts and all the fat on the inside parts,|Do của lễ thù ân nầy, người phải dâng làm của lễ dùng lửa dâng cho Đức Giê-hô-va, mỡ và cái đuôi nguyên, chặt gần cuối xương sống, mỡ chài và mỡ bộ lòng;
And the two kidneys, with the fat on them, which is by the top part of the legs, and the fat joining the liver and the kidneys, he is to take away;|hai trái cật, mỡ trên hai trái cật nơi cạnh hông, và tấm da mỏng bọc gan, gỡ gần nơi hai trái cật.
That it may be burned by the priest on the altar; it is the food of the offering made by fire to the Lord.|Thầy tế lễ sẽ xông các món đó trên bàn thờ; ấy là thực vật về của lễ dùng lửa dâng cho Đức Giê-hô-va.
And if his offering is a goat, then let it be placed before the Lord,|Nếu của lễ người bằng con dê cái, thì phải dâng lên trước mặt Đức Giê-hô-va,
And let him put his hand on the head of it and put it to death before the Tent of meeting; and the sons of Aaron are to put some of its blood on and round the altar.|nhận tay mình trên đầu con sinh, rồi giết nó trước hội mạc; các con trai A-rôn sẽ rảy huyết chung quanh trên bàn thờ.
And of it let him make his offering, an offering made by fire to the Lord; the fat covering the inside parts and all the fat on the inside parts,|Do của lễ thù ân nầy, người phải dâng làm của lễ dùng lửa dâng cho Đức Giê-hô-va, mỡ chài và mỡ bộ lòng,
And the two kidneys, with the fat on them, which is by the top part of the legs, and the fat joining the liver and the kidneys, let him take away;|hai trái cật, mỡ trên hai trái cật nơi cạnh hông và tấm da mỏng bọc gan, gỡ gần nơi hai trái cật.
That it may be burned by the priest on the altar; it is the food of the offering made by fire for a sweet smell: all the fat is the Lord's.|Thầy tế lễ sẽ xông các món đó trên bàn thờ; ấy là thực vật về của lễ dùng lửa dâng lên có mùi thơm. Hết thảy mỡ đều thuộc về Đức Giê-hô-va.
Let it be an order for ever, through all your generations, in all your houses, that you are not to take fat or blood for food.|Ay đó là luật lệ đời đời cho dòng dõi các ngươi, mặc dầu ở nơi nào: ngươi chẳng nên ăn mỡ hay là huyết.

					Leviticus 4				|
						Lê-vi 4					
And the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
Say to the children of Israel: These are the offerings of anyone who does wrong through error, doing any of the things which by the Lord's order are not to be done:|Hãy nói cùng dân Y-sơ-ra-ên rằng: Khi nào ai lầm lỡ mà phạm một trong các điều răn của Đức Giê-hô-va, và làm điều chẳng nên làm;
If the chief priest by doing wrong becomes a cause of sin to the people, then let him give to the Lord for the sin which he has done, an ox, without any mark, for a sin-offering.|nếu là thầy tế lễ chịu xức dầu rồi mà phạm tội, và vì cớ đó gây cho dân sự phải mắc tội, thì vì tội mình đã phạm, người phải dâng cho Đức Giê-hô-va một con bò tơ không tì vít chi, đặng làm của lễ chuộc tội.
And he is to take the ox to the door of the Tent of meeting before the Lord; and put his hand on its head and put it to death before the Lord.|Người sẽ dẫn bò tơ đó đến cửa hội mạc trước mặt Đức Giê-hô-va, nhận tay mình trên đầu nó, rồi giết nó trước mặt Đức Giê-hô-va.
And the chief priest is to take some of its blood and take it to the Tent of meeting;|Thầy tế lễ chịu xức dầu rồi sẽ lấy huyết bò tơ đem vào trong hội mạc,
And the priest is to put his finger in the blood, shaking drops of it before the Lord seven times, in front of the veil of the holy place.|nhúng ngón tay mình trong huyết, rảy bảy lần trước mặt Đức Giê-hô-va, đối ngang bức màn nơi đền thánh.
And the priest is to put some of the blood on the horns of the altar on which perfume is burned before the Lord in the Tent of meeting, draining out all the rest of the blood of the ox at the base of the altar of burned offering which is at the door of the Tent of meeting.|Đoạn, thầy tế lễ sẽ bôi huyết trên các sừng của bàn thờ xông hương ở trong hội mạc, trước mặt Đức Giê-hô-va, và đổ hết thảy huyết bò tơ nơi chân bàn thờ về của lễ thiêu, để trước cửa hội mạc.
And he is to take away all the fat of the ox of the sin-offering; the fat covering the inside parts and all the fat of the inside parts,|Người phải gỡ những mỡ của con bò dùng làm của lễ chuộc tội, tức là mỡ chài và mỡ bộ lòng,
And the two kidneys, with the fat on them, which is by the top part of the legs, and the fat joining the liver and the kidneys, he is to take away,|hai trái cật, mỡ trên hai trái cật nơi cạnh hông, tấm da mỏng bọc gan, gỡ gần nơi hai trái cật,
As it is taken from the ox of the peace-offering; and it is to be burned by the priest on the altar of burned offerings.|như gỡ các phần nầy của bò tơ dùng làm của lễ thù ân; rồi thầy tế lễ sẽ xông các món đó trên bàn thờ về của lễ thiêu.
And the skin of the ox and all its flesh, with its head and its legs and its inside parts and its waste,|Còn da, hết thảy thịt, đầu, giò, bộ lòng và phẩn,
All the ox, he is to take away outside the circle of the tents into a clean place where the burned waste is put, and there it is to be burned on wood with fire.|tức con bò tơ nguyên, người phải đem ra khỏi trại quân đến một nơi tinh sạch, là chỗ họ đổ tro, rồi chất trên củi nơi lửa và thiêu nó đi: tức là thiêu nó tại chỗ đổ tro vậy.
And if all the people of Israel do wrong, without anyone's knowledge; if they have done any of the things which by the Lord's order are not to be done, causing sin to come on them;|Nếu cả hội chúng Y-sơ-ra-ên vì lầm lỡ phạm một trong các điều răn của Đức Giê-hô-va, và làm điều không nên làm, mà vốn không tự biết, và vì cớ đó phải mắc tội;
When the sin which they have done comes to light, then let all the people give an ox for a sin-offering, and take it before the Tent of meeting.|nếu tội phạm ấy vừa mới lộ ra, thì hội chúng phải dâng một con bò tơ đặng làm của lễ chuộc tội, dẫn nó đến trước hội mạc.
And let the chiefs of the people put their hands on its head before the Lord, and put the ox to death before the Lord.|Các hội trưởng phải nhận tay mình trên đầu bò tơ, rồi giết nó trước mặt Đức Giê-hô-va;
And the priest is to take some of its blood to the Tent of meeting;|thầy tế lễ chịu xức dầu rồi sẽ đem huyết con bò tơ vào hội mạc,
And put his finger in the blood, shaking drops of the blood seven times before the Lord in front of the veil.|nhúng ngón tay mình trong huyết, rảy bảy lần trước mặt Đức Giê-hô-va, đối ngang bức màn.
And he is to put some of the blood on the horns of the altar which is before the Lord in the Tent of meeting; and all the rest of the blood is to be drained out at the base of the altar of burned offering at the door of the Tent of meeting.|Đoạn, người sẽ bôi huyết trên các sừng của bàn thờ trong hội mạc trước mặt Đức Giê-hô-va, rồi đổ huyết hết dưới chân bàn thờ về của lễ thiêu, để trước cửa hội mạc.
And he is to take off all its fat, burning it on the altar.|Người cũng gỡ hết thảy mỡ đem xông trên bàn thờ.
Let him do with the ox as he did with the ox of the sin-offering; and the priest will take away their sin and they will have forgiveness.|Cách dâng con bò tơ nầy cũng như cách dâng con bò dùng làm lễ chuộc tội: ấy vậy, thầy tế lễ sẽ chuộc tội cho hội chúng và tội hội chúng sẽ được tha.
Then let the ox be taken away outside the tent-circle, that it may be burned as the other ox was burned; it is the sin-offering for all the people.|Đoạn, người phải đem con bò tơ đó ra ngoài trại quân, thiêu đi như đã thiêu con bò tơ trước: ấy là của lễ chuộc tội cho hội chúng.
If a ruler does wrong, and in error does any of the things which, by the order of the Lord his God, are not to be done, causing sin to come on him;|Ví bằng một quan trưởng nào, vì lẫm lỡ phạm một trong các điều răn của Đức Giê-hô-va, là Đức Chúa Trời mình, mà làm điều không nên làm, và vì cớ đó mắc tội;
When the sin which he has done is made clear to him, let him give for his offering a goat, a male without any mark.|khi nào người ta tỏ ra cho quan trưởng đó biết tội mình đã phạm, thì người phải dẫn đến làm của lễ mình, một con dê đực không tì vít chi,
And he is to put his hand on the head of the goat and put it to death in the place where they put to death the burned offering before the Lord: it is a sin-offering.|nhận tay mình trên đầu dê đực đó, rồi giết nó trước mặt Đức Giê-hô-va tại nơi giết các con sinh dùng làm của lễ thiêu: ấy là của lễ chuộc tội.
And the priest is to take some of the blood of the offering with his finger and put it on the horns of the altar of burned offering, draining out the rest of the blood at the base of the altar of burned offering.|Thầy tế lễ sẽ nhúng ngón tay mình trong huyết của con sinh tế chuộc tội, bôi trên các sừng bàn thờ về của lễ thiêu, và đổ huyết dưới chân bàn thờ;
And all the fat of it is to be burned on the altar like the fat of the peace-offering; and the priest will take away his sin and he will have forgiveness.|đoạn xông hết mỡ trên bàn thờ như cách xông mỡ về của lễ thù ân. Ay vậy, thầy tế lễ sẽ chuộc tội cho người, và tội người sẽ được tha.
And if any one of the common people does wrong in error, doing any of the things which the Lord has given orders are not to be done, causing sin to come on him;|Nếu một người nào trong dân chúng, vì lẫm lỡ phạm một trong các điều răn của Đức Giê-hô-va mà làm điều không nên làm, và vì cớ đó phải mắc tội;
When the sin which he has done is made clear to him, then he is to give for his offering a goat, a female without any mark, for the sin which he has done.|khi nào người ta tỏ cho người đó biết tội mình đã phạm, thì người phải vì cớ tội mình dẫn đến một con dê cái không tì vít chi, dùng làm của lễ,
And he is to put his hand on the head of the sin-offering and put it to death in the place where they put to death the burned offering.|nhận tay mình trên đầu con sinh tế chuộc tội, rồi giết nó trong nơi giết con sinh dùng làm của lễ thiêu.
And the priest is to take some of the blood with his finger, and put it on the horns of the altar of burned offering, and all the rest of its blood is to be drained out at the base of the altar.|Thầy tế lễ sẽ nhúng ngón tay mình trong huyết, bôi trên các sừng bàn thờ về của lễ thiêu, và đổ hết huyết dưới chân bàn thờ;
And let all its fat be taken away, as the fat is taken away from the peace-offerings, and let it be burned on the altar by the priest for a sweet smell to the Lord; and the priest will take away his sin and he will have forgiveness.|rồi, gỡ hết mỡ như cách gỡ mỡ về của lễ thù ân, đem xông trên bàn thờ, làm của lễ có mùi thơm dâng cho Đức Giê-hô-va. Ay vậy, thầy tế lễ sẽ chuộc tội cho người đó, thì tội người sẽ được tha.
And if he gives a lamb as his sin-offering, let it be a female without any mark;|Nếu của lễ chuộc tội người bằng chiên con, thì phải dâng một con cái chẳng tì vít chi,
And he is to put his hand on the head of the offering and put it to death for a sin-offering in the place where they put to death the burned offering.|nhận tay mình trên đầu con sinh tế chuộc tội, rồi giết nó tại nơi giết con sinh dùng làm của lễ thiêu.
And the priest is to take some of the blood of the offering with his finger and put it on the horns of the altar of burned offering, and all the rest of the blood is to be drained out at the base of the altar;|Đoạn, thầy tế lễ sẽ nhúng ngón tay mình trong huyết, bôi trên các sừng bàn thờ về của lễ thiêu, và đổ hết huyết dưới chân bàn thờ;
And let him take away all its fat, as the fat is taken away from the lamb of the peace-offerings; and let it be burned by the priest on the altar among the offerings made by fire to the Lord: and the priest will take away his sin and he will have forgiveness.|gỡ hết mỡ như cách gỡ mỡ của chiên con dùng làm của lễ thù ân, đem xông trên bàn thờ như các của lễ dùng lửa dâng cho Đức Giê-hô-va. Ay vậy, thầy tế lễ sẽ chuộc tội cho người đó, thì tội người sẽ được tha.

					Leviticus 5				|
						Lê-vi 5					
And if anyone does wrong by saying nothing when he is put under oath as a witness of something he has seen or had knowledge of, then he will be responsible:|Khi người nào làm chứng bị bắt thề rồi, và phạm tội vì không tỏ ra điều mình đã thấy hay là đã biết, thì người đó sẽ mang tội mình.
If anyone becomes unclean through touching unconsciously some unclean thing, such as the dead body of an unclean beast or of unclean cattle or of any unclean animal which goes flat on the earth, he will be responsible:|Khi ai sẽ đụng đến một vật ô uế, hoặc thây của con thú nhà không tinh sạch, hoặc thây của con thú rừng không tinh sạch, hoặc thây của loài côn trùng nào không tinh sạch, mà không tự biết, thì sẽ bị ô uế và mắc tội.
Or if he becomes unclean through touching unconsciously any unclean thing of man, whatever it may be, when it is made clear to him he will be responsible:|Khi ai, hoặc tự biết hay không biết, sẽ đụng đến sự ô uế nào của loài người, không cứ bị ô uế cách nào, thì cũng sẽ mắc tội.
Or if anyone, without thought, takes an oath to do evil or to do good, whatever he says without thought, with an oath, having no knowledge of what he is doing; when it becomes clear to him, he will be responsible for any of these things.|Khi ai nói sơ ý thề thốt làm ác hay là làm thiện, mặc dầu cách nào, trước không ngờ đến, rồi sau lại tự biết, thì ai đó sẽ mắc tội trong điều nầy hay là điều kia.
And whoever is responsible for any such sin, let him make a statement openly of his wrongdoing;|Vậy, khi nào ai mắc tội về một trong các điều nầy, thì phải xưng mình phạm tội chi,
And take to the Lord the offering for the wrong which he has done, a female from the flock, a lamb or a goat, for a sin-offering, and the priest will take away his sin.|rồi vì tội mình đã phạm, dẫn đến Đức Giê-hô-va một con cái trong bầy súc vật nhỏ, hoặc chiên cái hay là dê cái, đặng làm của lễ chuộc tội; thì thầy tế lễ sẽ làm lễ chuộc tội cho người.
And if he has not money enough for a lamb, then let him give, for his offering to the Lord, two doves or two young pigeons; one for a sin-offering and one for a burned offering.|Nếu không phương thế lo cho có một chiên cái hay là một dê cái được, thì phải vì tội mình đã phạm, đem đến cho Đức Giê-hô-va một cặp cu hay là cặp bồ câu con: một con dùng làm của lễ chuộc tội, một con dùng làm của lễ thiêu.
And let him take them to the priest, who will first give the sin-offering, twisting off its head from its neck, but not cutting it in two;|Người sẽ đem cặp đó đến cho thầy tế lễ; thầy tế lễ sẽ dâng trước con dùng làm của lễ chuộc tội, vặn rứt đầu gần nơi gáy cổ không gãy lìa ra;
And he is to put drops of the blood of the offering on the side of the altar, and the rest of the blood is to be drained out at the base of the altar; it is a sin-offering.|đoạn rảy huyết của con sinh tế chuộc tội trên một phía của bàn thờ; huyết còn dư lại thì vắt dưới chân bàn thờ; ấy là một của lễ chuộc tội.
And the second is for a burned offering, in agreement with the law; and the priest will take away his sin and he will have forgiveness.|Còn chim kia, người phải tùy theo lệ đã định, dùng làm một của lễ thiêu. Ay vậy, thầy tế lễ sẽ vì người đó làm lễ chuộc tội người đã phạm, thì tội người sẽ được tha.
But if he has not enough money for two doves or two young pigeons, then let him give, for the sin he has done, the tenth part of an ephah of the best meal, for a sin-offering; let him put no oil on it, and no perfume, for it is a sin-offering.|Nếu không phương thế lo cho có một cặp cu hay là cặp bồ câu con được, thì người vì tội mình đã phạm, phải đem một phần mười ê-pha bột lọc làm của lễ chuộc tội, không nên đổ dầu trên và cũng không nên thêm nhũ hương, vì là một của lễ chuộc tội.
And let him come to the priest with it, and the priest will take some of it in his hand, to be burned on the altar as a sign, among the offerings of the Lord made by fire: it is a sin-offering.|Người sẽ đem bột đó đến thầy tế lễ; thầy tế lễ sẽ bốc một nắm làm kỷ niệm. và xông trên bàn thờ như cách xông của lễ dùng lửa dâng cho Đức Giê-hô-va: ấy là một của lễ chuộc tội.
And the priest will take away his sin and he will have forgiveness: and the rest of the offering will be the priest's, in the same way as the meal offering.|Ay vậy, thầy tế lễ sẽ vì người đó làm lễ chuộc tội người đã phạm về một trong mấy điều nầy, thì tội người sẽ được tha; bột còn dư lại sẽ thuộc về thầy tế lễ như trong cuộc của lễ chay vậy.
And the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
If anyone is untrue, sinning in error in connection with the holy things of the Lord, let him take his offering to the Lord, a male sheep from the flock, without any mark, of the value fixed by you in silver by shekels, by the scale of the holy place.|Khi nào ai ở bất trung, lầm lỡ phạm đến vật thánh của Đức Giê-hô-va, thì ai đó vì sự mắc lỗi mình, phải dẫn đến Đức Giê-hô-va một con chiên đực không tì vít chi bắt ở trong bầy, đánh giá bằng siếc-lơ bạc, tùy theo siếc-lơ của đền thánh: ấy sẽ là một của lễ chuộc sự mắc lỗi.
And he is to make payment to the priest for what he has done wrong in relation to the holy thing, together with a fifth part of its value in addition; and the priest will take away his sin by the sheep of his offering, and he will have forgiveness.|Người đó phải bồi thường và phụ thêm một phần năm giá trị của vật mình đã phạm đến nơi đền thánh, rồi giao vật đó cho thầy tế lễ. Thầy tế lễ sẽ dùng chiên con đực về của lễ chuộc sự mắc lỗi mà làm lễ chuộc tội cho người ấy, và tội người sẽ được tha.
And if anyone does wrong, and does any of the things which the Lord has given orders are not to be done, though he has no knowledge of it, still he is in the wrong and he is responsible.|Khi nào ai phạm một trong các điều răn của Đức Giê-hô-va mà không tự biết, và làm điều không nên làm, thì ai dó sẽ mắc lỗi và mang lấy tội mình.
Let him come to the priest with a sheep, a male without any mark out of the flock, of the value fixed by you, as an offering for his error; and the priest will take away the sin which he did in error, and he will have forgiveness.|Người vì sự lỗi mình phải dẫn đến thầy tế lễ một con chiên đực, không tì vít chi bắt trong bầy, tùy theo ý ngươi đánh giá; rồi thầy tế lễ sẽ làm lễ chuộc lỗi cho người đã lầm lỡ phạm tội và không tự biết, thì lỗi người sẽ được tha.
It is an offering for his error: he is certainly responsible before the Lord.|Ay là của lễ chuộc sự mắc lỗi: người hẳn phải mắc lỗi cùng Đức Giê-hô-va vậy.

					Leviticus 6				|
						Lê-vi 6					
And the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
If anyone does wrong, and is untrue to the Lord, acting falsely to his neighbour in connection with something put in his care, or something given for a debt, or has taken away anything by force, or has been cruel to his neighbour,|Khi nào ai mắc tội phạm đến Đức Giê-hô-va, hoặc nói dối cùng người lân cận mình về đồ vật gởi hay là tin mà giao cho, hoặc về một tài vật trộm cắp, hoặc giựt lấy của người lân cận mình;
Or has taken a false oath about the loss of something which he has come across by chance; if a man has done any of these evil things,|hoặc nếu xí được một của mất mà nói dối về của đó, hoặc thề dối về một trong các việc người ta phạm tội được;
Causing sin to come on him, then he will have to give back the thing he took by force or got by cruel acts, or the goods which were put in his care or the thing he came on by chance,|khi nào đã phạm và mắc lỗi như vậy, thì phải trả lại vật mình đã ăn cắp, hoặc vật đã giựt lấy, hoặc vật đã tin gởi cho, hoặc vật làm mất xí được,
Or anything about which he took a false oath; he will have to give it all back, with the addition of a fifth of its value, to him whose property it is, when he has been judged to be in the wrong.|hoặc về các món người đã thề dối: người phải thường nguyên lại và phụ thêm một phần năm giá trị mà giao cho chủ vật đó ngày nào mình dâng của lễ chuộc sự mắc lỗi.
