
					Exodus 1				|
And I have said, I will take you up out of the sorrows of Egypt into the land of the Canaanite and the Hittite and the Amorite and the Perizzite and the Hivite and the Jebusite, into a land flowing with milk and honey.|nên ta đã phán rằng: Ta sẽ rút các ngươi ra khỏi cảnh khổ tại xứ Ê-díp-tô, đặng đem lên xứ của dân Ca-na-an, dân Hê-tít, dân A-mô-rít, dân Phê-rê-sít, dân Hê-vít, và dân Giê-bu-sít, tức là một xứ đượm sữa và mật.
And they will give ear to your voice: and you, with the chiefs of Israel, will go to Pharaoh, the king of Egypt, and say to him, The Lord, the God of the Hebrews, has come to us: let us then go three days' journey into the waste land to make an offering to the Lord our God.|Dân sự sẽ vâng theo lời ngươi; vậy, ngươi và các trưởng lão Y-sơ-ra-ên hãy đi yết-kiến vua xứ Ê-díp-tô mà tâu rằng: Giê-hô-va, Đức Chúa Trời của dân Hê-bơ-rơ, đã hiện ra cùng chúng tôi. Vây bây giờ, xin để cho chúng tôi đi đến nơi đồng vắng, cách chừng ba ngày đường đặng dâng của lễ cho Giê-hô-va Đức Chúa Trời chúng tôi.
And I am certain that the king of Egypt will not let you go without being forced.|Vả, ta biết rằng dẫu lấy quyền lực ép buộc vua Ê-díp-tô, thì người cũng chẳng bao giờ cho các ngươi đi!
But I will put out my hand and overcome Egypt with all the wonders which I will do among them: and after that he will let you go.|Nhưng ta sẽ giơ tay ra hành xứ Ê-díp-tô bằng các phép lạ ta làm giữa xứ đó, sau rồi họ sẽ cho các ngươi đi.
And I will give this people grace in the eyes of the Egyptians, so that when you go out you will go out with your hands full.|Ta sẽ làm cho dân nầy được ơn trước mắt người Ê-díp-tô; vậy, khi nào các ngươi ra đi, thì sẽ chẳng ra đi tay không;
For every woman will get from her neighbour and from the woman living in her house, ornaments of silver and gold, and clothing; and you will put them on your sons and your daughters; you will take the best of their goods from the Egyptians.|nhưng mỗi người đàn bà sẽ hỏi xin người nữ lân cận, cùng kẻ ở tạm nhà mình những đồ bằng vàng, bằng bạc và quần áo, mặc lấy cho con trai con gái mình. Các ngươi sẽ lột trần dân Ê-díp-tô là như vậy.

					Exodus 4				|
						Xuất Hành 4					
And Moses, answering, said, It is certain that they will not have faith in me or give ear to my voice; for they will say, You have not seen the Lord.|Môi-se thưa rằng: Nhưng dân đó sẽ chẳng tin và chẳng vâng lời tôi, vì sẽ nói rằng: Đức Giê-hô-va chẳng có hiện ra cùng ngươi đâu.
And the Lord said to him, What is that in your hand? And he said, A rod.|Đức Giê-hô-va phán rằng: Trong tay ngươi cầm vật chi? Thưa rằng: Một cây gậy.
And he said, Put it down on the earth. And he put it down on the earth and it became a snake; and Moses went running from it.|Phán rằng: Hãy ném xuống đất đi. Người bèn ném xuống đất, gậy hóa ra một con rắn; Môi-se chạy trốn nó.
And the Lord said to Moses, Put out your hand and take it by the tail: (and he put out his hand and took a grip of it and it became a rod in his hand:)|Đức Giê-hô-va bèn phán cùng Môi-se rằng: Hãy giơ tay ngươi ra nắm đuôi nó. Người giơ tay ra nắm, thì nó hườn lại cây gậy trong tay.
So that they may be certain that the Lord, the God of their fathers, the God of Abraham, of Isaac, and of Jacob, has been seen by you.|Đức Giê-hô-va phán rằng: Ay để cho chúng nó tin rằng Giê-hô-va, Đức Chúa Trời của tổ phụ mình, là Đức Chúa Trời của Ap-ra-ham, Đức Chúa Trời của Y-sác, Đức Chúa Trời của Gia-cốp, đã hiện ra cùng ngươi.
Then the Lord said to him again, Put your hand inside your clothing. And he put his hand inside his robe: and when he took it out it was like the hand of a leper, as white as snow.|Đức Giê-hô-va lại phán rằng: Hãy đặt tay ngươi vào lòng. Người liền đặt vào, rồi lấy ra. Nầy, tay người nổi phung trắng như tuyết.
And he said, Put your hand inside your robe again. (And he put his hand into his robe again, and when he took it out he saw that it had become like his other flesh.)|Đoạn, Ngài phán rằng: Hãy đặt tay ngươi vào lòng lại; người bèn đặt vào, rồi lấy ra. Kìa, tay trở lại như thịt mình.
And if they do not have faith in you or give ear to the voice of the first sign, they will have faith in the second sign.|Lại phán: Nếu khi nào dân đó chẳng tin ngươi và chẳng vâng theo tiếng của dấu thứ nhất, thì sẽ tin theo tiếng của dấu thứ nhì.
And if they have no faith even in these two signs and will not give ear to your voice, then you are to take the water of the Nile and put it on the dry land: and the water you take out of the river will become blood on the dry land.|Vả lại, nếu dân chẳng tin cả hai dấu nầy, và không vâng theo lời ngươi, thì hãy lấy nước dưới sông mà làm tràn ngập trên mặt đất; nước mà ngươi đã lấy dưới sông lên đó, sẽ thành máu trên mặt đất vậy.
And Moses said to the Lord, O Lord, I am not a man of words; I have never been so, and am not now, even after what you have said to your servant: for talking is hard for me, and I am slow of tongue.|Môi-se thưa cùng Đức Giê-hô-va rằng: Oi! lạy Chúa, từ hôm qua, hôm kia, hay là từ lúc Chúa phán dạy kẻ tôi tớ Chúa, tôi vẫn chẳng phải một tay nói giỏi, vì miệng và lưỡi tôi hay ngập ngừng.
And the Lord said to him, Who has made man's mouth? who takes away a man's voice or hearing, or makes him seeing or blind? Is it not I, the Lord?|Đức Giê-hô-va bèn phán rằng: Ai tạo miệng loài người ra? hay là ai đã làm câm, làm điếc, làm sáng, làm mờ? Có phải ta là Đức Giê-hô-va chăng?
So go now, and I will be with your mouth, teaching you what to say.|Vậy bây giờ, hãy đi; ta sẽ ở cùng miệng ngươi và dạy ngươi những lời phải nói.
And he said, O Lord, send, if you will, by the hand of anyone whom it seems good to you to send.|Môi-se thưa rằng: Oi! lạy Chúa, Chúa muốn sai ai đi, thì sai.
And the Lord was angry with Moses, and said, Is there not Aaron, your brother, the Levite? To my knowledge he is good at talking. And now he is coming out to you: and when he sees you he will be glad in his heart.|Đức Giê-hô-va bèn nổi giận cùng Môi-se mà phán rằng: Có phải A-rôn, người Lê-vi, là anh ngươi chăng? Ta biết người đó có tài nói giỏi, và kìa, người đang đi đến đón ngươi kìa; khi thấy ngươi, chắc sẽ vui mừng trong lòng.
Let him give ear to your voice, and you will put my words in his mouth; and I will be with your mouth and with his, teaching you what you have to do.|Vậy ngươi hãy nói cùng người, và sắp để những lời trong miệng người. Khi hai ngươi nói, ta sẽ ở cùng miệng ngươi và miệng anh ngươi, dạy các ngươi những điều gì phải làm.
And he will do the talking for you to the people: he will be to you as a mouth and you will be to him as God.|Ay là người đó sẽ nói cùng dân sự thế cho ngươi, dùng làm miệng ngươi, còn ngươi sẽ dường như Đức Chúa Trời cho người vậy.
And take in your hand this rod with which you will do the signs.|Ngươi hãy cầm lấy gậy nầy nơi tay, để dùng làm các dấu lạ.
And Moses went back to Jethro, his father-in-law, and said to him, Let me go back now to my relations in Egypt and see if they are still living. And Jethro said to Moses, Go in peace.|Môi-se bèn đi, trở về Giê-trô, ông gia mình, mà thưa rằng: Xin cha hãy cho tôi trở về nơi anh em tôi tại xứ Ê-díp-tô, đặng thăm thử họ còn sống chăng. Giê-trô bèn nói cùng Môi-se rằng: Con hãy đi bình yên.
And the Lord said to Moses in Midian, Go back to Egypt, for all the men are dead who were attempting to take your life.|Vả, Đức Giê-hô-va có phán cùng Môi-se tại Ma-đi-an rằng: Hãy trở về xứ Ê-díp-tô, vì mấy người tìm giết ngươi đã chết hết rồi.
And Moses took his wife and his sons and put them on an ass and went back to the land of Egypt: and he took the rod of God in his hand.|Môi-se bèn đỡ vợ và con mình lên lưng lừa, trở về xứ Ê-díp-tô. Người cũng cầm cây gậy của Đức Chúa Trời theo trong tay.
And the Lord said to Moses, When you go back to Egypt, see that you do before Pharaoh all the wonders which I have given you power to do: but I will make his heart hard and he will not let the people go.|Đức Giê-hô-va phán cùng Môi-se rằng: Khi trở về xứ Ê-díp-tô, hãy cẩn thận về các dấu lạ của ta đã giao nơi tay ngươi mà làm trước mặt Pha-ra-ôn; nhưng ta sẽ khiến người cứng lòng chẳng cho dân sự đi.
And you are to say to Pharaoh, The Lord says, Israel is the first of my sons:|Vậy, ngươi phải tâu cùng Pha-ra-ôn rằng: Đức Giê-hô-va có phán như vầy: Y-sơ-ra-ên là con ta, tức trưởng nam ta,
And I said to you, Let my son go, so that he may give me worship; and you did not let him go: so now I will put the first of your sons to death.|nên ta có phán cùng ngươi rằng: Hãy cho con ta đi, để nó phụng sự ta, mà ngươi đã từ chối không cho nó đi. Nầy, ta sẽ giết con trai ngươi, là con trưởng nam của ngươi.
Now on the journey, at the night's resting-place, the Lord came in his way and would have put him to death.|Vả, đang khi đi đường, Đức Giê-hô-va hiện ra trước mặt Môi-se nơi nhà quán, và kiếm thế giết người đi.
Then Zipporah took a sharp stone, and cutting off the skin of her son's private parts, and touching his feet with it, she said, Truly you are a husband of blood to me.|Sê-phô-ra lấy con dao bằng đá, cắt dương bì của con mình, và quăng dưới chân Môi-se, mà nói rằng: Thật, chàng là huyết lang cho tôi!
So he let him go. Then she said, You are a husband of blood because of the circumcision.|Đức Giê-hô-va tha chồng; nàng bèn nói rằng: Huyết lang! là vì cớ phép cắt bì.
And the Lord said to Aaron, Go into the waste land and you will see Moses. So he went and came across Moses at the mountain of God, and gave him a kiss.|Đức Giê-hô-va phán cùng A-rôn rằng: Hãy đi đến đồng vắng, đón rước Môi-se. A-rôn bèn đi, gặp Môi-se tại núi của Đức Chúa Trời, và hôn người.
And Moses gave Aaron an account of all the words of the Lord which he had sent him to say, and of all the signs which he had given him orders to do.|Môi-se thuật lại cho A-rôn mọi lời của Đức Giê-hô-va sai mình truyền, và các dấu lạ mà Ngài đã dạy mình làm.
Then Moses and Aaron went and got together all the chiefs of the children of Israel:|Vậy, Môi-se đi cùng A-rôn, nhóm lại các trưởng lão dân Y-sơ-ra-ên.
And Aaron said to them all the words the Lord had said to Moses, and did the signs before all the people.|A-rôn bèn thuật hết các lời của Đức Giê-hô-va đã phán cùng Môi-se, và làm những dấu lạ trước mặt dân sự.
And the people had faith in them; and hearing that the Lord had taken up the cause of the children of Israel and had seen their troubles, with bent heads they gave him worship.|Chúng bèn tin, hiểu rằng Đức Giê-hô-va đã thăm viếng dân Y-sơ-ra-ên, và thấy điều cực khổ của mình; chúng bèn cúi đầu và thờ lạy.

					Exodus 5				|
						Xuất Hành 5					
And after that, Moses and Aaron came to Pharaoh, and said, The Lord, the God of Israel, says, Let my people go so that they may keep a feast to me in the waste land.|Kế sau, Môi-se và A-rôn đến tâu cùng Pha-ra-ôn rằng: Giê-hô-va, Đức Chúa Trời của dân Y-sơ-ra-ên có phán như vầy: Hãy cho dân ta đi, đặng nó giữ một lễ cho ta tại đồng vắng.
And Pharaoh said, Who is the Lord, to whose voice I am to give ear and let Israel go? I have no knowledge of the Lord and I will not let Israel go.|Nhưng Pha-ra-ôn đáp rằng: Giê-hô-va là ai mà trẫm phải vâng lời người, để cho dân Y-sơ-ra-ên đi? Trẫm chẳng biết Giê-hô-va nào hết; cũng chẳng cho dân Y-sơ-ra-ên đi nữa.
And they said, The God of the Hebrews has come to us: let us then go three days' journey into the waste land to make an offering to the Lord our God, so that he may not send death on us by disease or the sword.|Môi-se và A-rôn tâu rằng: Đức Chúa Trời của dân Hê-bơ-rơ đã đến cùng chúng tôi; xin hãy cho phép chúng tôi đi vào nơi đồng vắng, cách chừng ba ngày đường, đặng dâng tế lễ cho Giê-hô-va Đức Chúa Trời chúng tôi, kẻo Ngài khiến bịnh dịch hay việc gươm dao hành chúng tôi chăng.
And the king of Egypt said to them, Why do you, Moses and Aaron, take the people away from their work? get back to your work.|Vua xứ Ê-díp-tô phán rằng: Hỡi Môi-se và A-rôn, sao các ngươi xui cho dân chúng bỏ công việc như vậy? Hãy đi làm công việc mình đi!
And Pharaoh said, Truly, the people of the land are increasing in number, and you are keeping them back from their work.|Pha-ra-ôn lại phán rằng: Kìa, dân sự trong xứ bây giờ đông đúc quá, hai người làm cho chúng nó phải nghỉ việc ư!
The same day Pharaoh gave orders to the overseers and those who were responsible for the work, saying,|Trong ngày đó, Pha-ra-ôn truyền lịnh cho các đốc dịch và phái viên rằng:
