
					I Thê-sa-lô-ni-ca 1				|
Vậy, vì lòng rất yêu thương của chúng tôi đối với anh em, nên ước ao ban cho anh em, không những Tin Lành Đức Chúa Trời thôi đâu, song cả đến chính sự sống chúng tôi nữa, bởi anh em đã trở nên thiết nghĩa với chúng tôi là bao.|我 們 既 是 這 樣 愛 你 們 、 不 但 願 意 將 　 神 的 福 音 給 你 們 、 連 自 己 的 性 命 也 願 意 給 你 們 、 因 你 們 是 我 們 所 疼 愛 的 。
Hỡi anh em, anh em còn nhớ công lao, khó nhọc của chúng tôi; ấy là trong khi chúng tôi giảng Tin Lành cho anh em, lại cũng làm việc cả ngày lẫn đêm, để cho khỏi lụy đến một người nào trong anh em hết.|弟 兄 們 、 你 們 記 念 我 們 的 辛 苦 勞 碌 、 晝 夜 作 工 、 傳 　 神 的 福 音 給 你 們 、 免 得 叫 你 們 一 人 受 累 。
Anh em làm chứng, Đức Chúa Trời cũng làm chứng rằng cách ăn ở của chúng tôi đối với anh em có lòng tin, thật là thánh sạch, công bình, không chỗ trách được.|我 們 向 你 們 信 主 的 人 、 是 何 等 聖 潔 、 公 義 、 無 可 指 摘 、 有 你 們 作 見 證 、 也 有 　 神 作 見 證 。
Anh em cũng biết rằng chúng tôi đối đãi với mỗi người trong anh em, như cha đối với con,|你 們 也 曉 得 我 們 怎 樣 勸 勉 你 們 、 安 慰 你 們 、 囑 咐 你 們 各 人 、 好 像 父 親 待 自 己 的 兒 女 一 樣 ．
khuyên lơn, yên ủi, và nài xin anh em ăn ở một cách xứng đáng với Đức Chúa Trời, là Đấng gọi anh em đến nước Ngài và sự vinh hiển Ngài.|要 叫 你 們 行 事 對 得 起 那 召 你 們 進 他 國 得 他 榮 耀 的 　 神 。
Bởi vậy, chúng tôi tạ ơn Đức Chúa Trời không thôi về sự anh em tiếp nhận lời của Đức Chúa Trời mà chúng tôi đã truyền cho, không coi như lời của loài người, bèn coi như lời của Đức Chúa Trời, vì thật là lời Đức Chúa Trời, cũng hành động trong anh em có lòng tin.|為 此 、 我 們 也 不 住 的 感 謝 　 神 、 因 你 們 聽 見 我 們 所 傳 　 神 的 道 、 就 領 受 了 、 不 以 為 是 人 的 道 、 乃 以 為 是 　 神 的 道 ． 這 道 實 在 是 　 神 的 、 並 且 運 行 在 你 們 信 主 的 人 心 中 。
Hỡi anh em, anh em thật đã trở nên người bắt chước các hội thánh của Đức Chúa Trời tại xứ Giu-đê, là các Hội thánh trong Đức Chúa Jêsus Christ: anh em đã chịu khổ bởi người Giu-đa,|弟 兄 們 、 你 們 曾 效 法 猶 太 中 、 在 基 督 耶 穌 裡 　 神 的 各 教 會 ． 因 為 你 們 也 受 了 本 地 人 的 苦 害 、 像 他 們 受 了 猶 太 人 的 苦 害 一 樣 。
là người đã giết Đức Chúa Jêsus và các Đấng tiên tri, đã bắt bớ chúng tôi; làm trái ý Đức Chúa Trời và thù nghịch với mọi người nữa,|這 猶 太 人 殺 了 主 耶 穌 和 先 知 、 又 把 我 們 趕 出 去 ． 他 們 不 得 　 神 的 喜 悅 、 且 與 眾 人 為 敵 ．
ngăn trở chúng tôi giảng dạy dân ngoại cho được cứu, lại hằng đầy dẫy cái lượng tội lỗi mình. Nhưng cơn thịnh nộ của Đức Chúa Trời sau hết đã đến trên họ.|不 許 我 們 傳 道 給 外 邦 人 使 外 邦 人 得 救 、 常 常 充 滿 自 己 的 罪 惡 ． 　 神 的 忿 怒 臨 在 他 們 身 上 已 經 到 了 極 處 。
Hỡi anh em, về phần chúng tôi, đã xa cách anh em ít lâu nay, thân tuy cách nhưng lòng không cách, chúng tôi đã nôn nả biết bao, tìm phương để thỏa lòng ao ước, lại thấy mặt anh em.|弟 兄 們 、 我 們 暫 時 與 你 們 離 別 、 是 面 目 離 別 、 心 裡 卻 不 離 別 、 我 們 極 力 的 想 法 子 、 很 願 意 見 你 們 的 面 ．
Vì vậy, đã hai lần, chúng tôi, nhứt là tôi, Phao-lô, muốn đi đến cùng anh em; nhưng quỉ Sa-tan đã ngăn trở chúng tôi.|所 以 我 們 有 意 到 你 們 那 裡 、 我 保 羅 有 一 兩 次 要 去 、 只 是 撒 但 阻 擋 了 我 們 。
Vì sự trông cậy, vui mừng và mão triều thiên vinh hiển của chúng tôi là gì, há chằng phải là anh em cũng được đứng trước mặt Đức Chúa Jêsus chúng ta trong khi Ngài đến sao?|我 們 的 盼 望 和 喜 樂 、 並 所 誇 的 冠 冕 、 是 甚 麼 呢 ． 豈 不 是 我 們 主 耶 穌 來 的 時 候 你 們 在 他 面 前 站 立 得 住 麼 。
Phải, anh em thật là sự vinh hiển và vui mừng của chúng tôi vậy.|因 為 你 們 就 是 我 們 的 榮 耀 、 我 們 的 喜 樂 。

					I Thê-sa-lô-ni-ca 3				|
						帖撒羅尼迦前書 3					
Vì không thể chờ đợi được nữa, nên chúng tôi thà đành ở lại một mình tại A-thên,|我 們 既 不 能 再 忍 、 就 願 意 獨 自 等 在 雅 典 ．
và sai Ti-mô-thê, là anh em chúng tôi, tôi tớ của Đức Chúa Trời, kẻ giúp việc đạo Tin Lành của Đấng Christ, đến cùng anh em, để khiến anh em được vững vàng và giục lòng anh em trong đức tin,|打 發 我 們 的 兄 弟 在 基 督 福 音 上 作 　 神 執 事 的 提 摩 太 前 去 、 〔 作 　 神 執 事 的 有 古 卷 作 與 　 神 同 工 的 〕 堅 固 你 們 、 並 在 你 們 所 信 的 道 上 勸 慰 你 們 ．
hầu cho không một người nào trong anh em bị rúng động bởi những sự khốn khó dường ấy; vì anh em tự biết rằng ấy đó là điều đã định trước cho chúng ta.|免 得 有 人 被 諸 般 患 難 搖 動 ． 因 為 你 們 自 己 知 道 我 們 受 患 難 原 是 命 定 的 。
Lại khi ở cùng anh em, chúng tôi đã nói trước rằng sẽ có sự khốn khó phải chịu, điều đó xảy đến rồi, và anh em đã biết rõ.|我 們 在 你 們 那 裡 的 時 候 、 豫 先 告 訴 你 們 、 我 們 必 受 患 難 、 以 後 果 然 應 驗 了 、 你 們 也 知 道 。
Vậy, không thể đợi lâu hơn nữa, nên tôi đã sai Ti-mô-thê đi, để cho biết đức tin anh em ra làm sao, e rằng kẻ cám dỗ đã cám dỗ anh em, mà công phu của chúng tôi trở nên vô ích chăng.|為 此 、 我 既 不 能 再 忍 、 就 打 發 人 去 、 要 曉 得 你 們 的 信 心 如 何 、 恐 怕 那 誘 惑 人 的 到 底 誘 惑 了 你 們 、 叫 我 們 的 勞 苦 歸 於 徒 然 。
Nhưng Ti-mô-thê ở nơi anh em mới trở về đây, có thuật cho chúng tôi tin tốt về đức tin cùng lòng yêu thương của anh em. Người lại nói rằng anh em thường tưởng nhớ chúng tôi, và ao ước gặp chúng tôi, cũng như chính chúng tôi ước ao gặp anh em vậy.|但 提 摩 太 剛 纔 從 你 們 那 裡 回 來 、 將 你 們 信 心 和 愛 心 的 好 消 息 報 給 我 們 、 又 說 你 們 常 常 記 念 我 們 、 切 切 的 想 見 我 們 、 如 同 我 們 想 見 你 們 一 樣 ．
Hỡi anh em, như vậy thì ở giữa mọi sự gian nan khốn khó của chúng tôi, anh em đã lấy đức tin mình mà làm một cớ yên ủi cho chúng tôi đó.|所 以 弟 兄 們 、 我 們 在 一 切 困 苦 患 難 之 中 、 因 著 你 們 的 信 心 就 得 了 安 慰 ．
Vì hiện nay chúng tôi sống, là tại anh em đứng vững trong Chúa.|你 們 若 靠 主 站 立 得 穩 、 我 們 就 活 了 。
Chúng tôi làm thể nào đặng đủ tạ ơn Đức Chúa Trời về anh em, vì chúng tôi bởi cớ anh em được đầy lòng vui vẻ ở trước mặt Đức Chúa Trời chúng tôi?|我 們 在 　 神 面 前 、 因 著 你 們 甚 是 喜 樂 、 為 這 一 切 喜 樂 、 可 用 何 等 的 感 謝 、 為 你 們 報 答 　 神 呢 。
Đêm ngày chúng tôi cố sức nài xin Ngài cho phép chúng tôi lại gặp anh em, và gia thêm cho đức tin anh em điều chi còn kém.|我 們 晝 夜 切 切 的 祈 求 、 要 見 你 們 的 面 、 補 滿 你 們 信 心 的 不 足 。
Nguyền xin chính Đức Chúa Trời Cha chúng ta, và Đức Chúa Jêsus, Chúa chúng ta, dẫn chúng tôi đến cùng anh em!|願 　 神 我 們 的 父 、 和 我 們 的 主 耶 穌 、 一 直 引 領 我 們 到 你 們 那 裡 去 ．
Lại nguyền xin Chúa làm cho anh em thêm và đầy lòng yêu thương đối với nhau cùng đối với mọi người, cùng như lòng yêu thương của chúng tôi đối với anh em vậy,|又 願 主 叫 你 們 彼 此 相 愛 的 心 、 並 愛 眾 人 的 心 、 都 能 增 長 、 充 足 、 如 同 我 們 愛 你 們 一 樣 ．
hầu cho lòng anh em được vững vàng, và thánh sạch không trách được trước mặt Đức Chúa Trời, là Cha chúng ta, khi Đức Chúa Jêsus chúng ta sẽ đến với hết thảy thánh đồ Ngài!|好 使 你 們 、 當 我 們 主 耶 穌 同 他 眾 聖 徒 來 的 時 候 、 在 我 們 父 　 神 面 前 、 心 裡 堅 固 、 成 為 聖 潔 、 無 可 責 備 。

					I Thê-sa-lô-ni-ca 4				|
						帖撒羅尼迦前書 4					
Vả lại, hỡi anh em, anh em đã học nơi chúng tôi phải ăn ở cách nào cho đẹp ý Đức Chúa Trời, và điều đó anh em đã làm rồi, thì chúng tôi nhơn Đức Chúa Jêsus xin và cầu anh em phải đi luôn theo đường ấy càng ngày càng tới.|弟 兄 們 、 我 還 有 話 說 ． 我 們 靠 著 主 耶 穌 求 你 們 、 勸 你 們 、 你 們 既 然 受 了 我 們 的 教 訓 、 知 道 該 怎 樣 行 、 可 以 討 　 神 的 喜 悅 、 就 要 照 你 們 現 在 所 行 的 、 更 加 勉 勵 。
Anh em biết rõ chúng tôi đã bởi Đức Chúa Jêsus mà truyền cho anh em những điều răn nào.|你 們 原 曉 得 我 們 憑 主 耶 穌 傳 給 你 們 甚 麼 命 令 。
Vì ý muốn Đức Chúa Trời, ấy là khiến anh em nên thánh: tức là phải lánh sự ô uế,|　 神 的 旨 意 就 是 要 你 們 成 為 聖 潔 、 遠 避 淫 行 ．
mỗi người phải biết giữ thân mình cho thánh sạch và tôn trọng,|要 你 們 各 人 曉 得 怎 樣 用 聖 潔 尊 貴 、 守 著 自 己 的 身 體 ．
chẳng bao giờ sa vào tình dục luông tuồng như người ngoại đạo, là kẻ không nhìn biết Đức Chúa Trời.|不 放 縱 私 慾 的 邪 情 、 像 那 不 認 識 　 神 的 外 邦 人 ．
Chớ có ai phỉnh phờ anh em mình, hay là làm hại anh em bất kỳ việc gì, vì Chúa là Đấng báo oán những sự đó, như chúng tôi đã nói trước cùng anh em và đã làm chứng.|不 要 一 個 人 在 這 事 上 越 分 、 欺 負 他 的 弟 兄 ． 因 為 這 一 類 的 事 、 主 必 報 應 、 正 如 我 豫 先 對 你 們 說 過 、 又 切 切 囑 咐 你 們 的 。
Bởi chưng Đức Chúa Trời chẳng gọi chúng ta đến sự ô uế đâu, bèn là sự nên thánh vậy.|　 神 召 我 們 、 本 不 是 要 我 們 沾 染 污 穢 、 乃 是 要 我 們 成 為 聖 潔 。
Cho nên ai khinh bỏ điều chúng tôi nói, thì không phải khinh bỏ người ta đâu bèn là khinh bỏ Đức Chúa Trời, là Đấng đã ban Thánh Linh của Ngài trong anh em.|所 以 那 棄 絕 的 、 不 是 棄 絕 人 、 乃 是 棄 絕 那 賜 聖 靈 給 你 們 的 　 神 。
Còn như sự anh em yêu thương nhau, về điều đó, không cần viết cho anh em, vì chính anh em đã học nơi Đức Chúa Trời, phải yêu thương nhau;|論 到 弟 兄 們 相 愛 、 不 用 人 寫 信 給 你 們 ． 因 為 你 們 自 己 蒙 了 　 神 的 教 訓 、 叫 你 們 彼 此 相 愛 。
và đối với mọi anh em khác, trong cả xứ Ma-xê-đoan, cũng làm như vậy. Nhưng, hỡi anh em, chúng tôi khuyên anh em hằng tỏ lòng yêu thương đó thêm mãi,|你 們 向 馬 其 頓 全 地 的 眾 弟 兄 、 固 然 是 這 樣 行 、 但 我 勸 弟 兄 們 要 更 加 勉 勵 ．
ráng tập ăn ở cho yên lặng, săn sóc việc riêng mình, lấy chính tay mình làm lụng, như chúng tôi đã dặn bảo anh em,|又 要 立 志 作 安 靜 人 、 辦 自 己 的 事 、 親 手 作 工 、 正 如 我 們 從 前 所 吩 咐 你 們 的 ．
hầu cho ăn ở với người ngoại cách ngay thẳng, và không thiếu chi hết.|叫 你 們 可 以 向 外 人 行 事 端 正 、 自 己 也 就 沒 有 甚 麼 缺 乏 了 。
Hỡi anh em, chúng tôi chẳng muốn anh em không biết về phần người đã ngủ, hầu cho anh em chớ buồn rầu như người khác không có sự trông cậy.|論 到 睡 了 的 人 、 我 們 不 願 意 弟 兄 們 不 知 道 、 恐 怕 你 們 憂 傷 、 像 那 些 沒 有 指 望 的 人 一 樣 。
Vì nếu chúng ta tin Đức Chúa Jêsus đã chết và sống lại, thì cũng vậy, Đức Chúa Trời sẽ đem những kẻ ngủ trong Đức Chúa Jêsus cùng đến với Ngài.|我 們 若 信 耶 穌 死 而 復 活 了 、 那 已 經 在 耶 穌 裡 睡 了 的 人 、 　 神 也 必 將 他 與 耶 穌 一 同 帶 來 。
Vả, nầy là điều chúng tôi nhờ lời Chúa mà rao bảo cho anh em: chúng ta là kẻ sống, còn ở lại cho đến kỳ Chúa đến, thì không lên trước những người đã ngủ rồi.|我 們 現 在 照 主 的 話 告 訴 你 們 一 件 事 ． 我 們 這 活 著 還 存 留 到 主 降 臨 的 人 、 斷 不 能 在 那 已 經 睡 了 的 人 之 先 ．
Vì sẽ có tiếng kêu lớn và tiếng của thiên sứ lớn cùng tiếng kèn của Đức Chúa Trời, thì chính mình Chúa ở trên trời giáng xuống; bấy giờ những kẻ chết trong Đấng Christ, sẽ sống lại trước hết.|因 為 主 必 親 自 從 天 降 臨 、 有 呼 叫 的 聲 音 、 和 天 使 長 的 聲 音 、 又 有 　 神 的 號 吹 響 ． 那 在 基 督 裡 死 了 的 人 必 先 復 活 。
Kế đến chúng ta là kẻ sống, mà còn ở lại, sẽ cùng nhau đều được cất lên với những người ấy giữa đám mây, tại nơi không trung mà gặp Chúa, như vậy chúng ta sẽ ở cùng Chúa luôn luôn.|以 後 我 們 這 活 著 還 存 留 的 人 、 必 和 他 們 一 同 被 提 到 雲 裡 、 在 空 中 與 主 相 遇 ． 這 樣 、 我 們 就 要 和 主 永 遠 同 在 。
Thế thì, anh em hãy dùng lời đó mà yên ủi nhau.|所 以 你 們 當 用 這 些 話 彼 此 勸 慰 。

					I Thê-sa-lô-ni-ca 5				|
						帖撒羅尼迦前書 5					
Hỡi anh em, về thời và kỳ, thì không cần viết cho anh em;|弟 兄 們 、 論 到 時 候 日 期 、 不 用 寫 信 給 你 們 ．
vì chính anh em biết rõ lắm rằng ngày của Chúa sẽ đến như kẻ trộm trong ban đêm vậy.|因 為 你 們 自 己 明 明 曉 得 、 主 的 日 子 來 到 、 好 像 夜 間 的 賊 一 樣 。
Khi người ta sẽ nói rằng: Bình hòa và an ổn, thì tai họa thình lình vụt đến, như sự đau đớn xảy đến cho người đờn bà có nghén, và người ta chắc không tránh khỏi đâu.|人 正 說 平 安 穩 妥 的 時 候 、 災 禍 忽 然 臨 到 他 們 、 如 同 產 難 臨 到 懷 胎 的 婦 人 一 樣 ． 他 們 絕 不 能 逃 脫 。
Nhưng, hỡi anh em, anh em chẳng phải ở nơi tối tăm, nên nỗi ngày đó đến thình lình cho anh em như kẻ trộm.|弟 兄 們 、 你 們 卻 不 在 黑 暗 裡 、 叫 那 日 子 臨 到 你 們 像 賊 一 樣 。
Anh em đều là con của sự sáng và con của ban ngày. Chúng ta không phải thuộc về ban đêm, cũng không phải thuộc về sự mờ tối.|你 們 都 是 光 明 之 子 、 都 是 白 晝 之 子 、 我 們 不 是 屬 黑 夜 的 、 也 不 是 屬 幽 暗 的 ．
Vậy, chúng ta chớ ngủ như kẻ khác, nhưng phải tỉnh thức và giè giữ.|所 以 我 們 不 要 睡 覺 、 像 別 人 一 樣 、 總 要 儆 醒 謹 守 。
Vì kẻ ngủ thì ngủ ban đêm, kẻ say thì say ban đêm.|因 為 睡 了 的 人 是 在 夜 間 睡 ． 醉 了 的 人 是 在 夜 間 醉 ．
Nhưng chúng ta thuộc về ban ngày, nên hãy giè giữ, mặc áo giáp bằng đức tin và lòng yêu thương, lấy sự trông cậy về sự cứu rỗi làm mão trụ.|但 我 們 既 然 屬 乎 白 晝 、 就 當 謹 守 、 把 信 和 愛 當 作 護 心 鏡 遮 胸 ． 把 得 救 的 盼 望 當 作 頭 盔 戴 上 。
Vì Đức Chúa Trời chẳng định sẵn cho chúng ta bị cơn thạnh nộ, nhưng cho được sự giải cứu bởi Đức Chúa Jêsus Christ chúng ta,|因 為 　 神 不 是 豫 定 我 們 受 刑 、 乃 是 豫 定 我 們 藉 著 我 們 主 耶 穌 基 督 得 救 ．
là Đấng đã chết vì chúng ta, hầu cho chúng ta hoặc thức hoặc ngủ, đều được đồng sống với Ngài.|他 替 我 們 死 、 叫 我 們 無 論 醒 著 睡 著 、 都 與 他 同 活 。
Vậy thì anh em hãy khuyên bảo nhau, gây dựng cho nhau, như anh em vẫn thường làm.|所 以 你 們 該 彼 此 勸 慰 、 互 相 建 立 、 正 如 你 們 素 常 所 行 的 。
Hỡi anh em, xin anh em kính trọng kẻ có công khó trong vòng anh em, là kẻ tuân theo Chúa mà chỉ dẫn và dạy bảo anh em.|弟 兄 們 、 我 們 勸 你 們 敬 重 那 在 你 們 中 間 勞 苦 的 人 、 就 是 在 主 裡 面 治 理 你 們 、 勸 戒 你 們 的 ．
Hãy lấy lòng rất yêu thương đối với họ vì cớ công việc họ làm. Hãy ở cho hòa thuận với nhau.|又 因 他 們 所 作 的 工 、 用 愛 心 格 外 尊 重 他 們 ． 你 們 也 要 彼 此 和 睦 。
Nhưng, hỡi anh em, xin anh em hãy răn bảo những kẻ ăn ở bậy bạ, yên ủi những kẻ ngã lòng, nâng đỡ những kẻ yếu đuối, phải nhịn nhục đối với mọi người.|我 們 又 勸 弟 兄 們 、 要 警 戒 不 守 規 矩 的 人 ． 勉 勵 灰 心 的 人 ． 扶 助 軟 弱 的 人 ． 也 要 向 眾 人 忍 耐 。
Hãy giữ, đừng có ai lấy ác báo ác cho kẻ khác; nhưng hãy tìm điều thiện luôn luôn, hoặc trong vòng anh em, hoặc đối với thiên hạ.|你 們 要 謹 慎 、 無 論 是 誰 都 不 可 以 惡 報 惡 ． 或 是 彼 此 相 待 、 或 是 待 眾 人 、 常 要 追 求 良 善 。
Hãy vui mừng mãi mãi,|要 常 常 喜 樂 ．
cầu nguyện không thôi,|不 住 的 禱 告 ．
phàm làm việc gì cũng phải tạ ơn Chúa; vì ý muốn của Đức Chúa Trời trong Đức Chúa Jêsus Christ đối với anh em là như vậy.|凡 事 謝 恩 ． 因 為 這 是 　 神 在 基 督 耶 穌 裡 向 你 們 所 定 的 旨 意 。
Chớ dập tắt Thánh Linh;|不 要 銷 滅 聖 靈 的 感 動 ．
chớ khinh dể các lời tiên tri;|不 要 藐 視 先 知 的 講 論 ．
hãy xem xét mọi việc, điều chi lành thì giữ lấy.|但 要 凡 事 察 驗 ． 善 美 的 要 持 守 。
Bất cứ việc gì tựa như điều ác, thì phải tránh đi.|各 樣 的 惡 事 要 禁 戒 不 作 。
Nguyền xin chính Đức Chúa Trời bình an khiến anh em nên thánh trọn vẹn, và nguyền xin tâm thần, linh hồn, và thân thể của anh em đều được giữ vẹn, không chỗ trách được, khi Đức Chúa Jêsus Christ chúng ta đến!|願 賜 平 安 的 　 神 、 親 自 使 你 們 全 然 成 聖 ． 又 願 你 們 的 靈 、 與 魂 、 與 身 子 、 得 蒙 保 守 、 在 我 主 耶 穌 基 督 降 臨 的 時 候 、 完 全 無 可 指 摘 。
Đấng đã gọi anh em là thành tín, chính Ngài sẽ làm việc đó.|那 召 你 們 的 本 是 信 實 的 、 他 必 成 就 這 事 。
Hỡi anh em, hãy cầu nguyện cho chúng tôi với.|請 弟 兄 們 為 我 們 禱 告 。
Hãy lấy cái hôn thánh mà chào hết thảy anh em.|與 眾 弟 兄 親 嘴 問 安 務 要 聖 潔 。
Tôi nhơn Chúa nài xin anh em hãy đọc thơ nầy cho hết thảy anh em đều nghe.|我 指 著 主 囑 咐 你 們 、 要 把 這 信 念 給 眾 弟 兄 聽 。
Nguyền xin ân điển của Đức Chúa Jêsus Christ, Chúa chúng ta, ở với anh em.|願 我 主 耶 穌 基 督 的 恩 常 與 你 們 同 在 。
