
					Tít 1				|
Vả, có nhiều người nhứt là trong những người chịu cắt bì, chẳng chịu vâng phục, hay nói hư không và phỉnh dỗ, đáng phải bịt miệng họ đi.|因 為 有 許 多 人 不 服 約 束 、 說 虛 空 話 、 欺 哄 人 ． 那 奉 割 禮 的 、 更 是 這 樣 。
Họ vì mối lợi đáng bỉ mà dạy điều không nên dạy, và phá đổ cả nhà người ta.|這 些 人 的 口 總 要 堵 住 ． 他 們 因 貪 不 義 之 財 、 將 不 該 教 導 的 教 導 人 、 敗 壞 人 的 全 家 。
Một người trong bọn họ, tức là bậc tiên tri của họ, có nói rằng: Người Cơ-rết thay nói dối, là thú dữ, ham ăn mà làm biếng.|有 革 哩 底 人 中 的 一 個 本 地 先 知 說 、 『 革 埋 底 人 常 說 謊 話 、 乃 是 惡 獸 、 又 饞 又 懶 ． 』
Lời chứng ấy quả thật lắm. Vậy hãy quở nặng họ, hầu cho họ có đức tin vẹn lành,|這 個 見 證 是 真 的 。 所 以 你 要 嚴 嚴 的 責 備 他 們 、 使 他 們 在 真 道 上 純 全 無 疵 ．
chớ nghe truyện huyễn của người Giu-đa, và điều răn của người ta trái với lẽ thật.|不 聽 猶 太 人 荒 渺 的 言 語 、 和 離 棄 真 道 之 人 的 誡 命 。
Mọi sự là tinh sạch cho những người tinh sạch, nhưng, cho những kẻ dơ dáy và chẳng tin, thì không sự gì là tinh sạch cả; trái lại, tâm thần và lương tâm họ là dơ dáy nữa.|在 潔 淨 的 人 、 凡 物 都 潔 淨 ． 在 污 穢 不 信 的 人 、 甚 麼 都 不 潔 淨 ． 連 心 地 和 天 良 、 也 都 污 穢 了 。
Họ xưng mình biết Đức Chúa Trời, nhưng theo những việc làm thì đều từ chối Ngài, thật là đáng ghét, trái nghịch và không thể làm một việc lành nào hết.|他 們 說 是 認 識 　 神 、 行 事 卻 和 他 相 背 ． 本 是 可 憎 惡 的 、 是 悖 逆 的 、 在 各 樣 的 善 事 上 是 可 廢 棄 的 。

					Tít 2				|
						提多書 2					
Nhưng con hãy dạy điều hiệp với đạo lành.|但 你 所 講 的 、 總 要 合 乎 那 純 正 的 道 理 ．
Khuyên những người già cả phải tiết độ, nghiêm trang, khôn ngoan, có đức tin, lòng yêu thương và tánh nhịn nhục vẹn lành.|勸 老 年 人 、 要 有 節 制 、 端 莊 、 自 守 、 在 信 心 愛 心 忍 耐 上 、 都 要 純 全 無 疵 。
Các bà già cũng vậy, phải có thái độ hiệp với sự thánh; đừng nói xấu, đừng uống rượu quá độ; phải lấy điều khôn ngoan dạy bảo;|又 勸 老 年 婦 人 、 舉 止 行 動 要 恭 敬 、 不 說 讒 言 、 不 給 酒 作 奴 僕 、 用 善 道 教 訓 人 ．
phải dạy đờn bà trẻ tuổi biết yêu chồng con mình,|好 指 教 少 年 婦 人 、 愛 丈 夫 、 愛 兒 女 、
có nết na, trinh chánh, trông nom việc nhà; lại biết ở lành, vâng phục chồng mình, hầu cho đạo Đức Chúa Trời khỏi bị một lời chê bai nào.|謹 守 、 貞 潔 、 料 理 家 務 、 待 人 有 恩 、 順 服 自 己 的 丈 夫 、 免 得 　 神 的 道 理 被 毀 謗 。
Cũng phải khuyên những người tuổi trẻ ở cho có tiết độ.|又 勸 少 年 人 要 謹 守 ．
Hãy lấy mình con làm gương về việc lành cho họ, trong sự dạy dỗ phải cho thanh sạch, nghiêm trang,|你 自 己 凡 事 要 顯 出 善 行 的 榜 樣 、 在 教 訓 上 要 正 直 、 端 莊 、
nói năng phải lời, không chỗ trách được, đặng kẻ nghịch hổ thẹn, không được nói xấu chúng ta điều chi.|言 語 純 全 、 無 可 指 責 、 叫 那 反 對 的 人 、 既 無 處 可 說 我 們 的 不 是 、 便 自 覺 羞 愧 。
Hãy khuyên những tôi tớ phải vâng phục chủ mình, phải làm đẹp lòng chủ trong mọi việc, chớ cãi trả,|勸 僕 人 要 順 服 自 己 的 主 人 、 凡 事 討 他 的 喜 歡 ． 不 可 頂 撞 他 ．
chớ ăn cắp vật chi, nhưng phải hằng tỏ lòng trung thành trọn vẹn, để làm cho tôn quí đạo Đức Chúa Trời, là Cứu Chúa chúng ta, trong mọi đường.|不 可 私 拿 東 西 ． 要 顯 為 忠 誠 、 以 致 凡 事 尊 榮 我 們 救 主 　 神 的 道 ．
Vả, ân điển Đức Chúa Trời hay cứu mọi người, đã được bày tỏ ra rồi.|因 為 　 神 救 眾 人 的 恩 典 、 已 經 顯 明 出 來 、
An ấy dạy chúng ta chừa bỏ sự không tôn kính và tài đức thế gian, phải sống ở đời nầy theo tiết độ, công bình, nhân đức,|教 訓 我 們 除 去 不 敬 虔 的 心 、 和 世 俗 的 情 慾 、 在 今 世 自 守 、 公 義 、 敬 虔 度 日 ．
đương chờ đợi sự trông cậy hạnh phước của chúng ta, và sự hiện ra của sự vinh hiển Đức Chúa Trời lớn và Cứu Chúa chúng ta, là Đức Chúa Jêsus Christ,|等 候 所 盼 望 的 福 、 並 等 候 至 大 的 　 神 、 和 〔 或 作 無 和 字 〕 我 們 救 主 耶 穌 基 督 的 榮 耀 顯 現 。
là Đấng liều mình vì chúng ta, để chuộc chúng ta khỏi mọi tội và làm cho sạch, đặng lấy chúng ta khỏi mọi tội và làm một dân thuộc riêng về Ngài, là dân có lòng sốt sắng về các việc lành.|他 為 我 們 捨 了 自 己 、 要 贖 我 們 脫 離 一 切 罪 惡 、 又 潔 淨 我 們 、 特 作 自 己 的 子 民 、 熱 心 為 善 。
Hãy dạy các điều đó, lấy quyền đầy đủ mà khuyên bảo quở trách. Chớ để ai khinh dể con.|這 些 事 你 要 講 明 、 勸 戒 人 、 用 各 等 權 柄 責 備 人 。 不 可 叫 人 輕 看 你 。

					Tít 3				|
						提多書 3					
Hãy nhắc lại cho các tín đồ phải vâng phục những bậc cầm quyền chấp chánh, phải vâng lời các bậc ấy, sẵn sàng làm mọi việc lành,|你 要 題 醒 眾 人 、 叫 他 們 順 服 作 官 的 、 掌 權 的 、 遵 他 的 命 、 豫 備 行 各 樣 的 善 事 ．
chớ nói xấu ai, chớ tranh cạnh, hãy dong thứ, đối với mọi người tỏ ra một cách mềm mại trọn vẹn.|不 要 毀 謗 、 不 要 爭 競 、 總 要 和 平 、 向 眾 人 大 顯 溫 柔 。
Vì chưng chúng ta ngày trước cũng ngu muội, bội nghịch, bị lừa dối, bị đủ thứ tình dục dâm dật sai khiến, sống trong sự hung ác tham lam, đáng bị người ta ghét và tự chúng ta cũng ghét lẫn nhau.|我 們 從 前 也 是 無 知 、 悖 逆 、 受 迷 惑 、 服 事 各 樣 私 慾 和 宴 樂 、 常 存 惡 毒 〔 或 作 陰 毒 〕 嫉 妒 的 心 、 是 可 恨 的 、 又 是 彼 此 相 恨 。
Nhưng từ khi lòng nhơn từ của Đức Chúa Trời, là Cứu Chúa chúng ta, và tình thương yêu của Ngài đối với mọi người ta đã được bày ra, thì Ngài cứu chúng ta,|但 到 了 　 神 我 們 救 主 的 恩 慈 、 和 他 向 人 所 施 的 慈 愛 顯 明 的 時 候 、
không phải cứu vì việc công bình chúng ta đã làm, nhưng cứ theo lòng thương xót Ngài, bởi sự rửa về sự lại sanh và sự đổi mới của Đức Thánh Linh|他 便 救 了 我 們 、 並 不 是 因 我 們 自 己 所 行 的 義 、 乃 是 照 他 的 憐 憫 、 藉 著 重 生 的 洗 、 和 聖 靈 的 更 新 。
mà Ngài đã rải ra trên chúng ta cách dư dật bởi Đức Chúa Jêsus Christ, Cứu Chúa chúng ta;|聖 靈 就 是 　 神 藉 著 耶 穌 基 督 我 們 救 主 、 厚 厚 澆 灌 在 我 們 身 上 的 ．
hầu cho chúng ta nhờ ơn Ngài được xưng công bình, trở nên con kế tự của Ngài trong sự trông cậy của sự sống đời đời.|好 叫 我 們 因 他 的 恩 得 稱 為 義 、 可 以 憑 著 永 生 的 盼 望 成 為 後 嗣 。 〔 或 作 可 以 憑 著 盼 望 承 受 永 生 〕
Lời nầy là chắc chắn, ta muốn con nói quyết sự đó, hầu cho những kẻ đã tin Đức Chúa Trời lo chăm chỉ làm việc lành: đó là điều tốt lành và có ích cho mọi người.|這 話 是 可 信 的 、 我 也 願 你 把 這 些 事 、 切 切 實 實 的 講 明 、 使 那 些 已 信 　 神 的 人 、 留 心 作 正 經 事 業 。 〔 或 作 留 心 行 善 〕 這 都 是 美 事 、 並 且 與 人 有 益 。
Nhưng hãy lánh những điều cãi lẽ dại dột, những gia phổ, những sự cạnh tranh nghị luận về luật pháp, vì mấy sự đó đều là vô ích và hư không.|要 遠 避 無 知 的 辯 論 、 和 家 譜 的 空 談 、 以 及 分 爭 、 並 因 律 法 而 起 的 爭 競 ． 因 為 這 都 是 虛 妄 無 益 的 。
Sau khi mình đã khuyên bảo kẻ theo tà giáo một hai lần rồi, thì hãy lánh họ,|分 門 結 黨 的 人 、 警 戒 過 一 兩 次 、 就 要 棄 絕 他 ．
vì biết rằng người như thế đã bội nghịch mà cứ phạm tội, thì tự đoán phạt lấy mình.|因 為 知 道 這 等 人 已 經 背 道 、 犯 了 罪 、 自 己 明 知 不 是 、 還 是 去 作 。
Đến chừng ta sẽ sai A-te-ma hoặc Ti-chi-cơ đến cùng con, thì hãy vội vả sang thành Ni-cô-bô-li nhập với ta; vì ta định qua mùa đông tại đó.|我 打 發 亞 提 馬 、 或 是 推 基 古 、 到 你 那 裡 去 的 時 候 、 你 要 趕 緊 往 尼 哥 波 立 去 見 我 ． 因 為 我 已 經 定 意 在 那 裡 過 冬 。
Hãy lo liệu cho Xê-ma, là thầy dạy luật, và A-bô-lô, đừng thiếu đồ chi hết, trong khi họ ra đi.|你 要 趕 緊 給 律 師 西 納 、 和 亞 波 羅 送 行 、 叫 他 們 沒 有 缺 乏 。
Những người bổn đạo ta cũng phải học tập chuyên làm việc lành, đặng giùm giúp khi túng ngặt, hầu cho họ khỏi đưng đi mà không ra trái.|並 且 我 們 的 人 要 學 習 正 經 事 業 、 〔 或 作 要 學 習 行 善 〕 豫 備 所 需 用 的 、 免 得 不 結 果 子 。
Hết thảy những người ở cùng ta gởi lời thăm con. Chào thăm những kẻ yêu chúng ta bởi lòng tin đạo. Nguyền xin ân điển ở với anh em hết thảy!|同 我 在 一 處 的 人 都 問 你 安 。 請 代 問 那 些 因 有 信 心 愛 我 們 的 人 安 。 願 恩 惠 常 與 你 們 眾 人 同 在 。
