
					Mi-ca 1				|
Vậy nên, ngươi sẽ ban lễ vật đưa đường cho Mô-rê-sết-Gát! Các nhà của Ac-xíp sẽ lừa dối các vua Y-sơ-ra-ên.|猶 大 阿 、 你 要 將 禮 物 送 給 摩 利 設 迦 特 ． 亞 革 悉 的 眾 族 、 必 用 詭 詐 待 以 色 列 諸 王 。
Hỡi dân cư Ma-rê-sa, ta sẽ đem một kẻ hưởng nghiệp ngươi đến cho ngươi; sự vinh hiển của Y-sơ-ra-ên sẽ đến A-đu-lam.|瑪 利 沙 的 居 民 哪 、 我 必 使 那 奪 取 你 的 來 到 你 這 裡 ． 以 色 列 的 尊 貴 人 〔 原 文 伯 榮 耀 〕 必 到 亞 杜 蘭 。
Ngươi khá làm sói đầu, cạo tóc, vì cớ con cái ưa thích của ngươi; phải, hãy làm cho ngươi sói như chim ưng, vì chúng nó hết thảy đều bị bắt làm phu tù khỏi ngươi!|猶 大 阿 、 要 為 你 所 喜 愛 的 兒 女 剪 除 你 的 頭 髮 、 使 頭 光 禿 、 要 大 大 地 光 禿 、 如 同 禿 鷹 、 因 為 他 們 都 被 擄 去 離 開 你 。

					Mi-ca 2				|
						彌迦書 2					
Khốn thay cho những kẻ mưu sự gian ác và toan sự tội lỗi trên giường mình, và làm ra vừa lúc sáng ngày; vì chúng nó có quyền về sự đó ở trong tay!|禍 哉 、 那 些 在 床 上 圖 謀 罪 孽 造 作 奸 惡 的 ． 天 一 發 亮 、 因 手 有 能 力 、 就 行 出 來 了 。
Chúng nó tham đất ruộng và cướp đi, tham nhà cửa và lấy đi. Chúng nó ức hiếp người ta và nhà họ, tức là người và sản nghiệp họ nữa.|他 們 貪 圖 田 地 就 佔 據 ． 貪 圖 房 屋 便 奪 取 ． 他 們 欺 壓 人 、 霸 佔 房 屋 和 產 業 。
Vậy nên, Đức Giê-hô-va phán như vầy: Nầy, ta toan tính nghịch cùng họ hàng nầy một tai vạ mà các ngươi không thể thoát khỏi cổ, và các ngươi sẽ không ngước đầu lên mà đi; vì ấy là kỳ hoạn nạn.|所 以 耶 和 華 如 此 說 、 我 籌 劃 災 禍 降 與 這 族 、 這 禍 在 你 們 的 頸 項 上 不 能 解 脫 、 你 們 也 不 能 昂 首 而 行 ． 因 為 這 時 勢 是 惡 的 。
Trong ngày đó, người ta sẽ lập lại một câu thí dụ về các ngươi; sẽ hát một bài ca thương sầu thảm mà nói rằng: Chúng ta bị hủy diệt cả rồi! Ngài dời sản nghiệp của dân ta, khiến cho lìa khỏi ta, lấy đất ruộng của ta mà chia cho kẻ bạn nghịch.|到 那 日 必 有 人 向 你 們 題 起 悲 慘 的 哀 歌 、 譏 刺 說 、 我 們 全 然 敗 落 了 ． 耶 和 華 將 我 們 的 分 轉 歸 別 人 ． 何 竟 使 這 分 離 開 我 們 ． 他 將 我 們 的 田 地 分 給 悖 逆 的 人 。
Cho nên trong hội của Đức Giê-hô-va, ngươi sẽ không có một người nào đặng bắt thăm giăng dây. Chúng nó nói tiên tri rằng: Các ngươi đừng nói tiên tri.|所 以 在 耶 和 華 的 會 中 你 必 沒 有 人 拈 鬮 拉 準 繩 。
Chúng nó sẽ không nói tiên tri cùng các người nầy: sự sỉ nhục sẽ chẳng cất khỏi.|他 們 〔 或 作 假 先 知 〕 說 、 你 們 不 可 說 豫 言 、 不 可 向 這 些 人 說 豫 言 、 不 住 地 羞 辱 我 們 。
Hỡi nhà Gia-cốp! há phải rằng Thần của Đức Giê-hô-va là kém sút sao? Đó há phải là việc Ngài làm sao? Nhưng lời của ta há chẳng có ích cho kẻ bước theo sự ngay thẳng sao?|雅 各 家 阿 、 豈 可 說 、 耶 和 華 的 心 不 忍 耐 麼 ． 〔 或 作 心 腸 狹 窄 麼 〕 這 些 事 是 他 所 行 的 麼 。 我 耶 和 華 的 言 語 、 豈 不 是 與 行 動 正 直 的 人 有 益 麼 。
Song mới đây dân ta dấy lên như kẻ thù. Những kẻ đi qua cách yên ổn, chẳng ưa chiến đấu, thì các ngươi bóc lột áo ngoài của họ, chỉ để lại áo trong.|然 而 近 來 我 的 民 興 起 如 仇 敵 、 從 那 些 安 然 經 過 不 願 打 仗 之 人 身 上 剝 去 外 衣 ．
Các ngươi đuổi những đờn bà của dân ta khỏi nhà vui vẻ chúng nó; và cất sự vinh hiển ta khỏi con trẻ nó đời đời.|你 們 將 我 民 中 的 婦 人 、 從 安 樂 家 中 趕 出 、 又 將 我 的 榮 耀 從 他 們 的 小 孩 子 盡 行 奪 去 。
Các ngươi hãy đứng dậy! Đi đi! Vì đây không phải là nơi an nghỉ của các ngươi, vì cớ sự ô uế làm bại hoại, tức là sự bại hoại nặng lắm.|你 們 起 來 去 罷 ． 這 不 是 你 們 安 息 之 所 ． 因 為 污 穢 使 人 〔 或 作 地 〕 毀 滅 、 而 且 大 大 毀 滅 。
Nếu có người theo sự hư không, và nói dối, mà rằng: Ta sẽ nói tiên tri cho ngươi về rượu và rượu mạnh, ấy sẽ là đấng tiên tri của dân nầy.|若 有 人 心 存 虛 假 、 用 謊 言 說 、 我 要 向 你 們 豫 言 得 清 酒 和 濃 酒 ． 那 人 就 必 作 這 民 的 先 知 。
Hỡi Gia-cốp! ta chắc sẽ nhóm cả ngươi lại, Ta chắc sẽ thâu góp phần còn lại của Y-sơ-ra-ên, và đặt nó chung cả như những con chiên của Bốt-ra, như một bầy ở giữa đồng cỏ chúng nó; đó sẽ có tiếng ồn lớn vì đám đông người.|雅 各 家 阿 、 我 必 要 聚 集 你 們 、 必 要 招 聚 以 色 列 剩 下 的 人 、 安 置 在 一 處 、 如 波 斯 拉 的 羊 、 又 如 草 場 上 的 羊 群 ． 因 為 人 數 眾 多 。 就 必 大 大 喧 嘩 。
Kẻ mở đường lên trước chúng nó. Chúng nó xông đến cửa thành mà ra; vua chúng nó đi qua trước mặt chúng nó, và Đức Giê-hô-va đi đầu chúng nó.|開 路 的 〔 或 作 破 城 的 〕 在 他 們 前 面 上 去 ． 他 們 直 闖 過 城 門 、 從 城 門 出 去 ． 他 們 的 王 在 前 面 行 、 耶 和 華 引 導 他 們 。

					Mi-ca 3				|
						彌迦書 3					
Vậy nên ta nói rằng: Các trưởng của Gia-cốp và các ngươi là kẻ cai trị nhà Y-sơ-ra-ên, hãy nghe! Há chẳng phải các ngươi nên biết sự công nghĩa sao?|我 說 、 雅 各 的 首 領 、 以 色 列 家 的 官 長 阿 、 你 們 要 聽 。 你 們 不 當 知 道 公 平 麼 。
Vả, các ngươi ghét điều lành, ưa điều dữ; lột da của những kẻ nầy và róc thịt trên xương chúng nó.|你 們 惡 善 好 惡 ． 從 人 身 上 剝 皮 、 從 人 骨 頭 上 剔 肉 ．
Các ngươi ăn thịt của dân ta, lột lấy da và bẻ lấy xương, xé ra từng mảnh như sắm cho nồi, như là thịt ở trong chảo.|喫 我 民 的 肉 、 剝 他 們 的 皮 ． 打 折 他 們 的 骨 頭 、 分 成 塊 子 像 要 下 鍋 、 又 像 釜 中 的 肉 。
Bấy giờ chúng nó sẽ kêu cùng Đức Giê-hô-va, nhưng Ngài không trả lời. Phải, Ngài sẽ giấu mặt khỏi chúng nó trong lúc ấy theo như những việc dữ chúng ta làm.|到 了 遭 災 的 時 候 、 這 些 人 必 哀 求 耶 和 華 、 他 卻 不 應 允 他 們 ． 那 時 他 必 照 他 們 所 行 的 惡 事 、 向 他 們 掩 面 。
Nầy là lời Đức Giê-hô-va phán ra về các kẻ tiên tri làm lầm lạc dân ta, là kẻ cắn bằng răng mình, và rao rằng: Bình an! và nếu ai không cho vật gì vào miệng chúng nó thì sửa soạn sự chiến tranh nghịch cùng nó.|論 到 使 我 民 走 差 路 的 先 知 、 他 們 牙 齒 有 所 嚼 的 、 他 們 就 呼 喊 說 、 平 安 了 ． 凡 不 供 給 他 們 喫 的 、 他 們 就 豫 備 攻 擊 他 ． 〔 豫 備 攻 擊 他 或 作 說 必 遭 遇 刀 兵 〕 耶 和 華 如 此 說 、
Vì cớ đó, ban đêm sẽ ở trên các ngươi mà không có sự hiện thấy; các ngươi sẽ ở trong tối tăm mà không nói tiên tri; mặt trời sẽ lặn trên các tiên tri đó, và ban ngày sẽ tối đi chung quanh họ.|你 們 必 遭 遇 黑 夜 、 以 致 不 見 異 象 ． 又 必 遭 遇 幽 暗 、 以 致 不 能 占 卜 ． 日 頭 必 向 你 們 沉 落 、 白 晝 變 為 黑 暗 。
Những kẻ tiên kiến sẽ phải xấu hổ, và những kẻ tiên tri sẽ bị nhuốc nha. Hết thảy đều che môi lại, vì chẳng được lời đáp nào của Đức Chúa Trời.|先 見 必 抱 愧 、 占 卜 的 必 蒙 羞 、 都 必 摀 著 嘴 唇 、 因 為 　 神 不 應 允 他 們 。
Nhưng ta, ta được đầy dẫy sức mạnh, sự xét đoán, và lòng bạo dạn, bởi Thần của Đức Giê-hô-va, để rao ra cho Gia-cốp về sự phạm pháp nó, cho Y-sơ-ra-ên về tội lỗi nó.|至 於 我 、 我 藉 耶 和 華 的 靈 、 滿 有 力 量 公 平 才 能 、 可 以 向 雅 各 說 明 他 的 過 犯 、 向 以 色 列 指 出 他 的 罪 惡 。
Hỡi các trưởng của nhà Gia-cốp, và các ngươi là kẻ cai trị nhà Y-sơ-ra-ên, hãy nghe điều nầy, các ngươi gớm sự chánh trực, và làm bại hoại sự bằng phẳng.|雅 各 家 的 首 領 、 以 色 列 家 的 官 長 阿 、 當 聽 我 的 話 ． 你 們 厭 惡 公 平 、 在 一 切 事 上 屈 枉 正 直 ．
Các người lấy huyết xây thành Si-ôn, và lấy sự gian ác xây thành Giê-ru-sa-lem.|以 人 血 建 立 錫 安 、 以 罪 孽 建 造 耶 路 撒 冷 。
Các quan trưởng xét đoán vì của hối lộ, các thầy tế lễ dạy dỗ vì tiền công, còn các kẻ tiên tri nói tiên tri vì bạc; rồi chúng nó nương cậy Đức Giê-hô-va mà rằng: Đức Giê-hô-va há chẳng ở giữa chúng ta sao? Tai vạ sẽ chẳng đến trên chúng ta!|首 領 為 賄 賂 行 審 判 、 祭 司 為 雇 價 施 訓 誨 、 先 知 為 銀 錢 行 占 卜 ． 他 們 卻 倚 賴 耶 和 華 、 說 、 耶 和 華 不 是 在 我 們 中 間 麼 ． 災 禍 必 不 臨 到 我 們 。
Vậy nên, vì cớ các ngươi, Si-ôn sẽ bị cày như ruộng; Giê-ru-sa-lem sẽ trở nên đống đổ nát, và núi của nhà sẽ trở nên như nơi cao trong rừng!|所 以 因 你 們 的 緣 故 、 錫 安 必 被 耕 種 像 一 塊 田 、 耶 路 撒 冷 必 變 為 亂 堆 、 這 殿 的 山 必 像 叢 林 的 高 處 。

					Mi-ca 4				|
						彌迦書 4					
Xảy ra trong những ngày sau rốt, núi của nhà Đức Giê-hô-va sẽ lập lên trên chót các núi, và sẽ được nhắc cao lên hơn các đồi. Các dân sẽ chảy về đó;|末 後 的 日 子 、 耶 和 華 殿 的 山 必 堅 立 、 超 乎 諸 山 、 高 舉 過 於 萬 嶺 ． 萬 民 都 要 流 歸 這 山 。
và nhiều nước sẽ đi đến đó, mà rằng: Hãy đến, chúng ta hãy lên núi của Đức Giê-hô-va, nơi nhà của Đức Chúa Trời Gia-cốp! Ngài sẽ dạy chúng ta về đường lối Ngài, và chúng ta sẽ đi trong các nẻo Ngài. Vì luật pháp sẽ ra từ Si-ôn, lời của Đức Giê-hô-va từ Giê-ru-sa-lem.|必 有 許 多 國 的 民 前 往 、 說 、 來 罷 、 我 們 登 耶 和 華 的 山 、 奔 雅 各 　 神 的 殿 ． 主 必 將 他 的 道 教 訓 我 們 、 我 們 也 要 行 他 的 路 ． 因 為 訓 誨 必 出 於 錫 安 、 耶 和 華 的 言 語 、 必 出 於 耶 路 撒 冷 。
Ngài sẽ làm ra sự phán xét giữa nhiều dân, đoán định các nước mạnh nơi phương xa; và họ sẽ lấy gươm rèn lưỡi cày, lấy giáo rèn lưỡi liềm; nước nầy chẳng giá gươm lên nghịch cùng nước khác, và cùng không tập sự chiến tranh nữa.|他 必 在 多 國 的 民 中 施 行 審 判 、 為 遠 方 強 盛 的 國 斷 定 是 非 ． 他 們 要 將 刀 打 成 犁 頭 、 把 槍 打 成 鐮 刀 ． 這 國 不 舉 刀 攻 擊 那 國 、 他 們 也 不 再 學 習 戰 事 。
Ai nấy sẽ ngồi dưới cây nho mình và dưới cây vả mình, không ai làm cho lo sợ; vì miệng Đức Giê-hô-va vạn quân đã phán.|人 人 都 要 坐 在 自 己 葡 萄 樹 下 和 無 花 果 樹 下 、 無 人 驚 嚇 ． 這 是 萬 軍 之 耶 和 華 親 口 說 的 。
Mọi dân tộc ai nấy bước theo danh của thần mình; và chúng ta sẽ bước theo danh Giê-hô-va Đức Chúa Trời chúng ta đời đời vô cùng!|萬 民 各 奉 己 神 的 名 而 行 ． 我 們 卻 永 永 遠 遠 奉 耶 和 華 我 們 　 神 的 名 而 行 。
Đức Giê-hô-va phán: Trong ngày đó, ta sẽ nhóm kẻ què lại, và thâu kẻ đã bị đuổi, kẻ mà ta đã làm cho buồn rầu.|耶 和 華 說 、 到 那 日 我 必 聚 集 瘸 腿 的 、 招 聚 被 趕 出 的 和 我 所 懲 治 的 ．
Rồi ta sẽ đặt kẻ què làm dân sót, và kẻ bị bỏ làm nước mạnh: Đức Giê-hô-va sẽ trị vì trên chúng nó trong núi Si-ôn, từ bây giờ đến đời đời.|我 必 使 瘸 腿 的 為 餘 剩 之 民 、 使 趕 到 遠 方 的 為 強 盛 之 民 ． 耶 和 華 要 在 錫 安 山 作 王 治 理 他 們 、 從 今 直 到 永 遠 。
Còn ngươi, là tháp của bầy, đồi của con gái Si-ôn, quyền thế cũ của ngươi, tức là nước của con gái Giê-ru-sa-lem, sẽ đến cùng ngươi.|你 這 羊 群 的 高 臺 、 錫 安 城 的 山 哪 、 〔 城 原 文 作 女 子 〕 從 前 的 權 柄 、 就 是 耶 路 撒 冷 民 的 國 權 、 〔 民 原 文 作 女 子 〕 必 歸 與 你 。
Nhưng bây giờ làm sao ngươi trổi tiếng kỳ lạ như vầy? Giữa ngươi há không có vua sao? Hay là mưu sĩ ngươi đã chết, nên ngươi bị quặn thắt như đờn bà sanh đẻ?|現 在 你 為 何 大 聲 哭 號 呢 ． 疼 痛 抓 住 你 彷 彿 產 難 的 婦 人 ． 是 因 你 中 間 沒 有 君 王 麼 、 你 的 謀 士 滅 亡 了 麼 。
Hỡi con gái Si-ôn, hãy đau đớn khó nhọc để đẻ ra như đờn bà đẻ! Vì ngươi sẽ đi ra khỏi thành và ở trong đồng ruộng, và ngươi sẽ đến Ba-by-lôn. Nhưng ở đó, ngươi sẽ được giải cứu; ấy là tại đó mà Đức Giê-hô-va sẽ chuộc ngươi ra khỏi tay kẻ thù nghịch ngươi.|錫 安 的 民 哪 、 〔 原 文 作 女 子 〕 你 要 疼 痛 劬 勞 彷 彿 產 難 的 婦 人 ． 因 為 你 必 從 城 裡 出 來 、 住 在 田 野 、 到 巴 比 倫 去 ． 在 那 裡 要 蒙 解 救 、 在 那 裡 耶 和 華 必 救 贖 你 脫 離 仇 敵 的 手 。
Bây giờ có nhiều nước nhóm lại nghịch cùng ngươi, nói rằng: Nguyền cho nó bị uế tục, và nguyền cho con mắt chúng ta xem thấy sự ước ao mình xảy đến trên Si-ôn!|現 在 有 許 多 國 的 民 聚 集 攻 擊 你 、 說 、 願 錫 安 被 玷 污 、 願 我 們 親 眼 見 他 遭 報 。
Song chúng nó không biết ý tưởng Đức Giê-hô-va, không hiểu mưu của Ngài; vì Ngài đã nhóm chúng nó lại như những bó lúa đến nơi sân đạp lúa.|他 們 卻 不 知 道 耶 和 華 的 意 念 、 也 不 明 白 他 的 籌 畫 ． 他 聚 集 他 們 、 好 像 把 禾 捆 聚 到 禾 場 一 樣 。
Vậy, hỡi con gái Si-ôn, hãy chổi dậy, khá giày đạp! Vì ta sẽ làm cho sừng ngươi nên sắt, vó ngươi nên đồng; ngươi sẽ nghiền nát nhiều dân, và ta sẽ dâng lợi của chúng nó cho Đức Giê-hô-va, của cải chúng nó cho Chúa trên khắp đất.|錫 安 的 民 哪 、 〔 民 原 文 作 女 子 〕 起 來 踹 榖 罷 ． 我 必 使 你 的 角 成 為 鐵 、 使 你 的 蹄 成 為 銅 。 你 必 打 碎 多 國 的 民 ． 將 他 們 的 財 獻 與 耶 和 華 、 將 他 們 的 貨 獻 與 普 天 下 的 主 。

					Mi-ca 5				|
						彌迦書 5					
Vậy, hỡi nữ đội, bây giờ hãy nhóm đội ngũ ngươi! Người đã vây hãm chúng ta. Người ta lấy roi đánh trên má quan xét của Y-sơ-ra-ên.|成 群 的 民 哪 、 〔 民 原 文 作 女 子 〕 現 在 你 要 聚 集 成 隊 ． 因 為 仇 敵 圍 攻 我 們 、 要 用 杖 擊 打 以 色 列 審 判 者 的 臉 。
Hỡi Bết-lê-hem Ep-ra-ta, ngươi ở trong hàng ngàn Giu-đa là nhỏ lắm, song từ nơi ngươi sẽ ra cho ta một Đấng cai trị trong Y-sơ-ra-ên; gốc tích của Ngài bởi từ đời xưa, từ trước vô cùng.|伯 利 恆 以 法 他 阿 、 你 在 猶 大 諸 城 中 為 小 、 將 來 必 有 一 位 從 你 那 裡 出 來 、 在 以 色 列 中 為 我 作 掌 權 的 ． 他 的 根 源 從 亙 古 、 從 太 初 就 有 。
Vậy nên Ngài sẽ phó chúng nó cho đến lúc người đờn bà phải sanh đẻ đã sanh đẻ, và kẻ sót lại của anh em Ngài sẽ trở về với con cái Y-sơ-ra-ên.|耶 和 華 必 將 以 色 列 人 交 付 敵 人 、 直 等 那 生 產 的 婦 人 生 下 子 來 ． 那 時 掌 權 者 〔 原 文 作 他 〕 其 餘 的 弟 兄 必 歸 到 以 色 列 人 那 裡 。
Ngài sẽ đứng vững, và sẽ cậy sức mạnh của Đức Giê-hô-va với oai vọng của danh Đức Giê-hô-va Đức Chúa Trời mình mà chăn bầy của mình; và chúng nó sẽ ở yên, vì nay Ngài sẽ làm lớn cho đến các đầu cùng đất.|他 必 起 來 、 倚 靠 耶 和 華 的 大 能 、 並 耶 和 華 他 　 神 之 名 的 威 嚴 、 牧 養 他 的 羊 群 ． 他 們 要 安 然 居 住 ． 因 為 他 必 日 見 尊 大 、 直 到 地 極 。
Ay chính Ngài sẽ làm sự bình an của chúng ta. Khi người A-si-ri sẽ đến trong đất chúng ta và giày đạp trong cung đền chúng ta, thì chúng ta sẽ dấy lên bảy kẻ chăn và tám quan trưởng của dân mà nghịch lại nó.|這 位 必 作 我 們 的 平 安 。 當 亞 述 人 進 入 我 們 的 地 境 踐 踏 宮 殿 的 時 候 、 我 們 就 立 起 七 個 牧 者 、 八 個 首 領 玫 擊 他 。
Họ sẽ dùng gươm hủy phá đất A-si-ri, và các cửa của đất Nim-rốt; và Ngài sẽ giải cứu chúng ta khỏi người A-si-ri, khi nó sẽ vào đất chúng ta, và giày đạp trong bờ cõi chúng ta.|他 們 必 用 刀 劍 毀 壞 亞 述 地 和 寧 錄 地 的 關 口 ． 亞 述 人 進 入 我 們 的 地 境 踐 踏 的 時 候 、 他 必 拯 救 我 們 。
Phần sót lại của Gia-cốp sẽ ở giữa nhiều dân, như giọt móc đến từ Đức Giê-hô-va, như mưa nhỏ sa xuống trên cỏ, chẳng đợi người ta và không mong gì ở con trai loài người.|雅 各 餘 剩 的 人 必 在 多 國 的 民 中 、 如 從 耶 和 華 那 裡 降 下 的 露 水 、 又 如 甘 霖 降 在 草 上 ． 不 仗 賴 人 力 、 也 不 等 候 世 人 之 功 。
Phần sót lại của Gia-cốp cũng sẽ ở giữa các nước và ở giữa nhiều dân, như sư tử ở giữa những thú rừng, và như sư tử con ở giữa các bầy chiên: khi nó đi qua thì chà đạp và cắn xé, không ai cứu được hết.|雅 各 餘 剩 的 人 必 在 多 國 多 民 中 、 如 林 間 百 獸 中 的 獅 子 、 又 如 少 壯 獅 子 在 羊 群 中 。 他 若 經 過 就 必 踐 踏 撕 裂 、 無 人 搭 救 。
Nguyền tay Chúa dấy lên trên những kẻ cừu địch Ngài, và những kẻ thù Ngài bị trừ diệt!|願 你 的 手 舉 起 、 高 過 敵 人 。 願 你 的 仇 敵 都 被 剪 除 。
Đức Giê-hô-va phán: Xảy ra trong ngày đó, ta sẽ cất hết những ngựa ngươi khỏi giữa ngươi, và diệt hết xe ngươi.|耶 和 華 說 、 到 那 日 、 我 必 從 你 中 間 剪 除 馬 匹 、 毀 壞 車 輛 、
Ta sẽ trừ hết các thành của đất ngươi, và sẽ phá đổ mọi đồn lũy ngươi.|也 必 從 你 國 中 除 滅 城 邑 、 拆 毀 一 切 的 保 障 、
Ta sẽ cất bỏ đồng bóng khỏi tay ngươi, và ngươi sẽ không có những thầy bói nữa.|又 必 除 掉 你 手 中 的 邪 術 ． 你 那 裡 也 不 再 有 占 卜 的 。
Ta sẽ làm cho tiệt những tượng chạm và trụ tượng khỏi giữa ngươi, ngươi sẽ không còn quì lạy trước công việc của tay mình làm ra.|我 必 從 你 中 間 除 滅 雕 刻 的 偶 像 和 柱 像 、 你 就 不 再 跪 拜 自 己 手 所 造 的 。
Ta sẽ nhổ tượng At-tạt-tê khỏi giữa ngươi, và hủy diệt các thành ngươi.|我 必 從 你 中 間 拔 出 木 偶 、 又 毀 滅 你 的 城 邑 。
Ta sẽ làm sự báo thù ra trên những nước không nghe theo ta, trong cơn ta nổi giận và căm tức.|我 也 必 在 怒 氣 和 忿 怒 中 向 那 不 聽 從 的 列 國 施 報 。

					Mi-ca 6				|
						彌迦書 6					
Bây giờ hãy nghe lời Đức Giê-hô-va phán: Ngươi hãy chổi dậy; khá đối nại cùng các núi, và làm cho các đồi nghe tiếng ngươi!|以 色 列 人 哪 、 當 聽 耶 和 華 的 話 。 要 起 來 向 山 嶺 爭 辯 、 使 岡 陵 聽 你 的 話 。
Hỡi các núi, và các nền hằng vững chắc của đất, hãy nghe lời đối nại của Đức Giê-hô-va! Vì Đức Giê-hô-va có sự đối nại với dân Ngài, và Ngài sẽ đối nại với Y-sơ-ra-ên.|山 嶺 和 地 永 久 的 根 基 阿 、 要 聽 耶 和 華 爭 辯 的 話 。 因 為 耶 和 華 要 與 他 的 百 姓 爭 辯 、 與 以 色 列 爭 論 。
Hỡi dân ta, ta đã làm gì cho ngươi? Ta đã làm mệt nhọc ngươi nỗi gì? Hãy làm chứng nghịch cùng ta.|我 的 百 姓 阿 、 我 向 你 作 了 甚 麼 呢 。 我 在 甚 麼 事 上 使 你 厭 煩 。 你 可 以 對 我 證 明 。
Ta đã đem ngươi lên khỏi đất Ê-díp-tô, đã chuộc ngươi ra khỏi nhà tôi mọi, và đã sai Môi-se, A-rôn, Mi-ri-an đến trước mặt ngươi.|我 曾 將 你 從 埃 及 地 領 出 來 、 從 作 奴 僕 之 家 救 贖 你 ． 我 也 差 遣 摩 西 、 亞 倫 、 和 米 利 暗 在 你 前 面 行 。
