
					I Giăng 1				|
Chúng nó đã từ giữa chúng ta mà ra, nhưng vốn chẳng phải thuộc về chúng ta; vì nếu chúng nó thuộc về chúng ta, thì đã ở cùng chúng ta; song điều đó đã xảy đến, hầu cho tỏ ra rằng mọi kẻ ấy chẳng thuộc về chúng ta vậy.|他 們 從 我 們 中 間 出 去 、 卻 不 是 屬 我 們 的 ． 若 是 屬 我 們 的 、 就 必 仍 舊 與 我 們 同 在 ． 他 們 出 去 、 顯 明 都 不 是 屬 我 們 的 。
Về phần các con, đã chịu xức dầu từ nơi Đấng thánh, thì đã biết mọi sự rồi.|你 們 從 那 聖 者 受 了 恩 膏 、 並 且 知 道 這 一 切 的 事 。 〔 或 作 都 有 知 識 〕
Ta viết cho các con, chẳng phải vì các con không biết lẽ thật, nhưng vì các con biết lẽ thật, và hiểu rằng chẳng có sự dối trá nào bởi lẽ thật mà ra.|我 寫 信 給 你 們 、 不 是 因 你 們 不 知 道 真 理 、 正 是 因 你 們 知 道 、 並 且 知 道 沒 有 虛 謊 是 從 出 真 理 出 來 的 。
Ai là kẻ nói dối, há chẳng phải kẻ chối Đức Chúa Jêsus là Đấng Christ sao? Ay đó là Kẻ địch lại Đấng Christ, tức là kẻ chối Đức Chúa Cha và Đức Chúa Con!|誰 是 說 謊 話 的 呢 ． 不 是 那 不 認 耶 穌 基 督 的 麼 ． 不 認 父 與 子 的 、 這 就 是 敵 基 督 的 。
Ai chối Con, thì cũng không có Cha: ai xưng Con, thì cũng có Cha nữa.|凡 不 認 子 的 就 沒 有 父 ． 認 子 的 連 父 也 有 了 。
Còn như các con, điều mình đã nghe từ lúc ban đầu phải ở trong các con. Nếu điều các con đã nghe từ lúc ban đầu ở trong mình, thì các con cũng sẽ ở trong Con và trong Cha.|論 到 你 們 、 務 要 將 那 從 起 初 所 聽 見 的 事 存 在 心 裡 ． 若 將 從 起 初 所 聽 見 的 存 在 心 裡 、 你 們 就 必 住 在 子 裡 面 、 也 必 住 在 父 裡 面 。
Lời hứa mà chính Ngài đã hứa cùng chúng ta, ấy là sự sống đời đời.|主 所 應 許 我 們 的 就 是 永 生 。
Ta đã viết cho các con những điều nầy, chỉ về những kẻ lừa dối các con.|我 將 這 些 話 寫 給 你 們 、 是 指 著 那 引 誘 你 們 的 人 說 的 。
Về phần các con, sự xức dầu đã chịu từ nơi Chúa vẫn còn trong mình, thì không cần ai dạy cho hết; song vì sự xức dầu của Ngài dạy các con đủ mọi việc, mà sự ấy là thật, không phải dối, thì hãy ở trong Ngài, theo như sự dạy dỗ mà các con đã nhận.|你 們 從 主 所 受 的 恩 膏 、 常 存 在 你 們 心 裡 、 並 不 用 人 教 訓 你 們 ． 自 有 主 的 恩 膏 在 凡 事 上 教 訓 你 們 ． 這 恩 膏 是 真 的 、 不 是 假 的 ． 你 們 要 按 這 恩 膏 的 教 訓 、 住 在 主 裡 面 。
Vậy bây giờ, hỡi các con cái bé mọn ta, hãy ở trong Ngài, hầu cho, nếu Ngài hiện đến, chúng ta cũng đầy sự vững lòng, không bị hổ thẹn và quăng xa khỏi Ngài trong kỳ Ngài ngự đến.|小 子 們 哪 、 你 們 要 住 在 主 裡 面 ． 這 樣 、 他 若 顯 現 、 我 們 就 可 以 坦 然 無 懼 ． 當 他 來 的 時 候 、 在 他 面 前 也 不 至 於 慚 愧 。
Ví bằng các con biết Ngài là công bình, thì hãy biết rằng người nào làm theo sự công bình, ấy là kẻ bởi Ngài mà sanh ra.|你 們 若 知 道 他 是 公 義 的 、 就 知 道 凡 行 公 義 之 人 都 是 他 所 生 的 。

					I Giăng 3				|
						約翰一書 3					
Hãy xem Đức Chúa Cha đã tỏ cho chúng ta sự yêu thương dường nào, mà cho chúng ta được xưng là con cái Đức Chúa Trời; và chúng ta thật là con cái Ngài. Ay là vì đó mà thế gian chẳng biết chúng ta, vì họ chẳng từng biết Ngài.|你 看 父 賜 給 我 們 是 何 等 的 慈 愛 、 使 我 們 得 稱 為 　 神 的 兒 女 ． 我 們 也 真 是 他 的 兒 女 ． 世 人 所 以 不 認 識 我 們 、 是 因 未 曾 認 識 他 。
Hỡi kẻ rất yêu dấu, chính lúc bây giờ chúng ta là con cái Đức Chúa Trời, còn về sự chúng ta sẽ ra thể nào, thì điều đó chưa được bày tỏ. Chúng ta biết rằng khi Ngài hiện đến, chúng ta sẽ giống như Ngài, vì sẽ thấy Ngài như vốn có thật vậy.|親 愛 的 弟 兄 阿 、 我 們 現 在 是 　 神 的 兒 女 、 將 來 如 何 、 還 未 顯 明 ． 但 我 們 知 道 主 若 顯 現 、 我 們 必 要 像 他 ． 因 為 必 得 見 他 的 真 體 。
Ai có sự trông cậy đó trong lòng, thì tự mình làm nên thanh sạch, cũng như Ngài là thanh sạch.|凡 向 他 有 這 指 望 的 、 就 潔 淨 自 己 、 像 他 潔 淨 一 樣 。
Còn ai phạm tội tức là trái luật pháp; và sự tội lỗi tức là sự trái luật pháp.|凡 犯 罪 的 、 就 是 違 背 律 法 ． 違 背 律 法 就 是 罪 。
Vả, các con biết Đức Chúa Jêsus Christ đã hiện ra để cất tội lỗi đi, và biết trong Ngài không có tội lỗi.|你 們 知 道 主 曾 顯 現 、 是 要 除 掉 人 的 罪 ． 在 他 並 沒 有 罪 。
Ai ở trong Ngài thì không phạm tội; còn ai phạm tội, thì chẳng từng thấy Ngài và chẳng từng biết Ngài.|凡 住 在 他 裡 面 的 、 就 不 犯 罪 ． 凡 犯 罪 的 、 是 未 曾 看 見 他 、 也 未 曾 認 識 他 。
Hỡi các con cái bé mọn, chớ để cho ai lừa dối mình: kẻ làm sự công bình là người công bình, như chính mình Chúa là công bình.|小 子 們 哪 、 不 要 被 人 誘 惑 、 行 義 的 纔 是 義 人 ． 正 如 主 是 義 的 一 樣 。
Kẻ nào phạm tội là thuộc về ma quỉ; vì ma quỉ phạm tội từ lúc ban đầu. Vả, Con Đức Chúa Trời đã hiện ra để hủy phá công việc của ma quỉ.|犯 罪 的 是 屬 魔 鬼 、 因 為 魔 鬼 從 起 初 就 犯 罪 。 　 神 的 兒 子 顯 現 出 來 、 為 要 除 滅 魔 鬼 的 作 為 。
Ai sanh bởi Đức Chúa Trời, thì chẳng phạm tội, vì hột giống của Đức Chúa Trời ở trong người, và người không thể phạm tội được, vì đã sanh bởi Đức Chúa Trời.|凡 從 　 神 生 的 、 就 不 犯 罪 、 因 　 神 的 道 〔 原 文 作 種 〕 存 在 他 心 裡 ． 他 也 不 能 犯 罪 、 因 為 他 是 由 　 神 生 的 。
Bởi đó, người ta nhận biết con cái Đức Chúa Trời và con cái ma quỉ: ai chẳng làm điều công bình là không thuộc về Đức Chúa Trời, kẻ chẳng yêu anh em mình cũng vậy.|從 此 就 顯 出 誰 是 　 神 的 兒 女 、 誰 是 魔 鬼 的 兒 女 ． 凡 不 行 義 的 、 就 不 屬 　 神 ． 不 愛 弟 兄 的 也 是 如 此 。
Vả, lời rao truyền mà các con đã nghe từ lúc ban đầu, ấy là chúng ta phải yêu thương lẫn nhau.|我 們 應 當 彼 此 相 愛 ． 這 就 是 你 們 從 起 初 所 聽 見 的 命 令 。
Chớ làm như Ca-in, là kẻ thuộc về ma quỉ, đã giết em mình. Vì sao người giết đi? Bởi việc làm của người là dữ, còn việc làm của em người là công bình.|不 可 像 該 隱 ． 他 是 屬 那 惡 者 、 殺 了 他 的 兄 弟 。 為 甚 麼 殺 了 他 呢 ． 因 自 己 的 行 為 是 惡 的 、 兄 弟 的 行 為 是 善 的 。
Hỡi anh em, nếu thế gian ghen ghét anh em, thì chớ lấy làm lạ.|弟 兄 們 、 世 人 若 恨 你 們 、 不 要 以 為 希 奇 。
Chúng ta biết rằng mình đã vượt khỏi sự chết qua sự sống, vì chúng ta yêu anh em mình. Còn ai chẳng yêu thì ở trong sự chết.|我 們 因 為 愛 弟 兄 、 就 曉 得 是 已 經 出 死 入 生 了 。 沒 有 愛 心 的 、 仍 住 在 死 中 。
Ai ghét anh em mình, là kẻ giết người; anh em biết rằng chẳng một kẻ nào giết người có sự sống đời đời ở trong mình.|凡 恨 他 弟 兄 的 、 就 是 殺 人 的 ． 你 們 曉 得 凡 殺 人 的 、 沒 有 永 生 存 在 他 裡 面 。
Bởi đó chúng ta nhận biết lòng yêu thương, ấy là Chúa đã vì chúng ta bỏ sự sống; chúng ta cũng nên bỏ sự sống vì anh em mình vậy.|主 為 我 們 捨 命 、 我 們 從 此 就 知 道 何 為 愛 ． 我 們 也 當 為 弟 兄 捨 命 。
Nếu ai có của cải đời nầy, thấy anh em mình đương cùng túng mà chặt dạ, thì lòng yêu mến Đức Chúa Trời thể nào ở trong người ấy được!|凡 有 世 上 財 物 的 、 看 見 弟 兄 窮 乏 、 卻 塞 住 憐 恤 的 心 、 愛 　 神 的 心 怎 能 存 在 他 裡 面 呢 。
Hỡi các con cái bé mọn, chớ yêu mến bằng lời nói và lưỡi, nhưng bằng việc làm và lẽ thật.|小 子 們 哪 、 我 們 相 愛 、 不 要 只 在 言 語 和 舌 頭 上 ． 總 要 在 行 為 和 誠 實 上 。
Bởi đó, chúng ta biết mình là thuộc về lẽ thật, và giục lòng vững chắc ở trước mặt Ngài.|從 此 、 就 知 道 我 們 是 屬 真 理 的 、 並 且 我 們 的 心 在 　 神 面 前 可 以 安 穩 。
Vì nếu lòng mình cáo trách mình, thì Đức Chúa Trời lại lớn hơn lòng mình nữa, và biết cả mọi sự.|我 們 的 心 若 責 備 我 們 、 　 神 比 我 們 的 心 大 、 一 切 事 沒 有 不 知 道 的 。
Hỡi kẻ rất yêu dấu, ví bằng lòng mình không cáo trách, thì chúng ta có lòng rất dạn dĩ, đặng đến gần Đức Chúa Trời:|親 愛 的 弟 兄 阿 、 我 們 的 心 若 不 責 備 我 們 、 就 可 以 向 　 神 坦 然 無 懼 了 ．
và chúng ta xin điều gì mặc dầu, thì nhận được đều ấy, bởi chúng ta vâng giữ các điều răn của Ngài và làm những điều đẹp ý Ngài.|並 且 我 們 一 切 所 求 的 、 就 從 他 得 著 ． 因 為 我 們 遵 守 他 的 命 令 、 行 他 所 喜 悅 的 事 。
Vả, nầy là điều răn của Ngài: là chúng ta phải tin đến danh Con Ngài, tức là Đức Chúa Jêsus Christ, và chúng ta phải yêu mến lẫn nhau như Ngài đã truyền dạy ta.|　 神 的 命 令 就 是 叫 我 們 信 他 兒 子 耶 穌 基 督 的 名 、 且 照 他 所 賜 給 我 們 的 命 令 彼 此 相 愛 。
Ai vâng giữ các điều răn Ngài thì ở trong Đức Chúa Trời, và Đức Chúa Trời ở trong người ấy; chúng ta biết Ngài ở trong lòng chúng ta, là nhờ Đức Thánh Linh mà Ngài đã ban cho chúng ta.|遵 守 　 神 命 令 的 、 就 住 在 　 神 裡 面 ． 　 神 也 住 在 他 裡 面 。 我 們 所 以 知 道 　 神 住 在 我 們 裡 面 、 是 因 他 所 賜 給 我 們 的 聖 靈 。

					I Giăng 4				|
						約翰一書 4					
Hỡi kẻ rất yêu dấu, chớ tin cậy mọi thần, nhưng hãy thử cho biết các thần có phải đến bởi Đức Chúa Trời chăng; vì có nhiều tiên tri giả đã hiện ra trong thiên hạ.|親 愛 的 弟 兄 阿 、 一 切 的 靈 、 你 們 不 可 都 信 ． 總 要 試 驗 那 些 靈 是 出 於 　 神 的 不 是 ． 因 為 世 上 有 許 多 假 先 知 已 經 出 來 了 。
Bởi điều nầy, hãy nhận biết Thánh Linh của Đức Chúa Trời: phàm thần nào xưng Đức Chúa Jêsus Christ lấy xác thịt mà ra đời, thần đó là bởi Đức Chúa Trời;|凡 靈 認 耶 穌 基 督 是 成 了 肉 身 來 的 、 就 是 出 於 　 神 的 ． 從 此 你 們 可 以 認 出 　 神 的 靈 來 。
còn thần nào không xưng Đức Chúa Jêsus, chẳng phải bởi Đức Chúa Trời. Đó là thần của Kẻ địch lại Đấng Christ, mà các con đã nghe rằng hầu đến, và hiện nay đã ở trong thế gian rồi.|凡 靈 不 認 耶 穌 、 就 不 是 出 於 　 神 ． 這 是 那 敵 基 督 者 的 靈 ． 你 們 從 前 聽 見 他 要 來 ． 現 在 已 經 在 世 上 了 。
Hỡi các con cái bé mọn, phần các con, là thuộc về Đức Chúa Trời, đã thắng được họ rồi, vì Đấng ở trong các con là lớn hơn kẻ ở trong thế gian.|小 子 們 哪 、 你 們 是 屬 　 神 的 、 並 且 勝 了 他 們 ． 因 為 那 在 你 們 裡 面 的 、 比 那 在 世 界 上 的 更 大 。
Họ thuộc về thế gian, cho nên nói theo như thế gian, và người thế gian nghe họ.|他 們 是 屬 世 界 的 ． 所 以 論 世 界 的 事 、 世 人 也 聽 從 他 們 。
Chúng ta thuộc về Đức Chúa Trời: ai nhìn biết Đức Chúa Trời thì nghe chúng ta; còn ai chẳng hề thuộc về Đức Chúa Trời, thì chẳng nghe chúng ta. Ay bởi đó chúng ta nhìn biết thần chân thật và thần sai lầm.|我 們 是 屬 　 神 的 ． 認 識 　 神 的 就 聽 從 我 們 ． 不 屬 　 神 的 就 不 聽 從 我 們 ． 從 此 我 們 可 以 認 出 真 理 的 靈 、 和 謬 妄 的 靈 來 。
Hỡi kẻ rất yêu dấu, chúng ta hãy yêu mến lẫn nhau; vì sự yêu thương đến từ Đức Chúa Trời, kẻ nào yêu, thì sanh từ Đức Chúa Trời và nhìn biết Đức Chúa Trời.|親 愛 的 弟 兄 阿 、 我 們 應 當 彼 此 相 愛 ． 因 為 愛 是 從 　 神 來 的 ． 凡 有 愛 心 的 、 都 是 由 　 神 而 生 、 並 且 認 識 　 神 。
Ai chẳng yêu, thì không biết Đức Chúa Trời; vì Đức Chúa Trời là sự yêu thương.|沒 有 愛 心 的 、 就 不 認 識 　 神 ． 因 為 　 神 就 是 愛 。
Lòng Đức Chúa Trời yêu chúng ta đã bày tỏ ra trong điều nầy: Đức Chúa Trời đã sai Con một Ngài đến thế gian, đặng chúng ta nhờ Con được sống.|　 神 差 他 獨 生 子 到 世 間 來 、 使 我 們 藉 著 他 得 生 、 　 神 愛 我 們 的 心 、 在 此 就 顯 明 了 。
Nầy sự yêu thương ở tại đây: ấy chẳng phải chúng ta đã yêu Đức Chúa Trời, nhưng Ngài đã yêu chúng ta, và sai Con Ngài làm của lễ chuộc tội chúng ta.|不 是 我 們 愛 　 神 、 乃 是 　 神 愛 我 們 、 差 他 的 兒 子 、 為 我 們 的 罪 作 了 挽 回 祭 、 這 就 是 愛 了 。
Hỡi kẻ rất yêu dấu, nếu Đức Chúa Trời đã yêu chúng ta dường ấy, thì chúng ta cũng phải yêu nhau.|親 愛 的 弟 兄 阿 、 　 神 既 是 這 樣 愛 我 們 、 我 們 也 當 彼 此 相 愛 。
Chưa hề có ai thấy Đức Chúa Trời; nếu chúng ta yêu nhau, thì Đức Chúa Trời ở trong chúng ta, và sự yêu mến Ngài được trọn vẹn trong chúng ta.|從 來 沒 有 人 見 過 　 神 ． 我 們 若 彼 此 相 愛 、 　 神 就 住 在 我 們 裡 面 、 愛 他 的 心 在 我 們 裡 面 得 以 完 全 了 ．
Bởi điều nầy chúng ta biết mình ở trong Ngài và Ngài ở trong chúng ta, là Ngài đã ban Thánh Linh Ngài cho chúng ta.|　 神 將 他 的 靈 賜 給 我 們 、 從 此 就 知 道 我 們 是 住 在 他 裡 面 、 他 也 住 在 我 們 裡 面 。
Chúng ta lại đã thấy và làm chứng rằng Đức Chúa Cha đã sai Đức Chúa Con đặng làm Cứu Chúa thế gian.|父 差 子 作 世 人 的 救 主 、 這 是 我 們 所 看 見 且 作 見 證 的 。
Ví bằng có ai xưng Đức Chúa Jêsus là Con Đức Chúa Trời, thì Đức Chúa Trời ở trong người, và người ở trong Đức Chúa Trời.|凡 認 耶 穌 為 　 神 兒 子 的 、 　 神 就 住 在 他 裡 面 、 他 也 住 在 　 神 裡 面 。
Chúng ta đã biết và tin sự yêu thương của Đức Chúa Trời đối với chúng ta. Đức Chúa Trời tức là sự yêu thương, ai ở trong sự yêu thương, là ở trong Đức Chúa Trời, và Đức Chúa Trời ở trong người ấy.|　 神 愛 我 們 的 心 、 我 們 也 知 道 也 信 。 　 神 就 是 愛 ． 住 在 愛 裡 面 的 、 就 是 住 在 　 神 裡 面 、 　 神 也 住 在 他 裡 面 。
Nầy vì sao mà sự yêu thương được nên trọn vẹn trong chúng ta, hầu cho chúng ta được lòng mạnh bạo trong ngày xét đoán, ấy là Chúa thể nào thì chúng ta cũng thể ấy trong thế gian nầy.|這 樣 、 愛 在 我 們 裡 面 得 以 完 全 、 我 們 就 可 以 在 審 判 的 日 子 、 坦 然 無 懼 ． 因 為 他 如 何 、 我 們 在 這 世 上 也 如 何 。
Quyết chẳng có điều sợ hãi trong sự yêu thương, nhưng sự yêu thương trọn vẹn thì cắt bỏ sự sợ hãi; vì sự sợ hãi có hình phạt, và kẻ đã sợ hãi thì không được trọn vẹn trong sự yêu thương.|愛 裡 沒 有 懼 怕 ． 愛 既 完 全 、 就 把 懼 怕 除 去 ． 因 為 懼 怕 裡 含 著 刑 罰 ． 懼 怕 的 人 在 愛 裡 未 得 完 全 。
Chúng ta yêu, vì Chúa đã yêu chúng ta trước.|我 們 愛 、 因 為 　 神 先 愛 我 們 。
Vì có ai nói rằng: Ta yêu Đức Chúa Trời, mà lại ghét anh em mình, thì là kẻ nói dối; vì kẻ nào chẳng yêu anh em mình thấy, thì không thể yêu Đức Chúa Trời mình chẳng thấy được.|人 若 說 、 我 愛 　 神 、 卻 恨 他 的 弟 兄 、 就 是 說 謊 話 的 ． 不 愛 他 所 看 見 的 弟 兄 、 就 不 能 愛 沒 有 看 見 的 　 神 。 〔 有 古 卷 作 怎 能 愛 沒 有 看 見 的 　 神 呢 〕
Chúng ta đã nhận nơi Ngài điều răn nầy: Ai yêu Đức Chúa Trời, thì cũng phải yêu anh em mình.|愛 　 神 的 、 也 當 愛 弟 兄 、 這 是 我 們 從 　 神 所 受 的 命 令 。

					I Giăng 5				|
						約翰一書 5					
Ai tin Đức Chúa Jêsus là Đấng Christ, thì sanh bởi Đức Chúa Trời; và ai yêu Đức Chúa Trời là Đấng đã sanh ra, thì cũng yêu kẻ đã sanh ra bởi Ngài.|凡 信 耶 穌 是 基 督 的 、 都 是 從 　 神 而 生 ． 凡 愛 生 他 之 　 神 的 、 也 必 愛 從 　 神 生 的 。
Chúng ta biết mình yêu con cái Đức Chúa Trời, khi chúng ta yêu Đức Chúa Trời và giữ vẹn các điều răn Ngài.|我 們 若 愛 　 神 、 又 遵 守 他 的 誡 命 、 從 此 就 知 道 我 們 愛 　 神 的 兒 女 。
