
					Cô-lô-se 1				|
nhưng bây giờ Đức Chúa Trời đã nhờ sự chết của Con Ngài chịu lấy trong thân thể của xác thịt mà khiến anh em hòa thuận, đặng làm cho anh em đứng trước mặt Ngài cách thánh sạch không vết, không chỗ trách được;|但 如 今 他 藉 著 基 督 的 肉 身 受 死 、 叫 你 們 與 自 己 和 好 、 都 成 了 聖 潔 、 沒 有 瑕 疵 、 無 可 責 備 、 把 你 們 引 到 自 己 面 前 。
miễn là anh em tin Chúa cách vững vàng không núng, chẳng hề dời khỏi sự trông cậy đã truyền ra bởi đạo Tin Lành mà anh em đã nghe, là đạo được giảng ra giữa mọi vật dựng nên ở dưới trời, và chính tôi, Phao-lô, là kẻ giúp việc của đạo ấy.|只 要 你 們 在 所 信 的 道 上 恆 心 、 根 基 穩 固 、 堅 定 不 移 、 不 至 被 引 動 失 去 〔 原 文 作 離 開 〕 福 音 的 盼 望 ． 這 福 音 就 是 你 們 所 聽 過 的 、 也 是 傳 與 普 天 下 萬 人 聽 的 ． 〔 萬 人 原 文 作 凡 受 造 的 〕 我 保 羅 也 作 了 這 福 音 的 執 事 。
Nay tôi lấy làm vui vẻ về sự tôi đã chịu khổ sở vì anh em, tôi lại vì thân thể Đấng Christ, là Hội thánh, mà đem xác thịt mình chịu hết các điều còn lại trong sự thương khó của Ngài.|現 在 我 為 你 們 受 苦 、 倒 覺 歡 樂 、 並 且 為 基 督 的 身 體 、 就 是 為 教 會 、 要 在 我 肉 身 上 補 滿 基 督 患 難 的 缺 欠 。
Tôi làm kẻ giúp việc của Hội thánh đó, bởi sự phân phát của Đức Chúa Trời, là Đấng giao cho tôi cái phần việc truyền đạo Chúa cho anh em cách trọn vẹn,|我 照 　 神 為 你 們 所 賜 我 的 職 份 、 作 了 教 會 的 執 事 、 要 把 　 神 的 道 理 傳 得 全 備 ．
tức là sự mầu nhiệm đã giấu kín trải các đời các kiếp, mà nay tỏ ra cho các thánh đồ Ngài.|這 道 理 就 是 歷 世 歷 代 所 隱 藏 的 奧 秘 、 但 如 今 向 他 的 聖 徒 顯 明 了 ．
Vì Đức Chúa Trời muốn khiến họ biết sự giàu vinh hiển của sự mầu nhiệm đó ở giữa dân ngoại là thể nào, nghĩa là Đấng Christ ở trong anh em, là sự trông cậy về vinh hiển.|　 神 願 意 叫 他 們 知 道 、 這 奧 秘 在 外 邦 人 中 有 何 等 豐 盛 的 榮 耀 ． 就 是 基 督 在 你 們 心 裡 成 了 有 榮 耀 的 盼 望 ．
Ay là Ngài mà chúng tôi rao giảng, lấy mọi sự khôn ngoan răn bảo mọi người, dạy dỗ mọi người, hầu cho bày tỏ mọi người trở nên trọn vẹn trong Đấng Christ ra trước mặt Đức Chúa Trời.|我 們 傳 揚 他 、 是 用 諸 般 的 智 慧 、 勸 戒 各 人 、 教 導 各 人 ． 要 把 各 人 在 基 督 裡 完 完 全 全 的 引 到 　 神 面 前 ．
Ay cũng là vì đó mà tôi làm việc, nhờ Ngài giúp đỡ mà chiến đấu, là sức hành động cách có quyền trong tôi.|我 也 為 此 勞 苦 、 照 著 他 在 我 裡 面 運 用 的 大 能 、 盡 心 竭 力 。

					Cô-lô-se 2				|
						歌羅西書 2					
Vả, tôi muốn anh em biết dường nào tôi hết sức chiến tranh cho anh em, cho những người ở Lao-đi-xê, và cho những kẻ không thấy mặt tôi về phần xác,|我 願 意 你 們 曉 得 我 為 你 們 和 老 底 嘉 人 、 並 一 切 沒 有 與 我 親 自 見 面 的 人 、 是 何 等 的 盡 心 竭 力 ．
hầu cho lòng những kẻ ấy được yên ủi, và lấy sự yêu thương mà liên hiệp, đặng có nhiều sự thông biết đầy dẫy chắc chắn, đến nỗi có thể hiểu sự mầu nhiệm của Đức Chúa Trời, tức là Đấng Christ,|要 叫 他 們 的 心 得 安 慰 、 因 愛 心 互 相 聯 絡 、 以 致 豐 豐 足 足 在 悟 性 中 有 充 足 的 信 心 、 使 他 們 真 知 　 神 的 奧 秘 、 就 是 基 督 ．
mà trong Ngài đã giấu kín mọi sự quí báu về khôn ngoan thông sáng.|所 積 蓄 的 一 切 智 慧 知 識 、 都 在 他 裡 面 藏 著 。
Tôi nói như vậy, hầu cho chẳng ai lấy lời dỗ dành mà lừa dối anh em.|我 說 這 話 、 免 得 有 人 用 花 言 巧 語 迷 惑 你 們 。
Vì dẫu thân tôi xa cách, nhưng tâm thần tôi vẫn ở cùng anh em, thấy trong anh em có thứ tự hẳn hoi và đức tin vững vàng đến Đấng Christ, thì tôi mừng rỡ lắm.|我 身 子 雖 與 你 們 相 離 、 心 卻 與 你 們 同 在 、 見 你 們 循 規 蹈 矩 、 信 基 督 的 心 也 堅 固 、 我 就 歡 喜 了 。
Anh em đã nhận Đức Chúa Jêsus Christ thể nào, thì hãy bước đi trong Ngài thể ấy;|你 們 既 然 接 受 了 主 基 督 耶 穌 、 就 當 遵 他 而 行 ．
hãy châm rễ và lập nền trong Ngài, lấy đức tin làm cho bền vững, tùy theo anh em đã được dạy dỗ, và hãy dư dật trong sự cảm tạ.|在 他 裡 面 生 根 建 造 、 信 心 堅 固 、 正 如 你 們 所 領 的 教 訓 、 感 謝 的 心 也 更 增 長 了 。
Hãy giữ chừng, kẻo có ai lấy triết học và lời hư không, theo lời truyền khẩu của loài người, sơ học của thế gian, không theo Đấng Christ, mà bắt anh em phục chăng.|你 們 要 謹 慎 、 恐 怕 有 人 用 他 的 理 學 、 和 虛 空 的 妄 言 、 不 照 著 基 督 、 乃 照 人 間 的 遺 傳 、 和 世 上 的 小 學 、 就 把 你 們 擄 去 ．
Vì sự đầy dẫy của bổn tánh Đức Chúa Trời thảy đều ở trong Đấng ấy như có hình.|因 為 　 神 本 性 一 切 的 豐 盛 、 都 有 形 有 體 的 居 住 在 基 督 裡 面 ．
Anh em lại nhờ Ngài mà có được đầy dẫy mọi sự, vì Ngài là đầu của mọi quyền cai trị và mọi thế lực.|你 們 在 他 裡 面 也 得 了 豐 盛 。 他 是 各 樣 執 政 掌 權 者 的 元 首 ．
Anh em cũng chịu cắt bì trong Ngài, không phải phép cắt bì bởi tay người ta làm ra, nhưng là phép cắt bì của Đấng Christ, là lột bỏ tánh xác thịt của chúng ta.|你 們 在 他 裡 面 、 也 受 了 不 是 人 手 所 行 的 割 禮 、 乃 是 基 督 使 你 們 脫 去 肉 體 情 慾 的 割 禮 ．
Anh em đã bởi phép báp-tem được chôn với Ngài, thì cũng được sống lại với Ngài bởi đức tin trong quyền phép Đức Chúa Trời, là Đấng đã khiến Ngài từ kẻ chết sống lại.|你 們 既 受 洗 與 他 一 同 埋 葬 、 也 就 在 此 與 他 一 同 復 活 ． 都 因 信 那 叫 他 從 死 裡 復 活 　 神 的 功 用 。
Khi anh em đã chết bởi tội lỗi mình và sự xác thịt mình không chịu cắt bì, thì Đức Chúa Trời đã khiến anh em sống lại với Đấng Christ, vì đã tha thứ hết mọi tội chúng ta:|你 們 從 前 在 過 犯 、 和 未 受 割 禮 的 肉 體 中 死 了 、 　 神 赦 免 了 你 們 〔 或 作 我 們 〕 一 切 過 犯 、 便 叫 你 們 與 基 督 一 同 活 過 來 ．
Ngài đã xóa tờ khế lập nghịch cùng chúng ta, các điều khoản trái với chúng ta nữa, cùng phá hủy tờ khế đó mà đóng đinh trên cây thập tự;|又 塗 抹 了 在 律 例 上 所 寫 、 攻 擊 我 們 有 礙 於 我 們 的 字 據 、 把 他 撤 去 、 釘 在 十 字 架 上 ．
Ngài đã truất bỏ các quyền cai trị cùng các thế lực, dùng thập tự giá chiến thắng chúng nó, và nộp ra tỏ tường giữa thiên hạ.|既 將 一 切 執 政 的 掌 權 的 擄 來 、 明 顯 給 眾 人 看 、 就 仗 著 十 字 架 誇 勝 。
Vì vậy, chớ có ai đoán xét anh em về của ăn uống, hoặc ngày lễ, hoặc ngày mặt trăng mới, hoặc ngày Sa-bát,|所 以 不 拘 在 飲 食 上 、 或 節 期 、 月 朔 、 安 息 日 、 都 不 可 讓 人 論 斷 你 們 ．
ấy đều chỉ là bóng của các việc sẽ tới, còn hình thì ở trong Đấng Christ.|這 些 原 是 後 事 的 影 兒 ． 那 形 體 卻 是 基 督 。
Chớ để cho những kẻ kia cướp lấy phần thưởng chạy thi, là kẻ giả đò khiêm nhượng mà muốn thờ lạy các thiên sứ. Họ theo những sự mình xem thấy, và bởi tính xác thịt nổi lòng kiêu ngạo vô ích,|不 可 讓 人 因 著 故 意 謙 虛 、 和 敬 拜 天 使 、 就 奪 去 你 們 的 獎 賞 ． 這 等 人 拘 泥 在 所 見 過 的 、 〔 有 古 卷 作 這 等 人 窺 察 所 沒 有 見 過 的 〕 隨 著 自 己 的 慾 心 、 無 故 的 自 高 自 大 、
không liên lạc với đầu, là nhờ đầu đó mà cả thân thể xếp đặt kết hiệp bởi các lắt léo, và được sự sanh trưởng từ Đức Chúa Trời đến.|不 持 定 元 首 、 全 身 既 然 靠 著 他 筋 節 得 以 相 助 聯 絡 、 就 因 　 神 大 得 長 進 。
Ví bằng anh em chết với Đấng Christ về sự sơ học của thế gian, thì làm sao lại để cho những thể lệ nầy ép buột mình, như anh em còn sống trong thế gian:|你 們 若 是 與 基 督 同 死 、 脫 離 了 世 上 的 小 學 、 為 甚 麼 仍 像 在 世 俗 中 活 著 、 服 從 那 不 可 拿 、 不 可 嘗 、 不 可 摸 、 等 類 的 規 條 呢 。
Chớ lấy, chớ nếm, chớ rờ?|見 上 節
Cả sự đó hễ dùng đến thì hư nát, theo qui tắc và đạo lý loài người,|這 都 是 照 人 所 吩 咐 所 教 導 的 。 說 到 這 一 切 、 正 用 的 時 候 就 都 敗 壞 了 。
dầu bề ngoài có vẻ khôn ngoan, là bởi thờ lạy theo ý riêng, cách khiêm nhượng và khắc khổ thân thể mình; nhưng không ích gì để chống cự lòng dục của xác thịt.|這 些 規 條 、 使 人 徒 有 智 慧 之 名 、 用 私 意 崇 拜 、 自 表 謙 卑 、 苦 待 己 身 、 其 實 在 克 制 肉 體 的 情 慾 上 、 是 毫 無 功 效 。

					Cô-lô-se 3				|
						歌羅西書 3					
Vậy nếu anh em được sống lại với Đấng Christ, hãy tìm các sự ở trên trời, là nơi Đấng Christ ngồi bên hữu Đức Chúa Trời.|所 以 你 們 若 真 與 基 督 一 同 復 活 、 就 當 求 在 上 面 的 事 ． 那 裡 有 基 督 坐 在 　 神 的 右 邊 。
Hãy ham mến các sự ở trên trời, đừng ham mến các sự ở dưới đất;|你 們 要 思 念 上 面 的 事 、 不 要 思 念 地 上 的 事 。
vì anh em đã chết, sự sống mình đã giấu với Đấng Christ trong Đức Chúa Trời.|因 為 你 們 已 經 死 了 、 你 們 的 生 命 與 基 督 一 同 藏 在 　 神 裡 面 。
Khi nào Đấng Christ, là sự sống của anh em, sẽ hiện ra, bấy giờ anh em cũng sẽ hiện ra với Ngài trong sự vinh hiển.|基 督 是 我 們 的 生 命 、 他 顯 現 的 時 候 、 你 們 也 要 與 他 一 同 顯 現 在 榮 耀 裡 。
Vậy hãy làm chết các chi thể của anh em ở nơi hạ giới, tức là tà dâm, ô uế, tình dục, tham lam, tham lam chẳng khác gì thờ hình tượng:|所 以 要 治 死 你 們 在 地 上 的 肢 體 ． 就 如 淫 亂 、 污 穢 、 邪 情 、 惡 慾 、 和 貪 婪 、 貪 婪 就 與 拜 偶 像 一 樣 。
bởi những sự ấy cơn giận của Đức Chúa Trời giáng trên các con không vâng phục;|因 這 些 事 、 　 神 的 忿 怒 必 臨 到 那 悖 逆 之 子 。
lúc trước anh em sống trong những nết xấu đó, và ăn ở như vậy.|當 你 們 在 這 些 事 中 活 著 的 時 候 、 也 曾 這 樣 行 過 。
Nhưng bây giờ anh em nên trừ bỏ hết nói sự đó, tức là sự thạnh nộ, buồn giận và hung ác. Đừng nói hành ai, chớ có một lời tục tỉu nào ra từ miệng anh em.|但 現 在 你 們 要 棄 絕 這 一 切 的 事 、 以 及 惱 恨 、 忿 怒 、 惡 毒 、 〔 或 作 陰 毒 〕 毀 謗 、 並 口 中 污 穢 的 言 語 。
Chớ nói dối nhau, vì đã lột bỏ người cũ cùng công việc nó,|不 要 彼 此 說 謊 ． 因 你 們 已 經 脫 去 舊 人 、 和 舊 人 的 行 為 、
mà mặc lấy người mới là người đang đổi ra mới theo hình tượng Đấng dựng nên người ấy, đặng đạt đến sự hiểu biết đầy trọn.|穿 上 了 新 人 ． 這 新 人 在 知 識 上 漸 漸 更 新 、 正 如 造 他 主 的 形 像 ．
Tại đây không còn phân biệt người Gờ-réc hoặc người Giu-đa, người chịu cắt bì hoặc người không chịu cắt bì, người dã man hoặc người Sy-the, người tôi mọi hoặc người tự chủ; nhưng Đấng Christ là mọi sự và trong mọi sự.|在 此 並 不 分 希 利 尼 人 、 猶 太 人 、 受 割 禮 的 、 未 受 割 禮 的 、 化 外 人 、 西 古 提 人 、 為 奴 的 、 自 主 的 ． 惟 有 基 督 是 包 括 一 切 、 又 住 在 各 人 之 內 。
Vậy anh em là kẻ chọn lựa của Đức Chúa Trời, là người thánh và rất yêu dấu của Ngài, hãy có lòng thương xót. Hãy mặc lấy sự nhơn từ, khiêm nhường, mềm mại, nhịn nhục,|所 以 你 們 既 是 　 神 的 選 民 、 聖 潔 蒙 愛 的 人 、 就 要 存 〔 原 文 作 穿 下 同 〕 憐 憫 、 恩 慈 、 謙 虛 、 溫 柔 、 忍 耐 的 心 。
nếu một người trong anh em có sự gì phàn nàn với kẻ khác thì hãy nhường nhịn nhau và tha thứ nhau: như Chúa đã tha thứ anh em thể nào, thì anh em cũng phải tha thứ thể ấy.|倘 若 這 人 與 那 人 有 嫌 隙 、 總 要 彼 此 包 容 、 彼 此 饒 恕 ． 主 怎 樣 饒 恕 了 你 們 、 你 們 也 要 怎 樣 饒 恕 人 。
Nhưng trên hết mọi sự đó, phải mặc lấy lòng yêu thương, vì là dây liên lạc của sự trọn lành.|在 這 一 切 之 外 、 要 存 著 愛 心 ． 愛 心 就 是 聯 絡 全 德 的 。
Nguyền xin sự bình an của Đấng Christ cai trị trong lòng anh em, là bình an mà anh em đã được gọi đến đặng hiệp nên một thể; lại phải biết ơn.|又 要 叫 基 督 的 平 安 在 你 們 心 裡 作 主 ． 你 們 也 為 此 蒙 召 、 歸 為 一 體 ． 且 要 存 感 謝 的 心 。
Nguyền xin lời của Đấng Christ ở đầy trong lòng anh em, và anh em dư dật mọi sự khôn ngoan. Hãy dùng những ca vịnh, thơ thánh, bài hát thiêng liêng mà dạy và khuyên nhau, vì được đầy ơn Ngài nên hãy hết lòng hát khen Đức Chúa Trời.|當 用 各 樣 的 智 慧 、 把 基 督 的 道 理 、 豐 豐 富 富 的 存 在 心 裡 、 〔 或 作 當 把 基 督 的 道 理 豐 豐 富 富 的 存 在 心 裡 以 各 樣 的 智 慧 〕 用 詩 章 、 頌 詞 、 靈 歌 、 彼 此 教 導 、 互 相 勸 戒 心 被 恩 感 歌 頌 　 神 。
Mặc dầu anh em nói hãy làm, cũng phải nhơn danh Đức Chúa Jêsus mà làm mọi điều, nhờ Ngài mà tạ ơn Đức Chúa Trời, là Đức Chúa Cha.|無 論 作 甚 麼 、 或 說 話 、 或 行 事 、 都 要 奉 主 耶 穌 的 名 、 藉 著 他 感 謝 父 　 神 。
Hỡi người làm vợ, hãy vâng phục chồng mình, y như điều đó theo Chúa đáng phải nên vậy.|你 們 作 妻 子 的 、 當 順 服 自 己 的 丈 夫 、 這 在 主 裡 面 是 相 宜 的 。
Hỡi kẻ làm chồng, hãy yêu vợ mình, chớ hề ở cay nghiệt với người.|你 們 作 丈 夫 的 、 要 愛 你 們 的 妻 子 、 不 可 苦 待 他 們 。
Hỡi kẻ làm con, mọi sự hãy vâng phục cha mẹ mình, vì điều đó đẹp lòng Chúa.|你 們 作 兒 女 的 、 要 凡 事 聽 從 父 母 、 因 為 這 是 主 所 喜 悅 的 。
Hỡi kẻ làm cha, chớ hề chọc giận con cái mình, e chúng nó ngã lòng chăng.|你 們 作 父 親 的 、 不 要 惹 兒 女 的 氣 、 恐 怕 他 們 失 了 志 氣 。
Hỡi kẻ làm tôi tớ, trong mọi sự phải vâng phục kẻ làm chủ mình về phần xác, không những hầu việc trước mắt họ, như mình tìm cách cho đẹp lòng người ta, nhưng vì kính sợ Chúa, hãy lấy lòng thật thà mà hầu việc.|你 們 作 僕 人 的 、 要 凡 事 聽 從 你 們 肉 身 的 主 人 、 不 要 只 在 眼 前 事 奉 、 像 是 討 人 喜 歡 的 、 總 要 存 心 誠 實 敬 畏 主 ．
Hễ làm việc gì, hãy hết lòng mà làm, như làm cho Chúa, chớ không phải làm cho người ta,|無 論 作 甚 麼 、 都 要 從 心 裡 作 、 像 是 給 主 作 的 、 不 是 給 人 作 的 。
vì biết rằng anh em sẽ bởi Chúa mà được cơ nghiệp làm phần thưởng. Hãy hầu việc Đấng Christ, tức là Chúa.|因 你 們 知 道 從 主 那 裡 、 必 得 著 基 業 為 賞 賜 ． 你 們 所 事 奉 的 乃 是 主 基 督 。
Vì ai ăn ở bất nghĩa, sẽ lại chịu lấy sự bất nghĩa của mình không tây vị ai hết.|那 行 不 義 的 、 必 受 不 義 的 報 應 ． 主 並 不 偏 待 人 。

					Cô-lô-se 4				|
						歌羅西書 4					
Hỡi người làm chủ, hãy lấy điều công bình chánh trực đãi tôi tớ mình, vì biết rằng anh em cũng có một chủ ở trên trời.|你 們 作 主 人 的 、 要 公 公 平 平 的 待 僕 人 、 因 為 知 道 你 們 也 有 一 住 主 在 天 上 。
Phải bền đổ và tỉnh thức trong sự cầu nguyện, mà thêm sự tạ ơn vào.|你 們 要 恆 切 禱 告 、 在 此 儆 醒 感 恩 ．
Cũng hãy cầu nguyện cho chúng tôi, xin Đức Chúa Trời mở cửa cho sự giảng đạo, hầu cho tôi được rao truyền lẽ mầu nhiệm của Đấng Christ, vì lẽ đó mà tôi bị xiềng xích,|也 要 為 我 們 禱 告 、 求 　 神 給 我 們 開 傳 道 的 門 、 能 以 講 基 督 的 奧 秘 、 （ 我 為 此 被 捆 鎖 ）
lại hầu cho tôi được tỏ cho biết lẽ ấy như điều tôi phải nói.|叫 我 按 著 所 該 說 的 話 、 將 這 奧 秘 發 明 出 來 。
Hãy lấy sự khôn ngoan ăn ở với những người ngoại, và lợi dụng thì giờ.|你 們 要 愛 惜 光 陰 、 用 智 慧 與 外 人 交 往 。
Lời nói anh em phải có ân hậu theo luôn, và nêm thêm muối, hầu cho anh em biết nên đối đáp mỗi người là thể nào.|你 們 的 言 語 要 常 常 帶 著 和 氣 、 好 像 用 鹽 調 和 、 就 可 知 道 該 怎 樣 回 答 各 人 。
Ti-chi-cơ là anh em rất yêu của chúng tôi, một người tôi tớ trung thành của Chúa và bạn cùng làm việc với tôi, sẽ báo tin cho anh em về các việc của tôi|有 我 親 愛 的 兄 弟 推 基 古 要 將 我 一 切 的 事 都 告 訴 你 們 ． 他 是 忠 心 的 執 事 、 和 我 一 同 作 主 的 僕 人 。
Tôi có ý sai người đến cùng anh em, hầu cho anh em biết tình cảnh chúng tôi là thể nào, đặng người yên ủi lòng anh em.|我 特 意 打 發 他 到 你 們 那 裡 去 、 好 叫 你 們 知 道 我 們 的 光 景 、 又 叫 他 安 慰 你 們 的 心 。
Kẻ cùng đi với người là Ô-nê-sim, anh em trung tín và rất yêu của chúng tôi, tức là người đồng xứ với anh em vậy. Hai người đó sẽ nói cho biết hết mọi điều xảy ra ở đây.|我 又 打 發 一 位 親 愛 忠 心 的 兄 弟 阿 尼 西 母 同 去 ． 他 也 是 你 們 那 裡 的 人 。 他 們 要 把 這 裡 一 切 的 事 都 告 訴 你 們 。
A-ri-tạc, là bạn đồng tù với tôi, gởi lời thăm anh em, Mác, anh em chú bác với Ba-na-ba cũng vậy. Về Mác, anh em đã chịu lấy lời dạy bảo rồi; nếu người đến nơi anh em, hãy tiếp rước tử tế.|與 我 同 坐 監 的 亞 里 達 古 問 你 們 安 。 巴 拿 巴 的 表 弟 馬 可 也 問 你 們 安 。 （ 說 到 這 馬 可 、 你 們 已 經 受 了 吩 咐 ． 他 若 到 了 你 們 那 裡 、 你 們 就 接 待 他 。 ）
Giê-su gọi là Giúc-tu cũng có lời thăm anh em. Trong những người chịu cắt bì, chỉ ba người đó cùng tôi vì nước Đức Chúa Trời mà làm việc, và các người ấy là một sự yên ủi lòng tôi.|耶 數 又 稱 為 猶 士 都 、 也 問 你 們 安 ． 奉 割 禮 的 人 中 、 只 有 這 三 個 人 、 是 為 　 神 的 國 與 我 一 同 作 工 的 、 也 是 叫 我 心 裡 得 安 慰 的 。
Ê-pháp-ra, người hàng xứ với anh em, tôi tớ của Đức Chúa Jêsus Christ, có lời chào anh em; người vì anh em chiến đấu không thôi trong khi cầu nguyện, để anh em trở nên toàn vẹn và trọn niềm vâng phục mọi ý muốn của Đức Chúa Trời.|有 你 們 那 裡 的 人 、 作 基 督 耶 穌 僕 人 的 以 巴 弗 問 你 們 安 。 他 在 禱 告 之 間 、 常 為 你 們 竭 力 的 祈 求 、 願 你 們 在 　 神 一 切 的 旨 意 上 、 得 以 完 全 、 信 心 充 足 、 能 站 立 得 穩 。
Vì tôi làm chứng cho người rằng, người làm việc rất là khó nhọc và anh em, lại vì người Lao-đi-xê và người Hi-ê-ra-bô-li nữa.|他 為 你 們 和 老 底 嘉 並 希 拉 波 立 的 弟 兄 、 多 多 的 勞 苦 ． 這 是 我 可 以 給 他 作 見 證 的 。
