
					I Sa-mu-ên 1				|
An-ne lấy làm sầu khổ trong lòng, vừa cầu khẩn Đức Giê-hô-va, vừa tuôn tràn giọt lệ.|哈 拿 心 裡 愁 苦 、 就 痛 痛 哭 泣 、 祈 禱 耶 和 華 ．
Nàng hứa nguyện rằng: Oi, Đức Giê-hô-va của vạn quân, nếu Ngài đoái xem nỗi sầu khổ của con đòi Ngài, nhớ lại nó chẳng quên, và ban cho con đòi Ngài một đứa con trai, thì tôi sẽ phú dâng nó trọn đời cho Đức Giê-hô-va, và dao cạo sẽ chẳng đưa qua ngang đầu nó.|許 願 說 、 萬 軍 之 耶 和 華 阿 、 你 若 垂 顧 婢 女 的 苦 情 、 眷 念 不 忘 婢 女 、 賜 我 一 個 兒 子 、 我 必 使 他 終 身 歸 與 耶 和 華 、 不 用 剃 頭 刀 剃 他 的 頭 。
Vì nàng cầu nguyện lâu dài trước mặt Đức Giê-hô-va, Hê-li chăm xem miệng nàng;|哈 拿 在 耶 和 華 面 前 不 住 的 祈 禱 、 以 利 定 睛 看 他 的 嘴 。
vả, An-ne nói trong lòng, chỉ nhóp nhép miệng mà thôi, không có ai nghe tiếng nàng; nên Hê-li tưởng nàng say,|原 來 哈 拿 心 中 默 禱 、 只 動 嘴 唇 不 出 聲 音 、 因 此 以 利 以 為 他 喝 醉 了 。
bèn hỏi rằng: Chừng nào nàng mới hết say? Hãy đi giã rượu đi.|以 利 對 他 說 、 你 要 醉 到 幾 時 呢 、 你 不 應 該 喝 酒 。
An-ne thưa rằng: Chẳng phải vậy, chúa; tôi vốn một đờn bà có lòng buồn bực, chẳng uống rượu hay là vật gì uống say; nhưng tôi giãi bày lòng tôi ra trước mặt Đức Giê-hô-va.|哈 拿 回 答 說 、 主 阿 、 不 是 這 樣 、 我 是 心 裡 愁 苦 的 婦 人 、 清 酒 濃 酒 都 沒 有 喝 、 但 在 耶 和 華 面 前 傾 心 吐 意 。
Chớ tưởng con đòi của ông là một người đờn bà gian ác; vì nỗi đau đớn và ưu phiền quá độ của tôi bắt tôi phải nói đến bây giờ.|不 要 將 婢 女 看 作 不 正 經 的 女 子 ． 我 因 被 人 激 動 愁 苦 太 多 、 所 以 祈 求 到 如 今 。
Hê-li bèn tiếp rằng: Hãy đi bình yên, nguyện Đức Chúa Trời của Y-sơ-ra-ên nhậm lời nàng đã cầu xin cùng Ngài!|以 利 說 、 你 可 以 平 平 安 安 的 回 去 、 願 以 色 列 的 　 神 允 准 你 向 他 所 求 的 。
Nàng thưa rằng: Nguyện con đòi ông được ơn trước mắt ông! Đoạn, người nữ lui ra, ăn, và nét mặt nàng chẳng còn ra ưu sầu nữa.|哈 拿 說 、 願 婢 女 在 你 眼 前 蒙 恩 ． 於 是 婦 人 走 去 喫 飯 、 面 上 再 不 帶 愁 容 了 。
Qua ngày sau vợ chồng dậy sớm, thờ lạy trước mặt Đức Giê-hô-va, đoạn trở về nhà mình tại Ra-ma. En-ca-na ăn ở cùng An-ne, là vợ mình; Đức Giê-hô-va bèn nhớ đến nàng.|次 日 清 早 他 們 起 來 、 在 耶 和 華 面 前 敬 拜 、 就 回 拉 瑪 、 到 了 家 裡 、 以 利 加 拿 和 妻 哈 拿 同 房 、 耶 和 華 顧 念 哈 拿 、
Đương trong năm, An-ne thọ thai và sanh một con trai, đặt tên là Sa-mu-ên, mà nói rằng: Tôi đã cầu xin nó nơi Đức Giê-hô-va.|哈 拿 就 懷 孕 ． 日 期 滿 足 生 了 一 個 兒 子 、 給 他 起 名 叫 撒 母 耳 、 說 、 這 是 我 從 耶 和 華 那 裡 求 來 的 。
En-ca-na, chồng nàng, và cả nhà người đi lên đặng dâng cho Đức Giê-hô-va của lễ hằng năm và làm xong sự hứa nguyện mình.|以 利 加 拿 和 他 全 家 都 上 示 羅 去 、 要 向 耶 和 華 獻 年 祭 、 並 還 所 許 的 願 。
Nhưng An-ne không đi lên, vì nói cùng chồng nàng rằng: Khi đứa trẻ dứt sữa, tôi sẽ dẫn nó lên, để nó ra mắt Đức Giê-hô-va, và ở đó luôn luôn.|哈 拿 卻 沒 有 上 去 、 對 丈 夫 說 、 等 孩 子 斷 了 奶 、 我 便 帶 他 上 去 朝 見 耶 和 華 、 使 他 永 遠 住 在 那 裡 。
En-ca-na, chồng nàng, đáp rằng: Hãy làm theo ý nàng cho là phải, ở lại đây cho đến chừng nàng dứt sữa nó. Chỉn nguyện Đức Giê-hô-va làm ứng nghiệm lời hứa của Ngài! Vậy, nàng ở lại nhà, cho con bú đến lúc dứt sữa.|他 丈 夫 以 利 加 拿 說 、 就 隨 你 的 意 行 罷 、 可 以 等 兒 子 斷 了 奶 ． 但 願 耶 和 華 應 驗 他 的 話 。 於 是 婦 人 在 家 裡 乳 養 兒 子 、 直 到 斷 了 奶 。
Vừa khi dứt sữa, nàng bèn dẫn nó theo mình đến đền của Đức Giê-hô-va tại Si-lô, cùng đem theo ba con bò đực, một Ê-pha bột mì, và một bầu rượu. Đứa trẻ hãy còn nhỏ lắm.|既 斷 了 奶 、 就 把 孩 子 帶 上 示 羅 、 到 了 耶 和 華 的 殿 、 又 帶 了 三 隻 公 牛 、 一 伊 法 細 麵 、 一 皮 袋 酒 ． 那 時 孩 子 還 小 。
Họ giết con bò đực, rồi dẫn đứa trẻ đến Hê-li.|宰 了 一 隻 公 牛 、 就 領 孩 子 到 以 利 面 前 。
Nàng bèn nói cùng người rằng: Xin lỗi, chúa! xưa có người đờn bà đứng tại đây, gần bên ông, đặng cầu khẩn Đức Giê-hô-va, tôi chỉ sanh mạng ông mà thề rằng tôi là người đó.|婦 人 說 、 主 阿 、 我 敢 在 你 面 前 起 誓 、 從 前 在 你 這 裡 站 著 祈 求 耶 和 華 的 那 婦 人 、 就 是 我 ．
Ay vì đứa trẻ nầy mà tôi cầu nguyện. Đức Giê-hô-va đã nhậm lời tôi đã cầu xin cùng Ngài.|我 祈 求 為 要 得 這 孩 子 、 耶 和 華 已 將 我 所 求 的 賜 給 我 了 。
Vì vậy, tôi cũng dâng nó cho Đức Giê-hô-va; tôi cho Đức Giê-hô-va mượn nó trọn đời nó. Đoạn mẹ con đều thờ lạy tại đó trước mặt Đức Giê-hô-va.|所 以 我 將 這 孩 子 歸 與 耶 和 華 、 使 他 終 身 歸 與 耶 和 華 。 於 是 在 那 裡 敬 拜 耶 和 華 。

					I Sa-mu-ên 2				|
						撒母耳記上 2					
Bấy giờ An-ne cầu nguyện mà rằng: Đức Giê-hô-va khiến lòng tôi khấp khởi vui mừng, Và đỡ cho mặt tôi ngước lên. Miệng tôi thách đố kẻ thù nghịch tôi; Vì sự chửng cứu Ngài làm cho tôi đầy khoái lạc.|哈 拿 禱 告 說 、 我 的 心 因 耶 和 華 快 樂 ． 我 的 角 因 耶 和 華 高 舉 ． 我 的 口 向 仇 敵 張 開 ． 我 因 耶 和 華 的 救 恩 歡 欣 。
Chẳng ai thánh như Đức Giê-hô-va; Chẳng có Chúa nào khác hơn Ngài! Không có hòn đá nào như Đức Chúa Trời của chúng ta.|只 有 耶 和 華 為 聖 、 除 他 以 外 沒 有 可 比 的 、 也 沒 有 磐 石 像 我 們 的 　 神 。
Thôi, chớ nói những lời kiêu ngạo, Chớ để những lời xấc xược ra từ miệng các ngươi nữa; Vì Giê-hô-va là Đức Chúa Trời thông biết mọi điều, Ngài cân nhắc mọi việc làm của người.|人 不 要 誇 口 說 驕 傲 的 話 、 也 不 要 出 狂 妄 的 言 語 、 因 耶 和 華 是 大 有 智 識 的 　 神 、 人 的 行 為 被 他 衡 量 。
Cây cung của kẻ dõng sĩ đã gãy, Còn người yếu mòn thắt lưng bằng sức lực.|勇 士 的 弓 都 已 折 斷 ． 跌 倒 的 人 以 力 量 束 腰 。
Kẻ vốn no nê phải làm mướn đặng kiếm ăn, Và người xưa đói đã được no nê, Người đờn bà vốn son sẻ, sanh sản bảy lần, Còn người có nhiều con, ra yếu mỏn.|素 來 飽 足 的 、 反 作 傭 人 求 食 、 飢 餓 的 、 再 不 飢 餓 ． 不 生 育 的 、 生 了 七 個 兒 子 ． 多 有 兒 女 的 、 反 倒 衰 微 。
Đức Giê-hô-va khiến cho chết, cho sống; Ngài đem người xuống mồ mả, Rồi khiến lại lên khỏi đó.|耶 和 華 使 人 死 、 也 使 人 活 ． 使 人 下 陰 間 、 也 使 人 往 上 升 。
Đức Giê-hô-va làm cho nghèo nàn, và làm cho giàu có; Ngài hạ người xuống, lại nhắc người lên, Đem kẻ khốn cùng ra khỏi bụi đất, Và rút người nghèo khổ ra ngoài đống phân, Đặng để họ ngồi bên các quan trưởng, Cùng ban cho một ngôi vinh hiển làm cơ nghiệp;|他 使 人 貧 窮 、 也 使 人 富 足 ． 使 人 卑 微 、 也 使 人 高 貴 。
Vì các trụ của trái đất thuộc về Đức Giê-hô-va: Ngài đã đặt thế gian ở trên đó.|他 從 灰 塵 裡 抬 舉 貧 寒 人 、 從 糞 堆 中 提 拔 窮 乏 人 、 使 他 們 與 王 子 同 坐 、 得 著 榮 耀 的 座 位 ． 地 的 柱 子 屬 於 耶 和 華 、 他 將 世 界 立 在 其 上 。
Đức Giê-hô-va sẽ giữ chơn của các thánh Ngài; Còn những kẻ ác sẽ bị hư mất nơi tăm tối; Vì chẳng do sức riêng mình mà người nào được thắng.|他 必 保 護 聖 民 的 腳 步 、 使 惡 人 在 黑 暗 中 寂 然 不 動 、 人 都 不 能 靠 力 量 得 勝 。
Kẻ nào chống cãi Đức Giê-hô-va sẽ bị phá tan! Từ trên trời cao, Đức Giê-hô-va sẽ sấm sét cùng chúng nó. Ngài sẽ đoán xét bốn phương của đất, Ban thế lực cho vua Ngài, Và làm cho quyền năng Đấng chịu xức dầu của Ngài ra lớn.|與 耶 和 華 爭 競 的 、 必 被 打 碎 、 耶 和 華 必 從 天 上 以 雷 攻 擊 他 ． 必 審 判 地 極 的 人 ． 將 力 量 賜 與 所 立 的 王 、 高 舉 受 膏 者 的 角 。
En-ca-na trở về nhà mình tại Ra-ma, còn đứa trẻ ở lại phục sự Đức Giê-hô-va trước mặt Hê-li, thầy tế lễ.|以 利 加 拿 往 拉 瑪 回 家 去 了 。 那 孩 子 在 祭 司 以 利 面 前 事 奉 耶 和 華 。
Hai con trai của Hê-li là người gian tà, chẳng nhận biết Đức Giê-hô-va.|以 利 的 兩 個 兒 子 是 惡 人 、 不 認 識 耶 和 華 。
Các thầy tế lễ thường đãi dân sự như vầy: Phàm khi có ai dâng của lễ, thì tôi tớ thầy tế lễ đến lúc người ta nấu thịt, tay cầm chĩa ba,|這 二 祭 司 待 百 姓 是 這 樣 的 規 矩 ． 凡 有 人 獻 祭 、 正 煮 肉 的 時 候 、 祭 司 的 僕 人 就 來 、 手 拿 三 齒 的 叉 子 、
chích vào hoặc trong cái vạc, cái chảo, cái nồi, hay là trong chảo nhỏ. Hễ món nào dính chĩa ba, thì thầy tế lễ bèn lấy. Đó là cách họ đối với hết thảy dân Y-sơ-ra-ên đến Si-lô.|將 叉 子 往 罐 裡 、 或 鼎 裡 、 或 釜 裡 、 或 鍋 裡 一 插 、 插 上 來 的 肉 、 祭 司 都 取 了 去 ． 凡 上 到 示 羅 的 以 色 列 人 、 他 們 都 是 這 樣 看 待 。
Lại trước khi xông mỡ, kẻ tôi tớ thầy tế lễ cũng đến nói cùng người dâng của lễ rằng: Hãy đưa thịt để nướng cho thầy tế lễ; người không nhậm thịt luộc của ngươi, nhưng chỉ nhậm thịt sống mà thôi.|又 在 未 燒 脂 油 以 前 、 祭 司 的 僕 人 就 來 對 獻 祭 的 人 說 、 將 肉 給 祭 司 叫 他 烤 罷 ． 他 不 要 煮 過 的 、 要 生 的 。
Ví bằng người đó đáp rằng; Người ta sẽ xông mỡ, kế sau sẽ lấy phần chi đẹp ý ngươi, thì kẻ tôi tớ đó nói: Không, người phải cho tức thì, bằng không, ta sẽ giựt lấy.|獻 祭 的 人 若 說 、 必 須 先 燒 脂 油 、 然 後 你 可 以 隨 意 取 肉 ． 僕 人 就 說 、 你 立 時 給 我 、 不 然 我 便 搶 去 。
Tội lỗi của hai người trai trẻ nầy lấy làm rất lớn trước mặt Đức Giê-hô-va; vì họ gây cho người ta khinh bỉ các của tế lễ dâng cho Đức Giê-hô-va.|如 此 、 這 二 少 年 人 的 罪 在 耶 和 華 面 前 甚 重 了 、 因 為 他 們 藐 視 耶 和 華 的 祭 物 。 〔 或 作 他 們 使 人 厭 棄 給 耶 和 華 獻 祭 〕
Còn Sa-mu-ên phục sự trước mặt Đức Giê-hô-va. Người hãy còn thơ ấu, thắt lưng một cái ê-phót bằng vải gai.|那 時 撒 母 耳 還 是 孩 子 、 穿 著 細 麻 布 的 以 弗 得 、 侍 立 在 耶 和 華 面 前 。
Mỗi năm, mẹ người may cho một cái áo dài nhỏ, đem ban cho người trong khi lên với chồng đặng dâng của lễ hằng năm.|他 母 親 每 年 為 他 作 一 件 小 外 袍 、 同 著 丈 夫 上 來 獻 年 祭 的 時 候 、 帶 來 給 他 。
Hê-li chúc phước cho En-ca-na và vợ người, rằng: Cầu xin Đức Giê-hô-va ban cho ngươi những con cái bởi người nữ nầy, để đổi lấy đứa mà nàng đã cầu nơi Đức Giê-hô-va! Vợ chồng bèn trở về nhà mình.|以 利 為 以 利 加 拿 和 他 的 妻 祝 福 、 說 、 願 耶 和 華 由 這 婦 人 再 賜 你 後 裔 、 代 替 你 從 耶 和 華 求 來 的 孩 子 ． 他 們 就 回 本 鄉 去 了 。
Đức Giê-hô-va đoái xem An-ne: nàng thọ thai và sanh ba con trai và hai con gái, còn gã trai trẻ Sa-mu-ên khôn lớn trước mặt Đức Giê-hô-va.|耶 和 華 眷 顧 哈 拿 、 他 就 懷 孕 生 了 三 個 兒 子 、 兩 個 女 兒 。 那 孩 子 撒 母 耳 、 在 耶 和 華 面 前 漸 漸 長 大 。
Vả, Hê-li tuổi đã rất cao, được hay mọi điều hai con trai mình làm cho cả Y-sơ-ra-ên và thế nào họ nằm cùng các người nữ hầu việc tại cửa hội mạc.|以 利 年 甚 老 邁 ． 聽 見 他 兩 個 兒 子 待 以 色 列 眾 人 的 事 、 又 聽 見 他 們 與 會 幕 門 前 伺 候 的 婦 人 苟 合 。
Người nói cùng chúng nó rằng: Sao chúng bay làm như vậy? Vì ta đã nghe cả dân sự nói về các việc xấu của chúng bay.|他 就 對 他 們 說 、 你 們 為 何 行 這 樣 的 事 呢 ． 我 從 這 眾 百 姓 聽 見 你 們 的 惡 行 。
Chẳng khá làm như vậy, hỡi con; điều ta nghe về việc bay vốn không tốt lành; bay khiến dân sự của Đức Giê-hô-va phạm tội.|我 兒 阿 、 不 可 這 樣 、 我 聽 見 你 們 的 風 聲 不 好 、 你 們 使 耶 和 華 的 百 姓 犯 了 罪 。
Nếu người này phạm tội cùng người khác, Đức Giê-hô-va sẽ đoán xét nó; nhược bằng người phạm tội cùng Đức Giê-hô-va, ai sẽ cầu thay cho? Song chúng nó không nghe theo lời của cha mình, vì Đức Giê-hô-va toan giết chúng nó.|人 若 得 罪 人 、 有 士 師 審 判 他 、 人 若 得 罪 耶 和 華 、 誰 能 為 他 祈 求 呢 ． 然 而 他 們 還 是 不 聽 父 親 的 話 、 因 為 耶 和 華 想 要 殺 他 們 。
Còn gã trai trẻ Sa-mu-ên cứ lớn lên, Đức Giê-hô-va và người ta đều lấy làm đẹp lòng người.|孩 子 撒 母 耳 漸 漸 長 大 、 耶 和 華 與 人 越 發 喜 愛 他 。
Có một người của Đức Chúa Trời đến kiếm Hê-li, mà nói rằng: Đức Giê-hô-va phán như vầy: Ta há chẳng hiện ra cùng nhà tổ phụ ngươi, khi họ còn ở tại Ê-díp-tô, hầu việc nhà Pha-ra-ôn sao?|有 神 人 來 見 以 利 、 對 他 說 、 耶 和 華 如 此 說 、 你 祖 父 在 埃 及 法 老 家 作 奴 僕 的 時 候 、 我 不 是 向 他 們 顯 現 麼 。
Ta đã chọn nhà ấy trong các chi phái Y-sơ-ra-ên, đặng làm thầy tế lễ của ta, dâng của lễ trên bàn thờ ta, xông hương, và mang ê-phót trước mặt ta; ta cũng đã ban cho nhà tổ phụ ngươi các của lễ mà dân Y-sơ-ra-ên dùng lửa dâng lên.|在 以 色 列 眾 支 派 中 、 我 不 是 揀 選 人 作 我 的 祭 司 、 使 他 燒 香 、 在 我 壇 上 獻 祭 、 在 我 面 前 穿 以 弗 得 、 又 將 以 色 列 人 所 獻 的 火 祭 、 都 賜 給 你 父 家 麼 。
Vì sao các ngươi giày đạp dưới chơn những hi sinh và của lễ chay mà ta đã truyền lịnh dâng lên trong đền ta? Ngươi kính trọng các con trai ngươi hơn ta, và các ngươi ăn mập những của lễ tốt nhứt của Y-sơ-ra-ên, dân sự ta!|我 所 吩 咐 獻 在 我 居 所 的 祭 物 、 你 們 為 何 踐 踏 、 尊 重 你 的 兒 子 過 於 尊 重 我 、 將 我 民 以 色 列 所 獻 美 好 的 祭 物 肥 己 呢 。
Bởi cớ đó, Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán như vầy: Ta có phán rằng nhà ngươi và nhà cha ngươi sẽ đời đời hầu việc trước mặt ta. Nhưng bây giờ, Đức Giê-hô-va phán, điều đó chẳng hề được như vậy! Vì phàm ai tôn kính ta, ta sẽ làm cho được tôn trọng, còn ai khinh bỉ ta, tất sẽ bị khinh bỉ lại.|因 此 、 耶 和 華 以 色 列 的 　 神 說 、 我 曾 說 、 你 和 你 父 家 必 永 遠 行 在 我 面 前 、 現 在 我 卻 說 、 決 不 容 你 們 這 樣 行 、 因 為 尊 重 我 的 、 我 必 重 看 他 ． 藐 視 我 的 、 他 必 被 輕 視 。
Kìa, thì giờ đến, ta sẽ hủy hại sự mạnh mẽ của người và sự mạnh mẽ của nhà cha ngươi, đến đỗi chẳng còn một người già trong họ hàng ngươi nữa.|日 子 必 到 、 我 要 折 斷 你 的 膀 臂 、 和 你 父 家 的 膀 臂 、 使 你 家 中 沒 有 一 個 老 年 人 。
Giữa các phước lành mà Đức Giê-hô-va giáng cho Y-sơ-ra-ên, ngươi sẽ thấy nhà ngươi bị bần khổ, và trong họ hàng người sẽ chẳng hề có người già nữa.|在 　 神 使 以 色 列 人 享 福 的 時 候 、 你 必 看 見 我 居 所 的 敗 落 ． 在 你 家 中 必 永 遠 沒 有 一 個 老 年 人 。
Nếu trong nội nhà người có một người mà ta không truất khỏi bàn thờ ta, ấy để làm cho ngươi mỏi mắt rầu lòng; các kẻ nhà ngươi sanh sản sẽ chết lúc xuân xanh.|我 必 不 從 我 壇 前 滅 盡 你 家 中 的 人 ． 那 未 滅 的 必 使 你 眼 目 乾 癟 、 心 中 憂 傷 ． 你 家 中 所 生 的 人 都 必 死 在 中 年 。
Điều sẽ xảy đến cho hai con ngươi, là Hóp-ni và Phi-nê -a, sẽ dùng làm dấu hiệu cho ngươi: cả hai đều sẽ chết trong một ngày.|你 的 兩 個 兒 子 何 弗 尼 、 非 尼 哈 所 遭 遇 的 事 、 可 作 你 的 證 據 、 他 們 二 人 必 一 日 同 死 ．
Đoạn, ta sẽ lập cho ta một thầy tế lễ trung tín; người sẽ làm theo lòng ta và ý ta. Ta sẽ cất cho người một nhà vững bền, và người sẽ đi trước mặt Đấng chịu xức dầu của ta luôn luôn.|我 要 為 自 己 立 一 個 忠 心 的 祭 司 、 他 必 照 我 的 心 意 而 行 、 我 要 為 他 建 立 堅 固 的 家 、 他 必 永 遠 行 在 我 的 受 膏 者 面 前 。
Ai trong họ hàng ngươi còn sống, sẽ đi đến lạy trước mặt người, hầu cho được một miếng bạc cùng một ổ bánh, và sẽ nói rằng: Xin ông hãy phong cho tôi một chức tế lễ, để tôi được một miếng bánh ăn.|你 家 所 剩 下 的 人 都 必 來 叩 拜 他 、 求 塊 銀 子 、 求 個 餅 、 說 、 求 你 賜 我 祭 司 的 職 分 、 好 叫 我 得 點 餅 喫 。

					I Sa-mu-ên 3				|
						撒母耳記上 3					
Sa-mu-ên thơ ấu phục sự Đức Giê-hô-va tại trước mặt Hê-li. Trong lúc đó, lời của Đức Giê-hô-va lấy làm hiếm hoi, và những sự hiện thấy chẳng năng có.|童 子 撒 母 耳 在 以 利 面 前 事 奉 耶 和 華 。 當 那 些 日 子 、 耶 和 華 的 言 語 稀 少 、 不 常 有 默 示 。
Vả, bấy giờ Hê-li khởi làng mắt, chẳng thấy rõ. Có ngày kia, người đương nằm tại chỗ mình quen nằm,|一 日 以 利 睡 臥 在 自 己 的 地 方 ． 他 眼 目 昏 花 、 看 不 分 明 ．
đèn của Đức Chúa Trời chưa tắt, Sa-mu-ên nằm ngủ trong đền thờ của Đức Giê-hô-va, là nơi có cái hòm thánh.|　 神 的 燈 在 　 神 耶 和 華 殿 內 約 櫃 那 裡 、 還 沒 有 熄 滅 、 撒 母 耳 已 經 睡 了 。
Bấy giờ, Đức Giê-hô-va gọi Sa-mu-ên; người thưa rằng: Có tôi đây!|耶 和 華 呼 喚 撒 母 耳 ． 撒 母 耳 說 、 我 在 這 裡 。
Đoạn, người chạy đến gần Hê-li, mà rằng: Có tôi đây, vì ông có kêu tôi. Hê-li đáp: Ta không kêu, hãy ngủ lại. Rồi người đi ngủ lại.|就 跑 到 以 利 那 裡 說 、 你 呼 喚 我 、 我 在 這 裡 ． 以 利 回 答 說 、 我 沒 有 呼 喚 你 、 你 去 睡 罷 ． 他 就 去 睡 了 。
Đức Giê-hô-va lại gọi nữa rằng: Hỡi Sa-mu-ên! Sa-mu-ên chổi dậy, đi đến cùng Hê-li, mà rằng: có tôi đây, vì ông đã kêu tôi. Người đáp: Hỡi con, ta không kêu, hãy đi ngủ lại đi.|耶 和 華 又 呼 喚 撒 母 耳 ． 撒 母 耳 起 來 、 到 以 利 那 裡 說 、 你 呼 喚 我 、 我 在 這 裡 ． 以 利 回 答 說 、 我 的 兒 、 我 沒 有 呼 喚 你 、 你 去 睡 罷 。
Vả, Sa-mu-ên chưa biết Giê-hô-va; lời Đức Giê-hô-va chưa được bày tỏ ra cho người.|那 時 撒 母 耳 還 未 認 識 耶 和 華 、 也 未 得 耶 和 華 的 默 示 。
Đức Giê-hô-va lại gọi Sa-mu-ên lần thứ ba; người chổi dậy, đi đến gần Hê-li, mà rằng: Có tôi đây, vì ông đã kêu tôi. Bấy giờ, Hê-li hiểu rằng Đức Giê-hô-va gọi đứa trẻ.|耶 和 華 第 三 次 呼 喚 撒 母 耳 ． 撒 母 耳 起 來 、 到 以 利 那 裡 說 、 你 又 呼 喚 我 、 我 在 這 裡 ． 以 利 纔 明 白 是 耶 和 華 呼 喚 童 子 。
Người nói cùng Sa-mu-ên rằng: Hãy đi ngủ đi, và nếu có ai gọi con, con hãy nói: Hỡi Đức Giê-hô-va, xin hãy phán, kẻ tôi tớ Ngài đương nghe! Vậy, Sa-mu-ên đi nằm tại chỗ mình.|因 此 、 以 利 對 撒 母 耳 說 、 你 仍 去 睡 罷 ． 若 再 呼 喚 你 、 你 就 說 、 耶 和 華 阿 、 請 說 、 僕 人 敬 聽 ． 撒 母 耳 就 去 仍 睡 在 原 處 。
Đức Giê-hô-va đến đứng tại đó, gọi như các lần trước: Hỡi Sa-mu-ên! hỡi Sa-mu-ên! Sa-mu-ên thưa: Xin hãy phán, kẻ tôi tớ Ngài đương nghe!|耶 和 華 又 來 站 著 、 像 前 三 次 呼 喚 說 、 撒 母 耳 阿 、 撒 母 耳 阿 ． 撒 母 耳 回 答 說 、 請 說 、 僕 人 敬 聽 。
Đức Giê-hô-va phán cùng Sa-mu-ên rằng: Nầy ta sẽ làm ra trong Y-sơ-ra-ên một sự, phàm ai nghe đến, lỗ tai phải bắt lùng bùng.|耶 和 華 對 撒 母 耳 說 、 我 在 以 色 列 中 必 行 一 件 事 、 叫 聽 見 的 人 都 必 耳 鳴 。
Bấy giờ, ta sẽ làm ứng nghiệm nơi Hê-li các lời hăm dọa ta đã phán về nhà người; ta sẽ khởi sự và làm cho hoàn thành.|我 指 著 以 利 家 所 說 的 話 、 到 了 時 候 我 必 始 終 應 驗 在 以 利 身 上 。
Ta có báo trước rằng ta sẽ đoán xét nhà người đời đời, vì người đã biết tánh nết quái gở của các con trai mình, mà không cấm.|我 曾 告 訴 他 必 永 遠 降 罰 與 他 的 家 、 因 他 知 道 兒 子 作 孽 、 自 招 咒 詛 、 卻 不 禁 止 他 們 。
