
					Ha-ba-cúc 1				|
Khốn tay cho kẻ nói với gỗ rằng: Hãy tỉnh thức! và với đá câm rằng: Hãy chổi dậy! Nó có dạy dỗ được chăng? nầy, nó là bọc vàng và bạc, song chẳng có một chút hơi thổ nào ở giữa nó.|對 木 偶 說 、 醒 起 、 對 啞 吧 石 像 說 、 起 來 、 那 人 有 禍 了 ． 這 個 還 能 教 訓 人 麼 ． 看 哪 、 是 包 裹 金 銀 的 、 其 中 毫 無 氣 息 。
Nhưng Đức Giê-hô-va ở trong đền thánh của Ngài, trước mặt Ngài, cả đất hãy làm thinh!|惟 耶 和 華 在 他 的 聖 殿 中 ． 全 地 的 人 、 都 當 在 他 面 前 肅 敬 靜 默 。

					Ha-ba-cúc 3				|
						哈巴谷書 3					
Lời cầu nguyện của đấng tiên tri Ha-ba-cúc, về thể thi ca.|先 知 哈 巴 谷 的 禱 告 、 調 用 流 離 歌 。
Hỡi Đức Giê-hô-va! Tôi đã nghe danh tiếng Ngài thì tôi sợ hãi. Hỡi Đức Giê-hô-va! xin Ngài lại khiến công việc Ngài dấy lên giữa các năm, Tỏ ra cho biết giữa các năm; Khi Ngài đương giận, xin hãy nhớ lại sự thương xót!|耶 和 華 阿 、 我 聽 見 你 的 名 聲 、 〔 名 聲 或 作 言 語 〕 就 懼 怕 。 耶 和 華 阿 、 求 你 在 這 些 年 間 復 興 你 的 作 為 、 在 這 些 年 間 顯 明 出 來 、 在 發 怒 的 時 候 、 以 憐 憫 為 念 。
Đức Chúa Trời đến từ Thê-man, Đấng Thánh đến từ núi Pha-ran. Vinh hiển Ngài bao phủ các từng trời, Đất đầy sự khen ngợi Ngài.|　 神 從 提 幔 而 來 、 聖 者 從 巴 蘭 山 臨 到 。 〔 細 拉 〕 他 的 榮 光 遮 蔽 諸 天 、 頌 讚 充 滿 大 地 。
Sự chói rạng của Ngài như ánh sáng, Những tia sáng ra từ Ngài, Quyền năng Ngài giấu trong nơi đó.|他 的 輝 煌 如 同 日 光 ． 從 他 手 裡 射 出 光 線 ． 在 其 中 藏 著 他 的 能 力 。
On dịch đi trước mặt Ngài, Tên lửa ra nơi chơn Ngài.|在 他 前 面 有 瘟 疫 流 行 、 在 他 腳 下 有 熱 症 發 出 。
Ngài đứng và đo đất; Ngài nhìn xem, làm tan tác các dân tộc; Các núi hằng còn đều tan nát, Các đồi đời đời đều quì xuống: Các đường lối Ngài giống như thuở xưa.|他 站 立 、 量 了 大 地 ． 〔 或 作 使 地 震 動 〕 觀 看 、 趕 散 萬 民 ． 永 久 的 山 崩 裂 、 長 存 的 嶺 塌 陷 ． 他 的 作 為 與 古 時 一 樣 。
Ta thấy những trại của Cu-san bị hoạn nạn, Những màn cháng của đất Ma-đi-an lung lay.|我 見 古 珊 的 帳 棚 遭 難 、 米 甸 的 幔 子 戰 兢 。
Có phải Đức Giê-hô-va nổi giận nghịch cùng các sông chăng? Cơn giận Ngài có phải nổi lên nghịch cùng các sông chăng? Có phải sự thạnh nộ Ngài nổi lên nghịch cũng biển, Khi Ngài cỡi ngựa cỡi xe đặng giải cứu chăng?|耶 和 華 阿 、 你 乘 在 馬 上 、 坐 在 得 勝 的 車 上 、 豈 是 不 喜 悅 江 河 、 向 江 河 發 怒 氣 、 向 洋 海 發 憤 恨 麼 。
Cung Ngài ra khỏi bao; Lời thề cũng các chi phái là lời chắc chắn. Ngài phân rẽ đất làm cho sông chảy ra.|你 的 弓 全 然 顯 露 向 眾 支 派 所 起 的 誓 、 都 是 可 信 的 。 〔 細 拉 〕 你 以 江 河 分 開 大 地 。
Các núi thấy Ngài thì đều sợ hãi; Các dòng nước chảy mạnh, Vực sâu vang tiếng, Rún biển giơ tay lên cao.|山 嶺 見 你 、 無 不 戰 懼 ． 大 水 氾 濫 過 去 、 深 淵 發 聲 、 洶 湧 翻 騰 。 〔 原 文 作 向 上 舉 手 〕
Mặt trời mặt trăng dừng lại trong nơi ở nó; Vì cớ bóng sáng của những tên Ngài, Và chớp nháng của gươm giáo Ngài chiếu ra.|因 你 的 箭 射 出 發 光 、 你 的 槍 閃 出 光 耀 、 日 月 都 在 本 宮 停 住 。
Ngài nổi giận bước qua đất; Và đương cơn thạnh nộ giày đạp các dân tộc.|你 發 憤 恨 通 行 大 地 、 發 怒 氣 責 打 列 國 、 如 同 打 糧 。
Ngài đi ra đặng cứu dân mình, Đi ra đặng cứu đấng chịu xức dầu của mình; Ngài đánh thương đầu kẻ ác, phá nhà nó, Làm trần trụi nền nó cho đến cổ.|你 出 來 要 拯 救 你 的 百 姓 、 拯 救 你 的 受 膏 者 、 打 破 惡 人 家 長 的 頭 、 露 出 他 的 腳 、 〔 腳 原 文 作 根 基 〕 直 到 頸 項 。 〔 細 拉 〕
Ngài lấy giáo nó đâu đầu lính chiến nó, Chúng nó đến như trận bão đặng làm tan tác tôi; Chúng nó vui thích như nuốt kẻ bần cùng cách kín giấu.|你 用 敵 人 的 戈 矛 刺 透 他 戰 士 的 頭 ． 他 們 來 如 旋 風 、 要 將 我 們 分 散 。 他 們 所 喜 愛 的 、 是 暗 中 吞 喫 貧 民 。
Ngài cỡi ngựa đạp trên biển, Trong đống nước lớn.|你 乘 馬 踐 踏 紅 海 、 就 是 踐 踏 洶 湧 的 大 水 。
Tôi đã nghe, thì thân thể tôi run rẩy, Nghe tiếng Ngài thì môi tôi rung động; Sự mục nát nhập vào xương tôi; và tôi run rẩy trong chỗ tôi, Vì tôi phải nín lặng để chờ ngày hoạn nạn, Là ngày có dân đến xâm chiếm chúng tôi.|我 聽 見 耶 和 華 的 聲 音 、 身 體 戰 兢 、 嘴 唇 發 顫 、 骨 中 朽 爛 ． 我 在 所 立 之 處 戰 兢 ． 我 只 可 安 靜 等 候 災 難 之 日 臨 到 、 犯 境 之 民 上 來 。
Vì dầu cây vả sẽ không nứt lộc nữa, Và sẽ không có trái trên những cây nho; Cây ô-li-ve không sanh sản, đồ ăn; Bầy chiên sẽ bị dứt khỏi ràn, Và không có bầy bò trong chuồng nữa.|雖 然 無 花 果 樹 不 發 旺 、 葡 萄 樹 不 結 果 、 橄 欖 樹 也 不 效 力 、 田 地 不 出 糧 食 、 圈 中 絕 了 羊 、 棚 內 也 沒 有 牛 ．
Dầu vậy, tôi sẽ vui mừng trong Đức Giê-hô-va, Tôi sẽ hớn hở trong Đức Chúa Trời của sự cứu rỗi tôi.|然 而 我 要 因 耶 和 華 歡 欣 、 因 救 我 的 　 神 喜 樂 。
Đức Giê-hô-va là Chúa, là sức mạnh của tôi, Ngài làm cho chơn tôi giống như chơn con hươu, Khiến tôi đi trên các nơi cao của mình. .|主 耶 和 華 是 我 的 力 量 ． 他 使 我 的 腳 快 如 母 鹿 的 蹄 、 又 使 我 穩 行 在 高 處 。 這 歌 交 與 伶 長 、 用 絲 弦 的 樂 器 。
