
					Sáng Thế 1				|
Đức Chúa Trời lại phán rằng: Phải có các vì sáng trong khoảng không trên trời, đặng phân ra ngày với đêm, và dùng làm dấu để định thì tiết, ngày và năm;|　 神 說 、 天 上 要 有 光 體 、 可 以 分 晝 夜 、 作 記 號 、 定 節 令 、 日 子 、 年 歲 ．
lại dùng làm vì sáng trong khoảng không trên trời để soi xuống đất; thì có như vậy.|並 要 發 光 在 天 空 、 普 照 在 地 上 ． 事 就 這 樣 成 了 。
Đức Chúa Trời làm nên hai vì sáng lớn; vì lớn hơn để cai trị ban ngày, vì nhỏ hơn để cai trị ban đêm; Ngài cũng làm các ngôi sao.|於 是 　 神 造 了 兩 個 大 光 、 大 的 管 晝 、 小 的 管 夜 ． 又 造 眾 星 。
Đức Chúa Trời đặt các vì đó trong khoảng không trên trời, đặng soi sáng đất,|就 把 這 些 光 擺 列 在 天 空 、 普 照 在 地 上 、
đặng cai trị ban ngày và ban đêm, đặng phân ra sự sáng với sự tối. Đức Chúa Trời thấy điều đó là tốt lành.|管 理 晝 夜 、 分 別 明 暗 ． 　 神 看 著 是 好 的 ．
Vậy, có buổi chiều và buổi mai; ấy là ngày thứ tư.|有 晚 上 、 有 早 晨 、 是 第 四 日 。
Đức Chúa Trời lại phán rằng: Nước phải sanh các vật sống cho nhiều, và các loài chim phải bay trên mặt đất trong khoảng không trên trời.|　 神 說 、 水 要 多 多 滋 生 有 生 命 的 物 ． 要 有 雀 鳥 飛 在 地 面 以 上 、 天 空 之 中 。
Đức Chúa Trời dựng nên các loài cá lớn, các vật sống hay động nhờ nước mà sanh nhiều ra, tùy theo loại, và các loài chim hay bay, tùy theo loại. Đức Chúa Trời thấy điều đó là tốt lành.|　 神 就 造 出 大 魚 、 和 水 中 所 滋 生 各 樣 有 生 命 的 動 物 、 各 從 其 類 ． 又 造 出 各 樣 飛 鳥 、 各 從 其 類 ． 　 神 看 著 是 好 的 。
Đức Chúa Trời ban phước cho các loài đó mà phán rằng: Hãy sanh sản, thêm nhiều, làm cho đầy dẫy dưới biển; còn các loài chim hãy sanh sản trên đất cho nhiều.|　 神 就 賜 福 給 這 一 切 、 說 、 滋 生 繁 多 、 充 滿 海 中 的 水 ． 雀 鳥 也 要 多 生 在 地 上 。
Vậy, có buổi chiều và buổi mai; ấy là ngày thứ năm.|有 晚 上 、 有 早 晨 、 是 第 五 日 。
Đức Chúa Trời lại phán rằng: Đất phải sanh các vật sống tùy theo loại, tức súc vật, côn trùng, và thú rừng, đều tùy theo loại; thì có như vậy.|　 神 說 、 地 要 生 出 活 物 來 、 各 從 其 類 ． 牲 畜 、 昆 蟲 、 野 獸 、 各 從 其 類 ． 事 就 這 樣 成 了 。
Đức Chúa Trời làm nên các loài thú rừng tùy theo loại, súc vật tùy theo loại, và các côn trùng trên đất tùy theo loại, Đức Chúa Trời thấy điều đó là tốt lành.|於 是 　 神 造 出 野 獸 、 各 從 其 類 ． 牲 畜 、 各 從 其 類 ． 地 上 一 切 昆 蟲 、 各 從 其 類 ． 　 神 看 著 是 好 的 。
Đức Chúa Trời phán rằng: Chúng ta hãy làm nên loài người như hình ta và theo tượng ta, đặng quản trị loài cá biển, loài chim trời, loài súc vật, loài côn trùng bò trên mặt đất, và khắp cả đất.|　 神 說 、 我 們 要 照 著 我 們 的 形 像 、 按 著 我 們 的 樣 式 造 人 、 使 他 們 管 理 海 裡 的 魚 、 空 中 的 鳥 、 地 上 的 牲 畜 、 和 全 地 、 並 地 上 所 爬 的 一 切 昆 蟲 。
Đức Chúa Trời dựng nên loài người như hình Ngài; Ngài dựng nên loài người giống như hình Đức Chúa Trời; Ngài dựng nên người nam cùng người nữ.|　 神 就 照 著 自 己 的 形 像 造 人 、 乃 是 照 著 他 的 形 像 造 男 造 女 。
Đức Chúa Trời ban phước cho loài người và phán rằng: Hãy sanh sản, thêm nhiều, làm cho đầy dẫy đất; hãy làm cho đất phục tùng, hãy quản trị loài cá dưới biển, loài chim trên trời cùng các vật sống hành động trên mặt đất.|　 神 就 賜 福 給 他 們 、 又 對 他 們 說 、 要 生 養 眾 多 、 遍 滿 地 面 、 治 理 這 地 ． 也 要 管 理 海 裡 的 魚 、 空 中 的 鳥 ． 和 地 上 各 樣 行 動 的 活 物 。
Đức Chúa Trời lại phán rằng: Nầy, ta sẽ ban cho các ngươi mọi thứ cỏ kết hột mọc khắp mặt đất, và các loài cây sanh quả có hột giống; ấy sẽ là đồ ăn cho các ngươi.|　 神 說 、 看 哪 、 我 將 遍 地 上 一 切 結 種 子 的 菜 蔬 、 和 一 切 樹 上 所 結 有 核 的 果 子 、 全 賜 給 你 們 作 食 物 。
Còn các loài thú ngoài đồng, các loài chim trên trời, và các động vật khác trên mặt đất, phàm giống nào có sự sống thì ta ban cho mọi thứ cỏ xanh đặng dùng làm đồ ăn; thì có như vậy.|至 於 地 上 的 走 獸 、 和 空 中 的 飛 鳥 、 並 各 樣 爬 在 地 上 有 生 命 的 物 、 我 將 青 草 賜 給 他 們 作 食 物 ． 事 就 這 樣 成 了 。
Đức Chúa Trời thấy các việc Ngài đã làm thật rất tốt lành. Vậy, có buổi chiều và buổi mai; ấy là ngày thứ sáu.|　 神 看 著 一 切 所 造 的 都 甚 好 ． 有 晚 上 、 有 早 晨 、 是 第 六 日 。

					Sáng Thế 2				|
						創世記 2					
Ay vậy, trời đất và muôn vật đã dựng nên xong rồi.|天 地 萬 物 都 造 齊 了 。
Ngày thứ bảy, Đức Chúa Trời làm xong các công việc Ngài đã làm, và ngày thứ bảy, Ngài nghỉ các công việc Ngài đã làm.|到 第 七 日 、 　 神 造 物 的 工 已 經 完 畢 、 就 在 第 七 日 歇 了 他 一 切 的 工 、 安 息 了 。
Rồi, Ngài ban phước cho ngày thứ bảy, đặt là ngày thánh; vì trong ngày đó, Ngài nghỉ các công việc đã dựng nên và đã làm xong rồi.|　 神 賜 福 給 第 七 日 、 定 為 聖 日 、 因 為 在 這 日 　 神 歇 了 他 一 切 創 造 的 工 、 就 安 息 了 。
Ay là gốc tích trời và đất khi đã dựng nên, trong lúc Giê-hô-va Đức Chúa Trời dựng nên trời và đất.|創 造 天 地 的 來 歷 、 在 耶 和 華 　 神 造 天 地 的 日 子 、 乃 是 這 樣 ．
Vả, lúc đó, chưa có một cây nhỏ nào mọc ngoài đồng, và cũng chưa có một ngọn cỏ nào mọc ngoài ruộng, vì Giê-hô-va Đức Chúa Trời chưa có cho mưa xuống trên đất, và cũng chẳng có một người nào cày cấy đất nữa.|野 地 還 沒 有 草 木 、 田 間 的 菜 蔬 還 沒 有 長 起 來 、 因 為 耶 和 華 　 神 還 沒 有 降 雨 在 地 上 、 也 沒 有 人 耕 地 。
Song có hơi nước dưới đất bay lên tưới khắp cùng mặt đất,|但 有 霧 氣 從 地 上 騰 、 滋 潤 遍 地 。
Giê-hô-va Đức Chúa Trời bèn lấy bụi đất nắn nên hình người, hà sanh khí vào lỗ mũi; thì người trở nên một loài sanh linh.|耶 和 華 　 神 用 地 上 的 塵 土 造 人 、 將 生 氣 吹 在 他 鼻 孔 裡 、 他 就 成 了 有 靈 的 活 人 、 名 叫 亞 當 。
Đoạn, Giê-hô-va Đức Chúa Trời lập một cảnh vườn tại Ê-đen, ở về hướng Đông, và đặt người mà Ngài vừa dựng nên ở đó.|耶 和 華 　 神 在 東 方 的 伊 甸 立 了 一 個 園 子 、 把 所 造 的 人 安 置 在 那 裡 。
Giê-hô-va Đức Chúa Trời khiến đất mọc lên các thứ cây đẹp mắt, và trái thì ăn ngon; giữa vườn lại có cây sự sống cùng cây biết điều thiện và điều ác.|耶 和 華 　 神 使 各 樣 的 樹 從 地 裡 長 出 來 、 可 以 悅 人 的 眼 目 、 其 上 的 果 子 好 作 食 物 ． 園 子 當 中 又 有 生 命 樹 、 和 分 別 善 惡 的 樹 。
Một con sông từ Ê-đen chảy ra đặng tưới vườn; rồi từ đó chia ra làm bốn ngả.|有 河 從 伊 甸 流 出 來 滋 潤 那 園 子 、 從 那 裡 分 為 四 道 。
Tên ngả thứ nhứt là Bi-sôn; ngả đó chảy quanh xứ Ha-vi-la, là nơi có vàng.|第 一 道 名 叫 比 遜 、 就 是 環 繞 哈 腓 拉 全 地 的 ． 在 那 裡 有 金 子 、
Vàng xứ nầy rất cao; đó lại có nhũ hương và bính ngọc.|並 且 那 地 的 金 子 是 好 的 ． 在 那 裡 又 有 珍 珠 和 紅 瑪 瑙 。
Tên sông thứ nhì là Ghi-hôn, chảy quanh xứ Cu-sơ.|第 二 道 河 名 叫 基 訓 、 就 是 環 繞 古 實 全 地 的 。
Tên sông thứ ba là Hi-đê-ke, chảy về phía đông bờ cõi A-si-ri. Còn sông thứ tư là sông Ơ-phơ-rát.|第 三 道 河 名 叫 希 底 結 、 流 在 亞 述 的 東 邊 。 第 四 道 河 就 是 伯 拉 河 。
Giê-hô-va Đức Chúa Trời đem người ở vào cảnh vườn Ê-đen để trồng và giữ vườn.|耶 和 華 　 神 將 那 人 安 置 在 伊 甸 園 、 使 他 修 理 看 守 。
Rồi, Giê-hô-va Đức Chúa Trời phán dạy rằng: Ngươi được tự do ăn hoa quả các thứ cây trong vườn;|耶 和 華 　 神 吩 咐 他 說 、 園 中 各 樣 樹 上 的 果 子 、 你 可 以 隨 意 喫 ．
nhưng về cây biết điều thiện và điều ác thì chớ hề ăn đến; vì một mai ngươi ăn chắc sẽ chết.|只 是 分 別 善 惡 樹 上 的 果 子 、 你 不 可 喫 、 因 為 你 喫 的 日 子 必 定 死 。
Giê-hô-va Đức Chúa Trời phán rằng: Loài người ở một mình thì không tốt; ta sẽ làm nên một kẻ giúp đỡ giống như nó.|耶 和 華 　 神 說 、 那 人 獨 居 不 好 、 我 要 為 他 造 一 個 配 偶 幫 助 他 。
Giê-hô-va Đức Chúa Trời lấy đất nắn nên các loài thú đồng, các loài chim trời, rồi dẫn đến trước mặt A-đam đặng thử xem người đặt tên chúng nó làm sao, hầu cho tên nào A-đam đặt cho mỗi vật sống, đều thành tên riêng cho nó.|耶 和 華 　 神 用 土 所 造 成 的 野 地 各 樣 走 獸 、 和 空 中 各 樣 飛 鳥 、 都 帶 到 那 人 面 前 看 他 叫 甚 麼 ． 那 人 怎 樣 叫 各 樣 的 活 物 、 那 就 是 他 的 名 字 。
A-đam đặt tên các loài súc vật, các loài chim trời cùng các loài thú đồng; nhưng về phần A-đam, thì chẳng tìm được một ai giúp đỡ giống như mình hết.|那 人 便 給 一 切 牲 畜 、 和 空 中 飛 鳥 、 野 地 走 獸 都 起 了 名 ． 只 是 那 人 沒 有 遇 見 配 偶 幫 助 他 。
Giê-hô-va Đức Chúa Trời làm cho A-đam ngủ mê, bèn lấy một xương sường, rồi lấp thịt thế vào.|耶 和 華 　 神 使 他 沉 睡 、 他 就 睡 了 ． 於 是 取 下 他 的 一 條 肋 骨 、 又 把 肉 合 起 來 。
Giê-hô-va Đức Chúa Trời dùng xương sường đã lấy nơi A-đam làm nên một người nữ, đưa đến cùng A-đam.|耶 和 華 　 神 就 用 那 人 身 上 所 取 的 肋 骨 、 造 成 一 個 女 人 、 領 他 到 那 人 跟 前 。
A-đam nói rằng: Người nầy là xương bởi xương tôi, thịt bởi thịt tôi mà ra. Người nầy sẽ được gọi là người nữ, vì nó do nơi người nam mà có.|那 人 說 、 這 是 我 骨 中 的 骨 、 肉 中 的 肉 、 可 以 稱 他 為 女 人 、 因 為 他 是 從 男 人 身 上 取 出 來 的 。
Bởi vậy cho nên người nam sẽ lìa cha mẹ mà dính díu cùng vợ mình, và cả hai sẽ trở nên một thịt.|因 此 、 人 要 離 開 父 母 、 與 妻 子 連 合 、 二 人 成 為 一 體 。
Vả, A-đam và vợ, cả hai đều trần truồng, mà chẳng hổ thẹn.|當 時 夫 妻 二 人 、 赤 身 露 體 、 並 不 羞 恥 。

					Sáng Thế 3				|
						創世記 3					
Vả, trong các loài thú đồng mà Giê-hô-va Đức Chúa Trời đã làm nên, có con rắn là giống quỉ quyệt hơn hết. Rắn nói cùng người nữ rằng: Mà chi! Đức Chúa Trời há có phán dặn các ngươi không được phép ăn trái các cây trong vườn sao?|耶 和 華 　 神 所 造 的 、 惟 有 蛇 比 田 野 一 切 的 活 物 更 狡 猾 。 蛇 對 女 人 說 、 　 神 豈 是 真 說 、 不 許 你 們 喫 園 中 所 有 樹 上 的 果 子 麼 。
Người nữ đáp rằng: Chúng ta được ăn trái các cây trong vườn,|女 人 對 蛇 說 、 園 中 樹 上 的 果 子 我 們 可 以 喫 ．
song về phần trái của cây mọc giữa vườn, Đức Chúa Trời có phán rằng: Hai ngươi chẳng nên ăn đến và cũng chẳng nên đá-động đến, e khi hai ngươi phải chết chăng.|惟 有 園 當 中 那 棵 樹 上 的 果 子 、 　 神 曾 說 、 你 們 不 可 喫 、 也 不 可 摸 、 免 得 你 們 死 。
Rắn bèn nói với người nữ rằng: Hai ngươi chẳng chết đâu;|蛇 對 女 人 說 、 你 們 不 一 定 死 、
nhưng Đức Chúa Trời biết rằng hễ ngày nào hai ngươi ăn trái cây đó, mắt mình mở ra, sẽ như Đức Chúa Trời, biết điều thiện và điều ác.|因 為 　 神 知 道 、 你 們 喫 的 日 子 眼 睛 就 明 亮 了 、 你 們 便 如 　 神 能 知 道 善 惡 。
Người nữ thấy trái của cây đó bộ ăn ngon, lại đẹp mắt và quí vì để mở trí khôn, bèn hái ăn, rồi trao cho chồng đứng gần mình, chồng cũng ăn nữa.|於 是 女 人 見 那 棵 樹 的 果 子 好 作 食 物 、 也 悅 人 的 眼 目 、 且 是 可 喜 愛 的 、 能 使 人 有 智 慧 、 就 摘 下 果 子 來 喫 了 ． 又 給 他 丈 夫 、 他 丈 夫 也 喫 了 。
Đoạn, mắt hai người đều mỡ ra, biết rằng mình lỏa lồ, bèn lấy lá cây vả đóng khố che thân.|他 們 二 人 的 眼 睛 就 明 亮 了 、 纔 知 道 自 己 是 赤 身 露 體 、 便 拿 無 花 果 樹 的 葉 子 、 為 自 己 編 作 裙 子 。
Lối chiều, nghe tiếng Giê-hô-va Đức Chúa Trời đi ngang qua vườn, A-đam và vợ ẩn mình giữa bụi cây, để tránh mặt Giê-hô-va Đức Chúa Trời.|天 起 了 涼 風 、 耶 和 華 　 神 在 園 中 行 走 。 那 人 和 他 妻 子 聽 見 　 神 的 聲 音 、 就 藏 在 園 裡 的 樹 木 中 、 躲 避 耶 和 華 　 神 的 面 。
Giê-hô-va Đức Chúa Trời kêu A-đam mà phán hỏi rằng: Ngươi ở đâu?|耶 和 華 　 神 呼 喚 那 人 、 對 他 說 、 你 在 那 裡 。
A-đam thưa rằng: Tôi có nghe tiếng Chúa trong vườn, bèn sợ, bởi vì tôi lỏa lồ, nên đi ẩn mình.|他 說 、 我 在 園 中 聽 見 你 的 聲 音 、 我 就 害 怕 、 因 為 我 赤 身 露 體 ． 我 便 藏 了 。
Đức Chúa Trời phán hỏi: Ai đã chỉ cho ngươi biết rằng mình lỏa lồ? Ngươi có ăn trái cây ta đã dặn không nên ăn đó chăng?|耶 和 華 說 、 誰 告 訴 你 赤 身 露 體 呢 、 莫 非 你 喫 了 我 吩 咐 你 不 可 喫 的 那 樹 上 的 果 子 麼 。
Thưa rằng: Người nữ mà Chúa đã để gần bên tôi cho tôi trái cây đó và tôi đã ăn rồi.|那 人 說 、 你 所 賜 給 我 、 與 我 同 居 的 女 人 、 他 把 那 樹 上 的 果 子 給 我 、 我 就 喫 了 。
Giê-hô-va Đức Chúa Trời phán hỏi người nữ rằng: Người có làm điều chi vậy? Người nữ thưa rằng: Con rắn dỗ dành tôi và tôi đã ăn rồi.|耶 和 華 　 神 對 女 人 說 、 你 作 的 是 甚 麼 事 呢 。 女 人 說 、 那 蛇 引 誘 我 、 我 就 喫 了 。
Giê-hô-va Đức Chúa Trời bèn phán cùng rắn rằng: Vì mầy đã làm điều như vậy, mầy sẽ bị rủa sả trong vòng các loài súc vật, các loài thú đồng, mầy sẽ bò bằng bụng và ăn bụi đất trọn cả đời.|耶 和 華 　 神 對 蛇 說 、 你 既 作 了 這 事 、 就 必 受 咒 詛 、 比 一 切 的 牲 畜 野 獸 更 甚 、 你 必 用 肚 子 行 走 、 終 身 喫 土 。
Ta sẽ làm cho mầy cùng người nữ, dòng dõi mầy cùng dòng dõi người nữ nghịch thù nhau. Người sẽ giày đạp đầu mầy, còn mầy sẽ cắn gót chân người.|我 又 要 叫 你 和 女 人 彼 此 為 仇 、 你 的 後 裔 和 女 人 的 後 裔 、 也 彼 此 為 仇 ． 女 人 的 後 裔 要 傷 你 的 頭 、 你 要 傷 他 的 腳 跟 。
Ngài phán cùng người nữ rằng: Ta sẽ thêm điều cực khổ bội phần trong cơn thai nghén; ngươi sẽ chịu đau đớn mỗi khi sanh con; sự dục vọng ngươi phải xu hướng về chồng, và chồng sẽ cai trị ngươi.|又 對 女 人 說 、 我 必 多 多 加 增 你 懷 胎 的 苦 楚 、 你 生 產 兒 女 必 多 受 苦 楚 ． 你 必 戀 慕 你 丈 夫 、 你 丈 夫 必 管 轄 你 。
Ngài lại phán cùng A-đam rằng: Vì ngươi nghe theo lời vợ mà ăn trái cây ta đã dặn không nên ăn, vậy, đất sẽ bị rủa sả vì ngươi; trọn đời ngươi phải chịu khó nhọc mới có vật đất sanh ra mà ăn.|又 對 亞 當 說 、 你 既 聽 從 妻 子 的 話 、 喫 了 我 所 吩 咐 你 不 可 喫 的 那 樹 上 的 果 子 、 地 必 為 你 的 緣 故 受 咒 詛 ． 你 必 終 身 勞 苦 、 纔 能 從 地 裡 得 喫 的 。
Đất sẽ sanh chông gai và cây tật lê, và ngươi sẽ ăn rau của đồng ruộng;|地 必 給 你 長 出 荊 棘 和 蒺 藜 來 、 你 也 要 喫 田 間 的 菜 蔬 。
ngươi sẽ làm đổ mồ hôi trán mới có mà ăn, cho đến ngày nào ngươi trở về đất, là nơi mà có ngươi ra; vì ngươi là bụi, ngươi sẽ trở về bụi.|你 必 汗 流 滿 面 纔 得 糊 口 、 直 到 你 歸 了 土 、 因 為 你 是 從 土 而 出 的 ． 你 本 是 塵 土 、 仍 要 歸 於 塵 土 。
A-đam gọi vợ là Ê-va, vì là mẹ của cả loài người.|亞 當 給 他 妻 子 起 名 叫 夏 娃 、 因 為 他 是 眾 生 之 母 。
Giê-hô-va Đức Chúa Trời lấy da thú kết thành áo dài cho vợ chồng A-đam, và mặc lấy cho.|耶 和 華 　 神 為 亞 當 和 他 妻 子 用 皮 子 作 衣 服 、 給 他 們 穿 。
Giê-hô-va Đức Chúa Trời phán rằng: Nầy, về sự phân biệt điều thiện và điều ác, loài người đã thành một bực như chúng ta; vậy bây giờ, ta hãy coi chừng, e loài người giơ tay khiến cũng hái trái cây sự sống mà ăn và được sống đời đời chăng.|耶 和 華 　 神 說 、 那 人 已 經 與 我 們 相 似 、 能 知 道 善 惡 ． 現 在 恐 怕 他 伸 手 又 摘 生 命 樹 的 果 子 喫 、 就 永 遠 活 著 ．
Giê-hô-va Đức Chúa Trời bèn đuổi loài người ra khỏi vườn Ê-đen đặng cày cấy đất, là nơi có người ra.|耶 和 華 　 神 便 打 發 他 出 伊 甸 園 去 、 耕 種 他 所 自 出 之 土 。
Vậy, Ngài đuổi loài người ra khỏi vườn, rồi đặt tại phía đông vườn Ê-đen các thần chê-ru-bin với gươm lưỡi chói lòa, để giữ con đường đi đến cây sự sống.|於 是 把 他 趕 出 去 了 ． 又 在 伊 甸 園 的 東 邊 安 設 ? ? ? 、 和 四 面 轉 動 發 火 焰 的 劍 、 要 把 守 生 命 樹 的 道 路 。

					Sáng Thế 4				|
						創世記 4					
A-đam ăn ở với Ê-va, là vợ mình; người thọ thai sanh Ca-in và nói rằng: Nhờ Đức Giê-hô-va giúp đỡ, tôi mới sanh được một người.|有 一 日 、 那 人 和 他 妻 子 夏 娃 同 房 、 夏 娃 就 懷 孕 、 生 了 該 隱 、 〔 就 是 得 的 意 思 〕 便 說 、 耶 和 華 使 我 得 了 一 個 男 子 。
Ê-va lại sanh em Ca-in, là A-bên; A-bên làm nghề chăn chiên, còn Ca-in thì nghề làm ruộng.|又 生 了 該 隱 的 兄 弟 亞 伯 。 亞 伯 是 牧 羊 的 ． 該 隱 是 種 地 的 。
Vả, cách ít lâu, Ca-in dùng thổ sản làm của lễ dâng cho Đức Giê-hô-va.|有 一 日 、 該 隱 拿 地 裡 的 出 產 為 供 物 獻 給 耶 和 華 ．
A-bên cũng dâng chiên đầu lòng trong bầy mình cùng mỡ nó. Đức Giê-hô-va đoái xem A-bên và nhận lễ vật của người;|亞 伯 也 將 他 羊 群 中 頭 生 的 、 和 羊 的 脂 油 獻 上 ． 耶 和 華 看 中 了 亞 伯 和 他 的 供 物 ．
nhưng chẳng đoái đến Ca-in và cũng chẳng nhận lễ vật của người; cho nên Ca-in giận lắm mà gằm nét mặt.|只 是 看 不 中 該 隱 和 他 的 供 物 ． 該 隱 就 大 大 的 發 怒 、 變 了 臉 色 。
Đức Giê-hô-va phán hỏi Ca-in rằng: Cớ sao ngươi giận, và cớ sao nét mặt ngươi gằm xuống?|耶 和 華 對 該 隱 說 、 你 為 甚 麼 發 怒 呢 、 你 為 甚 麼 變 了 臉 色 呢 ．
Nếu ngươi làm lành, há chẳng ngước mặt lên sao? Còn như chẳng làm lành, thì tội lỗi rình đợi trước cửa, thèm ngươi lắm; nhưng ngươi phải quản trị nó.|你 若 行 得 好 、 豈 不 蒙 悅 納 、 你 若 行 得 不 好 、 罪 就 伏 在 門 前 ． 他 必 戀 慕 你 、 你 卻 要 制 伏 他 。
Ca-in thuật lại cùng A-bên là em mình. Vả, khi hai người đương ở ngoài đồng, thì Ca-in xông đến A-bên là em mình, và giết đi.|該 隱 與 他 兄 弟 亞 伯 說 話 、 二 人 正 在 田 間 、 該 隱 起 來 打 他 兄 弟 亞 伯 、 把 他 殺 了 。
Đức Giê-hô-va hỏi Ca-in rằng: A-bên, em ngươi, ở đâu? Thưa rằng: Tôi không biết; tôi là người giữ em tôi sao?|耶 和 華 對 該 隱 說 、 你 兄 弟 亞 伯 在 那 裡 ． 他 說 、 我 不 知 道 、 我 豈 是 看 守 我 兄 弟 的 嗎 。
Đức Giê-hô-va hỏi: Ngươi đã làm điều chi vậy? Tiếng của máu em ngươi từ dưới đất kêu thấu đến ta.|耶 和 華 說 、 你 作 了 甚 麼 事 呢 、 你 兄 弟 的 血 、 有 聲 音 從 地 裡 向 我 哀 告 。
Bây giờ, ngươi sẽ bị đất rủa sả, là đất đã hả miệng chịu hút máu của em ngươi bởi chính tay ngươi làm đổ ra.|地 開 了 口 、 從 你 手 裡 接 受 你 兄 弟 的 血 ． 現 在 你 必 從 這 地 受 咒 詛 。
Khi ngươi trồng tỉa, đất chẳng sanh hoa lợi cho ngươi nữa; ngươi sẽ lưu lạc và trốn tránh, trên mặt đất.|你 種 地 、 地 不 再 給 你 效 力 ． 你 必 流 離 飄 蕩 在 地 上 。
Ca-in thưa cùng Đức Giê-hô-va rằng: Sự hình phạt tôi nặng quá mang không nổi.|該 隱 對 耶 和 華 說 、 我 的 刑 罰 太 重 、 過 於 我 所 能 當 的 。
Nầy, ngày nay, Chúa đã đuổi tôi ra khỏi đất nầy, tôi sẽ lánh mặt Chúa, sẽ đi lưu lạc trốn tránh trên đất; rồi, xảy có ai gặp tôi, họ sẽ giết đi.|你 如 今 趕 逐 我 離 開 這 地 、 以 致 不 見 你 面 ． 我 必 流 離 飄 蕩 在 地 上 、 凡 遇 見 我 的 必 殺 我 。
Đức Giê-hô-va phán rằng: Bởi cớ ấy, nếu ai giết Ca-in, thì sẽ bị báo thù bảy lần. Đức Giê-hô-va bèn đánh đấu trên mình Ca-in, hầu cho ai gặp Ca-in thì chẳng giết.|耶 和 華 對 他 說 、 凡 殺 該 隱 的 必 遭 報 七 倍 。 耶 和 華 就 給 該 隱 立 一 個 記 號 、 免 得 人 遇 見 他 就 殺 他 。
Ca-in bèn lui ra khỏi mặt Đức Giê-hô-va, và ở tại xứ Nốt, về phía đông của Ê-đen.|於 是 該 隱 離 開 耶 和 華 的 面 、 去 住 在 伊 甸 東 邊 挪 得 之 地 。
Đoạn, Ca-in ăn ở cùng vợ mình, nàng thọ thai và sanh được Hê-nóc; Ca-in xây một cái thành đặt tên là Hê-nóc, tùy theo tên con trai mình.|該 隱 與 妻 子 同 房 、 他 妻 子 就 懷 孕 、 生 了 以 諾 、 該 隱 建 造 了 一 座 城 、 就 按 著 他 兒 子 的 名 將 那 城 叫 作 以 諾 。
Rồi, Hê-nóc sanh Y-rát; Y-rát sanh Nê-hu-đa-ên; Nê-hu-đa-ên sanh Mê-tu-sa-ên; Mê-tu-sa-ên sanh Lê-méc.|以 諾 生 以 拿 、 以 拿 生 米 戶 雅 利 、 米 戶 雅 利 生 瑪 土 撒 利 、 瑪 土 撒 利 生 拉 麥 。
