
					Lê-vi 1				|
Nếu lễ vật người dâng cho Đức Giê-hô-va là một của lễ thiêu bằng chim, thì phải dùng cu đất hay là bò câu con.|人 奉 給 耶 和 華 的 供 物 、 若 以 鳥 為 燔 祭 、 就 要 獻 斑 鳩 、 或 是 雛 鴿 為 供 物 。
Thầy tế lễ sẽ đem nó đến bàn thờ, vặn rứt đầu ra, rồi xông trên bàn thờ; vắt huyết chảy nơi cạnh bàn thờ.|祭 司 要 把 鳥 拿 到 壇 前 、 揪 下 頭 來 、 把 鳥 燒 在 壇 上 ． 鳥 的 血 要 流 在 壇 的 旁 邊 ．
Người sẽ gỡ lấy cái diều và nhổ lông, liệng gần bàn thờ, về hướng đông, là chỗ đổ tro;|又 要 把 鳥 的 嗉 子 、 和 髒 物 除 掉 、 〔 髒 物 或 作 翎 毛 〕 丟 在 壇 的 東 邊 、 倒 灰 的 地 方 。
đoạn xé nó ra tại nơi hai cánh, nhưng không cho rời, rồi thầy tế lễ sẽ đem xông trên bàn thờ, tại trên củi đã chụm lửa; ấy là của lễ thiêu, tức một của lễ dùng lửa dâng lên, có mùi thơm cho Đức Giê-hô-va.|要 拿 著 鳥 的 兩 個 翅 膀 、 把 鳥 撕 開 、 只 是 不 可 撕 斷 ． 祭 司 要 在 壇 上 在 火 的 柴 上 焚 燒 ． 這 是 燔 祭 、 是 獻 與 耶 和 華 為 馨 香 的 火 祭 。

					Lê-vi 2				|
						利未記 2					
Khi nào ai dâng cho Đức Giê-hô-va một của lễ chay, thì lễ vật người phải bằng bột lọc có chế dầu, và để nhũ hương lên trên.|若 有 人 獻 素 祭 為 供 物 給 耶 和 華 、 要 用 細 麵 澆 上 油 、 加 上 乳 香 ．
Người sẽ đem đến cho các con trai A-rôn, tức những thầy tế lễ; thầy tế lễ sẽ lấy một nắm bột lọc chế dầu và hết thảy nhũ hương, đem xông làm kỷ niệm trên bàn thờ; ấy là một của lễ dùng lửa dâng lên, có mùi thơm cho Đức Giê-hô-va.|帶 到 亞 倫 子 孫 作 祭 司 的 那 裡 、 祭 司 就 要 從 細 麵 中 取 出 一 把 來 、 並 取 些 油 、 和 所 有 的 乳 香 、 然 後 要 把 所 取 的 這 些 作 為 紀 念 、 燒 在 壇 上 、 是 獻 與 耶 和 華 為 馨 香 的 火 祭 。
Phần chi trong của lễ chay còn lại sẽ thuộc về A-rôn và các con trai người; ấy là một vật chí thánh trong các của lễ dùng lửa dâng cho Đức Giê-hô-va.|素 祭 所 剩 的 、 要 歸 給 亞 倫 和 他 的 子 孫 、 這 是 獻 與 耶 和 華 的 火 祭 中 為 至 聖 的 。
Khi nào ngươi dùng vật chi hấp lò làm của lễ chay, thì phải lấy bột mịn làm bánh nhỏ không men nhồi dầu, và bánh tráng không men thoa dầu.|若 用 爐 中 烤 的 物 為 素 祭 、 就 要 用 調 油 的 無 酵 細 麵 餅 、 或 是 抹 油 的 無 酵 薄 餅 。
Nếu ngươi dùng vật chiên trong chảo đặng làm của lễ chay, thì phải bằng bột mịn không pha men, nhồi với dầu,|若 用 鐵 鏊 上 作 的 物 為 素 祭 、 就 要 用 調 油 的 無 酵 細 麵 ．
bẻ ra từ miếng và chế dầu trên. Ay là của lễ chay.|分 成 塊 子 、 澆 上 油 、 這 是 素 祭 。
Nếu ngươi dùng vật chiên trong chảo lớn đặng làm của lễ chay, thì phải bằng bột mịn với dầu.|若 用 煎 盤 作 的 物 為 素 祭 、 就 要 用 油 與 細 麵 作 成 。
Của lễ chay đã sắm sửa như cách nầy, ngươi sẽ đem dâng cho Đức Giê-hô-va, giao cho thầy tế lễ, và ngươi sẽ đem đến bàn thờ.|要 把 這 些 東 西 作 的 素 祭 、 帶 到 耶 和 華 面 前 、 並 奉 給 祭 司 帶 到 壇 前 。
Thầy tế lễ sẽ lấy ra phần phải dâng làm kỷ niệm, xông trên bàn thờ; ấy là một của lễ dùng lửa dâng lên, có mùi thơm cho Đức Giê-hô-va.|祭 司 要 從 素 祭 中 取 出 作 為 紀 念 的 、 燒 在 壇 上 、 是 獻 與 耶 和 華 為 馨 香 的 火 祭 。
Phần chi trong của lễ chay còn lại sẽ thuộc về A-rôn và các con trai người; ấy là một vật chí thánh trong các của lễ dùng lửa dâng cho Đức Giê-hô-va.|素 祭 所 剩 的 、 要 歸 給 亞 倫 和 他 的 子 孫 ． 這 是 獻 與 耶 和 華 的 火 祭 中 為 至 聖 的 。
Hễ của lễ chay các ngươi dâng cho Đức Giê-hô-va, thì chớ dâng với men; vì các ngươi chớ dùng men hay mật xông với của lễ chi dùng lửa dâng cho Đức Giê-hô-va.|凡 獻 給 耶 和 華 的 素 祭 、 都 不 可 有 酵 、 因 為 你 們 不 可 燒 一 點 酵 一 點 蜜 、 當 作 火 祭 獻 給 耶 和 華 。
Các ngươi được dâng những vật đó cho Đức Giê-hô-va như của lễ đầu mùa; nhưng chẳng nên đốt trên bàn thờ như của lễ có mùi thơm.|這 些 物 要 獻 給 耶 和 華 、 作 為 初 熟 的 供 物 、 只 是 不 可 在 壇 上 獻 為 馨 香 的 祭 。
Phải nêm muối các của lễ chay; chớ nên dâng lên thiếu muối; vì muối là dấu hiệu về sự giao ước của Đức Chúa Trời đã lập cùng ngươi; trên các lễ vật ngươi phải dâng muối.|凡 獻 為 素 祭 的 供 物 、 都 要 用 鹽 調 和 、 在 素 祭 上 不 可 缺 了 你 　 神 立 約 的 鹽 、 一 切 的 供 物 都 要 配 鹽 而 獻 。
Nếu ngươi dùng hoa quả đầu mùa đặng làm của lễ chay tế Đức Giê-hô-va, thì phải bằng gié lúa rang, hột lúa mới tán ra,|若 向 耶 和 華 獻 初 熟 之 物 為 素 祭 、 要 獻 上 烘 了 的 禾 穗 子 、 就 是 軋 了 的 新 穗 子 、 當 作 初 熟 之 物 的 素 祭 ．
đổ dầu vào và thêm nhũ hương. Ay là của lễ chay.|並 要 抹 上 油 、 加 上 乳 香 、 這 是 素 祭 。
Đoạn, thầy tế lễ lấy một phần hột tán ra với dầu và hết thảy nhũ hương mà xông làm kỷ niệm. Ay là của lễ dùng lửa dâng cho Đức Giê-hô-va.|祭 司 要 把 其 中 作 為 紀 念 的 、 就 是 一 些 軋 了 的 禾 穗 子 、 和 一 些 油 並 所 有 的 乳 香 、 都 焚 燒 、 是 向 耶 和 華 獻 的 火 祭 。

					Lê-vi 3				|
						利未記 3					
Phàm khi nào ai dâng của lễ thù ân bằng bò, hoặc đực hoặc cái, thì phải dâng lên trước mặt Đức Giê-hô-va, không tì vít chi.|人 獻 供 物 為 平 安 祭 、 〔 平 安 或 作 酬 恩 下 同 〕 若 是 從 牛 群 中 獻 、 無 論 是 公 的 、 是 母 的 、 必 用 沒 有 殘 疾 的 獻 在 耶 和 華 面 前 。
Người sẽ nhận tay mình trên đầu con sinh của mình, rồi giết nó tại cửa hội mạc; các con trai A-rôn, tức những thầy tế lễ, sẽ rảy huyết chung quanh trên bàn thờ.|他 要 按 手 在 供 物 的 頭 上 、 宰 於 會 幕 門 口 ． 亞 倫 子 孫 作 祭 司 的 、 要 把 血 灑 在 壇 的 周 圍 。
Do của lễ thù ân nầy, người sẽ dâng làm của lễ dùng lửa dâng cho Đức Giê-hô-va, mỡ chài và mỡ bộ lòng;|從 平 安 祭 中 、 將 火 祭 獻 給 耶 和 華 、 也 要 把 蓋 臟 的 脂 油 、 和 臟 上 所 有 的 脂 油 、
hai trái cật, mỡ trên hai trái cật nơi cạnh hông, và tấm da mỏng bọc gan, gỡ gần nơi hai trái cật.|並 兩 個 腰 子 、 和 腰 子 上 的 脂 油 、 就 是 靠 腰 兩 旁 的 脂 油 、 與 肝 上 的 網 子 、 和 腰 子 、 一 概 取 下 ．
Các con trai A-rôn sẽ xông mấy món đó nơi bàn thờ trên của lễ thiêu đã chất trên củi chụm lửa rồi; ấy là một của lễ dùng lửa dâng lên, có mùi thơm cho Đức Giê-hô-va.|亞 倫 的 子 孫 、 要 把 這 些 燒 在 壇 的 燔 祭 上 、 就 是 在 火 的 柴 上 、 是 獻 與 耶 和 華 為 馨 香 的 火 祭 。
Nếu người dâng cho Đức Giê-hô-va của lễ thù ân bằng chiên, hoặc đực hoặc cái, thì phải dâng lên không tì vít chi.|人 向 耶 和 華 獻 供 物 為 平 安 祭 、 若 是 從 羊 群 中 獻 、 無 論 是 公 的 、 是 母 的 、 必 用 沒 有 殘 疾 的 。
Vì của lễ bằng chiên con thì phải dâng nó lên trước mặt Đức Giê-hô-va,|若 獻 一 隻 羊 羔 為 供 物 、 必 在 耶 和 華 面 前 獻 上 ．
nhận tay mình trên đầu con sinh, rồi giết nó trước cửa hội mạc; các con trai A-rôn sẽ rảy huyết chung quanh trên bàn thờ.|並 要 按 手 在 供 物 的 頭 上 、 宰 於 會 幕 前 ． 亞 倫 的 子 孫 、 要 把 血 灑 在 壇 的 周 圍 。
Do của lễ thù ân nầy, người phải dâng làm của lễ dùng lửa dâng cho Đức Giê-hô-va, mỡ và cái đuôi nguyên, chặt gần cuối xương sống, mỡ chài và mỡ bộ lòng;|從 平 安 祭 中 、 將 火 祭 獻 給 耶 和 華 ． 其 中 的 脂 油 、 和 整 肥 尾 巴 、 都 要 在 靠 近 脊 骨 處 取 下 、 並 要 把 蓋 臟 的 脂 油 、 和 臟 上 所 有 的 脂 油 、
hai trái cật, mỡ trên hai trái cật nơi cạnh hông, và tấm da mỏng bọc gan, gỡ gần nơi hai trái cật.|兩 個 腰 子 、 和 腰 子 上 的 脂 油 、 就 是 靠 腰 兩 旁 的 脂 油 、 並 肝 上 的 網 子 、 和 腰 子 、 一 概 取 下 。
Thầy tế lễ sẽ xông các món đó trên bàn thờ; ấy là thực vật về của lễ dùng lửa dâng cho Đức Giê-hô-va.|祭 司 要 在 壇 上 焚 燒 、 是 獻 給 耶 和 華 為 食 物 的 火 祭 。
Nếu của lễ người bằng con dê cái, thì phải dâng lên trước mặt Đức Giê-hô-va,|人 的 供 物 若 是 山 羊 、 必 在 耶 和 華 面 前 獻 上 。
nhận tay mình trên đầu con sinh, rồi giết nó trước hội mạc; các con trai A-rôn sẽ rảy huyết chung quanh trên bàn thờ.|要 按 手 在 山 羊 頭 上 、 宰 於 會 幕 前 ． 亞 倫 的 子 孫 、 要 把 血 灑 在 壇 的 周 圍 。
Do của lễ thù ân nầy, người phải dâng làm của lễ dùng lửa dâng cho Đức Giê-hô-va, mỡ chài và mỡ bộ lòng,|又 把 蓋 臟 的 脂 油 、 和 臟 上 所 有 的 脂 油 、 兩 個 腰 子 、 和 腰 子 上 的 脂 油 、 就 是 靠 腰 兩 旁 的 脂 油 、 並 肝 上 的 網 子 、 和 腰 子 、 一 概 取 下 、 獻 給 耶 和 華 為 火 祭 ．
hai trái cật, mỡ trên hai trái cật nơi cạnh hông và tấm da mỏng bọc gan, gỡ gần nơi hai trái cật.|見 上 節
Thầy tế lễ sẽ xông các món đó trên bàn thờ; ấy là thực vật về của lễ dùng lửa dâng lên có mùi thơm. Hết thảy mỡ đều thuộc về Đức Giê-hô-va.|祭 司 要 在 壇 上 焚 燒 、 作 為 馨 香 火 祭 的 食 物 ． 脂 油 都 是 耶 和 華 的 。
Ay đó là luật lệ đời đời cho dòng dõi các ngươi, mặc dầu ở nơi nào: ngươi chẳng nên ăn mỡ hay là huyết.|在 你 們 一 切 的 住 處 、 脂 油 和 血 、 都 不 可 喫 、 這 要 成 為 你 們 世 世 代 代 永 遠 的 定 例 。

					Lê-vi 4				|
						利未記 4					
Đức Giê-hô-va lại phán cùng Môi-se rằng:|耶 和 華 對 摩 西 說 、
Hãy nói cùng dân Y-sơ-ra-ên rằng: Khi nào ai lầm lỡ mà phạm một trong các điều răn của Đức Giê-hô-va, và làm điều chẳng nên làm;|你 曉 諭 以 色 列 人 說 、 若 有 人 在 耶 和 華 所 吩 咐 不 可 行 的 甚 麼 事 上 、 誤 犯 了 一 件 ．
nếu là thầy tế lễ chịu xức dầu rồi mà phạm tội, và vì cớ đó gây cho dân sự phải mắc tội, thì vì tội mình đã phạm, người phải dâng cho Đức Giê-hô-va một con bò tơ không tì vít chi, đặng làm của lễ chuộc tội.|或 是 受 膏 的 祭 司 犯 罪 、 使 百 姓 陷 在 罪 裡 、 就 當 為 他 所 犯 的 罪 、 把 沒 有 殘 疾 的 公 牛 犢 、 獻 給 耶 和 華 為 贖 罪 祭 。
Người sẽ dẫn bò tơ đó đến cửa hội mạc trước mặt Đức Giê-hô-va, nhận tay mình trên đầu nó, rồi giết nó trước mặt Đức Giê-hô-va.|他 要 牽 公 牛 到 會 幕 門 口 、 在 耶 和 華 面 前 、 按 手 在 牛 的 頭 上 、 把 牛 宰 於 耶 和 華 面 前 。
Thầy tế lễ chịu xức dầu rồi sẽ lấy huyết bò tơ đem vào trong hội mạc,|受 膏 的 祭 司 、 要 取 些 公 牛 的 血 、 帶 到 會 幕 、
nhúng ngón tay mình trong huyết, rảy bảy lần trước mặt Đức Giê-hô-va, đối ngang bức màn nơi đền thánh.|把 指 頭 蘸 於 血 中 、 在 耶 和 華 面 前 、 對 著 聖 所 的 幔 子 、 彈 血 七 次 。
Đoạn, thầy tế lễ sẽ bôi huyết trên các sừng của bàn thờ xông hương ở trong hội mạc, trước mặt Đức Giê-hô-va, và đổ hết thảy huyết bò tơ nơi chân bàn thờ về của lễ thiêu, để trước cửa hội mạc.|又 要 把 些 血 抹 在 會 幕 內 、 耶 和 華 面 前 香 壇 的 四 角 上 ． 再 把 公 牛 所 有 的 血 、 倒 在 會 幕 門 口 、 燔 祭 壇 的 腳 那 裡 。
Người phải gỡ những mỡ của con bò dùng làm của lễ chuộc tội, tức là mỡ chài và mỡ bộ lòng,|要 把 贖 罪 祭 公 牛 所 有 的 脂 油 、 乃 是 蓋 臟 的 脂 油 、 和 臟 上 所 有 的 脂 油 、
hai trái cật, mỡ trên hai trái cật nơi cạnh hông, tấm da mỏng bọc gan, gỡ gần nơi hai trái cật,|並 兩 個 腰 子 、 和 腰 子 上 的 脂 油 、 就 是 靠 腰 兩 旁 的 脂 油 、 與 肝 上 的 網 子 、 和 腰 子 、 一 概 取 下 、
như gỡ các phần nầy của bò tơ dùng làm của lễ thù ân; rồi thầy tế lễ sẽ xông các món đó trên bàn thờ về của lễ thiêu.|與 平 安 祭 公 牛 上 所 取 的 一 樣 ． 祭 司 要 把 這 些 燒 在 燔 祭 的 壇 上 。
Còn da, hết thảy thịt, đầu, giò, bộ lòng và phẩn,|公 牛 的 皮 、 和 所 有 的 肉 、 並 頭 、 腿 、 臟 、 腑 、 糞 、
tức con bò tơ nguyên, người phải đem ra khỏi trại quân đến một nơi tinh sạch, là chỗ họ đổ tro, rồi chất trên củi nơi lửa và thiêu nó đi: tức là thiêu nó tại chỗ đổ tro vậy.|就 是 全 公 牛 、 要 搬 到 營 外 潔 淨 之 地 、 倒 灰 之 所 、 用 火 燒 在 柴 上 。
Nếu cả hội chúng Y-sơ-ra-ên vì lầm lỡ phạm một trong các điều răn của Đức Giê-hô-va, và làm điều không nên làm, mà vốn không tự biết, và vì cớ đó phải mắc tội;|以 色 列 全 會 眾 、 若 行 了 耶 和 華 所 吩 咐 不 可 行 的 甚 麼 事 、 誤 犯 了 罪 、 是 隱 而 未 現 、 會 眾 看 不 出 來 的 ．
nếu tội phạm ấy vừa mới lộ ra, thì hội chúng phải dâng một con bò tơ đặng làm của lễ chuộc tội, dẫn nó đến trước hội mạc.|會 眾 一 知 道 所 犯 的 罪 、 就 要 獻 一 隻 公 牛 犢 為 贖 罪 祭 、 牽 到 會 幕 前 。
Các hội trưởng phải nhận tay mình trên đầu bò tơ, rồi giết nó trước mặt Đức Giê-hô-va;|會 中 的 長 老 、 就 要 在 耶 和 華 面 前 按 手 在 牛 的 頭 上 、 將 牛 在 耶 和 華 面 前 宰 了 。
thầy tế lễ chịu xức dầu rồi sẽ đem huyết con bò tơ vào hội mạc,|受 膏 的 祭 司 要 取 些 公 牛 的 血 、 帶 到 會 幕 ．
nhúng ngón tay mình trong huyết, rảy bảy lần trước mặt Đức Giê-hô-va, đối ngang bức màn.|把 指 頭 蘸 於 血 中 、 在 耶 和 華 面 前 、 對 著 幔 子 彈 血 七 次 ．
Đoạn, người sẽ bôi huyết trên các sừng của bàn thờ trong hội mạc trước mặt Đức Giê-hô-va, rồi đổ huyết hết dưới chân bàn thờ về của lễ thiêu, để trước cửa hội mạc.|又 要 把 些 血 抹 在 會 幕 內 、 耶 和 華 面 前 壇 的 四 角 上 、 再 把 所 有 的 血 、 倒 在 會 幕 門 口 、 燔 祭 壇 的 腳 那 裡 。
Người cũng gỡ hết thảy mỡ đem xông trên bàn thờ.|把 牛 所 有 的 脂 油 都 取 下 、 燒 在 壇 上 、
Cách dâng con bò tơ nầy cũng như cách dâng con bò dùng làm lễ chuộc tội: ấy vậy, thầy tế lễ sẽ chuộc tội cho hội chúng và tội hội chúng sẽ được tha.|收 拾 這 牛 、 與 那 贖 罪 祭 的 牛 一 樣 ． 祭 司 要 為 他 們 贖 罪 、 他 們 必 蒙 赦 免 。
Đoạn, người phải đem con bò tơ đó ra ngoài trại quân, thiêu đi như đã thiêu con bò tơ trước: ấy là của lễ chuộc tội cho hội chúng.|他 要 把 牛 搬 到 營 外 燒 了 、 像 燒 頭 一 個 牛 一 樣 ． 這 是 會 眾 的 贖 罪 祭 。
Ví bằng một quan trưởng nào, vì lẫm lỡ phạm một trong các điều răn của Đức Giê-hô-va, là Đức Chúa Trời mình, mà làm điều không nên làm, và vì cớ đó mắc tội;|官 長 若 行 了 耶 和 華 他 　 神 所 吩 咐 不 可 行 的 甚 麼 事 、 誤 犯 了 罪 、
khi nào người ta tỏ ra cho quan trưởng đó biết tội mình đã phạm, thì người phải dẫn đến làm của lễ mình, một con dê đực không tì vít chi,|所 犯 的 罪 自 己 知 道 了 、 就 要 牽 一 隻 沒 有 殘 疾 的 公 山 羊 為 供 物 ．
nhận tay mình trên đầu dê đực đó, rồi giết nó trước mặt Đức Giê-hô-va tại nơi giết các con sinh dùng làm của lễ thiêu: ấy là của lễ chuộc tội.|按 手 在 羊 的 頭 上 、 宰 於 耶 和 華 面 前 、 宰 燔 祭 牲 的 地 方 、 這 是 贖 罪 祭 。
Thầy tế lễ sẽ nhúng ngón tay mình trong huyết của con sinh tế chuộc tội, bôi trên các sừng bàn thờ về của lễ thiêu, và đổ huyết dưới chân bàn thờ;|祭 司 要 用 指 頭 蘸 些 贖 罪 祭 牲 的 血 、 抹 在 燔 祭 壇 的 四 角 上 、 把 血 倒 在 燔 祭 壇 的 腳 那 裡 。
đoạn xông hết mỡ trên bàn thờ như cách xông mỡ về của lễ thù ân. Ay vậy, thầy tế lễ sẽ chuộc tội cho người, và tội người sẽ được tha.|所 有 的 脂 油 、 祭 司 都 要 燒 在 壇 上 、 正 如 平 安 祭 的 脂 油 一 樣 ． 至 於 他 的 罪 、 祭 司 要 為 他 贖 了 、 他 必 蒙 赦 免 。
Nếu một người nào trong dân chúng, vì lẫm lỡ phạm một trong các điều răn của Đức Giê-hô-va mà làm điều không nên làm, và vì cớ đó phải mắc tội;|民 中 若 有 人 行 了 耶 和 華 所 吩 咐 不 可 行 的 甚 麼 事 、 誤 犯 了 罪 、
khi nào người ta tỏ cho người đó biết tội mình đã phạm, thì người phải vì cớ tội mình dẫn đến một con dê cái không tì vít chi, dùng làm của lễ,|所 犯 的 罪 自 己 知 道 了 、 就 要 為 所 犯 的 罪 、 牽 一 隻 沒 有 殘 疾 的 母 山 羊 為 供 物 ．
nhận tay mình trên đầu con sinh tế chuộc tội, rồi giết nó trong nơi giết con sinh dùng làm của lễ thiêu.|按 手 在 贖 罪 祭 牲 的 頭 上 、 在 那 宰 燔 祭 牲 的 地 方 宰 了 。
Thầy tế lễ sẽ nhúng ngón tay mình trong huyết, bôi trên các sừng bàn thờ về của lễ thiêu, và đổ hết huyết dưới chân bàn thờ;|祭 司 要 用 指 頭 蘸 些 羊 的 血 、 抹 在 燔 祭 壇 的 四 角 上 、 所 有 的 血 、 都 要 倒 在 壇 的 腳 那 裡 ．
rồi, gỡ hết mỡ như cách gỡ mỡ về của lễ thù ân, đem xông trên bàn thờ, làm của lễ có mùi thơm dâng cho Đức Giê-hô-va. Ay vậy, thầy tế lễ sẽ chuộc tội cho người đó, thì tội người sẽ được tha.|又 要 把 羊 所 有 的 脂 油 都 取 下 、 正 如 取 平 安 祭 牲 的 脂 油 一 樣 ． 祭 司 要 在 壇 上 焚 燒 、 在 耶 和 華 面 前 作 為 馨 香 的 祭 、 為 他 贖 罪 、 他 必 蒙 赦 免 。
Nếu của lễ chuộc tội người bằng chiên con, thì phải dâng một con cái chẳng tì vít chi,|人 若 牽 一 隻 綿 羊 羔 為 贖 罪 祭 的 供 物 、 必 要 牽 一 隻 沒 有 殘 疾 的 母 羊 ．
nhận tay mình trên đầu con sinh tế chuộc tội, rồi giết nó tại nơi giết con sinh dùng làm của lễ thiêu.|按 手 在 贖 罪 祭 牲 的 頭 上 、 在 那 宰 燔 祭 牲 的 地 方 宰 了 、 作 贖 罪 祭 。
Đoạn, thầy tế lễ sẽ nhúng ngón tay mình trong huyết, bôi trên các sừng bàn thờ về của lễ thiêu, và đổ hết huyết dưới chân bàn thờ;|祭 司 要 用 指 頭 蘸 些 贖 罪 祭 牲 的 血 、 抹 在 燔 祭 壇 的 四 角 上 ． 所 有 的 血 、 都 要 倒 在 壇 的 腳 那 裡 ．
gỡ hết mỡ như cách gỡ mỡ của chiên con dùng làm của lễ thù ân, đem xông trên bàn thờ như các của lễ dùng lửa dâng cho Đức Giê-hô-va. Ay vậy, thầy tế lễ sẽ chuộc tội cho người đó, thì tội người sẽ được tha.|又 要 把 所 有 的 脂 油 都 取 下 、 正 如 取 平 安 祭 羊 羔 的 脂 油 一 樣 ． 祭 司 要 按 獻 給 耶 和 華 火 祭 的 條 例 、 燒 在 壇 上 ． 至 於 所 犯 的 罪 、 祭 司 要 為 他 贖 了 、 他 必 蒙 赦 免 。

					Lê-vi 5				|
						利未記 5					
Khi người nào làm chứng bị bắt thề rồi, và phạm tội vì không tỏ ra điều mình đã thấy hay là đã biết, thì người đó sẽ mang tội mình.|若 有 人 聽 見 發 誓 的 聲 音 、 〔 或 作 若 有 人 聽 見 叫 人 發 誓 的 聲 音 〕 他 本 是 見 證 、 卻 不 把 所 看 見 的 、 所 知 道 的 、 說 出 來 、 這 就 是 罪 ． 他 要 擔 當 他 的 罪 孽 。
Khi ai sẽ đụng đến một vật ô uế, hoặc thây của con thú nhà không tinh sạch, hoặc thây của con thú rừng không tinh sạch, hoặc thây của loài côn trùng nào không tinh sạch, mà không tự biết, thì sẽ bị ô uế và mắc tội.|或 是 有 人 摸 了 不 潔 的 物 、 無 論 是 不 潔 的 死 獸 、 是 不 潔 的 死 畜 、 是 不 潔 的 死 蟲 、 他 卻 不 知 道 、 因 此 成 了 不 潔 、 就 有 了 罪 。
Khi ai, hoặc tự biết hay không biết, sẽ đụng đến sự ô uế nào của loài người, không cứ bị ô uế cách nào, thì cũng sẽ mắc tội.|或 是 他 摸 了 別 人 的 污 穢 、 無 論 是 染 了 甚 麼 污 穢 、 他 卻 不 知 道 、 一 知 道 了 、 就 有 了 罪 。
Khi ai nói sơ ý thề thốt làm ác hay là làm thiện, mặc dầu cách nào, trước không ngờ đến, rồi sau lại tự biết, thì ai đó sẽ mắc tội trong điều nầy hay là điều kia.|或 是 有 人 嘴 裡 冒 失 發 誓 、 要 行 惡 、 要 行 善 、 無 論 人 在 甚 麼 事 上 冒 失 發 誓 、 他 卻 不 知 道 、 一 知 道 了 、 就 要 在 這 其 中 的 一 件 上 有 了 罪 。
Vậy, khi nào ai mắc tội về một trong các điều nầy, thì phải xưng mình phạm tội chi,|他 有 了 罪 的 時 候 、 就 要 承 認 所 犯 的 罪 ．
