
					Ha-gai 1				|
A-ghê bèn nói rằng: Đức Giê-hô-va phán: Dân nầy nước nầy ở trước mặt ta cũng vậy; cả công việc tay chúng nó làm ra cũng vậy; vật chúng nó dâng tại đây cũng bị ô uế.|於 是 哈 該 說 、 耶 和 華 說 、 這 民 這 國 、 在 我 面 前 也 是 如 此 ． 他 們 手 下 的 各 樣 工 作 、 都 是 如 此 ． 他 們 在 壇 上 所 獻 的 也 是 如 此 。
Vậy bây giờ, ta xin các ngươi khá suy nghĩ, từ ngày nầy về trước, khi chưa đặt hòn đá nầy trên hòn đá kia nơi đền thờ Đức Giê-hô-va.|現 在 你 們 要 追 想 、 此 日 以 前 、 耶 和 華 的 殿 、 沒 有 一 塊 石 頭 壘 在 石 頭 上 的 光 景 ．
Trải qua cả lúc đó, khi người ta đến một đống lúa đáng được hai mươi lường, chỉ được có mười; và khi người ta đến bàn ép rượu, đáng được năm mươi lường, chỉ được có hai mươi.|在 那 一 切 日 子 、 有 人 來 到 榖 堆 、 想 得 二 十 斗 、 只 得 了 十 斗 ． 有 人 來 到 酒 池 、 想 得 五 十 桶 、 只 得 了 二 十 桶 。
Ta đã dùng những hạn hán, ten rét, mưa đá đánh phạt các ngươi trong mọi việc tay các ngươi làm, mà các ngươi không trở lại cùng ta, Đức Giê-hô-va phán vậy.|在 你 們 手 下 的 各 樣 工 作 上 、 我 以 旱 風 、 霉 爛 、 冰 雹 、 攻 擊 你 們 ． 你 們 仍 不 歸 向 我 ． 這 是 耶 和 華 說 的 。
Bây giờ hãy suy nghĩ; từ ngày nay về trước, tức là từ ngày hai mươi bốn tháng chín, từ ngày đặt nền của đền thờ Đức Giê-hô-va; hãy suy nghĩ điều đó!|你 們 要 追 想 此 日 以 前 、 就 是 從 這 九 月 二 十 四 日 起 、 追 想 到 立 耶 和 華 殿 根 基 的 日 子 。
Các ngươi còn có hột giống nơi hầm vựa không? Dầu cho đến cây nho, cây vả, cây lựu, cây ô-li-ve, cũng không có cây nào ra trái. Nhưng từ ngày nầy, ta sẽ ban phước cho các ngươi.|倉 裡 有 榖 種 麼 ． 葡 萄 樹 、 無 花 果 樹 、 石 榴 樹 、 橄 欖 樹 、 都 沒 有 結 果 子 ． 從 今 日 起 、 我 必 賜 福 與 你 們 。
Lại có lời Đức Giê-hô-va phán lần thứ hai cho A-ghê trong ngày hai mươi bốn tháng ấy, rằng:|這 月 二 十 四 日 、 耶 和 華 的 話 二 次 臨 到 哈 該 說 、
Hãy nói cùng Xô-rô-ba-bên, quan trấn thủ Giu-đa, mà rằng: Ta sẽ làm rúng động các từng trời và đất;|你 要 告 訴 猶 大 省 長 所 羅 巴 伯 說 、 我 必 震 動 天 地 ．
Ta sẽ lật đổ ngôi của các nước, diệt quyền thế các nước của các dân; ta sẽ đánh đổ các xe cộ và người ngồi ở trên; các ngựa và người cỡi, ai nấy sẽ bị đánh ngã bởi gươm của anh em mình.|我 必 傾 覆 列 國 的 寶 座 、 除 滅 列 邦 的 勢 力 、 並 傾 覆 戰 車 和 坐 在 其 上 的 ． 馬 必 跌 倒 、 騎 馬 的 敗 落 、 各 人 被 弟 兄 的 刀 所 殺 。
Đức Giê-hô-va vạn quân phán: Hỡi Xô-rô-ba-bên, con trai Sa-la-thi-ên, trong ngày đó, ta sẽ lấy ngươi làm đầy tớ ta! Đức Giê-hô-va phán: Ta sẽ đặt ngươi như ấn tín; vì ta đã chọn ngươi, Đức Giê-hô-va vạn quân phán vậy.|萬 軍 之 耶 和 華 說 、 我 僕 人 撒 拉 鐵 的 兒 子 所 羅 巴 伯 阿 、 到 那 日 、 我 必 以 你 為 印 、 因 我 揀 選 了 你 ． 這 是 萬 軍 之 耶 和 華 說 的 。
