
					Thánh Thi 1				|
Kẻ kiêu ngạo chẳng đứng nổi trước mặt Chúa; Chúa ghét hết thảy những kẻ làm ác.|狂 傲 人 不 能 站 在 你 眼 前 ． 凡 作 孽 的 、 都 是 你 所 恨 惡 的 。
Chúa sẽ hủy diệt các kẻ nói dối; Đức Giê-hô-va gớm ghiếc người đổ huyết và kẻ gian lận.|說 謊 言 的 、 你 必 滅 絕 ． 好 流 人 血 弄 詭 詐 的 、 都 為 耶 和 華 所 憎 惡 。
Còn tôi, nhờ sự nhơn từ dư dật của Chúa, tôi sẽ vào nhà Chúa, Lấy lòng kính sợ Chúa mà thờ lạy trước đền thánh của Chúa.|至 於 我 、 我 必 憑 你 豐 盛 的 慈 愛 進 入 你 的 居 所 ． 我 必 存 敬 畏 你 的 心 向 你 的 聖 殿 下 拜 。
Hỡi Đức Giê-hô-va, nhơn vì kẻ thù nghịch tôi, xin lấy công bình Ngài mà dẫn dắt tôi, Và ban bằng đường Ngài trước mặt tôi.|耶 和 華 阿 、 求 你 因 我 的 仇 敵 、 憑 你 的 公 義 、 引 領 我 ． 使 你 的 道 路 在 我 面 前 正 直 。
Vì nơi miệng chúng nó chẳng có sự thành tín; Lòng chúng nó chỉ là gian tà; Họng chúng nó là huyệt mả mở ra; Lưỡi chúng nó đầy dẫy điều dua nịnh.|因 為 他 們 的 口 中 沒 有 誠 實 ． 他 們 的 心 裡 滿 有 邪 惡 ． 他 們 的 喉 嚨 、 是 敞 開 的 墳 墓 ． 他 們 用 舌 頭 諂 媚 人 。
Hỡi Đức Chúa Trời, xin hãy trừng trị chúng nó; Nguyện họ sa ngã trong mưu chước mình; Hãy xô đuổi họ vì tội ác rất nhiều của họ; Vì họ đã phản nghịch cùng Chúa.|　 神 阿 、 求 你 定 他 們 的 罪 。 願 他 們 因 自 己 的 計 謀 跌 倒 ． 願 你 在 他 們 許 多 的 過 犯 中 、 把 他 們 逐 出 ． 因 為 他 們 背 叛 了 你 。
Nhưng phàm ai nương náu mình nơi Chúa sẽ khoái lạc, Cất tiếng reo mừng đến mãi mãi, Vì Chúa bảo hộ các người ấy; Kẻ nào ái mộ danh Chúa Cũng sẽ nức lòng mừng rỡ nơi Chúa.|凡 投 靠 你 的 、 願 他 們 喜 樂 、 時 常 歡 呼 、 因 為 你 護 庇 他 們 ． 又 願 那 愛 你 名 的 人 、 都 靠 你 歡 欣 。
Vì hỡi Đức Giê-hô-va, chính Ngài sẽ ban phước cho người công bình, Lấy ơn vây phủ người khác nào bằng cái khiên.|因 為 你 必 賜 福 與 義 人 ． 耶 和 華 阿 、 你 必 用 恩 惠 如 同 盾 牌 四 面 護 衛 他 。

					Thánh Thi 6				|
						詩篇 6					
Đức Giê-hô-va ôi! xin chớ nổi thạnh nộ mà trách tôi, Chớ sửa phạt tôi trong khi Ngài giận phừng,|〔 大 衛 的 詩 、 交 與 伶 長 、 用 絲 絃 的 樂 器 、 調 用 第 八 。 〕 耶 和 華 阿 、 求 你 不 要 在 怒 中 責 備 我 、 也 不 要 在 烈 怒 中 懲 罰 我 。
Hỡi Đức Giê-hô-va, xin thương xót tôi, vì tôi yếu mỏn; Lạy Đức Giê-hô-va, xin chữa tôi, vì xương cốt tôi run rẩy.|耶 和 華 阿 、 求 你 可 憐 我 ． 因 為 我 軟 弱 。 耶 和 華 阿 、 求 你 醫 治 我 ． 因 為 我 的 骨 頭 發 戰 。
Đức Giê-hô-va ôi! linh hồn tôi cũng bối rối quá đỗi; Còn Ngài, cho đến chừng nào?|我 心 也 大 大 的 驚 惶 。 耶 和 華 阿 、 你 要 到 幾 時 纔 救 我 呢 。
Lạy Đức Giê-hô-va, xin hãy trở lại, giải cứu linh hồn tôi; Hãy cứu tôi vì lòng nhơn từ Ngài.|耶 和 華 阿 、 求 你 轉 回 、 搭 救 我 ． 因 你 的 慈 愛 拯 救 我 。
Vì trong sự chết chẳng còn nhớ đến Chúa nữa; Nơi âm phủ ai sẽ cảm tạ Chúa?|因 為 在 死 地 無 人 記 念 你 、 在 陰 間 有 誰 稱 謝 你 。
Tôi mỏn sức vì than thở, Mỗi đêm tôi làm trôi giường tôi, Dầm nó với nước mắt.|我 因 唉 哼 而 困 乏 ． 我 每 夜 流 淚 、 把 床 榻 漂 起 、 把 褥 子 溼 透 。
Mắt tôi hao mòn vì buồn thảm, Làng lệt vì cớ cừu địch tôi.|我 因 憂 愁 眼 睛 乾 癟 ． 又 因 我 一 切 的 敵 人 眼 睛 昏 花 。
Hỡi kẻ làm ác kia, khá lìa xa ta hết thảy; Vì Đức Giê-hô-va đã nghe tiếng khóc lóc ta.|你 們 一 切 作 孽 的 人 、 離 開 我 罷 ． 因 為 耶 和 華 聽 了 我 哀 哭 的 聲 音 。
Đức Giê-hô-va đã nghe sự nài xin ta. Ngài nhận lời cầu nguyện ta.|耶 和 華 聽 了 我 的 懇 求 ． 耶 和 華 必 收 納 我 的 禱 告 。
Hết thảy kẻ thù nghịch tôi sẽ bị hổ thẹn và bối rối lắm; Chúng nó sẽ sụt lui lại, vội vàng bị mất cỡ.|我 的 一 切 仇 敵 都 必 羞 愧 、 大 大 驚 惶 ． 他 們 必 要 退 後 、 忽 然 羞 愧 。

					Thánh Thi 7				|
						詩篇 7					
Hỡi Giê-hô-va Đức Chúa Trời tôi, tôi nương náu mình nơi Ngài; Xin hãy cứu tôi khỏi kẻ rượt đuổi tôi, và thoát giải tôi,|〔 大 衛 指 著 便 雅 憫 人 古 實 的 話 、 向 耶 和 華 唱 的 流 離 歌 。 〕 耶 和 華 我 的 　 神 阿 、 我 投 靠 你 ． 求 你 救 我 脫 離 一 切 追 趕 我 的 人 、 將 我 救 拔 出 來 ．
Kẻo kẻ thù nghịch xé tôi như con sư tử, Và phân tôi từ mảnh, không ai giải cứu cho.|恐 怕 他 們 像 獅 子 撕 裂 我 、 甚 至 撕 碎 、 無 人 搭 救 。
Hỡi Giê-hô-va Đức Chúa Trời tôi, nhược bằng tôi đã làm điều ấy, Và có sự gian ác nơi tay tôi;|耶 和 華 我 的 　 神 阿 、 我 若 行 了 這 事 、 若 有 罪 孽 在 我 手 裡 、
Nếu tôi đã trả ác cho người ở hòa hảo cùng tôi, Và cướp lột kẻ hiếp tôi vô cớ,|我 若 以 惡 報 那 與 我 交 好 的 人 、 （ 連 那 無 故 與 我 為 敵 的 、 我 也 救 了 他 ）
Thì đáng cho kẻ thù nghịch đuổi theo tôi kịp Giày đạp mạng sống tôi dưới đất, Và làm rạp vinh hiển tôi xuống bụi đất.|就 任 憑 仇 敵 追 趕 我 、 直 到 追 上 ． 將 我 的 性 命 踏 在 地 下 、 使 我 的 榮 耀 歸 於 灰 塵 。 〔 細 拉 〕
Hỡi Đức Giê-hô-va, xin hãy nổi thạnh nộ mà chổi dậy; Hãy dấy nghịch cùng sự giận hoảng của kẻ hiếp tôi; Khá tỉnh thức mà giúp đỡ tôi; Ngài đã truyền định sự đoán xét rồi.|耶 和 華 阿 、 求 你 在 怒 中 起 來 、 挺 身 而 立 、 抵 擋 我 敵 人 的 暴 怒 ． 求 你 為 我 興 起 ． 你 已 經 命 定 施 行 審 判 。
Hội các dân tộc sẽ vây phủ từ phía Ngài; Còn Ngài vì chúng phải trở lên cao.|願 眾 民 的 會 環 繞 你 ． 願 你 從 其 上 歸 於 高 位 。
Đức Giê-hô-va đoán xét các dân. Hỡi Đức Giê-hô-va, xin hãy đoán xét tôi theo sự công bình tôi, Và theo sự thanh liêm ở nơi lòng tôi.|耶 和 華 向 眾 民 施 行 審 判 ． 耶 和 華 阿 、 求 你 按 我 的 公 義 、 和 我 心 中 的 純 正 、 判 斷 我 。
Ồ, Đức Chúa Trời công bình! là Đấng dò xét lòng dạ loài người, Xin hãy khiến cùng tận sự gian ác kẻ dữ, Song hãy làm cho vững vàng người công bình.|願 惡 人 的 惡 斷 絕 ． 願 你 堅 立 義 人 ． 因 為 公 義 的 　 神 察 驗 人 的 心 腸 肺 腑 。
Đức Chúa Trời là cái khiên tôi, Ngài là Đấng cứu rỗi những kẻ có lòng ngay thẳng.|　 神 是 我 的 盾 牌 ． 他 拯 救 心 裡 正 直 的 人 。
Đức Chúa Trời là quan án công bình, Thật là Đức Chúa Trời hằng ngày nổi giận cùng kẻ ác.|　 神 是 公 義 的 審 判 者 、 又 是 天 天 向 惡 人 發 怒 的 　 神 。
Nếu kẻ ác không hối cải, thì Đức Chúa Trời sẽ mài gươm: Ngài đã giương cung mà chực cho sẵn,|若 有 人 不 回 頭 、 他 的 刀 必 磨 快 、 弓 必 上 弦 、 豫 備 妥 當 了 。
Cũng đã vì nó sắm sửa khí giới làm chết, Và làm những tên Ngài phừng lửa.|他 也 豫 備 了 殺 人 的 器 械 ． 他 所 射 的 是 火 箭 。
Kìa, kẻ dữ đương đẻ gian ác; Thật nó đã hoài thai sự khuấy khỏa, và sanh điều dối trá.|試 看 惡 人 因 奸 惡 而 劬 勞 ． 所 懷 的 是 毒 害 、 所 生 的 是 虛 假 。
Nó đào một hố sâu, Nhưng lại té vào hố nó đã đào.|他 掘 了 坑 、 又 挖 深 了 、 竟 掉 在 自 己 所 挖 的 阱 裡 。
Sự khuấy khỏa nó đã làm sẽ đổ lại trên đầu nó. Và sự hung hăng nó giáng trên trán nó.|他 的 毒 害 、 必 臨 到 他 自 己 的 頭 上 ． 他 的 強 暴 必 落 到 他 自 己 的 腦 袋 上 。
Tôi sẽ ngợi khen Đức Giê-hô-va y theo sự công bình Ngài, Và ca tụng danh Đức Giê-hô-va là Đấng Chí cao.|我 要 照 著 耶 和 華 的 公 義 稱 謝 他 、 歌 頌 耶 和 華 至 高 者 的 名 。

					Thánh Thi 8				|
						詩篇 8					
Hỡi Đức Giê-hô-va là Chúa chúng tôi, Danh Chúa được sang cả trên khắp trái đất biết bao; Sự oai nghi Chúa hiện ra trên các từng trời!|〔 大 衛 的 詩 、 交 與 伶 長 、 用 迦 特 樂 器 。 〕 耶 和 華 我 們 的 主 阿 、 你 的 名 在 全 地 何 其 美 ． 你 將 你 的 榮 耀 彰 顯 於 天 。
Nhơn vì các cừu địch Chúa, Chúa do miệng trẻ thơ và những con đương bú, Mà lập nên năng lực Ngài, Đặng làm cho người thù nghịch và kẻ báo thù phải nín lặng.|你 因 敵 人 的 緣 故 、 從 嬰 孩 和 喫 奶 的 口 中 、 建 立 了 能 力 、 使 仇 敵 和 報 仇 的 、 閉 口 無 言 。
Khi tôi nhìn xem các từng trời là công việc của ngón tay Chúa, Mặt trăng và các ngôi sao mà Chúa đã đặt,|我 觀 看 你 指 頭 所 造 的 天 、 並 你 所 陳 設 的 月 亮 星 宿 、
Loài người là gì, mà Chúa nhớ đến? Con loài người là chi, mà Chúa thăm viếng nó?|便 說 、 人 算 甚 麼 、 你 竟 顧 念 他 ． 世 人 算 甚 麼 、 你 竟 眷 顧 他 。
Chúa làm người kém Đức Chúa Trời một chút, Đội cho người sự vinh hiển và sang trọng.|你 叫 他 比 天 使 〔 或 作 　 神 〕 微 小 一 點 、 並 賜 他 榮 耀 尊 貴 為 冠 冕 。
Chúa ban cho người quyền cai trị công việc tay Chúa làm, Khiến muôn vật phục dưới chơn người:|你 派 他 管 理 你 手 所 造 的 、 使 萬 物 、 就 是 一 切 的 牛 羊 、 田 野 的 獸 、 空 中 的 鳥 、 海 裡 的 魚 、 凡 經 行 海 道 的 、 都 服 在 他 的 腳 下 。
Cả loài chiên, loài bò, Đến đỗi các thú rừng,|見 上 節
Chim trời và cá biển, Cùng phàm vật gì lội đi các lối biển.|見 上 節
Hỡi Đức Giê-hô-va là Chúa chúng tôi, Danh Chúa được sang cả trên khắp trái đất biết bao!|耶 和 華 我 們 的 主 阿 、 你 的 名 在 全 地 何 其 美 。

					Thánh Thi 9				|
						詩篇 9					
Tôi sẽ hết lòng cảm tạ Đức Giê-hô-va, Tỏ ra các công việc lạ lùng của Ngài.|〔 大 衛 的 詩 、 交 與 伶 長 、 調 用 慕 拉 便 。 〕 我 要 一 心 稱 謝 耶 和 華 ． 我 要 傳 揚 你 一 切 奇 妙 的 作 為 。
Hỡi Đấng chí cao, tôi sẽ vui vẻ, hớn hở nơi Ngài, Và ca tụng danh của Ngài.|我 要 因 你 歡 喜 快 樂 ． 至 高 者 阿 、 我 要 歌 頌 你 的 名 。
Khi kẻ thù nghịch tôi lui bước, Chúng nó vấp ngã, và hư mất trước mặt Chúa.|我 的 仇 敵 轉 身 退 去 的 時 候 、 他 們 一 見 你 的 面 、 就 跌 倒 滅 亡 。
Vì Chúa binh vực quyền lợi và duyên cớ tôi; Chúa ngồi tòa mà đoán xét công bình.|因 你 已 經 為 我 伸 冤 、 為 我 辨 屈 ． 你 坐 在 寶 座 上 、 按 公 義 審 判 。
Chúa đã quở trách các nước, hủy diệt kẻ ác, Xóa sạch danh chúng nó đời đời.|你 曾 斥 責 外 邦 ． 你 曾 滅 絕 惡 人 ． 你 曾 塗 抹 他 們 的 名 、 直 到 永 永 遠 遠 。
Kẻ thù nghịch đã đến cùng, bị hủy diệt đời đời; Còn các thành Chúa đã phá đổ, Dầu kỷ niệm nó cũng đã bị hư mất rồi.|仇 敵 到 了 盡 頭 ． 他 們 被 毀 壞 、 直 到 永 遠 ． 你 拆 毀 他 們 的 城 邑 ． 連 他 們 的 名 號 、 都 歸 於 無 有 。
Nhưng Đức Giê-hô-va ngồi cai trị đời đời; Ngài đã dự bị ngôi mình để đoán xét.|惟 耶 和 華 坐 著 為 王 、 直 到 永 遠 ． 他 已 經 為 審 判 設 擺 他 的 寶 座 ．
Ngài sẽ lấy công bình đoán xét thế gian, Dùng sự ngay thẳng mà xử các dân tộc.|他 要 按 公 義 審 判 世 界 、 按 正 直 判 斷 萬 民 。
Đức Giê-hô-va sẽ làm nơi náu ẩn cao cho kẻ bị hà hiếp, Một nơi náu ẩn cao trong thì gian truân.|耶 和 華 又 要 給 受 欺 壓 的 人 作 高 臺 、 在 患 難 的 時 候 作 高 臺 。
Hỡi Đức Giê-hô-va, phàm ai biết danh Ngài sẽ để lòng tin cậy nơi Ngài; Vì Ngài chẳng từ bỏ kẻ nào tìm kiếm Ngài.|耶 和 華 阿 、 認 識 你 名 的 人 要 倚 靠 你 ． 因 你 沒 有 離 棄 尋 求 你 的 人 。
Khá hát ngợi khen Đức Giê-hô-va, là Đấng ngự tại Si-ôn; Hãy báo cáo giữa các dân công việc tối cao của Ngài.|應 當 歌 頌 居 錫 安 的 耶 和 華 、 將 他 所 行 的 傳 揚 在 眾 民 中 。
Vì Đấng báo thù huyết nhớ lại kẻ khốn cùng, Chẳng hề quên tiếng kêu của họ.|因 為 那 追 討 流 人 血 之 罪 的 、 他 記 念 受 屈 的 人 、 不 忘 記 困 苦 人 的 哀 求 。
Đức Giê-hô-va ôi! xin thương xót tôi; Hỡi Đấng đem tôi lên khỏi cửa sự chết, Hãy xem sự gian nan tôi mắc phải tại vì kẻ ghét tôi;|耶 和 華 阿 、 你 是 從 死 門 把 我 提 拔 起 來 的 ． 求 你 憐 恤 我 ． 看 那 恨 我 的 人 所 加 給 我 的 苦 難 。
Hầu cho tại cửa con gái Si-ôn, Tôi tỏ ra mọi sự ngợi khen Chúa, Và mừng rỡ về sự cứu rỗi của Ngài.|好 叫 我 述 說 你 一 切 的 美 德 ． 我 必 在 錫 安 城 的 門 、 〔 城 原 文 作 女 子 〕 因 你 的 救 恩 歡 樂 。
Các dân đã lún xuống trong hố chúng nó đã đào; Chơn của chúng nó mắc vào lưới chúng nó đã gài kín.|外 邦 人 陷 在 自 己 所 掘 的 坑 中 ． 他 們 的 腳 在 自 己 暗 設 的 網 羅 裡 纏 住 了 。
Đức Giê-hô-va thi hành sự đoán xét mà tỏ mình Ngài ra; Kẻ ác bị công việc tay mình làm trở vấn lấy.|耶 和 華 已 將 自 己 顯 明 了 、 他 已 施 行 審 判 ． 惡 人 被 自 己 手 所 作 的 纏 住 了 。 〔 或 作 他 叫 惡 人 被 自 己 手 所 作 的 累 住 了 〕 〔 細 拉 〕
Kẻ ác sẽ bị xô xuống âm phủ, Và các dân quên Đức Chúa Trời cũng vậy.|惡 人 、 就 是 忘 記 　 神 的 外 邦 人 、 都 必 歸 到 陰 間 。
Người thiếu thốn sẽ không bị bỏ quên luôn luôn, Và kẻ khốn cùng chẳng thất vọng mãi mãi.|窮 乏 人 必 不 永 久 被 忘 、 困 苦 人 的 指 望 、 必 不 永 遠 落 空 。
Hỡi Đức Giê-hô-va, xin hãy chổi dậy, chớ cho người đời được thắng; Nguyện các dân bị đoán xét trước mặt Ngài.|耶 和 華 阿 、 求 你 起 來 、 不 容 人 得 勝 ． 願 外 邦 人 在 你 面 前 受 審 判 。
Hỡi Đức Giê-hô-va, xin hãy làm cho chúng nó sợ hãi. Nguyện các dân biết mình chẳng qua là người phàm.|耶 和 華 阿 、 求 你 使 外 邦 人 恐 懼 ． 願 他 們 知 道 自 己 不 過 是 人 。 〔 細 拉 〕

					Thánh Thi 10				|
						詩篇 10					
Đức Giê-hô-va ôi! vì cớ Ngài đứng xa, Lúc gian truân tại sao Ngài ẩn mình đi?|耶 和 華 阿 、 你 為 甚 麼 站 在 遠 處 ． 在 患 難 的 時 候 、 為 甚 麼 隱 藏 。
Kẻ ác, vì lòng kiêu ngạo, hăm hở rượt theo người khốn cùng; Nguyện chúng nó phải mắc trong mưu chước mình đã toan.|惡 人 在 驕 橫 中 、 把 困 苦 人 追 得 火 急 ． 願 他 們 陷 在 自 己 所 設 的 計 謀 裡 。
Vì kẻ ác tự khoe về lòng dục mình; Kẻ tham của từ bỏ Đức Giê-hô-va, và khinh dể Ngài.|因 為 惡 人 以 心 願 自 誇 ． 貪 財 的 背 棄 耶 和 華 、 並 且 輕 慢 他 。 〔 或 作 他 祝 福 貪 財 的 卻 輕 慢 耶 和 華 〕
