
					Ô-ba-đi-a 1				|
Ay là vì cớ sự hung bạo ngươi đối với anh em ngươi là Gia-cốp, mà ngươi sẽ mang hổ, và bị diệt đời đời!|因 你 向 兄 弟 雅 各 行 強 暴 、 羞 愧 必 遮 蓋 你 、 你 也 必 永 遠 斷 絕 。
Trong ngày người lạ cướp của cải nó, dân ngoại quốc vào các cửa thành nó, và bắt thăm trên thành Giê-ru-sa-lem, thì trong ngày ấy ngươi đứng bên kia, ngươi cũng chỉ như một người trong chúng nó.|當 外 人 擄 掠 雅 各 的 財 物 、 外 邦 人 進 入 他 的 城 門 、 為 耶 路 撒 冷 拈 鬮 的 日 子 、 你 竟 站 在 一 旁 、 像 與 他 們 同 夥 。
Oi! chớ nhìn xem ngày của anh em ngươi, là ngày tai nạn của nó; chớ vui mừng trong ngày hủy diệt của con cái Giu-đa; cũng đừng nói cách khoe khoang trong ngày nó bị khốn khổ.|你 兄 弟 遭 難 的 日 子 、 你 不 當 瞪 眼 看 著 、 猶 大 人 被 滅 的 日 子 、 你 不 當 因 此 歡 樂 ． 他 們 遭 難 的 日 子 、 你 不 當 說 狂 傲 的 話 。
Chớ vào cửa thành dân ta, đang này nó bị họa; chớ nhìn xem tai nạn nó, đang ngày nó bị khốn khó! Chớ vồ lấy của cải nó, đang ngày nó bị họa hoạn.|我 民 遭 災 的 日 子 、 你 不 當 進 他 們 的 城 門 ． 他 們 遭 災 的 日 子 、 你 不 當 瞪 眼 看 著 他 們 受 苦 ． 他 們 遭 災 的 日 子 、 你 不 當 伸 手 搶 他 們 的 財 物 。
Chớ đứng nơi ngã ba đường đặng diệt những kẻ trốn tránh của nó, và chớ nộp những kẻ sống sót sau cùng của nó trong ngày nguy nan.|你 不 當 站 在 岔 路 口 、 剪 除 他 們 中 間 逃 脫 的 ． 他 們 遭 難 的 日 子 、 你 不 當 將 他 們 剩 下 的 人 交 付 仇 敵 。
Vì ngày của Đức Giê-hô-va đã gần trên hết thảy các nước: bấy giờ người ta sẽ làm cho ngươi như chính mình ngươi đã làm; những việc làm của ngươi sẽ đổ lại trên đầu ngươi.|耶 和 華 降 罰 的 日 子 臨 近 萬 國 ． 你 怎 樣 行 、 他 也 必 照 樣 向 你 行 ． 你 的 報 應 必 歸 到 你 頭 上 。
Phải, như các ngươi đã uống trên núi thánh ta thể nào, thì hết thảy các nước cũng sẽ cứ uống thể ấy; phải, chúng nó sẽ uống và nuốt đi, rồi chúng nó sẽ như vốn không hề có!|你 們 猶 大 人 在 我 聖 山 怎 樣 喝 了 苦 杯 、 萬 國 也 必 照 樣 常 常 地 喝 ． 且 喝 且 咽 、 他 們 就 歸 於 無 有 。
Nhưng sẽ còn lại những người trốn khỏi trên núi Si-ôn, núi ấy sẽ là thánh, và nhà Gia-cốp sẽ được sản nghiệp mình.|在 錫 安 山 必 有 逃 脫 的 人 、 那 山 也 必 成 聖 ． 雅 各 家 必 得 原 有 的 產 業 。
Nhà Gia-cốp sẽ là lửa, và nhà Giô-sép sẽ là ngọn lửa; nhà Ê-sau sẽ là đống rơm, mà chúng nó sẽ đốt và thiêu đi. Nhà Ê-sau sẽ không còn sót chi hết; vì Đức Giê-hô-va đã phán vậy.|雅 各 家 必 成 為 大 火 ． 約 瑟 家 必 為 火 燄 ． 以 掃 家 必 如 碎 秸 、 火 必 將 他 燒 著 吞 滅 ． 以 掃 家 必 無 餘 剩 的 ． 這 是 耶 和 華 說 的 。
Những người ở phương nam sẽ được núi của Ê-sau, những kẻ ở đồng bằng sẽ được người Phi-li-tin làm kỷ vật, chúng nó sẽ được ruộng của Ep-ra-im và ruộng của Sa-ma-ri; những người Bên-gia-min sẽ được Ga-la-át.|南 地 的 人 必 得 以 掃 山 、 高 原 的 人 必 得 非 利 士 地 、 也 得 以 法 蓮 地 、 和 撒 瑪 利 亞 地 ． 便 雅 憫 人 必 得 基 列 。
Những kẻ phu tù của cơ binh con cái Y-sơ-ra-ên ở giữa những người Ca-na-an, sẽ được đất nó cho đến Sa-rép-ta. Những phu tù của Giê-ru-sa-lem ở tại Sê-pha-rát sẽ được các thành phương nam.|在 迦 南 人 中 被 擄 的 以 色 列 眾 人 、 必 得 地 直 到 撒 勒 法 ． 在 西 法 拉 中 被 擄 的 耶 路 撒 冷 人 、 必 得 南 地 的 城 邑 。
Sẽ có các kẻ giải cứu lên trên núi Si-ôn đặng phán xét núi Ê-sau; còn nước thì sẽ thuộc về Đức Giê-hô-va.|必 有 拯 救 者 上 到 錫 安 山 、 審 判 以 掃 山 ． 國 度 就 歸 耶 和 華 了 。
