
					Gia-cơ 1				|
Hỡi anh em yêu dấu, anh em biết điều đó: người nào cũng phải mau nghe mà chậm nói, chậm giận;|我 親 愛 的 弟 兄 們 、 這 是 你 們 所 知 道 的 ． 但 你 們 各 人 要 快 快 的 聽 、 僈 僈 的 說 、 慢 慢 的 動 怒 ．
vì cơn giận của người ta không làm nên sự công bình của Đức Chúa Trời.|因 為 人 的 怒 氣 、 並 不 成 就 　 神 的 義 。
Vậy, hãy bỏ đi mọi điều ô uế, và mọi điều gian ác còn lại, đem lòng nhu mì nhận lấy lời đã trồng trong anh em, là lời cứu được linh hồn của anh em.|所 以 你 們 要 脫 去 一 切 的 污 穢 、 和 盈 餘 的 邪 惡 、 存 溫 柔 的 心 領 受 那 所 栽 種 的 道 、 就 是 能 救 你 們 靈 魂 的 道 。
Hãy làm theo lời, chớ lấy nghe làm đủ mà lừa dối mình.|只 是 你 們 要 行 道 、 不 要 單 單 聽 道 、 自 己 欺 哄 自 己 ．
Vì, nếu có kẻ nghe lời mà không làm theo thì khác nào người kia soi mặt mình trong gương,|因 為 聽 道 而 不 行 道 的 、 就 像 人 對 著 鏡 子 看 自 己 本 來 的 面 目 ．
thấy rồi thì đi, liền quên mặt ra thể nào.|看 見 、 走 後 、 隨 即 忘 了 他 的 相 貌 如 何 。
Nhưng kẻ nào xét kĩ luật pháp trọn vẹn, là luật pháp về sự tự do, lại bền lòng suy gẫm lấy, chẳng phải nghe rồi quên đi, nhưng hết lòng giữ theo phép tắc nó, thì kẻ đó sẽ tìm được phước trong sự mình vâng lời.|惟 有 詳 細 察 看 那 全 備 使 人 自 由 之 律 法 的 、 並 且 時 常 如 此 、 這 人 既 不 是 聽 了 就 忘 、 乃 是 實 在 行 出 來 、 就 在 他 所 行 的 事 上 必 然 得 福 。
Nhược bằng có ai tưởng mình là tin đạo, mà không cầm giữ lưỡi mình, nhưng lại lừa dối lòng mình, thì sự tin đạo của người hạng ấy là vô ích.|若 有 人 自 以 為 虔 誠 、 卻 不 勒 住 他 的 舌 頭 、 反 欺 哄 自 己 的 心 、 這 人 的 虔 誠 是 虛 的 。
Sự tin đạo thanh sạch không vết, trước mặt Đức Chúa Trời, Cha chúng ta, là thăm viếng kẻ mồ côi, người góa bụa trong cơn khốn khó của nó, và giữ lấy mình cho khỏi sự ô uế của thế gian.|在 　 神 我 們 的 父 面 前 、 那 清 潔 沒 有 玷 污 的 虔 誠 、 就 是 看 顧 在 患 難 中 的 孤 兒 寡 婦 、 並 且 保 守 自 己 不 沾 染 世 俗 。

					Gia-cơ 2				|
						雅各書 2					
Hỡi anh em, anh em đã tin đến Đức Chúa Jêsus Christ, là Chúa vinh hiển chúng ta, thì chớ có tây vị người nào.|我 的 弟 兄 們 、 你 們 信 奉 我 們 榮 耀 的 主 耶 穌 基 督 、 便 不 可 按 著 外 貌 待 人 。
Giả sử có người đeo nhẫn vàng, mặc áo đẹp, vào nơi hội anh em, lại có người nghèo, quần áo rách rưới, cũng vào nữa;|若 有 一 個 人 帶 著 金 戒 指 、 穿 著 華 美 衣 服 、 進 你 們 的 會 堂 去 ． 又 有 一 個 窮 人 、 穿 著 骯 髒 衣 服 也 進 去 ．
nếu anh em ngó kẻ mặc áo đẹp, mà nói rằng: Mời ngồi đây, là chỗ tử tế; lại nói với người nghèo rằng: Hãy đứng đó, hoặc ngồi dưới bệ chơn ta,|你 們 就 看 重 那 穿 華 美 衣 服 的 人 、 說 、 請 坐 在 這 好 位 上 ． 又 對 那 窮 人 說 、 你 站 在 那 裡 、 或 坐 在 我 腳 凳 下 邊 ．
thế có phải anh em tự mình phân biệt ra và lấy ý xấu mà xét đoán không?|這 豈 不 是 你 們 偏 心 待 人 、 用 惡 意 斷 定 人 麼 。
Hỡi anh em rất yêu dấu, hãy nghe nầy: Đức Chúa Trời há chẳng lựa kẻ nghèo theo đời nầy đặng làm cho trở nên giàu trong đức tin, và kế tự nước Ngài đã hứa cho kẻ kính mến Ngài hay sao?|我 親 愛 的 弟 兄 們 請 聽 、 　 神 豈 不 是 揀 選 了 世 上 的 貧 窮 人 、 叫 他 們 在 信 上 富 足 、 並 承 受 他 所 應 許 給 那 些 愛 他 之 人 的 國 麼 。
Mà anh em lại khinh dể kẻ nghèo! Há chẳng phải kẻ giàu đã hà hiếp anh em, kéo anh em đến trước tòa án sao?|你 們 反 倒 羞 辱 貧 窮 人 。 那 富 足 人 豈 不 是 欺 壓 你 們 、 拉 你 們 到 公 堂 去 麼 。
Há chẳng phải họ phạm thượng đến danh tốt đã lấy đặt cho anh em sao?|他 們 不 是 褻 瀆 你 們 所 敬 奉 的 尊 名 麼 。 〔 所 敬 奉 或 作 作 被 稱 〕
Thật vậy, nếu anh em vâng giữ cho toàn vẹn luật pháp tôn trọng, theo như Kinh Thánh rằng: Hãy yêu người lân cận như mình, thì anh em ăn ở tốt lắm.|經 上 記 著 說 、 『 要 愛 人 如 己 。 』 你 們 若 全 守 這 至 尊 的 律 法 纔 是 好 的 ．
Nhưng nếu anh em tây vị người ta, thì phạm tội, luật pháp bèn định tội anh em như kẻ phạm phép.|但 你 們 若 按 外 貌 待 人 、 便 是 犯 罪 、 被 律 法 定 為 犯 法 的 。
Vì người nào giữ trọn luật pháp, mà phạm một điều răn, thì cũng đáng tội như đã phạm hết thảy.|因 為 凡 遵 守 全 律 法 的 、 只 在 一 條 上 跌 倒 、 他 就 是 犯 了 眾 條 。
Vả, Đấng đã phán rằng: Chớ phạm tội tà dâm, cũng có phán rằng: Chớ giết người. Vậy, nếu người không phạm tội tà dâm, nhưng phạm tội giết người, thì ngươi là kẻ phạm luật pháp.|原 來 那 說 不 可 姦 淫 的 、 也 說 不 可 殺 人 ． 你 就 是 不 姦 淫 、 卻 殺 人 、 仍 是 成 了 犯 律 法 的 。
Hãy nói và làm dường như phải chịu luật pháp tự do đoán xét mình.|你 們 既 然 要 按 使 人 自 由 的 律 法 受 審 判 、 就 該 照 這 律 法 說 話 行 事 。
Sự đoán xét không thương xót kẻ chẳng làm sự thương xót; nhưng sự thương xót thắng sự đoán xét.|因 為 那 不 憐 憫 人 的 、 也 要 受 無 憐 憫 的 審 判 ． 憐 憫 原 是 向 審 判 誇 勝 。
Hỡi anh em, nếu ai nói mình có đức tin, song không có việc làm, thì ích chi chăng? Đức tin đó cứu người ấy được chăng?|我 的 弟 兄 們 、 若 有 人 說 、 自 己 有 信 心 、 卻 沒 有 行 為 、 有 甚 麼 益 處 呢 ． 這 信 心 能 救 他 麼 。
Ví thử có anh em hoặc chị em nào không quần áo mặc, thiếu của ăn uống hằng ngày,|若 是 弟 兄 、 或 是 姐 妹 、 赤 身 露 體 、 又 缺 了 日 用 的 飲 食 、
mà một kẻ trong anh em nói với họ rằng: Hãy đi cho bình an, hãy sưởi cho ấm và ăn cho no, nhưng không cho họ đồ cần dùng về phần xác, thì co ích gì chăng?|你 們 中 間 有 人 對 他 們 說 、 平 平 安 安 的 去 罷 、 願 你 們 穿 得 煖 喫 得 飽 ． 卻 不 給 他 們 身 體 所 需 用 的 、 這 有 甚 麼 益 處 呢 。
Về đức tin, cũng một lẽ ấy; nếu đức tin không sanh ra việc làm, thì tự mình nó chết.|這 樣 、 信 心 若 沒 有 行 為 就 是 死 的 。
Hoặc có kẻ nói: Ngươi có đức tin, còn ta có việc làm. Hãy chỉ cho ta đức tin của ngươi không có việc làm, rồi ta sẽ chỉ cho ngươi đức tin bởi việc làm của ta.|必 有 人 說 、 你 有 信 心 、 我 有 行 為 ． 你 將 你 沒 有 行 為 的 信 心 指 給 我 看 、 我 便 藉 著 我 的 行 為 、 將 我 的 信 心 指 給 你 看 。
Ngươi tin rằng chỉ có một Đức Chúa Trời mà thôi, ngươi tin phải; ma quỉ cũng tin như vậy và run sợ.|你 信 　 神 只 有 一 位 、 你 信 的 不 錯 ． 鬼 魔 也 信 、 卻 是 戰 驚 。
Nhưng, hỡi người vô tri kia, ngươi muốn biết chắc rằng đức tin không có việc làm là vô ích chăng?|虛 浮 的 人 哪 、 你 願 意 知 道 沒 有 行 為 的 信 心 是 死 的 麼 。
Ap-ra-ham, tổ phụ chúng ta, khi dâng con mình là Y-sác trên bàn thờ, há chẳng từng cậy việc làm được xưng công bình hay sao?|我 們 的 祖 宗 亞 伯 拉 罕 、 把 他 兒 子 以 撒 獻 在 壇 上 、 豈 不 是 因 行 為 稱 義 麼 。
Thế thì, ngươi thấy đức tin đồng công với việc làm, và nhờ việc làm mà đức tin được trọn vẹn.|可 見 信 心 是 與 他 的 行 為 並 行 、 而 且 信 心 因 著 行 為 纔 得 成 全 ．
Vậy được ứng nghiệm lời Thánh Kinh rằng: Ap-ra-ham tin Đức Chúa Trời, và điều đó kể là công bình cho người; và người được gọi là bạn Đức Chúa Trời.|這 就 應 驗 經 上 所 說 、 『 亞 伯 拉 罕 信 　 神 、 這 就 算 為 他 的 義 。 』 他 又 得 稱 為 　 神 的 朋 友 。
nhơn đó anh em biết người ta cậy việc làm được xưng công bình, chớ chẳng những là cậy đức tin mà thôi.|這 樣 看 來 、 人 稱 義 是 因 著 行 為 、 不 是 單 因 著 信 。
Đồng một thể ấy, kỵ nữ Ra-háp tiếp rước các sứ giả và khiến họ noi đường khác mà đi, người há chẳng phải cậy việc làm mà được xưng công bình sao?|妓 女 喇 合 接 待 使 者 、 又 放 他 們 從 別 的 路 上 出 去 、 不 也 是 一 樣 因 行 為 稱 義 麼 。
Vả, xác chẳng có hồn thì chết, đức tin không có việc làm cũng chết như vậy.|身 體 沒 有 靈 魂 是 死 的 、 信 心 沒 有 行 為 也 是 死 的 。

					Gia-cơ 3				|
						雅各書 3					
Hỡi anh em, trong vòng anh em chớ có nhiều người tự lập làm thầy, vì biết như vậy, mình sẽ phải chịu xét đoán càng nghiêm hơn.|我 的 弟 兄 們 、 不 要 多 人 作 師 傅 、 因 為 曉 得 我 們 要 受 更 重 的 判 斷 。
Chúng ta thảy đều vấp phạm nhiều cách lắm. Nếu có ai không vấp phạm trong lời nói mình, ấy là người trọn vẹn, hay hãm cầm cả mình.|原 來 我 們 在 許 多 事 上 都 有 過 失 ． 若 有 人 在 話 語 上 沒 有 過 失 、 他 就 是 完 全 人 、 也 能 勒 住 自 己 的 全 身 。
Chúng ta tra hàm thiếc vào miệng ngựa, cho nó chịu phục mình, nên mới sai khiến cả và mình nó được.|我 們 若 把 嚼 環 放 在 馬 嘴 裡 、 叫 他 順 服 、 就 能 調 動 他 的 全 身 。
Hãy xem những chiếc tàu: dầu cho lớn mấy mặc lòng, và bị gió mạnh đưa đi thây kệ, một bánh lái rất nhỏ cùng đủ cạy bát nó, tùy theo ý người cầm lái.|看 哪 、 船 隻 雖 然 甚 大 、 又 被 大 風 催 逼 、 只 用 小 小 的 舵 、 就 隨 著 掌 舵 的 意 思 轉 動 。
Cũng vậy, cái lưỡi là một quan thể nhỏ, mà khoe được những việc lớn. Thử xem cái rừng lớn chừng nào mà một chút lửa có thể đốt cháy lên!|這 樣 、 舌 頭 在 百 體 裡 也 是 最 小 的 、 卻 能 說 大 話 。 看 哪 、 最 小 的 火 、 能 點 ? 最 大 的 樹 林 ．
Cái lưỡi cũng như lửa; ấy là nơi đô hội của tội ác ở giữa các quan thể chúng ta, làm ô uế cả mình, đốt cháy cả đời người, chính mình nó đã bị lửa địa ngục đốt cháy.|舌 頭 就 是 火 、 在 我 們 百 體 中 、 舌 頭 是 個 罪 惡 的 世 界 、 能 污 穢 全 身 、 也 能 把 生 命 的 輪 子 點 起 來 ． 並 且 是 從 地 獄 裡 點 著 的 。
hết thảy loài muông thú, chim chóc, sâu bọ, loài dưới biển đều trị phục được và đã bị loài người trị phục rồi;|各 類 的 走 獸 、 飛 禽 、 昆 蟲 、 水 族 、 本 來 都 可 以 制 伏 、 也 已 經 被 人 制 伏 了 ．
nhưng cái lưỡi, không ai trị phục được nó; ấy là một vật dữ người ta không thể hãm dẹp được: đầy dẫy những chất độc giết chết.|惟 獨 舌 頭 沒 有 人 能 制 伏 、 是 不 止 息 的 惡 物 ． 滿 了 害 死 人 的 毒 氣 。
Bởi cái lưỡi chúng ta khen ngợi Chúa, Cha chúng ta, và cũng bởi nó chúng ta rủa sả loài người, là loài tạo theo hình ảnh Đức Chúa Trời.|我 們 用 舌 頭 頌 讚 那 為 主 為 父 的 、 又 用 舌 頭 咒 詛 那 照 著 　 神 形 像 被 造 的 人 ．
Đồng một lỗ miệng mà ra cả sự khen ngợi và rủa sả! Hỡi anh em, không nên như vậy.|頌 讚 和 咒 詛 從 一 個 口 裡 出 來 、 我 的 弟 兄 們 、 這 是 不 應 當 的 。
Có lẽ nào một cái suối kia, đồng một mạch mà ra cả nước ngọt và nước đắng sao?|泉 源 從 一 個 眼 裡 能 發 出 甜 苦 兩 樣 的 水 麼 。
Hỡi anh em, cây vả có ra trái ô-li-ve được, cây nho có ra trái vả được chăng? Mạch nước mặn cũng không có thể chảy ra nước ngọt được nữa.|我 的 弟 兄 們 、 無 花 果 樹 能 生 橄 欖 麼 、 葡 萄 樹 能 結 無 花 果 麼 ． 鹹 水 裡 也 不 能 發 出 甜 水 來 。
Trong anh em có người nào khôn ngoan thông sáng chăng: Hãy lấy cách ăn ở tốt của mình mà bày tỏ việc mình làm bởi khôn ngoan nhu mì mà ra.|你 們 中 間 誰 是 有 智 慧 有 見 識 的 呢 ． 他 就 當 在 智 慧 的 溫 柔 上 、 顯 出 他 的 善 行 來 。
Nhưng nếu anh em có sự ghen tương cay đắng và sự tranh cạnh trong lòng mình, thì chớ khoe mình và nói dối nghịch cùng lẽ thật.|你 們 心 裡 若 懷 著 苦 毒 的 嫉 妒 和 分 爭 、 就 不 可 自 誇 、 也 不 可 說 謊 話 抵 擋 真 道 。
Sự khôn ngoan đó không phải từ trên mà xuống đâu; trái lại, nó thuộc về đất, về xác thịt và về ma quỉ.|這 樣 的 智 慧 、 不 是 從 上 頭 來 的 、 乃 是 屬 地 的 、 屬 情 慾 的 、 屬 鬼 魔 的 。
Vì ở đâu có những điều ghen tương tranh cạnh ấy, thì ở đó có sự lộn lạo và đủ mọi thứ ác.|在 何 處 有 嫉 妒 分 爭 、 就 在 何 處 有 擾 亂 、 和 各 樣 的 壞 事 。
Nhưng sự khôn ngoan từ trên mà xuống thì trước hết là thanh sạch, sau lại hòa thuận, tiết độ, nhu mì, đầy dẫy lòng thương xót và bông trái lành, không có sự hai lòng và giả hình.|惟 獨 從 上 頭 來 的 智 慧 、 先 是 清 潔 、 後 是 和 平 、 溫 良 柔 順 、 滿 有 憐 憫 、 多 結 善 果 、 沒 有 偏 見 、 沒 有 假 冒 。
Vả bông trái của điều công bình thì gieo trong sự hòa bình, cho những kẻ nào làm sự hòa bình vậy.|並 且 使 人 和 平 的 、 是 用 和 平 所 栽 種 的 義 果 。

					Gia-cơ 4				|
						雅各書 4					
Những điều chiến đấu tranh cạnh trong anh em bởi đâu mà đến? Há chẳng phải từ tình dục anh em vẫn hay tranh chiến trong quan thể mình sao?|你 們 中 間 的 爭 戰 鬥 毆 、 是 從 那 裡 來 的 呢 ． 不 是 從 你 們 百 體 中 戰 鬥 之 私 慾 來 的 麼 。
Anh em tham muốn mà chẳng được chi; anh em giết người và ghen ghét mà chẳng được việc gì hết; anh em có sự tranh cạnh và chiến đấu; anh em chẳng được chi, vì không cầu xin.|你 們 貪 戀 、 還 是 得 不 著 ． 你 們 殺 害 嫉 妒 、 又 鬥 毆 爭 戰 、 也 不 能 得 ． 你 們 得 不 著 、 是 因 為 你 們 不 求 。
Anh em cầu xin mà không nhận lãnh được, vì cầu xin trái lẽ, để dùng trong tư dục mình.|你 們 求 也 得 不 著 、 是 因 為 你 們 妄 求 、 要 浪 費 在 你 們 的 宴 樂 中 。
Hỡi bọn tà dâm kia, anh em há chẳng biết làm bạn với thế gian tức là thù nghịch với Đức Chúa Trời sao? Cho nên, ai muốn làm bạn với thế gian, thì người ấy trở nên kẻ nghịch thù cùng Đức Chúa Trời vậy.|你 們 這 些 淫 亂 的 人 哪 、 〔 淫 亂 的 人 原 文 作 淫 婦 〕 豈 不 知 與 世 俗 為 友 、 就 是 與 　 神 為 敵 麼 ． 所 以 凡 想 要 與 世 俗 為 友 的 、 就 是 與 　 神 為 敵 了 。
Hay là anh em tưởng Kinh Thánh nói vô ích sao? Đức Thánh Linh mà Đức Chúa Trời khiến ở trong lòng chúng ta, ham mến chúng ta đến nỗi ghen tương,|你 們 想 經 上 所 說 是 徒 然 的 麼 ． 　 神 所 賜 住 在 我 們 裡 面 的 靈 、 是 戀 愛 至 於 嫉 妒 麼 。
nhưng Ngài lại ban cho ta ơn lớn hơn nữa. Vì vậy, Thánh Kinh chép rằng: Đức Chúa Trời chống cự kẻ kiêu ngạo, nhưng ban ơn cho kẻ khiêm nhường.|但 他 賜 更 多 的 恩 典 ． 所 以 經 上 說 、 『 　 神 阻 擋 驕 傲 的 人 、 賜 恩 給 謙 卑 的 人 。 』
Vậy hãy phục Đức Chúa Trời; hãy chống trả ma quỉ, thì nó sẽ lánh xa anh em.|故 此 你 們 要 順 服 　 神 ． 務 要 抵 擋 魔 鬼 、 魔 鬼 就 必 離 開 你 們 逃 跑 了 。
Hãy đến gần Đức Chúa Trời, thì Ngài sẽ đến gần anh em. Hỡi kẻ có tội, hãy lau tay mình, có ai hai lòng, hãy làm sạch lòng đi;|你 們 親 近 　 神 、 　 神 就 必 親 近 你 們 。 有 罪 的 人 哪 、 要 潔 淨 你 們 的 手 。 心 懷 二 意 的 人 哪 、 要 清 潔 你 們 的 心 。
hãy cảm biết sự khốn nạn mình, hãy đau thương khóc lóc; hãy đổi cười ra khóc, đổi vui ra buồn.|你 們 要 愁 苦 、 悲 哀 、 哭 泣 ． 將 喜 笑 變 作 悲 哀 、 歡 樂 變 作 愁 悶 。
Hãy hạ mình xuống trước mặt Chúa, thì Ngài sẽ nhắc anh em lên.|務 要 在 主 面 前 自 卑 、 主 就 必 叫 你 們 升 高 。
Hỡi anh em, chớ nói hành nhau. Ai nói hành anh em mình hoặc xét đoán anh em mình, tức là nói xấu luật pháp, và xét đoán luật pháp. Vả, nếu ngươi xét đoán luật pháp, thì ngươi chẳng phải là kẻ vâng giữ luật pháp, bèn là người xét đoán luật pháp vậy.|弟 兄 們 、 你 們 不 可 彼 此 批 評 ． 人 若 批 評 弟 兄 、 論 斷 弟 兄 、 就 是 批 評 律 法 、 論 斷 律 法 ． 你 若 論 斷 律 法 、 就 不 是 遵 行 律 法 、 乃 是 判 斷 人 的 。
Chỉ có một Đấng lập ra luật pháp và một Đấng xét đoán, tức là Đấng cứu được và diệt được. Nhưng ngươi là ai, mà dám xét đoán kẻ lân cận mình?|設 立 律 法 和 判 斷 人 的 、 只 有 一 位 、 就 是 那 能 救 人 也 能 滅 人 的 ． 你 是 誰 、 竟 敢 論 斷 別 人 呢 。
Hỡi anh em, là kẻ nói rằng: Hôm nay hoặc ngày mai, ta sẽ đi đến thành kia, ở đó một năm, buôn bán và phát tài,|嗐 、 你 們 有 話 說 、 今 天 明 天 我 們 要 往 某 城 裡 去 、 在 那 裡 住 一 年 、 作 買 賣 得 利 ．
song ngày mai sẽ ra thế nao, anh em chẳng biết! Vì sự sống của anh em là chi? Chẳng qua như hơi nước, hiện ra một lát rồi lại tan ngay.|其 實 明 天 如 何 、 你 們 還 不 知 道 。 你 們 的 生 命 是 甚 麼 呢 ． 你 們 原 來 是 一 片 雲 霧 、 出 現 少 時 就 不 見 了 。
Anh em phải nói trái lại: Ví bằng Chúa muốn, và ta còn sống, thì ta sẽ làm việc nọ việc kia.|你 們 只 當 說 、 主 若 願 意 、 我 們 就 可 以 活 著 、 也 可 以 作 這 事 、 或 作 那 事 。
Kìa anh em lấy những lời kiêu ngạo mà khoe mình! Phàm khoe khoang như vậy là xấu.|現 今 你 們 竟 以 張 狂 誇 口 ． 凡 這 樣 誇 口 都 是 惡 的 。
Cho nên, kẻ biết làm điều lành mà chẳng làm, thì phạm tội.|人 若 知 道 行 善 、 卻 不 去 行 、 這 就 是 他 的 罪 了 。

					Gia-cơ 5				|
						雅各書 5					
Hỡi anh em là kẻ giàu có! Hãy khóc lóc, kêu la, vì cớ hoạn nạn sẽ đổ trên anh em.|嗐 、 你 們 這 些 富 足 人 哪 、 應 當 哭 泣 、 號 咷 、 因 為 將 有 苦 難 臨 到 你 們 身 上 。
Của cải anh em bị mục nát, áo xống bị mối mọt ăn rồi.|你 們 的 財 物 壞 了 、 衣 服 也 被 蟲 子 咬 了 。
Vàng bạc anh em bị ten rét, ten rét đó sẽ làm chứng nghịch cùng anh em, nó cũng như lửa vậy, sẽ ăn thịt anh em. Anh em đã thâu trử tiền của trong những ngày sau rốt!|你 們 的 金 銀 都 長 了 鏽 ． 那 鏽 要 證 明 你 們 的 不 是 、 又 要 喫 你 們 的 肉 、 如 同 火 燒 。 你 們 在 這 末 世 、 只 知 積 儹 錢 財 。
Kìa, tiền công con gặt gặt ruộng anh em, mà anh em đã ăn gian, nó kêu oan, và tiếng kêu của con gặt đã thấu đến tai Chúa các cơ binh.|工 人 給 你 們 收 割 莊 稼 、 你 們 虧 欠 他 們 的 工 錢 ． 這 工 錢 有 聲 音 呼 叫 ． 並 且 那 收 割 之 人 的 冤 聲 、 已 經 入 了 萬 軍 之 主 的 耳 了 。
Anh em đã sống trên thế gian ăn uống vui sướng và xa xỉ, anh em đã làm cho lòng mình no nê trong ngày chém giết;|你 們 在 世 上 享 美 福 、 好 宴 樂 、 當 宰 殺 的 日 子 竟 嬌 養 你 們 的 心 。
anh em đã luận tội và đã giết người công bình, mà người chẳng cự lại.|你 們 定 了 義 人 的 罪 、 把 他 殺 害 、 他 也 不 抵 擋 你 們 。
Hỡi anh em, vậy hãy nhịn nhục cho tới kỳ Chúa đến. Hãy xem kẻ làm ruộng: họ bền lòng chờ đợi sản vật quí báu dưới đất cho đến chừng nào đã được mưa đầu mùa và cuối mùa.|弟 兄 們 哪 、 你 們 要 忍 耐 、 直 到 主 來 。 看 哪 、 農 夫 忍 耐 等 候 地 裡 寶 貴 的 出 產 、 直 到 得 了 秋 雨 春 雨 。
anh em cũng vậy, hãy nhịn nhục và bền lòng; vì kỳ Chúa đến gần rồi.|你 們 也 當 忍 耐 、 堅 固 你 們 的 心 ． 因 為 主 來 的 日 子 近 了 。
Hỡi anh em, chớ oán trách nhau, hầu cho khỏi bị xét đoán; kìa, Đấng xét đoán đứng trước cửa.|弟 兄 們 、 你 們 不 要 彼 此 埋 怨 、 免 得 受 審 判 ． 看 哪 、 審 判 的 主 站 在 門 前 了 。
Hỡi anh em, hãy lấy các đấng tiên tri đã nhơn danh Chúa mà nói, làm mẫu mực về sự chịu khổ và nhịn nhục cho mình.|弟 兄 們 、 你 們 要 把 那 先 前 奉 主 名 說 話 的 眾 先 知 、 當 作 能 受 苦 能 忍 耐 的 榜 樣 。
