
					I Cô-rinh-tô 1				|
Vả, nếu không phải là thần linh trong lòng người, thì ai biết sự trong lòng người? Cũng một lẽ ấy, nếu không phải là Thánh Linh của Đức Chúa Trời, thì chẳng ai biết sự trong Đức Chúa Trời.|除 了 在 人 裡 頭 的 靈 、 誰 知 道 人 的 事 ． 像 這 樣 、 除 了 　 神 的 靈 、 也 沒 有 人 知 道 　 神 的 事 。
Về phần chúng ta, chúng ta chẳng nhận lấy thần thế gian, nhưng đã nhận lấy Thánh Linh từ Đức Chúa Trời đến, hầu cho được hiểu biết những ơn mà chúng ta nhận lãnh bởi Đức Chúa Trời;|我 們 所 領 受 的 、 並 不 是 世 上 的 靈 、 乃 是 從 　 神 來 的 靈 、 叫 我 們 能 知 道 　 神 開 恩 賜 給 我 們 的 事 。
chúng ta nói về ơn đó, không cậy lời nói mà sự khôn ngoan của loài người đã dạy đâu, song cậy sự khôn ngoan mà Đức Thánh Linh đã dạy, dùng tiếng thiêng liêng để giải bày sự thiêng liêng.|並 且 我 們 講 說 這 些 事 、 不 是 用 人 智 慧 所 指 教 的 言 語 、 乃 是 用 聖 靈 所 指 教 的 言 語 、 將 屬 靈 的 話 、 解 釋 屬 靈 的 事 。 〔 或 作 將 屬 靈 的 事 講 與 屬 靈 的 人 〕
Vả, người có tánh xác thịt không nhận được những sự thuộc về Thánh Linh của Đức Chúa Trời; bởi chưng người đó coi sự ấy như là sự dồ dại, và không có thể hiểu được, vì phải xem xét cách thiêng liêng.|然 而 屬 血 氣 的 人 不 領 會 　 神 聖 靈 的 事 、 反 倒 以 為 愚 拙 ． 並 且 不 能 知 道 、 因 為 這 些 事 惟 有 屬 靈 的 人 纔 能 看 透 。
Nhưng người có tánh thiêng liêng xử đoán mọi sự, và chính mình không bị ai xử đoán.|屬 靈 的 人 能 看 透 萬 事 、 卻 沒 有 一 人 能 看 透 了 他 。
Vì ai đã biết ý Chúa, đặng dạy dỗ Ngài? Nhưng phần chúng ta, thì có ý của Đấng Christ.|誰 曾 知 道 主 的 心 去 教 導 他 呢 ． 但 我 們 是 有 基 督 的 心 了 。

					I Cô-rinh-tô 3				|
						哥林多前書 3					
Hỡi anh em, về phần tôi, tôi chẳng có thể nói với anh em như với người thiêng liêng, nhưng như với người xác thịt, như với các con đỏ trong Đấng Christ vậy.|弟 兄 們 、 我 從 前 對 你 們 說 話 、 不 能 把 你 們 當 作 屬 靈 的 、 只 得 把 你 們 當 作 屬 肉 體 、 在 基 督 裡 為 嬰 孩 的 。
Tôi lấy sữa nuôi anh em, chớ chẳng lấy đồ ăn cứng, vì anh em không chịu nổi; đến bây giờ cũng chưa chịu được, vì anh em hãy còn thuộc về xác thịt.|我 是 用 奶 餵 你 們 、 沒 有 用 飯 餵 你 們 ． 那 時 你 們 不 能 喫 、 就 是 如 今 還 是 不 能 。
Thật, bởi trong anh em có sự ghen ghét và tranh cạnh, anh em há chẳng phải là tánh xác thịt ăn ở như người thế gian sao?|你 們 仍 是 屬 肉 體 的 ． 因 為 在 你 們 中 間 有 嫉 妒 分 爭 、 這 豈 不 是 屬 乎 肉 體 、 照 著 世 人 的 樣 子 行 麼 。
Có người thì nói: Ta là môn đồ của Phao-lô; kẻ thì rằng: Ta là của A-bô-lô, vậy anh em há chẳng phải là người cũng như kẻ khác sao?|有 說 、 我 是 屬 保 羅 的 ． 有 說 、 我 是 屬 亞 波 羅 的 ． 這 豈 不 是 你 們 和 世 人 一 樣 麼 。
Thế thì, A-bô-lô là ai, và Phao-lô là ai? Ay là kẻ tôi tớ, mà bởi kẻ đó anh em đã tin cậy, y theo Chúa đã ban cho mọi người.|亞 波 羅 算 甚 麼 ． 保 羅 算 甚 麼 ． 無 非 是 執 事 、 照 主 所 賜 給 他 們 各 人 的 、 引 導 你 們 相 信 。
Tôi đã trồng, A-bô-lô đã tưới, nhưng Đức Chúa Trời đã làm cho lớn lên.|我 栽 種 了 、 亞 波 羅 澆 灌 了 ． 惟 有 　 神 叫 他 生 長 。
Vậy, người trồng kẻ tưới, đều không ra gì, song Đức Chúa Trời là Đấng làm cho lớn lên.|可 見 栽 種 的 算 不 得 甚 麼 、 澆 灌 的 也 算 不 得 甚 麼 ． 只 在 那 叫 他 生 長 的 　 神 。
Người trồng, kẻ tưới, đều bằng nhau; ai nấy sẽ nhận phần thưởng tùy theo việc mình đã làm.|栽 種 的 和 澆 灌 的 都 是 一 樣 ． 但 將 來 各 人 要 照 自 己 的 工 夫 、 得 自 己 的 賞 賜 。
Vả, chúng tôi là bạn cùng làm việc với Đức Chúa Trời; anh em là ruộng Đức Chúa Trời cày, nhà của Đức Chúa Trời xây.|因 為 我 們 是 與 　 神 同 工 的 ． 你 們 是 　 神 所 耕 種 的 田 地 、 所 建 造 的 房 屋 。
Theo ơn Đức Chúa Trời ban cho tôi, tôi đã lập nên như một tay thợ khéo, mà có kẻ khác cất lên trên; nhưng ai nấy phải cẩn thận về sự mình xây trên nền đó.|我 照 　 神 所 給 我 的 恩 、 好 像 一 個 聰 明 的 工 頭 、 立 好 了 根 基 、 有 別 人 在 上 面 建 造 ． 只 是 各 人 要 謹 慎 怎 樣 在 上 面 建 造 。
Vì, chẳng ai có thể lập một nền khác ngoài nền đã lập, là Đức Chúa Jêsus Christ.|因 為 那 已 經 立 好 的 根 基 、 就 是 耶 穌 基 督 、 此 外 沒 有 人 能 立 別 的 根 基 。
Nếu có kẻ lấy vàng, bạc, bửu thạch, gỗ, cỏ khô, rơm rạ mà xây trên nền ấy,|若 有 人 用 金 、 銀 、 寶 石 、 草 木 、 禾 楷 、 在 這 根 基 上 建 造 ．
thì công việc của mỗi người sẽ bày tỏ ra. Ngày đến sẽ tỏ tường công việc đó; nó sẽ trình ra trong lửa, và công việc của mỗi người đáng giá nào, lửa sẽ chỉ ra.|各 人 的 工 程 必 然 顯 露 ． 因 為 那 日 子 要 將 他 表 明 出 來 、 有 火 發 現 ． 這 火 要 試 驗 各 人 的 工 程 怎 樣 。
Ví bằng công việc của ai xây trên nền được còn lại, thì thợ đó sẽ lãnh phần thưởng mình.|人 在 那 根 基 上 所 建 造 的 工 程 、 若 存 得 住 、 他 就 要 得 賞 賜 。
Nếu công việc họ bị thiêu hủy, thì mất phần thưởng. Còn về phần người đó, sẽ được cứu, song dường như qua lửa vậy.|人 的 工 程 若 被 燒 了 、 他 就 要 受 虧 損 ． 自 己 卻 要 得 救 ． 雖 然 得 救 乃 像 從 火 裡 經 過 的 一 樣 。
Anh em há chẳng biết mình là đền thờ của Đức Chúa Trời, và Thánh Linh Đức Chúa Trời ở trong anh em sao?|豈 不 知 你 們 是 　 神 的 殿 、 　 神 的 靈 住 在 你 們 裡 頭 麼 。
Vì có ai phá hủy đền thờ của Đức Chúa Trời, thì Đức Chúa Trời sẽ phá hủy họ; vì đền thờ của Đức Chúa Trời là thánh, mà chính anh em là đền thờ.|若 有 人 毀 壞 　 神 的 殿 、 　 神 必 要 毀 壞 那 人 ． 因 為 　 神 的 殿 是 聖 的 、 這 殿 就 是 你 們 。
Chớ ai tự dối mình: nếu có ai trong vòng anh em tưởng mình khôn ngoan theo cách đời nầy, hãy trở nên dại dột, để được nên khôn ngoan;|人 不 可 自 欺 ． 你 們 中 間 若 有 人 、 在 這 世 界 自 以 為 有 智 慧 、 倒 不 如 變 作 愚 拙 、 好 成 為 有 智 慧 的 。
vì sự khôn ngoan đời nầy trước mặt Đức Chúa Trời là sự dại dột. Như có chép rằng: Ay là Chúa bắt những kẻ khôn ngoan trong mưu kế họ.|因 這 世 界 的 智 慧 、 在 　 神 看 是 愚 拙 ． 如 經 上 記 著 說 、 『 主 叫 有 智 慧 的 中 了 自 己 的 詭 計 。 』
Lại rằng: Chúa thông biết ý tưởng của người khôn ngoan; Ngài biết ý tưởng họ đều là vô ích.|又 說 、 『 主 知 道 智 慧 人 的 意 念 是 虛 妄 的 。 』
Vậy, chớ ai khoe mình về loài người, vì mọi sự đều thuộc về anh em:|所 以 無 論 誰 、 都 不 可 拿 人 誇 口 ． 因 為 萬 有 全 是 你 們 的 ．
hoặc Phao-lô, hoặc A-bô-lô, hoặc Sê-pha, hoặc thế gian, không có sự sống, hoặc sự chết hoặc những sự bây giờ, hoặc những sự hầu đến. Hết thảy mọi sự đều thuộc về anh em,|或 保 羅 、 或 亞 波 羅 、 或 磯 法 、 或 世 界 、 或 生 、 或 死 、 或 現 今 的 事 、 或 將 來 的 事 、 全 是 你 們 的 ．
anh em thuộc về Đấng Christ, Đấng Christ thuộc về Đức Chúa Trời.|並 且 你 們 是 屬 基 督 的 ． 基 督 又 是 屬 　 神 的 。

					I Cô-rinh-tô 4				|
						哥林多前書 4					
Vậy, ai nấy hãy coi chúng tôi như đầy tớ của Đấng Christ, và kẻ quản trị những sự mầu nhiệm của Đức Chúa Trời.|人 應 當 以 我 們 為 基 督 的 執 事 、 為 　 神 奧 秘 事 的 管 家 。
Vả lại, cái điều người ta trông mong nơi người quản trị là phải trung thành.|所 求 於 管 家 的 、 是 要 他 有 忠 心 。
Về phần tôi, hoặc bị anh em xử đoán, hoặc bị tòa án nào của loài người xử đoán, tôi cũng chẳng lấy làm quan hệ gì. Chính tôi chẳng tự xử đoán mình nữa;|我 被 你 們 論 斷 、 或 被 別 人 論 斷 、 我 都 以 為 極 小 的 事 ． 連 我 自 己 也 不 論 斷 自 己 。
vì tôi chẳng thấy mình có điều gì đáng tội, nhưng tôi cũng không nhờ sự đó mà được xưng là công bình: Đấng xử đoán tôi, ấy là Chúa.|我 雖 不 覺 得 自 己 有 錯 、 卻 也 不 能 因 此 得 以 稱 義 。 但 判 斷 我 的 乃 是 主 。
Vậy, chớ xét đoán sớm quá, hãy đợi Chúa đến; chính Chúa sẽ tỏ những sự giấu trong nơi tối ra nơi sáng, và bày ra những sự toan định trong lòng người; bấy giờ, ai nấy sẽ bởi Đức Chúa Trời mà lãnh sự khen ngợi mình đáng lãnh.|所 以 時 候 未 到 、 甚 麼 都 不 要 論 斷 、 只 等 主 來 、 他 要 照 出 暗 中 的 隱 情 、 顯 明 人 心 的 意 念 。 那 時 各 人 要 從 　 神 那 裡 得 著 稱 讚 。
Hỡi anh em, ấy là vì cớ anh em, tôi đã dùng những lẽ thật, nầy chỉ về chính mình tôi và A-bô-lô, hầu cho anh em học đòi hai chúng tôi, chớ vượt qua lời đã chép, và chớ sanh lòng kiêu ngạo, theo phe người nầy nghịch cùng kẻ khác.|弟 兄 們 、 我 為 你 們 的 緣 故 、 拿 這 些 事 轉 比 自 己 和 亞 波 羅 ． 叫 你 們 效 法 我 們 不 可 過 於 聖 經 所 記 ． 免 得 你 們 自 高 自 大 、 貴 重 這 個 、 輕 看 那 個 。
Bởi vì, ai phân biệt ngươi với người khác? Ngươi há có điều chi mà chẳng đã nhận lãnh sao? Nếu ngươi đã nhận lãnh, thì sao còn khoe mình như chẳng từng nhận lãnh?|使 你 與 人 不 同 的 是 誰 呢 ． 你 有 甚 麼 不 是 領 受 的 呢 ． 若 是 領 受 的 、 為 何 自 誇 、 彷 彿 不 是 領 受 的 呢 。
Anh em được no đủ, được giàu có rồi, chẳng nhờ chúng tôi, anh em đã khởi sự cai trị; thật mong cho anh em được cai trị, hầu cho chúng tôi cũng cai trị với anh em!|你 們 已 經 飽 足 了 、 已 經 豐 富 了 、 不 用 我 們 、 自 已 就 作 王 了 ． 我 願 意 你 們 果 真 作 王 、 叫 我 們 也 得 與 你 們 一 同 作 王 。
Vì chưng Đức Chúa Trời dường đã phơi chúng tôi là các sứ đồ ra, giống như tù phải tội chết, làm trò cho thế gian, thiên sứ, loài người cùng xem vậy.|我 想 　 神 把 我 們 使 徒 明 明 列 在 末 後 、 好 像 定 死 罪 的 囚 犯 ． 因 為 我 們 成 了 一 臺 戲 、 獻 給 世 人 和 天 使 觀 看 。
Chúng tôi là kẻ ngu dại vì cớ Đấng Christ, nhưng anh em được khôn ngoan trong Đấng Christ; chúng tôi yếu đuối, anh em mạnh mẽ; anh em quí trọng, chúng tôi khinh hèn.|我 們 為 基 督 的 緣 故 算 是 愚 拙 的 、 你 們 在 基 督 裡 倒 是 聰 明 的 、 我 們 軟 弱 、 你 們 倒 強 壯 ． 你 們 有 榮 耀 、 我 們 倒 被 藐 視 。
Cho đến bây giờ, chúng tôi vẫn chịu đói khát, trần mình, bị người ta vả trên mặt, lưu lạc rày đây mai đó.|直 到 如 今 、 我 們 還 是 又 飢 、 又 渴 、 又 赤 身 露 體 、 又 挨 打 、 又 沒 有 一 定 的 住 處 ．
Chúng tôi dùng chính tay mình làm việc khó nhọc; khi bị rủa sả, chúng tôi chúc phước; khi bị bắt bớ, chúng tôi nhịn nhục;|並 且 勞 苦 、 親 手 作 工 ． 被 人 咒 罵 、 我 們 就 祝 福 ． 被 人 逼 迫 、 我 們 就 忍 受 ．
khi bị vu oan, chúng tôi khuyên dỗ; chúng tôi giống như rác rến của thế gian, cặn bả của loài người, cho đến ngày nay.|被 人 毀 謗 、 我 們 就 善 勸 ． 直 到 如 今 、 人 還 把 我 們 看 作 世 界 上 的 污 穢 、 萬 物 中 的 渣 滓 。
Tôi viết những điều nầy, chẳng phải để làm cho anh em hổ ngươi đâu; nhưng để khuyên bảo anh em, cũng như con cái yêu dấu của tôi vậy.|我 寫 這 話 、 不 是 叫 你 們 羞 愧 、 乃 是 警 戒 你 們 、 好 像 我 所 親 愛 的 兒 女 一 樣 。
Bởi chưng, dẫu anh em có một vạn thầy giáo trong Đấng Christ, nhưng chẳng có nhiều cha; vì tôi đã dùng Tin Lành mà sanh anh em ra trong Đức Chúa Jêsus Christ.|你 們 學 基 督 的 、 師 傅 雖 有 一 萬 、 為 父 的 卻 是 不 多 、 因 我 在 基 督 耶 穌 裡 用 福 音 生 了 你 們 。
Vậy, tôi lấy điều đó khuyên anh em: hãy bắt chước tôi.|所 以 我 求 你 們 效 法 我 。
Vì cớ đó, tôi đã sai Ti-mô-thê, là con yêu dấu của tôi, cùng là trung thành trong Chúa, đến cùng anh em; người sẽ nhắc lại cho anh em biết đường lối tôi trong Đấng Christ, và tôi dạy dỗ cách nào trong các Hội thánh khắp các nơi.|因 此 我 已 打 發 提 摩 太 到 你 們 那 裡 去 ． 他 在 主 裡 面 、 是 我 所 親 愛 有 忠 心 的 兒 子 ． 他 必 題 醒 你 們 、 記 念 我 在 基 督 裡 怎 樣 行 事 、 在 各 處 各 教 會 中 怎 樣 教 導 人 。
Có mấy kẻ lên mình kiêu ngạo, ngờ tôi chẳng còn đến cùng anh em nữa.|有 些 人 自 高 自 大 、 以 為 我 不 到 你 們 那 裡 去 。
Nhưng nếu Chúa khứng cho, thì chẳng bao lâu tôi sẽ tới cùng anh em, và xét cho biết, chẳng phải xét lời nói của những kẻ kiêu ngạo đó, bèn là năng lực họ thể nào.|然 而 主 若 許 我 、 我 必 快 到 你 們 那 裡 去 ． 並 且 我 所 要 知 道 的 、 不 是 那 些 自 高 自 大 之 人 的 言 語 、 乃 是 他 們 的 權 能 。
Vì nước Đức Chúa Trời chẳng ở tại lời nói, mà ở tại năng lực.|因 為 　 神 的 國 不 在 乎 言 語 、 乃 在 乎 權 能 。
Anh em muốn điều gì hơn: muốn tôi cầm roi mà đến cùng anh em, hay là lấy tình yêu thương và ý nhu mì?|你 們 願 意 怎 麼 樣 呢 ． 是 願 意 我 帶 著 刑 杖 到 你 們 那 裡 去 呢 、 還 是 要 我 存 慈 愛 溫 柔 的 心 呢 。

					I Cô-rinh-tô 5				|
						哥林多前書 5					
