
					I Phi-rơ 1				|
Các đấng ấy đã được tỏ cho rằng chẳng phải vì mình, bèn là vì anh em mà truyền ra những điều đó, là những điều hiện nay đã rao cho anh em, bởi những người nhờ Đức Thánh Linh từ trên trời sai xuống, mà giảng Tin Lành cho anh em; các thiên sứ cũng ước ao xem thấu những sự đó.|他 們 得 了 啟 示 、 知 道 他 們 所 傳 講 的 一 切 事 、 〔 傳 講 原 文 作 服 事 〕 不 是 為 自 己 、 乃 是 為 你 們 ． 那 靠 著 從 天 上 差 來 的 聖 靈 、 傳 福 音 給 你 們 的 人 、 現 在 將 這 些 事 報 給 你 們 ． 天 使 也 願 意 詳 細 察 看 這 些 事 。
Vậy, anh em hãy bền chí như thể thắt lưng, hãy tiết độ, lấy sự trông cậy trọn vẹn đợi chờ ơn sẽ ban cho mình trong khi Đức Chúa Jêsus Christ hiện ra.|所 以 要 約 束 你 們 的 心 、 〔 原 文 作 束 上 你 們 心 中 的 腰 〕 謹 慎 自 守 、 專 心 盼 望 耶 穌 基 督 顯 現 的 時 候 所 帶 來 給 你 們 的 恩 。
Anh em đã nên như con cái hay vâng lời, thì chớ có làm theo sự dâm dục, là sự cai trị trong anh em ngày trước, về lúc anh em còn mê muội.|你 們 既 作 順 命 的 兒 女 、 就 不 要 效 法 從 前 蒙 昧 無 知 的 時 候 、 那 放 縱 私 慾 的 樣 子 。
Nhưng, như Đấng gọi anh em là thánh, thì anh em cũng phải thánh trong mọi cách ăn ở mình,|那 召 你 們 的 既 是 聖 潔 、 你 們 在 一 切 所 行 的 事 上 也 要 聖 潔 ．
bởi có chép rằng: Hãy nên thánh, vì ta là thánh.|因 經 上 記 著 說 、 『 你 們 要 聖 潔 、 因 為 我 是 聖 潔 的 。 』
Nếu anh em xưng Đấng không tây vị anh em, xét đoán từng người theo việc họ làm, bằng Cha, thì hãy lấy lòng kính sợ mà ăn ở trong thời kỳ ở trọ đời nầy,|你 們 既 稱 那 不 偏 待 人 、 按 各 人 行 為 審 判 人 的 主 為 父 、 就 當 存 敬 畏 的 心 、 度 你 們 在 世 寄 居 的 日 子 ．
vì biết rằng chẳng phải bởi vật hay hư nát như bạc hoặc vàng mà anh em đã được chuộc khỏi sự ăn ở không ra chi của tổ tiên truyền lại cho mình,|知 道 你 們 得 贖 、 脫 去 你 們 祖 宗 所 傳 流 虛 妄 的 行 為 、 不 是 憑 著 能 壞 的 金 銀 等 物 ．
bèn là bởi huyết báu Đấng Christ, dường như huyết của chiên con không lỗi không vít,|乃 是 憑 著 基 督 的 寶 血 、 如 同 無 瑕 無 疵 玷 污 的 羔 羊 之 血 ．
đã định sẵn trước buổi sáng thế, và hiện ra trong cuối các thời kỳ vì cớ anh em,|基 督 在 創 世 以 前 、 是 豫 先 被 　 神 知 道 的 、 卻 在 這 末 世 、 纔 為 你 們 顯 現 ．
là kẻ nhơn Đức Chúa Jêsus tin đến Đức Chúa Trời, tức là Đấng đã khiến Ngài từ kẻ chết sống lại, và ban sự vinh hiển cho Ngài đến nỗi đức tin và sự trông cậy anh em được nương nhờ Đức Chúa Trời.|你 們 也 因 著 他 、 信 那 叫 他 從 死 裡 復 活 、 又 給 他 榮 耀 的 　 神 、 叫 你 們 的 信 心 、 和 盼 望 、 都 在 於 　 神 。
Anh em đã vâng theo lẽ thật làm sạch lòng mình, đặng có lòng yêu thương anh em cách thật thà, nên hãy yêu nhau sốt sắng hết lòng;|你 們 既 因 順 從 真 理 、 潔 淨 了 自 己 的 心 、 以 致 愛 弟 兄 沒 有 虛 假 、 就 當 從 心 裡 彼 此 切 實 相 愛 ． 〔 從 心 裡 有 古 卷 作 從 清 潔 的 心 〕
anh em đã được lại sanh, chẳng phải bởi giống hay hư nát, nhưng bởi giống chẳng hay hư nát, là bởi lời hằng sống và bền vững của Đức Chúa Trời.|你 們 蒙 了 重 生 、 不 是 由 於 能 壞 的 種 子 、 乃 是 由 於 不 能 壞 的 種 子 、 是 藉 著 　 神 活 潑 常 存 的 道 。
Vì, Mọi xác thịt vì như cỏ, Mọi sự vinh hiển của nó vì như hoa cỏ. Cỏ khô, hoa rụng,|因 為 『 凡 有 血 氣 的 、 盡 都 如 草 、 他 的 美 榮 、 都 像 草 上 的 花 ． 草 必 枯 乾 、 花 必 凋 謝 ．
Nhưng lời Chúa còn lại đời đời. Và lời đó là đạo Tin Lành đã giảng ra cho anh em.|惟 有 主 的 道 是 永 存 的 。 』 所 傳 給 你 們 的 福 音 就 是 這 道 。

					I Phi-rơ 2				|
						彼得前書 2					
Vậy anh em đã từ bỏ mọi điều độc ác, mọi điều gian dảo, mọi thứ giả trá, lòng ghen ghét và sự nói hành,|所 以 你 們 既 除 去 一 切 的 惡 毒 、 〔 或 作 陰 毒 〕 詭 詐 、 並 假 善 、 嫉 妒 、 和 一 切 毀 謗 的 話 、
thì hãy ham thích sữa thiêng liêng của đạo, như trẻ con mới đẻ vậy, hầu cho anh em nhờ đó lớn lên mà được rỗi linh hồn,|就 要 愛 慕 那 純 淨 的 靈 奶 、 像 纔 生 的 嬰 孩 愛 慕 奶 一 樣 、 叫 你 們 因 此 漸 長 、 以 致 得 救 ．
nếu anh em đã nếm biết Chúa là ngọt ngào.|你 們 若 嘗 過 主 恩 的 滋 味 、 就 必 如 此 。
Hãy đến gần Ngài, là hòn đá sống, bị người ta loại ra, song được chọn và quí trước mặt Đức Chúa Trời,|主 乃 活 石 ． 固 然 是 被 人 所 棄 的 、 卻 是 被 　 神 所 揀 選 所 寶 貴 的 ．
và anh em cũng như đá sống, được xây nên nhà thiêng liêng, làm chức tế lễ thánh, đặng dâng của tế lễ thiêng liêng, nhờ Đức Chúa Jêsus Christ mà đẹp ý Đức Chúa Trời.|你 們 來 到 主 面 前 、 也 就 像 活 石 、 被 建 造 成 為 靈 宮 、 作 聖 潔 的 祭 司 、 藉 著 耶 穌 基 督 奉 獻 　 神 所 悅 納 的 靈 祭 。
Vì trong Kinh Thánh có chép rằng: Nầy, ta đặt tại Si-ôn hòn đá góc nhà đã chọn lựa và quí báu; Ai tin đến đá ấy sẽ không bị xấu hổ.|因 為 經 上 說 、 『 看 哪 、 我 把 所 揀 選 所 寶 貴 的 房 角 石 、 安 放 在 錫 安 ． 信 靠 他 的 人 、 必 不 至 於 羞 愧 。 』
Vậy nên, cho anh em là kẻ đã tin, thì là đá quí; nhưng cho những kẻ không tin, thì Hòn đá mà bị thợ xây nhà loại ra, Bèn trở nên đá góc nhà, là Đá gây cho vấp váp, là đá lớn làm cho sa ngã;|所 以 他 在 你 們 信 的 人 就 為 寶 貴 、 在 那 不 信 的 人 有 話 說 、 『 匠 人 所 棄 的 石 頭 、 已 作 了 房 角 的 頭 塊 石 頭 。 』
họ bị vấp đá đó, vì không vâng phục Đạo, và điều ấy đã định sẵn cho họ rồi.|又 說 、 『 作 了 絆 腳 的 石 頭 、 跌 人 的 磐 石 。 』 他 們 既 不 順 從 、 就 在 道 理 上 絆 跌 ． 〔 或 作 他 們 絆 跌 都 因 不 順 從 道 理 〕 他 們 這 樣 絆 跌 也 是 豫 定 的 。
Nhưng anh em là dòng giống được lựa chọn, là chức thầy tế lễ nhà vua, là dân thánh là dân thuộc về Đức Chúa Trời, hầu cho anh em rao giảng nhơn đức của Đấng đã gọi anh em ra khỏi nơi tối tăm, đến nơi sáng láng lạ lùng của Ngài;|惟 有 你 們 是 被 揀 選 的 族 類 、 是 有 君 尊 的 祭 司 、 是 聖 潔 的 國 度 、 是 屬 　 神 的 子 民 、 要 叫 你 們 宣 揚 那 召 你 們 出 黑 暗 入 奇 妙 光 明 者 的 美 德 。
anh em ngày trước không phải là một dân, mà bây giờ là dân Đức Chúa Trời, trước không được thương xót, mà bây giờ được thương xót.|你 們 從 前 算 不 得 子 民 、 現 在 卻 作 了 　 神 的 子 民 ． 從 前 未 曾 蒙 憐 恤 、 現 在 卻 蒙 了 憐 恤 。
Hỡi kẻ rất yêu dấu, anh em như người ở trọ, kẻ đi đường, tôi khuyên phải kiêng những điều xác thịt ưa thích, là điều chống trả với linh hồn.|親 愛 的 弟 兄 阿 、 你 們 是 客 旅 、 是 寄 居 的 ． 我 勸 你 們 要 禁 戒 肉 體 的 私 慾 ． 這 私 慾 是 與 靈 魂 爭 戰 的 。
phải ăn ở ngay lành giữa dân ngoại, hầu cho họ là kẻ vẫn gièm chê anh em như người gian ác, đã thấy việc lành anh em, thì đến ngày Chúa thăm viếng, họ ngợi khen Đức Chúa Trời.|你 們 在 外 邦 人 中 、 應 當 品 行 端 正 、 叫 那 些 毀 謗 你 們 是 作 惡 的 、 因 看 見 你 們 的 好 行 為 、 便 在 鑒 察 的 日 子 、 〔 鑒 察 或 作 眷 顧 〕 歸 榮 耀 給 　 神 。
Vì cớ Chúa, hãy phục theo mọi phép tắc loài người lập lên, hoặc vua, như đấng rất cao,|你 們 為 主 的 緣 故 、 要 順 服 人 的 一 切 制 度 、 或 是 在 上 的 君 王 、
hoặc các quan, như người vua sai ra để phạt kẻ làm dữ và khen người làm lành.|或 是 君 王 所 派 罰 惡 賞 善 的 臣 宰 。
Vì anh em làm điều lành để ngăn miệng những kẻ ngu muội dại dột, ấy là ý muốn của Đức Chúa Trời.|因 為 　 神 的 旨 意 原 是 要 你 們 行 善 、 可 以 堵 住 那 糊 塗 無 知 人 的 口 。
Hãy ăn ở như người tự do, nhưng chớ dùng tự do làm cái màn che sự hung ác, song phải coi mình là tôi mọi Đức Chúa Trời.|你 們 雖 是 自 由 的 、 卻 不 可 藉 著 自 由 遮 蓋 惡 毒 、 〔 或 作 陰 毒 〕 總 要 作 　 神 的 僕 人 。
Hãy kính mọi người; yêu anh em; kính sợ Đức Chúa Trời; tôn trọng vua.|務 要 尊 敬 眾 人 ． 親 愛 教 中 的 弟 兄 ． 敬 畏 　 神 ． 尊 敬 君 王 。
Hỡi kẻ làm tôi tớ, hãy lấy lòng rất kính sợ mà phục theo chủ mình, chẳng những phục những chủ hiền lành mà thôi, lại phải phục người chủ khó tánh nữa.|你 們 作 僕 人 的 、 凡 事 要 存 敬 畏 的 心 順 服 主 人 ． 不 但 順 服 那 善 良 溫 和 的 、 就 是 那 乖 僻 的 也 要 順 服 。
Vì nhơn cớ lương tâm đối với Đức Chúa Trời, mà chịu khốn nạn trong khi bị oan ức, ấy là một ơn phước.|倘 若 人 為 叫 良 心 對 得 住 　 神 、 就 忍 受 冤 屈 的 苦 楚 、 這 是 可 喜 愛 的 。
Vả, mình làm điều ác, bị đánh mà hay nhịn chịu, thì có đáng khoe gì: Nhưng nếu anh em làm lành, mà nhịn chịu sự khốn khó, ấy là một ơn phước trước mặt Đức Chúa Trời.|你 們 若 因 犯 罪 受 責 打 、 能 忍 耐 、 有 甚 麼 可 誇 的 呢 ． 但 你 們 若 因 行 善 受 苦 、 能 忍 耐 、 這 在 　 神 看 是 可 喜 愛 的 。
anh em đã được kêu gọi đến sự đó, vì Đấng Christ cũng đã chịu khổ cho anh em, để lại cho anh em một gương, hầu cho anh em noi dấu chơn Ngài;|你 們 蒙 召 原 是 為 此 ． 因 為 基 督 也 為 你 們 受 過 苦 、 給 你 們 留 下 榜 樣 、 叫 你 們 跟 隨 他 的 腳 蹤 行 ．
Ngài chưa hề phạm tội, trong miệng Ngài không thấy có chút chi dối trá;|他 並 沒 有 犯 罪 、 口 裡 也 沒 有 詭 詐 ．
Ngài bị rủa mà chẳng rủa lại, chịu nạn mà không hề ngăm dọa, nhưng cứ phó mình cho Đấng xử đoán công bình;|他 被 罵 不 還 口 ． 受 害 不 說 威 嚇 的 話 ． 只 將 自 己 交 託 那 按 公 義 審 判 人 的 主 ．
Ngài gánh tội lỗi chúng ta trong thân thể Ngài trên cây gỗ, hầu cho chúng ta là kẻ đã chết về tội lỗi, được sống cho sự công bình; lại nhơn những lằn đòn của Ngài mà anh em đã được lành bịnh.|他 被 掛 在 木 頭 上 親 身 擔 當 了 我 們 的 罪 、 使 我 們 既 然 在 罪 上 死 、 就 得 以 在 義 上 活 ． 因 他 受 的 鞭 傷 、 你 們 便 得 了 醫 治 。
Vì anh em vốn giống như con chiên lạc, mà bây giờ đã trở về cùng Đấng chăn chiên và Giám mục của linh hồn mình.|你 們 從 前 好 像 迷 路 的 羊 ． 如 今 卻 歸 到 你 們 靈 魂 的 牧 人 監 督 了 。

					I Phi-rơ 3				|
						彼得前書 3					
Hỡi người làm vợ, hãy phục chồng mình, hầu cho nếu có người chồng nào không vâng theo Đạo, dẫu chẳng lấy lời khuyên bảo, chỉ bởi cách ăn ở của vợ, cũng đủ hóa theo,|你 們 作 妻 子 的 、 要 順 服 自 己 的 丈 夫 ． 這 樣 、 若 有 不 信 從 道 理 的 丈 夫 、 他 們 雖 然 不 聽 道 、 也 可 以 因 妻 子 的 品 行 被 感 化 過 來 ．
vì thấy cách ăn ở của chị em là tinh sạch và cung kính.|這 正 是 因 看 見 你 們 有 貞 潔 的 品 行 、 和 敬 畏 的 心 ．
Chớ tìm kiếm sự trang sức bề ngoài, như gióc tóc, đeo đồ vàng, mặc áo quần lòa loẹt;|你 們 不 要 以 外 面 的 辮 頭 髮 、 戴 金 飾 、 穿 美 衣 、 為 妝 飾 、
nhưng hãy tìm kiếm sự trang sức bề trong giấu ở trong lòng, tức là sự tinh sạch chẳng hư nát của tâm thần dịu dàng im lặng, ấy là giá quí trước mặt Đức Chúa Trời.|只 要 以 裡 面 存 著 長 久 溫 柔 安 靜 的 心 為 妝 飾 ． 這 在 　 神 面 前 是 極 寶 貴 的 。
Vì các bà thánh xưa kia, trông cậy Đức Chúa Trời, vâng phục chồng mình, đều trau giồi mình dường ấy;|因 為 古 時 仰 賴 　 神 的 聖 潔 婦 人 、 正 是 以 此 為 妝 飾 、 順 服 自 己 的 丈 夫 ．
như Sa-ra vâng phục Ap-ra-ham, gọi người là Chúa mình; nếu các chị em làm điều lành, không sợ chi hết mà rối trí, thì trở nên con gái của Sa-ra vậy.|就 如 撒 拉 聽 從 亞 伯 拉 罕 、 稱 他 為 主 ． 你 們 若 行 善 、 不 因 恐 嚇 而 害 怕 、 便 是 撒 拉 的 女 兒 了 。
Hỡi người làm chồng, hãy tỏ điều khôn ngoan ra trong sự ăn ở với vợ mình, như là với giống yếu đuối hơn; vì họ sẽ cùng anh em hưởng phước sự sống, nên phải kính nể họ, hầu cho không điều gì làm rối loạn sự cầu nguyện của anh em.|你 們 作 丈 夫 的 、 也 要 按 情 理 和 妻 子 同 住 ． 〔 情 理 原 文 作 知 識 〕 因 他 比 你 軟 弱 、 〔 比 你 軟 弱 原 文 作 是 軟 弱 的 器 皿 〕 與 你 一 同 承 受 生 命 之 恩 的 、 所 以 要 敬 重 他 ． 這 樣 便 叫 你 們 的 禱 告 沒 有 阻 礙 。
Rốt lại, hết thảy anh em phải đồng lòng đầy thương xót và tình yêu anh em, có lòng nhơn từ và đức khiêm nhường.|總 而 言 之 、 你 們 都 要 同 心 、 彼 此 體 恤 、 相 愛 如 弟 兄 、 存 慈 憐 謙 卑 的 心 ．
Đừng lấy ác trả ác, cũng đừng lấy rủa sả trả rủa sả; trái lại phải chúc phước, ấy vì điều đó mà anh em được gọi để hưởng phước lành.|不 以 惡 報 惡 、 以 辱 罵 還 辱 罵 、 倒 要 祝 福 ． 因 你 們 是 為 此 蒙 召 、 好 叫 你 們 承 受 福 氣 。
Vả, Ai muốn yêu sự sống Và thấy ngày tốt lành, Thì phải giữ gìn miệng lưỡi, Đừng nói điều ác và lời gian dảo;|因 為 經 上 說 、 『 人 若 愛 生 命 、 願 享 美 福 、 須 要 禁 止 舌 頭 不 出 惡 言 、 嘴 唇 不 說 詭 詐 的 話 ．
Phải lánh điều dữ, làm điều lành, Tìm sự hòa bình mà đuổi theo,|也 要 離 惡 行 善 ． 尋 求 和 睦 、 一 心 追 趕 。
Vì mắt Chúa đoái trông người công bình, Tai Ngài lóng nghe lời cầu nguyện người, Nhưng mặt Chúa sấp lại nghịch với kẻ làm ác.|因 為 主 的 眼 看 顧 義 人 、 主 的 耳 聽 他 們 的 祈 禱 ． 惟 有 行 惡 的 人 、 主 向 他 們 變 臉 。 』
Ví bằng anh em sốt sắng làm lành thì có ai làm dữ lại cho anh em?|你 們 若 是 熱 心 行 善 、 有 誰 害 你 們 呢 。
Nếu anh em phải vì sự công bình mà chịu khổ, ấy thật là có phước. Chớ sợ điều họ sợ và đừng rối trí;|你 們 就 是 為 義 受 苦 、 也 是 有 福 的 ． 不 要 怕 人 的 威 嚇 、 也 不 要 驚 慌 ． 〔 的 威 嚇 或 作 所 怕 的 〕
nhưng hãy tôn Đấng Christ, là Chúa, làm thánh trong lòng mình. Hãy thường thường sẵn sàng để trả lời mọi kẻ hỏi lẽ về sự trông cậy trong anh em, song phải hiền hòa và kính sợ,|只 要 心 裡 尊 主 基 督 為 聖 ． 有 人 問 你 們 心 中 盼 望 的 緣 由 、 就 要 常 作 準 備 、 以 溫 柔 敬 畏 的 心 回 答 各 人 ．
phải có lương tâm tốt, hầu cho những kẻ gièm chê cách ăn ở lành của anh em trong Đấng Christ biết mình xấu hổ trong sự mà anh em đã bị nói hành;|存 著 無 虧 的 良 心 、 叫 你 們 在 何 事 上 被 毀 謗 、 就 在 何 事 上 、 可 以 叫 那 誣 賴 你 們 在 基 督 裡 有 好 品 行 的 人 、 自 覺 羞 愧 。
vì nếu ý muốn Đức Chúa Trời dường ấy, thì thà làm điều thiện mà chịu khổ, còn hơn làm điều ác mà chịu khổ vậy.|　 神 的 旨 意 若 是 叫 你 們 因 行 善 受 苦 、 總 強 如 因 行 惡 受 苦 。
Vả, Đấng Christ cũng vì tội lỗi chịu chết một lần, là Đấng công bình thay cho kẻ không công bình, để dẫn chúng ta đến cùng Đức Chúa Trời; về phần xác thịt thì Ngài đã chịu chết, nhưng về phần linh hồn thì được sống.|因 基 督 也 曾 一 次 為 罪 受 苦 、 〔 受 苦 有 古 卷 作 受 死 〕 就 是 義 的 代 替 不 義 的 、 為 要 引 我 們 到 　 神 面 前 ． 按 著 肉 體 說 他 被 治 死 ． 按 著 靈 性 說 他 復 活 了 。
Ay bởi đồng một linh hồn đó, Ngài đi giảng cho các linh hồn bị tù,|他 藉 這 靈 、 曾 去 傳 道 給 那 些 在 監 獄 裡 的 靈 聽 、
tức là kẻ bội nghịch thuở trước, về thời kỳ Nô-ê, khi Đức Chúa Trời nhịn nhục chờ đợi, chiếc tàu đóng nên, trong đó có ít người được cứu bởi nước, là chỉ có tám người.|就 是 那 從 前 在 挪 亞 豫 備 方 舟 、 　 神 容 忍 等 待 的 時 候 、 不 信 從 的 人 ． 當 時 進 入 方 舟 、 藉 著 水 得 救 的 不 多 、 只 有 八 個 人 ．
Phép báp-tem bây giờ bèn là ảnh tượng của sự ấy để cứu anh em, phép ấy chẳng phải sự làm sạch ô uế của thân thể, nhưng một sự liên lạc lương tâm tốt với Đức Chúa Trời, bởi sự sống lại của Đức Chúa Jêsus Christ,|這 水 所 表 明 的 洗 禮 、 現 在 藉 著 耶 穌 基 督 復 活 ． 也 拯 救 你 們 ． 這 洗 禮 本 不 在 乎 除 掉 肉 體 的 污 穢 、 只 求 在 　 神 面 前 有 無 虧 的 良 心 。
là Đấng đã được lên trời, nay ngự bên hữu Đức Chúa Trời, các thiên sứ, các vương hầu, các quyền thế thảy đều phục Ngài.|耶 穌 已 經 進 入 天 堂 、 在 　 神 的 右 邊 ． 眾 天 使 和 有 權 柄 的 、 並 有 能 力 的 、 都 服 從 了 他 。

					I Phi-rơ 4				|
						彼得前書 4					
Vậy, vì Đấng Christ đã chịu khổ trong xác thịt, thì anh em cũng phải lấy sự đó làm giáp trụ, vì người nào đã chịu khổ trong xác thịt, thì đã dứt khỏi tội lỗi,|基 督 既 在 肉 身 受 苦 、 你 們 也 當 將 這 樣 的 心 志 作 為 兵 器 ． 因 為 在 肉 身 受 過 苦 的 、 就 已 經 與 罪 繼 絕 了 ．
hầu cho còn sống trong xác thịt bao lâu thì chớ lại theo những sự người ta ưa thích, một phải theo ý muốn Đức Chúa Trời.|你 們 存 這 樣 的 心 、 從 今 以 後 、 就 可 以 不 從 人 的 情 慾 、 只 從 　 神 的 旨 意 、 在 世 度 餘 下 的 光 陰 。
Ngày trước cũng đã đủ làm theo ý muốn người ngoại đạo rồi, mà ăn ở theo tà tịch, tư dục, say rượu, ăn uống quá độ, chơi bời, và thờ hình tượng đáng gớm ghiếc.|因 為 往 日 隨 從 外 邦 人 的 心 意 、 行 邪 淫 、 惡 慾 、 醉 酒 、 荒 宴 、 群 飲 、 並 可 惡 拜 偶 像 的 事 、 時 候 已 經 彀 了 ．
Họ thấy anh em chẳng cùng họ theo sự dâm dật bậy bạ ấy, thì họ lấy làm lạ và gièm chê.|他 們 在 這 些 事 上 、 見 你 們 不 與 他 們 同 奔 那 放 蕩 無 度 的 路 、 就 以 為 怪 、 毀 謗 你 們 ．
Nhưng họ sẽ khai trình với Đấng đã sẵn sàng xét đoán kẻ sống và kẻ chết.|他 們 必 在 那 將 要 審 判 活 人 死 人 的 主 面 前 交 賬 。
Vì ấy bởi điều đó mà Tin Lành cũng đã giảng ra cho kẻ chết, hầu cho sau khi chịu xét đoán theo loài người về phần xác, thì họ được sống theo Đức Chúa Trời về phần hồn.|為 此 、 就 是 死 人 也 曾 有 福 音 傳 給 他 們 、 要 叫 他 們 的 肉 體 按 著 人 受 審 判 、 他 們 的 靈 性 卻 靠 　 神 活 著 。
Sự cuối cùng của muôn vật đã gần; vậy hãy khôn ngoan tỉnh thức mà cầu nguyện.|萬 物 的 結 局 近 了 ． 所 以 你 們 要 謹 慎 自 守 、 儆 醒 禱 告 。
Nhứt là trong vòng anh em phải có lòng yêu thương sốt sắng; vì sự yêu thương che đậy vô số tội lỗi.|最 要 緊 的 是 彼 此 切 實 相 愛 ． 因 為 愛 能 遮 掩 許 多 的 罪 。
Người nầy người khác phải tiếp đãi nhau, chớ có cằn rằn.|你 們 要 互 相 款 待 、 不 發 怨 言 ．
Mỗi người trong anh em hãy lấy ơn mình đã được mà giúp lẫn nhau, khác nào người quản lý trung tín giữ các thứ ơn của Đức Chúa Trời.|各 人 要 照 所 得 的 恩 賜 彼 此 服 事 、 作 　 神 百 般 恩 賜 的 好 管 家 ．
Ví bằng có người giảng luận, thì hãy giảng như rao lời sấm truyền của Đức Chúa Trời; nếu có kẻ làm chức gì, thì hãy làm như nhờ sức Đức Chúa Trời ban, hầu cho Đức Chúa Trời được sáng danh trong mọi sự bởi Đức Chúa Jêsus Christ; là Đấng được sự vinh hiển quyền phép đời đời vô cùng. A-men.|若 有 講 道 的 、 要 按 著 　 神 的 聖 言 講 ． 若 有 服 事 人 的 、 要 按 著 　 神 所 賜 的 力 量 服 事 ． 叫 　 神 在 凡 事 上 因 耶 穌 基 督 得 榮 耀 ． 原 來 榮 耀 權 能 都 是 他 的 、 直 到 永 永 遠 遠 。 阿 們 。
Hỡi kẻ rất yêu dấu, khi anh em bị trong lò lửa thử thách, chớ lấy làm lạ như mình gặp một việc khác thường.|親 愛 的 弟 兄 阿 、 有 火 煉 的 試 驗 臨 到 你 們 、 不 要 以 為 奇 怪 、 （ 似 乎 是 遭 遇 非 常 的 事 ）
Nhưng anh em có phần trong sự thương khó của Đấng Christ bao nhiêu, thì hãy vui mừng bấy nhiêu, hầu cho đến ngày vinh hiển của Ngài hiện ra, thì anh em cũng được vui mừng nhảy nhót.|倒 要 歡 喜 ． 因 為 你 們 是 與 基 督 一 同 受 苦 、 使 你 們 在 他 榮 耀 顯 現 的 時 候 、 也 可 以 歡 喜 快 樂 。
Ví bằng anh em vì cớ danh Đấng Christ chịu sỉ nhục, thì anh em có phước; vì sự vinh hiển và Thánh Linh của Đức Chúa Trời đậu trên anh em.|你 們 若 是 為 基 督 的 名 受 辱 罵 、 便 是 有 福 的 ． 因 為 　 神 榮 耀 的 靈 、 常 住 在 你 們 身 上 。
